ERR1913293.45__1.45	216816__B3DQ11__APC1466_1528
ERR1913293.211860__1.211860	39491__A0A174K9A3__DXB69_07785
ERR1913293.212030__1.212030	1262917__R5B0J7__BN456_01197
ERR1913293.212469__1.212469	1262917__R5B0J7__BN456_01197
ERR1913293.212703__1.212703	1262917__R5AJ42__BN456_01672
ERR1913293.212828__1.212828	1262917__R5AXP5__BN456_02173
ERR1913293.212940__1.212940	1897011__A0A1Q6RI93__BHW41_01175
ERR1913293.212948__1.212948	410072__A0A174BMP0__DXD67_03635
ERR1913293.213180__1.213180	39486__B0GA07__DXD18_03830
ERR1913293.213277__1.213277	1262736__R5YI45__BN496_00967
ERR1913293.213458__1.213458	1262917__R5AVI7__BN456_00983
ERR1913293.213435__1.213435	116085__D4J693__DW747_12735
ERR1913293.213446__1.213446	1897011__A0A1Q6RET2__BHW41_04000
ERR1913293.213626__1.213626	1150298__A0A174S4G4__dacB_1
ERR1913293.213650__1.213650	552398__F4XCR9__HMPREF0866_01636
ERR1913293.214083__1.214083	626932__G5H8A5__HMPREF9450_01165
ERR1913293.214119__1.214119	820__A0A1T4IY80__ERS852554_01621
ERR1913293.214253__1.214253	820__A0A3E4RU03__M093_0563
ERR1913293.214882__1.214882	40518__R5DUG7__sbcC
ERR1913293.214980__1.214980	40518__R5DVH6__DXD86_08955
ERR1913293.215135__1.215135	820__A0A139KHX1__HMPREF2141_00289
ERR1913293.215164__1.215164	820__A0A139K5A6__DXB48_12175
ERR1913293.215319__1.215319	1262917__R5ALK4__BN456_02039
ERR1913293.215556__1.215556	1796613__A0A1C7GZG2__ADH74_03485
ERR1913293.215708__1.215708	487174__K0WXI5__DDY40_07185
ERR1913293.215733__1.215733	1235835__R9LCU2__C814_02677
ERR1913293.215859__1.215859	1150298__A0A174SLE6__mlc_1
ERR1913293.215937__1.215937	1263000__R5EWT9__BN466_02076
ERR1913293.216048__1.216048	310298__B3JFS5__BACCOP_00726
ERR1913293.215988__1.215988	1262917__R5AMM7__BN456_01546
ERR1913293.216000__1.216000	454155__F3QUC1__HMPREF9442_01791
ERR1913293.216002__1.216002	45851__D4S1J6__BHV86_08535
ERR1913293.216182__1.216182	1897011__A0A1Q6REX8__BHW41_04475
ERR1913293.216413__1.216413	820__A0A174CG08__DXB62_13215
ERR1913293.216375__1.216375	1263000__R5EFY3__BN466_01416
ERR1913293.216568__1.216568	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913293.216660__1.216660	1262917__R5ALP9__BN456_02079
ERR1913293.216787__1.216787	821__A0A173WG51__BVU_2549
ERR1913293.216896__1.216896	1262917__R5AP22__BN456_00201
ERR1913293.216984__1.216984	1263000__R5EZ76__BN466_00319
ERR1913293.217004__1.217004	1263000__R5EF60__BN466_01316
ERR1913293.217014__1.217014	1263000__R5EFY3__BN466_01416
ERR1913293.217058__1.217058	1263000__R5EHB0__BN466_01647
ERR1913293.217279__1.217279	1263000__R5EMM7__BN466_00616
ERR1913293.217391__1.217391	1262917__R5AX10__BN456_00253
ERR1913293.217400__1.217400	1897011__A0A1Q6REU9__BHW41_04345
ERR1913293.217418__1.217418	1262917__R5AJ42__BN456_01672
ERR1913293.217763__1.217763	1262917__R5AVI7__BN456_00983
ERR1913293.217926__1.217926	1262917__R5ARE2__BN456_00150
ERR1913293.218016__1.218016	301301__A0A395V9A0__RHOM_08800
ERR1913293.218053__1.218053	552398__F4XHU2__HMPREF0866_03196
ERR1913293.218195__1.218195	1262917__R5AQX1__BN456_00592
ERR1913293.218259__1.218259	310298__B3JK49__BACCOP_02273
ERR1913293.218491__1.218491	1262917__R5AKQ6__BN456_02122
ERR1913293.218552__1.218552	1262992__R5D733__BN795_00375
ERR1913293.219074__1.219074	1263000__R5EKG2__BN466_02040
ERR1913293.219397__1.219397	847__C3X8N3__BRW84_07700
ERR1913293.219437__1.219437	1897011__A0A1Q6RJI3__BHW41_00255
ERR1913293.219513__1.219513	821__A0A173XDD3__DXB82_17180
ERR1913293.219691__1.219691	165179__A0A3E5E6S6__DXB80_07575
ERR1913293.219878__1.219878	1735__B7CCH2__EUBIFOR_01900
ERR1913293.220026__1.220026	40518__R5DZC6__mreC
ERR1913293.220143__1.220143	1262917__R5ANF9__BN456_01760
ERR1913293.220283__1.220283	357276__A0A0K2HG61__BACDOR_02028
ERR1913293.220485__1.220485	1897011__A0A1Q6RFH2__BHW41_03500
ERR1913293.220668__1.220668	1263000__R5EDV4__BN466_01097
ERR1913293.221005__1.221005	40518__R5E4X1__DXD93_05270
ERR1913293.221013__1.221013	165179__D1PCU4__PREVCOP_05029
ERR1913293.221096__1.221096	901__B6WQM5__cobM
ERR1913293.221181__1.221181	853__A0A173XRA8__CGS56_09290
ERR1913293.221288__1.221288	1262753__R5B0C5__BN813_01872
ERR1913293.221401__1.221401	1263000__R5EET9__BN466_01245
ERR1913293.221476__1.221476	1263000__R5F0Q6__BN466_00318
ERR1913293.221493__1.221493	1262917__R5B074__BN456_00067
ERR1913293.221640__1.221640	1235793__R9KSF0__C809_01679
ERR1913293.221783__1.221783	1263000__R5EF60__BN466_01316
ERR1913293.221822__1.221822	1263011__R6E459__BN553_00208
ERR1913293.221967__1.221967	820__A0A374QGD2__ERS852421_02382
ERR1913293.222029__1.222029	853__A0A173XRA8__CGS56_09290
ERR1913293.222039__1.222039	821__A0A395UNT8__DXD64_15275
ERR1913293.222173__1.222173	310298__B3JQL6__BACCOP_04252
ERR1913293.222306__1.222306	853__A0A2A7B1Y7__C7K05_11930
ERR1913293.222564__1.222564	1262992__R5D9A6__BN795_00819
ERR1913293.222608__1.222608	1099853__R7DEQ7__NSB1T_12415
ERR1913293.222762__1.222762	39491__A0A395ZHW9__DXC13_02590
ERR1913293.223056__1.223056	39496__A5Z5I2__EUBVEN_00963
ERR1913293.223206__1.223206	45851__D4S283__BUTYVIB_02205
ERR1913293.223151__1.223151	1897011__A0A1Q6RIP7__BHW41_00530
ERR1913293.223302__1.223302	357276__A0A076IR37__DXD47_07890
ERR1913293.223480__1.223480	820__A0A174RFI5__SAMN05444418_12240
ERR1913293.223679__1.223679	1262917__R5ALP9__BN456_02079
ERR1913293.223777__1.223777	487174__K0X3H8__HMPREF9448_02822
ERR1913293.224258__1.224258	1263000__R5EUM2__BN466_01747
ERR1913293.224424__1.224424	1262917__R5AP22__BN456_00201
ERR1913293.224660__1.224660	820__A0A3E4RU03__M093_0563
ERR1913293.224694__1.224694	1262917__R5AZ23__BN456_00687
ERR1913293.224792__1.224792	821__A0A174AYT0__DXC02_03530
ERR1913293.224832__1.224832	1262753__R5B0C5__BN813_01872
ERR1913293.225125__1.225125	944036__A0A196S9L6__AV274_5258
ERR1913293.225213__1.225213	1262917__R5AWQ2__BN456_01907
ERR1913293.225320__1.225320	1262917__R5AK62__BN456_00212
ERR1913293.225290__1.225290	853__A0A2A7B9I6__DW855_13690
ERR1913293.225294__1.225294	944036__A0A196SEQ5__AV274_2738
ERR1913293.225338__1.225338	165179__D1PEZ7__DXC61_06515
ERR1913293.225435__1.225435	1262736__R5Y7T6__BN496_00858
ERR1913293.225590__1.225590	1262917__R5AIW0__BN456_01592
ERR1913293.225645__1.225645	310297__B5CXJ7__DXB87_06645
ERR1913293.225859__1.225859	626932__G5H9T4__HMPREF9450_01399
ERR1913293.225827__1.225827	1263000__R5EDV4__BN466_01097
ERR1913293.225934__1.225934	820__A0A3E4W9D9__B5G17_12400
ERR1913293.226015__1.226015	1262917__R5AM67__BN456_00686
ERR1913293.226136__1.226136	1262917__R5AP22__BN456_00201
ERR1913293.226346__1.226346	357276__A0A076IRV2__BACDOR_02822
ERR1913293.226569__1.226569	1263000__R5EQI3__BN466_00125
ERR1913293.226550__1.226550	310298__B3JJX9__BACCOP_02203
ERR1913293.226654__1.226654	487174__K0X694__DIT83_09060
ERR1913293.226725__1.226725	1262917__R5AKS2__BN456_02142
ERR1913293.227216__1.227216	820__A0A139K5A6__DXB48_12175
ERR1913293.227281__1.227281	1262917__R5AMT3__BN456_00047
ERR1913293.227463__1.227463	1263000__R5EZ76__BN466_00319
ERR1913293.227825__1.227825	1262917__R5ALP9__BN456_02079
ERR1913293.227799__1.227799	1262917__R5AT79__BN456_01363
ERR1913293.227911__1.227911	820__A0A3E4XM43__DXC91_13960
ERR1913293.227958__1.227958	310298__B3JMG0__BACCOP_03099
ERR1913293.228016__1.228016	1262736__R5YW03__BN496_00822
ERR1913293.228086__1.228086	1262917__R5ALC9__BN456_01969
ERR1913293.228251__1.228251	820__A0A374QGD2__ERS852421_02382
ERR1913293.228183__1.228183	33043__A0A174GPT0__plsC_2
ERR1913293.228470__1.228470	40518__R5E1J7__RBL236_02062
ERR1913293.228962__1.228962	1262917__R5ANC5__BN456_00076
ERR1913293.229412__1.229412	454155__F3QY50__HMPREF9442_03142
ERR1913293.229478__1.229478	853__D4KAK8__C4N21_13380
ERR1913293.229428__1.229428	45851__D4RX43__BUTYVIB_00394
ERR1913293.229698__1.229698	39491__A0A396FRE7__EUR_27520
ERR1913293.229833__1.229833	1262917__R5AU27__BN456_00046
ERR1913293.230074__1.230074	1897011__A0A1Q6RCL1__BHW41_06190
ERR1913293.230091__1.230091	74426__rpoB
ERR1913293.230422__1.230422	387090__S0F541__BACCOPRO_00727
ERR1913293.230473__1.230473	1263000__R5EXT3__BN466_02213
ERR1913293.230583__1.230583	820__A0A3E5E0T0__ERS852554_00312
ERR1913293.230895__1.230895	901__B6WR61__DESPIGER_0224
ERR1913293.230959__1.230959	46503__A7AH78__DD461_04085
ERR1913293.231013__1.231013	820__A0A396EUU8__luxQ_3
ERR1913293.231238__1.231238	821__A0A174NVL6__NCTC10583_01782
ERR1913293.231255__1.231255	820__A0A3E4W4Y7__B5G17_02055
ERR1913293.231323__1.231323	1262917__R5AXP5__BN456_02173
ERR1913293.231564__1.231564	1550024__G9RY06__TQ39_00225
ERR1913293.231634__1.231634	1897011__A0A1Q6RJV2__BHW41_00030
ERR1913293.231843__1.231843	1263000__R5EDV4__BN466_01097
ERR1913293.232035__1.232035	1263000__R5EC87__BN466_00713
ERR1913293.232038__1.232038	1263000__R5ESM1__BN466_01440
ERR1913293.232050__1.232050	1262917__R5B074__BN456_00067
ERR1913293.232217__1.232217	33043__A0A173YYE7__ERS852445_00670
ERR1913293.232738__1.232738	1263044__GCA_000433375.1_01817
ERR1913293.232746__1.232746	1263030__R5CUH1__BN705_00716
ERR1913293.232833__1.232833	454155__F3QX42__HMPREF9442_02776
ERR1913293.232877__1.232877	944036__A0A196SJI7__AV274_1062
ERR1913293.233196__1.233196	28052__R5HJU0__ERS852451_00148
ERR1913293.233214__1.233214	310298__B3JK49__BACCOP_02273
ERR1913293.233315__1.233315	820__A0A374Q854__HMPREF1073_03281
ERR1913293.233379__1.233379	1262917__R5AM07__BN456_02175
ERR1913293.233522__1.233522	33043__A0A174AHE2__ERS852445_01187
ERR1913293.233598__1.233598	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913293.233644__1.233644	1262917__R5AR82__BN456_01624
ERR1913293.233712__1.233712	1262917__R5ARP6__BN456_01765
ERR1913293.233824__1.233824	47678__R5UPG7__C5Z00_18695
ERR1913293.233892__1.233892	39491__C4ZAT2__ERE_28440
ERR1913293.234822__1.234822	1680__A0A374QDL4__LMG18897_0432
ERR1913293.234879__1.234879	454154__G5SPR9__HMPREF9441_01352
ERR1913293.234885__1.234885	820__A0A174Q0F0__DXB48_08080
ERR1913293.235212__1.235212	36343__GeneID:1261160
ERR1913293.235440__1.235440	1263000__R5ES99__BN466_01121
ERR1913293.235650__1.235650	1262917__R5AMM7__BN456_01546
ERR1913293.235869__1.235869	1897011__A0A1Q6RJY0__BHW41_00040
ERR1913293.236026__1.236026	1262886__R6QI91__BN563_00800
ERR1913293.236148__1.236148	1897011__A0A1Q6RGE1__BHW41_02880
ERR1913293.236826__1.236826	1263011__R6DWT0__BN553_00469
ERR1913293.236758__1.236758	1262917__R5AMV7__BN456_01591
ERR1913293.236786__1.236786	944036__A0A196SBI3__AV274_4947
ERR1913293.236847__1.236847	820__A0A3E4RU03__M093_0563
ERR1913293.236906__1.236906	1263011__R6DP90__BN553_01389
ERR1913293.237091__1.237091	853__A0A174C5M1__CGS58_04460
ERR1913293.237161__1.237161	1262917__R5B074__BN456_00067
ERR1913293.237372__1.237372	39491__A0A395ZJZ1__LD38_01870
ERR1913293.237433__1.237433	1262917__R5AS64__BN456_00169
ERR1913293.237517__1.237517	40519__U2M6Q1__RUMCAL_00207
ERR1913293.237707__1.237707	1262917__R5ARE2__BN456_00150
ERR1913293.237731__1.237731	1262917__R5ARE2__BN456_00150
ERR1913293.238107__1.238107	1262917__R5AKS2__BN456_02142
ERR1913293.238392__1.238392	853__D4JY61__C4N21_10560
ERR1913293.238631__1.238631	384638__B7AT14__BACPEC_01282
ERR1913293.238783__1.238783	1262917__R5AXS0__BN456_02198
ERR1913293.238830__1.238830	1262917__R5B074__BN456_00067
ERR1913293.238869__1.238869	33043__A0A174AEP1__apr
ERR1913293.238995__1.238995	165179__D1PGJ6__DXC61_07300
ERR1913293.238950__1.238950	1262917__R5AKS2__BN456_02142
ERR1913293.239016__1.239016	1262917__R5AL85__BN456_00375
ERR1913293.239382__1.239382	853__A0A173XRA8__CGS56_09290
ERR1913293.239488__1.239488	821__A0A174NM17__lacZ_6
ERR1913293.239775__1.239775	39485__A0A174YVS4__EUBELI_00620
ERR1913293.239777__1.239777	301301__A0A395V9P9__ERS852391_00747
ERR1913293.239925__1.239925	45851__D4RXA4__BUTYVIB_00455
ERR1913293.239891__1.239891	357276__I9QBT7__BSEG_03340
ERR1913293.240034__1.240034	40518__R5E6K4__RB5AMG_02070
ERR1913293.240116__1.240116	1262917__R5AR82__BN456_01624
ERR1913293.240211__1.240211	214856__A0A173YXX1__ERS852559_01651
ERR1913293.240179__1.240179	1897011__A0A1Q6RJH2__BHW41_00235
ERR1913293.240350__1.240350	387090__S0FBI9__BACCOPRO_03356
ERR1913293.240753__1.240753	651822__GCA_000210715.1_00753
ERR1913293.240914__1.240914	674529__R6UY37__SAMN05444400_12650
ERR1913293.240941__1.240941	454154__G5STF9__HMPREF9441_02662
ERR1913293.241044__1.241044	853__A0A174C5M1__CGS58_04460
ERR1913293.241170__1.241170	310298__B3JJ24__BACCOP_01886
ERR1913293.242056__1.242056	1262917__R5B101__BN456_01330
ERR1913293.242221__1.242221	1262917__R5AKS2__BN456_02142
ERR1913293.242505__1.242505	1262917__R5AP22__BN456_00201
ERR1913293.242515__1.242515	1262917__R5ARG0__BN456_01693
ERR1913293.243084__1.243084	1262917__R5ANP2__BN456_01221
ERR1913293.243489__1.243489	1235835__R9LCU2__C814_02677
ERR1913293.243516__1.243516	1262917__R5AVT6__BN456_01663
ERR1913293.243824__1.243824	28117__B0MXL6__ALIPUT_01851
ERR1913293.243902__1.243902	46228__B5CKX6__RUMLAC_00090
ERR1913293.244074__1.244074	1262917__R5AMV7__BN456_01591
ERR1913293.244106__1.244106	39491__A0A395UYL9__ERS852417_00624
ERR1913293.244276__1.244276	1262917__R5AQ31__BN456_01284
ERR1913293.244402__1.244402	39491__A0A0M6WNS5__DXC13_02015
ERR1913293.244581__1.244581	40518__A0A1C6H8N9__RBATCC27255_01374
ERR1913293.244782__1.244782	487174__K0WRR5__DDY40_06130
ERR1913293.244884__1.244884	853__A0A2J4JL53__CRH10_10795
ERR1913293.245133__1.245133	239935__A0A2N8IU45__DEF40_02365
ERR1913293.245166__1.245166	1263000__R5EDV4__BN466_01097
ERR1913293.245636__1.245636	820__R9HP61__DXC91_01090
ERR1913293.245846__1.245846	1262917__R5AVM2__BN456_01598
ERR1913293.246008__1.246008	1262736__R5YX38__BN496_01145
ERR1913293.246379__1.246379	1263000__R5EF36__BN466_01303
ERR1913293.246449__1.246449	820__R9I3Q7__HMPREF1072_01668
ERR1913293.246654__1.246654	214856__A0A174G1M7__ERS852559_00594
ERR1913293.246764__1.246764	1262917__R5B101__BN456_01330
ERR1913293.246786__1.246786	820__A0A174QLF0__SAMN05444418_109151
ERR1913293.246943__1.246943	1150298__R7JTX5__ERS852535_01291
ERR1913293.247063__1.247063	40518__R5DVL2__penA
ERR1913293.247102__1.247102	1680__A0A087DHN0__AL0462_1532
ERR1913293.247171__1.247171	39491__C4ZAT2__ERE_28440
ERR1913293.247182__1.247182	387090__S0F5E3__BACCOPRO_00977
ERR1913293.247192__1.247192	28117__B0MUL5__ALIPUT_00722
ERR1913293.247244__1.247244	45851__D4S1B2__BHV86_08920
ERR1913293.247304__1.247304	572010__rpoB
ERR1913293.247430__1.247430	1262917__R5APN9__BN456_02126
ERR1913293.247391__1.247391	301301__A0A395V3C0__mcpC_6
ERR1913293.247477__1.247477	33039__A0A174XW11__RTO_07780
ERR1913293.247496__1.247496	853__A0A3E2V168__FAEPRAM212_00929
ERR1913293.247702__1.247702	820__A0A174M9V5__M093_0237
ERR1913293.247970__1.247970	33043__A0A173XX37__ERS852445_02100
ERR1913293.248265__1.248265	45851__R5LTQ3__BHV86_02315
ERR1913293.248407__1.248407	387090__S0FAH6__BACCOPRO_02588
ERR1913293.248553__1.248553	1262917__R5ASX8__BN456_01240
ERR1913293.248494__1.248494	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913293.248576__1.248576	847__C3XAV3__OFBG_01357
ERR1913293.248689__1.248689	1262736__R5Y4B3__BN496_02066
ERR1913293.248631__1.248631	1262988__R7N4U5__BN816_00495
ERR1913293.248868__1.248868	901__B6WXF1__DESPIGER_1660
ERR1913293.249250__1.249250	1235835__R9LCU2__C814_02677
ERR1913293.249251__1.249251	1235835__R9LCU2__C814_02677
ERR1913293.249400__1.249400	1262917__R5AJD3__BN456_01751
ERR1913293.249500__1.249500	853__A8SCP3__C4N26_07960
ERR1913293.249515__1.249515	823__D7IRG1__NCTC11152_02276
ERR1913293.249532__1.249532	853__A0A329UEG4__CHR60_00585
ERR1913293.249657__1.249657	40518__R5DTH7__DXD83_02405
ERR1913293.249742__1.249742	384638__B7APR0__BACPEC_00666
ERR1913293.249699__1.249699	1262917__R5AQ31__BN456_01284
ERR1913293.249914__1.249914	853__A0A2A7B1Y7__C7K05_11930
ERR1913293.249947__1.249947	1263000__R5EMC8__BN466_00317
ERR1913293.250025__1.250025	1897011__A0A1Q6REU3__BHW41_04025
ERR1913293.250083__1.250083	1262917__R5AN63__BN456_00147
ERR1913293.250196__1.250196	1897011__A0A1Q6RGA3__BHW41_02665
ERR1913293.250366__1.250366	1262917__R5AKS2__BN456_02142
ERR1913293.250424__1.250424	820__A7UYX8__DXD40_11635
ERR1913293.250510__1.250510	1262917__R5AS64__BN456_00169
ERR1913293.250483__1.250483	1263000__R5EQI3__BN466_00125
ERR1913293.250655__1.250655	1262917__R5AX10__BN456_00253
ERR1913293.250834__1.250834	1262992__R5D637__BN795_00221
ERR1913293.250928__1.250928	1235835__R9LCU2__C814_02677
ERR1913293.251122__1.251122	1150298__A0A174DTK6__ERS852498_00510
ERR1913293.251133__1.251133	853__A0A2A7B9I6__DW855_13690
ERR1913293.251137__1.251137	820__A0A3E4VZT7__DXB48_16145
ERR1913293.251069__1.251069	1262992__R5D559__BN795_00706
ERR1913293.251116__1.251116	1263000__R5EUM2__BN466_01747
ERR1913293.251218__1.251218	1897011__A0A1Q6RG93__BHW41_02645
ERR1913293.251236__1.251236	674529__A0A174EXC1__DXB21_01255
ERR1913293.251257__1.251257	820__A0A3E4RUC4__DHU98_02635
ERR1913293.251455__1.251455	384638__B7APR0__BACPEC_00666
ERR1913293.251508__1.251508	1262917__R5AJ42__BN456_01672
ERR1913293.251527__1.251527	1262917__R5AQK0__BN456_00018
ERR1913293.251556__1.251556	1262917__R5ALZ5__BN456_00616
ERR1913293.251628__1.251628	1263000__R5ESM1__BN466_01440
ERR1913293.251985__1.251985	239935__A0A2N8IMC3__CXT96_03840
ERR1913293.252044__1.252044	1262917__R5AM07__BN456_02175
ERR1913293.252841__1.252841	572010__rpsB
ERR1913293.252921__1.252921	823__A0A174LWY0__lepB
ERR1913293.253118__1.253118	45851__D4S288__BHV86_04325
ERR1913293.253438__1.253438	649756__D4MU45__ERS852425_01466
ERR1913293.253634__1.253634	1262917__R5AMV7__BN456_01591
ERR1913293.254031__1.254031	310298__B3JJX9__BACCOP_02203
ERR1913293.254233__1.254233	1262917__R5AS64__BN456_00169
ERR1913293.254177__1.254177	1263000__R5EFA7__BN466_01197
ERR1913293.254272__1.254272	853__A0A174CVG7__CGS58_09335
ERR1913293.254496__1.254496	1263000__R5EGY6__BN466_00973
ERR1913293.254785__1.254785	1262917__R5AKS2__BN456_02142
ERR1913293.254910__1.254910	33043__A0A174AEP1__apr
ERR1913293.255083__1.255083	1262988__R7N1R3__BN816_02101
ERR1913293.255163__1.255163	1235835__R9LCU2__C814_02677
ERR1913293.255128__1.255128	572010__ydhV
ERR1913293.255710__1.255710	820__A0A139JV05__B5G17_18125
ERR1913293.255682__1.255682	40518__R5E6K4__RB5AMG_02070
ERR1913293.255683__1.255683	1262917__R5AMV7__BN456_01591
ERR1913293.255765__1.255765	1262736__R5Y4B3__BN496_02066
ERR1913293.255965__1.255965	239935__A0A2N8I3G2__CXT89_00720
ERR1913293.256150__1.256150	1262917__R5AMI0__BN456_01476
ERR1913293.256188__1.256188	1262917__R5AQG6__BN456_00469
ERR1913293.256225__1.256225	1262917__R5AYN8__BN456_00554
ERR1913293.256242__1.256242	1262917__R5AU27__BN456_00046
ERR1913293.256455__1.256455	1897011__A0A1Q6RG95__BHW41_02720
ERR1913293.256650__1.256650	1262917__R5AMI0__BN456_01476
ERR1913293.257112__1.257112	572010__lepA
ERR1913293.257129__1.257129	1262917__R5AY58__BN456_00376
ERR1913293.257561__1.257561	310298__B3JGJ2__BACCOP_00994
ERR1913293.257695__1.257695	310298__B3JQR0__BACCOP_04272
ERR1913293.257700__1.257700	1263000__R5EF60__BN466_01316
ERR1913293.257874__1.257874	1897011__A0A1Q6RF20__BHW41_02930
ERR1913293.258058__1.258058	1628085__A0A2U1BE16__C7386_104119
ERR1913293.258288__1.258288	310298__B3JJG1__BACCOP_02031
ERR1913293.258540__1.258540	1628085__A0A2U1B3Y8__C7386_12130
ERR1913293.258446__1.258446	33043__A8SPT5__yfiN_2
ERR1913293.258840__1.258840	40518__R5DTP7__DXD83_02415
ERR1913293.258919__1.258919	40518__R5DYM0__DXD86_08165
ERR1913293.258956__1.258956	1262917__R5AL85__BN456_00375
ERR1913293.259054__1.259054	384638__B7APN3__BACPEC_00639
ERR1913293.259057__1.259057	820__A0A139KH21__DXC80_01780
ERR1913293.259108__1.259108	45851__D4RZ84__BUTYVIB_01149
ERR1913293.259102__1.259102	1262917__R5AJ42__BN456_01672
ERR1913293.259214__1.259214	39491__A0A396FNY7__LD38_16155
ERR1913293.259273__1.259273	1263000__R5EC87__BN466_00713
ERR1913293.259277__1.259277	45851__D4S200__BHV86_07815
ERR1913293.259372__1.259372	116085__D4JBS2__DW747_00985
ERR1913293.259415__1.259415	33043__A0A174EI47__inlJ
ERR1913293.259499__1.259499	1263000__R5EEL2__BN466_01100
ERR1913293.259468__1.259468	1262917__R5B0J7__BN456_01197
ERR1913293.259651__1.259651	853__A0A2A7B9I6__DW855_13690
ERR1913293.259716__1.259716	820__A0A174KKV6__DXC07_02635
ERR1913293.259762__1.259762	853__A0A173XRA8__CGS56_09290
ERR1913293.259836__1.259836	1262917__R5ASX8__BN456_01240
ERR1913293.260025__1.260025	1262917__R5AK62__BN456_00212
ERR1913293.260137__1.260137	820__I9A4U7__DHU98_12785
ERR1913293.260336__1.260336	1263000__R5EHB0__BN466_01647
ERR1913293.260773__1.260773	29361__B6FKH5__CLONEX_00621
ERR1913293.260780__1.260780	1262911__R6GMD8__BN557_01647
ERR1913293.260946__1.260946	820__R7E9Z4__DXC68_06065
ERR1913293.261320__1.261320	1263000__R5EKR3__BN466_00099
ERR1913293.261422__1.261422	1262917__R5B074__BN456_00067
ERR1913293.261576__1.261576	454155__F3QT57__HMPREF9442_01374
ERR1913293.261600__1.261600	1262917__R5AWT2__BN456_01401
ERR1913293.261787__1.261787	1608898__F0EU50__HMPREF3279_01020
ERR1913293.261892__1.261892	1262736__R5Y4Z2__BN496_01801
ERR1913293.262220__1.262220	410072__A0A3E4GRE0__DXD67_07105
ERR1913293.262541__1.262541	214856__E4MF20__Alfi_0697
ERR1913293.262663__1.262663	1263000__R5EHB0__BN466_01647
ERR1913293.263289__1.263289	820__A0A3E4G493__ERS417307_00253
ERR1913293.263343__1.263343	45851__D4RWC3__BUTYVIB_00254
ERR1913293.263354__1.263354	820__A0A174FUG6__DXC91_11265
ERR1913293.263355__1.263355	45851__D4S141__BHV86_05760
ERR1913293.263381__1.263381	246787__R6KDR9__BcellWH2_02360
ERR1913293.263608__1.263608	853__A0A173YYY4__DWZ04_09420
ERR1913293.263619__1.263619	310298__B3JED9__BACCOP_00230
ERR1913293.263627__1.263627	1897011__A0A1Q6RBR9__BHW41_06830
ERR1913293.263826__1.263826	820__R9I2U8__DXC68_09590
ERR1913293.263791__1.263791	1262911__R6GKS1__BN557_00184
ERR1913293.263798__1.263798	1150298__A0A174GQV8__ERS852406_02454
ERR1913293.263980__1.263980	820__A0A078S4C2__ERS417307_00828
ERR1913293.264362__1.264362	40518__R5E2F3__artQ
ERR1913293.264531__1.264531	165179__A0A3E5EB26__CFT61_02800
ERR1913293.264674__1.264674	820__A0A139KHX1__HMPREF2141_00289
ERR1913293.264791__1.264791	45851__D4S096__BUTYVIB_01513
ERR1913293.264897__1.264897	165179__A0A3E5A5E5__DXC61_13965
ERR1913293.264881__1.264881	1262917__R5AQG6__BN456_00469
ERR1913293.265039__1.265039	1897011__A0A1Q6RDG0__BHW41_05600
ERR1913293.265096__1.265096	552398__F4XHU2__HMPREF0866_03196
ERR1913293.265264__1.265264	39491__A0A173SH34__EUR_24920
ERR1913293.265470__1.265470	40518__R5E0G0__RBATCC27255_01787
ERR1913293.265591__1.265591	853__C7H1R8__DW905_06675
ERR1913293.265705__1.265705	1262917__R5AN38__BN456_01011
ERR1913293.265905__1.265905	1262917__R5AS71__BN456_00179
ERR1913293.266023__1.266023	204516__U6RAM4__HMPREF1534_03439
ERR1913293.266072__1.266072	1897011__A0A1Q6RGE1__BHW41_02880
ERR1913293.266091__1.266091	39491__A0A395V6A3__DXB69_00505
ERR1913293.266169__1.266169	39491__A0A395UZ89__DXB72_12805
ERR1913293.266227__1.266227	820__R9I2U8__DXC68_09590
ERR1913293.266234__1.266234	40518__R5DZ16__DXD86_01455
ERR1913293.266384__1.266384	328814__GCA_004558275.1_00025
ERR1913293.266492__1.266492	1262917__R5AX10__BN456_00253
ERR1913293.266655__1.266655	1263044__GCA_000433375.1_03409
ERR1913293.267082__1.267082	820__A7V092__hldE
ERR1913293.267283__1.267283	47678__R5U9Z0__HMPREF1061_03210
ERR1913293.267403__1.267403	1262736__R5YKF5__BN496_01748
ERR1913293.267423__1.267423	1262917__R5AMI0__BN456_01476
ERR1913293.267479__1.267479	820__A0A3E4G493__ERS417307_00253
ERR1913293.267623__1.267623	28117__B0MUY3__BHV66_00515
ERR1913293.267699__1.267699	821__A0A173XDD3__DXB82_17180
ERR1913293.267860__1.267860	1897011__A0A1Q6RJY0__BHW41_00040
ERR1913293.267916__1.267916	847__C3X918__OFBG_00722
ERR1913293.267928__1.267928	1262911__R6H2J2__BN557_01228
ERR1913293.268048__1.268048	820__A0A139KHD8__ERS417307_00569
ERR1913293.268012__1.268012	901__B6WYA8__DESPIGER_1386
ERR1913293.268443__1.268443	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913293.268475__1.268475	328814__GCA_004558275.1_01621
ERR1913293.268653__1.268653	40518__R5DQL2__RBATCC27255_00937
