ERR1913222.220__1.220	39485__A0A1Q6PHM3__ERS852490_03067
ERR1913222.277547__1.277547	410072__A0A173XQG6__ERS852574_01620
ERR1913222.277892__1.277892	45851__D4RYZ4__BHV86_03155
ERR1913222.277933__1.277933	61171__B9Y5T9__HOLDEFILI_01171
ERR1913222.278069__1.278069	1262761__R6RU22__BN606_01110
ERR1913222.278053__1.278053	1262761__R6QUP0__BN606_01674
ERR1913222.278055__1.278055	1262992__R5D1Y3__BN795_00199
ERR1913222.278056__1.278056	1262961__R6DMJ8__BN710_00674
ERR1913222.278141__1.278141	853__A0A173YYY4__DWZ04_09420
ERR1913222.278245__1.278245	165179__A0A3E5E643__DXB80_06030
ERR1913222.278313__1.278313	384638__B7AVU0__BACPEC_02840
ERR1913222.278400__1.278400	1262760__R5LAU9__BN758_00738
ERR1913222.278630__1.278630	1262760__R5L635__BN758_00783
ERR1913222.278651__1.278651	33043__D5HIE6__ERS852445_01796
ERR1913222.278798__1.278798	39485__A0A174YMI9__cph2_5
ERR1913222.278889__1.278889	45851__D4RWG7__BUTYVIB_00298
ERR1913222.278946__1.278946	2173__A0A1D2WVA1__Msm_0411
ERR1913222.279290__1.279290	88431__A0A174UTT9__clcA
ERR1913222.279571__1.279571	1262760__R5LDI7__BN758_02041
ERR1913222.280269__1.280269	1262761__R6RU22__BN606_01110
ERR1913222.280522__1.280522	33039__A0A174ZCB2__ERS852577_04014
ERR1913222.280866__1.280866	1262886__R6QNJ6__BN563_00594
ERR1913222.280917__1.280917	39485__A0A174Z1A6__EUBELI_00220
ERR1913222.281000__1.281000	1262911__R6GVG8__BN557_01498
ERR1913222.281341__1.281341	45851__D4RZ84__BUTYVIB_01149
ERR1913222.281432__1.281432	39485__A0A174YVL0__xynZ_2
ERR1913222.281724__1.281724	45851__D4RXL5__BHV86_02950
ERR1913222.281705__1.281705	45851__D4S2J5__BUTYVIB_02317
ERR1913222.281759__1.281759	1262825__R5EKZ9__BN724_00513
ERR1913222.281845__1.281845	1262882__R5MGK3__BN519_00655
ERR1913222.281980__1.281980	45851__D4S1P9__BUTYVIB_02021
ERR1913222.282142__1.282142	39488__A0A173URJ8__misCB
ERR1913222.282152__1.282152	1365__A0A2A5RVB0__RU87_GL000611
ERR1913222.282184__1.282184	39485__A0A174ZBK4__ERS852490_01585
ERR1913222.282435__1.282435	821__E5UY21__C800_02204
ERR1913222.282646__1.282646	853__A0A3E2U7E6__ERS852582_01640
ERR1913222.282824__1.282824	45851__D4S1R7__BUTYVIB_02039
ERR1913222.282904__1.282904	1262760__R5L6L4__BN758_00893
ERR1913222.283052__1.283052	1262911__R6GKS1__BN557_00184
ERR1913222.283450__1.283450	45851__D4S1J8__BUTYVIB_01969
ERR1913222.283514__1.283514	1262886__R6QJR0__BN563_01268
ERR1913222.283623__1.283623	1284775__A0A095Y4Z7__HMPREF1640_07200
ERR1913222.283838__1.283838	1262761__R6R5E1__BN606_01164
ERR1913222.283934__1.283934	39485__A0A174YZZ2__ERS852492_00215
ERR1913222.284179__1.284179	1897011__A0A1Q6RH97__BHW41_01945
ERR1913222.284260__1.284260	39491__C4ZCV7__ERE_23110
ERR1913222.284729__1.284729	45851__D4RWC6__BHV86_07010
ERR1913222.284734__1.284734	45851__D4S1R9__BHV86_08150
ERR1913222.284996__1.284996	1965604__A0A1Y4ERL1__B5F54_16810
ERR1913222.285054__1.285054	1262945__R6YZY9__BN600_00542
ERR1913222.285116__1.285116	45851__D4RW73__BHV86_06745
ERR1913222.285237__1.285237	45851__D4S1J6__BHV86_08535
ERR1913222.285341__1.285341	45851__D4RWZ9__murF
ERR1913222.285496__1.285496	45851__D4S0P1__BUTYVIB_01660
ERR1913222.285766__1.285766	39485__R5ZT06__EUBELI_20526
ERR1913222.285820__1.285820	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913222.285953__1.285953	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913222.285909__1.285909	1262535__GeneID:16385027
ERR1913222.285981__1.285981	39485__R5ZHA7__ERS852490_00039
ERR1913222.286120__1.286120	821__A0A174WBC9__ERS852556_03145
ERR1913222.286363__1.286363	1262825__R5E1G0__BN724_01308
ERR1913222.286450__1.286450	1262882__R5MNC1__BN519_00818
ERR1913222.286680__1.286680	1262825__R5E0Q5__BN724_01182
ERR1913222.286833__1.286833	39485__A0A174YYW2__benM
ERR1913222.286888__1.286888	572010__hgdC_1
ERR1913222.287403__1.287403	1150298__A0A174BC67__ERS852498_00837
ERR1913222.288094__1.288094	1262882__R5MEN2__BN519_00200
ERR1913222.288129__1.288129	165179__A0A174WRI9__DXB80_04870
ERR1913222.288388__1.288388	572010__rpoB
ERR1913222.288433__1.288433	100886__R7GNA5__ERS852383_05535
ERR1913222.288522__1.288522	33043__D5HIL5__ERS852445_01761
ERR1913222.288843__1.288843	45851__D4S366__BUTYVIB_02552
ERR1913222.288891__1.288891	1262961__R6E3R5__BN710_01440
ERR1913222.289042__1.289042	45851__D4RZ17__BUTYVIB_01081
ERR1913222.289188__1.289188	45851__D4RYA4__BHV86_02030
ERR1913222.289560__1.289560	39492__A0A3D4MN89__nadD
ERR1913222.289648__1.289648	328814__GCA_004558275.1_00987
ERR1913222.289632__1.289632	165179__A0A3E5EAT2__DXC61_07585
ERR1913222.289638__1.289638	1262761__R6R3I7__BN606_01771
ERR1913222.289755__1.289755	39485__C4Z6B7__EUBELI_20364
ERR1913222.289789__1.289789	1262882__R5N4P6__BN519_01346
ERR1913222.290004__1.290004	1263006__R6LSL5__BN515_00102
ERR1913222.290506__1.290506	1262816__R6C525__BN687_00244
ERR1913222.290704__1.290704	2173__A0A1D2WTP5__BK798_02785
ERR1913222.291073__1.291073	165179__A0A3E5AHY4__CFT61_07675
ERR1913222.291055__1.291055	39485__C4Z390__EUBELI_01689
ERR1913222.291194__1.291194	45851__D4RY08__BUTYVIB_00711
ERR1913222.291375__1.291375	45851__D4S247__BUTYVIB_02169
ERR1913222.291393__1.291393	1262886__R6Q7C7__BN563_00709
ERR1913222.291423__1.291423	1262825__R5EA04__BN724_00076
ERR1913222.291680__1.291680	28118__R6F7H1__DF785_12785
ERR1913222.291969__1.291969	45851__D4S013__BHV86_10590
ERR1913222.291972__1.291972	1262959__R5YVJ9__BN680_01667
ERR1913222.292054__1.292054	45851__D4S247__BUTYVIB_02169
ERR1913222.292037__1.292037	1263027__R6ZHT1__BN699_00016
ERR1913222.292103__1.292103	820__A0A3E4VXP2__yesR
ERR1913222.292110__1.292110	39485__A0A174YJA4__EUBELI_20421
ERR1913222.292135__1.292135	45851__D4S1P1__BHV86_08290
ERR1913222.292204__1.292204	552398__F4XCR9__HMPREF0866_01636
ERR1913222.292251__1.292251	1263006__R6LYR2__BN515_01475
ERR1913222.292224__1.292224	572010__adhR
ERR1913222.292319__1.292319	39485__A0A174ZNZ2__ERS852492_02345
ERR1913222.292363__1.292363	1735__A0A0E9EXE5__EUBIFOR_01739
ERR1913222.292379__1.292379	28118__F9Z4Q7__DER54_08070
ERR1913222.292389__1.292389	2173__A0A1D2WXC5__METSMIALI_01265
ERR1913222.292810__1.292810	649756__A0A173SJN7__fgs_1
ERR1913222.293735__1.293735	1150298__A0A174K7D2__ERS852498_01147
ERR1913222.293828__1.293828	821__A0A396F598__CUU_3259
ERR1913222.293982__1.293982	165179__A0A3E5DZA5__DXB80_12550
ERR1913222.294242__1.294242	572010__hgdC_1
ERR1913222.294539__1.294539	39485__A0A174ZBK4__ERS852490_01585
ERR1913222.294579__1.294579	165179__R6C330__DXC61_04975
ERR1913222.295589__1.295589	649756__E5VNF2__DO83_06405
ERR1913222.295767__1.295767	166486__D4KVZ2__cbiT
ERR1913222.295812__1.295812	1262761__R6R3W1__BN606_01849
ERR1913222.296201__1.296201	45851__D4RWC5__BHV86_07005
ERR1913222.296379__1.296379	1262825__R5EBY3__BN724_02066
ERR1913222.296380__1.296380	45851__D4RZ86__BHV86_03570
ERR1913222.296405__1.296405	28111__E5WZE2__NCTC11155_00550
ERR1913222.296456__1.296456	1680__A0A173YLK6__BAD_0868
ERR1913222.296502__1.296502	39491__A0A173U130__ERE_16110
ERR1913222.296787__1.296787	45851__D4S069__spoIVA
ERR1913222.296785__1.296785	165179__D1PEW8__DXB80_13775
ERR1913222.296993__1.296993	88431__A0A3D0EWY9__ERS852423_01238
ERR1913222.297349__1.297349	45851__D4RYG8__BUTYVIB_00874
ERR1913222.297355__1.297355	1263000__R5EXT3__BN466_02213
ERR1913222.297458__1.297458	45851__D4S140__BUTYVIB_01810
ERR1913222.297498__1.297498	1262958__R7GR59__BN645_00956
ERR1913222.297779__1.297779	39485__R5ZQJ7__yniC
ERR1913222.297854__1.297854	45851__D4S013__BHV86_10590
ERR1913222.298070__1.298070	1897011__A0A1Q6RI93__BHW41_01175
ERR1913222.298347__1.298347	39485__R5ZSH7__EUBELI_00953
ERR1913222.298914__1.298914	1262760__R5LCT5__BN758_01920
ERR1913222.298893__1.298893	1262958__R7H1D8__BN645_01554
ERR1913222.299218__1.299218	1262882__R5MSQ8__BN519_01647
ERR1913222.299530__1.299530	1262945__R6ZYK7__BN600_01801
ERR1913222.299584__1.299584	1262911__R6GUQ4__BN557_01581
ERR1913222.299586__1.299586	45851__R5LRY3__BUTYVIB_01906
ERR1913222.299736__1.299736	2173__R7PWI5__rplJ
ERR1913222.299688__1.299688	33043__D5HGM5__ERS852575_00437
ERR1913222.299814__1.299814	1262825__R5EHM5__BN724_01843
ERR1913222.300494__1.300494	45851__D4RYD1__ytvI
ERR1913222.300613__1.300613	821__A0A174K302__CUU_3129
ERR1913222.300631__1.300631	165179__D1PDJ4__DXB80_08505
ERR1913222.300739__1.300739	45851__R5LAF0__BHV86_08225
ERR1913222.300863__1.300863	165179__A0A3E5E4P9__DXB80_07930
ERR1913222.300947__1.300947	853__A0A173RZ39__C4N22_01650
ERR1913222.301160__1.301160	1262760__R5LGW0__BN758_01815
ERR1913222.301172__1.301172	88431__A0A3D0F0E5__ERS852526_03216
ERR1913222.301338__1.301338	39485__C4Z355__ERS852490_01971
ERR1913222.301369__1.301369	1150298__A0A174HXS4__ERS852498_00503
ERR1913222.301402__1.301402	165179__R6B8D8__DXC61_09245
ERR1913222.301439__1.301439	1897011__A0A1Q6RE52__BHW41_04690
ERR1913222.301684__1.301684	1735__B7C934__EUBIFOR_00691
ERR1913222.301792__1.301792	1465754__A0A1H4EWY7__SAMN05444145_108126
ERR1913222.301851__1.301851	45851__D4S1J6__BHV86_08535
ERR1913222.301816__1.301816	1262945__R6Z2E6__BN600_01343
ERR1913222.302093__1.302093	1262882__R5MFY4__BN519_00529
ERR1913222.302155__1.302155	45851__R5LRK0__BUTYVIB_00520
ERR1913222.302325__1.302325	853__A0A173YYY4__DWZ04_09420
ERR1913222.302380__1.302380	39485__C4Z2X2__ERS852492_01808
ERR1913222.302500__1.302500	45851__D4RW33__ylbJ
ERR1913222.302545__1.302545	165179__A0A3E5AFJ9__CFT61_15180
ERR1913222.302614__1.302614	1150298__A0A174LKY6__ERS852535_00447
ERR1913222.302706__1.302706	39492__D4MIY5__EUBSIR_00233
ERR1913222.302692__1.302692	28116__F7L4X5__M089_2857
ERR1913222.302672__1.302672	45851__D4RWD3__BHV86_07045
ERR1913222.303360__1.303360	1262882__R5MLP5__BN519_01602
ERR1913222.303510__1.303510	552398__T5RKT4__HMPREF0866_04531
ERR1913222.303575__1.303575	33043__D5HFF6__yihX
ERR1913222.303550__1.303550	853__E2ZJT1__C4N23_03535
ERR1913222.303555__1.303555	165179__A0A3E5E2S3__DXB80_03455
ERR1913222.303705__1.303705	45851__D4RZA1__rimI
ERR1913222.303845__1.303845	45851__R5LL35__BUTYVIB_01928
ERR1913222.304177__1.304177	45851__D4RWI9__BHV86_05910
ERR1913222.304270__1.304270	39491__A0A395ZF49__DXB69_05290
ERR1913222.304337__1.304337	45851__R5LTE7__BHV86_04805
ERR1913222.304577__1.304577	1262760__R5LS15__BN758_01474
ERR1913222.304803__1.304803	853__A0A2A7A628__CGS57_13755
ERR1913222.305068__1.305068	1262911__R6GT76__BN557_01150
ERR1913222.305078__1.305078	1262761__R6QTF1__BN606_01445
ERR1913222.305158__1.305158	821__A0A174RA14__M099_1655
ERR1913222.305214__1.305214	45851__D4RWZ9__murF
ERR1913222.305219__1.305219	40520__A5ZTX9__DXD81_17900
ERR1913222.305393__1.305393	45851__D4RZC9__BUTYVIB_01195
ERR1913222.305508__1.305508	45851__D4S0P6__BUTYVIB_01665
ERR1913222.305541__1.305541	1263006__R6LWV2__BN515_00272
ERR1913222.305660__1.305660	1262825__R5E8D2__BN724_02151
ERR1913222.306087__1.306087	61171__B9Y5T8__HOLDEFILI_01170
ERR1913222.306309__1.306309	45851__D4RWN7__BHV86_06150
ERR1913222.306392__1.306392	45851__D4RWJ0__BHV86_05915
ERR1913222.306605__1.306605	40520__R7D9Z5__DXD81_01525
ERR1913222.306690__1.306690	165179__A0A174SR12__DXB80_04410
ERR1913222.306708__1.306708	1660__J3J585__APY09_07775
ERR1913222.306939__1.306939	77917__A0A2P8EHG9__NCTC13121_01886
ERR1913222.307176__1.307176	572010__tgt
ERR1913222.307338__1.307338	1262825__R5E7H3__BN724_01638
ERR1913222.307664__1.307664	45851__D4S0P6__BUTYVIB_01665
ERR1913222.308303__1.308303	357276__A0A076IRZ5__BACDOR_00630
ERR1913222.308418__1.308418	1262886__R6QHX8__BN563_00685
ERR1913222.309087__1.309087	39485__R5ZZA6__ERS852490_00168
ERR1913222.309173__1.309173	1262945__R6Z387__BN600_01639
ERR1913222.309180__1.309180	384639__GCA_003096855.1_00975
ERR1913222.309139__1.309139	1262886__R6QKQ6__BN563_01547
ERR1913222.309146__1.309146	39485__A0A174ZNW9__luxQ_1
ERR1913222.309306__1.309306	45851__D4S2J5__BUTYVIB_02317
ERR1913222.309559__1.309559	1262825__R5ECH5__BN724_02253
ERR1913222.309820__1.309820	39491__A0A396FF66__DXD95_01810
ERR1913222.309908__1.309908	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913222.310011__1.310011	45851__R5LYT8__BUTYVIB_02538
ERR1913222.310401__1.310401	39485__A0A174ZNW9__luxQ_1
ERR1913222.310405__1.310405	1262911__R6GPB5__BN557_00842
ERR1913222.310632__1.310632	131111__K0ZJ19__HMPREF9241_00403
ERR1913222.310695__1.310695	39491__C4Z9Y3__ERS852417_01808
ERR1913222.310715__1.310715	1263107__GCA_000436995.1_00197
ERR1913222.310716__1.310716	45851__D4RWI2__BHV86_07325
ERR1913222.310727__1.310727	33043__A0A174GGF8__dcuS_1
ERR1913222.310821__1.310821	165179__D1PEQ5__PREVCOP_05711
ERR1913222.310824__1.310824	853__A0A2A7B9I6__DW855_13690
ERR1913222.310857__1.310857	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913222.310980__1.310980	45851__D4S330__BHV86_03650
ERR1913222.310998__1.310998	544645__A0A3E4TG71__DXC42_03425
ERR1913222.311324__1.311324	39485__A0A174YMM2__ERS852490_01019
ERR1913222.311400__1.311400	1262761__R6R8R4__BN606_01561
ERR1913222.311642__1.311642	1262825__R5EK39__BN724_02341
ERR1913222.311667__1.311667	39485__C4Z1J7__ERS852490_01574
ERR1913222.311790__1.311790	39485__C4Z1J7__ERS852490_01574
ERR1913222.311835__1.311835	39485__A0A174YTF7__ERS852490_01271
ERR1913222.312068__1.312068	338188__R6RPM1__BACFIN_05401
ERR1913222.312310__1.312310	45851__D4RX09__BUTYVIB_00360
ERR1913222.312799__1.312799	45851__D4RW69__BUTYVIB_00200
ERR1913222.312969__1.312969	1262760__R5LP78__BN758_00891
ERR1913222.313048__1.313048	39485__C4Z390__EUBELI_01689
ERR1913222.314033__1.314033	1263006__R6LPA6__BN515_01864
ERR1913222.314039__1.314039	853__A0A174C5M1__CGS58_04460
ERR1913222.314090__1.314090	1263006__R6LR21__BN515_00462
ERR1913222.314155__1.314155	131111__K0Z6J6__CYJ25_07980
ERR1913222.314866__1.314866	1262911__R6GK39__BN557_01755
ERR1913222.315121__1.315121	45851__D4S200__BHV86_07815
ERR1913222.315152__1.315152	45851__D4RW33__ylbJ
ERR1913222.315297__1.315297	39491__A0A396FPV7__ERS852580_01177
ERR1913222.315371__1.315371	45851__D4RXA5__BHV86_02525
ERR1913222.315450__1.315450	1262961__R6EFP3__BN710_01985
ERR1913222.315659__1.315659	853__D4K7X0__DW905_09540
ERR1913222.315921__1.315921	45851__D4RW36__BUTYVIB_00166
ERR1913222.316067__1.316067	1897011__A0A1Q6RE52__BHW41_04690
ERR1913222.316091__1.316091	39485__A0A174ZLH6__EUBELI_01564
ERR1913222.316096__1.316096	544645__A0A3E4T3S3__DXC42_12255
ERR1913222.316409__1.316409	1262825__R5ECD0__BN724_02208
ERR1913222.316661__1.316661	39485__A0A174Z7G5__EUBELI_01168
ERR1913222.317163__1.317163	45851__D4RWN7__BHV86_06150
ERR1913222.317184__1.317184	1262760__R5L825__BN758_01252
ERR1913222.317531__1.317531	1262961__R6E1W4__BN710_00924
ERR1913222.317738__1.317738	39485__A0A174ZBJ8__speA_2
ERR1913222.317682__1.317682	1262886__R6QNM3__BN563_00033
ERR1913222.317798__1.317798	853__A0A2A7B9I6__DW855_13690
ERR1913222.318188__1.318188	290054__A0A1T4NGJ6__SAMN02745114_01599
ERR1913222.318754__1.318754	1262761__R6QWI4__BN606_00934
ERR1913222.319030__1.319030	45851__D4RWR5__BHV86_06295
ERR1913222.319039__1.319039	1150298__A0A174HIS8__ERS852535_00284
ERR1913222.319236__1.319236	39485__R5ZPP8__EUBELI_20334
ERR1913222.319289__1.319289	165179__A0A3E5DZ45__DXC61_02820
ERR1913222.319291__1.319291	1262929__R6F5G9__BN691_01545
ERR1913222.319418__1.319418	853__A0A3E2U7E6__ERS852582_01640
ERR1913222.319554__1.319554	45851__D4RYC4__BHV86_01935
ERR1913222.319664__1.319664	47678__R5UZR6__HMPREF1061_03971
ERR1913222.319720__1.319720	1897011__A0A1Q6RH29__BHW41_01570
ERR1913222.319835__1.319835	821__A0A396F598__CUU_3259
ERR1913222.320002__1.320002	165179__D1PFV4__PREVCOP_06112
ERR1913222.320092__1.320092	39485__A0A174ZPJ9__tig_2
ERR1913222.321004__1.321004	1262825__R5E7C9__BN724_01626
ERR1913222.321243__1.321243	39485__A0A174YVL0__xynZ_2
ERR1913222.321219__1.321219	39485__R5ZHA7__ERS852490_00039
ERR1913222.321318__1.321318	33043__D5HGR0__rpfC_2
ERR1913222.321378__1.321378	39486__R6SNR2__DXD18_05710
ERR1913222.321431__1.321431	45851__D4RYS8__BUTYVIB_00989
ERR1913222.321906__1.321906	166486__D4L457__ROSINTL182_07087
ERR1913222.322224__1.322224	45851__D4RYI3__BHV86_01630
ERR1913222.322514__1.322514	165179__A0A3E5E6S6__DXB80_07575
ERR1913222.322742__1.322742	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913222.322671__1.322671	28130__E1KP12__HMPREF0654_10855
ERR1913222.322673__1.322673	45851__D4RW73__BHV86_06745
ERR1913222.322766__1.322766	745368__A0A1T4X373__SAMN02745178_01365
ERR1913222.323374__1.323374	39485__A0A175A871__EUBELI_00414
ERR1913222.323417__1.323417	165179__A0A3E5DV57__DXB80_11400
ERR1913222.323420__1.323420	45851__D4RYR7__BHV86_05495
ERR1913222.323582__1.323582	1262825__R5ECU5__BN724_01125
ERR1913222.323957__1.323957	45851__D4S0C7__BHV86_10030
ERR1913222.324188__1.324188	1628085__A0A3E2Y462__C7386_1246
ERR1913222.324297__1.324297	165179__A0A3E5EBY9__CFT61_01220
ERR1913222.324254__1.324254	165179__A0A3E5DWZ6__DXC61_10880
ERR1913222.324426__1.324426	1262961__R6DW08__BN710_00228
ERR1913222.324489__1.324489	1262760__R5LAS3__BN758_00722
ERR1913222.324702__1.324702	33043__A0A173YLD4__ERS852575_00535
ERR1913222.325011__1.325011	1897011__A0A1Q6RIQ3__BHW41_00450
ERR1913222.325208__1.325208	45851__D4RW36__BUTYVIB_00166
ERR1913222.325296__1.325296	853__A0A173TAZ8__DWZ46_14590
ERR1913222.325349__1.325349	45851__D4S0D7__BUTYVIB_01556
ERR1913222.325400__1.325400	165179__D1P9T6__PREVCOP_04016
ERR1913222.325609__1.325609	45851__D4RWN6__BUTYVIB_00072
ERR1913222.325754__1.325754	45851__D4RZ82__BHV86_03550
ERR1913222.325690__1.325690	1656__F2UYI5__HMPREF0059_01140
ERR1913222.325857__1.325857	45851__D4RYU3__BUTYVIB_01007
ERR1913222.326071__1.326071	328814__GCA_004558275.1_00991
ERR1913222.326340__1.326340	1262825__R5EC53__BN724_01317
ERR1913222.326651__1.326651	45851__D4RWC6__BHV86_07010
ERR1913222.326718__1.326718	1262886__R6QKQ6__BN563_01547
ERR1913222.326888__1.326888	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913222.326934__1.326934	100886__E2NSF9__rpoB
ERR1913222.326912__1.326912	1262825__R5EKZ9__BN724_00513
ERR1913222.326983__1.326983	39485__C4Z6E8__EUBELI_20395
ERR1913222.327136__1.327136	39485__C4Z5L2__ERS852490_00659
ERR1913222.327198__1.327198	39485__C4Z355__ERS852490_01971
ERR1913222.327412__1.327412	165179__R6BQP4__DXC61_02015
ERR1913222.327491__1.327491	2173__A0A1D2WSN7__Msm_1465
ERR1913222.327910__1.327910	45851__D4RYZ4__BHV86_03155
ERR1913222.327919__1.327919	33043__A0A173YPE0__thiD
ERR1913222.328041__1.328041	88431__A0A3D0EY52__ERS852573_01763
ERR1913222.328385__1.328385	45851__D4S317__BUTYVIB_02469
ERR1913222.328588__1.328588	39485__R6AET9__EUBELI_01205
ERR1913222.328872__1.328872	165179__A0A3E5EBY9__CFT61_01220
ERR1913222.329038__1.329038	39485__C4Z6V1__ERS852492_02640
ERR1913222.329376__1.329376	45851__D4S1B2__BHV86_08920
ERR1913222.329595__1.329595	821__A0A174WBC9__ERS852556_03145
ERR1913222.329816__1.329816	1262760__R5LAY9__BN758_01679
ERR1913222.329805__1.329805	1263006__R6LWF1__BN515_02111
ERR1913222.329976__1.329976	821__A0A174JYD3__ERS852457_02610
ERR1913222.330022__1.330022	45851__D4RXA5__BHV86_02525
ERR1913222.330185__1.330185	39488__A0A374NKN1__ltaS_2
ERR1913222.330196__1.330196	1262825__R5EE92__BN724_00743
ERR1913222.330241__1.330241	45851__D4RYB8__BHV86_01965
ERR1913222.330231__1.330231	39485__A0A174ZNZ2__ERS852492_02345
ERR1913222.330493__1.330493	39485__A0A174ZPJ9__tig_2
ERR1913222.330692__1.330692	357276__A0A076J9V8__BACDOR_01395
ERR1913222.330807__1.330807	2173__A5UNK1__METSMIF1_03217
ERR1913222.331020__1.331020	1262777__R5VIB8__BN512_00948
ERR1913222.331141__1.331141	1262882__R5MYP2__BN519_00435
ERR1913222.331426__1.331426	39485__C4Z2I5__ERS852492_02214
ERR1913222.331403__1.331403	45851__D4S069__spoIVA
ERR1913222.331568__1.331568	45851__R5LYV2__BHV86_00590
ERR1913222.331604__1.331604	1262911__R6GPB5__BN557_00842
ERR1913222.332087__1.332087	33043__A0A174GPT0__plsC_2
ERR1913222.332179__1.332179	45851__D4S0T7__BHV86_09275
ERR1913222.332265__1.332265	1262959__R5YCY8__BN680_00151
ERR1913222.332433__1.332433	45851__D4RXN5__BUTYVIB_00586
ERR1913222.332603__1.332603	556259__I0PXW0__BSGG_5187
ERR1913222.332747__1.332747	1262825__R5E978__BN724_00307
ERR1913222.332868__1.332868	165179__A0A174SA26__PREVCOP_05758
ERR1913222.332916__1.332916	33043__A0A174EI47__inlJ
ERR1913222.332964__1.332964	1262886__R6QL76__BN563_00216
ERR1913222.332968__1.332968	28116__I9JM49__NCTC11153_01044
ERR1913222.333158__1.333158	1735__B7CE14__EUBIFOR_02449
ERR1913222.333211__1.333211	1262761__R6R763__BN606_01311
ERR1913222.333221__1.333221	1262886__R6RCF6__BN563_00371
ERR1913222.333273__1.333273	39485__C4Z684__ERS852492_01895
ERR1913222.333768__1.333768	28052__R5HJU0__ERS852451_00148
ERR1913222.333914__1.333914	45851__D4RYQ2__BUTYVIB_00960
ERR1913222.334015__1.334015	1263000__R5EKG2__BN466_02040
ERR1913222.334048__1.334048	45851__R5LJL1__BHV86_09305
ERR1913222.334231__1.334231	45851__R5LJL1__BHV86_09305
ERR1913222.334299__1.334299	45851__D4RWI9__BHV86_05910
ERR1913222.334462__1.334462	45851__R5LRY3__BUTYVIB_01906
ERR1913222.334537__1.334537	1262761__R6R3W1__BN606_01849
ERR1913222.334556__1.334556	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913222.334704__1.334704	131111__K0YQ21__aroD
ERR1913222.334845__1.334845	1262911__R6GY22__BN557_00023
ERR1913222.335281__1.335281	853__A0A174BZY1__xerD_1
ERR1913222.335378__1.335378	45851__D4RXA4__BUTYVIB_00455
ERR1913222.335419__1.335419	572010__napA
ERR1913222.335436__1.335436	45851__D4RWC8__BHV86_07020
ERR1913222.335571__1.335571	821__A0A174NM17__lacZ_6
ERR1913222.335645__1.335645	1262825__R5EL39__BN724_00543
ERR1913222.335694__1.335694	1263006__R6LX07__BN515_00935
ERR1913222.335746__1.335746	39485__A0A174Z8V5__fliU_2
ERR1913222.335899__1.335899	1262911__R6H2J2__BN557_01228
ERR1913222.335942__1.335942	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913222.335961__1.335961	1501391__GCA_000786575.1_00098
ERR1913222.336088__1.336088	853__A0A173XRA8__CGS56_09290
ERR1913222.336092__1.336092	2173__A0A1D2WRS4__METSMIALI_00521
ERR1913222.336128__1.336128	28130__E1KS32__HMPREF0654_02980
ERR1913222.336542__1.336542	1262924__R7HQV3__BN585_00017
ERR1913222.336584__1.336584	626940__E8LBE7__BN587_01102
ERR1913222.336700__1.336700	45851__D4RZ69__BUTYVIB_01134
ERR1913222.336683__1.336683	45851__D4RZ27__BHV86_03325
ERR1913222.337311__1.337311	165179__A0A3E5E9I4__DXB80_09745
ERR1913222.337527__1.337527	45851__D4RX43__BUTYVIB_00394
ERR1913222.337629__1.337629	1262760__R5LA92__BN758_01569
ERR1913222.338013__1.338013	165179__A0A3E5E189__PREVCOP_06699
ERR1913222.338166__1.338166	418240__A0A173WW09__ERS852523_00448
ERR1913222.338258__1.338258	1263027__R6ZJ84__BN699_01049
ERR1913222.338431__1.338431	45851__D4RW69__BUTYVIB_00200
ERR1913222.338453__1.338453	39491__A0A396FQ67__DXB99_07505
ERR1913222.338558__1.338558	1262825__R5E7H3__BN724_01638
ERR1913222.338632__1.338632	45851__D4S2F3__BUTYVIB_02275
ERR1913222.338665__1.338665	301302__R5UMB9__M72_25011
ERR1913222.339037__1.339037	88431__R7FUI2__ERS852423_02700
ERR1913222.339112__1.339112	39485__A0A174YVS4__EUBELI_00620
ERR1913222.339490__1.339490	39491__A0A395ZF49__DXB69_05290
ERR1913222.339447__1.339447	1262911__R6H1B2__BN557_00840
ERR1913222.339568__1.339568	853__C7H7F5__DWZ46_01780
ERR1913222.340235__1.340235	45851__D4S0D7__BUTYVIB_01556
ERR1913222.340451__1.340451	45851__D4S069__spoIVA
ERR1913222.340553__1.340553	572010__group_1842
ERR1913222.340837__1.340837	39485__A0A174YQX9__ERS852490_00864
ERR1913222.340894__1.340894	371601__I9AJD5__BN890_44160
ERR1913222.341155__1.341155	371601__A0A1C7H1B8__BN890_22320
ERR1913222.341364__1.341364	45851__D4S031__BHV86_10500
ERR1913222.341900__1.341900	100886__E2NP94__ERS852383_04450
ERR1913222.341959__1.341959	2173__R7PYR7__BK798_01375
ERR1913222.342691__1.342691	131111__K0ZHC0__CYJ25_06025
ERR1913222.342865__1.342865	1262882__R5MYS0__BN519_00284
ERR1913222.343164__1.343164	823__A0A395Z066__M091_0663
