ERR1913162.17__1.17	239935__R6JD78__CXU05_09250
ERR1913162.192436__1.192436	214856__A0A174Z9Y8__ERS852559_00247
ERR1913162.192414__1.192414	1550024__G9RX78__TQ39_04855
ERR1913162.193002__1.193002	239935__R6JAS2__CXU02_10725
ERR1913162.193155__1.193155	1550024__A0A3B9WG46__ASJ35_14590
ERR1913162.193256__1.193256	328814__GCA_004558275.1_01621
ERR1913162.193226__1.193226	1550024__G9RT56__TQ39_09200
ERR1913162.193477__1.193477	1262869__R7CP96__BN625_01193
ERR1913162.193512__1.193512	2293125__A0A374BMK9__DW917_16190
ERR1913162.193564__1.193564	821__U6RDC2__DXD46_15675
ERR1913162.193644__1.193644	821__A6L0C7__ERS852556_03520
ERR1913162.193698__1.193698	1262882__R5MH82__BN519_00752
ERR1913162.193933__1.193933	357276__B6W5Q7__DXD47_13945
ERR1913162.194249__1.194249	216816__C2GV16__APC1504_1666
ERR1913162.194241__1.194241	1550024__A0A0D8J084__TQ39_06930
ERR1913162.194272__1.194272	1262882__R5MM90__BN519_01721
ERR1913162.194322__1.194322	1550024__G9RVD5__ASJ35_04350
ERR1913162.194563__1.194563	357276__E5UTL1__HMPREF1065_03551
ERR1913162.194794__1.194794	1262882__R5MND9__BN519_00831
ERR1913162.194930__1.194930	239935__A0A2N8IU45__DEF40_02365
ERR1913162.194932__1.194932	1262869__R7CRJ0__BN625_01726
ERR1913162.195043__1.195043	239935__B2UPZ6__CXU03_03800
ERR1913162.195092__1.195092	1965560__A0A1Y4RCE1__B5E82_16530
ERR1913162.195163__1.195163	1897011__A0A1Q6REZ1__BHW41_04525
ERR1913162.195165__1.195165	47678__A5ZBL9__C5Z00_18710
ERR1913162.195693__1.195693	823__A6LB62__B5F32_04550
ERR1913162.195809__1.195809	1262882__R5MFM2__BN519_00460
ERR1913162.196056__1.196056	239935__A0A2N8I694__CXU04_06245
ERR1913162.196090__1.196090	418240__A0A174BCX7__ERS852478_02371
ERR1913162.196092__1.196092	821__A0A3E4KIM1__M097_3660
ERR1913162.196208__1.196208	357276__A0A076IN21__BSEG_03078
ERR1913162.196219__1.196219	853__A0A2A7B1Y7__C7K05_11930
ERR1913162.196891__1.196891	1262882__R5MQ68__BN519_01178
ERR1913162.197035__1.197035	357276__I9F327__DXD47_22495
ERR1913162.197168__1.197168	820__A0A396EXA7__DXB37_15530
ERR1913162.197174__1.197174	821__A0A0P0M2J4__DXD46_10295
ERR1913162.197738__1.197738	1034346__A0A3C0DHB3__DBX92_09040
ERR1913162.197798__1.197798	239935__R7E524__CXT91_06180
ERR1913162.197935__1.197935	1160721__A0A1C6JFS8__RBI_I00359
ERR1913162.198381__1.198381	239935__B2URG6__CXU02_00030
ERR1913162.198569__1.198569	39485__A0A174Z9M2__yhbU_1
ERR1913162.198625__1.198625	818__A0A3E5HVB7__Btheta7330_02386
ERR1913162.198845__1.198845	28116__D7K2E0__endOF2_3
ERR1913162.198883__1.198883	214856__R6XTZ7__ERS852447_02314
ERR1913162.198979__1.198979	1262869__R7CUK0__BN625_00521
ERR1913162.199105__1.199105	1262882__R5MFA5__BN519_00331
ERR1913162.199263__1.199263	1262882__R5MYS9__BN519_00290
ERR1913162.199509__1.199509	544645__A0A1Y3VYF4__DXC42_05190
ERR1913162.199534__1.199534	820__A0A3E4RU03__M093_0563
ERR1913162.199587__1.199587	1262882__R5N3H1__BN519_01121
ERR1913162.199684__1.199684	239935__A0A2N8HHB6__B5G29_11500
ERR1913162.200225__1.200225	823__A0A078SYK6__DXB14_02485
ERR1913162.200365__1.200365	1262924__R7HN51__BN585_01718
ERR1913162.200574__1.200574	360807__A0A1Q6SXK5__RIL183_06541
ERR1913162.200736__1.200736	328814__GCA_004558275.1_00073
ERR1913162.200794__1.200794	28118__F9ZAS2__B5F93_06130
ERR1913162.200967__1.200967	239935__A0A2N8IHY1__CXU06_00035
ERR1913162.200994__1.200994	239935__A0A2N8IF99__lpdA
ERR1913162.201099__1.201099	1160721__W0U2B0__BHW50_02375
ERR1913162.201216__1.201216	239935__R7E524__CXT91_06180
ERR1913162.201265__1.201265	239935__A0A2N8I1R3__CXU05_06075
ERR1913162.201277__1.201277	239935__A0A2N8I9P4__CXT85_05050
ERR1913162.201557__1.201557	239935__A0A2N8HBM4__CXT85_06270
ERR1913162.201612__1.201612	28117__B0MXR1__BHV66_08035
ERR1913162.201714__1.201714	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913162.201724__1.201724	1550024__A0A3B9WIB6__TQ39_08435
ERR1913162.202001__1.202001	239935__R7DVL7__CXT93_01180
ERR1913162.202042__1.202042	1262882__R5MYP8__BN519_00439
ERR1913162.202148__1.202148	328814__GCA_004558275.1_00293
ERR1913162.202210__1.202210	1262882__R5MHQ8__BN519_00707
ERR1913162.202223__1.202223	28116__I9AKR7__DXA80_22960
ERR1913162.202366__1.202366	1262882__R5MHZ2__BN519_00742
ERR1913162.202384__1.202384	357276__A0A076INK2__BSEG_04225
ERR1913162.202509__1.202509	239935__A0A2N8J2P6__ADH72_06730
ERR1913162.202512__1.202512	28117__B0MYW7__ALIPUT_02336
ERR1913162.202549__1.202549	1262882__R5MMY3__BN519_00724
ERR1913162.202815__1.202815	100886__E2NQ86__ERS852383_05208
ERR1913162.203103__1.203103	1897011__A0A1Q6RF44__BHW41_03065
ERR1913162.203195__1.203195	1262992__R5DCV6__BN795_00412
ERR1913162.203206__1.203206	1550024__A0A0W7TNX6__ASJ35_13710
ERR1913162.203273__1.203273	1262882__R5MXW0__BN519_00317
ERR1913162.203361__1.203361	28117__B0MZ50__ALIPUT_02424
ERR1913162.203456__1.203456	239935__A0A3F3K985__CXT98_05805
ERR1913162.203565__1.203565	1262869__R7CKJ6__BN625_00840
ERR1913162.203514__1.203514	28116__A7M617__SAMN05192582_105025
ERR1913162.203592__1.203592	823__C7X996__DD466_12595
ERR1913162.203633__1.203633	239935__A0A2N8IVK9__CXU08_03750
ERR1913162.203830__1.203830	46503__K5ZBF7__DD461_15285
ERR1913162.204107__1.204107	544645__A0A1Y3W252__DXC42_17140
ERR1913162.204236__1.204236	1550024__G9RWQ7__ASJ35_03880
ERR1913162.204271__1.204271	1262743__R5C054__BN727_01980
ERR1913162.204285__1.204285	239935__A0A2N8IIB9__CXU04_01970
ERR1913162.204497__1.204497	328814__GCA_004558275.1_02023
ERR1913162.204502__1.204502	1262882__R5MHQ8__BN519_00707
ERR1913162.204716__1.204716	1262869__R7CPD0__BN625_00137
ERR1913162.204765__1.204765	1262882__R5MYX5__BN519_00333
ERR1913162.205164__1.205164	214856__A0A174Z9G9__ERS852447_00497
ERR1913162.205237__1.205237	239935__A0A2N8IL82__CXU02_11740
ERR1913162.205466__1.205466	1550024__G9RWQ7__ASJ35_03880
ERR1913162.205923__1.205923	357276__A0A076J726__IY41_15030
ERR1913162.206107__1.206107	1160721__W0U2W0__BHW50_02075
ERR1913162.206473__1.206473	28118__F9ZCN1__B5F99_10605
ERR1913162.206699__1.206699	154046__A0A174N8L5__DWX31_05830
ERR1913162.206927__1.206927	1262882__R5MLT4__BN519_01496
ERR1913162.207050__1.207050	357276__A0A076J0Y3__IY41_06810
ERR1913162.207083__1.207083	357276__B6VXX7__HMPREF1063_02683
ERR1913162.207027__1.207027	823__D7IT19__DHP27_03495
ERR1913162.207111__1.207111	1124654__GeneID:14005747
ERR1913162.207198__1.207198	371601__D6CWZ8__CW3_1356
ERR1913162.207295__1.207295	239935__A0A2N8ITG2__Amuc_0335
ERR1913162.207640__1.207640	239935__A0A2N8I6R6__CXU04_04335
ERR1913162.207664__1.207664	1263005__R6EQ57__BN497_00378
ERR1913162.207741__1.207741	1263005__R6EZK9__BN497_01649
ERR1913162.208008__1.208008	2292352__A0A374UNZ9__DXC23_01520
ERR1913162.208058__1.208058	1262924__R7HPG6__BN585_00099
ERR1913162.208069__1.208069	1550024__A0A3B9WGK5__TQ39_08450
ERR1913162.208241__1.208241	239935__A0A2N8IU45__DEF40_02365
ERR1913162.208403__1.208403	1099853__G9S8I7__NSB1T_12985
ERR1913162.208631__1.208631	1262743__R5C054__BN727_01980
ERR1913162.209009__1.209009	818__A0A3E5GY25__NCTC13706_02482
ERR1913162.209165__1.209165	28118__R6F051__NCTC10826_00301
ERR1913162.209207__1.209207	1550024__A0A0D8J112__TQ39_05560
ERR1913162.209408__1.209408	239935__A0A139TPD4__CXT86_06450
ERR1913162.209444__1.209444	1550024__A0A0D8IZK5__TQ39_07980
ERR1913162.209598__1.209598	1897011__A0A1Q6RC30__BHW41_06700
ERR1913162.209684__1.209684	1550024__A0A0D8J230__TQ39_04480
ERR1913162.209696__1.209696	1262882__R5MZ41__BN519_00356
ERR1913162.209819__1.209819	1262882__R5MSI5__BN519_01596
ERR1913162.210016__1.210016	28118__F9Z5M1__NCTC10826_02946
ERR1913162.210074__1.210074	246787__A0A0P0GPH1__HMPREF1062_01913
ERR1913162.210331__1.210331	2173__A0A1D2WTN6__METSMIALI_01091
ERR1913162.210613__1.210613	1897011__A0A1Q6RBY6__BHW41_06440
ERR1913162.210661__1.210661	360807__C0FZM4__RIL183_06871
ERR1913162.210662__1.210662	47678__R5U978__ERS852558_01076
ERR1913162.210665__1.210665	1262869__R7CQJ4__BN625_01587
ERR1913162.210918__1.210918	214856__R6Z590__ERS852447_01059
ERR1913162.211015__1.211015	820__A0A174F696__macB_13
ERR1913162.210999__1.210999	239935__A0A2N8IMC3__CXT96_03840
ERR1913162.211194__1.211194	1262882__R5MZZ3__BN519_00482
ERR1913162.211303__1.211303	239935__A0A2N8IU45__DEF40_02365
ERR1913162.211346__1.211346	818__A0A3E5HEV0__BT_3682
ERR1913162.211461__1.211461	1550024__G9RP65__ASJ35_11645
ERR1913162.211589__1.211589	821__U6RDC2__DXD46_15675
ERR1913162.211629__1.211629	487175__D9Y3S6__HMPREF9439_00920
ERR1913162.211521__1.211521	239935__A0A2N8IKW7__pstA
ERR1913162.211956__1.211956	821__A0A174AYT0__DXC02_03530
ERR1913162.212110__1.212110	371601__D0TKK0__HMPREF1074_02427
ERR1913162.212388__1.212388	1550024__A0A0W7TRR8__TQ39_03380
ERR1913162.212412__1.212412	239935__A0A139TT05__CXU09_03335
ERR1913162.212466__1.212466	1550024__A0A0D8IU01__TQ39_19670
ERR1913162.212908__1.212908	1262882__R5N3H1__BN519_01121
ERR1913162.213346__1.213346	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913162.213364__1.213364	387090__S0F8B2__BACCOPRO_02129
ERR1913162.213487__1.213487	239935__A0A2N8HTZ8__CXU09_01270
ERR1913162.213519__1.213519	239935__A0A2N8IF99__lpdA
ERR1913162.213666__1.213666	28117__B0MT86__BHV66_02450
ERR1913162.213724__1.213724	1235835__R9LCU2__C814_02677
ERR1913162.213860__1.213860	1550024__G9RWR2__TQ39_04385
ERR1913162.214127__1.214127	214856__I3YPP3__Alfi_2701
ERR1913162.214378__1.214378	1262882__R5MYI1__BN519_00416
ERR1913162.214517__1.214517	239935__A0A2N8HHB6__B5G29_11500
ERR1913162.214703__1.214703	487175__R5E6U7__HMPREF9439_00748
ERR1913162.214717__1.214717	853__A0A2A7A4A9__C4N21_14870
ERR1913162.214735__1.214735	214856__I3YPP0__ERS852447_01388
ERR1913162.214737__1.214737	1550024__A0A3B9WJZ9__TQ39_02585
ERR1913162.214772__1.214772	1262882__R5MGX3__BN519_00046
ERR1913162.214885__1.214885	28117__B0MYZ8__BHV66_04535
ERR1913162.214910__1.214910	818__A0A3E5HEV0__BT_3682
ERR1913162.214950__1.214950	1683__C4FH23__BBAG_0228
ERR1913162.215146__1.215146	239935__A0A2N8I368__CXT95_04550
ERR1913162.215157__1.215157	239935__A0A2N8IRL2__CXU06_01170
ERR1913162.215377__1.215377	239935__A0A139TT05__CXU09_03335
ERR1913162.215582__1.215582	821__A6L0C7__ERS852556_03520
ERR1913162.215597__1.215597	239935__A0A2N8ITW6__CXT91_06265
ERR1913162.215603__1.215603	1262882__R5N0F4__BN519_00593
ERR1913162.215636__1.215636	1160721__A0A1C6JFS8__RBI_I00359
ERR1913162.215768__1.215768	239935__A0A139TT05__CXU09_03335
ERR1913162.216053__1.216053	821__A0A174V2F3__NCTC10583_01474
ERR1913162.216056__1.216056	239935__A0A2N8HSC0__CXU06_05505
ERR1913162.216166__1.216166	46503__A7AGD9__HMPREF1078_01631
ERR1913162.216793__1.216793	239935__A0A2N8HHY4__DEF40_10850
ERR1913162.217344__1.217344	823__A0A173VPM3__DHW69_17170
ERR1913162.217404__1.217404	1160721__R6TAA3__BHW50_03385
ERR1913162.217459__1.217459	410072__A0A174AMX4__dacB_1
ERR1913162.217466__1.217466	2293125__A0A374BSW4__DW917_13420
ERR1913162.217552__1.217552	10678__GeneID:2777456
ERR1913162.217787__1.217787	1897011__A0A1Q6RGZ3__BHW41_01455
ERR1913162.218146__1.218146	47678__R5UG30__ERS852558_03525
ERR1913162.218538__1.218538	28117__B0MZ14__ALIPUT_02383
ERR1913162.218661__1.218661	214856__A0A174EJT5__mnmA
ERR1913162.218702__1.218702	1683__C4FH23__BBAG_0228
ERR1913162.218703__1.218703	1897011__A0A1Q6RFH2__BHW41_03500
ERR1913162.218775__1.218775	1262992__R5DCV6__BN795_00412
ERR1913162.218930__1.218930	823__A0A173TL14__M095_0764
ERR1913162.219165__1.219165	328814__GCA_004558275.1_02279
ERR1913162.219435__1.219435	823__A0A355XLS2__ERS852380_02644
ERR1913162.219445__1.219445	410072__C0B9X3__ERS852481_01672
ERR1913162.219595__1.219595	821__A0A395UNT8__DXD64_15275
ERR1913162.219749__1.219749	552398__T5RKT4__HMPREF0866_04531
ERR1913162.219758__1.219758	823__D7ILK2__ERS852380_00031
ERR1913162.219803__1.219803	487175__D9Y2L5__HMPREF9439_02565
ERR1913162.220021__1.220021	1550024__A0A3B9WIA4__TQ39_14495
ERR1913162.220000__1.220000	214856__A0A174ZLY7__ERS852447_02456
ERR1913162.220217__1.220217	239935__A0A2N8IF99__lpdA
ERR1913162.220305__1.220305	40518__R5DW64__RBL236_01394
ERR1913162.220332__1.220332	1262911__R6GTG0__BN557_01247
ERR1913162.220529__1.220529	1550024__A0A0D8J296__ASJ35_12655
ERR1913162.220687__1.220687	360807__C0FVL1__ERS852392_00394
ERR1913162.220789__1.220789	821__A0A0P0M2J4__DXD46_10295
ERR1913162.220803__1.220803	823__A0A355XLQ9__DXC05_02185
ERR1913162.220938__1.220938	1262882__R5N3T7__BN519_01188
ERR1913162.221049__1.221049	1262869__R7CNL6__BN625_01290
ERR1913162.221063__1.221063	1550024__G9RWG1__ASJ35_03770
ERR1913162.221130__1.221130	239935__A0A2N8I9P4__CXT85_05050
ERR1913162.221435__1.221435	1263006__R6LU28__BN515_01365
ERR1913162.221566__1.221566	28118__F9Z7E2__NCTC10826_02531
ERR1913162.221571__1.221571	823__A6LER2__ERS852513_00365
ERR1913162.221632__1.221632	1683__C4FDG8__BIFANG_02352
ERR1913162.221661__1.221661	1550024__A0A0D8J0Y8__ASJ35_08680
ERR1913162.221666__1.221666	1550024__A0A0D8IVV4__ASJ35_03610
ERR1913162.221697__1.221697	821__A0A174NM17__lacZ_6
ERR1913162.221799__1.221799	572010__pnp
ERR1913162.221929__1.221929	1262869__R7CTK7__BN625_00203
ERR1913162.221977__1.221977	239935__A0A2N8I791__CXT99_09415
ERR1913162.221990__1.221990	820__A0A139KG04__ERS852459_01249
ERR1913162.222351__1.222351	1262869__R7CPW8__BN625_01602
ERR1913162.222904__1.222904	821__A0A173XDD3__DXB82_17180
ERR1913162.223063__1.223063	360807__C0FVV2__RIL183_27361
ERR1913162.223158__1.223158	1235835__R9LCU2__C814_02677
ERR1913162.223208__1.223208	239935__A0A3F3K9J9__DEF40_00940
ERR1913162.223270__1.223270	301301__A0A395VA65__eutA
ERR1913162.223475__1.223475	1550024__A0A3B9WJ82__ASJ35_03765
ERR1913162.223570__1.223570	384638__B7ASI3__BACPEC_02038
ERR1913162.224306__1.224306	328814__GCA_004558275.1_00076
ERR1913162.224313__1.224313	1262882__R5MF51__BN519_00287
ERR1913162.224424__1.224424	1263044__GCA_000433375.1_00023
ERR1913162.224689__1.224689	204516__U6RAM4__HMPREF1534_03439
ERR1913162.224715__1.224715	1235835__R9LCU2__C814_02677
ERR1913162.225136__1.225136	1685__D6ZXC4__B12L_0080
ERR1913162.225149__1.225149	47678__R5U558__ERS852558_02232
ERR1913162.225292__1.225292	28117__B0MYP3__BHV66_04995
ERR1913162.225300__1.225300	821__A0A0P0M2J4__DXD46_10295
ERR1913162.225506__1.225506	1550024__G9RW35__ASJ35_04635
ERR1913162.225628__1.225628	301301__A0A395V654__RHOM_11910
ERR1913162.225748__1.225748	1262882__R5MEK3__BN519_00296
ERR1913162.225798__1.225798	239935__A0A2N8IF99__lpdA
ERR1913162.225963__1.225963	239935__R6JD78__CXU05_09250
ERR1913162.225982__1.225982	1550024__G9RX51__TQ39_04720
ERR1913162.225993__1.225993	1683__C4FGW1__BIANG_0902
ERR1913162.226064__1.226064	1262882__R5MKL9__BN519_00353
ERR1913162.226253__1.226253	818__A0A0P0FKT1__C5Z03_19050
ERR1913162.226361__1.226361	1262882__R5N678__BN519_01604
ERR1913162.226435__1.226435	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913162.226636__1.226636	239935__R6JCH3__CXT95_08205
ERR1913162.226637__1.226637	328814__GCA_004558275.1_00239
ERR1913162.226665__1.226665	147206__GCF_000156215.1_01777
ERR1913162.226730__1.226730	1262882__R5MZ58__BN519_00525
ERR1913162.226790__1.226790	1263044__GCA_000433375.1_00496
ERR1913162.226850__1.226850	239935__A0A2N8IMD6__CXU03_05585
ERR1913162.227053__1.227053	823__A0A355XIK0__CEQ22_011965
ERR1913162.227137__1.227137	818__A0A2J6AED2__C5Z03_02940
ERR1913162.227178__1.227178	823__A6L9D3__ERS852560_03374
ERR1913162.227180__1.227180	239935__A0A139TT05__CXU09_03335
ERR1913162.227324__1.227324	1262882__R5MXW0__BN519_00317
ERR1913162.227735__1.227735	1263006__R6LU28__BN515_01365
ERR1913162.227858__1.227858	410072__C0B4V0__ERS852481_02420
ERR1913162.228068__1.228068	239935__A0A2N8IRH4__CXT92_05605
ERR1913162.228221__1.228221	410072__A0A174AMX4__dacB_1
ERR1913162.228410__1.228410	214856__A0A173YXX1__ERS852559_01651
ERR1913162.228415__1.228415	214856__R6YBX3__msbA_2
ERR1913162.228372__1.228372	1263044__GCA_000433375.1_00023
ERR1913162.228544__1.228544	239935__A0A2N8HHB6__B5G29_11500
ERR1913162.228731__1.228731	823__A6LHK0__M090_1297
ERR1913162.228708__1.228708	47678__A5ZF31__DXB67_11050
ERR1913162.229006__1.229006	239935__R6K0V8__CXT94_02055
ERR1913162.229401__1.229401	1262882__R5MHZ2__BN519_00742
ERR1913162.229647__1.229647	46503__R6WVI6__HMPREF1060_03610
ERR1913162.229687__1.229687	1897011__A0A1Q6RI11__BHW41_00845
ERR1913162.229793__1.229793	1550024__A0A0W7TT94__TQ39_11150
ERR1913162.229798__1.229798	1262882__R5MLP5__BN519_01602
ERR1913162.229812__1.229812	1262924__R7HSF6__BN585_00844
ERR1913162.229885__1.229885	239935__A0A2N8IU45__DEF40_02365
ERR1913162.229979__1.229979	214856__A0A174FY71__ERS852559_01033
ERR1913162.230182__1.230182	28118__F9ZAE1__DF785_04930
ERR1913162.230243__1.230243	1262938__R5FSX8__BN812_00769
ERR1913162.230351__1.230351	239935__R6JCH3__CXT95_08205
ERR1913162.230368__1.230368	28117__B0MWP2__ALIPUT_01468
ERR1913162.230617__1.230617	1262882__R5N3H1__BN519_01121
ERR1913162.230681__1.230681	1262882__R5MPY4__BN519_01128
ERR1913162.230794__1.230794	1262882__R5MIW5__BN519_00945
ERR1913162.230958__1.230958	823__A0A174EFT7__luxQ_5
ERR1913162.231198__1.231198	1262882__R5MZ58__BN519_00525
ERR1913162.231247__1.231247	239935__A0A2N8INZ4__CXU08_03560
ERR1913162.231226__1.231226	74426__rpoC
ERR1913162.231559__1.231559	239935__A0A2N8I3G2__CXT89_00720
ERR1913162.231714__1.231714	214856__A0A173XIZ3__ERS852559_00434
ERR1913162.231896__1.231896	239935__A0A2N8HUU6__CXT90_06150
ERR1913162.231965__1.231965	239935__A0A139TPG3__CXT86_08810
ERR1913162.232056__1.232056	1160721__R6T2A6__RBI_I00395
ERR1913162.232381__1.232381	1262869__R7CPS6__BN625_01465
ERR1913162.232542__1.232542	820__A0A396EWL3__ERS417307_03868
ERR1913162.232702__1.232702	214856__I3YPQ6__Alfi_2714
ERR1913162.232859__1.232859	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913162.232918__1.232918	357276__A0A076J726__IY41_15030
ERR1913162.232936__1.232936	823__A0A173W8N5__ERS852513_00780
ERR1913162.232986__1.232986	821__A0A0P0LFP6__C5Z04_13890
ERR1913162.233172__1.233172	821__A0A173XDD3__DXB82_17180
ERR1913162.233133__1.233133	239935__A0A2N8IZ16__CXT84_05850
ERR1913162.233324__1.233324	239935__A0A2N8I390__CXU16_10675
ERR1913162.233625__1.233625	239935__A0A2N8J1K0__CXT97_05765
ERR1913162.233734__1.233734	239935__A0A2N8I693__CXU17_08410
ERR1913162.233743__1.233743	1262882__R5MKV8__BN519_01281
ERR1913162.233845__1.233845	1550024__G9RT56__TQ39_09200
ERR1913162.234172__1.234172	214856__A0A174FWM7__ERS852559_00590
ERR1913162.234380__1.234380	301301__G2SXA1__frc_2
ERR1913162.234482__1.234482	1550024__G9RWE3__TQ39_04170
ERR1913162.234662__1.234662	301302__R5UKP4__cbiT
ERR1913162.234687__1.234687	1262792__R6ZL51__BN593_01721
ERR1913162.234902__1.234902	214856__A0A174A0R8__ERS852447_00998
ERR1913162.234936__1.234936	28116__A0A139LD88__CUY_2408
ERR1913162.235041__1.235041	1235835__R9LCU2__C814_02677
ERR1913162.235486__1.235486	47678__R5U9Z0__HMPREF1061_03210
ERR1913162.235672__1.235672	1262986__R5ZUS1__BN492_00989
ERR1913162.235941__1.235941	214856__A0A174FHU9__ERS852447_02347
ERR1913162.235952__1.235952	1262777__R5WCV5__BN512_01137
ERR1913162.236190__1.236190	239935__A0A2N8IVR0__CXT87_07115
ERR1913162.236403__1.236403	1262882__R5MM90__BN519_01721
ERR1913162.236554__1.236554	239935__B2UPZ6__CXU03_03800
ERR1913162.236595__1.236595	371601__A0A1Y4V1T2__DXD80_18495
ERR1913162.236777__1.236777	239935__A0A139TPG3__CXT86_08810
ERR1913162.237009__1.237009	410072__C0B9A6__yvhJ
ERR1913162.237299__1.237299	562__P0AFH7__oppC
ERR1913162.237383__1.237383	239935__A0A2N8IRW0__A4V05_11620
ERR1913162.237591__1.237591	28118__F9ZCN1__B5F99_10605
ERR1913162.237809__1.237809	39485__A0A174YYW2__benM
ERR1913162.237845__1.237845	1262882__R5MND9__BN519_00831
ERR1913162.238058__1.238058	1432052__A0A1E3AED8__BLA28_24990
ERR1913162.238127__1.238127	1304__F8HCG1__SSALIVM18_03556
ERR1913162.238264__1.238264	239935__A0A2N8IRL2__CXU06_01170
ERR1913162.238326__1.238326	1550024__A0A3B9WJJ2__TQ39_18110
ERR1913162.238400__1.238400	1263005__R6EXU9__BN497_01388
ERR1913162.238453__1.238453	1550024__A0A0D8J0U7__ASJ35_13230
ERR1913162.238571__1.238571	239935__A0A2N8IMD6__CXU03_05585
ERR1913162.238851__1.238851	821__A0A3E4KIM1__M097_3660
ERR1913162.238952__1.238952	1263005__R6EZ77__BN497_01505
ERR1913162.239580__1.239580	1262882__R5MEW7__BN519_00010
ERR1913162.239581__1.239581	28118__F9ZAK9__DF785_10030
ERR1913162.239685__1.239685	357276__A0A0K2HI25__DXD47_04465
ERR1913162.239704__1.239704	360807__A0A0M6WAF4__ERS852392_02663
ERR1913162.239816__1.239816	357276__A0A076J8M3__ABI39_13695
ERR1913162.239944__1.239944	100884__E7GGB4__DXB30_18315
ERR1913162.239924__1.239924	1378168__V2YA11__N510_02528
ERR1913162.240113__1.240113	1262743__R5C054__BN727_01980
ERR1913162.240223__1.240223	1262882__R5MHQ8__BN519_00707
ERR1913162.240507__1.240507	823__D7ILK2__ERS852380_00031
ERR1913162.240525__1.240525	745368__A0A1T4Y6M3__SAMN02745178_02754
ERR1913162.240933__1.240933	239935__A0A2N8I365__CXU20_11690
ERR1913162.241162__1.241162	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913162.241230__1.241230	706562__GCA_900112995.1_00569
ERR1913162.241331__1.241331	1262869__R7CR66__BN625_01456
ERR1913162.241379__1.241379	1262882__R5MGI7__BN519_00643
ERR1913162.241659__1.241659	47678__R5U6B9__BACCAC_01372
ERR1913162.241648__1.241648	1262882__R5MM10__BN519_01679
ERR1913162.241922__1.241922	239935__A0A2N8IXN0__CXT95_01765
ERR1913162.241970__1.241970	239935__A0A2N8I3Z7__CXU05_10555
ERR1913162.241973__1.241973	239935__A0A2N8HPS5__Amuc_0950
ERR1913162.241975__1.241975	357276__B6VYT9__HMPREF1063_05030
ERR1913162.242076__1.242076	487175__R5E9C5__HMPREF9439_02457
ERR1913162.242191__1.242191	1034346__A0A2V2FZG2__DES51_12033
ERR1913162.242607__1.242607	2173__A0A1D2WW41__BK798_07915
ERR1913162.242590__1.242590	821__A0A0P0M2J4__DXD46_10295
ERR1913162.242551__1.242551	214856__I3YPP3__Alfi_2701
ERR1913162.242769__1.242769	214856__A0A174G9T6__ERS852447_02535
ERR1913162.242771__1.242771	239935__A0A2N8I3G2__CXT89_00720
ERR1913162.242803__1.242803	239935__A0A2N8J2P6__ADH72_06730
ERR1913162.243096__1.243096	1262882__R5N526__BN519_01603
ERR1913162.243378__1.243378	328814__GCA_004558275.1_00290
ERR1913162.243764__1.243764	1262882__R5N3T7__BN519_01188
ERR1913162.243738__1.243738	239935__A0A2N8ITW6__CXT91_06265
ERR1913162.243918__1.243918	239935__A0A2N8IF99__lpdA
ERR1913162.244411__1.244411	214856__R6Z288__ERS852447_00734
ERR1913162.244496__1.244496	357276__B6VT86__IY41_22515
ERR1913162.244530__1.244530	1683__C4FCR8__Bang102_001370
ERR1913162.244481__1.244481	28117__B0MYI9__BHV66_05415
ERR1913162.244539__1.244539	328814__GCA_004558275.1_00073
ERR1913162.244607__1.244607	1472761__GCA_002159295.1_00731
ERR1913162.244818__1.244818	1263005__R6F288__BN497_00693
ERR1913162.244822__1.244822	410072__C0B9G6__ERS852481_03113
ERR1913162.245027__1.245027	410072__A0A3E4GMB7__COPCOM_03357
ERR1913162.245032__1.245032	544645__A0A3E4T2T3__lgt
ERR1913162.245156__1.245156	544645__A0A1Y3W0T0__DXC42_17695
ERR1913162.245182__1.245182	214856__I3YPR5__ERS852447_01364
ERR1913162.245425__1.245425	544644__GCA_001915615.1_00029
ERR1913162.245642__1.245642	1034346__A0A3C0DCV0__DES51_11911
ERR1913162.245848__1.245848	239935__A0A2N8IVR0__CXT87_07115
ERR1913162.245849__1.245849	821__C6Z087__DXB90_00750
ERR1913162.246078__1.246078	1262992__R5D637__BN795_00221
ERR1913162.246157__1.246157	1263006__R6LU28__BN515_01365
ERR1913162.246186__1.246186	1262882__R5MKV8__BN519_01281
ERR1913162.246214__1.246214	28116__A0A0J9IIV5__M089_5519
ERR1913162.246297__1.246297	818__Q8A3A6__Btheta7330_00071
ERR1913162.246563__1.246563	1262882__R5N1V0__BN519_00816
ERR1913162.246605__1.246605	1681__E4V8Z1__BBTM_00104
ERR1913162.246644__1.246644	328813__A0A1Y3QQ66__B5G41_14240
ERR1913162.246703__1.246703	216816__C2GSX7__DD678_03555
ERR1913162.247021__1.247021	239935__A0A139TPD4__CXT86_06450
ERR1913162.247050__1.247050	357276__A0A076IS26__EL88_15950
