ERR1913014.505__1.505	487174__K0WU53__DDY40_07650
ERR1913014.219270__1.219270	820__A0A374QGD2__ERS852421_02382
ERR1913014.219285__1.219285	28117__B0MXX3__BHV66_07695
ERR1913014.219457__1.219457	853__A0A173SUU8__CGS54_06840
ERR1913014.219511__1.219511	821__A6L0C7__ERS852556_03520
ERR1913014.219524__1.219524	28117__B0MWC6__BHV66_00965
ERR1913014.219568__1.219568	239935__R6J4Y4__CXU17_09810
ERR1913014.219612__1.219612	246787__R6KBH9__HMPREF1062_04676
ERR1913014.219652__1.219652	823__A0A173VS36__M091_4727
ERR1913014.219673__1.219673	246787__A0A0P0GR24__BcellWH2_03263
ERR1913014.219687__1.219687	818__A0A1H7S810__BJP75_003270
ERR1913014.219811__1.219811	47678__R5UAF6__ERS852494_02966
ERR1913014.219841__1.219841	47678__R5UUS9__ERS852558_01432
ERR1913014.219847__1.219847	47678__R5U9Z0__HMPREF1061_03210
ERR1913014.219849__1.219849	820__A7V092__hldE
ERR1913014.219884__1.219884	821__A0A0P0M5Z6__BVU_0429
ERR1913014.219897__1.219897	821__D4V4X2__DXC16_18525
ERR1913014.219920__1.219920	189722__E0NQU7__HMPREF0658_0548
ERR1913014.220127__1.220127	239935__A0A2N8HX65__CXU17_02540
ERR1913014.220266__1.220266	1262743__R5C054__BN727_01980
ERR1913014.220412__1.220412	47678__A5ZL09__BACCAC_03608
ERR1913014.220430__1.220430	820__A0A139K4T0__ERS852510_03146
ERR1913014.220483__1.220483	1263107__GCA_000436995.1_00032
ERR1913014.220497__1.220497	820__A7V9F9__B5G17_14640
ERR1913014.220664__1.220664	246787__A0A0P0G254__axeA1_2
ERR1913014.220633__1.220633	239935__A0A2N8I390__CXU16_10675
ERR1913014.220859__1.220859	28117__B0MXW9__ALIPUT_01981
ERR1913014.220889__1.220889	821__I9R3W6__DXC16_12455
ERR1913014.221004__1.221004	818__A0A139K9H8__C5Z03_23905
ERR1913014.221033__1.221033	29347__B0NKC1__CLOSCI_03963
ERR1913014.221044__1.221044	239935__A0A2N8HB50__CXU17_02615
ERR1913014.221111__1.221111	47678__A5ZEA3__ERS852558_00257
ERR1913014.221105__1.221105	820__R9HXK9__DXB62_08265
ERR1913014.221129__1.221129	239935__A0A2N8HCF5__CXU15_05660
ERR1913014.221145__1.221145	821__A0A174NSU0__BVU_3144
ERR1913014.221263__1.221263	821__A0A174AYT0__DXC02_03530
ERR1913014.221428__1.221428	239935__A0A2N8IAY7__CXU13_02935
ERR1913014.221444__1.221444	239935__A0A2N8IAY7__CXU13_02935
ERR1913014.221506__1.221506	39492__D4JR58__EUBSIR_02090
ERR1913014.221511__1.221511	820__A0A139KHD8__ERS417307_00569
ERR1913014.221471__1.221471	1501392__A0A0B2J8W4__PU94_13825
ERR1913014.221538__1.221538	821__A0A396F598__CUU_3259
ERR1913014.221566__1.221566	88431__A0A174L1Y3__cat
ERR1913014.221715__1.221715	821__A0A3E4WAR6__DXD64_10735
ERR1913014.221730__1.221730	214856__A0A174ZER9__ERS852559_00614
ERR1913014.221757__1.221757	239935__A0A2N8I5A2__DEF40_08455
ERR1913014.221876__1.221876	820__A0A174QLF0__SAMN05444418_109151
ERR1913014.221899__1.221899	1263064__GCA_000431175.1_00165
ERR1913014.221956__1.221956	626932__G5H6W0__HMPREF9450_00670
ERR1913014.221991__1.221991	818__A0A0N7I9C8__BT_2965
ERR1913014.222050__1.222050	821__A0A0P0L8F8__ERS852509_03705
ERR1913014.222162__1.222162	821__A0A174ALF2__BvMPK_3016
ERR1913014.222183__1.222183	821__A0A174MBW9__SAMN04487923_10272
ERR1913014.222184__1.222184	1547__H1AGK2__DW242_10680
ERR1913014.222223__1.222223	821__D4VD59__BHV80_04260
ERR1913014.222328__1.222328	246787__A0A0P0GK12__BcellWH2_04154
ERR1913014.222402__1.222402	39492__R6SA81__EUBSIR_00402
ERR1913014.222451__1.222451	1262989__R6ZAH8__BN815_00636
ERR1913014.222669__1.222669	39492__D4JU30__EUBSIR_00838
ERR1913014.222647__1.222647	239935__A0A2N8HWQ2__CXU13_01775
ERR1913014.222772__1.222772	556261__F0YYY2__HMPREF0240_02313
ERR1913014.222826__1.222826	47678__A5ZEA3__ERS852558_00257
ERR1913014.222841__1.222841	818__A0A174T624__HMPREF2534_01176
ERR1913014.222904__1.222904	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913014.222915__1.222915	2049039__A0A316SG69__DBY32_08730
ERR1913014.222969__1.222969	39492__D4MJF3__EUBSIR_02248
ERR1913014.223036__1.223036	28117__B0MSS1__ALIPUT_00273
ERR1913014.223100__1.223100	1547__H1ANT1__CLORAM_00610
ERR1913014.223269__1.223269	1262882__R5N4I5__BN519_01288
ERR1913014.223308__1.223308	310298__B3JII2__BACCOP_01694
ERR1913014.223473__1.223473	821__D4VC51__M099_1508
ERR1913014.223456__1.223456	239935__A0A2N8IVT6__CXU13_08520
ERR1913014.223528__1.223528	818__A0A3E5GYI4__NCTC10582_00013
ERR1913014.223568__1.223568	820__A0A139KA34__B5G17_05520
ERR1913014.223683__1.223683	1099853__G9S6H4__NSB1T_13585
ERR1913014.223753__1.223753	818__A0A2J6AAG0__C5Z03_04510
ERR1913014.223837__1.223837	239935__A0A2N8HX65__CXU17_02540
ERR1913014.223927__1.223927	239935__A0A2N8IHY1__CXU06_00035
ERR1913014.223928__1.223928	671267__R9IB12__C802_00696
ERR1913014.224045__1.224045	333367__C0CW60__CLOSTASPAR_01214
ERR1913014.224063__1.224063	239935__A0A2N8IDX4__CXU20_07380
ERR1913014.224242__1.224242	1796613__A0A1C7GYD6__A4V03_03700
ERR1913014.224256__1.224256	239935__A0A139TVG9__CXU13_01700
ERR1913014.224336__1.224336	1547__B0N3H3__DW242_09365
ERR1913014.224478__1.224478	818__A0A0N7I9M6__Btheta7330_00939
ERR1913014.224648__1.224648	33025__A0A395JBB5__C8D73_107104
ERR1913014.224670__1.224670	39492__A0A174ZHV5__msbA_2
ERR1913014.224678__1.224678	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913014.224680__1.224680	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913014.224748__1.224748	208479__A8RIT5__C5Z06_05095
ERR1913014.224809__1.224809	818__A0A3E5HY51__rpfC_2
ERR1913014.224820__1.224820	1262700__R5XDY1__BN695_01269
ERR1913014.225038__1.225038	1547__H1AL39__DXB93_17405
ERR1913014.225017__1.225017	246787__A0A0N7IFC5__HMPREF1062_01960
ERR1913014.225059__1.225059	328814__GCA_004558275.1_00296
ERR1913014.225094__1.225094	1501391__GCA_000786575.1_00115
ERR1913014.225145__1.225145	40518__R5DXW3__DXD86_07900
ERR1913014.225359__1.225359	1263005__R6ET66__BN497_01340
ERR1913014.225420__1.225420	820__A0A374Q854__HMPREF1073_03281
ERR1913014.225422__1.225422	246787__R6KBH9__HMPREF1062_04676
ERR1913014.225461__1.225461	820__A0A139KJR5__M093_4469
ERR1913014.225651__1.225651	823__A0A355XLH0__fepA_1
ERR1913014.225693__1.225693	818__Q8A5L6__BT_2223
ERR1913014.225843__1.225843	239935__A0A2N8HT44__CXT84_11035
ERR1913014.225854__1.225854	1099853__G9S4Z9__NSB1T_00210
ERR1913014.226048__1.226048	47678__R5UES3__CGC64_00760
ERR1913014.226117__1.226117	820__A0A174M9V5__M093_0237
ERR1913014.226137__1.226137	1547__G9QYH1__CLORAM_00264
ERR1913014.226169__1.226169	357276__A0A076ISJ4__B5F95_19420
ERR1913014.226173__1.226173	84112__C8WKJ9__Elen_0315
ERR1913014.226367__1.226367	28116__A0A078Q626__HMPREF1070_02735
ERR1913014.226383__1.226383	239935__R7E4Y3__CXU15_13135
ERR1913014.226398__1.226398	1262700__R5XLR2__BN695_01660
ERR1913014.226423__1.226423	1235835__R9LCU2__C814_02677
ERR1913014.226489__1.226489	820__A0A078S4C2__ERS417307_00828
ERR1913014.226572__1.226572	820__A0A173YYG4__evgS_3
ERR1913014.226640__1.226640	1262989__R6XV98__BN815_00688
ERR1913014.226691__1.226691	1262989__R6YPU9__BN815_01807
ERR1913014.226710__1.226710	818__A0A139KQP8__BJP75_006755
ERR1913014.226773__1.226773	820__A0A374QGD2__ERS852421_02382
ERR1913014.227146__1.227146	818__A0A1H7TGM1__BJP75_010615
ERR1913014.227204__1.227204	239935__R6IYQ1__CXU15_06450
ERR1913014.227215__1.227215	1965604__A0A1Y4ERG6__B5F54_10140
ERR1913014.227235__1.227235	28117__B0MUY3__BHV66_00515
ERR1913014.227239__1.227239	820__A0A174G065__DXB62_08975
ERR1913014.227283__1.227283	820__A0A078S4C2__ERS417307_00828
ERR1913014.227287__1.227287	820__A0A3E4VZY4__ERS852554_01211
ERR1913014.227399__1.227399	821__A0A174JYD3__ERS852457_02610
ERR1913014.227518__1.227518	820__A0A174LJB2__HMPREF1072_04112
ERR1913014.227623__1.227623	818__A0A0P0FT56__BSIG_1453
ERR1913014.227681__1.227681	820__A0A139JRS5__HMPREF1073_04025
ERR1913014.227810__1.227810	818__R9HBA6__HMPREF2534_04317
ERR1913014.227869__1.227869	239935__B2UQP8__CXU15_01110
ERR1913014.227954__1.227954	239935__A0A2N8HEH9__CXU07_11710
ERR1913014.228187__1.228187	47678__R5U3D5__DW706_05635
ERR1913014.228337__1.228337	1099853__U5CMJ0__NSB1T_01275
ERR1913014.228316__1.228316	821__A6L0C7__ERS852556_03520
ERR1913014.228325__1.228325	357276__B6W1J2__BACDOR_03380
ERR1913014.228393__1.228393	821__A0A3E4XY72__NCTC10583_01067
ERR1913014.228808__1.228808	1262989__R6YJX4__BN815_00450
ERR1913014.228999__1.228999	821__A0A173XDD3__DXB82_17180
ERR1913014.229019__1.229019	820__A0A139KA34__B5G17_05520
ERR1913014.229279__1.229279	821__A0A0P0LJ37__DXB82_14270
ERR1913014.229286__1.229286	246787__A0A0P0GK12__BcellWH2_04154
ERR1913014.229436__1.229436	1262986__R6AQW4__BN492_00061
ERR1913014.229417__1.229417	333367__C0CWE8__CLOSTASPAR_01314
ERR1913014.229427__1.229427	820__A0A3E5E9Y8__DXD90_09110
ERR1913014.229486__1.229486	820__R9HUV5__HMPREF2141_02582
ERR1913014.229627__1.229627	154046__A0A174I9C6__punA_3
ERR1913014.229653__1.229653	239935__A0A139TSG7__CXU17_09600
ERR1913014.229748__1.229748	821__A0A396F1N0__M099_1553
ERR1913014.229879__1.229879	246787__A0A3D6B2C7__BcellWH2_03259
ERR1913014.230131__1.230131	820__A7UYX8__DXD40_11635
ERR1913014.230247__1.230247	33025__A0A395JB58__C8D73_1125
ERR1913014.230331__1.230331	1262746__R5SS80__BN750_02125
ERR1913014.230293__1.230293	821__A0A174JYD3__ERS852457_02610
ERR1913014.230368__1.230368	310298__B3JII2__BACCOP_01694
ERR1913014.230391__1.230391	818__A0A0P0F989__BJP75_019080
ERR1913014.230653__1.230653	1262989__R6YH39__BN815_01889
ERR1913014.230717__1.230717	239935__A0A139TTZ7__CXU14_07900
ERR1913014.230747__1.230747	1099853__G9S8I7__NSB1T_12985
ERR1913014.230809__1.230809	818__A0A3E5H650__C799_01514
ERR1913014.230847__1.230847	821__A0A3E4WAR6__DXD64_10735
ERR1913014.230999__1.230999	820__A0A174F696__macB_13
ERR1913014.231099__1.231099	818__A0A1H7S810__BJP75_003270
ERR1913014.231105__1.231105	821__A0A174MBW9__SAMN04487923_10272
ERR1913014.231080__1.231080	818__A0A0P0EV21__NCTC13706_01181
ERR1913014.231150__1.231150	47678__A5ZI88__BACCAC_02617
ERR1913014.231159__1.231159	239935__A0A2N8I365__CXU20_11690
ERR1913014.231169__1.231169	246787__A0A0P0FSC0__cytR_2
ERR1913014.231176__1.231176	820__A0A1Q6IDS8__chtA
ERR1913014.231233__1.231233	820__A0A139KEW8__DXB64_06405
ERR1913014.231265__1.231265	239935__A0A2N8IAZ5__xseA
ERR1913014.231354__1.231354	154046__A0A3E4UGJ7__DWX31_28970
ERR1913014.231384__1.231384	292800__G9YVE4__ERS852504_01059
ERR1913014.231525__1.231525	239935__A0A2N8HB50__CXU17_02615
ERR1913014.231540__1.231540	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913014.231678__1.231678	357276__A0A0P0M2G3__BACDOR_03913
ERR1913014.231757__1.231757	1547__H1ANU0__DXB93_06245
ERR1913014.231828__1.231828	1262989__R6YCD9__BN815_00001
ERR1913014.231890__1.231890	820__A0A3E4HWJ4__DXD40_05945
ERR1913014.231969__1.231969	818__A0A0P0F4D0__BT_2503
ERR1913014.232042__1.232042	169435__A0A3E3INU4__ERS852551_02032
ERR1913014.232106__1.232106	1262989__R6YP31__BN815_01593
ERR1913014.232124__1.232124	820__A0A3E4FWC8__DXC91_14635
ERR1913014.232215__1.232215	821__A0A174WBC9__ERS852556_03145
ERR1913014.232297__1.232297	820__A0A3E4VXP2__yesR
ERR1913014.232368__1.232368	28117__B0MU57__ALIPUT_00175
ERR1913014.232420__1.232420	357276__I9QBT7__BSEG_03340
ERR1913014.232439__1.232439	292800__G9YLB2__HMPREF0372_00277
ERR1913014.232522__1.232522	189722__E0NQU7__HMPREF0658_0548
ERR1913014.232593__1.232593	820__A0A174QLF0__SAMN05444418_109151
ERR1913014.232606__1.232606	820__R7E9Z4__DXC68_06065
ERR1913014.232628__1.232628	47678__R5UUB5__ERS852558_00247
ERR1913014.232706__1.232706	818__Q8A335__HMPREF2534_01154
ERR1913014.232769__1.232769	821__A0A3E4XY72__NCTC10583_01067
ERR1913014.232794__1.232794	823__A6LB63__M095_1847
ERR1913014.233017__1.233017	47678__R5U2X1__ERS852494_00033
ERR1913014.233192__1.233192	1263005__R6EPN3__BN497_01881
ERR1913014.233292__1.233292	239935__B2UNF6__CXU17_03450
ERR1913014.233413__1.233413	821__A0A3E4HP25__SAMN04487923_102450
ERR1913014.233474__1.233474	820__A7V9F9__B5G17_14640
ERR1913014.233488__1.233488	853__A0A174C5M1__CGS58_04460
ERR1913014.233518__1.233518	169435__A0A174SI83__B5F10_10780
ERR1913014.233566__1.233566	821__A0A174JYD3__ERS852457_02610
ERR1913014.233572__1.233572	310298__B3JII2__BACCOP_01694
ERR1913014.233600__1.233600	820__A0A174R952__DXB48_02570
ERR1913014.233628__1.233628	821__A0A3E4XY72__NCTC10583_01067
ERR1913014.233645__1.233645	821__A0A0P0M405__DXC02_15075
ERR1913014.233665__1.233665	820__A0A139K0K1__DXB37_05460
ERR1913014.233763__1.233763	818__A0A1H7TGM1__BJP75_010615
ERR1913014.233766__1.233766	1099853__U5C8M9__NSB1T_02745
ERR1913014.233974__1.233974	818__A0A3E5HDU6__C799_04515
ERR1913014.233997__1.233997	1407493__GeneID:17503226
ERR1913014.234061__1.234061	820__A0A3E4W7J3__DXC07_00330
ERR1913014.234189__1.234189	246787__E2NH87__BcellWH2_04496
ERR1913014.234324__1.234324	246787__A0A0P0GPP9__BACCELL_01902
ERR1913014.234360__1.234360	818__E5C5U7__SAMN05216253_101163
ERR1913014.234512__1.234512	246787__E2N7F5__AA416_04404
ERR1913014.234628__1.234628	818__A0A0P0F7K1__ERS852461_02719
ERR1913014.234675__1.234675	871324__A0A1M6C0H7__SAMN05444350_103243
ERR1913014.234717__1.234717	239935__A0A2N8HQQ5__CXU12_06805
ERR1913014.234761__1.234761	823__K6AMD2__B5F32_04565
ERR1913014.234774__1.234774	821__D4VD59__BHV80_04260
ERR1913014.234848__1.234848	853__A8SCP3__C4N26_07960
ERR1913014.235009__1.235009	47678__A5ZEX0__DW706_08045
ERR1913014.235013__1.235013	1547__H1AHY8__DW242_13390
ERR1913014.235031__1.235031	208479__A8RTF5__HMPREF1089_01378
ERR1913014.235201__1.235201	820__A7V470__HMPREF1072_02076
ERR1913014.235214__1.235214	239935__A0A2N8I9I3__CXU19_12035
ERR1913014.235273__1.235273	820__A0A174TRB5__DXD40_11305
ERR1913014.235276__1.235276	292800__A0A1C7FMU7__ERS852518_02778
ERR1913014.235309__1.235309	208479__R5FK50__HMPREF1095_04662
ERR1913014.235534__1.235534	310298__B3JII2__BACCOP_01694
ERR1913014.235582__1.235582	47678__R5UPZ8__ERS852494_01752
ERR1913014.235605__1.235605	333367__C0CU15__CLOSTASPAR_00464
ERR1913014.235827__1.235827	821__A0A174RA14__M099_1655
ERR1913014.235831__1.235831	239935__A0A2N8I390__CXU16_10675
ERR1913014.235947__1.235947	208479__A8RP07__CLOBOL_02333
ERR1913014.236166__1.236166	818__A0A0N7IB02__BT_3500
ERR1913014.236114__1.236114	47678__A5ZEA3__ERS852558_00257
ERR1913014.236280__1.236280	820__A0A139K0J1__HMPREF2141_03205
ERR1913014.236281__1.236281	39492__D4JT75__EUBSIR_01776
ERR1913014.236316__1.236316	310298__B3JII2__BACCOP_01694
ERR1913014.236402__1.236402	239935__A0A2N8IQ67__CXU20_08505
ERR1913014.236682__1.236682	239935__A0A2N8IDR5__CXU13_04315
ERR1913014.236808__1.236808	1262954__R7FEE7__BN611_00341
ERR1913014.236834__1.236834	39492__D4JSB6__ERS852540_00627
ERR1913014.236837__1.236837	189722__E0NQU7__HMPREF0658_0548
ERR1913014.236917__1.236917	818__C6IJ09__SAMN05216253_102150
ERR1913014.236927__1.236927	823__A0A173W404__DHP27_04905
ERR1913014.237121__1.237121	820__A0A173YYG4__evgS_3
ERR1913014.237181__1.237181	821__A0A3E4HP25__SAMN04487923_102450
ERR1913014.237184__1.237184	823__A6LB62__B5F32_04550
ERR1913014.237221__1.237221	820__A0A173YYG4__evgS_3
ERR1913014.237441__1.237441	39492__B0MNU1__ERS852540_02349
ERR1913014.237418__1.237418	214856__A0A174ZER9__ERS852559_00614
ERR1913014.237507__1.237507	246787__A0A0P0FSC9__BACCELL_02534
ERR1913014.237604__1.237604	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913014.237638__1.237638	820__A0A139K4T0__ERS852510_03146
ERR1913014.237653__1.237653	818__A0A3E5H5M0__SAMN05216253_12081
ERR1913014.237865__1.237865	1099853__U5CKP4__NSB1T_03700
ERR1913014.237868__1.237868	239935__A0A2N8IUE8__CXU20_02935
ERR1913014.238026__1.238026	487175__D9Y3I2__HMPREF9439_00938
ERR1913014.238064__1.238064	821__A0A3E4HP25__SAMN04487923_102450
ERR1913014.238096__1.238096	246787__E2N7F5__AA416_04404
ERR1913014.238087__1.238087	820__A7VAR9__ERS852421_00197
ERR1913014.238327__1.238327	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913014.238358__1.238358	28118__F9Z5M1__NCTC10826_02946
ERR1913014.238368__1.238368	310298__B3JII2__BACCOP_01694
ERR1913014.238435__1.238435	821__A0A395UNT8__DXD64_15275
ERR1913014.238463__1.238463	40518__R5DQD6__DXD83_09060
ERR1913014.238495__1.238495	28116__A0A078Q626__HMPREF1070_02735
ERR1913014.238523__1.238523	47678__R5UET0__BACCAC_02656
ERR1913014.238605__1.238605	1262746__R5SS80__BN750_02125
ERR1913014.238697__1.238697	189722__E0NQU7__HMPREF0658_0548
ERR1913014.238778__1.238778	39492__B0MM84__lgt
ERR1913014.238785__1.238785	1099853__G9S750__NSB1T_10615
ERR1913014.238786__1.238786	239935__A0A2N8J2P6__ADH72_06730
ERR1913014.238832__1.238832	1262989__R6ZJK5__BN815_01843
ERR1913014.238884__1.238884	818__A0A174RX04__BJP75_008800
ERR1913014.239300__1.239300	28117__B0MWX3__BHV66_03010
ERR1913014.239439__1.239439	823__A0A355XF06__B5F32_11480
ERR1913014.239487__1.239487	239935__R6IYQ1__CXU15_06450
ERR1913014.239642__1.239642	821__A0A0P0LJ37__DXB82_14270
ERR1913014.239620__1.239620	239935__A0A139TLF5__CXU18_06685
ERR1913014.239692__1.239692	239935__A0A2N8HB50__CXU17_02615
ERR1913014.239753__1.239753	820__A0A3E5E0T0__ERS852554_00312
ERR1913014.239868__1.239868	1535__A7VNH0__CLOLEP_00095
ERR1913014.239960__1.239960	821__R6F3Y1__SAMN04487923_104318
ERR1913014.240121__1.240121	1262743__R5C054__BN727_01980
ERR1913014.240201__1.240201	357276__A0A076ISJ4__B5F95_19420
ERR1913014.240344__1.240344	239935__R6J4Y4__CXU17_09810
ERR1913014.240350__1.240350	28117__B0MZ50__ALIPUT_02424
ERR1913014.240470__1.240470	246787__A0A0P0G254__axeA1_2
ERR1913014.240888__1.240888	1235835__R9LCU2__C814_02677
ERR1913014.240936__1.240936	820__A0A3E4WA06__ERS852554_03404
ERR1913014.240961__1.240961	821__A0A0P0LFP6__C5Z04_13890
ERR1913014.241045__1.241045	818__A0A2J6AAA9__NCTC10582_00162
ERR1913014.241113__1.241113	820__A0A1T4IYF4__mprA_1
ERR1913014.241123__1.241123	246787__A0A3D6B2C7__BcellWH2_03259
ERR1913014.241221__1.241221	820__A0A139K426__B5G17_09115
ERR1913014.241305__1.241305	818__D7I8A4__C799_02600
ERR1913014.241337__1.241337	818__Q8A0R7__ERS852461_00039
ERR1913014.241426__1.241426	418240__A0A174R2N4__ERS852523_02758
ERR1913014.241446__1.241446	239935__A0A2N8HWQ2__CXU13_01775
ERR1913014.241583__1.241583	821__A0A396F598__CUU_3259
ERR1913014.241647__1.241647	246787__A0A0P0GUU5__BACCELL_02894
ERR1913014.241613__1.241613	418240__A0A173Y4P4__ERS852478_00547
ERR1913014.241695__1.241695	239935__B2UQP8__CXU15_01110
ERR1913014.241754__1.241754	1262700__R5XEQ4__BN695_01576
ERR1913014.242034__1.242034	821__D4VD59__BHV80_04260
ERR1913014.242143__1.242143	820__A0A374MMF0__HMPREF1073_03811
ERR1913014.242109__1.242109	28117__B0MYZ8__BHV66_04535
ERR1913014.242189__1.242189	487174__K0X2A4__DDY40_04095
ERR1913014.242286__1.242286	820__A0A3E4G826__C801_01612
ERR1913014.242314__1.242314	820__A0A139KEW8__DXB64_06405
ERR1913014.242415__1.242415	33025__A0A395JBU5__C8D73_10423
ERR1913014.242478__1.242478	823__A0A173UDF6__CEQ22_003270
ERR1913014.242610__1.242610	418240__C6J8A2__ERS852478_02512
ERR1913014.242694__1.242694	239935__A0A2N8I3G2__CXT89_00720
ERR1913014.242729__1.242729	820__A0A3E4G826__C801_01612
ERR1913014.242754__1.242754	1262700__R5Y881__BN695_01083
ERR1913014.242845__1.242845	820__A0A374MMF0__HMPREF1073_03811
ERR1913014.243042__1.243042	818__E5C5U7__SAMN05216253_101163
ERR1913014.243184__1.243184	1262700__R5XX89__BN695_00144
ERR1913014.243241__1.243241	820__R9I324__HMPREF2141_02414
ERR1913014.243383__1.243383	1501391__GCA_000786575.1_00061
ERR1913014.243410__1.243410	823__D7IRG1__NCTC11152_02276
ERR1913014.243523__1.243523	239935__A0A139TMD2__CXU18_02250
ERR1913014.243618__1.243618	820__A0A3E4G2R7__DXC07_00510
ERR1913014.243681__1.243681	818__A0A139L1D5__BT_2967
ERR1913014.243748__1.243748	239935__A0A2N8HAQ1__DEF40_05290
ERR1913014.243936__1.243936	239935__A0A2N8IQX1__dnaA
ERR1913014.243977__1.243977	820__A0A173YYG4__evgS_3
ERR1913014.243995__1.243995	818__A0A0P0FR20__BJP75_022685
ERR1913014.244133__1.244133	328814__GCA_004558275.1_00236
ERR1913014.244234__1.244234	1099853__U5CBE8__NSB1T_09415
ERR1913014.244326__1.244326	246787__A0A0P0G254__axeA1_2
ERR1913014.244327__1.244327	820__A0A174EV88__HMPREF1072_01427
ERR1913014.244571__1.244571	189722__E0NQU7__HMPREF0658_0548
ERR1913014.244652__1.244652	820__A0A173YYG4__evgS_3
ERR1913014.244716__1.244716	246787__A0A0P0GMR5__HMPREF1062_04678
ERR1913014.244811__1.244811	328814__GCA_004558275.1_00293
ERR1913014.244828__1.244828	246787__A0A3D6AQP8__AA416_04153
ERR1913014.244927__1.244927	189722__E0NQU7__HMPREF0658_0548
ERR1913014.244937__1.244937	239935__A0A2N8I390__CXU16_10675
ERR1913014.244970__1.244970	820__A0A374QGD2__ERS852421_02382
ERR1913014.245152__1.245152	239935__R6J4Y4__CXU17_09810
ERR1913014.245185__1.245185	39492__D4JWR6__dnaN
ERR1913014.245159__1.245159	47678__R5UAI1__BACCAC_01922
ERR1913014.245174__1.245174	1297617__A0A2U1CDC7__C7373_103221
ERR1913014.245225__1.245225	821__A0A0P0LFP6__C5Z04_13890
ERR1913014.245275__1.245275	1262700__R5XIM5__BN695_00563
ERR1913014.245302__1.245302	821__A0A0P0LNX8__ERS852509_03015
ERR1913014.245607__1.245607	239935__A0A139TSG7__CXU17_09600
ERR1913014.245710__1.245710	239935__A0A2N8IAZ5__xseA
ERR1913014.245683__1.245683	820__A0A139K4W1__M093_0353
ERR1913014.245971__1.245971	820__R9I3Q7__HMPREF1072_01668
ERR1913014.245972__1.245972	820__R9I3Q7__HMPREF1072_01668
ERR1913014.245976__1.245976	33025__A0A395JAJ0__C8D73_107105
ERR1913014.246111__1.246111	821__A0A396F1N0__M099_1553
ERR1913014.246307__1.246307	154046__A0A174A258__DXD79_13580
ERR1913014.246343__1.246343	487174__K0X429__HMPREF9448_00932
ERR1913014.246414__1.246414	1547__G9QXH7__CLORAM_02848
ERR1913014.246530__1.246530	487175__F3QJV0__HMPREF9439_01207
ERR1913014.246538__1.246538	820__A0A139KIL9__DXC68_05945
ERR1913014.246554__1.246554	818__A0A3E5GY47__SAMN02910322_02002
ERR1913014.246563__1.246563	1531__A0A0E2HDW8__SAMN05216528_10406
ERR1913014.246855__1.246855	1547__H1AN73__CLORAM_00405
ERR1913014.246882__1.246882	820__A0A078S4C2__ERS417307_00828
ERR1913014.246891__1.246891	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913014.247096__1.247096	818__Q89ZX6__ERS852511_03600
ERR1913014.247119__1.247119	818__Q8A112__BT_3859
ERR1913014.247227__1.247227	671267__R9IB12__C802_00696
ERR1913014.247249__1.247249	818__A0A3E5HVG2__C5Z03_11060
ERR1913014.247475__1.247475	1262700__R5XF05__BN695_01686
ERR1913014.247771__1.247771	239935__A0A2N8HB50__CXU17_02615
ERR1913014.247836__1.247836	1099853__U5CJQ4__NSB1T_11640
ERR1913014.247846__1.247846	818__Q8A3A6__Btheta7330_00071
ERR1913014.247850__1.247850	239935__A0A2N8HB50__CXU17_02615
ERR1913014.247851__1.247851	246787__A0A3D6AWM8__BACCELL_01963
ERR1913014.247857__1.247857	1501391__GCA_000786575.1_00152
ERR1913014.247907__1.247907	818__A0A1H7L4U6__BSIG_3287
ERR1913014.247946__1.247946	818__A0A0P0FLN9__NCTC13706_01794
ERR1913014.248172__1.248172	33025__A0A395JBV3__C8D73_10433
ERR1913014.248259__1.248259	626929__F3PKG7__SAMN05444376_0720
ERR1913014.248281__1.248281	239935__A0A2N8IMC3__CXT96_03840
ERR1913014.248288__1.248288	820__A7VAR9__ERS852421_00197
ERR1913014.248521__1.248521	818__A0A2J6AED2__C5Z03_02940
ERR1913014.248606__1.248606	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913014.248758__1.248758	239935__R6J4Y4__CXU17_09810
ERR1913014.248917__1.248917	818__Q8A3A6__Btheta7330_00071
ERR1913014.248942__1.248942	820__A0A374Q854__HMPREF1073_03281
ERR1913014.249185__1.249185	1965604__A0A1Y4EJN3__B5F54_16620
ERR1913014.249421__1.249421	820__R9HP61__DXC91_01090
ERR1913014.249455__1.249455	820__A0A139JUD3__DXC91_19380
ERR1913014.249649__1.249649	820__A0A374Q4X1__HMPREF2141_02370
ERR1913014.249662__1.249662	33025__A0A395J910__C8D73_11128
ERR1913014.249668__1.249668	818__A0A3E5HDU6__C799_04515
ERR1913014.249716__1.249716	818__Q8A5L6__BT_2223
ERR1913014.249732__1.249732	39492__D4JRM4__tap_5
ERR1913014.249793__1.249793	40520__A0A3E5A422__RUMOBE_00654
ERR1913014.249866__1.249866	818__A0A139KMC9__C799_02694
