ERR1913147.60__1.60	28117__B0MTV5__BHV66_06415
ERR1913147.238448__1.238448	214856__A0A175A6T5__ERS852447_02658
ERR1913147.238474__1.238474	28116__A7M617__SAMN05192582_105025
ERR1913147.238644__1.238644	821__A0A174T998__DXB82_10860
ERR1913147.238656__1.238656	239935__A0A2N8IUK0__CXU01_07370
ERR1913147.238767__1.238767	821__A0A174T998__DXB82_10860
ERR1913147.238745__1.238745	1263107__GCA_000436995.1_00211
ERR1913147.238910__1.238910	239935__A0A139TPU7__CXT91_06575
ERR1913147.239162__1.239162	853__A0A173XRA8__CGS56_09290
ERR1913147.239241__1.239241	1150298__R7JPI7__cotI
ERR1913147.239350__1.239350	39492__D4JWY0__EUBSIR_01648
ERR1913147.239791__1.239791	471189__GCA_003340385.1_00470
ERR1913147.239871__1.239871	1263107__GCA_000436995.1_00111
ERR1913147.239942__1.239942	301302__R5UJV1__ERS852420_01672
ERR1913147.240007__1.240007	28118__F9ZB50__Odosp_2374
ERR1913147.240519__1.240519	239935__A0A2N8IYM5__CXT84_05130
ERR1913147.240798__1.240798	239935__A0A2N8HUU6__CXT90_06150
ERR1913147.240945__1.240945	46503__R6Y8M7__ERS852463_01228
ERR1913147.241036__1.241036	46503__R6WX12__DXB85_11560
ERR1913147.241066__1.241066	239935__A0A2N8IMC3__CXT96_03840
ERR1913147.241092__1.241092	820__A0A139KJR5__M093_4469
ERR1913147.241360__1.241360	39496__A5Z872__EUBVEN_01912
ERR1913147.241388__1.241388	820__A0A3E4RTP0__C801_01067
ERR1913147.241623__1.241623	301302__R5UHX5__M72_14301
ERR1913147.241678__1.241678	216816__B7GP87__HMPREF0177_01055
ERR1913147.241908__1.241908	28117__B0MY82__BHV66_04755
ERR1913147.242057__1.242057	487175__R5E4R8__HMPREF9439_00088
ERR1913147.242128__1.242128	2173__A0A1D2WVF8__Msm_1030
ERR1913147.242178__1.242178	818__Q8A3A6__Btheta7330_00071
ERR1913147.242253__1.242253	410072__A0A174K1W4__apxIB
ERR1913147.242282__1.242282	387661__R5DN38__HMPREF1077_03356
ERR1913147.242563__1.242563	239935__R6JCH3__CXT95_08205
ERR1913147.242654__1.242654	40520__R7D5D8__DXD81_09550
ERR1913147.242658__1.242658	239935__A0A2N8I3G2__CXT89_00720
ERR1913147.242666__1.242666	823__A0A355XKQ8__DHP27_04010
ERR1913147.242698__1.242698	487175__R5EIM6__HMPREF9439_00957
ERR1913147.242768__1.242768	301302__R5UKP4__cbiT
ERR1913147.242926__1.242926	457421__C5ERC0__CBFG_04276
ERR1913147.242977__1.242977	1263107__GCA_000436995.1_00169
ERR1913147.243058__1.243058	239935__A0A2N8IG27__CXT85_07805
ERR1913147.243317__1.243317	301301__A0A395VA99__rpfG_5
ERR1913147.243500__1.243500	239935__B2UNC5__B5G29_07685
ERR1913147.243516__1.243516	28116__A0A078Q626__HMPREF1070_02735
ERR1913147.243937__1.243937	820__A0A174GYA8__DXB64_07370
ERR1913147.244325__1.244325	28118__F9Z750__Odosp_3044
ERR1913147.244706__1.244706	487175__R5E5Q0__HMPREF9439_01445
ERR1913147.244707__1.244707	239935__A0A139TPD8__CXU12_11015
ERR1913147.244660__1.244660	1150298__A0A174DQT6__ERS852498_00506
ERR1913147.244764__1.244764	820__A0A396EUV1__B5G17_06465
ERR1913147.244709__1.244709	239935__B2UPZ6__CXU03_03800
ERR1913147.244925__1.244925	46503__R6Y2Q2__DCY29_15375
ERR1913147.245086__1.245086	39485__A0A174YNW2__cph2_3
ERR1913147.245093__1.245093	28116__I9JM49__NCTC11153_01044
ERR1913147.245097__1.245097	239935__A0A2N8IMC9__CXU09_02095
ERR1913147.245104__1.245104	371601__C3QB87__BN890_8390
ERR1913147.245112__1.245112	745368__A0A1T4XY03__SAMN02745178_02465
ERR1913147.245124__1.245124	418240__A0A174VMW5__ERS852478_01082
ERR1913147.245203__1.245203	214856__R5UN64__ERS852447_02669
ERR1913147.245254__1.245254	1262869__R7CUK0__BN625_00521
ERR1913147.245312__1.245312	39491__A0A396FSN2__EUBREC_0707
ERR1913147.245391__1.245391	239935__R6J5N6__CXT99_10770
ERR1913147.245452__1.245452	216816__B7GQ29__APC1465_1199
ERR1913147.245676__1.245676	820__A7V470__HMPREF1072_02076
ERR1913147.245792__1.245792	820__A0A3E4VXP2__yesR
ERR1913147.246431__1.246431	1262992__R5D6J2__BN795_00288
ERR1913147.246452__1.246452	46503__A7AHD3__DXB85_00810
ERR1913147.246415__1.246415	214856__R6XKW1__ERS852559_01141
ERR1913147.246487__1.246487	33039__D4M6E9__ERS852390_02866
ERR1913147.246633__1.246633	820__A7UYX8__DXD40_11635
ERR1913147.246693__1.246693	28116__A7LS06__HMPREF2532_04668
ERR1913147.246676__1.246676	239935__A0A2N8IEP3__CXT84_03735
ERR1913147.246705__1.246705	2292352__A0A374UM14__DXC23_07860
ERR1913147.246834__1.246834	46503__B7B776__DXB85_00355
ERR1913147.246948__1.246948	418240__D4LQH5__ERS852478_00800
ERR1913147.247097__1.247097	2292352__A0A374ULW4__DXC23_07845
ERR1913147.247199__1.247199	28116__A0A078Q626__HMPREF1070_02735
ERR1913147.247239__1.247239	239935__A0A2N8ILG3__CXT93_10135
ERR1913147.247294__1.247294	1150298__R7JXH6__mecR1
ERR1913147.247474__1.247474	1150298__A0A174SLE6__mlc_1
ERR1913147.247514__1.247514	820__A0A139K2N9__DXB62_12420
ERR1913147.247666__1.247666	1796613__A0A1C7GYD6__A4V03_03700
ERR1913147.247751__1.247751	28116__A0A3E5HTL2__SAMN05444282_12366
ERR1913147.248049__1.248049	216816__D6DD25__APC1482_1109
ERR1913147.248150__1.248150	239935__R6JAS2__CXU02_10725
ERR1913147.248154__1.248154	458033__GCA_001482755.1_02203
ERR1913147.248237__1.248237	239935__A0A2N8IVK9__CXU08_03750
ERR1913147.248317__1.248317	28116__A0A395W017__HMPREF1017_03721
ERR1913147.248415__1.248415	46503__A7AH78__DD461_04085
ERR1913147.248606__1.248606	322505__group_157
ERR1913147.248866__1.248866	1262869__R7CRP7__BN625_01723
ERR1913147.248929__1.248929	239935__A0A139TTZ7__CXU14_07900
ERR1913147.249026__1.249026	1263107__GCA_000436995.1_00213
ERR1913147.249139__1.249139	46503__R6X1R0__ERS852463_00596
ERR1913147.249247__1.249247	1150298__A0A174J629__ERS852498_00833
ERR1913147.249218__1.249218	239935__R6IZT7__CXU18_11710
ERR1913147.249221__1.249221	28116__A0A3D2LPA1__CUY_3388
ERR1913147.249291__1.249291	28116__D4WPD7__HMPREF1069_02183
ERR1913147.249305__1.249305	410072__A0A174DEZ0__COPCOM_01936
ERR1913147.249534__1.249534	384638__B7AT14__BACPEC_01282
ERR1913147.249564__1.249564	853__A0A2A7B1Y7__C7K05_11930
ERR1913147.249747__1.249747	239935__R6J9N8__CXT96_07990
ERR1913147.249770__1.249770	40520__R7D6R4__RUMOBE_02718
ERR1913147.249845__1.249845	820__A0A3E4WCX3__C801_02709
ERR1913147.250008__1.250008	310298__B3JII2__BACCOP_01694
ERR1913147.250503__1.250503	552398__F4XCR9__HMPREF0866_01636
ERR1913147.250398__1.250398	46503__B7B776__DXB85_00355
ERR1913147.250642__1.250642	239935__A0A2N8ITG2__Amuc_0335
ERR1913147.250643__1.250643	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913147.250622__1.250622	33039__R6PAH6__ERS852577_01830
ERR1913147.250714__1.250714	387661__B7B842__B5F96_11290
ERR1913147.250735__1.250735	820__A0A139KEW8__DXB64_06405
ERR1913147.250802__1.250802	76489__A0A1E8EUC5__CLOACE_23150
ERR1913147.250832__1.250832	1160721__W0U3D5__BHW50_00380
ERR1913147.250833__1.250833	239935__A0A139TPG3__CXT86_08810
ERR1913147.250837__1.250837	46503__R6X8Q3__fepA_2
ERR1913147.251050__1.251050	39485__R6AET9__EUBELI_01205
ERR1913147.251227__1.251227	28116__C3QSX8__SAMN05444282_101331
ERR1913147.251300__1.251300	239935__R6JAS2__CXU02_10725
ERR1913147.251337__1.251337	40520__R7D565__DXC87_03555
ERR1913147.251390__1.251390	2173__A0A1D2WVA1__Msm_0411
ERR1913147.251395__1.251395	39492__D4JT67__EUBSIR_01784
ERR1913147.251357__1.251357	820__A7V092__hldE
ERR1913147.251538__1.251538	820__A0A3E4FZM1__adaA_2
ERR1913147.251546__1.251546	239935__A0A2N8I7W6__CXT90_04245
ERR1913147.251620__1.251620	116085__D4JC97__DW747_00040
ERR1913147.251709__1.251709	40520__R7D8F5__DXC87_14065
ERR1913147.251900__1.251900	239935__A0A2N8IHY1__CXU06_00035
ERR1913147.251915__1.251915	821__A0A0P0LJ37__DXB82_14270
ERR1913147.252025__1.252025	239935__A0A2N8IMC3__CXT96_03840
ERR1913147.252450__1.252450	239935__B2URG6__CXU02_00030
ERR1913147.252649__1.252649	214856__A0A174CRY5__ERS852559_01060
ERR1913147.252929__1.252929	239935__A0A2N8HQR1__Amuc_0287
ERR1913147.252972__1.252972	28117__B0MST6__BHV66_06090
ERR1913147.253089__1.253089	239935__A0A2N8IEP3__CXT84_03735
ERR1913147.253104__1.253104	820__A7V9F9__B5G17_14640
ERR1913147.253205__1.253205	239935__B2URG6__CXU02_00030
ERR1913147.253455__1.253455	820__A0A139KIL9__DXC68_05945
ERR1913147.253590__1.253590	239935__A0A139TVJ4__CXT86_02020
ERR1913147.253607__1.253607	239935__A0A2N8IHY1__CXU06_00035
ERR1913147.253827__1.253827	328814__GCA_004558275.1_00061
ERR1913147.253870__1.253870	39491__C4ZF05__vpr
ERR1913147.253929__1.253929	28118__F9ZAE1__DF785_04930
ERR1913147.253968__1.253968	28116__A0A395VUS9__DXD69_03560
ERR1913147.253977__1.253977	28116__A0A1Y4PWE4__M089_4352
ERR1913147.253987__1.253987	239935__B2URG6__CXU02_00030
ERR1913147.254043__1.254043	821__A0A396F9T7__M097_3427
ERR1913147.254124__1.254124	214856__R6Z320__ERS852447_02148
ERR1913147.254241__1.254241	46503__R6WWH2__DXB85_00365
ERR1913147.254245__1.254245	820__R7E9Z4__DXC68_06065
ERR1913147.254320__1.254320	820__A0A139KEW8__DXB64_06405
ERR1913147.254343__1.254343	239935__A0A2N8HAQ1__DEF40_05290
ERR1913147.254495__1.254495	46503__R5DDT4__DD461_14650
ERR1913147.254555__1.254555	387661__B7B704__B5F96_16210
ERR1913147.254610__1.254610	556259__E5C690__BSGG_1431
ERR1913147.254711__1.254711	46503__R6Y901__HMPREF1060_01754
ERR1913147.254755__1.254755	820__A7V470__HMPREF1072_02076
ERR1913147.254808__1.254808	239935__B2URG6__CXU02_00030
ERR1913147.254903__1.254903	239935__A0A2N8IUW6__Amuc_1525
ERR1913147.254949__1.254949	820__A7V470__HMPREF1072_02076
ERR1913147.254976__1.254976	46503__R6X5E7__PARMER_00245
ERR1913147.255002__1.255002	1263107__GCA_000436995.1_00213
ERR1913147.255136__1.255136	387661__K5ZQY6__B5F96_11410
ERR1913147.255317__1.255317	820__R9I3Q7__HMPREF1072_01668
ERR1913147.255348__1.255348	28116__A0A1Y4PUF2__BACOV975_03357
ERR1913147.255405__1.255405	40520__A0A174B4U0__DXD81_01070
ERR1913147.255563__1.255563	239935__A0A139TQT9__Amuc_1197
ERR1913147.255766__1.255766	1550024__A0A0D8J3J4__TQ39_01275
ERR1913147.256169__1.256169	28117__B0MWC6__BHV66_00965
ERR1913147.256328__1.256328	239935__R6JCH3__CXT95_08205
ERR1913147.256373__1.256373	28116__I9ST00__M088_5588
ERR1913147.256538__1.256538	28116__I9ST00__M088_5588
ERR1913147.256544__1.256544	820__R9HXK9__DXB62_08265
ERR1913147.256888__1.256888	29361__B6FKH5__CLONEX_00621
ERR1913147.257013__1.257013	820__A7VAR9__ERS852421_00197
ERR1913147.257046__1.257046	1262869__R7CTL8__BN625_00218
ERR1913147.257142__1.257142	820__A0A3E4FWC8__DXC91_14635
ERR1913147.257253__1.257253	853__A0A2A7B9I6__DW855_13690
ERR1913147.257222__1.257222	28052__R7NCE0__ERS852499_00449
ERR1913147.257461__1.257461	820__A0A139KG60__M094_2679
ERR1913147.257499__1.257499	1150298__R7JTX5__ERS852535_01291
ERR1913147.257504__1.257504	1262869__R7CLP2__BN625_01150
ERR1913147.257561__1.257561	371601__I9UUB0__SAMN04487924_11836
ERR1913147.257660__1.257660	239935__B2UPZ6__CXU03_03800
ERR1913147.257673__1.257673	239935__A0A2N8HT18__CXT93_06135
ERR1913147.257875__1.257875	239935__A0A2N8IVK9__CXU08_03750
ERR1913147.257908__1.257908	1965542__A0A1Y4UZQ9__B5E53_16990
ERR1913147.258245__1.258245	28117__B0MVL2__BHV66_01645
ERR1913147.258370__1.258370	820__A0A174TRB5__DXD40_11305
ERR1913147.258352__1.258352	28117__B0MY45__ALIPUT_02164
ERR1913147.258626__1.258626	28117__R7JG17__ALIPUT_01859
ERR1913147.258662__1.258662	820__A0A3E4W4W5__ERS852554_02179
ERR1913147.258716__1.258716	239935__A0A139TPU7__CXT91_06575
ERR1913147.258788__1.258788	239935__B2URG6__CXU02_00030
ERR1913147.258805__1.258805	820__A0A174KKV6__DXC07_02635
ERR1913147.259038__1.259038	239935__A0A2N8IMC9__CXU09_02095
ERR1913147.259054__1.259054	1262869__R7CQJ4__BN625_01587
ERR1913147.259075__1.259075	357276__D1K3K9__EL88_23995
ERR1913147.259202__1.259202	1262869__R7CM27__BN625_00993
ERR1913147.259271__1.259271	239935__A0A139TPG3__CXT86_08810
ERR1913147.259306__1.259306	28116__I9JM49__NCTC11153_01044
ERR1913147.259421__1.259421	46503__R6Y449__ERS852463_00137
ERR1913147.259693__1.259693	239935__A0A2N8I6R6__CXU04_04335
ERR1913147.259697__1.259697	1262869__R7CPR1__BN625_01582
ERR1913147.259752__1.259752	239935__A0A2N8IMC9__CXU09_02095
ERR1913147.259844__1.259844	28116__F7LBW8__C5Z02_16055
ERR1913147.259929__1.259929	239935__B2URG9__CXU00_11290
ERR1913147.259989__1.259989	39496__A5Z4B0__EUBVEN_00535
ERR1913147.260016__1.260016	46503__R6WZ80__PARMER_04397
ERR1913147.260073__1.260073	2292352__A0A374UQJ9__DXC23_03560
ERR1913147.260085__1.260085	214856__R5UN64__ERS852447_02669
ERR1913147.260112__1.260112	239935__R6JWJ7__CXT94_02580
ERR1913147.260148__1.260148	328814__GCA_004558275.1_00035
ERR1913147.260165__1.260165	820__A0A396EXA7__DXB37_15530
ERR1913147.260242__1.260242	820__A0A174GYA8__DXB64_07370
ERR1913147.260276__1.260276	46503__R6X8Q3__fepA_2
ERR1913147.260755__1.260755	1150298__A0A174HEB6__ypdC_2
ERR1913147.260777__1.260777	820__A0A174LJB2__HMPREF1072_04112
ERR1913147.260924__1.260924	820__A0A3E4GA19__SAMN05444418_10562
ERR1913147.261019__1.261019	239935__A0A2N8IL82__CXU02_11740
ERR1913147.261030__1.261030	239935__R6JD78__CXU05_09250
ERR1913147.261136__1.261136	239935__A0A2N8HTZ8__CXU09_01270
ERR1913147.261275__1.261275	1262743__R5C054__BN727_01980
ERR1913147.261460__1.261460	2108523__A0A2P2F666__LAWASA_1491
ERR1913147.261489__1.261489	2292352__A0A374UQ84__DXC23_03855
ERR1913147.261523__1.261523	28117__B0MSL1__BHV66_06710
ERR1913147.261597__1.261597	1150298__A0A174PC05__ERS852498_00682
ERR1913147.261669__1.261669	46503__B7B776__DXB85_00355
ERR1913147.261709__1.261709	1150298__A0A174LTU2__recX
ERR1913147.261766__1.261766	239935__A0A139TPG3__CXT86_08810
ERR1913147.261915__1.261915	46503__A0A3E4ZLE8__DXB61_09555
ERR1913147.262043__1.262043	387661__K6AET8__HMPREF1077_00420
ERR1913147.262046__1.262046	239935__B2UPZ6__CXU03_03800
ERR1913147.262138__1.262138	28116__A0A3D2LPA1__CUY_3388
ERR1913147.262477__1.262477	239935__A0A2N8ILG3__CXT93_10135
ERR1913147.262492__1.262492	40518__R5DU28__DXD86_07960
ERR1913147.262553__1.262553	384639__GCA_003096855.1_00972
ERR1913147.262749__1.262749	46503__R6X0L4__DXB61_05325
ERR1913147.262718__1.262718	28117__B0MYM2__BHV66_04910
ERR1913147.263098__1.263098	239935__A0A2N8IJI1__B5G29_04615
ERR1913147.263412__1.263412	239935__A0A2N8ITX2__CXT86_11265
ERR1913147.263509__1.263509	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913147.263530__1.263530	239935__A0A2N8IRW0__A4V05_11620
ERR1913147.263567__1.263567	28116__C3QMW5__M089_4133
ERR1913147.263587__1.263587	2292352__A0A374URH1__DXC23_03540
ERR1913147.263649__1.263649	1160721__R6TAA3__BHW50_03385
ERR1913147.263670__1.263670	301302__R5VGE0__ERS852420_00121
ERR1913147.263686__1.263686	39492__D4JU81__xseA
ERR1913147.263715__1.263715	1150298__A0A174DX06__ERS852498_00491
ERR1913147.263730__1.263730	28116__A0A078Q626__HMPREF1070_02735
ERR1913147.263774__1.263774	853__A0A2A7B1Y7__C7K05_11930
ERR1913147.263781__1.263781	1150298__A0A174DX06__ERS852498_00491
ERR1913147.263959__1.263959	28116__A0A1Y4Q112__evgS_13
ERR1913147.263976__1.263976	39491__A0A395V397__EUR_09960
ERR1913147.264059__1.264059	239935__R6J5N6__CXT99_10770
ERR1913147.264197__1.264197	239935__R7DVW2__CXU02_03915
ERR1913147.264309__1.264309	1628085__A0A1C6BMM1__C7386_11221
ERR1913147.264431__1.264431	239935__A0A2N8HQR1__Amuc_0287
ERR1913147.264456__1.264456	239935__A0A2N8IIB9__CXU04_01970
ERR1913147.264796__1.264796	46503__K5YT67__HMPREF1060_04023
ERR1913147.264943__1.264943	2292352__A0A374UKS3__DXC23_09270
ERR1913147.265010__1.265010	239935__A0A139TT05__CXU09_03335
ERR1913147.265160__1.265160	1628085__A0A396MQV4__C7386_1213
ERR1913147.265174__1.265174	39491__A0A396FF66__DXD95_01810
ERR1913147.265218__1.265218	239935__A0A2N8HUU6__CXT90_06150
ERR1913147.265229__1.265229	28116__A7M344__BACOV975_04644
ERR1913147.265297__1.265297	46503__R6X8R7__PARMER_00141
ERR1913147.265367__1.265367	384639__GCA_003096855.1_00995
ERR1913147.265437__1.265437	39491__A0A396FNY7__LD38_16155
ERR1913147.265562__1.265562	136841__A0A3A8C7G7__BH598_04640
ERR1913147.265602__1.265602	46503__R6X0P0__DXB61_03855
ERR1913147.265650__1.265650	820__A0A174CK74__DXB48_07060
ERR1913147.265724__1.265724	853__A0A173SUU8__CGS54_06840
ERR1913147.265938__1.265938	39485__A0A174YMC1__recN
ERR1913147.266178__1.266178	214856__R6YD52__ERS852447_02171
ERR1913147.266346__1.266346	239935__A0A2N8HTZ8__CXU09_01270
ERR1913147.266466__1.266466	39485__A0A174YVL0__xynZ_2
ERR1913147.266507__1.266507	823__A0A395YZ10__NCTC11152_02955
ERR1913147.266665__1.266665	820__A0A3E4W4Y7__B5G17_02055
ERR1913147.266672__1.266672	40520__R7D6T7__DXD81_06600
ERR1913147.266869__1.266869	239935__A0A2N8IMD6__CXU03_05585
ERR1913147.266936__1.266936	328813__A0A1Y3QRL5__B5G41_11625
ERR1913147.267002__1.267002	28116__A0A1Y4Q119__DXD69_10975
ERR1913147.267174__1.267174	820__A0A1T4IYF4__mprA_1
ERR1913147.267272__1.267272	301302__A0A173TWC1__phoR_7
ERR1913147.267363__1.267363	1262869__R7CRP7__BN625_01723
ERR1913147.267476__1.267476	820__A0A174I980__gldH
ERR1913147.267487__1.267487	239935__R6JD78__CXU05_09250
ERR1913147.267601__1.267601	1262869__R7CUK0__BN625_00521
ERR1913147.267611__1.267611	384638__B7AT14__BACPEC_01282
ERR1913147.267692__1.267692	2173__A0A1D2WT83__METSMIF1_03309
ERR1913147.267758__1.267758	487174__K0X3A6__HMPREF9448_02725
ERR1913147.267802__1.267802	28116__A0A1Y4VU28__SAMN05444282_1227
ERR1913147.267851__1.267851	214856__A0A173YJT9__ERS852447_00676
ERR1913147.267865__1.267865	239935__A0A2N8IYM5__CXT84_05130
ERR1913147.268006__1.268006	39492__D4JQS6__ykoD
ERR1913147.268281__1.268281	239935__A0A139TMG9__CXU07_10650
ERR1913147.268373__1.268373	328814__GCA_004558275.1_00036
ERR1913147.268489__1.268489	239935__A0A2N8I390__CXU16_10675
ERR1913147.268497__1.268497	821__A0A174JYD3__ERS852457_02610
ERR1913147.269015__1.269015	820__A0A174KKV6__DXC07_02635
ERR1913147.269379__1.269379	820__I9A4U7__DHU98_12785
ERR1913147.269499__1.269499	1150298__A0A174AP40__ERS852535_01165
ERR1913147.269563__1.269563	239935__A0A2N8IFA0__CXT92_02050
ERR1913147.269659__1.269659	1262869__R7CQJ4__BN625_01587
ERR1913147.269710__1.269710	1262869__R7CTX9__BN625_00495
ERR1913147.269777__1.269777	1680__A0A0C2YNK5__BADO_0780
ERR1913147.269927__1.269927	820__A0A1Q6IDS8__chtA
ERR1913147.269931__1.269931	410072__A0A173RMJ4__ydfH_1
ERR1913147.270103__1.270103	1263107__GCA_000436995.1_00143
ERR1913147.270185__1.270185	853__A0A2A7AXC8__C4N21_14120
ERR1913147.270221__1.270221	28117__R7JH62__BHV66_05735
ERR1913147.270622__1.270622	33039__D4M1A7__RTO_02350
ERR1913147.270694__1.270694	116085__D4J6U8__DW747_08385
ERR1913147.270884__1.270884	239935__A0A139TVJ4__CXT86_02020
ERR1913147.270930__1.270930	239935__A0A2N8HB50__CXU17_02615
ERR1913147.271040__1.271040	39496__A5Z8G4__EUBVEN_02006
ERR1913147.271136__1.271136	820__A0A173YYG4__evgS_3
ERR1913147.271178__1.271178	239935__B2UPZ6__CXU03_03800
ERR1913147.271344__1.271344	239935__A0A2N8IVK9__CXU08_03750
ERR1913147.271439__1.271439	39485__C4Z6J7__ERS852492_02047
ERR1913147.271474__1.271474	239935__A0A139TMG9__CXU07_10650
ERR1913147.271577__1.271577	46503__R6X6Y1__DCY29_15600
ERR1913147.271845__1.271845	28117__B0MWH8__BHV66_01330
ERR1913147.271819__1.271819	28117__B0MUX7__ALIPUT_00918
ERR1913147.272032__1.272032	39491__A0A395V2P3__DXB69_08700
ERR1913147.272313__1.272313	2292352__A0A374UMQ2__DXC23_07970
ERR1913147.272361__1.272361	239935__A0A2N8IRW0__A4V05_11620
ERR1913147.272696__1.272696	818__A0A0N7IAV7__ERS852557_04536
ERR1913147.272784__1.272784	239935__R6JAS2__CXU02_10725
ERR1913147.272885__1.272885	820__A0A3E4XDK3__ERS852554_03650
ERR1913147.273078__1.273078	46503__R6X8R7__PARMER_00141
ERR1913147.273155__1.273155	216816__D6ZXD1__APC1461_0104
ERR1913147.273242__1.273242	239935__A0A2N8J2P6__ADH72_06730
ERR1913147.273257__1.273257	239935__B2UQP8__CXU15_01110
ERR1913147.273292__1.273292	216816__A0A395XZB7__DXD37_04075
ERR1913147.273371__1.273371	28117__B0MU58__BHV66_05630
ERR1913147.273391__1.273391	853__D4K7X0__DW905_09540
ERR1913147.273478__1.273478	328814__GCA_004558275.1_00234
ERR1913147.273523__1.273523	239935__A0A139TPU7__CXT91_06575
ERR1913147.273636__1.273636	820__A0A139K5A6__DXB48_12175
ERR1913147.273648__1.273648	239935__A0A2N8IUQ8__CXU09_01665
ERR1913147.273766__1.273766	820__A0A139K5A6__DXB48_12175
ERR1913147.273772__1.273772	239935__R6JD78__CXU05_09250
ERR1913147.273976__1.273976	2292352__A0A374ULV9__DXC23_07855
ERR1913147.274058__1.274058	46503__R6WWC9__PARMER_03215
ERR1913147.274091__1.274091	239935__A0A2N8IMC3__CXT96_03840
ERR1913147.274093__1.274093	28117__B0MUB4__BHV66_01895
ERR1913147.274149__1.274149	239935__R7DVL7__CXT93_01180
ERR1913147.274243__1.274243	301302__R5UTG6__M72_25801
ERR1913147.274340__1.274340	820__I9A4U7__DHU98_12785
ERR1913147.274402__1.274402	46503__R6Y9P8__evgS_3
ERR1913147.274665__1.274665	214856__R6Z288__ERS852447_00734
ERR1913147.274926__1.274926	239935__A0A2N8HB50__CXU17_02615
ERR1913147.275008__1.275008	820__A0A139KH21__DXC80_01780
ERR1913147.275054__1.275054	823__A0A173UDF6__CEQ22_003270
ERR1913147.275180__1.275180	172901__A0A2U1B3W1__C8D82_10959
ERR1913147.275226__1.275226	216816__D6DBD5__DXC32_04335
ERR1913147.275450__1.275450	823__E1YR62__HMPREF1059_02331
ERR1913147.275537__1.275537	28116__F7L4X5__M089_2857
ERR1913147.275629__1.275629	1262869__R7CN64__BN625_01154
ERR1913147.275678__1.275678	28117__R7JH62__BHV66_05735
ERR1913147.275711__1.275711	46503__A7AG59__ERS852463_00349
ERR1913147.276058__1.276058	46228__V8C6B2__DXD17_09805
ERR1913147.276069__1.276069	371601__W6P7Q9__BN890_32770
ERR1913147.276075__1.276075	46503__K5ZAK9__NCTC13052_03308
ERR1913147.276207__1.276207	239935__A0A2N8HT44__CXT84_11035
ERR1913147.276521__1.276521	28116__F7L4X5__M089_2857
ERR1913147.276841__1.276841	39491__A0A395V1R3__T1815_08181
ERR1913147.276937__1.276937	239935__R6JD78__CXU05_09250
ERR1913147.276902__1.276902	847__C3X4F2__BRW84_03940
ERR1913147.277512__1.277512	649756__D4N1B6__HMPREF0369_02032
ERR1913147.277672__1.277672	821__A0A3E4XY72__NCTC10583_01067
ERR1913147.277863__1.277863	820__A0A139KIL9__DXC68_05945
ERR1913147.277976__1.277976	28116__I9JM49__NCTC11153_01044
ERR1913147.278038__1.278038	239935__A0A2N8HUU6__CXT90_06150
ERR1913147.278154__1.278154	28118__F9Z750__Odosp_3044
ERR1913147.278321__1.278321	1150298__A0A174PLY5__ERS852406_01056
ERR1913147.278356__1.278356	818__A0A1H7S810__BJP75_003270
ERR1913147.278294__1.278294	106588__A6NPX7__BACCAP_00246
ERR1913147.278447__1.278447	28052__A0A174H9I6__ERS852451_00172
ERR1913147.278482__1.278482	1263107__GCA_000436995.1_00132
ERR1913147.278544__1.278544	239935__A0A2N8HHB6__B5G29_11500
ERR1913147.278553__1.278553	239935__A0A2N8HT18__CXT93_06135
ERR1913147.278631__1.278631	1150298__A0A174QNY9__ERS852498_01028
ERR1913147.278765__1.278765	46503__R6X0R5__DXB85_12380
ERR1913147.278964__1.278964	2173__A0A1D2WSY5__METSMIF1_03017
ERR1913147.279071__1.279071	28116__A0A1Y4Q112__evgS_13
ERR1913147.279112__1.279112	166486__A0A1Q6SGI9__ERS852572_00327
ERR1913147.279181__1.279181	1263107__GCA_000436995.1_00249
ERR1913147.279243__1.279243	28116__E5CEE4__SAMN05444282_12363
ERR1913147.279446__1.279446	239935__A0A2N8IRL2__CXU06_01170
ERR1913147.279620__1.279620	214856__A0A173YDP1__ERS852559_00120
ERR1913147.279642__1.279642	28116__A7M344__BACOV975_04644
ERR1913147.279670__1.279670	358742__A0A3E2W866__DWX59_27665
ERR1913147.279795__1.279795	239935__A0A2N8IXN0__CXT95_01765
ERR1913147.279865__1.279865	239935__A0A2N8IYM5__CXT84_05130
ERR1913147.280020__1.280020	39492__D4JQS6__ykoD
ERR1913147.280115__1.280115	172901__A0A2U1AV38__C8D82_1177
ERR1913147.280134__1.280134	1099853__G9S0P5__NSB1T_11890
ERR1913147.280144__1.280144	823__A0A395YVY3__ERS852513_03204
ERR1913147.280197__1.280197	1262869__R7CVG8__BN625_00795
ERR1913147.280289__1.280289	28117__B0MUY3__BHV66_00515
ERR1913147.280321__1.280321	239935__A0A139TPD8__CXU12_11015
ERR1913147.280486__1.280486	28116__C3QMW4__BACOVA_04147
ERR1913147.280508__1.280508	292800__A0A174VL30__A4U99_16555
ERR1913147.280542__1.280542	46503__R6X275__DD461_10840
ERR1913147.280546__1.280546	1262869__R7CUK0__BN625_00521
ERR1913147.280579__1.280579	40520__R7D9Z5__DXD81_01525
ERR1913147.280928__1.280928	820__A0A3E4W6P0__gmhA
