ERR1913190.25__1.25	39491__C4ZC33__DXC13_11585
ERR1913190.103373__1.103373	47678__R5U8S9__DW706_06260
ERR1913190.103431__1.103431	1550024__G9RX78__TQ39_04855
ERR1913190.103432__1.103432	371601__A0A3E4NKK5__B5E52_17685
ERR1913190.103502__1.103502	214856__R6Y6H8__ERS852447_01719
ERR1913190.103512__1.103512	165179__A0A3E5EB26__CFT61_02800
ERR1913190.103527__1.103527	165179__A0A229I4J4__proA
ERR1913190.103471__1.103471	28117__B0MXR4__BHV66_08025
ERR1913190.103472__1.103472	28117__B0MZ22__BHV66_04430
ERR1913190.103662__1.103662	1897011__A0A1Q6RD70__BHW41_05845
ERR1913190.103851__1.103851	165179__A0A174W369__PREVCOP_04548
ERR1913190.103942__1.103942	33025__A0A395JB55__C8D73_104122
ERR1913190.104196__1.104196	165179__A0A3E5E5H1__DXC61_07220
ERR1913190.104211__1.104211	387661__K6AIS2__B5F96_14865
ERR1913190.104220__1.104220	165179__A0A3E5E8M8__DXB80_11580
ERR1913190.104273__1.104273	820__A0A3E4W9D9__B5G17_12400
ERR1913190.104414__1.104414	46228__V8BL81__DXD17_11825
ERR1913190.104667__1.104667	165179__A0A3E5EBY9__CFT61_01220
ERR1913190.104865__1.104865	165179__A0A3E5AE59__DXC61_12885
ERR1913190.104874__1.104874	1263000__R5EBJ1__BN466_00540
ERR1913190.105124__1.105124	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913190.105206__1.105206	1263000__R5EKG2__BN466_02040
ERR1913190.105212__1.105212	301302__A0A173RJJ7__ERS852420_00620
ERR1913190.105182__1.105182	1897011__A0A1Q6RDE2__BHW41_05525
ERR1913190.105280__1.105280	1262882__R5N1V0__BN519_00816
ERR1913190.105562__1.105562	1262882__R5MXW0__BN519_00317
ERR1913190.105575__1.105575	626932__G5H6M5__HMPREF9450_00585
ERR1913190.106108__1.106108	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913190.106145__1.106145	1897011__A0A1Q6RJV1__BHW41_00035
ERR1913190.106235__1.106235	357276__I9QWN0__ABI39_00335
ERR1913190.106363__1.106363	301301__A0A395VBG0__ERS852391_01236
ERR1913190.106460__1.106460	214856__A0A174ZEW0__ERS852447_00985
ERR1913190.106476__1.106476	1099853__R7DMW0__NSB1T_11540
ERR1913190.106645__1.106645	165179__A0A3E4SEG4__DXC61_11235
ERR1913190.107096__1.107096	301301__G2T3Q2__ERS852391_00522
ERR1913190.107130__1.107130	301301__A0A395V957__RHOM_14115
ERR1913190.107225__1.107225	487174__K0WY34__DDY40_07435
ERR1913190.107328__1.107328	1262882__R5N5S3__BN519_00085
ERR1913190.107346__1.107346	1897011__A0A1Q6RGG6__BHW41_02770
ERR1913190.107499__1.107499	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913190.107561__1.107561	1262893__R5H6I4__BN782_00426
ERR1913190.107526__1.107526	165179__A0A3E5DV57__DXB80_11400
ERR1913190.107647__1.107647	33025__A0A395J973__C8D73_11010
ERR1913190.107849__1.107849	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913190.107854__1.107854	301301__A0A395V7G5__RHOM_16755
ERR1913190.107892__1.107892	394340__cfiA
ERR1913190.107982__1.107982	214856__A0A174FW22__ERS852447_02437
ERR1913190.107984__1.107984	165179__A0A3E5DR10__DXC61_03505
ERR1913190.108052__1.108052	165179__A0A229I1J2__DXB80_03950
ERR1913190.108069__1.108069	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913190.108127__1.108127	165179__A0A3E5DZA5__DXB80_12550
ERR1913190.108251__1.108251	1262882__R5MRS7__BN519_01490
ERR1913190.108303__1.108303	214856__R6YC22__ERS852447_01215
ERR1913190.108362__1.108362	165179__A0A3E5AF88__DXC61_14960
ERR1913190.108467__1.108467	165179__A0A3E5A5E5__DXC61_13965
ERR1913190.108532__1.108532	301302__R5UKP4__cbiT
ERR1913190.108537__1.108537	1263107__GCA_000436995.1_00020
ERR1913190.108577__1.108577	1262882__R5MND9__BN519_00831
ERR1913190.108689__1.108689	165179__D1PFV4__PREVCOP_06112
ERR1913190.108649__1.108649	820__A0A174TRB5__DXD40_11305
ERR1913190.108854__1.108854	357276__A0A0K2HJA6__DXD47_07320
ERR1913190.108861__1.108861	165179__D1P8K1__DXB80_06045
ERR1913190.108886__1.108886	301301__G2T455__RHOM_11960
ERR1913190.108911__1.108911	39491__A0A396FFW0__ERE_10580
ERR1913190.108933__1.108933	165179__D1P9T6__PREVCOP_04016
ERR1913190.108939__1.108939	1262882__R5N1N6__BN519_00968
ERR1913190.109219__1.109219	301301__A0A395V9V0__RHOM_01245
ERR1913190.109148__1.109148	823__K6AMD2__B5F32_04565
ERR1913190.109240__1.109240	28117__R7JJM9__ALIPUT_00662
ERR1913190.109244__1.109244	165179__A0A174W369__PREVCOP_04548
ERR1913190.109478__1.109478	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913190.109703__1.109703	28117__B0MT86__BHV66_02450
ERR1913190.109731__1.109731	165179__D1PER3__DXB80_11525
ERR1913190.110108__1.110108	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913190.110077__1.110077	165179__D1PGJ6__DXC61_07300
ERR1913190.110062__1.110062	1897011__A0A1Q6RI93__BHW41_01175
ERR1913190.110123__1.110123	1262882__R5N678__BN519_01604
ERR1913190.110525__1.110525	1262889__R7HDC3__BN634_00683
ERR1913190.110645__1.110645	1262882__R5MEN2__BN519_00200
ERR1913190.110599__1.110599	165179__A0A3E4SB80__DXC61_12880
ERR1913190.110726__1.110726	39485__A0A174ZQT9__EUBELI_20278
ERR1913190.110827__1.110827	371601__D4WBK5__BN891_3970
ERR1913190.110863__1.110863	39485__A0A174Z8V5__fliU_2
ERR1913190.111156__1.111156	165179__A0A3E5AGH1__DXB80_05820
ERR1913190.111231__1.111231	823__A0A174MNW4__M091_0199
ERR1913190.111481__1.111481	165179__D1PC26__PREVCOP_04756
ERR1913190.111638__1.111638	1897011__A0A1Q6RC19__BHW41_06415
ERR1913190.111612__1.111612	165179__R6XIF8__DXC61_07265
ERR1913190.111650__1.111650	301301__A0A395V928__RHOM_04950
ERR1913190.111865__1.111865	1262882__R5MYP8__BN519_00439
ERR1913190.112454__1.112454	1262882__R5MRS7__BN519_01490
ERR1913190.112459__1.112459	33025__A0A395JBA6__C8D73_1039
ERR1913190.112593__1.112593	47678__R5USS6__C5Z00_03300
ERR1913190.112631__1.112631	165179__D1PCT4__DXB80_09470
ERR1913190.112687__1.112687	165179__A0A3E5AEF7__DXC61_05000
ERR1913190.112764__1.112764	39488__A0A374N0M3__EUBHAL_02860
ERR1913190.112900__1.112900	165179__A0A229I9X5__CFT61_01205
ERR1913190.112996__1.112996	39485__A0A174Z8V5__fliU_2
ERR1913190.113114__1.113114	1262882__R5MXW0__BN519_00317
ERR1913190.113196__1.113196	1897011__A0A1Q6RE67__BHW41_04635
ERR1913190.113309__1.113309	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913190.113563__1.113563	28117__B0MYI9__BHV66_05415
ERR1913190.113965__1.113965	301302__A0A0M6WIU8__M72_26811
ERR1913190.114016__1.114016	165179__A0A174MTF2__DXC61_13200
ERR1913190.114017__1.114017	165179__D1PDG7__DXB80_11180
ERR1913190.114236__1.114236	214856__A0A174ZEW0__ERS852447_00985
ERR1913190.114338__1.114338	357276__A0A076J0Y3__IY41_06810
ERR1913190.114462__1.114462	165179__A0A3E5A5E5__DXC61_13965
ERR1913190.114620__1.114620	1263000__R5EF36__BN466_01303
ERR1913190.114677__1.114677	1262889__R7HCA8__BN634_01668
ERR1913190.114723__1.114723	165179__A0A3E5DX15__DXC61_00345
ERR1913190.114786__1.114786	301302__R5VE56__M72_25941
ERR1913190.114801__1.114801	165179__R6CNX7__DXB80_02200
ERR1913190.114833__1.114833	1263000__R5EGY6__BN466_00973
ERR1913190.114972__1.114972	165179__A0A3E5E9I4__DXB80_09745
ERR1913190.114913__1.114913	1263000__R5EFA7__BN466_01197
ERR1913190.115085__1.115085	1263000__R5EIH8__BN466_01210
ERR1913190.115205__1.115205	39496__A5Z5I2__EUBVEN_00963
ERR1913190.115246__1.115246	1262882__R5MM69__BN519_00075
ERR1913190.115304__1.115304	39491__A0A395V5R3__EUBREC_1883
ERR1913190.115466__1.115466	487174__K0X6A4__HMPREF9448_00105
ERR1913190.115543__1.115543	1263000__R5EHB0__BN466_01647
ERR1913190.115826__1.115826	165179__A0A174WGF6__PREVCOP_04095
ERR1913190.116454__1.116454	1896974__A0A1Q6H018__BHV77_13175
ERR1913190.116474__1.116474	165179__D1PGU8__PREVCOP_06463
ERR1913190.116503__1.116503	39485__A0A174Z8V5__fliU_2
ERR1913190.117130__1.117130	35833__S2KXG2__HMPREF0179_05243
ERR1913190.117214__1.117214	165179__A0A229I1J2__DXB80_03950
ERR1913190.117592__1.117592	165179__D1PGU8__PREVCOP_06463
ERR1913190.117685__1.117685	2173__A0A1D2WSY6__Msm_1050
ERR1913190.117811__1.117811	33025__A0A395JBU5__C8D73_10423
ERR1913190.117848__1.117848	301302__A0A0M6WYM9__ERS852420_02669
ERR1913190.117923__1.117923	410072__A0A173ZG02__ERS852574_01061
ERR1913190.117974__1.117974	165179__D1P8V8__DXC61_01940
ERR1913190.118152__1.118152	1896974__A0A1Q6H018__BHV77_13175
ERR1913190.118214__1.118214	1897011__A0A1Q6RI93__BHW41_01175
ERR1913190.118360__1.118360	1897011__A0A1Q6RI11__BHW41_00845
ERR1913190.118491__1.118491	1501391__GCA_000786575.1_00065
ERR1913190.118526__1.118526	1262882__R5MJ49__BN519_01124
ERR1913190.118602__1.118602	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913190.118667__1.118667	46228__V8BLL4__HMPREF1202_02582
ERR1913190.118712__1.118712	1263000__R5EK63__BN466_02075
ERR1913190.118848__1.118848	165179__D1PCU4__PREVCOP_05029
ERR1913190.119000__1.119000	33025__A0A395JAJ0__C8D73_107105
ERR1913190.119224__1.119224	1263000__R5EMZ8__BN466_00707
ERR1913190.119278__1.119278	410072__A0A174CHL0__ERS852574_02022
ERR1913190.119356__1.119356	165179__A0A3E5EB26__CFT61_02800
ERR1913190.119853__1.119853	39488__A0A174CJ01__DXD91_03830
ERR1913190.120172__1.120172	823__A6L9D3__ERS852560_03374
ERR1913190.120186__1.120186	47678__A5ZG68__ERS852494_02968
ERR1913190.120366__1.120366	165179__R6CNX7__DXB80_02200
ERR1913190.120440__1.120440	1263000__R5EK63__BN466_02075
ERR1913190.120444__1.120444	165179__A0A3E5DZD8__DXB80_09150
ERR1913190.120496__1.120496	1263000__R5EMU9__BN466_00667
ERR1913190.120563__1.120563	1262882__R5N1T9__BN519_00804
ERR1913190.120586__1.120586	1263000__R5EET9__BN466_01245
ERR1913190.120676__1.120676	165179__D1PGU8__PREVCOP_06463
ERR1913190.120690__1.120690	28117__B0MWC6__BHV66_00965
ERR1913190.120720__1.120720	47678__R5UT79__ERS852558_03890
ERR1913190.120832__1.120832	1262882__R5MEI8__BN519_00283
ERR1913190.120846__1.120846	820__A0A173WZS4__DXD90_10250
ERR1913190.121053__1.121053	1262992__R5DAK8__BN795_01248
ERR1913190.121152__1.121152	1262882__R5N5J6__BN519_01504
ERR1913190.121120__1.121120	28117__B0MUL5__ALIPUT_00722
ERR1913190.121122__1.121122	165179__D1PAN5__PREVCOP_04260
ERR1913190.121216__1.121216	1262882__R5MIY9__BN519_01097
ERR1913190.121372__1.121372	39485__A0A174YRS0__ERS852492_00307
ERR1913190.121391__1.121391	1897011__A0A1Q6RJU7__BHW41_00015
ERR1913190.121331__1.121331	552398__F4XCQ4__HMPREF0866_01621
ERR1913190.121334__1.121334	1263000__R5EF60__BN466_01316
ERR1913190.121485__1.121485	1897011__A0A1Q6RET2__BHW41_04000
ERR1913190.121677__1.121677	1262882__R5N1N6__BN519_00968
ERR1913190.121748__1.121748	165179__A0A3E5DZD8__DXB80_09150
ERR1913190.121993__1.121993	1263000__R5EHB0__BN466_01647
ERR1913190.121965__1.121965	1897011__A0A1Q6REV3__BHW41_04080
ERR1913190.122123__1.122123	1628085__A0A2U1B935__C7386_11439
ERR1913190.122169__1.122169	165179__D1PB89__DXC61_08425
ERR1913190.122422__1.122422	1262882__R5MGX3__BN519_00046
ERR1913190.122425__1.122425	39485__A0A174Z2K9__ERS852490_02052
ERR1913190.122668__1.122668	1262992__R5D733__BN795_00375
ERR1913190.122768__1.122768	1262992__R5CXL2__BN795_00996
ERR1913190.122775__1.122775	214856__R6YD52__ERS852447_02171
ERR1913190.122869__1.122869	165179__D1PGU8__PREVCOP_06463
ERR1913190.122915__1.122915	1263000__R5EQI3__BN466_00125
ERR1913190.122888__1.122888	291645__I8WZT8__HMPREF1068_04327
ERR1913190.123072__1.123072	28117__B0MTI4__ALIPUT_00084
ERR1913190.123075__1.123075	214856__R6XRA1__vatD_3
ERR1913190.123233__1.123233	1262882__R5MH82__BN519_00752
ERR1913190.123539__1.123539	165179__D1PCL6__DXB80_13435
ERR1913190.123594__1.123594	1262882__R5MQ63__BN519_01173
ERR1913190.123750__1.123750	1262882__R5MYP2__BN519_00435
ERR1913190.123944__1.123944	165179__A0A3E5E189__PREVCOP_06699
ERR1913190.124035__1.124035	165179__R6C5D6__PREVCOP_04658
ERR1913190.124288__1.124288	29361__B6FKH5__CLONEX_00621
ERR1913190.124307__1.124307	214856__A0A174A0P3__ERS852447_00994
ERR1913190.124449__1.124449	165179__A0A3E5DV57__DXB80_11400
ERR1913190.124607__1.124607	823__A0A3E4PAQ2__DDY96_18275
ERR1913190.124644__1.124644	28117__B0MVL5__BHV66_01660
ERR1913190.124905__1.124905	1897011__A0A1Q6RG59__BHW41_02475
ERR1913190.125100__1.125100	1262882__R5MY46__BN519_00355
ERR1913190.125257__1.125257	1262882__R5N0J9__BN519_00773
ERR1913190.125493__1.125493	1262882__R5N1R4__BN519_00788
ERR1913190.125773__1.125773	165179__A0A3E5EB26__CFT61_02800
ERR1913190.125948__1.125948	1262882__R5MLA4__BN519_01536
ERR1913190.126081__1.126081	371601__A0A1H4AKU1__BXY_45200
ERR1913190.126104__1.126104	165179__D1P9T6__PREVCOP_04016
ERR1913190.126231__1.126231	165179__D1P9T6__PREVCOP_04016
ERR1913190.126330__1.126330	46503__R6X5E7__PARMER_00245
ERR1913190.126362__1.126362	165179__A0A3E5ED28__PREVCOP_06655
ERR1913190.126394__1.126394	39491__C4ZHS4__EUR_24420
ERR1913190.126668__1.126668	165179__A0A3E5E2V4__PREVCOP_05070
ERR1913190.126823__1.126823	46228__V8BL81__DXD17_11825
ERR1913190.126847__1.126847	1263000__R5EWT9__BN466_02076
ERR1913190.126868__1.126868	820__A0A174F0C1__nreB
ERR1913190.126936__1.126936	1262889__R7HBH6__BN634_02400
ERR1913190.126978__1.126978	301302__R5VFU2__xynA1
ERR1913190.127144__1.127144	33025__A0A395JAU8__C8D73_10434
ERR1913190.127279__1.127279	165179__A0A174IHQ2__PREVCOP_05478
ERR1913190.127357__1.127357	1263000__R5EKT2__BN466_02168
ERR1913190.127423__1.127423	301301__A0A395V9V0__RHOM_01245
ERR1913190.127500__1.127500	28116__I8YA52__M088_0798
ERR1913190.127764__1.127764	301301__A0A395VAV8__ERS852391_02437
ERR1913190.127934__1.127934	1262882__R5MFA5__BN519_00331
ERR1913190.127971__1.127971	165179__A0A174WRI9__DXB80_04870
ERR1913190.128044__1.128044	1897011__A0A1Q6RE78__BHW41_04770
ERR1913190.128146__1.128146	46228__V8C989__HMPREF1202_01036
ERR1913190.128215__1.128215	165179__A0A3E5E4P9__DXB80_07930
ERR1913190.128248__1.128248	46503__R6WZC3__DCY29_09820
ERR1913190.128269__1.128269	165179__D1PGJ6__DXC61_07300
ERR1913190.128277__1.128277	552398__T5S086__HMPREF0866_01580
ERR1913190.128363__1.128363	1262882__R5MYP8__BN519_00439
ERR1913190.128331__1.128331	33025__A0A395JE11__C8D73_101318
ERR1913190.128561__1.128561	301301__A0A395V3Q5__sufB
ERR1913190.128748__1.128748	853__E2ZGD9__C7J97_11715
ERR1913190.128863__1.128863	165179__A0A3E5DN34__DXC61_07865
ERR1913190.129134__1.129134	28117__B0MUL5__ALIPUT_00722
ERR1913190.129113__1.129113	1262882__R5N1L4__BN519_00757
ERR1913190.129327__1.129327	301301__A0A395V7G5__RHOM_16755
ERR1913190.129371__1.129371	214856__A0A174A1J3__ERS852447_01000
ERR1913190.129453__1.129453	1262785__R6LXM3__BN565_00451
ERR1913190.129515__1.129515	1263000__R5EHB0__BN466_01647
ERR1913190.129548__1.129548	46228__V8CE19__DXD17_01950
ERR1913190.129643__1.129643	552398__F4XCQ4__HMPREF0866_01621
ERR1913190.129659__1.129659	1263000__R5ES99__BN466_01121
ERR1913190.129791__1.129791	1262882__R5MRS7__BN519_01490
ERR1913190.129854__1.129854	28117__B0MY36__BHV66_05185
ERR1913190.129951__1.129951	214856__A0A173YXX1__ERS852559_01651
ERR1913190.130022__1.130022	1896974__A0A1Q6H018__BHV77_13175
ERR1913190.130106__1.130106	1262882__R5MEI8__BN519_00283
ERR1913190.130201__1.130201	1262882__R5MFM2__BN519_00460
ERR1913190.130588__1.130588	165179__D1PGU8__PREVCOP_06463
ERR1913190.130606__1.130606	165179__R6C3K4__PREVCOP_05795
ERR1913190.130640__1.130640	1263000__R5EH44__BN466_01492
ERR1913190.130769__1.130769	1686__B6XUW3__BIFCAT_00676
ERR1913190.131035__1.131035	214856__A0A173ZPR4__ERS852447_00928
ERR1913190.131127__1.131127	879566__A0A2K4ZQN0__AMURIS_05561
ERR1913190.131372__1.131372	1262882__R5MLP5__BN519_01602
ERR1913190.131394__1.131394	165179__A0A3E5E2S3__DXB80_03455
ERR1913190.131411__1.131411	1263000__R5EMU9__BN466_00667
ERR1913190.131454__1.131454	165179__D1PGJ6__DXC61_07300
ERR1913190.131669__1.131669	165179__A0A229I4J4__proA
ERR1913190.131786__1.131786	1501391__GCA_000786575.1_00035
ERR1913190.131882__1.131882	1262882__R5MZZ3__BN519_00482
ERR1913190.131930__1.131930	1262882__R5MSP5__BN519_01637
ERR1913190.132283__1.132283	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913190.132317__1.132317	301301__G2SZM1__RHOM_00740
ERR1913190.132371__1.132371	165179__D1PES9__DXB80_11585
ERR1913190.133252__1.133252	28117__R7JLL3__ALIPUT_02219
ERR1913190.133443__1.133443	301301__A0A395VB45__ERS852391_02575
ERR1913190.133397__1.133397	1263000__R5ECL2__BN466_00920
ERR1913190.133362__1.133362	1262992__R5CXM7__BN795_01016
ERR1913190.133635__1.133635	39496__A5Z5I2__EUBVEN_00963
ERR1913190.133795__1.133795	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913190.133940__1.133940	1262882__R5N708__BN519_00095
ERR1913190.134037__1.134037	165179__D1PCT4__DXB80_09470
ERR1913190.134498__1.134498	1263000__R5EMZ8__BN466_00707
ERR1913190.134552__1.134552	1628085__A0A3E2XZQ1__C7386_101439
ERR1913190.134567__1.134567	33025__A0A395JAF6__C8D73_10758
ERR1913190.134575__1.134575	360807__A0A173VUT6__RIL183_10071
ERR1913190.134638__1.134638	165179__D1PAR0__DXB80_01190
ERR1913190.134720__1.134720	1897011__A0A1Q6RG62__BHW41_02455
ERR1913190.134807__1.134807	165179__A0A174W369__PREVCOP_04548
ERR1913190.134912__1.134912	47678__R5U8P0__DW706_15950
ERR1913190.134948__1.134948	394340__purB
ERR1913190.135013__1.135013	301302__R5VGE0__ERS852420_00121
ERR1913190.135034__1.135034	1262882__R5N3T7__BN519_01188
ERR1913190.135070__1.135070	884684__GCA_002892425.1_01032
ERR1913190.135128__1.135128	165179__A0A174XZU8__DXB80_12180
ERR1913190.135168__1.135168	1262882__R5N5J6__BN519_01504
ERR1913190.135248__1.135248	165179__A0A174IPI3__CFT61_10940
ERR1913190.135271__1.135271	1160721__R6TC37__BHW50_00820
ERR1913190.135433__1.135433	1160721__R6TH82__BHW50_00835
ERR1913190.135470__1.135470	165179__A0A3E5EBM5__DXC61_02170
ERR1913190.135613__1.135613	357276__A0A076IN30__DXD47_09350
ERR1913190.135717__1.135717	1628085__A0A1C5ZMG9__C7386_104116
ERR1913190.135804__1.135804	649756__D4MVS5__yxeP
ERR1913190.136104__1.136104	39491__D4JMW8__ERS852497_01971
ERR1913190.136236__1.136236	360807__C0FVL1__ERS852392_00394
ERR1913190.136377__1.136377	246787__R6K756__HMPREF1062_01819
ERR1913190.136329__1.136329	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913190.136388__1.136388	165179__R6C330__DXC61_04975
ERR1913190.136396__1.136396	301302__R5V5K3__M72_10541
ERR1913190.136454__1.136454	165179__A0A3E5EB26__CFT61_02800
ERR1913190.136476__1.136476	357276__A0A076J4B1__DXD47_03445
ERR1913190.136482__1.136482	46228__V8BL81__DXD17_11825
ERR1913190.136643__1.136643	214856__A0A174C683__ERS852559_00523
ERR1913190.136719__1.136719	1262911__R6GMD8__BN557_01647
ERR1913190.136907__1.136907	165179__A0A229I4J4__proA
ERR1913190.136996__1.136996	165179__W1I4H6__DXB80_13655
ERR1913190.137205__1.137205	46228__V8BL81__DXD17_11825
ERR1913190.137158__1.137158	820__A0A139K4T0__ERS852510_03146
ERR1913190.137569__1.137569	165179__A0A174MTF2__DXC61_13200
ERR1913190.138145__1.138145	1263000__R5EF36__BN466_01303
ERR1913190.138106__1.138106	214856__A0A174ZEW0__ERS852447_00985
ERR1913190.138202__1.138202	301301__A0A395VAJ9__RHOM_06125
ERR1913190.138325__1.138325	214856__R6Y1K2__ERS852447_02306
ERR1913190.138488__1.138488	626932__G5H7N2__HMPREF9450_00685
ERR1913190.138623__1.138623	165179__A0A3E5E4T9__DXB80_08030
ERR1913190.138628__1.138628	1780376__A0A143XT92__BN3659_01537
ERR1913190.138920__1.138920	165179__D1PCT4__DXB80_09470
ERR1913190.139152__1.139152	39485__A0A174ZLN0__EUBELI_00120
ERR1913190.139177__1.139177	410072__A0A174M202__COPCOM_00641
ERR1913190.139417__1.139417	214856__R6Z288__ERS852447_00734
ERR1913190.139500__1.139500	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913190.139528__1.139528	1262911__R6GT99__BN557_01335
ERR1913190.139565__1.139565	1263000__R5EKR3__BN466_00099
ERR1913190.139566__1.139566	46228__V8CB66__RUMLAC_02810
ERR1913190.139718__1.139718	1262882__R5ML49__BN519_01361
ERR1913190.139729__1.139729	1262882__R5MND9__BN519_00831
ERR1913190.140136__1.140136	165179__D1PEW8__DXB80_13775
ERR1913190.140425__1.140425	1263000__R5EKR4__BN466_01609
ERR1913190.140622__1.140622	165179__D1PEZ7__DXC61_06515
ERR1913190.140633__1.140633	301302__R5UTG6__M72_25801
ERR1913190.140663__1.140663	820__A0A174KKV6__DXC07_02635
ERR1913190.140978__1.140978	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913190.141034__1.141034	1897011__A0A1Q6REW8__BHW41_04435
ERR1913190.141066__1.141066	28117__B0MST6__BHV66_06090
ERR1913190.141137__1.141137	706562__GCA_900112995.1_01424
ERR1913190.141222__1.141222	410072__A0A173XU61__ykvU
ERR1913190.141244__1.141244	884684__GCA_002892425.1_01408
ERR1913190.141277__1.141277	1897011__A0A1Q6RI93__BHW41_01175
ERR1913190.141626__1.141626	1262882__R5MRT2__BN519_01494
ERR1913190.141760__1.141760	165179__A0A3E5A554__DXB80_13805
ERR1913190.141872__1.141872	1897011__A0A1Q6REA0__BHW41_04660
ERR1913190.141902__1.141902	165179__R6CJG8__DXC61_09290
ERR1913190.141953__1.141953	1263000__R5EK63__BN466_02075
ERR1913190.141997__1.141997	165179__A0A3E4SB80__DXC61_12880
ERR1913190.142004__1.142004	1501391__GCA_000786575.1_00035
ERR1913190.142101__1.142101	820__A0A174CG08__DXB62_13215
ERR1913190.142204__1.142204	1262882__R5MY46__BN519_00355
ERR1913190.142340__1.142340	165179__D1P8V8__DXC61_01940
ERR1913190.142501__1.142501	214856__A0A174EQR4__rsmA
ERR1913190.142538__1.142538	626932__G5H801__HMPREF9450_00804
ERR1913190.142634__1.142634	33025__A0A395J911__C8D73_1145
ERR1913190.142763__1.142763	1262882__R5N587__BN519_01643
ERR1913190.142929__1.142929	471189__GCA_003340385.1_00016
ERR1913190.143042__1.143042	33025__A0A395JBA6__C8D73_1039
ERR1913190.143202__1.143202	165179__A0A3E5E3D6__DXC61_05750
ERR1913190.143263__1.143263	487174__K0WUJ8__DIT83_08050
ERR1913190.143354__1.143354	47678__R5U3A7__ERS852494_02965
ERR1913190.143842__1.143842	165179__D1PCT4__DXB80_09470
ERR1913190.144003__1.144003	165179__A0A229I4J4__proA
ERR1913190.144089__1.144089	165179__A0A3E5AAM8__DXB80_10240
ERR1913190.144272__1.144272	820__A0A174Q0F0__DXB48_08080
ERR1913190.144482__1.144482	1262942__R7QXA2__BN520_01438
ERR1913190.144518__1.144518	301302__R5UVE7__ERS852420_01292
ERR1913190.144531__1.144531	1897011__A0A1Q6RHZ2__BHW41_00730
ERR1913190.144745__1.144745	165179__D1PGD2__DXC61_10875
ERR1913190.144762__1.144762	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913190.145146__1.145146	33025__A0A395JAJ0__C8D73_107105
ERR1913190.145162__1.145162	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913190.145320__1.145320	28117__B0MST8__ALIPUT_00310
ERR1913190.145439__1.145439	487174__K0XES7__HMPREF9448_00566
ERR1913190.145447__1.145447	39485__C4Z389__ERS852490_01920
ERR1913190.145462__1.145462	165179__A0A3E5DZA5__DXB80_12550
ERR1913190.145558__1.145558	46228__V8BQP5__HMPREF1202_02378
ERR1913190.145736__1.145736	165179__A0A3E5DN34__DXC61_07865
ERR1913190.145880__1.145880	301301__A0A395V8G6__RHOM_11005
ERR1913190.146224__1.146224	165179__R6CNX7__DXB80_02200
ERR1913190.146485__1.146485	47678__R5UU99__C5Z00_11925
ERR1913190.146597__1.146597	165179__A0A3E5AEF7__DXC61_05000
ERR1913190.146610__1.146610	1897011__A0A1Q6RET2__BHW41_04000
ERR1913190.146785__1.146785	820__A0A139KG04__ERS852459_01249
ERR1913190.146953__1.146953	28116__C3QXZ9__DXA80_15295
ERR1913190.147044__1.147044	1897011__A0A1Q6RI77__BHW41_01180
ERR1913190.147374__1.147374	165179__D1PGJ6__DXC61_07300
ERR1913190.147388__1.147388	1501391__GCA_000786575.1_00062
ERR1913190.147558__1.147558	1262882__R5N3H1__BN519_01121
ERR1913190.147583__1.147583	214856__A0A174ZLY7__ERS852447_02456
ERR1913190.147649__1.147649	1897011__A0A1Q6RDG0__BHW41_05600
ERR1913190.148015__1.148015	214856__R6Z186__ERS852447_00718
ERR1913190.148025__1.148025	214856__A0A174G1M7__ERS852559_00594
ERR1913190.148065__1.148065	1897011__A0A1Q6RI11__BHW41_00845
ERR1913190.148392__1.148392	165179__A0A174IPI3__CFT61_10940
ERR1913190.148628__1.148628	214856__R6Y2Y4__ERS852447_01086
ERR1913190.148636__1.148636	165179__A0A174MTF2__DXC61_13200
ERR1913190.148674__1.148674	165179__A0A229I2W6__PREVCOP_04332
ERR1913190.148925__1.148925	1628085__A0A396QTT4__C7386_103139
ERR1913190.149225__1.149225	1262882__R5N3H1__BN519_01121
ERR1913190.149293__1.149293	33025__A0A395J8P0__C8D73_1144
ERR1913190.149534__1.149534	1262882__R5N678__BN519_01604
ERR1913190.149683__1.149683	33025__A0A395JBN6__C8D73_10630
ERR1913190.149695__1.149695	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913190.149850__1.149850	301301__A0A395VFD3__ERS852391_02492
ERR1913190.150075__1.150075	165179__A0A3E5DZA5__DXB80_12550
ERR1913190.150235__1.150235	1262882__R5MHZ2__BN519_00742
