ERR1912978.144__1.144	1297617__A0A0S2W8P7__BIV19_11120
ERR1912978.629245__1.629245	88431__A0A3D0EYV0__DXB16_09650
ERR1912978.629643__1.629643	329854__R5MCA7__DXD57_10010
ERR1912978.629852__1.629852	301301__G2SZ87__RHOM_00995
ERR1912978.630163__1.630163	360807__C0FRV5__ROSEINA2194_01466
ERR1912978.630233__1.630233	216816__F9XZU5__BBL306_1935
ERR1912978.630258__1.630258	301301__A0A395VBK1__RHOM_05255
ERR1912978.630297__1.630297	33038__A0A396G387__HMPREF1201_01180
ERR1912978.630399__1.630399	88431__A0A174GCS6__ERS852573_01158
ERR1912978.630515__1.630515	360807__A0A0M6WHB7__ERS852444_00092
ERR1912978.630838__1.630838	39485__C4Z069__EUBELI_00981
ERR1912978.630878__1.630878	1262988__R7N1Z4__BN816_01526
ERR1912978.631036__1.631036	33038__A0A2N5PFY8__CDL19_06745
ERR1912978.631040__1.631040	329854__R5MR15__BACINT_04809
ERR1912978.631052__1.631052	33038__F7JZ41__CCY17_00135
ERR1912978.631184__1.631184	301302__A0A0M6WI31__znuC_2
ERR1912978.631242__1.631242	2173__A5UNK1__METSMIF1_03217
ERR1912978.631213__1.631213	329854__R5MD93__DXD27_17140
ERR1912978.631214__1.631214	40519__U2MCQ8__RUMCAL_00556
ERR1912978.631360__1.631360	28116__I8YA52__M088_0798
ERR1912978.631412__1.631412	301301__A0A395VDQ5__RHOM_08975
ERR1912978.631441__1.631441	239935__A0A2N8IVR0__CXT87_07115
ERR1912978.631666__1.631666	165179__R6XLJ7__CFT61_06250
ERR1912978.631717__1.631717	853__A0A2A7B9I6__DW855_13690
ERR1912978.631893__1.631893	821__A0A174K302__CUU_3129
ERR1912978.632006__1.632006	33038__A7B2B8__CDL19_04760
ERR1912978.632097__1.632097	33038__A0A2N5PSF6__CDL27_05770
ERR1912978.632173__1.632173	33038__A0A3E4KA66__CDL24_01305
ERR1912978.632151__1.632151	384639__GCA_003096855.1_01629
ERR1912978.632564__1.632564	1262746__R5SS80__BN750_02125
ERR1912978.632575__1.632575	39485__A0A174YTF7__ERS852490_01271
ERR1912978.632607__1.632607	1160721__R6UA13__BHW50_07285
ERR1912978.632620__1.632620	821__A0A396F598__CUU_3259
ERR1912978.632627__1.632627	820__R9HP61__DXC91_01090
ERR1912978.632840__1.632840	35833__E5YAA4__HMPREF0179_03124
ERR1912978.632895__1.632895	929814__GeneID:14006944
ERR1912978.632990__1.632990	821__A6L0C7__ERS852556_03520
ERR1912978.633206__1.633206	2173__A0A1D2WTV4__Msm_1285
ERR1912978.633222__1.633222	821__A0A395UNT8__DXD64_15275
ERR1912978.633243__1.633243	33038__A0A2N5NWR8__CDL18_14140
ERR1912978.633414__1.633414	28116__A0A078Q626__HMPREF1070_02735
ERR1912978.633727__1.633727	239935__A0A2N8I694__CXU04_06245
ERR1912978.633754__1.633754	329854__R7DX75__DXD57_17735
ERR1912978.633836__1.633836	820__A0A139KJR5__M093_4469
ERR1912978.633862__1.633862	39485__R5ZRT8__gmr_6
ERR1912978.633887__1.633887	328814__GCA_004558275.1_00293
ERR1912978.633910__1.633910	239935__A0A2N8HHB6__B5G29_11500
ERR1912978.634222__1.634222	39485__A0A174ZLH6__EUBELI_01564
ERR1912978.634246__1.634246	39492__D4JU30__EUBSIR_00838
ERR1912978.634297__1.634297	329854__A0A3E4KRU8__BACINT_02500
ERR1912978.634616__1.634616	552398__F4XCQ4__HMPREF0866_01621
ERR1912978.634636__1.634636	46503__K5ZV67__PARMER_03859
ERR1912978.634948__1.634948	39492__D4JVC7__yfgF
ERR1912978.635001__1.635001	246787__A0A0P0GK12__BcellWH2_04154
ERR1912978.635111__1.635111	821__I9R3W6__DXC16_12455
ERR1912978.635128__1.635128	360807__C0FVL1__ERS852392_00394
ERR1912978.635270__1.635270	1160721__W0U5X6__RBI_I01796
ERR1912978.635513__1.635513	28116__A0A1Y4Q112__evgS_13
ERR1912978.635556__1.635556	357276__B6VXX7__HMPREF1063_02683
ERR1912978.635544__1.635544	33038__F7JZ41__CCY17_00135
ERR1912978.635610__1.635610	28052__A0A174LHM7__ERS852451_02351
ERR1912978.635647__1.635647	357276__B6W1J2__BACDOR_03380
ERR1912978.635735__1.635735	1628085__A0A3E2XTD7__C7386_10384
ERR1912978.635777__1.635777	446660__GCA_003428235.1_00699
ERR1912978.636117__1.636117	28052__A0A174Z0G5__ERS852499_01843
ERR1912978.636380__1.636380	28118__R6F7H1__DF785_12785
ERR1912978.636607__1.636607	33038__A0A2N5NWR8__CDL18_14140
ERR1912978.636731__1.636731	39485__A0A174ZNZ2__ERS852492_02345
ERR1912978.636779__1.636779	28116__A0A139KS89__HMPREF2532_04387
ERR1912978.637257__1.637257	28052__A0A174GFL5__ERS852451_00478
ERR1912978.637433__1.637433	39485__C4Z1Y9__EUBELI_00143
ERR1912978.637443__1.637443	1776045__A0A0U5J7K7__BN3456_00132
ERR1912978.637457__1.637457	329854__A0A3E4KPG4__DXD27_21195
ERR1912978.637494__1.637494	1897011__A0A1Q6RIA6__BHW41_01370
ERR1912978.637581__1.637581	28052__A0A174GFL5__ERS852451_00478
ERR1912978.637879__1.637879	821__A0A3E4WAR6__DXD64_10735
ERR1912978.638031__1.638031	1547__B0N0E0__CLORAM_00150
ERR1912978.638126__1.638126	39485__A0A174Z9M2__yhbU_1
ERR1912978.638203__1.638203	301301__G2T152__RHOM_05005
ERR1912978.638543__1.638543	1235835__R9LCU2__C814_02677
ERR1912978.638545__1.638545	360807__A0A173YXM7__RIL183_19241
ERR1912978.638616__1.638616	301301__A0A395VB45__ERS852391_02575
ERR1912978.638790__1.638790	88431__A0A174G8Q6__ERS852526_02711
ERR1912978.638999__1.638999	39488__R6GBC5__DXD91_06450
ERR1912978.639013__1.639013	329854__R5MDB9__DXK01_12275
ERR1912978.639187__1.639187	820__A0A3E4WCC2__lptB_1
ERR1912978.639196__1.639196	301301__G2SX25__dapF_1
ERR1912978.639264__1.639264	371601__D6D2Q4__HMPREF1074_00826
ERR1912978.639267__1.639267	820__A0A374Q854__HMPREF1073_03281
ERR1912978.639310__1.639310	1262988__R7N474__BN816_01573
ERR1912978.639475__1.639475	338188__A0A174GJJ1__ERS852397_02405
ERR1912978.639693__1.639693	552398__F4XCR9__HMPREF0866_01636
ERR1912978.639742__1.639742	820__A0A139K426__B5G17_09115
ERR1912978.639775__1.639775	328814__GCA_004558275.1_01621
ERR1912978.639805__1.639805	329854__R7E733__DXD57_00120
ERR1912978.639810__1.639810	39485__A0A174YVL0__xynZ_2
ERR1912978.639820__1.639820	301301__A0A395V5B0__ERS852391_02078
ERR1912978.639834__1.639834	1263044__GCA_000433375.1_03283
ERR1912978.639837__1.639837	33038__A0A2N5Q3U3__CDL22_04965
ERR1912978.640210__1.640210	1160721__R6T344__RBI_I00565
ERR1912978.640241__1.640241	31971__R7G9E4__EUBDOL_01348
ERR1912978.640226__1.640226	28052__R7N9R4__gsiA_2
ERR1912978.640287__1.640287	357276__I8WML9__DXD47_10570
ERR1912978.640447__1.640447	39492__D4JR31__EUBSIR_00106
ERR1912978.640667__1.640667	360807__A0A1Q6T5B1__ERS852444_03147
ERR1912978.640828__1.640828	28116__A0A395VZB9__Bovatus_03205
ERR1912978.640894__1.640894	33038__A0A3E4K4Y5__CDL20_06020
ERR1912978.640928__1.640928	33038__A0A396G387__HMPREF1201_01180
ERR1912978.640946__1.640946	46503__R6WWH2__DXB85_00365
ERR1912978.641135__1.641135	821__A0A0P0LKG6__HMPREF1058_02188
ERR1912978.641215__1.641215	487174__K0XKD7__HMPREF9448_01550
ERR1912978.641380__1.641380	33038__A0A2N5NWR8__CDL18_14140
ERR1912978.641410__1.641410	33038__A0A2N5NVA0__CDL24_11780
ERR1912978.641465__1.641465	28117__B0MTY2__BHV66_06485
ERR1912978.641503__1.641503	1160721__W0U3C6__BHW50_11080
ERR1912978.641622__1.641622	28052__A0A174HF53__ERS852499_00436
ERR1912978.641652__1.641652	28052__A0A174MLS2__ERS852451_02445
ERR1912978.641748__1.641748	301302__A0A0M6W9I4__M72_19871
ERR1912978.641841__1.641841	33038__A7B8N9__CDL21_10000
ERR1912978.641873__1.641873	1550024__A0A0D8IYB1__TQ39_12130
ERR1912978.641886__1.641886	821__A0A0P0LQT3__DXC03_05050
ERR1912978.641954__1.641954	33038__A0A2N5PAB2__CDL21_14440
ERR1912978.642038__1.642038	301301__A0A395V8E1__RHOM_11160
ERR1912978.642198__1.642198	39485__C4Z6F3__EUBELI_20400
ERR1912978.642450__1.642450	1263076__GCA_000437615.1_00141
ERR1912978.642591__1.642591	39492__D4JRZ7__smc
ERR1912978.642629__1.642629	817__E1WPG4__M133_4264
ERR1912978.642630__1.642630	487174__K0XA11__DDY40_03585
ERR1912978.642747__1.642747	817__Q64PG5__M084_3388
ERR1912978.642875__1.642875	33038__F7JTF2__CDL22_02335
ERR1912978.642947__1.642947	357276__I8VN48__ABI39_07855
ERR1912978.642977__1.642977	1262989__R6XZR4__BN815_01113
ERR1912978.643029__1.643029	2293125__A0A374BLR6__DW917_15555
ERR1912978.643120__1.643120	33039__A0A173VTT4__frdB_1
ERR1912978.643126__1.643126	239935__A0A2N8HPS5__Amuc_0950
ERR1912978.643172__1.643172	39488__C0EVP9__ERS852450_03163
ERR1912978.643359__1.643359	28116__A0A1Y4PWN5__M088_3731
ERR1912978.643481__1.643481	2173__A5UL11__BK798_00645
ERR1912978.643535__1.643535	28052__A0A174GR15__mcp3_1
ERR1912978.643525__1.643525	562__P23837__phoQ
ERR1912978.644003__1.644003	1550024__G9RNN7__TQ39_03420
ERR1912978.644026__1.644026	552398__F4XCQ4__HMPREF0866_01621
ERR1912978.644076__1.644076	1262988__R7N521__BN816_01886
ERR1912978.644116__1.644116	39491__C4ZCH3__EUR_17560
ERR1912978.644179__1.644179	28052__A0A174MSU9__ERS852499_02010
ERR1912978.644198__1.644198	28116__F7M1Q5__CUY_1584
ERR1912978.644276__1.644276	1297617__A0A0S2W6H3__IB211_02217c
ERR1912978.644507__1.644507	358743__A0A0F0C7N6__DWZ14_16435
ERR1912978.644509__1.644509	820__A0A139KIL9__DXC68_05945
ERR1912978.644630__1.644630	1776045__A0A0U5J7K7__BN3456_00132
ERR1912978.644822__1.644822	28118__R6FC74__DHW44_13330
ERR1912978.644984__1.644984	649756__D4MZ50__CL2_08760
ERR1912978.644974__1.644974	39492__D4JRV5__acrR_2
ERR1912978.645072__1.645072	39485__C4Z434__tilS
ERR1912978.645139__1.645139	329854__R5M4V3__DXK01_22225
ERR1912978.645542__1.645542	446660__GCA_003428235.1_00970
ERR1912978.645545__1.645545	165179__A0A3E5EB26__CFT61_02800
ERR1912978.645558__1.645558	33038__F7JTF2__CDL22_02335
ERR1912978.645623__1.645623	671267__R9IB12__C802_00696
ERR1912978.645786__1.645786	10680__GeneID:1261092
ERR1912978.645752__1.645752	33038__A7B7G7__CDL25_12200
ERR1912978.645801__1.645801	360807__A0A0M6WBB8__ROSEINA2194_00909
ERR1912978.645919__1.645919	853__A0A2A7B9I6__DW855_13690
ERR1912978.645898__1.645898	821__A0A0P0LKG6__HMPREF1058_02188
ERR1912978.646546__1.646546	1550024__A0A3B9WI73__ASJ35_03410
ERR1912978.646637__1.646637	329854__R5MB34__BACINT_03694
ERR1912978.646877__1.646877	33038__A0A396GD60__CDL18_13110
ERR1912978.646941__1.646941	28052__A0A174YNE8__ERS852451_00845
ERR1912978.646968__1.646968	33038__A0A2N5NXH5__CDL27_14300
ERR1912978.647085__1.647085	1262911__R6GUQ4__BN557_01581
ERR1912978.647154__1.647154	552398__F4XCQ4__HMPREF0866_01621
ERR1912978.647259__1.647259	1547__H1AP73__DXB93_08690
ERR1912978.647466__1.647466	329854__B3CI76__DXD27_20370
ERR1912978.647662__1.647662	33038__A0A2N5NVQ3__CDL19_02550
ERR1912978.647919__1.647919	418240__C6J887__ERS852523_03392
ERR1912978.647959__1.647959	301301__G2SZJ7__RHOM_00620
ERR1912978.648035__1.648035	2292352__A0A374UKZ5__DXC23_11285
ERR1912978.648222__1.648222	821__E5UY21__C800_02204
ERR1912978.648179__1.648179	821__A0A174NM17__lacZ_6
ERR1912978.648287__1.648287	649756__D4MXW9__ERS852520_02286
ERR1912978.648325__1.648325	28052__A0A174YX76__mcp4_5
ERR1912978.648333__1.648333	239935__B2UL21__CXT98_03395
ERR1912978.648586__1.648586	821__A0A173XDD3__DXB82_17180
ERR1912978.648748__1.648748	820__A0A139K0K1__DXB37_05460
ERR1912978.648805__1.648805	39485__C4Z2I5__ERS852492_02214
ERR1912978.649104__1.649104	821__A0A0P0M3U7__DXB90_14325
ERR1912978.649585__1.649585	33038__A0A2N5NRJ3__CDL20_13245
ERR1912978.649593__1.649593	239935__A0A2N8IVR0__CXT87_07115
ERR1912978.649606__1.649606	818__A0A3E5HWN5__BSIG_3066
ERR1912978.649670__1.649670	1160721__R6SW95__BHW50_08895
ERR1912978.649711__1.649711	552398__T5S086__HMPREF0866_01580
ERR1912978.649814__1.649814	33038__R5UFK6__CDL26_05445
ERR1912978.649817__1.649817	357276__A0A0K2HF54__HMPREF1063_03537
ERR1912978.649856__1.649856	39485__A0A174ZA08__EUBELI_01019
ERR1912978.649860__1.649860	39485__A0A1Q6PHD7__ERS852492_01801
ERR1912978.649898__1.649898	821__A0A174NM17__lacZ_6
ERR1912978.650052__1.650052	28117__B0MWH8__BHV66_01330
ERR1912978.650069__1.650069	821__A0A395VIK7__BVU_1225
ERR1912978.650330__1.650330	33038__A0A2N5NUB0__CCY17_12840
ERR1912978.650338__1.650338	39486__G1WPD7__DORFOR_00931
ERR1912978.650339__1.650339	487174__R5FJH0__DDY40_07055
ERR1912978.650421__1.650421	239935__A0A139TPU7__CXT91_06575
ERR1912978.650472__1.650472	39485__A0A174YMD0__EUBELI_01093
ERR1912978.650487__1.650487	823__A6LHJ7__ERS852380_00253
ERR1912978.650623__1.650623	106588__A6NUL8__BACCAP_01900
ERR1912978.650659__1.650659	214856__A0A174A1J3__ERS852447_01000
ERR1912978.650747__1.650747	165179__A0A3E5EAM5__DXC61_07785
ERR1912978.650826__1.650826	328814__GCA_004558275.1_00035
ERR1912978.650838__1.650838	357276__B6W1J2__BACDOR_03380
ERR1912978.650896__1.650896	239935__A0A2N8IIB9__CXU04_01970
ERR1912978.651023__1.651023	1262921__R5LMK9__BN473_01331
ERR1912978.651107__1.651107	2292352__A0A374UJE7__DXC23_11305
ERR1912978.651189__1.651189	239935__A0A139TPD8__CXU12_11015
ERR1912978.651136__1.651136	261299__W1UWC3__rsbP
ERR1912978.651207__1.651207	261299__W1UF66__rseP
ERR1912978.651292__1.651292	544644__GCA_001915615.1_02045
ERR1912978.651462__1.651462	246787__A0A0P0FS62__HMPREF1062_05447
ERR1912978.651469__1.651469	239935__A0A2N8IUW6__Amuc_1525
ERR1912978.651699__1.651699	487174__K0XH97__HMPREF9448_01909
ERR1912978.652012__1.652012	706562__GCA_900112995.1_00569
ERR1912978.652238__1.652238	33038__A0A2N5P1G8__lyc
ERR1912978.652203__1.652203	487174__K0WX70__DDY40_01710
ERR1912978.652261__1.652261	487174__K0WX70__DDY40_01710
ERR1912978.652438__1.652438	165179__D1PHC0__PREVCOP_06640
ERR1912978.652488__1.652488	33038__A0A396G4K0__CDL22_09365
ERR1912978.652532__1.652532	10868__GeneID:1261859
ERR1912978.652612__1.652612	39485__A0A174YR99__ERS852492_00943
ERR1912978.652771__1.652771	29361__B6FQ81__CLONEX_02300
ERR1912978.652779__1.652779	39485__A0A1Q6PGI3__ERS852492_02967
ERR1912978.653066__1.653066	239935__A0A2N8IFA0__CXT92_02050
ERR1912978.653127__1.653127	33038__A7B3I2__DXD36_11565
ERR1912978.653167__1.653167	821__A0A0P0LJ37__DXB82_14270
ERR1912978.653246__1.653246	487174__K0XRA9__HMPREF9448_00572
ERR1912978.653336__1.653336	1262986__R6A7F5__BN492_01017
ERR1912978.653410__1.653410	165179__A0A3E5AER8__DXB80_07075
ERR1912978.653566__1.653566	39492__D4JS87__EUBSIR_02328
ERR1912978.653600__1.653600	77635__A0A087DP32__BISU_2386
ERR1912978.653747__1.653747	239935__R6JAS2__CXU02_10725
ERR1912978.653853__1.653853	74426__rpoB
ERR1912978.654010__1.654010	329854__A0A3E4IPA9__BACINT_02342
ERR1912978.654059__1.654059	301301__A0A395VFD3__ERS852391_02492
ERR1912978.654067__1.654067	329854__R5LT64__BACINT_03703
ERR1912978.654367__1.654367	28052__A0A174J1L8__ERS852451_00926
ERR1912978.654429__1.654429	28117__B0MZ22__BHV66_04430
ERR1912978.654536__1.654536	33038__A0A2N5Q1T9__ERS852409_01319
ERR1912978.654568__1.654568	28052__A0A174NW82__lytR_1
ERR1912978.654676__1.654676	39485__A0A174ZAI7__outO
ERR1912978.654685__1.654685	821__A0A396F1N0__M099_1553
ERR1912978.655297__1.655297	150055__S5R2N5__KE3_2021
ERR1912978.655333__1.655333	360807__C0FZM4__RIL183_06871
ERR1912978.655497__1.655497	501571__R8VYH0__B5F17_10965
ERR1912978.655673__1.655673	1262911__R6GTG0__BN557_01247
ERR1912978.655693__1.655693	821__A0A0P0M405__DXC02_15075
ERR1912978.655700__1.655700	214856__A0A174ZED5__ERS852559_00591
ERR1912978.655719__1.655719	821__A0A395VIK7__BVU_1225
ERR1912978.655730__1.655730	301302__A0A0M6WVL0__celA
ERR1912978.655734__1.655734	329854__R5MRI4__DXK01_11320
ERR1912978.655808__1.655808	820__A0A174B4N2__M093_2531
ERR1912978.655931__1.655931	301302__A0A0M6WWK6__M72_13961
ERR1912978.655963__1.655963	239935__A0A2N8IRW0__A4V05_11620
ERR1912978.655990__1.655990	1262743__R5C054__BN727_01980
ERR1912978.656029__1.656029	1262911__R6GNY6__BN557_00004
ERR1912978.656123__1.656123	562__C6EBU6__ESQG_00710
ERR1912978.656228__1.656228	239935__A0A2N8HAQ1__DEF40_05290
ERR1912978.656217__1.656217	33038__A7B2B8__CDL19_04760
ERR1912978.656448__1.656448	88431__A0A3D0F0E5__ERS852526_03216
ERR1912978.656794__1.656794	1263000__R5EXT3__BN466_02213
ERR1912978.656800__1.656800	28052__R7NBQ0__ERS852499_01073
ERR1912978.656916__1.656916	301301__A0A395VDE4__ERS852391_00518
ERR1912978.656885__1.656885	246787__A0A0P0FYF1__HMPREF1062_05374
ERR1912978.656969__1.656969	33038__A0A3E4K696__HMPREF1201_01836
ERR1912978.657412__1.657412	487174__K0X591__DDY40_01805
ERR1912978.657711__1.657711	328814__GCA_004558275.1_00296
ERR1912978.657777__1.657777	1262921__R5M2J9__BN473_00593
ERR1912978.657779__1.657779	821__D4VD59__BHV80_04260
ERR1912978.657808__1.657808	165179__A0A3E5DY64__CFT61_10025
ERR1912978.657828__1.657828	328814__GCA_004558275.1_00035
ERR1912978.658002__1.658002	387090__S0F7Y3__BACCOPRO_02028
ERR1912978.658088__1.658088	821__A0A174NSU0__BVU_3144
ERR1912978.658218__1.658218	165179__A0A3E5EAM5__DXC61_07785
ERR1912978.658361__1.658361	821__A0A174NVL6__NCTC10583_01782
ERR1912978.658429__1.658429	1297617__A0A0S2W1N2__IB211_00868c
ERR1912978.658467__1.658467	649756__A0A173WMV6__cysG
ERR1912978.658557__1.658557	817__Q64PG5__M084_3388
ERR1912978.658575__1.658575	329854__R5MCT6__BACINT_04189
ERR1912978.658625__1.658625	821__A0A174NVL6__NCTC10583_01782
ERR1912978.658680__1.658680	706562__GCA_900112995.1_00837
ERR1912978.658940__1.658940	360807__A0A173V2S2__phoR_7
ERR1912978.659033__1.659033	28118__R6FHQ8__B5F93_15555
ERR1912978.659132__1.659132	649756__A0A173S591__CL2_28060
ERR1912978.659188__1.659188	33038__A0A2N5P318__HMPREF1201_01171
ERR1912978.659323__1.659323	1160721__R6T2L9__BHW50_11315
ERR1912978.659345__1.659345	246787__A0A0P0GCR8__xynD_3
ERR1912978.660128__1.660128	820__A7V092__hldE
ERR1912978.660158__1.660158	301301__A0A173Z460__sunS_1
ERR1912978.660240__1.660240	39485__A0A174YTF7__ERS852490_01271
ERR1912978.660358__1.660358	820__A7VAR9__ERS852421_00197
ERR1912978.660369__1.660369	329854__R5M2W6__DXD57_07830
ERR1912978.660464__1.660464	821__A0A0P0M2J4__DXD46_10295
ERR1912978.660502__1.660502	329854__B3CDQ4__BACINT_02322
ERR1912978.660521__1.660521	329854__R5M1L3__DXD57_08795
ERR1912978.660591__1.660591	820__A0A173YYG4__evgS_3
ERR1912978.660692__1.660692	28117__B0MXG8__ALIPUT_01814
ERR1912978.660768__1.660768	40518__R5DU28__DXD86_07960
ERR1912978.660774__1.660774	33038__A7B2B8__CDL19_04760
ERR1912978.660922__1.660922	329854__R5LW55__DXD57_21020
ERR1912978.660903__1.660903	39485__A0A174Z1A6__EUBELI_00220
ERR1912978.661207__1.661207	853__A0A2A7AXC8__C4N21_14120
ERR1912978.661334__1.661334	821__A0A395UNT8__DXD64_15275
ERR1912978.661341__1.661341	853__A0A329UEG4__CHR60_00585
ERR1912978.661429__1.661429	820__A0A174GK47__ERS852421_00200
ERR1912978.661678__1.661678	28052__A0A174M8X5__ERS852499_01897
ERR1912978.661803__1.661803	28052__A0A174JFU5__yhbU_1
ERR1912978.661999__1.661999	1263006__R6MQA3__BN515_02104
ERR1912978.662401__1.662401	360807__A0A1Q6TCY9__ERS852444_01883
ERR1912978.662467__1.662467	328814__GCA_004558275.1_00198
ERR1912978.662496__1.662496	328814__GCA_004558275.1_00035
ERR1912978.662706__1.662706	357276__B6VXX7__HMPREF1063_02683
ERR1912978.662787__1.662787	563769__GeneID:6973141
ERR1912978.662913__1.662913	39485__A0A174ZTY8__ycfH
ERR1912978.662861__1.662861	28116__A0A395VRD0__HMPREF1017_03376
ERR1912978.663023__1.663023	165179__A0A3E5EB26__CFT61_02800
ERR1912978.663157__1.663157	1318__I2NMM5__CYK20_03995
ERR1912978.663726__1.663726	552398__F4XCQ4__HMPREF0866_01621
ERR1912978.663762__1.663762	28052__R7NA90__tcyB
ERR1912978.663811__1.663811	487174__K0X1H0__DDY40_11080
ERR1912978.663852__1.663852	2292352__A0A374UL63__DXC23_08410
ERR1912978.664013__1.664013	28116__A7LUQ0__CUY_2205
ERR1912978.664033__1.664033	39485__C4Z1Y9__EUBELI_00143
ERR1912978.664043__1.664043	1262911__R6GZX7__BN557_00838
ERR1912978.664080__1.664080	39485__A0A174ZA72__glgB_1
ERR1912978.664081__1.664081	28052__R7N9D0__yhaP
ERR1912978.664255__1.664255	329854__R7E733__DXD57_00120
ERR1912978.664518__1.664518	821__E5UY21__C800_02204
ERR1912978.664582__1.664582	28052__R7NAP6__ERS852499_01969
ERR1912978.664714__1.664714	544644__GCA_001915615.1_01170
ERR1912978.664786__1.664786	552398__F4XCQ4__HMPREF0866_01621
ERR1912978.664794__1.664794	1262986__R6AS80__BN492_01702
ERR1912978.664877__1.664877	1150298__R7JUW7__ERS852406_02089
ERR1912978.664907__1.664907	28117__R7JH62__BHV66_05735
ERR1912978.665069__1.665069	28116__C3R0H4__DXD69_00155
ERR1912978.665128__1.665128	239935__A0A2N8IG27__CXT85_07805
ERR1912978.665209__1.665209	821__A0A0P0L8F8__ERS852509_03705
ERR1912978.665408__1.665408	39485__A0A174YIY1__cheY_1
ERR1912978.665438__1.665438	39492__D4JRM4__tap_5
ERR1912978.665475__1.665475	487174__K0X551__HMPREF9448_02151
ERR1912978.665993__1.665993	28116__A0A0J9IIV5__M089_5519
ERR1912978.666026__1.666026	322505__frlB
ERR1912978.666162__1.666162	28052__A0A174JQH3__ERS852499_01195
ERR1912978.666431__1.666431	39485__A0A174Z7G5__EUBELI_01168
ERR1912978.666453__1.666453	818__A0A396E023__ERS852430_02808
ERR1912978.666494__1.666494	820__A0A173W419__DXC68_17760
ERR1912978.666625__1.666625	33038__A0A396G7U5__CDL21_03845
ERR1912978.666692__1.666692	33038__R5UBY3__lutR_1
ERR1912978.666765__1.666765	39485__A0A174Z551__glnL
ERR1912978.666729__1.666729	329854__R5M856__DXD27_09575
ERR1912978.666871__1.666871	39485__C4Z069__EUBELI_00981
ERR1912978.666968__1.666968	33038__A0A2N5NXH5__CDL27_14300
ERR1912978.667019__1.667019	552398__F4XCQ4__HMPREF0866_01621
ERR1912978.667070__1.667070	33038__A7AYC4__CDL21_13075
ERR1912978.667250__1.667250	329854__A0A3E4KRK8__DXK01_03500
ERR1912978.667347__1.667347	33038__A0A396G729__RUMGNA_01796
ERR1912978.667353__1.667353	487174__K0X1D9__HMPREF9448_00919
ERR1912978.667414__1.667414	28116__E5C458__BACOV975_02730
ERR1912978.667460__1.667460	1547__H1ARQ5__DW242_08115
ERR1912978.667477__1.667477	239935__A0A2N8I368__CXT95_04550
ERR1912978.667482__1.667482	501571__R8W159__HMPREF1526_01457
ERR1912978.667569__1.667569	328814__GCA_004558275.1_00034
ERR1912978.667653__1.667653	821__A0A0P0LKG6__HMPREF1058_02188
ERR1912978.667712__1.667712	649756__A0A173SJN7__fgs_1
ERR1912978.667806__1.667806	821__A0A395UNT8__DXD64_15275
ERR1912978.667974__1.667974	929814__GeneID:14006943
ERR1912978.668053__1.668053	418240__A0A174T5R0__yehU_2
ERR1912978.668084__1.668084	487174__K0WX28__HMPREF9448_02178
ERR1912978.668297__1.668297	360807__A0A1Q6SXK5__RIL183_06541
ERR1912978.668386__1.668386	329854__R5M2W6__DXD57_07830
ERR1912978.668364__1.668364	28116__A0A1Y4P7B7__M088_2098
ERR1912978.668549__1.668549	1150298__A0A174DU21__toxA_3
ERR1912978.668633__1.668633	39485__A0A174Z9M2__yhbU_1
ERR1912978.668704__1.668704	556259__I0PYM3__BSGG_5385
ERR1912978.668723__1.668723	357276__A0A076ISJ4__B5F95_19420
ERR1912978.668856__1.668856	1150298__R7JUS2__ERS852498_02193
ERR1912978.669024__1.669024	246787__A0A3D6AQP8__AA416_04153
ERR1912978.669196__1.669196	28052__R7NF63__ERS852499_01792
ERR1912978.669267__1.669267	820__A0A3E5E9Y8__DXD90_09110
ERR1912978.669442__1.669442	328814__GCA_004558275.1_00056
ERR1912978.669492__1.669492	39485__A0A174ZLH6__EUBELI_01564
ERR1912978.669615__1.669615	28116__A0A1Y4Q112__evgS_13
ERR1912978.669795__1.669795	301301__A0A395VBD1__bcrC_1
ERR1912978.669982__1.669982	28117__B0MWP2__ALIPUT_01468
ERR1912978.670073__1.670073	329854__R5M4V9__BACINT_00775
ERR1912978.670040__1.670040	871324__A0A1M6AB95__SAMN05444350_101158
ERR1912978.670188__1.670188	552398__F4XCR9__HMPREF0866_01636
ERR1912978.670318__1.670318	1160721__R6TB54__RBI_I01327
ERR1912978.670397__1.670397	820__A0A3E4VXP2__yesR
ERR1912978.670469__1.670469	28117__B0MTV0__BHV66_06395
ERR1912978.670671__1.670671	821__A6L0C7__ERS852556_03520
ERR1912978.670675__1.670675	853__A0A2J4JL53__CRH10_10795
ERR1912978.670859__1.670859	371601__A0A1H3XPY7__CW1_0993
ERR1912978.671127__1.671127	821__U6RDC2__DXD46_15675
ERR1912978.671133__1.671133	28118__R6F891__NCTC10826_02656
ERR1912978.671101__1.671101	165179__D1PDF6__DXB80_12430
ERR1912978.671155__1.671155	821__A6L0C7__ERS852556_03520
ERR1912978.671352__1.671352	562__P77294__fimG
ERR1912978.671516__1.671516	39485__R5ZRN3__ERS852490_00208
ERR1912978.671708__1.671708	1547__H1APE9__DW242_14080
ERR1912978.671746__1.671746	562__A0A0E1LDD5__B9N12_14240
ERR1912978.671747__1.671747	562__A0A0E1LDD5__B9N12_14240
ERR1912978.671915__1.671915	28052__A0A174M8X5__ERS852499_01897
ERR1912978.671933__1.671933	301302__A0A0M6WBZ5__spr
ERR1912978.672012__1.672012	329854__B3CHY3__DXK01_05415
