ERR1913157.902__1.902	239935__A0A2N8IRW0__A4V05_11620
ERR1913157.195225__1.195225	1262915__R6HPW3__BN574_00571
ERR1913157.195477__1.195477	820__A0A174LJB2__HMPREF1072_04112
ERR1913157.195454__1.195454	28117__B0MU76__ALIPUT_00202
ERR1913157.195517__1.195517	33043__A8SWM2__ERS852575_01910
ERR1913157.196168__1.196168	1897011__A0A1Q6RH35__BHW41_01705
ERR1913157.196466__1.196466	1263027__R6ZI69__BN699_00845
ERR1913157.196531__1.196531	384638__B7AVQ9__BACPEC_02807
ERR1913157.196576__1.196576	1262869__R7CLK0__BN625_01124
ERR1913157.196686__1.196686	239935__A0A3F3K9J9__DEF40_00940
ERR1913157.197001__1.197001	1680__R5GRA4__ERS852382_01548
ERR1913157.196970__1.196970	292800__H1C6M9__ERS852518_00105
ERR1913157.197591__1.197591	216816__B3DP82__DVB78_09640
ERR1913157.198001__1.198001	1263027__R7A314__BN699_00650
ERR1913157.198041__1.198041	901__B6WTR9__DESPIG_01476
ERR1913157.198421__1.198421	1520815__A0A1I3M533__SAMN02910435_01005
ERR1913157.198803__1.198803	33043__A0A174CC83__ERS852575_02077
ERR1913157.198948__1.198948	1263027__R7AV02__BN699_02111
ERR1913157.199171__1.199171	1263000__R5EFA7__BN466_01197
ERR1913157.199290__1.199290	239935__B2UL21__CXT98_03395
ERR1913157.199743__1.199743	165179__A0A3E4SEG4__DXC61_11235
ERR1913157.199937__1.199937	1897011__A0A1Q6RFG0__BHW41_03665
ERR1913157.200010__1.200010	239935__R6J5N6__CXT99_10770
ERR1913157.200178__1.200178	853__A0A173YYY4__DWZ04_09420
ERR1913157.200267__1.200267	239935__A0A2N8IIB9__CXU04_01970
ERR1913157.200413__1.200413	239935__A0A2N8HH03__CXU09_08875
ERR1913157.200622__1.200622	454155__F3QY50__HMPREF9442_03142
ERR1913157.200590__1.200590	239935__A0A2N8IMC3__CXT96_03840
ERR1913157.200595__1.200595	384638__B7APN3__BACPEC_00639
ERR1913157.200605__1.200605	1680__A0A087DHN0__AL0462_1532
ERR1913157.200748__1.200748	239935__A0A2N8I3G2__CXT89_00720
ERR1913157.200849__1.200849	1628085__A0A374VP93__C7386_10150
ERR1913157.200912__1.200912	1897011__A0A1Q6RDW7__BHW41_05280
ERR1913157.201713__1.201713	239935__A0A2N8IUK0__CXU01_07370
ERR1913157.201743__1.201743	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913157.201829__1.201829	74426__group_4851
ERR1913157.202284__1.202284	853__A0A173RZ39__C4N22_01650
ERR1913157.202383__1.202383	301302__R5V5D7__ERS852420_02185
ERR1913157.202488__1.202488	1235835__R9LCU2__C814_02677
ERR1913157.202806__1.202806	1263027__R6ZEF0__BN699_02264
ERR1913157.202994__1.202994	901__B6WUY7__DHV46_11425
ERR1913157.203347__1.203347	944036__A0A196S998__AV274_5769
ERR1913157.203365__1.203365	820__I9TWZ7__DXC80_10550
ERR1913157.204179__1.204179	214856__I3YPI7__pepD_1
ERR1913157.204280__1.204280	33043__A0A173WZE5__ERS852386_00374
ERR1913157.204348__1.204348	33039__D4M6I2__ERS852424_02124
ERR1913157.204461__1.204461	239935__A0A2N8HBM4__CXT85_06270
ERR1913157.204557__1.204557	33043__D5HGZ8__nnr
ERR1913157.204727__1.204727	239935__A0A2N8INZ4__CXU08_03560
ERR1913157.204767__1.204767	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913157.204782__1.204782	944036__A0A196S727__AV274_6149
ERR1913157.205032__1.205032	310297__R5V778__BACPLE_02189
ERR1913157.205342__1.205342	853__A0A173XRA8__CGS56_09290
ERR1913157.205369__1.205369	165179__A0A3E4S980__PREVCOP_04626
ERR1913157.205462__1.205462	28117__B0MYP3__BHV66_04995
ERR1913157.205525__1.205525	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913157.205628__1.205628	853__A0A2A7B9I6__DW855_13690
ERR1913157.205713__1.205713	1262959__R5YSV6__BN680_00744
ERR1913157.205717__1.205717	901__B6WUI5__DESPIGER_1817
ERR1913157.205755__1.205755	853__A0A2J4JL53__CRH10_10795
ERR1913157.205806__1.205806	544644__GCA_001915615.1_02237
ERR1913157.205914__1.205914	214856__R5UN64__ERS852447_02669
ERR1913157.205981__1.205981	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913157.206742__1.206742	1262915__R6HB57__BN574_01044
ERR1913157.206768__1.206768	1262959__R5XWR3__BN680_00570
ERR1913157.206970__1.206970	745368__A0A1T4XQZ9__SAMN02745178_02185
ERR1913157.206999__1.206999	1680__R5GR82__AD0028_0014
ERR1913157.207014__1.207014	745368__A0A1T4XQZ9__SAMN02745178_02185
ERR1913157.207125__1.207125	33043__A0A173YSY7__tilS
ERR1913157.207377__1.207377	1897011__A0A1Q6RDX8__BHW41_05330
ERR1913157.207513__1.207513	33043__A8SPT5__yfiN_2
ERR1913157.207578__1.207578	1263027__R6ZZ34__BN699_01870
ERR1913157.207768__1.207768	853__A0A174C5M1__CGS58_04460
ERR1913157.207884__1.207884	471189__GCA_003340385.1_00423
ERR1913157.208041__1.208041	1263030__R5CZV8__BN705_01159
ERR1913157.208144__1.208144	745368__A0A1T4XQZ9__SAMN02745178_02185
ERR1913157.208184__1.208184	901__B6WS90__DHV46_08165
ERR1913157.208584__1.208584	239935__A0A2N8IRH4__CXT92_05605
ERR1913157.208650__1.208650	1262911__R6GT99__BN557_01335
ERR1913157.208695__1.208695	1680__A0A0C2YPV2__AL0462_1474
ERR1913157.209076__1.209076	239935__A0A2N8HL50__CXT98_09135
ERR1913157.209270__1.209270	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913157.209439__1.209439	292800__A0A174W622__ADH75_01915
ERR1913157.209650__1.209650	901__A0A1K1LI09__BHW59_05710
ERR1913157.209652__1.209652	508460__GCF_000585335.1_00090
ERR1913157.209699__1.209699	239935__A0A2N8HUU6__CXT90_06150
ERR1913157.209844__1.209844	216816__A0A133LQN7__BL15B_00780
ERR1913157.210390__1.210390	239935__A0A139TMG9__CXU07_10650
ERR1913157.210530__1.210530	88431__A6BFJ3__ERS852408_01680
ERR1913157.211042__1.211042	853__A0A329UEG4__CHR60_00585
ERR1913157.211114__1.211114	944036__A0A196S984__AV274_5754
ERR1913157.211173__1.211173	901__B6WR27__lnt
ERR1913157.211511__1.211511	1262992__R5DD88__BN795_01670
ERR1913157.211627__1.211627	1262761__R6RU22__BN606_01110
ERR1913157.211607__1.211607	552398__F4XCR9__HMPREF0866_01636
ERR1913157.211703__1.211703	1262761__R6QV93__BN606_01806
ERR1913157.211794__1.211794	1262958__R7H1D8__BN645_01554
ERR1913157.211764__1.211764	821__A0A174V2F3__NCTC10583_01474
ERR1913157.212080__1.212080	216816__A0A083X5W4__HMPREF0177_01593
ERR1913157.212200__1.212200	1161942__arlR_1
ERR1913157.212239__1.212239	1161942__copA_2
ERR1913157.212268__1.212268	39485__C4Z6R3__mcp2_1
ERR1913157.212346__1.212346	165179__R6BQP4__DXC61_02015
ERR1913157.212396__1.212396	165179__R6XIF8__DXC61_07265
ERR1913157.212469__1.212469	33043__D5HFA0__glfT2
ERR1913157.212470__1.212470	1262961__R6DW57__BN710_00287
ERR1913157.212539__1.212539	1161942__clpC_3
ERR1913157.212940__1.212940	1681__A0A151CB13__B0156_0656
ERR1913157.212984__1.212984	1262936__R7IY18__BN799_00607
ERR1913157.213307__1.213307	901__B6WVE1__DESPIGER_2036
ERR1913157.213459__1.213459	33043__D5HIU3__ERS852386_01914
ERR1913157.213899__1.213899	1550024__A0A3B9WM87__TQ39_06420
ERR1913157.213975__1.213975	33043__A0A173YLD4__ERS852575_00535
ERR1913157.213979__1.213979	1262911__R6GHG8__BN557_01301
ERR1913157.214274__1.214274	1262761__R6QKZ0__BN606_00913
ERR1913157.214315__1.214315	1263000__R5EXT3__BN466_02213
ERR1913157.214413__1.214413	1262948__R7EBD6__BN671_01768
ERR1913157.214807__1.214807	1739406__A0A1S1EE77__HMPREF2902_04785
ERR1913157.214833__1.214833	239935__A0A2N8ITX2__CXT86_11265
ERR1913157.215008__1.215008	853__A0A174C5M1__CGS58_04460
ERR1913157.215197__1.215197	1680__A0A087DHN0__AL0462_1532
ERR1913157.215297__1.215297	1263000__R5EXT3__BN466_02213
ERR1913157.215456__1.215456	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913157.215530__1.215530	1263000__R5EC87__BN466_00713
ERR1913157.215689__1.215689	1897011__A0A1Q6RFG0__BHW41_03665
ERR1913157.215841__1.215841	1263000__R5EEL2__BN466_01100
ERR1913157.215910__1.215910	1262961__R6E1C5__BN710_01058
ERR1913157.215959__1.215959	33043__A8SWL7__ERS852386_02506
ERR1913157.216011__1.216011	239935__A0A2N8HUU6__CXT90_06150
ERR1913157.216108__1.216108	33043__D5HIK4__ERS852400_01112
ERR1913157.216214__1.216214	487175__F3QGM6__HMPREF9439_00065
ERR1913157.216227__1.216227	310298__B3JQJ5__BACCOP_04231
ERR1913157.216457__1.216457	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913157.216518__1.216518	216816__A0A0A0UDU9__BL1246
ERR1913157.216641__1.216641	1262961__R6ELH5__BN710_01000
ERR1913157.216724__1.216724	39492__D4JTF2__mutS2
ERR1913157.216777__1.216777	239935__A0A139TMG9__CXU07_10650
ERR1913157.217092__1.217092	33043__A0A174EI47__inlJ
ERR1913157.217172__1.217172	1681__A0A0H3E849__BBJK_01758
ERR1913157.217205__1.217205	1263027__R6ZKH6__BN699_02129
ERR1913157.217383__1.217383	239935__R7DVW2__CXU02_03915
ERR1913157.217891__1.217891	1161942__aroE
ERR1913157.218013__1.218013	74426__rpoB
ERR1913157.218325__1.218325	246787__A0A139LTD3__BACCELL_01107
ERR1913157.218378__1.218378	853__A0A173RZ39__C4N22_01650
ERR1913157.218653__1.218653	239935__A0A2N8IL82__CXU02_11740
ERR1913157.219121__1.219121	820__A0A396EUU8__luxQ_3
ERR1913157.219165__1.219165	821__A0A173XDD3__DXB82_17180
ERR1913157.219413__1.219413	1161942__celZ_1
ERR1913157.219565__1.219565	1689__W4N9R7__BDP_1584
ERR1913157.220280__1.220280	328814__GCA_004558275.1_00999
ERR1913157.220329__1.220329	239935__A0A2N8I3Z7__CXU05_10555
ERR1913157.220888__1.220888	853__A0A2A7B1Y7__C7K05_11930
ERR1913157.220950__1.220950	901__B6WQD9__DESPIG_00259
ERR1913157.220933__1.220933	33043__A8SWM2__ERS852575_01910
ERR1913157.221077__1.221077	33043__D5HI09__ERS852575_02656
ERR1913157.221233__1.221233	1686381__A0A0J1LSC0__SK36_00133
ERR1913157.221524__1.221524	1897011__A0A1Q6RH73__BHW41_01885
ERR1913157.221777__1.221777	410072__A0A3E4GUH0__COPCOM_01729
ERR1913157.221879__1.221879	216816__C2GSX7__DD678_03555
ERR1913157.221988__1.221988	1262761__R6QXV6__BN606_00004
ERR1913157.222050__1.222050	1680__A0A0C2VBJ4__birA
ERR1913157.222128__1.222128	33043__D5HIC8__vspIM
ERR1913157.222281__1.222281	33043__D5HF53__ERS852386_02418
ERR1913157.222384__1.222384	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913157.222783__1.222783	33043__A0A173WU55__ganB_2
ERR1913157.222796__1.222796	1262869__R7CL54__BN625_00830
ERR1913157.222899__1.222899	1262761__R6QKZ0__BN606_00913
ERR1913157.222933__1.222933	39492__D4JWL2__ERS852540_01201
ERR1913157.223224__1.223224	28117__B0MXG8__ALIPUT_01814
ERR1913157.223313__1.223313	1262869__R7CRP7__BN625_01723
ERR1913157.223425__1.223425	360807__C0FR49__ROSEINA2194_01203
ERR1913157.223485__1.223485	47678__R5U7L8__DXB67_16595
ERR1913157.223620__1.223620	1263027__R6ZEN0__BN699_02354
ERR1913157.223822__1.223822	1262761__R6RU22__BN606_01110
ERR1913157.223914__1.223914	1680__A0A174BEE7__BSTER_1311
ERR1913157.224033__1.224033	74426__purL
ERR1913157.224372__1.224372	552398__F4XHU2__HMPREF0866_03196
ERR1913157.224344__1.224344	165179__A0A3E5DN34__DXC61_07865
ERR1913157.224534__1.224534	239935__A0A2N8I1R3__CXU05_06075
ERR1913157.224564__1.224564	1161942__celE_1
ERR1913157.224899__1.224899	901__B6WX92__DESPIG_02718
ERR1913157.225095__1.225095	1262761__R6QU88__BN606_01983
ERR1913157.225227__1.225227	1262915__R6HPQ8__BN574_00511
ERR1913157.225318__1.225318	239935__A0A2N8ITX2__CXT86_11265
ERR1913157.225282__1.225282	39492__D4JV38__EUBSIR_01205
ERR1913157.225578__1.225578	853__C7H7F8__yccM_1
ERR1913157.225739__1.225739	301301__G2SZK8__ERS852391_00581
ERR1913157.226122__1.226122	1680__A0A173XYA2__B0703_0121
ERR1913157.226327__1.226327	239935__A0A2N8HT44__CXT84_11035
ERR1913157.226499__1.226499	1965587__A0A1Y4I0C5__B5F35_09340
ERR1913157.226500__1.226500	239935__A0A139TVJ4__CXT86_02020
ERR1913157.226552__1.226552	239935__A0A2N8INK7__Amuc_0521
ERR1913157.226731__1.226731	853__A0A2A7B9I6__DW855_13690
ERR1913157.226767__1.226767	33043__A8SWM2__ERS852575_01910
ERR1913157.226777__1.226777	1262700__R5XC07__BN695_01332
ERR1913157.226940__1.226940	28117__B0MT73__ALIPUT_00412
ERR1913157.227140__1.227140	239935__A0A2N8HL50__CXT98_09135
ERR1913157.227145__1.227145	853__A0A2A7B9I6__DW855_13690
ERR1913157.227149__1.227149	1263000__R5EKG2__BN466_02040
ERR1913157.227284__1.227284	1680__A0A3E4SB79__BAD_1517
ERR1913157.227313__1.227313	33043__D5HHT0__ERS852445_02798
ERR1913157.227417__1.227417	33043__A0A173ZZ54__ERS852400_00193
ERR1913157.227817__1.227817	1263027__R7AVM8__BN699_01088
ERR1913157.227869__1.227869	239935__A0A2N8HEH9__CXU07_11710
ERR1913157.228097__1.228097	239935__R6IZT7__CXU18_11710
ERR1913157.228107__1.228107	239935__A0A2N8I5A2__DEF40_08455
ERR1913157.228129__1.228129	1263027__R7AV74__BN699_02470
ERR1913157.228388__1.228388	1897011__A0A1Q6RGA3__BHW41_02665
ERR1913157.228761__1.228761	1161942__acm
ERR1913157.228746__1.228746	239935__A0A2N8J2P6__ADH72_06730
ERR1913157.229306__1.229306	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913157.229534__1.229534	572010__group_1550
ERR1913157.229584__1.229584	165179__A0A229I7F5__DXB80_02650
ERR1913157.229800__1.229800	116085__D4JC97__DW747_00040
ERR1913157.229823__1.229823	328814__GCA_004558275.1_00079
ERR1913157.230091__1.230091	1897011__A0A1Q6RH97__BHW41_01945
ERR1913157.230287__1.230287	1378168__V2YA11__N510_02528
ERR1913157.230308__1.230308	33043__A0A3A6J8T3__yvhJ
ERR1913157.230476__1.230476	360807__C0FVL1__ERS852392_00394
ERR1913157.230516__1.230516	1680__A0A173Y6N7__yhaH
ERR1913157.230677__1.230677	239935__A0A2N8HTZ8__CXU09_01270
ERR1913157.230726__1.230726	39491__A0A395ZHW9__DXC13_02590
ERR1913157.230745__1.230745	239935__A0A2N8HT44__CXT84_11035
ERR1913157.230775__1.230775	1897011__A0A1Q6RI70__BHW41_00995
ERR1913157.230938__1.230938	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913157.230952__1.230952	165179__A0A3E5DR10__DXC61_03505
ERR1913157.231055__1.231055	1262986__R5ZW93__BN492_01240
ERR1913157.231261__1.231261	165179__A0A3E5E5L1__DXB80_05980
ERR1913157.231267__1.231267	33043__A0A174E9K7__sigF_1
ERR1913157.231376__1.231376	216816__A0A0A6VPB9__B624_1780
ERR1913157.231387__1.231387	239935__A0A2N8IRW0__A4V05_11620
ERR1913157.231418__1.231418	33043__A0A3A6J8T3__yvhJ
ERR1913157.231682__1.231682	239935__A0A2N8IVR0__CXT87_07115
ERR1913157.231719__1.231719	33043__A0A173X7L1__ERS852400_00423
ERR1913157.232072__1.232072	1262911__R6GSH0__BN557_00934
ERR1913157.232363__1.232363	1161942__addB
ERR1913157.232524__1.232524	239935__A0A2N8HTZ8__CXU09_01270
ERR1913157.232544__1.232544	1263000__R5EBJ1__BN466_00540
ERR1913157.232551__1.232551	1161942__asd
ERR1913157.232584__1.232584	853__A0A174C5M1__CGS58_04460
ERR1913157.232665__1.232665	853__A0A329UEG4__CHR60_00585
ERR1913157.232686__1.232686	1796613__A0A1V0QDJ8__A4V03_07020
ERR1913157.232821__1.232821	33043__A0A173SS22__yceG
ERR1913157.233262__1.233262	1262869__R7CT15__BN625_01708
ERR1913157.233743__1.233743	165179__D1PEQ5__PREVCOP_05711
ERR1913157.233920__1.233920	853__A0A174C5M1__CGS58_04460
ERR1913157.234067__1.234067	1262911__R6H092__BN557_00938
ERR1913157.234339__1.234339	1262825__R5EHP5__BN724_01707
ERR1913157.234452__1.234452	1262761__R6R4K8__BN606_01919
ERR1913157.235258__1.235258	820__A0A3E4RUC4__DHU98_02635
ERR1913157.235229__1.235229	1262761__R6RB22__BN606_01933
ERR1913157.235230__1.235230	28118__F9ZAK8__NCTC10826_02458
ERR1913157.235275__1.235275	216816__B7GP87__HMPREF0177_01055
ERR1913157.235624__1.235624	1262761__R6RZ48__BN606_01724
ERR1913157.235637__1.235637	901__B6WUN9__DESPIGER_1850
ERR1913157.235650__1.235650	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913157.235747__1.235747	552398__F4XHI7__HMPREF0866_03091
ERR1913157.235896__1.235896	1262915__R6HKE8__BN574_00620
ERR1913157.236031__1.236031	165179__R6C330__DXC61_04975
ERR1913157.236087__1.236087	901__B6WXI1__DESPIGER_1636
ERR1913157.236134__1.236134	147207__adhE_1
ERR1913157.236699__1.236699	33043__D5HIL8__ERS852386_02009
ERR1913157.236704__1.236704	1680__R5GRA4__ERS852382_01548
ERR1913157.237130__1.237130	239935__A0A2N8IQX1__dnaA
ERR1913157.237189__1.237189	35833__E5Y6S3__HMPREF0179_01886
ERR1913157.237388__1.237388	29361__B6FKH5__CLONEX_00621
ERR1913157.237465__1.237465	39491__C4Z872__LD38_07250
ERR1913157.237523__1.237523	33043__D5HH62__ERS852575_00121
ERR1913157.237690__1.237690	39492__D4MIK7__EUBSIR_00676
ERR1913157.237901__1.237901	853__A0A173YYY4__DWZ04_09420
ERR1913157.237972__1.237972	165179__A0A3E5EAM5__DXC61_07785
ERR1913157.238245__1.238245	33043__D5HFF6__yihX
ERR1913157.238638__1.238638	384638__B7APN3__BACPEC_00639
ERR1913157.239015__1.239015	239935__A0A2N8HZW2__A4V05_11120
ERR1913157.239065__1.239065	745368__A0A1T4XV62__SAMN02745178_02335
ERR1913157.239662__1.239662	239935__A0A2N8I7W6__CXT90_04245
ERR1913157.239911__1.239911	239935__A0A2N8I1R3__CXU05_06075
ERR1913157.240171__1.240171	1262959__R5YSA1__BN680_00535
ERR1913157.240304__1.240304	1263000__R5EFA7__BN466_01197
ERR1913157.240483__1.240483	239935__A0A2N8HX65__CXU17_02540
ERR1913157.240624__1.240624	1262761__R6R4V4__BN606_00113
ERR1913157.240690__1.240690	147206__GCF_000156215.1_01776
ERR1913157.241000__1.241000	165179__D1PCT4__DXB80_09470
ERR1913157.241868__1.241868	1263030__R5CZV8__BN705_01159
ERR1913157.242750__1.242750	33043__A0A173QUI0__ERS852386_00036
ERR1913157.242853__1.242853	1680__A0A087DHN0__AL0462_1532
ERR1913157.242854__1.242854	74426__group_4851
ERR1913157.242907__1.242907	239935__A0A2N8HH03__CXU09_08875
ERR1913157.243515__1.243515	39496__A5Z5I2__EUBVEN_00963
ERR1913157.243682__1.243682	1262761__R6RP35__BN606_00461
ERR1913157.243873__1.243873	1235835__R9LCU2__C814_02677
ERR1913157.243950__1.243950	74426__purC
ERR1913157.244002__1.244002	216816__B7GTR6__BLD_0992
ERR1913157.244333__1.244333	1897011__A0A1Q6RH97__BHW41_01945
ERR1913157.244364__1.244364	1263000__R5EQY7__BN466_01150
ERR1913157.244365__1.244365	1262761__R6QYZ5__BN606_00402
ERR1913157.244702__1.244702	410072__A0A173WD04__penA_2
ERR1913157.244673__1.244673	33043__A8SWL7__ERS852386_02506
ERR1913157.244729__1.244729	33043__A0A173W4M0__dnaD
ERR1913157.244732__1.244732	1262961__R6DW08__BN710_00228
ERR1913157.245266__1.245266	1680__A0A0C2YPV2__AL0462_1474
ERR1913157.245286__1.245286	410072__A0A3E4GQ67__sigV_1
ERR1913157.245432__1.245432	1263000__R5EXT3__BN466_02213
ERR1913157.245502__1.245502	853__A0A174C5M1__CGS58_04460
ERR1913157.245796__1.245796	901__B6WUN9__DESPIGER_1850
ERR1913157.245873__1.245873	74426__rpoC
ERR1913157.245897__1.245897	39492__D4JW28__spoVFA
ERR1913157.246025__1.246025	1161942__atpD
ERR1913157.246027__1.246027	1897011__A0A1Q6RE52__BHW41_04690
ERR1913157.246084__1.246084	1297617__A0A0S2W6H4__BIV19_07935
ERR1913157.246277__1.246277	1235835__R9LCU2__C814_02677
ERR1913157.246422__1.246422	901__B6WQD5__DESPIG_00255
ERR1913157.246817__1.246817	33043__D5HHE4__ERS852445_02332
ERR1913157.246995__1.246995	33043__A8SV35__ERS852386_01106
ERR1913157.247607__1.247607	165179__A0A174WRI9__DXB80_04870
ERR1913157.247581__1.247581	239935__A0A139TMG9__CXU07_10650
ERR1913157.247625__1.247625	216816__V6XY04__APK78_02285
ERR1913157.247686__1.247686	823__A0A355XN73__DXC05_07000
ERR1913157.247831__1.247831	853__A0A3E2U7E6__ERS852582_01640
ERR1913157.247894__1.247894	301302__R5UMB9__M72_25011
ERR1913157.247977__1.247977	487174__K0XA48__DDY40_03955
ERR1913157.248064__1.248064	239935__A0A2N8IVK9__CXU08_03750
ERR1913157.248245__1.248245	329854__R5LZK1__DXD27_00590
ERR1913157.248708__1.248708	1263000__R5EBF6__BN466_00505
ERR1913157.248883__1.248883	1161942__adhE_1
ERR1913157.249226__1.249226	853__A0A174C5M1__CGS58_04460
ERR1913157.249376__1.249376	33043__A0A173YUV6__ERS852386_00507
ERR1913157.249538__1.249538	165179__D1P9T6__PREVCOP_04016
ERR1913157.249593__1.249593	165179__A0A3E5EBQ2__DXC61_01930
ERR1913157.249636__1.249636	239935__A0A2N8I1R3__CXU05_06075
ERR1913157.249701__1.249701	239935__A0A2N8I9N0__CXT97_09915
ERR1913157.249729__1.249729	239935__R7DVL7__CXT93_01180
ERR1913157.249786__1.249786	239935__A0A139TPG3__CXT86_08810
ERR1913157.250378__1.250378	28117__B0MTV5__BHV66_06415
ERR1913157.250455__1.250455	1262961__R6DW08__BN710_00228
ERR1913157.250492__1.250492	39492__D4JVC7__yfgF
ERR1913157.250563__1.250563	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913157.250846__1.250846	28117__B0MY41__BHV66_05165
ERR1913157.251005__1.251005	33043__D5HHT2__ERS852445_02796
ERR1913157.251176__1.251176	853__A0A3E2V168__FAEPRAM212_00929
ERR1913157.251221__1.251221	1263000__R5ECE2__BN466_00896
ERR1913157.251646__1.251646	33043__A0A173YQY3__ERS852445_01438
ERR1913157.251657__1.251657	239935__A0A2N8HB50__CXU17_02615
ERR1913157.251841__1.251841	1161942__chbP_1
ERR1913157.252027__1.252027	1262761__R6QWS5__BN606_02019
ERR1913157.251960__1.251960	239935__A0A2N8IFA0__CXT92_02050
ERR1913157.252103__1.252103	853__A0A173T751__C4N24_10280
ERR1913157.252173__1.252173	853__A0A329UEG4__CHR60_00585
ERR1913157.252239__1.252239	239935__A0A2N8HT18__CXT93_06135
ERR1913157.252335__1.252335	1161942__comM
ERR1913157.252352__1.252352	1965631__A0A1Y4AIV0__B5F90_04660
ERR1913157.252405__1.252405	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913157.252488__1.252488	116085__D4JBM5__DW747_01240
ERR1913157.252580__1.252580	165179__R6CNX7__DXB80_02200
ERR1913157.252844__1.252844	944036__A0A196SJB4__AV274_2253
ERR1913157.253240__1.253240	239935__A0A2N8HL14__CXT98_09285
ERR1913157.253178__1.253178	301301__G2T0A9__RHOM_03910
ERR1913157.253556__1.253556	239935__A0A2N8ILG3__CXT93_10135
ERR1913157.253676__1.253676	239935__A0A2N8IRW0__A4V05_11620
ERR1913157.254646__1.254646	33043__A0A3A6J8T3__yvhJ
ERR1913157.255164__1.255164	820__A0A139KHX1__HMPREF2141_00289
ERR1913157.255402__1.255402	1680__A0A0B5BIU5__BSTER_0145
ERR1913157.255714__1.255714	1680__A0A374QDL4__LMG18897_0432
ERR1913157.255742__1.255742	39485__C4Z6F3__EUBELI_20400
ERR1913157.255937__1.255937	39492__D4JSS2__EUBSIR_00553
ERR1913157.255924__1.255924	239935__A0A2N8IMD6__CXU03_05585
ERR1913157.256155__1.256155	572010__hgdC_1
ERR1913157.256272__1.256272	33043__A0A374K1H3__ykoD_2
ERR1913157.256351__1.256351	1897011__A0A1Q6RG37__BHW41_02405
ERR1913157.256443__1.256443	33043__A0A174ADZ1__dcuS_1
ERR1913157.256651__1.256651	1262761__R6R8A4__BN606_01470
ERR1913157.256756__1.256756	1263000__R5EC87__BN466_00713
ERR1913157.256858__1.256858	40520__R7DD10__glgB
ERR1913157.256951__1.256951	216816__B3DNW2__BL171B_07980
ERR1913157.257678__1.257678	40519__U2LZV0__RUMCAL_01736
ERR1913157.257822__1.257822	301301__A0A395VA63__sbcC
ERR1913157.258013__1.258013	1897011__A0A1Q6RE56__BHW41_04765
ERR1913157.257971__1.257971	1897011__A0A1Q6RH58__BHW41_01950
ERR1913157.257972__1.257972	1263027__R6ZPV4__BN699_00818
ERR1913157.258196__1.258196	1263027__R6ZI69__BN699_00845
ERR1913157.258156__1.258156	1681__E4V807__BIFI_0882
ERR1913157.258346__1.258346	1680__A0A173W5Z2__DXC53_01290
ERR1913157.258539__1.258539	1263027__R6ZZ34__BN699_01870
ERR1913157.259158__1.259158	216816__A0A395XYV2__APC1468_1887
ERR1913157.259323__1.259323	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913157.259338__1.259338	944036__A0A196SFD3__AV274_2485
ERR1913157.259418__1.259418	552398__F4XCR9__HMPREF0866_01636
ERR1913157.259604__1.259604	216816__D6ZWI5__B5781_1661
ERR1913157.259761__1.259761	33043__A0A174AEP1__apr
ERR1913157.259765__1.259765	1262869__R7CNI2__BN625_01278
ERR1913157.259688__1.259688	1262761__R6RTQ9__BN606_01087
ERR1913157.259958__1.259958	39486__G1WX25__DXD84_13390
ERR1913157.260060__1.260060	1262989__R6ZAH8__BN815_00636
ERR1913157.260151__1.260151	1263000__R5EMZ8__BN466_00707
ERR1913157.260449__1.260449	1262761__R6QW09__BN606_00873
ERR1913157.260659__1.260659	1161942__atpG
ERR1913157.260707__1.260707	239935__A0A2N8HHY4__DEF40_10850
ERR1913157.260781__1.260781	360807__A0A173WYK2__ROSEINA2194_02795
ERR1913157.260912__1.260912	328814__GCA_004558275.1_00998
ERR1913157.261033__1.261033	165179__D1PCT4__DXB80_09470
ERR1913157.261090__1.261090	853__A0A2A7B9I6__DW855_13690
ERR1913157.261193__1.261193	239935__A0A2N8HT44__CXT84_11035
ERR1913157.261495__1.261495	239935__A0A2N8IRH4__CXT92_05605
ERR1913157.261543__1.261543	1262761__R6QUM5__BN606_02048
ERR1913157.261558__1.261558	28026__C0BTC4__DXD43_01370
ERR1913157.262187__1.262187	1262915__R6HP23__BN574_01084
ERR1913157.262453__1.262453	1263000__R5EKR4__BN466_01609
ERR1913157.262482__1.262482	1520815__A0A1I3MVA2__SAMN02910435_01183
ERR1913157.262954__1.262954	458033__GCA_001482755.1_02203
ERR1913157.263131__1.263131	1262915__R6HMH7__BN574_01494
ERR1913157.263138__1.263138	1262761__R6QJQ2__BN606_00751
ERR1913157.263196__1.263196	820__A0A174F696__macB_13
