ERR1913140.348__1.348	1262882__R5N3T7__BN519_01188
ERR1913140.705974__1.705974	227940__GeneID:1260616
ERR1913140.706039__1.706039	1262741__R6DKK4__BN697_01269
ERR1913140.706045__1.706045	2173__A0A1D2WU48__Msm_1454
ERR1913140.706268__1.706268	39491__C4ZF05__vpr
ERR1913140.706277__1.706277	1262936__R7IYK8__BN799_00759
ERR1913140.706354__1.706354	165179__D1PCY7__DXB80_02765
ERR1913140.706578__1.706578	10680__GeneID:1261090
ERR1913140.706605__1.706605	1357825__GeneID:17494397
ERR1913140.706661__1.706661	165179__A0A3E5E7J5__DXC61_10360
ERR1913140.706687__1.706687	1357825__GeneID:17494397
ERR1913140.706936__1.706936	562__P26458__cydB
ERR1913140.707146__1.707146	1262886__R6Q824__BN563_00941
ERR1913140.707211__1.707211	901__B6WYC9__DHV46_00060
ERR1913140.707252__1.707252	165179__A0A174W369__PREVCOP_04548
ERR1913140.707194__1.707194	165179__A0A3E5E2S3__DXB80_03455
ERR1913140.707290__1.707290	564886__GeneID:6973115
ERR1913140.707330__1.707330	39496__A5Z5I2__EUBVEN_00963
ERR1913140.707407__1.707407	166486__D4L0E1__ypdA_4
ERR1913140.707495__1.707495	1262911__R6GZX7__BN557_00838
ERR1913140.707586__1.707586	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913140.707900__1.707900	165179__D1PCL6__DXB80_13435
ERR1913140.707968__1.707968	165179__A0A3E5E5L1__DXB80_05980
ERR1913140.707976__1.707976	165179__A0A3E5A554__DXB80_13805
ERR1913140.708015__1.708015	166486__D4L456__rpfG_10
ERR1913140.708097__1.708097	1262936__R7J2M9__BN799_00249
ERR1913140.708193__1.708193	853__A0A2A6Z8X1__FPR_03410
ERR1913140.708219__1.708219	901__B6WRB3__DESPIGER_0300
ERR1913140.708281__1.708281	823__A0A395YY84__DXC05_19515
ERR1913140.708300__1.708300	10680__GeneID:1261099
ERR1913140.708604__1.708604	172901__A0A2U1AED4__C8D82_14814
ERR1913140.708619__1.708619	39491__C4ZF05__vpr
ERR1913140.708989__1.708989	39491__A0A395ZDC6__addB
ERR1913140.708996__1.708996	165179__R6CNX7__DXB80_02200
ERR1913140.708959__1.708959	39486__B0G950__DXD50_13080
ERR1913140.709035__1.709035	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913140.709067__1.709067	165179__R6BPK1__DXB80_04445
ERR1913140.709100__1.709100	101570__GeneID:3342474
ERR1913140.709197__1.709197	360807__A0A0M6X184__ERS852392_03203
ERR1913140.709336__1.709336	165179__A0A174PS14__DXC61_13945
ERR1913140.709324__1.709324	823__D7ILK2__ERS852380_00031
ERR1913140.709314__1.709314	363265__G6AVR7__HMPREF0673_00706
ERR1913140.709385__1.709385	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913140.709436__1.709436	1262882__R5MHQ8__BN519_00707
ERR1913140.709582__1.709582	901__B6WYA8__DESPIGER_1386
ERR1913140.709756__1.709756	357276__A0A0M1W4C0__DXD47_07095
ERR1913140.710039__1.710039	1308__F8LWP9__CV714_04615
ERR1913140.710122__1.710122	626940__E8LDT4__rarD
ERR1913140.710169__1.710169	33039__D4M6E9__ERS852390_02866
ERR1913140.710247__1.710247	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913140.710346__1.710346	820__A0A3E4W6P0__gmhA
ERR1913140.710711__1.710711	821__A0A395US34__C5Z04_18975
ERR1913140.710745__1.710745	39486__G1WVT6__DXD50_09980
ERR1913140.710847__1.710847	39485__A0A174ZQT9__EUBELI_20278
ERR1913140.710947__1.710947	562__P0A9K7__AUQ29_19530
ERR1913140.710960__1.710960	33039__A0A173TYC0__cobB_2
ERR1913140.711047__1.711047	905__D2RKU2__SAMN02910455_01052
ERR1913140.711260__1.711260	821__A0A395US34__C5Z04_18975
ERR1913140.711333__1.711333	853__A0A173SUU8__CGS54_06840
ERR1913140.711500__1.711500	1147151__GeneID:14182075
ERR1913140.711565__1.711565	853__C7H7F5__DWZ46_01780
ERR1913140.711664__1.711664	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913140.711739__1.711739	10680__GeneID:1261100
ERR1913140.711818__1.711818	39486__B0G239__DXD82_09385
ERR1913140.711893__1.711893	820__A7VAR9__ERS852421_00197
ERR1913140.711945__1.711945	1262911__R6H1J5__BN557_00905
ERR1913140.712173__1.712173	1262536__GeneID:16385454
ERR1913140.712372__1.712372	10680__GeneID:1261092
ERR1913140.712431__1.712431	227940__GeneID:1260616
ERR1913140.712445__1.712445	1262911__R6GMS3__BN557_00579
ERR1913140.712501__1.712501	820__A0A174M9V5__M093_0237
ERR1913140.712575__1.712575	1262911__R6H212__BN557_01031
ERR1913140.712716__1.712716	165179__D1PAJ7__PREVCOP_04222
ERR1913140.712751__1.712751	165179__W1I4H6__DXB80_13655
ERR1913140.712799__1.712799	33012__S2VX10__HMPREF9306_01605
ERR1913140.712890__1.712890	905__D2RN83__Acfer_0100
ERR1913140.712853__1.712853	853__D4K7X0__DW905_09540
ERR1913140.713106__1.713106	204516__U6R9H3__HMPREF1534_03348
ERR1913140.713170__1.713170	823__A0A355XN36__DXB14_02385
ERR1913140.713129__1.713129	165179__A0A3E5DY64__CFT61_10025
ERR1913140.713185__1.713185	823__A6LB62__B5F32_04550
ERR1913140.713316__1.713316	33039__D4M286__ERS852502_02380
ERR1913140.713367__1.713367	562__P46855__PU39_09885
ERR1913140.713627__1.713627	10680__GeneID:1261099
ERR1913140.713629__1.713629	28117__B0MU76__ALIPUT_00202
ERR1913140.713735__1.713735	562__A0A377AAV3__CDL32_10800
ERR1913140.713827__1.713827	820__R9HP61__DXC91_01090
ERR1913140.713816__1.713816	1262936__R7J0K9__BN799_01537
ERR1913140.713843__1.713843	853__A0A173XRA8__CGS56_09290
ERR1913140.714065__1.714065	357276__I9FRW5__B5F95_21685
ERR1913140.714250__1.714250	39486__B0G873__DXC93_02310
ERR1913140.714280__1.714280	39491__A0A396FMT0__EUBREC_3020
ERR1913140.714460__1.714460	33043__A0A374K1H3__ykoD_2
ERR1913140.714463__1.714463	33043__A0A173W4M0__dnaD
ERR1913140.714507__1.714507	901__B6WUI5__DESPIGER_1817
ERR1913140.714625__1.714625	33043__A0A173X520__ERS852575_01617
ERR1913140.714781__1.714781	28117__B0MYZ8__BHV66_04535
ERR1913140.715337__1.715337	33043__A0A174H1Y6__ERS852575_02698
ERR1913140.715542__1.715542	626930__F3PWR2__HMPREF9446_03199
ERR1913140.715568__1.715568	39492__D4JU30__EUBSIR_00838
ERR1913140.715613__1.715613	1262936__R7J1I3__BN799_01554
ERR1913140.715725__1.715725	1262824__R6RS08__BN719_00545
ERR1913140.715836__1.715836	853__A0A2A7B9I6__DW855_13690
ERR1913140.716074__1.716074	10680__GeneID:1261099
ERR1913140.716112__1.716112	360807__C0FRZ9__RIL183_20711
ERR1913140.716161__1.716161	33043__D5HIK4__ERS852400_01112
ERR1913140.716261__1.716261	39492__D4JVN3__spsA
ERR1913140.716293__1.716293	1262936__R7IZZ2__BN799_01307
ERR1913140.716432__1.716432	165179__R6BQP4__DXC61_02015
ERR1913140.716591__1.716591	1855371__A0A1U6I4E1__SAMN05216563_103130
ERR1913140.716598__1.716598	39491__A0A396FE96__EUR_00280
ERR1913140.716744__1.716744	165179__A0A3E5E2S3__DXB80_03455
ERR1913140.716789__1.716789	2292352__A0A374UKI4__DXC23_09350
ERR1913140.716900__1.716900	357276__A0A0M1W9N4__GV66_05135
ERR1913140.717109__1.717109	165179__D1PDJ4__DXB80_08505
ERR1913140.717205__1.717205	39492__D4JX50__EUBSIR_00410
ERR1913140.717237__1.717237	165179__D1PAR0__DXB80_01190
ERR1913140.717449__1.717449	165179__A0A3E5A554__DXB80_13805
ERR1913140.717514__1.717514	820__A0A174QT76__B5G17_18060
ERR1913140.717709__1.717709	820__A0A173WUD7__DXB48_08055
ERR1913140.717744__1.717744	1262886__R6Q9D7__BN563_00573
ERR1913140.717793__1.717793	187979__A0A174C641__yadA_2
ERR1913140.717874__1.717874	328814__GCA_004558275.1_01621
ERR1913140.717880__1.717880	1262936__R7IZZ2__BN799_01307
ERR1913140.717936__1.717936	39491__A0A396FPV7__ERS852580_01177
ERR1913140.717981__1.717981	1262882__R5MIC9__BN519_00834
ERR1913140.717997__1.717997	166486__D4KZ24__ROSINTL182_05766
ERR1913140.718059__1.718059	357276__I8W1E1__B5F00_10785
ERR1913140.718077__1.718077	165179__D1PGD2__DXC61_10875
ERR1913140.718292__1.718292	165179__A0A3E5E9I4__DXB80_09745
ERR1913140.718336__1.718336	28052__A0A174LZK5__ERS852451_02148
ERR1913140.718428__1.718428	165179__D1PGU8__PREVCOP_06463
ERR1913140.718532__1.718532	905__D2RJY6__Acfer_1018
ERR1913140.718584__1.718584	410072__R6LKC9__ERS852525_01807
ERR1913140.718687__1.718687	166486__D4KW49__ROSINTL182_07746
ERR1913140.718707__1.718707	2293125__A0A374C0K0__DW917_10610
ERR1913140.718921__1.718921	1262936__R7IZZ2__BN799_01307
ERR1913140.719176__1.719176	165179__D1PGJ6__DXC61_07300
ERR1913140.719181__1.719181	410072__A0A174L0Z1__ERS852525_00863
ERR1913140.719341__1.719341	853__D4JY61__C4N21_10560
ERR1913140.719654__1.719654	905__D2RKI2__SAMN02910455_00781
ERR1913140.719740__1.719740	10680__GeneID:1261099
ERR1913140.719773__1.719773	901__B6WXG2__DESPIG_02788
ERR1913140.719815__1.719815	1262959__R5YVJ9__BN680_01667
ERR1913140.719866__1.719866	2292352__A0A374UN97__DXC23_09390
ERR1913140.719893__1.719893	165179__A0A3E5E7D5__PREVCOP_03928
ERR1913140.719980__1.719980	28111__R5JVV2__BACEGG_02950
ERR1913140.720070__1.720070	1262886__R6Q953__BN563_01252
ERR1913140.720110__1.720110	820__A0A374Q4X1__HMPREF2141_02370
ERR1913140.720202__1.720202	40518__A0A1C6H8N9__RBATCC27255_01374
ERR1913140.720261__1.720261	1735__B7CAG3__EUBIFOR_01184
ERR1913140.720273__1.720273	820__A7V8C2__ERS852554_01338
ERR1913140.720655__1.720655	310298__B3JQJ5__BACCOP_04231
ERR1913140.720963__1.720963	823__A6LHK0__M090_1297
ERR1913140.721095__1.721095	626940__E8LGB4__DCQ00_00235
ERR1913140.721131__1.721131	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913140.721195__1.721195	39485__C4Z6N2__EUBELI_20479
ERR1913140.721278__1.721278	384638__B7ASI3__BACPEC_02038
ERR1913140.721283__1.721283	10680__GeneID:1261100
ERR1913140.721500__1.721500	626940__E8LGB0__BN587_02003
ERR1913140.721727__1.721727	39492__R6SPM9__pheT
ERR1913140.721757__1.721757	1262882__R5MFA5__BN519_00331
ERR1913140.721813__1.721813	2293125__A0A374C0K0__DW917_10610
ERR1913140.722030__1.722030	384639__GCA_003096855.1_00253
ERR1913140.722103__1.722103	1262936__R7J158__BN799_01406
ERR1913140.722104__1.722104	39491__C4Z872__LD38_07250
ERR1913140.722235__1.722235	823__A6L9W2__DXB14_07905
ERR1913140.722527__1.722527	166486__C7G6A9__ROSINTL182_05422
ERR1913140.722607__1.722607	1147152__GeneID:14182017
ERR1913140.722757__1.722757	165179__D1PCT4__DXB80_09470
ERR1913140.722944__1.722944	360807__A0A0M6X1Y4__ROSEINA2194_02133
ERR1913140.723091__1.723091	626940__E8LGH5__BHW43_03625
ERR1913140.723125__1.723125	626940__E8LFB8__HMPREF9443_01558
ERR1913140.723137__1.723137	454155__F3QT51__HMPREF9442_01368
ERR1913140.723222__1.723222	820__A0A139KJ23__celCCA
ERR1913140.723199__1.723199	33043__A0A173QXC2__hyaD_1
ERR1913140.723192__1.723192	1150298__A0A174DU21__toxA_3
ERR1913140.723501__1.723501	1735__B7C896__EUBIFOR_00393
ERR1913140.723575__1.723575	165179__A0A3E5EB26__CFT61_02800
ERR1913140.723888__1.723888	165179__D1P9T6__PREVCOP_04016
ERR1913140.723940__1.723940	360807__C0FWL1__RIL183_24711
ERR1913140.724045__1.724045	905__D2RKI8__SAMN02910455_00787
ERR1913140.724099__1.724099	165179__D1PCL6__DXB80_13435
ERR1913140.724133__1.724133	39491__A0A395ZHW3__ERS852417_01359
ERR1913140.724135__1.724135	2292352__A0A374UMB7__DXC23_09370
ERR1913140.724440__1.724440	820__A0A374Q854__HMPREF1073_03281
ERR1913140.724675__1.724675	2292352__A0A374UL63__DXC23_08410
ERR1913140.724621__1.724621	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1913140.724733__1.724733	1262743__R5C054__BN727_01980
ERR1913140.725038__1.725038	357276__I9FRW5__B5F95_21685
ERR1913140.725143__1.725143	155148__GeneID:921005
ERR1913140.725146__1.725146	847__C3X920__BRW84_06910
ERR1913140.725249__1.725249	1262919__R5P825__BN465_01903
ERR1913140.725278__1.725278	360807__C0FY61__ERS852444_00016
ERR1913140.725324__1.725324	1262936__R7J0K5__BN799_01232
ERR1913140.725467__1.725467	165179__D1PAJ7__PREVCOP_04222
ERR1913140.725586__1.725586	1262936__R7J0S3__BN799_01459
ERR1913140.725791__1.725791	39492__D4JR04__phoU
ERR1913140.725911__1.725911	360807__C0FPW0__ROSEINA2194_00763
ERR1913140.725978__1.725978	1263000__R5EHB0__BN466_01647
ERR1913140.726005__1.726005	1262536__GeneID:16385454
ERR1913140.726117__1.726117	410072__A0A173Y221__spoIIIAE
ERR1913140.726159__1.726159	905__D2RNJ4__SAMN02910455_00844
ERR1913140.726245__1.726245	907__G0VQV7__JY94_08330
ERR1913140.726319__1.726319	165179__A0A3E5EB26__CFT61_02800
ERR1913140.726334__1.726334	33043__A0A173W9Y8__ERS852575_00062
ERR1913140.726493__1.726493	1262959__R5XX65__BN680_00785
ERR1913140.726495__1.726495	165179__D1PC26__PREVCOP_04756
ERR1913140.726653__1.726653	165179__A0A3E4SB80__DXC61_12880
ERR1913140.726736__1.726736	1262929__R6F5G9__BN691_01545
ERR1913140.726792__1.726792	820__A0A396EXA7__DXB37_15530
ERR1913140.727169__1.727169	166486__D4KXZ4__ROSINTL182_05055
ERR1913140.727195__1.727195	562__P0AEK1__CR916_15790
ERR1913140.727209__1.727209	39491__A0A395V6A3__DXB69_00505
ERR1913140.727307__1.727307	1262959__R5Y383__BN680_00338
ERR1913140.727286__1.727286	39491__A0A395UVM9__DXB76_04540
ERR1913140.727295__1.727295	187979__A0A174A2K7__yjcC_2
ERR1913140.727437__1.727437	820__A0A174VD39__DXD90_12235
ERR1913140.727498__1.727498	33043__D5HHY4__luxQ_1
ERR1913140.727510__1.727510	1262536__GeneID:16385454
ERR1913140.727513__1.727513	165179__A0A3E5DWZ6__DXC61_10880
ERR1913140.727580__1.727580	39492__D4JTW7__EUBSIR_00859
ERR1913140.728053__1.728053	214856__A0A174FY71__ERS852559_01033
ERR1913140.728055__1.728055	33039__A0A174XM16__ERS852530_05348
ERR1913140.728137__1.728137	1263006__R6LU28__BN515_01365
ERR1913140.728138__1.728138	626940__E8LFF6__BHW43_06155
ERR1913140.728460__1.728460	821__D4VD59__BHV80_04260
ERR1913140.728471__1.728471	1263044__GCA_000433375.1_03429
ERR1913140.728598__1.728598	360807__A0A396ACQ8__ROSEINA2194_00690
ERR1913140.728663__1.728663	2292352__A0A374UMB7__DXC23_09370
ERR1913140.728797__1.728797	823__A6LHJ7__ERS852380_00253
ERR1913140.728942__1.728942	39485__A0A174ZKZ4__spoIIQ_1
ERR1913140.729111__1.729111	905__D2RN83__Acfer_0100
ERR1913140.729402__1.729402	166486__D4L458__ROSINTL182_07088
ERR1913140.729430__1.729430	905__D2RP32__SAMN02910455_01452
ERR1913140.729437__1.729437	563769__GeneID:6973158
ERR1913140.729558__1.729558	39491__A0A395V5R3__EUBREC_1883
ERR1913140.729619__1.729619	1262929__R6F573__BN691_00942
ERR1913140.729872__1.729872	165179__A0A3E5E8N5__DXC61_13460
ERR1913140.729891__1.729891	357276__A0A0M1W9N4__GV66_05135
ERR1913140.730160__1.730160	1262911__R6GZX7__BN557_00838
ERR1913140.730196__1.730196	905__D2RLV1__SAMN05216495_11033
ERR1913140.730294__1.730294	33043__A0A173RQ80__ERS852445_02211
ERR1913140.730337__1.730337	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913140.730496__1.730496	1262911__R6H1M1__BN557_00925
ERR1913140.730485__1.730485	301301__A0A395V8C2__rhaR_3
ERR1913140.730444__1.730444	371601__A0A174GPX4__BN890_15170
ERR1913140.730526__1.730526	165179__A0A3E5EBQ2__DXC61_01930
ERR1913140.730531__1.730531	1262537__GeneID:16385341
ERR1913140.730544__1.730544	214856__A0A174A257__ERS852447_01007
ERR1913140.730886__1.730886	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913140.731170__1.731170	1262959__R5XUW0__BN680_01859
ERR1913140.731197__1.731197	166486__D4KXJ6__ERS852572_00336
ERR1913140.731234__1.731234	39491__A0A396FJJ9__DXB76_11995
ERR1913140.731291__1.731291	165179__D1PGU8__PREVCOP_06463
ERR1913140.731259__1.731259	2292352__A0A374UKJ4__DXC23_09360
ERR1913140.731310__1.731310	1262911__R6H054__BN557_00908
ERR1913140.731416__1.731416	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913140.731387__1.731387	649756__D4MXY4__CL2_04010
ERR1913140.731423__1.731423	901__B6WV62__DHV46_06145
ERR1913140.731696__1.731696	410072__A0A174J5N8__sbcC
ERR1913140.731747__1.731747	671232__A0A2T0GAW9__DXC94_05520
ERR1913140.731778__1.731778	165179__D1PDT3__PREVCOP_05375
ERR1913140.731826__1.731826	165179__A0A3E5E4T9__DXB80_08030
ERR1913140.731962__1.731962	357276__A0A0M1VZG8__HMPREF1064_01655
ERR1913140.732016__1.732016	907__A0A269TDA3__MELS_0888
ERR1913140.732255__1.732255	165179__A0A3E5AE59__DXC61_12885
ERR1913140.732366__1.732366	172901__A0A2U1A607__C8D82_1811
ERR1913140.732523__1.732523	820__R9HP61__DXC91_01090
ERR1913140.732583__1.732583	39485__A0A175A403__EUBELI_20577
ERR1913140.732710__1.732710	562__P77789__fimF_3
ERR1913140.732741__1.732741	853__A0A173YYY4__DWZ04_09420
ERR1913140.732790__1.732790	1262882__R5N1T9__BN519_00804
ERR1913140.732795__1.732795	905__D2RN14__Acfer_2088
ERR1913140.732832__1.732832	165179__A0A174IHQ2__PREVCOP_05478
ERR1913140.732920__1.732920	310298__B3JQJ5__BACCOP_04231
ERR1913140.732865__1.732865	823__D0T9E4__DHW69_09115
ERR1913140.732984__1.732984	820__A0A3E4QZJ7__C801_01798
ERR1913140.733066__1.733066	563769__GeneID:6973158
ERR1913140.733080__1.733080	165179__D1PCT4__DXB80_09470
ERR1913140.733151__1.733151	39491__A0A173VYV1__DXC13_02710
ERR1913140.733195__1.733195	40519__U2KNI1__RUMCAL_02150
ERR1913140.733398__1.733398	1263006__R6LRF6__BN515_00540
ERR1913140.733460__1.733460	1263000__R5EGP9__BN466_01419
ERR1913140.733628__1.733628	39496__A5Z5I2__EUBVEN_00963
ERR1913140.733668__1.733668	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913140.733799__1.733799	1262936__R7J2K7__BN799_00229
ERR1913140.733987__1.733987	562__P77789__fimF_3
ERR1913140.733994__1.733994	165179__A0A229I1J2__DXB80_03950
ERR1913140.734120__1.734120	165179__D1P9T6__PREVCOP_04016
ERR1913140.734188__1.734188	28116__C3QZB5__M088_3811
ERR1913140.734276__1.734276	360807__A0A1Q6T5B1__ERS852444_03147
ERR1913140.734246__1.734246	239935__A0A2N8IDX4__CXU20_07380
ERR1913140.734218__1.734218	1262959__R5XYX0__BN680_00040
ERR1913140.734331__1.734331	820__A0A3E4VZY4__ERS852554_01211
ERR1913140.734368__1.734368	1262889__R7H9H9__BN634_02436
ERR1913140.734354__1.734354	165179__A0A3E4SID1__DXB80_01945
ERR1913140.734497__1.734497	821__A0A395VLM8__BvMPK_3650
ERR1913140.734580__1.734580	821__A6L0C7__ERS852556_03520
ERR1913140.734614__1.734614	165179__A0A3E5DZD8__DXB80_09150
ERR1913140.734673__1.734673	165179__A0A229I1J2__DXB80_03950
ERR1913140.734723__1.734723	853__A0A2A7ATM9__DWZ89_13645
ERR1913140.734737__1.734737	165179__D1PEQ5__PREVCOP_05711
ERR1913140.734745__1.734745	626940__E8LBW8__DCQ00_03950
ERR1913140.734795__1.734795	357276__A0A0M1W9N4__GV66_05135
ERR1913140.734859__1.734859	165179__A0A3E5E9I4__DXB80_09745
ERR1913140.734996__1.734996	884684__GCA_002892425.1_01417
ERR1913140.735015__1.735015	39491__A0A174K9A3__DXB69_07785
ERR1913140.735105__1.735105	562__P46855__PU39_09885
ERR1913140.735139__1.735139	166486__D4KWZ7__cph2_5
ERR1913140.735176__1.735176	820__A0A174DZ97__SAMN05444418_101240
ERR1913140.735155__1.735155	1262961__R6DKB2__BN710_00152
ERR1913140.735293__1.735293	246787__A0A3D6AWM8__BACCELL_01963
ERR1913140.735334__1.735334	853__A0A3E2U7E6__ERS852582_01640
ERR1913140.735397__1.735397	712124__F9EEI6__HMPREF9062_0858
ERR1913140.735435__1.735435	328814__GCA_004558275.1_00064
ERR1913140.735447__1.735447	1262886__R6QND3__BN563_00539
ERR1913140.735456__1.735456	853__A0A3E2U7E6__ERS852582_01640
ERR1913140.735674__1.735674	165179__D1PEQ5__PREVCOP_05711
ERR1913140.735694__1.735694	165179__A0A3E5E7J5__DXC61_10360
ERR1913140.735733__1.735733	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913140.735738__1.735738	626940__E8LDT4__rarD
ERR1913140.735771__1.735771	357276__A0A076IYE6__IY41_04275
ERR1913140.735826__1.735826	165179__A0A3E5EB26__CFT61_02800
ERR1913140.736126__1.736126	165179__A0A229I1J2__DXB80_03950
ERR1913140.736243__1.736243	165179__A0A229I1J2__DXB80_03950
ERR1913140.736317__1.736317	165179__A0A3E5E6S6__DXB80_07575
ERR1913140.736330__1.736330	563769__GeneID:6973156
ERR1913140.736358__1.736358	820__A0A173YYG4__evgS_3
ERR1913140.736405__1.736405	562__P26458__cydB
ERR1913140.736385__1.736385	1262911__R6GKS1__BN557_00184
ERR1913140.736432__1.736432	823__A0A173VS36__M091_4727
ERR1913140.736641__1.736641	187979__A0A174CED3__gspF
ERR1913140.736750__1.736750	165179__R6XIF8__DXC61_07265
ERR1913140.736792__1.736792	338188__A0A174EU88__BACFIN_08820
ERR1913140.736890__1.736890	907__G0VQV7__JY94_08330
ERR1913140.736993__1.736993	1262911__R6H2J2__BN557_01228
ERR1913140.737201__1.737201	1262886__R6QD55__BN563_01713
ERR1913140.737247__1.737247	39491__A0A396FNY7__LD38_16155
ERR1913140.737250__1.737250	39491__C4ZHS4__EUR_24420
ERR1913140.737477__1.737477	820__A0A174KKV6__DXC07_02635
ERR1913140.737546__1.737546	823__A0A174VHT1__DHP27_04775
ERR1913140.737822__1.737822	1262936__R7J6M0__BN799_00574
ERR1913140.737945__1.737945	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913140.737974__1.737974	1042156__F7V3A8__HipB
ERR1913140.738029__1.738029	562__P46855__PU39_09885
ERR1913140.738663__1.738663	33043__A0A374K1H3__ykoD_2
ERR1913140.738692__1.738692	2292352__A0A374UIX0__DXC23_12260
ERR1913140.738748__1.738748	901__B6WVJ0__BHW59_08380
ERR1913140.738787__1.738787	165179__D1P9T6__PREVCOP_04016
ERR1913140.738886__1.738886	165179__A0A229I1J2__DXB80_03950
ERR1913140.738932__1.738932	626940__E8LEB0__BHW43_01865
ERR1913140.739101__1.739101	2292352__A0A374UL63__DXC23_08410
ERR1913140.739123__1.739123	1262936__R7IYW6__BN799_00686
ERR1913140.739125__1.739125	562__P63202__gadW
ERR1913140.739281__1.739281	1263000__R5EKY1__BN466_02098
ERR1913140.739445__1.739445	905__D2RNA8__Acfer_0125
ERR1913140.739542__1.739542	39486__B0G8E1__HMPREF9457_00478
ERR1913140.739552__1.739552	626940__E8LC65__HMPREF9443_00431
ERR1913140.739565__1.739565	410072__A0A174IQI6__ERS852574_01030
ERR1913140.739586__1.739586	905__D2RKI2__SAMN02910455_00781
ERR1913140.739627__1.739627	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913140.739737__1.739737	1262936__R7IYI0__BN799_00800
ERR1913140.740036__1.740036	39485__A0A174ZA72__glgB_1
ERR1913140.740122__1.740122	907__R7MWA0__C6Y28_03250
ERR1913140.740248__1.740248	28111__R5JSC9__HMPREF1016_01677
ERR1913140.740474__1.740474	39492__D4JUR4__ERS852540_01427
ERR1913140.740475__1.740475	563769__GeneID:6973158
ERR1913140.740525__1.740525	39491__C4Z8B6__ERE_17960
ERR1913140.740603__1.740603	1262936__R7J358__BN799_01390
ERR1913140.740811__1.740811	165179__D1PEQ5__PREVCOP_05711
ERR1913140.740866__1.740866	165179__A0A3E5E6S6__DXB80_07575
ERR1913140.741026__1.741026	1262959__R5YFN8__BN680_01122
ERR1913140.741041__1.741041	1262936__R7J1V8__BN799_00957
ERR1913140.741320__1.741320	1262936__R7J1R1__BN799_00897
ERR1913140.741418__1.741418	33043__A0A173W9Y8__ERS852575_00062
ERR1913140.741420__1.741420	2173__A0A1D2WT01__BK798_04470
ERR1913140.741524__1.741524	1147152__GeneID:14182018
ERR1913140.741533__1.741533	1262886__R6QH06__BN563_00448
ERR1913140.741538__1.741538	39492__D4JU31__ERS852540_00198
ERR1913140.741652__1.741652	28117__B0MY40__BHV66_05170
ERR1913140.741914__1.741914	556259__I0PXW0__BSGG_5187
ERR1913140.742009__1.742009	166486__D4KUE4__ROSINTL182_08606
ERR1913140.742104__1.742104	227940__GeneID:1260616
ERR1913140.742523__1.742523	33043__D5HJ93__ERS852445_01985
ERR1913140.742599__1.742599	28118__F9Z8K4__Odosp_0843
ERR1913140.742784__1.742784	1262989__R6YC95__BN815_00996
ERR1913140.742831__1.742831	33043__A0A174B5C6__acm_3
ERR1913140.743369__1.743369	165179__A0A3E5DV57__DXB80_11400
ERR1913140.743437__1.743437	905__D2RP07__SAMN05216495_10853
ERR1913140.743491__1.743491	1262911__R6GYL3__BN557_00607
ERR1913140.743811__1.743811	410072__A0A173S248__ERS852525_02992
ERR1913140.743884__1.743884	562__A0A376L0A6__CQA14_19985
ERR1913140.744031__1.744031	46506__B0NM94__HMPREF1181_03250
ERR1913140.744041__1.744041	39492__D4JTL0__EUBSIR_01428
ERR1913140.744055__1.744055	33043__D5HI50__smf
ERR1913140.744089__1.744089	28116__E5CHV5__B5F02_08530
ERR1913140.744095__1.744095	853__A8S882__C4N23_07600
ERR1913140.744127__1.744127	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913140.744313__1.744313	1262882__R5MM25__BN519_00600
ERR1913140.744530__1.744530	165179__A0A3E5E3D6__DXC61_05750
ERR1913140.744578__1.744578	165179__A0A174SR12__DXB80_04410
ERR1913140.744714__1.744714	1262936__R7IY33__BN799_00622
ERR1913140.744677__1.744677	508460__GCF_000585335.1_00128
ERR1913140.744694__1.744694	301301__A0A395VAL3__mcp2_2
ERR1913140.744750__1.744750	562__P23837__phoQ
ERR1913140.744937__1.744937	610243__A0A060QJF7__ASAP_2763
ERR1913140.744995__1.744995	820__A0A3E4RUC4__DHU98_02635
ERR1913140.745091__1.745091	28117__R7JN92__BHV66_00550
ERR1913140.745129__1.745129	1262886__R6QNU3__BN563_00612
ERR1913140.745166__1.745166	165179__A0A3E5EA43__DXC61_07775
ERR1913140.745190__1.745190	901__B6WQT6__DESPIG_00415
ERR1913140.745242__1.745242	853__A0A173T6P2__DWZ46_14595
ERR1913140.745251__1.745251	1393034__GCA_001552785.1_00510
ERR1913140.745255__1.745255	418240__C6JDI6__ERS852478_02871
ERR1913140.745281__1.745281	35833__E5Y1H2__HMPREF0179_00031
