ERR1913041.2__1.2	28116__F7LBW8__C5Z02_16055
ERR1913041.224810__1.224810	310298__B3JMG0__BACCOP_03099
ERR1913041.225082__1.225082	39491__A0A2U2EKL1__ERS852580_00911
ERR1913041.225121__1.225121	165179__A0A3E5E4T9__DXB80_08030
ERR1913041.225195__1.225195	47678__R5U969__C5Z00_13130
ERR1913041.225268__1.225268	2293125__A0A374BLR6__DW917_15555
ERR1913041.225396__1.225396	1262992__R5DDW9__BN795_00572
ERR1913041.225401__1.225401	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913041.225574__1.225574	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913041.225521__1.225521	39488__A0A173RXS4__ribF
ERR1913041.225604__1.225604	154288__A0A174CY82__spoVT
ERR1913041.225683__1.225683	1262913__R7JI12__BN646_02338
ERR1913041.225825__1.225825	40518__R5DXI4__DXD86_07420
ERR1913041.225841__1.225841	39491__D6E118__DXB69_05765
ERR1913041.225944__1.225944	820__R9I2U8__DXC68_09590
ERR1913041.226073__1.226073	39485__C4Z5L2__ERS852490_00659
ERR1913041.226137__1.226137	165179__A0A3E5EB26__CFT61_02800
ERR1913041.226240__1.226240	626933__H1DGX0__HMPREF9449_01506
ERR1913041.226269__1.226269	39485__C4Z6E8__EUBELI_20395
ERR1913041.226308__1.226308	39491__A0A396FKI6__mltF
ERR1913041.226331__1.226331	310298__B3JEE8__BACCOP_00239
ERR1913041.226518__1.226518	310298__B3JEE8__BACCOP_00239
ERR1913041.226534__1.226534	1262743__R5C054__BN727_01980
ERR1913041.226578__1.226578	1965632__A0A1Y4A853__B5F91_11650
ERR1913041.226681__1.226681	165179__A0A229I6N7__DXC61_06720
ERR1913041.226706__1.226706	39491__A0A395UUN5__EUBREC_0291
ERR1913041.226714__1.226714	204516__U6RSX5__HMPREF1534_00314
ERR1913041.226764__1.226764	310298__B3JQL6__BACCOP_04252
ERR1913041.226781__1.226781	310298__B3JMZ2__BACCOP_03297
ERR1913041.226815__1.226815	853__A0A173XRA8__CGS56_09290
ERR1913041.226851__1.226851	310298__B3JEE8__BACCOP_00239
ERR1913041.226857__1.226857	204516__U6RJY4__HMPREF1534_01494
ERR1913041.226835__1.226835	69974__A0A090FEL8__MPL3365_630008
ERR1913041.226843__1.226843	371601__I9A9Z3__CW3_2765
ERR1913041.226879__1.226879	39491__A0A395ZHW3__ERS852417_01359
ERR1913041.226934__1.226934	820__A0A139K5A6__DXB48_12175
ERR1913041.226936__1.226936	69974__A0A090FEL8__MPL3365_630008
ERR1913041.227035__1.227035	1262913__R7J3X1__BN646_00517
ERR1913041.227163__1.227163	310298__B3JMG0__BACCOP_03099
ERR1913041.227166__1.227166	1262924__R7HMN2__BN585_01573
ERR1913041.227254__1.227254	310298__B3JQL6__BACCOP_04252
ERR1913041.227330__1.227330	69974__A0A090FEL8__MPL3365_630008
ERR1913041.227405__1.227405	39491__C4Z872__LD38_07250
ERR1913041.227498__1.227498	165179__D1PES9__DXB80_11585
ERR1913041.227635__1.227635	165179__A0A229I7F5__DXB80_02650
ERR1913041.227703__1.227703	1261__D3MR67__SAMN05660467_01650
ERR1913041.227799__1.227799	1262911__R6GT76__BN557_01150
ERR1913041.227803__1.227803	28116__F7M1Q5__CUY_1584
ERR1913041.227845__1.227845	853__A0A173SUU8__CGS54_06840
ERR1913041.228059__1.228059	310298__B3JQ37__BACCOP_04069
ERR1913041.228062__1.228062	69974__A0A090FEL8__MPL3365_630008
ERR1913041.228039__1.228039	820__A7VAR9__ERS852421_00197
ERR1913041.228149__1.228149	69974__A0A090FEL8__MPL3365_630008
ERR1913041.228235__1.228235	626933__H1DGX0__HMPREF9449_01506
ERR1913041.228330__1.228330	626933__H1DGX0__HMPREF9449_01506
ERR1913041.228377__1.228377	487173__H1D1M0__HMPREF9453_01508
ERR1913041.228392__1.228392	310298__B3JMG0__BACCOP_03099
ERR1913041.228401__1.228401	301301__G2T1C2__RHOM_06165
ERR1913041.228423__1.228423	69974__A0A090FEL8__MPL3365_630008
ERR1913041.228475__1.228475	310298__B3JNR4__BACCOP_03579
ERR1913041.228505__1.228505	1323__A0A3E3E450__DXC78_08235
ERR1913041.228578__1.228578	626933__H1DGX0__HMPREF9449_01506
ERR1913041.228680__1.228680	1965661__A0A1Y3SIX3__B5G37_09365
ERR1913041.228936__1.228936	39492__D4JVC7__yfgF
ERR1913041.228992__1.228992	165179__A0A229I6N7__DXC61_06720
ERR1913041.229045__1.229045	1262930__R6AUL9__BN693_02008
ERR1913041.229052__1.229052	28118__F9Z3G8__B5F99_01835
ERR1913041.229109__1.229109	1262924__R7HKZ9__BN585_01304
ERR1913041.229179__1.229179	820__A0A1T4IY71__HMPREF2141_02402
ERR1913041.229192__1.229192	1262743__R5C3A8__BN727_00457
ERR1913041.229214__1.229214	2293125__A0A374CIC9__DW917_02045
ERR1913041.229284__1.229284	1262743__R5C054__BN727_01980
ERR1913041.229311__1.229311	165179__A0A174UTZ7__DXC61_06705
ERR1913041.229321__1.229321	165179__A0A3E5A5E5__DXC61_13965
ERR1913041.229417__1.229417	40518__R5DTJ1__DXD86_03635
ERR1913041.229432__1.229432	626933__H1DGX0__HMPREF9449_01506
ERR1913041.229510__1.229510	371601__A0A173ZG72__SAMN04487924_11442
ERR1913041.229543__1.229543	165179__D1PHC0__PREVCOP_06640
ERR1913041.229553__1.229553	165179__A0A3E5DZ45__DXC61_02820
ERR1913041.229626__1.229626	1262924__R7HMW0__BN585_01951
ERR1913041.229661__1.229661	1262743__R5C054__BN727_01980
ERR1913041.229692__1.229692	626933__H1DGX0__HMPREF9449_01506
ERR1913041.229693__1.229693	310298__B3JK99__BACCOP_02328
ERR1913041.229735__1.229735	165179__A0A3E5A5E5__DXC61_13965
ERR1913041.229764__1.229764	39491__A0A396FP46__cobD_2
ERR1913041.229868__1.229868	28117__B0MXD0__ALIPUT_01669
ERR1913041.229984__1.229984	39491__A0A396FIU1__DXC13_07905
ERR1913041.230010__1.230010	69974__A0A090FEL8__MPL3365_630008
ERR1913041.230060__1.230060	69974__A0A090FEL8__MPL3365_630008
ERR1913041.230142__1.230142	69974__A0A090FEL8__MPL3365_630008
ERR1913041.230396__1.230396	1262743__R5C054__BN727_01980
ERR1913041.230472__1.230472	626933__H1DGX0__HMPREF9449_01506
ERR1913041.230750__1.230750	165179__A0A3E5AGH1__DXB80_05820
ERR1913041.230779__1.230779	820__A0A139KHX1__HMPREF2141_00289
ERR1913041.230780__1.230780	204516__U6RFB2__HMPREF1534_01733
ERR1913041.230807__1.230807	69974__A0A090FEL8__MPL3365_630008
ERR1913041.230845__1.230845	1262924__R7HRT1__BN585_00630
ERR1913041.230890__1.230890	69974__A0A090FEL8__MPL3365_630008
ERR1913041.230932__1.230932	310298__B3JGJ2__BACCOP_00994
ERR1913041.231046__1.231046	47678__R5U8P0__DW706_15950
ERR1913041.231105__1.231105	69974__A0A090FEL8__MPL3365_630008
ERR1913041.231141__1.231141	853__A0A173TAZ8__DWZ46_14590
ERR1913041.231149__1.231149	216816__A0A2U0BT35__BL1206_1860
ERR1913041.231299__1.231299	39485__A0A174Z7G5__EUBELI_01168
ERR1913041.231388__1.231388	204516__U6RFU0__HMPREF1534_02545
ERR1913041.231420__1.231420	165179__A0A3E5EAM5__DXC61_07785
ERR1913041.231441__1.231441	853__A0A329UEG4__CHR60_00585
ERR1913041.231485__1.231485	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913041.231486__1.231486	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913041.231589__1.231589	165179__D1PGU8__PREVCOP_06463
ERR1913041.232049__1.232049	69974__A0A090FEL8__MPL3365_630008
ERR1913041.232169__1.232169	165179__A0A3E5EB26__CFT61_02800
ERR1913041.232182__1.232182	820__A0A173WUD7__DXB48_08055
ERR1913041.232221__1.232221	1262924__R7HPX8__BN585_00310
ERR1913041.232254__1.232254	39492__D4JVC7__yfgF
ERR1913041.232421__1.232421	165179__W1I4H6__DXB80_13655
ERR1913041.232741__1.232741	204516__U6R838__HMPREF1534_03867
ERR1913041.232804__1.232804	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913041.232854__1.232854	40518__R5E2Z2__DXD93_09295
ERR1913041.232868__1.232868	69974__A0A090FEL8__MPL3365_630008
ERR1913041.232887__1.232887	69974__A0A090FEL8__MPL3365_630008
ERR1913041.232831__1.232831	165179__A0A3E5A554__DXB80_13805
ERR1913041.232975__1.232975	69974__A0A090FEL8__MPL3365_630008
ERR1913041.233121__1.233121	487173__H1D0E0__HMPREF9453_01078
ERR1913041.233130__1.233130	165179__A0A3E4SB95__DXC61_13455
ERR1913041.233173__1.233173	69974__A0A090FEL8__MPL3365_630008
ERR1913041.233269__1.233269	301302__R5UM41__M72_15921
ERR1913041.233294__1.233294	39485__A0A174YJA4__EUBELI_20421
ERR1913041.233311__1.233311	28117__B0MWP2__ALIPUT_01468
ERR1913041.233708__1.233708	165179__A0A3E4SB95__DXC61_13455
ERR1913041.233709__1.233709	310298__B3JK97__BACCOP_02326
ERR1913041.233764__1.233764	28117__B0MTH2__ALIPUT_00061
ERR1913041.234011__1.234011	69974__A0A090FEL8__MPL3365_630008
ERR1913041.234018__1.234018	165179__A0A3E5EB26__CFT61_02800
ERR1913041.233998__1.233998	487174__K0WXG8__DIT83_09300
ERR1913041.234176__1.234176	165179__A0A3E5E189__PREVCOP_06699
ERR1913041.234183__1.234183	69974__A0A090FEL8__MPL3365_630008
ERR1913041.234339__1.234339	204516__U6R989__HMPREF1534_03109
ERR1913041.234347__1.234347	1262924__R7HML0__BN585_01508
ERR1913041.234373__1.234373	47678__R5UA58__ERS852558_01431
ERR1913041.234426__1.234426	69974__A0A090FEL8__MPL3365_630008
ERR1913041.234590__1.234590	820__A0A139K8N1__ERS852554_00951
ERR1913041.234636__1.234636	310298__B3JED9__BACCOP_00230
ERR1913041.234719__1.234719	39491__A0A395UZ82__EUR_31520
ERR1913041.234788__1.234788	853__A0A2A7B1Y7__C7K05_11930
ERR1913041.234815__1.234815	69974__A0A090FEL8__MPL3365_630008
ERR1913041.234868__1.234868	204516__U6RFU0__HMPREF1534_02545
ERR1913041.235042__1.235042	2293125__A0A374BLR6__DW917_15555
ERR1913041.235094__1.235094	487173__H1CYJ4__HMPREF9453_00432
ERR1913041.235095__1.235095	1160721__R6TIT8__BHW50_03275
ERR1913041.235140__1.235140	69974__A0A090FEL8__MPL3365_630008
ERR1913041.235200__1.235200	310298__B3JJX9__BACCOP_02203
ERR1913041.235254__1.235254	69974__A0A090FEL8__MPL3365_630008
ERR1913041.235261__1.235261	39491__R6UMS6__DXD13_07035
ERR1913041.235316__1.235316	1262924__R7HKP8__BN585_01113
ERR1913041.235448__1.235448	818__A0A1H7L4U6__BSIG_3287
ERR1913041.235500__1.235500	165179__A0A174UTZ7__DXC61_06705
ERR1913041.235573__1.235573	820__A0A396CMY7__HMPREF1072_03009
ERR1913041.235735__1.235735	69974__A0A090FEL8__MPL3365_630008
ERR1913041.235792__1.235792	1262948__R7EFL9__BN671_00524
ERR1913041.235924__1.235924	204516__U6R7Y8__HMPREF1534_03942
ERR1913041.236045__1.236045	165179__A0A229I6N7__DXC61_06720
ERR1913041.236178__1.236178	165179__D1PHC0__PREVCOP_06640
ERR1913041.236338__1.236338	487175__R5EK97__HMPREF9439_01943
ERR1913041.236515__1.236515	165179__A0A3E5EAM5__DXC61_07785
ERR1913041.236568__1.236568	1323__A0A380LMF1__DXC78_08925
ERR1913041.236573__1.236573	357276__I9QBT7__BSEG_03340
ERR1913041.236590__1.236590	1262929__R6EYU3__BN691_00676
ERR1913041.236611__1.236611	823__A0A395YY84__DXC05_19515
ERR1913041.236659__1.236659	310298__B3JMZ2__BACCOP_03297
ERR1913041.236749__1.236749	39485__C4Z1Y9__EUBELI_00143
ERR1913041.236753__1.236753	39490__U2P932__ERS852448_00304
ERR1913041.236796__1.236796	39488__A0A173UIN4__EUBHAL_00539
ERR1913041.236863__1.236863	69974__A0A090FEL8__MPL3365_630008
ERR1913041.236881__1.236881	204516__U6R838__HMPREF1534_03867
ERR1913041.236932__1.236932	1262924__R7HQP2__BN585_01509
ERR1913041.236934__1.236934	820__A0A139K426__B5G17_09115
ERR1913041.237003__1.237003	28117__B0MYM2__BHV66_04910
ERR1913041.237034__1.237034	853__A0A174CVG7__CGS58_09335
ERR1913041.237097__1.237097	1262992__R5D3W6__BN795_00533
ERR1913041.237103__1.237103	39485__C4Z355__ERS852490_01971
ERR1913041.237222__1.237222	39491__A0A395ZBW8__DXC13_08840
ERR1913041.237233__1.237233	47678__R5UZM4__DW706_15680
ERR1913041.237170__1.237170	39488__A0A173Y251__mscS
ERR1913041.237288__1.237288	28118__R6F045__B5F99_10560
ERR1913041.237574__1.237574	39485__A0A174ZA08__EUBELI_01019
ERR1913041.237707__1.237707	354276__A0A0T5XR07__pgaB
ERR1913041.237870__1.237870	28118__R6FA80__DHW44_06470
ERR1913041.237849__1.237849	69974__A0A090FEL8__MPL3365_630008
ERR1913041.237892__1.237892	165179__A0A3E5E8N5__DXC61_13460
ERR1913041.238040__1.238040	69974__A0A090FEL8__MPL3365_630008
ERR1913041.238045__1.238045	39485__C4Z6J7__ERS852492_02047
ERR1913041.238051__1.238051	69974__A0A090FEL8__MPL3365_630008
ERR1913041.238261__1.238261	69974__A0A090FEL8__MPL3365_630008
ERR1913041.238279__1.238279	28116__I9AKR7__DXA80_22960
ERR1913041.238305__1.238305	69974__A0A090FEL8__MPL3365_630008
ERR1913041.238349__1.238349	69974__A0A090FEL8__MPL3365_630008
ERR1913041.238350__1.238350	853__A0A173TAZ8__DWZ46_14590
ERR1913041.238415__1.238415	165179__D1PGU8__PREVCOP_06463
ERR1913041.238422__1.238422	39485__C4Z434__tilS
ERR1913041.238636__1.238636	69974__A0A090FEL8__MPL3365_630008
ERR1913041.238706__1.238706	823__D7ILK2__ERS852380_00031
ERR1913041.238764__1.238764	821__I9R3W6__DXC16_12455
ERR1913041.238778__1.238778	47678__A5ZB44__C5Z00_17730
ERR1913041.238801__1.238801	39491__A0A396FUZ3__phoR_1
ERR1913041.238819__1.238819	69974__A0A090FEL8__MPL3365_630008
ERR1913041.238864__1.238864	39491__A0A395UZZ5__htpG_1
ERR1913041.238878__1.238878	165179__A0A3E5E8N5__DXC61_13460
ERR1913041.238907__1.238907	204516__U6R7Y8__HMPREF1534_03942
ERR1913041.239297__1.239297	165179__A0A3E5EB26__CFT61_02800
ERR1913041.239313__1.239313	154288__A0A173ZJP7__rsiV
ERR1913041.239521__1.239521	1160721__W0U3P8__RBI_I00386
ERR1913041.239568__1.239568	40518__R5DV58__htrA
ERR1913041.239593__1.239593	39491__A0A2U2EED4__ERS852580_01584
ERR1913041.239707__1.239707	1735__B7CD72__EUBIFOR_02151
ERR1913041.239726__1.239726	39491__A0A396FEW6__T1815_18721
ERR1913041.239751__1.239751	1262929__R6F6C8__BN691_01344
ERR1913041.239851__1.239851	40519__U2KGE3__RUMCAL_00004
ERR1913041.239875__1.239875	1262924__R7HRF6__BN585_01735
ERR1913041.239952__1.239952	820__R7E9Z4__DXC68_06065
ERR1913041.240119__1.240119	28118__R6FCY1__DER54_07335
ERR1913041.240102__1.240102	301302__A0A173T3P5__ERS852420_01836
ERR1913041.240200__1.240200	47678__R5U969__C5Z00_13130
ERR1913041.240261__1.240261	410072__C0BF38__DXD67_15395
ERR1913041.240267__1.240267	39488__A0A285PQP4__DXD91_02025
ERR1913041.240397__1.240397	165179__A0A3E5A5E5__DXC61_13965
ERR1913041.240726__1.240726	165179__D1PCL6__DXB80_13435
ERR1913041.240809__1.240809	487173__H1D2V9__HMPREF9453_01947
ERR1913041.240854__1.240854	165179__A0A174UTZ7__DXC61_06705
ERR1913041.241079__1.241079	165179__D1PHC0__PREVCOP_06640
ERR1913041.241107__1.241107	649756__A0A348YI82__ERS852520_03326
ERR1913041.241234__1.241234	165179__A0A3E5AHY4__CFT61_07675
ERR1913041.241365__1.241365	69974__A0A090FEL8__MPL3365_630008
ERR1913041.241450__1.241450	69974__A0A090FEL8__MPL3365_630008
ERR1913041.241572__1.241572	69974__A0A090FEL8__MPL3365_630008
ERR1913041.241615__1.241615	1262743__R5C054__BN727_01980
ERR1913041.241629__1.241629	410072__A0A173WM89__DXD67_03705
ERR1913041.241658__1.241658	69974__A0A090FEL8__MPL3365_630008
ERR1913041.241707__1.241707	216816__A0A3D8U0T6__BN57_1990
ERR1913041.241787__1.241787	410072__C0B8D2__DXD67_01675
ERR1913041.241826__1.241826	69974__A0A090FEL8__MPL3365_630008
ERR1913041.241848__1.241848	310298__B3JK99__BACCOP_02328
ERR1913041.242011__1.242011	40518__R5E7S2__RBL263_00671
ERR1913041.242033__1.242033	69974__A0A090FEL8__MPL3365_630008
ERR1913041.242047__1.242047	1735__A0A0E9EXE5__EUBIFOR_01739
ERR1913041.242090__1.242090	1323__A0A380LHB6__DXC78_08130
ERR1913041.242103__1.242103	69974__A0A090FEL8__MPL3365_630008
ERR1913041.242143__1.242143	69974__A0A090FEL8__MPL3365_630008
ERR1913041.242228__1.242228	821__A0A0P0L952__M097_4235
ERR1913041.242438__1.242438	626933__H1DGX0__HMPREF9449_01506
ERR1913041.242442__1.242442	69974__A0A090FEL8__MPL3365_630008
ERR1913041.242638__1.242638	40520__A5ZSH0__ERS852533_03692
ERR1913041.242678__1.242678	261299__W1UKD3__SAMN02745147_2156
ERR1913041.242689__1.242689	39485__A0A174YTF8__EUBELI_20448
ERR1913041.242899__1.242899	1308__A0A0P6UXR1__T303_02640
ERR1913041.243017__1.243017	165179__A0A3E5EAM5__DXC61_07785
ERR1913041.243051__1.243051	165179__D1PER3__DXB80_11525
ERR1913041.243055__1.243055	69974__A0A090FEL8__MPL3365_630008
ERR1913041.243097__1.243097	165179__D1PGU8__PREVCOP_06463
ERR1913041.243076__1.243076	165179__A0A174UTZ7__DXC61_06705
ERR1913041.243119__1.243119	626933__H1DGX0__HMPREF9449_01506
ERR1913041.243178__1.243178	853__A0A173T0Y8__CGS54_07215
ERR1913041.243246__1.243246	204516__U6R838__HMPREF1534_03867
ERR1913041.243489__1.243489	69974__A0A090FEL8__MPL3365_630008
ERR1913041.243596__1.243596	165179__A0A3E5DY64__CFT61_10025
ERR1913041.243609__1.243609	165179__A0A3E5ED28__PREVCOP_06655
ERR1913041.243708__1.243708	39485__C4Z434__tilS
ERR1913041.243772__1.243772	626933__H1DGX0__HMPREF9449_01506
ERR1913041.243792__1.243792	47678__A5ZEP5__CGC64_03450
ERR1913041.243981__1.243981	165179__A0A3E5AHY4__CFT61_07675
ERR1913041.244001__1.244001	820__I9A4U7__DHU98_12785
ERR1913041.244179__1.244179	165179__A0A229I7F5__DXB80_02650
ERR1913041.244219__1.244219	39491__D4JIB6__ERS852417_01685
ERR1913041.244251__1.244251	39485__C4Z6Z5__EUBELI_20593
ERR1913041.244278__1.244278	40518__R5DZU5__RBL263_00458
ERR1913041.244297__1.244297	820__A0A1T4IY71__HMPREF2141_02402
ERR1913041.244302__1.244302	28117__B0MWP2__ALIPUT_01468
ERR1913041.244335__1.244335	371601__A0A1H4AKU1__BXY_45200
ERR1913041.244337__1.244337	39485__A0A174ZNZ2__ERS852492_02345
ERR1913041.244463__1.244463	820__A0A174DZ97__SAMN05444418_101240
ERR1913041.244495__1.244495	301301__A0A395V714__evgS
ERR1913041.244561__1.244561	626933__H1DGX0__HMPREF9449_01506
ERR1913041.244742__1.244742	626933__H1DGX0__HMPREF9449_01506
ERR1913041.245068__1.245068	310298__B3JPN8__BACCOP_03837
ERR1913041.245224__1.245224	1262929__R6EYU3__BN691_00676
ERR1913041.245317__1.245317	165179__A0A3E5AER8__DXB80_07075
ERR1913041.245374__1.245374	1262924__R7HP98__BN585_02065
ERR1913041.245380__1.245380	626932__G5H751__HMPREF9450_00894
ERR1913041.245531__1.245531	165179__A0A3E5E189__PREVCOP_06699
ERR1913041.245669__1.245669	69974__A0A090FEL8__MPL3365_630008
ERR1913041.245770__1.245770	69974__A0A090FEL8__MPL3365_630008
ERR1913041.245814__1.245814	165179__A0A3E5A5E5__DXC61_13965
ERR1913041.245833__1.245833	1263107__GCA_000436995.1_00014
ERR1913041.245901__1.245901	310298__B3JQL6__BACCOP_04252
ERR1913041.245923__1.245923	28117__B0MTV5__BHV66_06415
ERR1913041.245977__1.245977	818__A0A139L1D5__BT_2967
ERR1913041.246020__1.246020	39485__R5ZYJ0__ERS852492_00222
ERR1913041.246072__1.246072	165179__A0A3E5E8M8__DXB80_11580
ERR1913041.246097__1.246097	69974__A0A090FEL8__MPL3365_630008
ERR1913041.246100__1.246100	33038__A0A2N5NYI5__C5Y99_09140
ERR1913041.246151__1.246151	818__A0A174V5M6__BT_1963
ERR1913041.246180__1.246180	28117__B0MYW7__ALIPUT_02336
ERR1913041.246242__1.246242	310298__B3JMG0__BACCOP_03099
ERR1913041.246422__1.246422	88431__A0A174RV97__ERS852573_01297
ERR1913041.246574__1.246574	40518__R5DMZ0__DXD83_05610
ERR1913041.246581__1.246581	410072__A0A173XQG6__ERS852574_01620
ERR1913041.246704__1.246704	39491__A0A395UZ89__DXB72_12805
ERR1913041.246830__1.246830	820__A0A3E4WA06__ERS852554_03404
ERR1913041.246975__1.246975	626933__H1DGX0__HMPREF9449_01506
ERR1913041.247012__1.247012	40518__R5E2F3__artQ
ERR1913041.246982__1.246982	165179__A0A229I6N7__DXC61_06720
ERR1913041.247033__1.247033	40518__R5E4V5__RBL263_01242
ERR1913041.247117__1.247117	39491__A0A395V0H3__ERS852417_01192
ERR1913041.247167__1.247167	39491__A0A395ZG74__licR
ERR1913041.247155__1.247155	165179__D1PEQ5__PREVCOP_05711
ERR1913041.247240__1.247240	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913041.247260__1.247260	853__A0A173T0Y8__CGS54_07215
ERR1913041.247451__1.247451	301301__A0A395V6G4__ERS852391_00892
ERR1913041.247454__1.247454	165179__A0A174IPI3__CFT61_10940
ERR1913041.247466__1.247466	69974__A0A090FEL8__MPL3365_630008
ERR1913041.247545__1.247545	165179__A0A3E5A5E5__DXC61_13965
ERR1913041.247595__1.247595	853__A0A329UEG4__CHR60_00585
ERR1913041.247664__1.247664	853__A0A2A7B1Y7__C7K05_11930
ERR1913041.247713__1.247713	853__A0A3E2V168__FAEPRAM212_00929
ERR1913041.247743__1.247743	204516__U6RGV4__HMPREF1534_01764
ERR1913041.247955__1.247955	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913041.247932__1.247932	1501392__A0A0B2JC62__PU94_14235
ERR1913041.248039__1.248039	39490__U2NUP5__HMPREF0373_03106
ERR1913041.248174__1.248174	40518__R5E6K5__speA
ERR1913041.248210__1.248210	69974__A0A090FEL8__MPL3365_630008
ERR1913041.248218__1.248218	39491__C4ZCH3__EUR_17560
ERR1913041.248274__1.248274	69974__A0A090FEL8__MPL3365_630008
ERR1913041.248284__1.248284	165179__A0A3E5AHY4__CFT61_07675
ERR1913041.248348__1.248348	69974__A0A090FEL8__MPL3365_630008
ERR1913041.248393__1.248393	1262924__R7HQ14__BN585_00419
ERR1913041.248609__1.248609	39491__D6E2U1__EUBREC_3278
ERR1913041.248753__1.248753	821__A0A174NM17__lacZ_6
ERR1913041.248790__1.248790	28117__B0MWC6__BHV66_00965
ERR1913041.248864__1.248864	626933__H1DGX0__HMPREF9449_01506
ERR1913041.248955__1.248955	310298__B3JFS5__BACCOP_00726
ERR1913041.249193__1.249193	69974__A0A090FEL8__MPL3365_630008
ERR1913041.249245__1.249245	1735__B7C8T4__EUBIFOR_00588
ERR1913041.249250__1.249250	69974__A0A090FEL8__MPL3365_630008
ERR1913041.249306__1.249306	820__A0A3E4RU03__M093_0563
ERR1913041.249404__1.249404	39485__R5ZZA6__ERS852490_00168
ERR1913041.249426__1.249426	165179__D1PCL6__DXB80_13435
ERR1913041.249429__1.249429	1262913__R7J4R5__BN646_00631
ERR1913041.249430__1.249430	69974__A0A090FEL8__MPL3365_630008
ERR1913041.249503__1.249503	371601__I9A9Z3__CW3_2765
ERR1913041.249635__1.249635	39491__A0A396FMF1__EUR_28700
ERR1913041.249751__1.249751	69974__A0A090FEL8__MPL3365_630008
ERR1913041.249820__1.249820	39491__A0A173VYV1__DXC13_02710
ERR1913041.250010__1.250010	310298__B3JFQ2__BACCOP_00703
ERR1913041.250025__1.250025	310298__B3JFS5__BACCOP_00726
ERR1913041.250080__1.250080	69974__A0A090FEL8__MPL3365_630008
ERR1913041.250248__1.250248	626933__H1DGX0__HMPREF9449_01506
ERR1913041.250312__1.250312	853__A0A174BA00__DW905_01145
ERR1913041.250501__1.250501	39492__D4JV38__EUBSIR_01205
ERR1913041.250680__1.250680	69974__A0A090FEL8__MPL3365_630008
ERR1913041.250695__1.250695	487173__H1D082__HMPREF9453_01020
ERR1913041.250762__1.250762	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913041.250815__1.250815	69974__A0A090FEL8__MPL3365_630008
ERR1913041.251168__1.251168	69974__A0A090FEL8__MPL3365_630008
ERR1913041.251221__1.251221	69974__A0A090FEL8__MPL3365_630008
ERR1913041.251268__1.251268	204516__U6RMH5__HMPREF1534_00591
ERR1913041.251551__1.251551	328814__GCA_004558275.1_01000
ERR1913041.251585__1.251585	310298__B3JNH3__BACCOP_03486
ERR1913041.251615__1.251615	1262913__R7JDS4__BN646_01864
ERR1913041.251738__1.251738	69974__A0A090FEL8__MPL3365_630008
ERR1913041.251810__1.251810	1262924__R7HMW0__BN585_01951
ERR1913041.251839__1.251839	410072__C0BC88__DXD67_11180
ERR1913041.251865__1.251865	165179__A0A3E5A554__DXB80_13805
ERR1913041.251944__1.251944	1262992__R5D6J2__BN795_00288
ERR1913041.251948__1.251948	165179__A0A3E5E8N5__DXC61_13460
ERR1913041.252152__1.252152	39485__A0A174ZA72__glgB_1
ERR1913041.252188__1.252188	204516__U6R989__HMPREF1534_03109
ERR1913041.252217__1.252217	40518__R5E6U1__yunB
ERR1913041.252248__1.252248	69974__A0A090FEL8__MPL3365_630008
ERR1913041.252384__1.252384	216816__A0A3D8U0T6__BN57_1990
ERR1913041.252421__1.252421	69974__A0A090FEL8__MPL3365_630008
ERR1913041.252428__1.252428	487173__H1D2L5__HMPREF9453_01853
ERR1913041.252524__1.252524	853__A0A173YYY4__DWZ04_09420
ERR1913041.252586__1.252586	39491__A0A173SH34__EUR_24920
ERR1913041.252602__1.252602	40518__R5DP21__RBATCC27255_00348
ERR1913041.252653__1.252653	28117__B0MTY2__BHV66_06485
ERR1913041.252720__1.252720	69974__A0A090FEL8__MPL3365_630008
ERR1913041.252679__1.252679	1150298__A0A174SLE6__mlc_1
ERR1913041.252689__1.252689	487173__H1D2L5__HMPREF9453_01853
ERR1913041.252824__1.252824	47678__A5ZB44__C5Z00_17730
ERR1913041.253023__1.253023	69974__A0A090FEL8__MPL3365_630008
ERR1913041.253028__1.253028	1262924__R7HU74__BN585_00690
ERR1913041.253053__1.253053	410072__C0B830__ERS852525_01946
ERR1913041.253057__1.253057	69974__A0A090FEL8__MPL3365_630008
ERR1913041.253075__1.253075	165179__A0A174SA26__PREVCOP_05758
ERR1913041.253115__1.253115	69974__A0A090FEL8__MPL3365_630008
ERR1913041.253181__1.253181	165179__A0A229I4J4__proA
ERR1913041.253267__1.253267	28117__B0MY40__BHV66_05170
ERR1913041.253302__1.253302	216816__B7GQM4__BLIC_f01073
ERR1913041.253306__1.253306	39491__C4ZC33__DXC13_11585
ERR1913041.253325__1.253325	853__A0A173T751__C4N24_10280
ERR1913041.253342__1.253342	69974__A0A090FEL8__MPL3365_630008
ERR1913041.253405__1.253405	165179__A0A3E5AER8__DXB80_07075
ERR1913041.253459__1.253459	69974__A0A090FEL8__MPL3365_630008
