ERR1913314.38__1.38	28116__R6DIL2__DXD69_10970
ERR1913314.328921__1.328921	214856__R5UN64__ERS852447_02669
ERR1913314.329173__1.329173	487174__K0XM88__DDY40_02935
ERR1913314.329244__1.329244	28117__B0MST6__BHV66_06090
ERR1913314.329267__1.329267	1680__R5GRA4__ERS852382_01548
ERR1913314.329390__1.329390	1150298__A0A174EBT8__ERS852406_01739
ERR1913314.329472__1.329472	40518__R5E6K4__RB5AMG_02070
ERR1913314.329475__1.329475	820__A0A374MMF0__HMPREF1073_03811
ERR1913314.329498__1.329498	40518__R5DZC6__mreC
ERR1913314.329539__1.329539	418240__A0A396LB78__yehT_1
ERR1913314.329568__1.329568	821__A0A396F9T7__M097_3427
ERR1913314.329744__1.329744	1262746__R5SS80__BN750_02125
ERR1913314.329752__1.329752	216816__A0A1V8QFN0__HMPREF1315_0061
ERR1913314.329792__1.329792	820__A0A139KHX1__HMPREF2141_00289
ERR1913314.329932__1.329932	310298__B3JII2__BACCOP_01694
ERR1913314.330043__1.330043	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913314.330217__1.330217	40518__R5E7S2__RBL263_00671
ERR1913314.330266__1.330266	1628085__A0A2U1BG30__C7386_102206
ERR1913314.330283__1.330283	40518__R5DQK2__DXD93_03730
ERR1913314.330320__1.330320	187327__G4Q682__Acin_1672
ERR1913314.330326__1.330326	357276__A0A0K2HGB7__HMPREF1064_01580
ERR1913314.330358__1.330358	1680__R5GRA4__ERS852382_01548
ERR1913314.330382__1.330382	28117__B0MXR1__BHV66_08035
ERR1913314.330392__1.330392	820__A0A396CMY7__HMPREF1072_03009
ERR1913314.330452__1.330452	40518__R5DZU5__RBL263_00458
ERR1913314.330469__1.330469	40518__R5E426__DXD93_04485
ERR1913314.330546__1.330546	572010__rplK
ERR1913314.330556__1.330556	820__R9I324__HMPREF2141_02414
ERR1913314.330561__1.330561	187327__R6M1S7__ACDG_01902
ERR1913314.330567__1.330567	649756__L1Q987__ERS852520_02359
ERR1913314.330594__1.330594	46506__R6AEP1__HMPREF1181_01415
ERR1913314.330634__1.330634	2108523__A0A2P2F2M4__LAWASA_205
ERR1913314.330637__1.330637	169435__A0A3E3INU4__ERS852551_02032
ERR1913314.330657__1.330657	187327__G4Q2I5__ACDG_00990
ERR1913314.330756__1.330756	187327__G4Q3P7__Acin_0528
ERR1913314.330784__1.330784	820__A0A174CG08__DXB62_13215
ERR1913314.330815__1.330815	40518__R5E426__DXD93_04485
ERR1913314.330839__1.330839	40518__R5DSI5__fieF
ERR1913314.330951__1.330951	821__A0A174JYD3__ERS852457_02610
ERR1913314.331029__1.331029	823__A0A1Y4I349__DXB14_09300
ERR1913314.331156__1.331156	821__U6RDC2__DXD46_15675
ERR1913314.331277__1.331277	357276__B6W1J2__BACDOR_03380
ERR1913314.331296__1.331296	47678__A0A3E5B7J9__HMPREF1061_03888
ERR1913314.331323__1.331323	216816__A0A3D8U3T8__DXD41_09580
ERR1913314.331409__1.331409	40518__R5DX31__DXD86_09775
ERR1913314.331432__1.331432	820__A0A139JUD3__DXC91_19380
ERR1913314.331435__1.331435	823__A6LHK0__M090_1297
ERR1913314.331729__1.331729	187327__G4Q3J1__ACDG_01977
ERR1913314.331828__1.331828	187327__G4Q682__Acin_1672
ERR1913314.332022__1.332022	1150298__A0A174R4D7__tmpC_2
ERR1913314.332047__1.332047	556259__I0PXY6__BSGG_5174
ERR1913314.332102__1.332102	821__R9HFW2__DXD01_00365
ERR1913314.332186__1.332186	28117__R7JPX7__BHV66_00900
ERR1913314.332223__1.332223	820__R9I3Q7__HMPREF1072_01668
ERR1913314.332238__1.332238	246787__E2N7F5__AA416_04404
ERR1913314.332263__1.332263	820__A0A396EXA7__DXB37_15530
ERR1913314.332442__1.332442	187327__G4Q8X7__Acin_0433
ERR1913314.332452__1.332452	187327__G4Q5F1__Acin_2129
ERR1913314.332497__1.332497	820__A0A174TRB5__DXD40_11305
ERR1913314.332526__1.332526	1776081__A0A1B8WW21__A0U42_07075
ERR1913314.332563__1.332563	1263044__GCA_000433375.1_00023
ERR1913314.332572__1.332572	820__A0A3E4RTP0__C801_01067
ERR1913314.332675__1.332675	820__A0A139KG60__M094_2679
ERR1913314.332736__1.332736	310298__B3JII2__BACCOP_01694
ERR1913314.332746__1.332746	820__A0A173YYG4__evgS_3
ERR1913314.332747__1.332747	28117__B0MUY3__BHV66_00515
ERR1913314.332796__1.332796	169435__A0A3E3IGK4__B5F55_16115
ERR1913314.332797__1.332797	820__A0A174F0C1__nreB
ERR1913314.332889__1.332889	357276__B6W1J2__BACDOR_03380
ERR1913314.332932__1.332932	820__A0A174TRB5__DXD40_11305
ERR1913314.332968__1.332968	1150298__R7JU23__ERS852498_02342
ERR1913314.333200__1.333200	28118__R6FX99__Odosp_1660
ERR1913314.333257__1.333257	40518__R5E2F3__artQ
ERR1913314.333293__1.333293	214856__A0A173YE57__ERS852559_00126
ERR1913314.333355__1.333355	371601__C3QP88__BN890_39790
ERR1913314.333578__1.333578	328814__GCA_004558275.1_00066
ERR1913314.333821__1.333821	187327__G4Q3B5__arcB
ERR1913314.333923__1.333923	88431__A6BIP6__DXB16_05510
ERR1913314.334043__1.334043	1680__A1A0V3__C8077_03025
ERR1913314.334288__1.334288	39485__C4Z355__ERS852490_01971
ERR1913314.334330__1.334330	204516__U6RAM4__HMPREF1534_03439
ERR1913314.334357__1.334357	820__A0A374QGD2__ERS852421_02382
ERR1913314.334482__1.334482	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913314.334463__1.334463	820__A0A174TRB5__DXD40_11305
ERR1913314.334591__1.334591	28116__C3QN68__BACOVA_04250
ERR1913314.334614__1.334614	626929__F3PF45__B5F24_16795
ERR1913314.334698__1.334698	821__A0A0P0LQT3__DXC03_05050
ERR1913314.334865__1.334865	820__A0A174QT76__B5G17_18060
ERR1913314.334915__1.334915	1776081__A0A1B8WXX6__A0U42_03720
ERR1913314.335113__1.335113	46506__B0NRL4__HMPREF1181_00205
ERR1913314.335242__1.335242	820__A0A396EUU8__luxQ_3
ERR1913314.335358__1.335358	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913314.335415__1.335415	821__A0A174JYD3__ERS852457_02610
ERR1913314.335425__1.335425	1550024__A0A0D8IVV4__ASJ35_03610
ERR1913314.335439__1.335439	39488__C0EUG1__DXD91_05025
ERR1913314.335526__1.335526	820__A0A139JRS5__HMPREF1073_04025
ERR1913314.335476__1.335476	40518__R5DME2__DXD86_07315
ERR1913314.335498__1.335498	1263107__GCA_000436995.1_00183
ERR1913314.335624__1.335624	39491__A0A173TM76__DXB72_10535
ERR1913314.335594__1.335594	214856__I3YMC8__ERS852447_02666
ERR1913314.335672__1.335672	1680__A0A173XYA2__B0703_0121
ERR1913314.335701__1.335701	820__A0A139K0J1__HMPREF2141_03205
ERR1913314.335779__1.335779	40518__R5DQJ0__DXD93_03790
ERR1913314.335792__1.335792	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913314.335882__1.335882	88431__A0A3D0F0E5__ERS852526_03216
ERR1913314.335994__1.335994	28116__A0A1Y4P6Z8__HMPREF1069_04439
ERR1913314.336046__1.336046	820__A0A139K1Y6__DXB48_02610
ERR1913314.336129__1.336129	106588__A6NUL8__BACCAP_01900
ERR1913314.336193__1.336193	820__A0A139JRH8__HMPREF2141_04326
ERR1913314.336207__1.336207	39491__A0A396FRE7__EUR_27520
ERR1913314.336228__1.336228	338188__A0A174ETX3__ERS852397_01955
ERR1913314.336317__1.336317	88431__A0A174G8Q6__ERS852526_02711
ERR1913314.336446__1.336446	47678__R5U8Y1__BACCAC_02615
ERR1913314.336541__1.336541	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913314.336542__1.336542	371601__F7LA63__HMPREF1074_04288
ERR1913314.336737__1.336737	216816__A0A396FVC5__BL71B_00290
ERR1913314.336835__1.336835	821__A0A174NSU0__BVU_3144
ERR1913314.336997__1.336997	487174__K0WXI9__HMPREF9448_02340
ERR1913314.337082__1.337082	1262869__R7CNH9__BN625_01092
ERR1913314.337129__1.337129	40520__R7DE21__DXD81_02990
ERR1913314.337177__1.337177	40518__R5DU92__DXD93_03170
ERR1913314.337155__1.337155	40518__R5DZB3__RB5AMG_01719
ERR1913314.337281__1.337281	28116__I9JM49__NCTC11153_01044
ERR1913314.337446__1.337446	820__R9HXK9__DXB62_08265
ERR1913314.337452__1.337452	39488__A0A173TCD3__lytR_1
ERR1913314.337654__1.337654	40518__R5E6Y7__DXD83_08230
ERR1913314.337694__1.337694	28116__A7M344__BACOV975_04644
ERR1913314.337745__1.337745	1160721__W0U633__BHW50_00240
ERR1913314.337894__1.337894	820__A0A3E4WA06__ERS852554_03404
ERR1913314.337897__1.337897	820__A0A139K1Y6__DXB48_02610
ERR1913314.338008__1.338008	823__D0TGE9__ERS852429_03294
ERR1913314.338104__1.338104	556259__I0PXW0__BSGG_5187
ERR1913314.338249__1.338249	246787__A0A139L268__BcellWH2_03192
ERR1913314.338380__1.338380	820__A0A174LJB2__HMPREF1072_04112
ERR1913314.338363__1.338363	820__A0A3E4VZY4__ERS852554_01211
ERR1913314.338424__1.338424	821__A0A3E4WAR6__DXD64_10735
ERR1913314.338497__1.338497	40518__R5DUG7__sbcC
ERR1913314.338409__1.338409	820__A0A3E5E0T0__ERS852554_00312
ERR1913314.338649__1.338649	74426__asnS
ERR1913314.338701__1.338701	1680__A1A0V3__C8077_03025
ERR1913314.338857__1.338857	572010__group_1842
ERR1913314.338934__1.338934	820__A0A3E4VZT7__DXB48_16145
ERR1913314.338985__1.338985	84030__D6DFT4__B5F06_13625
ERR1913314.338990__1.338990	28116__A7LS06__HMPREF2532_04668
ERR1913314.339013__1.339013	820__A0A1T4IYF4__mprA_1
ERR1913314.339243__1.339243	1262756__R5XAN3__BN568_00323
ERR1913314.339349__1.339349	28118__F9Z5U0__sfp
ERR1913314.339430__1.339430	820__A0A174FUG6__DXC91_11265
ERR1913314.339478__1.339478	820__A0A3E4FZM1__adaA_2
ERR1913314.339559__1.339559	821__A0A0P0LH09__ERS852457_03390
ERR1913314.339562__1.339562	1262869__R7CT15__BN625_01708
ERR1913314.339609__1.339609	1750__I6Y255__HMPREF9154_0930
ERR1913314.339768__1.339768	820__A0A3E4VXP2__yesR
ERR1913314.339748__1.339748	1262869__R7CUK0__BN625_00521
ERR1913314.339787__1.339787	28116__A0A3E5HUC8__DHW41_21025
ERR1913314.339854__1.339854	78258__E6K1Z0__A200_01155
ERR1913314.340093__1.340093	1680__A1A2N8__LMG10734_1314
ERR1913314.340120__1.340120	292800__A0A174T130__HMPREF9460_00060
ERR1913314.340129__1.340129	40518__R5DLJ7__lytR_4
ERR1913314.340132__1.340132	820__A0A174FUG6__DXC91_11265
ERR1913314.340183__1.340183	820__R7E9Z4__DXC68_06065
ERR1913314.340171__1.340171	39488__C0EZ53__DXD91_09390
ERR1913314.340433__1.340433	821__A0A396F1N0__M099_1553
ERR1913314.340502__1.340502	216816__A0A1D7UQN6__CE165_02145
ERR1913314.340537__1.340537	820__A0A3E4WA06__ERS852554_03404
ERR1913314.340817__1.340817	47678__R5U9Z0__HMPREF1061_03210
ERR1913314.340882__1.340882	821__D4VC51__M099_1508
ERR1913314.340981__1.340981	820__A0A1Q6IDS8__chtA
ERR1913314.341112__1.341112	820__A7V092__hldE
ERR1913314.341128__1.341128	74426__yccM
ERR1913314.341138__1.341138	649756__A0A173QW26__ERS852571_00238
ERR1913314.341342__1.341342	40518__R5DZB3__RB5AMG_01719
ERR1913314.341347__1.341347	1522__A0A223MTT2__SAMN05216507_11118
ERR1913314.341352__1.341352	821__A0A395VIK7__BVU_1225
ERR1913314.341376__1.341376	1680__A0A3E4SB79__BAD_1517
ERR1913314.341524__1.341524	1776081__A0A1B8WVB2__A0U42_08515
ERR1913314.341481__1.341481	820__A0A396CMY7__HMPREF1072_03009
ERR1913314.341564__1.341564	39486__B0G7N0__DXC93_07990
ERR1913314.341577__1.341577	820__A0A139K2N9__DXB62_12420
ERR1913314.341831__1.341831	820__A0A139K426__B5G17_09115
ERR1913314.341973__1.341973	40518__R5DTJ1__DXD86_03635
ERR1913314.342054__1.342054	820__A0A139KA34__B5G17_05520
ERR1913314.342071__1.342071	187327__G4Q8Y2__ACDG_01084
ERR1913314.342073__1.342073	28117__B0MXX2__ALIPUT_01984
ERR1913314.342077__1.342077	39486__B0G912__DXD84_12340
ERR1913314.342110__1.342110	820__A0A1T4IYF4__mprA_1
ERR1913314.342200__1.342200	821__A0A396F1N0__M099_1553
ERR1913314.342201__1.342201	821__A0A174K302__CUU_3129
ERR1913314.342279__1.342279	821__A0A174AYT0__DXC02_03530
ERR1913314.342364__1.342364	40518__R5DX17__DXD86_01230
ERR1913314.342312__1.342312	40518__R5DR72__RBL236_02110
ERR1913314.342424__1.342424	821__A0A396F9T7__M097_3427
ERR1913314.342617__1.342617	28116__D4WPD7__HMPREF1069_02183
ERR1913314.342660__1.342660	820__A0A173YYG4__evgS_3
ERR1913314.342728__1.342728	820__A0A3E5BMG9__DXD40_05130
ERR1913314.342729__1.342729	28116__F7L4X5__M089_2857
ERR1913314.342779__1.342779	820__A0A3E4VZT7__DXB48_16145
ERR1913314.342906__1.342906	820__A7VAR9__ERS852421_00197
ERR1913314.342985__1.342985	1262744__R6FST0__BN744_00381
ERR1913314.343065__1.343065	821__A0A174TD86__C800_00949
ERR1913314.343021__1.343021	1150298__A0A174U7I9__ERS852406_02991
ERR1913314.343085__1.343085	35833__E5Y3G7__HMPREF0179_00728
ERR1913314.343142__1.343142	40518__R5DYU1__DXD86_01160
ERR1913314.343148__1.343148	301302__A0A173R6H4__M72_21671
ERR1913314.343152__1.343152	820__A0A139KIL9__DXC68_05945
ERR1913314.343193__1.343193	169435__A0A174TEM7__B5F10_07800
ERR1913314.343197__1.343197	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913314.343200__1.343200	1502943__K9D317__HMPREF9282_00736
ERR1913314.343201__1.343201	28116__C3R0H4__DXD69_00155
ERR1913314.343220__1.343220	820__A0A3E4QZJ7__C801_01798
ERR1913314.343247__1.343247	28117__B0MY40__BHV66_05170
ERR1913314.343254__1.343254	556259__E5C8S0__BSGG_1769
ERR1913314.343325__1.343325	187327__G4Q785__oadA
ERR1913314.343596__1.343596	1680__R5GMB5__AD0028_1137
ERR1913314.343571__1.343571	187327__G4Q682__Acin_1672
ERR1913314.343700__1.343700	357276__B6VYT9__HMPREF1063_05030
ERR1913314.343717__1.343717	1776081__A0A1B8WVE2__A0U42_07925
ERR1913314.343752__1.343752	28117__B0MTV0__BHV66_06395
ERR1913314.343988__1.343988	40518__R5DZC6__mreC
ERR1913314.343955__1.343955	39491__C4Z9K0__DXD95_07445
ERR1913314.344041__1.344041	820__A0A3E4G3J9__ERS852459_02265
ERR1913314.344043__1.344043	820__A0A173YYG4__evgS_3
ERR1913314.344078__1.344078	820__A7V9F9__B5G17_14640
ERR1913314.344173__1.344173	328813__A0A1Y3QRL5__B5G41_11625
ERR1913314.344244__1.344244	1262869__R7CPL6__BN625_01439
ERR1913314.344448__1.344448	820__A0A396EUU8__luxQ_3
ERR1913314.344516__1.344516	820__A0A3E4W4W5__ERS852554_02179
ERR1913314.344482__1.344482	1263044__GCA_000433375.1_00023
ERR1913314.344503__1.344503	187327__G4Q908__Acin_0464
ERR1913314.344612__1.344612	214856__I3YMC8__ERS852447_02666
ERR1913314.344671__1.344671	187327__G4Q590__Acin_2065
ERR1913314.344785__1.344785	39488__A0A174CJ01__DXD91_03830
ERR1913314.344869__1.344869	1262954__R7FBD9__BN611_01260
ERR1913314.344978__1.344978	301301__A0A395V957__RHOM_14115
ERR1913314.344945__1.344945	820__A0A139KH21__DXC80_01780
ERR1913314.344958__1.344958	28116__A0A3D2LPA1__CUY_3388
ERR1913314.345081__1.345081	28117__B0MUR5__BHV66_03900
ERR1913314.345118__1.345118	823__A6L9D3__ERS852560_03374
ERR1913314.345227__1.345227	39491__A0A395ZDC6__addB
ERR1913314.345299__1.345299	821__A0A174JYD3__ERS852457_02610
ERR1913314.345250__1.345250	40518__R5DYT8__mscS
ERR1913314.345330__1.345330	820__A0A3E4W084__BACUNI_04042
ERR1913314.345437__1.345437	214856__A0A173YE57__ERS852559_00126
ERR1913314.345464__1.345464	626933__H1DGX0__HMPREF9449_01506
ERR1913314.345472__1.345472	820__A0A139K8N1__ERS852554_00951
ERR1913314.345494__1.345494	820__A0A174TRB5__DXD40_11305
ERR1913314.345588__1.345588	187327__U2VMS3__ACDG_00972
ERR1913314.345640__1.345640	28116__C3R1N5__SAMN05444282_12443
ERR1913314.345760__1.345760	820__A0A3E4VZY4__ERS852554_01211
ERR1913314.345797__1.345797	28116__C3QXZ9__DXA80_15295
ERR1913314.346034__1.346034	394340__group_470
ERR1913314.346018__1.346018	169435__A0A1Y4MZ55__ERS852551_01892
ERR1913314.346099__1.346099	1776081__A0A1B8WSY2__A0U42_02410
ERR1913314.346177__1.346177	166486__D4KRN2__ERS852572_01816
ERR1913314.346209__1.346209	820__A0A174EV88__HMPREF1072_01427
ERR1913314.346242__1.346242	1150298__A0A174L2G3__ERS852498_01371
ERR1913314.346342__1.346342	47678__A5ZG68__ERS852494_02968
ERR1913314.346443__1.346443	40520__A0A396A315__DXB81_12480
ERR1913314.346474__1.346474	1263107__GCA_000436995.1_00173
ERR1913314.346517__1.346517	40520__A0A174GNL5__DXD81_10555
ERR1913314.346482__1.346482	820__A0A174GYA8__DXB64_07370
ERR1913314.346553__1.346553	820__I9TWZ7__DXC80_10550
ERR1913314.346690__1.346690	820__A0A173YYG4__evgS_3
ERR1913314.346848__1.346848	357276__B6VYT9__HMPREF1063_05030
ERR1913314.346906__1.346906	820__A0A374Q854__HMPREF1073_03281
ERR1913314.347073__1.347073	28116__A7LSB9__DXF98_11950
ERR1913314.347086__1.347086	216816__A0A133L1E2__ptsP
ERR1913314.347108__1.347108	820__A0A139KIL9__DXC68_05945
ERR1913314.347173__1.347173	626929__F3PLF4__HMPREF9445_03185
ERR1913314.347236__1.347236	626932__G5H6Y6__HMPREF9450_00829
ERR1913314.347247__1.347247	187327__G4Q5F1__Acin_2129
ERR1913314.347317__1.347317	39491__A0A174M1X5__DXB99_18695
ERR1913314.347322__1.347322	820__A0A3E4G493__ERS417307_00253
ERR1913314.347333__1.347333	187327__G4Q785__oadA
ERR1913314.347418__1.347418	820__A7V9F9__B5G17_14640
ERR1913314.347765__1.347765	28052__A0A174IBJ6__luxQ_1
ERR1913314.347866__1.347866	820__A0A174I980__gldH
ERR1913314.347914__1.347914	821__A0A174WBC9__ERS852556_03145
ERR1913314.348040__1.348040	820__A0A3E4WA06__ERS852554_03404
ERR1913314.348051__1.348051	214856__R5UN64__ERS852447_02669
ERR1913314.348191__1.348191	820__A7V470__HMPREF1072_02076
ERR1913314.348280__1.348280	187327__G4Q7K1__ACDG_00798
ERR1913314.348348__1.348348	821__A0A0P0LFP6__C5Z04_13890
ERR1913314.348389__1.348389	28116__A0A1Y4Q3M4__NCTC11153_02254
ERR1913314.348432__1.348432	39492__D4JU57__EUBSIR_00802
ERR1913314.348502__1.348502	2108523__A0A2P2F9U3__LAWASA_2809
ERR1913314.348575__1.348575	28116__A0A1Y4VU28__SAMN05444282_1227
ERR1913314.348659__1.348659	821__A0A396F598__CUU_3259
ERR1913314.348747__1.348747	28052__R7NFJ0__lytR_8
ERR1913314.348966__1.348966	40518__R5DZC6__mreC
ERR1913314.348993__1.348993	820__R9HP61__DXC91_01090
ERR1913314.349001__1.349001	820__A0A174TRB5__DXD40_11305
ERR1913314.349088__1.349088	1150298__A0A174Q6Q0__ERS852406_00063
ERR1913314.349135__1.349135	88431__A6BIL9__ERS852573_01301
ERR1913314.349137__1.349137	820__A0A174QLF0__SAMN05444418_109151
ERR1913314.349241__1.349241	39488__A0A285PMW6__ERS852450_00808
ERR1913314.349293__1.349293	820__A0A396CMY7__HMPREF1072_03009
ERR1913314.349300__1.349300	1680__A0A173W5Z2__DXC53_01290
ERR1913314.349357__1.349357	187327__G4Q8F0__ACDG_01813
ERR1913314.349469__1.349469	187327__G4Q2N2__Acin_1468
ERR1913314.349571__1.349571	820__A0A139KA34__B5G17_05520
ERR1913314.349555__1.349555	1160721__R6U7V4__BHW50_02190
ERR1913314.349603__1.349603	40518__R5DT16__ysdC_2
ERR1913314.349660__1.349660	820__R9HP61__DXC91_01090
ERR1913314.349662__1.349662	28117__B0MWX3__BHV66_03010
ERR1913314.349858__1.349858	821__A6L0C7__ERS852556_03520
ERR1913314.350054__1.350054	301301__G2T1C2__RHOM_06165
ERR1913314.350063__1.350063	1263107__GCA_000436995.1_00140
ERR1913314.350187__1.350187	1776081__A0A1B8WWL7__A0U42_07095
ERR1913314.350306__1.350306	40518__R5DTJ1__DXD86_03635
ERR1913314.350362__1.350362	626929__F3PIV6__B5F24_03810
ERR1913314.350403__1.350403	187327__G4Q908__Acin_0464
ERR1913314.350557__1.350557	820__A0A3E5BMG9__DXD40_05130
ERR1913314.350700__1.350700	40518__R5DYU1__DXD86_01160
ERR1913314.350916__1.350916	823__A0A078S9Y4__M096_1441
ERR1913314.350932__1.350932	46506__A0A120A0V1__DXC41_00280
ERR1913314.350971__1.350971	214856__R6YC22__ERS852447_01215
ERR1913314.350985__1.350985	556259__I0PXW0__BSGG_5187
ERR1913314.351003__1.351003	820__A0A3E4WCC2__lptB_1
ERR1913314.351083__1.351083	47678__A5ZEA3__ERS852558_00257
ERR1913314.351122__1.351122	28116__A0A1Y4Q114__DXF98_00470
ERR1913314.351156__1.351156	820__A0A139JV05__B5G17_18125
ERR1913314.351192__1.351192	556259__I0PYM3__BSGG_5385
ERR1913314.351241__1.351241	147207__dnaK2
ERR1913314.351256__1.351256	187327__G4Q5K6__Acin_0880
ERR1913314.351373__1.351373	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913314.351337__1.351337	820__A0A174R952__DXB48_02570
ERR1913314.351521__1.351521	820__A0A139JY23__B5G17_06330
ERR1913314.351590__1.351590	823__A0A069S0G2__DXB14_03195
ERR1913314.351592__1.351592	28116__D4WJ30__DHW41_06080
ERR1913314.351820__1.351820	821__C3RB94__DXC03_15585
ERR1913314.352078__1.352078	1358__D2BR41__AB996_0045
ERR1913314.352132__1.352132	1150298__A0A174BP05__murAA
ERR1913314.352182__1.352182	1263107__GCA_000436995.1_00045
ERR1913314.352293__1.352293	1263044__GCA_000433375.1_00023
ERR1913314.352312__1.352312	556259__I0PYM3__BSGG_5385
ERR1913314.352361__1.352361	40518__R5E1J7__RBL236_02062
ERR1913314.352383__1.352383	626929__F3PLK1__B5F97_09750
ERR1913314.352493__1.352493	187327__G4Q2J7__ACDG_01693
ERR1913314.352618__1.352618	820__A0A374Q8T2__DXB64_16190
ERR1913314.352657__1.352657	88431__A0A174G8Q6__ERS852526_02711
ERR1913314.352721__1.352721	40518__R5E7S2__RBL263_00671
ERR1913314.352741__1.352741	454155__F3QR71__HMPREF9442_00670
ERR1913314.352759__1.352759	1776081__A0A1B8WXH8__A0U42_04770
ERR1913314.352810__1.352810	821__A0A173XDD3__DXB82_17180
ERR1913314.352919__1.352919	187327__G4Q2R6__Acin_2204
ERR1913314.352936__1.352936	820__A0A139JY23__B5G17_06330
ERR1913314.352948__1.352948	820__A0A3E4RU03__M093_0563
ERR1913314.353039__1.353039	74426__purL
ERR1913314.353062__1.353062	216816__A0A396FVC5__BL71B_00290
ERR1913314.353114__1.353114	40518__R5DZ88__DXD93_06320
ERR1913314.353147__1.353147	649756__L1Q1Y2__DO83_04045
ERR1913314.353172__1.353172	40518__R5E426__DXD93_04485
ERR1913314.353173__1.353173	1603888__A0A133SHY1__HMPREF3201_01284
ERR1913314.353297__1.353297	1262743__R5C054__BN727_01980
ERR1913314.353569__1.353569	1680__R5GZJ8__BSTER_1195
ERR1913314.353753__1.353753	301302__R5V671__M72_27831
ERR1913314.353754__1.353754	1680__A0A173Y6N7__yhaH
ERR1913314.353800__1.353800	820__A0A374QGD2__ERS852421_02382
ERR1913314.353820__1.353820	40518__A0A373KL92__RBATCC27255_01378
ERR1913314.353917__1.353917	301301__A0A395V6H4__ydfH_3
ERR1913314.353885__1.353885	820__A0A3E4VXP2__yesR
ERR1913314.354199__1.354199	40518__R5DP61__DXD86_06345
ERR1913314.354229__1.354229	820__A0A3E4VZF8__C801_00319
ERR1913314.354347__1.354347	820__A0A174CG08__DXB62_13215
ERR1913314.354357__1.354357	40520__R7DC80__RUMOBE_00153
ERR1913314.354409__1.354409	820__A0A374QGD2__ERS852421_02382
ERR1913314.354420__1.354420	328813__A0A1Y3QQL4__B5G41_13930
ERR1913314.354444__1.354444	28117__B0MU76__ALIPUT_00202
ERR1913314.354456__1.354456	47678__R5U3A7__ERS852494_02965
ERR1913314.354663__1.354663	1262869__R7CLK0__BN625_01124
ERR1913314.354729__1.354729	820__A0A3E4FZM1__adaA_2
ERR1913314.354738__1.354738	1262756__R5X955__BN568_01457
ERR1913314.354826__1.354826	820__A0A173W419__DXC68_17760
ERR1913314.355015__1.355015	820__A0A139JV05__B5G17_18125
ERR1913314.355029__1.355029	187327__U2TT45__ACDG_00876
ERR1913314.355008__1.355008	820__A0A396EWL3__ERS417307_03868
ERR1913314.355061__1.355061	40518__R5DPE0__DXD86_06515
ERR1913314.355206__1.355206	187327__G4Q2R6__Acin_2204
ERR1913314.355269__1.355269	40518__R5E426__DXD93_04485
ERR1913314.355279__1.355279	371601__F7LA63__HMPREF1074_04288
ERR1913314.355343__1.355343	187327__G4Q6M6__ACDG_01245
ERR1913314.355498__1.355498	820__A0A174CG08__DXB62_13215
ERR1913314.355460__1.355460	46506__A0A3E4UIV1__DXC34_17755
ERR1913314.355471__1.355471	823__A0A3E4PAQ2__DDY96_18275
ERR1913314.355732__1.355732	292800__A0A174WD85__A4U99_09350
ERR1913314.355738__1.355738	357276__B6W1J2__BACDOR_03380
ERR1913314.355762__1.355762	821__A0A396F9T7__M097_3427
ERR1913314.355763__1.355763	820__A0A3E4W980__M093_3873
ERR1913314.355809__1.355809	821__D4VD59__BHV80_04260
ERR1913314.355849__1.355849	1262869__R7CP00__BN625_01342
ERR1913314.355858__1.355858	1262869__R7CPH9__BN625_01415
ERR1913314.356037__1.356037	820__A0A3E4G3J9__ERS852459_02265
ERR1913314.355979__1.355979	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913314.356216__1.356216	820__A7V9F9__B5G17_14640
ERR1913314.356196__1.356196	40518__R5DVR2__RBL236_00303
ERR1913314.356397__1.356397	187327__G4Q7M1__rnhC
ERR1913314.356432__1.356432	820__A7VAR9__ERS852421_00197
ERR1913314.356578__1.356578	35833__E5Y6S3__HMPREF0179_01886
ERR1913314.356495__1.356495	28052__A0A174KGM3__ERS852451_01819
ERR1913314.356514__1.356514	301302__R5UNJ6__M72_26701
ERR1913314.356726__1.356726	820__A0A3E4QZJ7__C801_01798
ERR1913314.356889__1.356889	820__A0A396EWL3__ERS417307_03868
ERR1913314.356980__1.356980	630129__A0A3E5HJB5__AH68_08040
ERR1913314.356841__1.356841	28116__A0A3A9HSJ8__DXD69_15065
ERR1913314.357056__1.357056	821__A0A3E4XY72__NCTC10583_01067
ERR1913314.357242__1.357242	40518__R5DP91__RBL236_00890
ERR1913314.357250__1.357250	821__A0A0P0M405__DXC02_15075
ERR1913314.357423__1.357423	39488__A0A173UK14__araC_3
ERR1913314.357667__1.357667	820__A0A139KA34__B5G17_05520
ERR1913314.357712__1.357712	28026__A0A0A7I510__DXD87_07495
ERR1913314.357826__1.357826	88431__A0A3D0EZF7__DXB16_08475
ERR1913314.357802__1.357802	33038__A0A2N5NWR8__CDL18_14140
ERR1913314.357890__1.357890	821__A0A396F1N0__M099_1553
