ERR1913021.342__1.342	1262935__R5GDB4__BN773_01091
ERR1913021.1632115__1.1632115	33043__A0A173ZEP9__araC_1
ERR1913021.1632139__1.1632139	28118__F9ZAE1__DF785_04930
ERR1913021.1632209__1.1632209	1501391__GCA_000786575.1_00071
ERR1913021.1632596__1.1632596	820__A0A174R952__DXB48_02570
ERR1913021.1632604__1.1632604	46503__R6WWC9__PARMER_03215
ERR1913021.1632620__1.1632620	28111__R5JUK8__NCTC11155_02515
ERR1913021.1632909__1.1632909	357276__A0A076IS73__GV66_00410
ERR1913021.1632961__1.1632961	357276__A0A076IR37__DXD47_07890
ERR1913021.1633009__1.1633009	1501391__GCA_000786575.1_00032
ERR1913021.1633020__1.1633020	1262886__R6QP39__BN563_00737
ERR1913021.1633707__1.1633707	1262992__R5CXM8__BN795_01024
ERR1913021.1633712__1.1633712	357276__B6VW91__BACDOR_01584
ERR1913021.1633900__1.1633900	820__A0A173WUD7__DXB48_08055
ERR1913021.1634332__1.1634332	357276__I9QBT7__BSEG_03340
ERR1913021.1634629__1.1634629	1160721__W0U7T4__BHW50_09645
ERR1913021.1634957__1.1634957	39491__A0A396FJV5__ERS852417_00035
ERR1913021.1635124__1.1635124	2293125__A0A374C3L4__DW917_09100
ERR1913021.1635250__1.1635250	544644__GCA_001915615.1_02252
ERR1913021.1635337__1.1635337	821__A0A3E4XY72__NCTC10583_01067
ERR1913021.1635418__1.1635418	1262889__R7H889__BN634_02048
ERR1913021.1635463__1.1635463	28111__E5X237__NCTC11155_00628
ERR1913021.1635465__1.1635465	820__A0A139KHD8__ERS417307_00569
ERR1913021.1635535__1.1635535	39491__A0A395ZHW3__ERS852417_01359
ERR1913021.1635537__1.1635537	291644__I8Z4G9__ina_1
ERR1913021.1635701__1.1635701	47678__A5ZGW9__HMPREF1061_01068
ERR1913021.1635726__1.1635726	556259__E5C7G5__BSGG_0441
ERR1913021.1635735__1.1635735	357276__A0A0P0M2G3__BACDOR_03913
ERR1913021.1636020__1.1636020	821__A0A3E4WAR6__DXD64_10735
ERR1913021.1636043__1.1636043	1262935__R5GEF5__BN773_00089
ERR1913021.1636080__1.1636080	821__R9HFW2__DXD01_00365
ERR1913021.1636271__1.1636271	2293125__A0A374BSW4__DW917_13420
ERR1913021.1636482__1.1636482	1262889__R7HA49__BN634_00677
ERR1913021.1636673__1.1636673	46228__V8BPH3__RUMLAC_01268
ERR1913021.1636794__1.1636794	820__A0A3E4XDK3__ERS852554_03650
ERR1913021.1636967__1.1636967	1262935__R5GH94__BN773_00883
ERR1913021.1637066__1.1637066	1262935__R5GG03__BN773_00437
ERR1913021.1637149__1.1637149	357276__A0A076ISJ4__B5F95_19420
ERR1913021.1637222__1.1637222	1501391__GCA_000786575.1_00092
ERR1913021.1637273__1.1637273	246787__A0A0P0FSC9__BACCELL_02534
ERR1913021.1637343__1.1637343	357276__A0A0P0M2G3__BACDOR_03913
ERR1913021.1637465__1.1637465	357276__I9RD92__BACDOR_04262
ERR1913021.1637616__1.1637616	823__E1YV41__BDI_1376
ERR1913021.1637599__1.1637599	291644__I9T2X5__ERS852428_03729
ERR1913021.1637836__1.1637836	1262889__R7HCV1__BN634_01227
ERR1913021.1637923__1.1637923	1897011__A0A1Q6RD95__BHW41_05725
ERR1913021.1638088__1.1638088	46503__K5ZW30__HMPREF1060_00319
ERR1913021.1638121__1.1638121	820__A0A173WUD7__DXB48_08055
ERR1913021.1638149__1.1638149	39491__C4ZHS4__EUR_24420
ERR1913021.1638228__1.1638228	820__A0A1Y3V743__M093_0235
ERR1913021.1638198__1.1638198	246787__A0A3D6AZX0__BACCELL_00122
ERR1913021.1638246__1.1638246	1262889__R7H954__BN634_00680
ERR1913021.1638300__1.1638300	1160721__W0U811__RBI_II00162
ERR1913021.1638487__1.1638487	357276__B6W1J2__BACDOR_03380
ERR1913021.1639033__1.1639033	46506__R5K437__DXC34_00685
ERR1913021.1639100__1.1639100	818__C6IIW4__dapH_1
ERR1913021.1639159__1.1639159	818__A0A139K1T6__SAMN05216253_11033
ERR1913021.1639555__1.1639555	46228__V8BLJ0__DXD17_08675
ERR1913021.1639694__1.1639694	820__A0A3E4GA19__SAMN05444418_10562
ERR1913021.1639730__1.1639730	28116__A0A1Y4PWN5__M088_3731
ERR1913021.1639887__1.1639887	1262988__R7N2N0__BN816_00043
ERR1913021.1640039__1.1640039	357276__A0A1Y3ZD00__B5F00_16730
ERR1913021.1640075__1.1640075	487175__R5EIM6__HMPREF9439_00957
ERR1913021.1640076__1.1640076	821__A0A395VLM8__BvMPK_3650
ERR1913021.1640168__1.1640168	821__A0A3E4WAR6__DXD64_10735
ERR1913021.1640207__1.1640207	821__E5UY21__C800_02204
ERR1913021.1640243__1.1640243	357276__B6W1Y5__IY41_11405
ERR1913021.1640279__1.1640279	47678__A5ZL09__BACCAC_03608
ERR1913021.1640386__1.1640386	291644__I9SJB6__HMPREF1532_04086
ERR1913021.1640354__1.1640354	1262889__R7HAC7__BN634_01118
ERR1913021.1640446__1.1640446	1628085__A0A3E2XZW0__C7386_101386
ERR1913021.1640509__1.1640509	357276__A0A076IXE0__HMPREF1064_04364
ERR1913021.1640546__1.1640546	28111__E5WXT0__BACEGG_00796
ERR1913021.1640549__1.1640549	28116__I8YA52__M088_0798
ERR1913021.1640621__1.1640621	291644__R5JGS8__HMPREF1071_01205
ERR1913021.1640570__1.1640570	357276__A0A076IS73__GV66_00410
ERR1913021.1640679__1.1640679	204516__U6RGN8__HMPREF1534_01465
ERR1913021.1640670__1.1640670	1262825__R5EJK4__BN724_02191
ERR1913021.1640759__1.1640759	357276__I9G0T7__BACDOR_04266
ERR1913021.1640936__1.1640936	357276__U6R8F9__DXD47_04035
ERR1913021.1640994__1.1640994	823__A0A395YZ10__NCTC11152_02955
ERR1913021.1641134__1.1641134	821__I9R3W6__DXC16_12455
ERR1913021.1641253__1.1641253	39492__D4JQL8__ywpJ
ERR1913021.1641305__1.1641305	745368__A0A1T4XY03__SAMN02745178_02465
ERR1913021.1641646__1.1641646	823__D0TBY4__M090_0431
ERR1913021.1641658__1.1641658	1262886__R6QBN3__BN563_01269
ERR1913021.1641757__1.1641757	820__A0A173WZS4__DXD90_10250
ERR1913021.1641726__1.1641726	821__C6Z087__DXB90_00750
ERR1913021.1641902__1.1641902	357276__A0A076J9V8__BACDOR_01395
ERR1913021.1641938__1.1641938	357276__A0A0K2HI25__DXD47_04465
ERR1913021.1642016__1.1642016	46506__A0A108TAK3__fepA_3
ERR1913021.1642040__1.1642040	1501391__GCA_000786575.1_00016
ERR1913021.1642042__1.1642042	357276__B6W5Q9__HMPREF1063_03125
ERR1913021.1642086__1.1642086	357276__I9F3U2__B5F00_20845
ERR1913021.1642141__1.1642141	1262736__R5YKN2__BN496_01817
ERR1913021.1642381__1.1642381	1262889__R7HD12__BN634_00607
ERR1913021.1642416__1.1642416	1150298__A0A174EM68__ERS852406_01867
ERR1913021.1642549__1.1642549	1262889__R7HBH6__BN634_02400
ERR1913021.1642572__1.1642572	820__R9I2U8__DXC68_09590
ERR1913021.1642714__1.1642714	818__A0A3E5GYI4__NCTC10582_00013
ERR1913021.1642765__1.1642765	1262825__R5EK39__BN724_02341
ERR1913021.1642782__1.1642782	39488__A0A173T8Z7__hemZ_2
ERR1913021.1642888__1.1642888	1262935__R5GUZ2__BN773_00533
ERR1913021.1642987__1.1642987	40518__R5DLJ7__lytR_4
ERR1913021.1643051__1.1643051	820__A0A139KEW8__DXB64_06405
ERR1913021.1643149__1.1643149	46228__V8CD18__DXD17_11645
ERR1913021.1643288__1.1643288	2108523__A0A2P2FC97__LAWASA_3643
ERR1913021.1643578__1.1643578	1262942__R7QZ00__BN520_02496
ERR1913021.1643856__1.1643856	1262886__R6RCU2__BN563_00491
ERR1913021.1644059__1.1644059	357276__A0A076IN30__DXD47_09350
ERR1913021.1644113__1.1644113	706562__GCA_900112995.1_01419
ERR1913021.1644297__1.1644297	301301__A0A395V957__RHOM_14115
ERR1913021.1644430__1.1644430	823__A6LEF1__CF162_12695
ERR1913021.1644491__1.1644491	357276__A0A0K2HMX2__HMPREF1063_03979
ERR1913021.1644577__1.1644577	357276__I8WEY2__ABI39_04185
ERR1913021.1644673__1.1644673	853__A0A173XRA8__CGS56_09290
ERR1913021.1644891__1.1644891	487174__K0WTV8__DIT83_04385
ERR1913021.1645016__1.1645016	39486__B0G7Q1__HMPREF9457_01488
ERR1913021.1645050__1.1645050	291644__I9SMF9__HMPREF1532_02933
ERR1913021.1645112__1.1645112	291644__I8Y792__ERS852428_01843
ERR1913021.1645207__1.1645207	357276__A0A0K2HI25__DXD47_04465
ERR1913021.1645224__1.1645224	357276__B6W5Q7__DXD47_13945
ERR1913021.1645314__1.1645314	487174__K0XL60__DDY40_11760
ERR1913021.1645979__1.1645979	204516__U6R9E0__HMPREF1534_03742
ERR1913021.1646036__1.1646036	1262886__R6QJF6__BN563_01169
ERR1913021.1646069__1.1646069	1262935__R5GGT6__BN773_00922
ERR1913021.1646256__1.1646256	1262935__R5GGB5__BN773_00347
ERR1913021.1646456__1.1646456	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913021.1646744__1.1646744	1501391__GCA_000786575.1_00140
ERR1913021.1646801__1.1646801	1262935__R5GFU9__BN773_00394
ERR1913021.1646828__1.1646828	88431__A0A173XPY6__DXB16_06910
ERR1913021.1646831__1.1646831	1262825__R5E9U6__BN724_00394
ERR1913021.1647016__1.1647016	820__A0A174M9V5__M093_0237
ERR1913021.1647035__1.1647035	291644__I8Z4G9__ina_1
ERR1913021.1647202__1.1647202	29361__B6FKH5__CLONEX_00621
ERR1913021.1647203__1.1647203	246787__A0A3D6AYS8__HMPREF1062_06098
ERR1913021.1647315__1.1647315	1547597__A0A0C3RIJ3__BA92_04920
ERR1913021.1647482__1.1647482	46503__R6Y901__HMPREF1060_01754
ERR1913021.1647484__1.1647484	28111__E5WYC1__BACEGG_00354
ERR1913021.1647684__1.1647684	291645__I8XPK0__HMPREF1068_01554
ERR1913021.1647808__1.1647808	357276__A0A076IYG1__B5F95_22465
ERR1913021.1647762__1.1647762	487174__K0WTW4__DDY40_12630
ERR1913021.1647818__1.1647818	2293125__A0A374BSW4__DW917_13420
ERR1913021.1647824__1.1647824	821__E5UY21__C800_02204
ERR1913021.1647969__1.1647969	1262889__R7HAE5__BN634_02047
ERR1913021.1648242__1.1648242	1262886__R6QHD5__BN563_00547
ERR1913021.1648488__1.1648488	28117__B0MZ14__ALIPUT_02383
ERR1913021.1648640__1.1648640	1262935__R5GSG2__BN773_01661
ERR1913021.1648916__1.1648916	820__A7V092__hldE
ERR1913021.1649217__1.1649217	371601__F7LA63__HMPREF1074_04288
ERR1913021.1649360__1.1649360	291644__I9T317__ERS852428_03619
ERR1913021.1649416__1.1649416	357276__A0A0K2HG61__BACDOR_02028
ERR1913021.1649466__1.1649466	28111__R5K5Y0__NCTC11155_03071
ERR1913021.1649483__1.1649483	291644__I9TKI9__ERS852428_00778
ERR1913021.1649570__1.1649570	39491__D6E4H2__DXB99_00485
ERR1913021.1649719__1.1649719	33039__D4M1J4__ERS852390_02215
ERR1913021.1649788__1.1649788	1897011__A0A1Q6RIC6__BHW41_01345
ERR1913021.1649789__1.1649789	454155__F3QQQ9__HMPREF9442_00501
ERR1913021.1650249__1.1650249	29361__B6FKH5__CLONEX_00621
ERR1913021.1650303__1.1650303	357276__A0A0P0M2G3__BACDOR_03913
ERR1913021.1650357__1.1650357	357276__I8WML9__DXD47_10570
ERR1913021.1650420__1.1650420	28116__I8YA52__M088_0798
ERR1913021.1650413__1.1650413	1262736__R5YX38__BN496_01145
ERR1913021.1650859__1.1650859	39491__A0A174K1W6__DXB99_15020
ERR1913021.1650923__1.1650923	821__A0A0P0M2J4__DXD46_10295
ERR1913021.1651027__1.1651027	821__A0A174RA14__M099_1655
ERR1913021.1651201__1.1651201	1262958__R7GXD2__BN645_01566
ERR1913021.1651328__1.1651328	649756__A0A173SUE5__HMPREF0369_00853
ERR1913021.1651349__1.1651349	47678__R5U969__C5Z00_13130
ERR1913021.1651362__1.1651362	204516__U6RKS4__HMPREF1534_01431
ERR1913021.1651628__1.1651628	291644__R5JMN9__HMPREF1532_00991
ERR1913021.1651659__1.1651659	1262935__R5GSG2__BN773_01661
ERR1913021.1651664__1.1651664	1262886__R6QP39__BN563_00737
ERR1913021.1651687__1.1651687	1262935__R5GDG4__BN773_01363
ERR1913021.1651776__1.1651776	39491__C4Z872__LD38_07250
ERR1913021.1651994__1.1651994	823__A0A174V089__BDI_3204
ERR1913021.1652070__1.1652070	821__A0A174WBC9__ERS852556_03145
ERR1913021.1652083__1.1652083	46228__V8CD18__DXD17_11645
ERR1913021.1652150__1.1652150	357276__D1K3K9__EL88_23995
ERR1913021.1652120__1.1652120	357276__A0A0K2HFA1__HMPREF1065_02962
ERR1913021.1652235__1.1652235	28111__E5X333__NCTC11155_03016
ERR1913021.1652276__1.1652276	2173__A0A1D2WR01__Msm_0221
ERR1913021.1652514__1.1652514	28118__F9Z4Q2__Odosp_2759
ERR1913021.1652541__1.1652541	39492__D4JRL2__ERS852540_01608
ERR1913021.1652628__1.1652628	357276__I9R994__BACDOR_04044
ERR1913021.1652662__1.1652662	46228__V8BSF0__RUMLAC_01943
ERR1913021.1652984__1.1652984	823__A0A174GGT1__queG
ERR1913021.1653044__1.1653044	357276__C3RA36__HMPREF1065_03270
ERR1913021.1653085__1.1653085	357276__A0A0K2HG61__BACDOR_02028
ERR1913021.1653215__1.1653215	28117__R7JIJ8__BHV66_01635
ERR1913021.1653233__1.1653233	165179__A0A3E5AER8__DXB80_07075
ERR1913021.1653389__1.1653389	357276__A6L053__ABI39_04450
ERR1913021.1653404__1.1653404	39488__A0A285PTA0__EUBHAL_00097
ERR1913021.1653616__1.1653616	357276__I9QWD4__DXD47_15075
ERR1913021.1653655__1.1653655	46228__B5CNQ2__HMPREF1202_00124
ERR1913021.1653784__1.1653784	1501391__GCA_000786575.1_00105
ERR1913021.1653927__1.1653927	28117__B0MUR5__BHV66_03900
ERR1913021.1653939__1.1653939	293939__A0A0S7DXK2__ALT_7486
ERR1913021.1653952__1.1653952	454154__G5SVM9__HMPREF9441_03446
ERR1913021.1654112__1.1654112	1262888__R6P7P6__BN582_00294
ERR1913021.1654185__1.1654185	291644__R5J7N0__HMPREF1532_02343
ERR1913021.1654224__1.1654224	544645__A0A373US17__DXC42_05090
ERR1913021.1654313__1.1654313	823__D7ILK2__ERS852380_00031
ERR1913021.1654500__1.1654500	821__A0A0P0L8F8__ERS852509_03705
ERR1913021.1654512__1.1654512	357276__A0A076INK2__BSEG_04225
ERR1913021.1654582__1.1654582	46506__B0NQN6__AA415_00632
ERR1913021.1654747__1.1654747	28111__E5WZE2__NCTC11155_00550
ERR1913021.1654847__1.1654847	1262825__R5EHM5__BN724_01843
ERR1913021.1654861__1.1654861	357276__B6W1Y1__BSEG_03960
ERR1913021.1654924__1.1654924	214856__I3YPP9__Alfi_2707
ERR1913021.1654966__1.1654966	28111__R5JN40__HMPREF1016_01803
ERR1913021.1655307__1.1655307	357276__I8WAB8__B5F00_08100
ERR1913021.1655343__1.1655343	1262889__R7H801__BN634_02373
ERR1913021.1655567__1.1655567	291644__I9HGA3__mshA_4
ERR1913021.1655584__1.1655584	291644__R5JCI3__HMPREF1532_04074
ERR1913021.1655699__1.1655699	821__C6Z087__DXB90_00750
ERR1913021.1655750__1.1655750	454154__G5ST89__HMPREF9441_02589
ERR1913021.1655889__1.1655889	821__A0A395UNT8__DXD64_15275
ERR1913021.1655914__1.1655914	1262958__R7H4W8__BN645_00760
ERR1913021.1656117__1.1656117	821__A0A0P0M3U7__DXB90_14325
ERR1913021.1656137__1.1656137	46228__V8CDQ4__RUMLAC_02769
ERR1913021.1656198__1.1656198	821__D4V4X2__DXC16_18525
ERR1913021.1656332__1.1656332	46228__V8BPD3__HMPREF1202_02498
ERR1913021.1656498__1.1656498	1262886__R6Q805__BN563_00926
ERR1913021.1656567__1.1656567	487173__H1CXZ3__HMPREF9453_00231
ERR1913021.1656599__1.1656599	357276__I9QPN0__B5F95_09195
ERR1913021.1656734__1.1656734	820__A0A396EUU8__luxQ_3
ERR1913021.1656772__1.1656772	357276__C3RA36__HMPREF1065_03270
ERR1913021.1656866__1.1656866	357276__A0A0M1W1I8__ABI39_13620
ERR1913021.1656896__1.1656896	487174__K0X079__DIT83_00640
ERR1913021.1656906__1.1656906	1262886__R6QNU9__BN563_00617
ERR1913021.1656981__1.1656981	28116__F7LEX0__CUY_5042
ERR1913021.1657128__1.1657128	1262988__R7N2E1__BN816_02359
ERR1913021.1657250__1.1657250	28118__F9Z9Z7__B5F99_12650
ERR1913021.1657262__1.1657262	821__A0A3E4WAR6__DXD64_10735
ERR1913021.1657310__1.1657310	818__A0A396E023__ERS852430_02808
ERR1913021.1657506__1.1657506	1263044__GCA_000433375.1_03428
ERR1913021.1657603__1.1657603	33043__A0A173ZEP9__araC_1
ERR1913021.1657847__1.1657847	39492__D4JUL3__nreC_2
ERR1913021.1657827__1.1657827	823__A0A173VS36__M091_4727
ERR1913021.1658050__1.1658050	47678__R5U2W6__CGC64_03455
ERR1913021.1658101__1.1658101	204516__U6R7W5__HMPREF1534_03766
ERR1913021.1658148__1.1658148	357276__I9QBT7__BSEG_03340
ERR1913021.1658196__1.1658196	40518__R5DVR2__RBL236_00303
ERR1913021.1658213__1.1658213	357276__I8VQA2__HMPREF1065_04183
ERR1913021.1658398__1.1658398	1262935__R5GKU2__BN773_00436
ERR1913021.1658421__1.1658421	28111__E5WUH3__BACEGG_02112
ERR1913021.1658792__1.1658792	821__A0A174JYD3__ERS852457_02610
ERR1913021.1659000__1.1659000	329854__R5LZK1__DXD27_00590
ERR1913021.1659156__1.1659156	487173__H1CXZ3__HMPREF9453_00231
ERR1913021.1659296__1.1659296	46228__V8BLW9__DXD17_14090
ERR1913021.1659342__1.1659342	46506__A0A3E4USX2__BACSTE_03107
ERR1913021.1659369__1.1659369	246787__A0A120A560__BACCELL_01375
ERR1913021.1659381__1.1659381	291644__I9SJB6__HMPREF1532_04086
ERR1913021.1659468__1.1659468	1550024__A0A0W7TVN4__ASJ35_01120
ERR1913021.1660520__1.1660520	820__R7E9Z4__DXC68_06065
ERR1913021.1660682__1.1660682	487174__R5F2W8__HMPREF9448_01730
ERR1913021.1660814__1.1660814	357276__D1JZM4__HMPREF1065_01278
ERR1913021.1660923__1.1660923	454155__F3QX32__HMPREF9442_02766
ERR1913021.1660975__1.1660975	46228__B5CPU2__HMPREF1202_00621
ERR1913021.1661027__1.1661027	821__A6L0C7__ERS852556_03520
ERR1913021.1661055__1.1661055	166486__D4KU79__ROSINTL182_06970
ERR1913021.1661087__1.1661087	291644__I8YYM8__HMPREF1532_01562
ERR1913021.1661108__1.1661108	28117__R7JIJ8__BHV66_01635
ERR1913021.1661381__1.1661381	39491__A0A173TAZ5__DXB99_09520
ERR1913021.1661479__1.1661479	823__A0A174PAQ4__ERS852429_04218
ERR1913021.1661565__1.1661565	291644__I9SQZ5__ERS852428_01656
ERR1913021.1661531__1.1661531	487174__K0X028__DIT83_00950
ERR1913021.1661657__1.1661657	821__A0A0P0LH09__ERS852457_03390
ERR1913021.1661623__1.1661623	820__A0A3E4VZT7__DXB48_16145
ERR1913021.1661682__1.1661682	1262935__R5GVK8__BN773_00860
ERR1913021.1661713__1.1661713	357276__I8WBQ9__HMPREF1065_03212
ERR1913021.1661917__1.1661917	1501392__A0A0B2JAD8__PU94_12270
ERR1913021.1662127__1.1662127	357276__I9QWD4__DXD47_15075
ERR1913021.1662273__1.1662273	39492__D4JR08__ERS852540_02467
ERR1913021.1662316__1.1662316	357276__A0A076IRX4__ABI39_13585
ERR1913021.1662392__1.1662392	821__A0A174NM17__lacZ_6
ERR1913021.1662497__1.1662497	818__R7KP04__C5Z03_18665
ERR1913021.1662532__1.1662532	454155__F3QYB1__HMPREF9442_03204
ERR1913021.1662636__1.1662636	1262889__R7H773__BN634_02377
ERR1913021.1662700__1.1662700	1262889__R7HFS7__BN634_01527
ERR1913021.1662658__1.1662658	291644__I9T2X5__ERS852428_03729
ERR1913021.1662820__1.1662820	821__E5UMZ6__BVU_1450
ERR1913021.1662879__1.1662879	40518__R5DUG7__sbcC
ERR1913021.1662926__1.1662926	1897011__A0A1Q6RHD3__BHW41_02220
ERR1913021.1663026__1.1663026	40518__R5DPI9__DXD83_07375
ERR1913021.1663065__1.1663065	821__A0A174JYD3__ERS852457_02610
ERR1913021.1663088__1.1663088	39492__D4JVG1__ERS852540_00951
ERR1913021.1663196__1.1663196	39492__D4JR58__EUBSIR_02090
ERR1913021.1663217__1.1663217	1318__I1ZKQ5__CYK20_09200
ERR1913021.1663170__1.1663170	1150298__A0A174QZ74__ERS852406_01102
ERR1913021.1663246__1.1663246	1262958__R7H3S4__BN645_00399
ERR1913021.1663291__1.1663291	357276__A0A076INR8__EL88_12300
ERR1913021.1663310__1.1663310	28117__B0MYI9__BHV66_05415
ERR1913021.1663439__1.1663439	39492__D4MJF3__EUBSIR_02248
ERR1913021.1663496__1.1663496	487174__K0XF08__DDY40_09050
ERR1913021.1663503__1.1663503	2293125__A0A374BSW4__DW917_13420
ERR1913021.1663791__1.1663791	823__A0A174DZM1__DDY96_10310
ERR1913021.1663822__1.1663822	357276__A0A0K2HDV9__DXD47_02600
ERR1913021.1663938__1.1663938	39491__A0A395UVM9__DXB76_04540
ERR1913021.1663956__1.1663956	821__A0A173XDD3__DXB82_17180
ERR1913021.1663973__1.1663973	357276__A0A0M1W657__HMPREF1064_04629
ERR1913021.1663989__1.1663989	46228__V8C458__DXD17_08090
ERR1913021.1664103__1.1664103	1262743__R5C054__BN727_01980
ERR1913021.1664189__1.1664189	1501391__GCA_000786575.1_00059
ERR1913021.1664254__1.1664254	357276__I8WEY2__ABI39_04185
ERR1913021.1664438__1.1664438	28116__I9JM49__NCTC11153_01044
ERR1913021.1664573__1.1664573	357276__A0A076IXE0__HMPREF1064_04364
ERR1913021.1664646__1.1664646	1262935__R5GIS0__BN773_01547
ERR1913021.1664650__1.1664650	357276__I8WC65__EL88_00520
ERR1913021.1664665__1.1664665	40518__R5DVH6__DXD86_08955
ERR1913021.1664697__1.1664697	1262935__R5GG00__BN773_00204
ERR1913021.1664698__1.1664698	1262935__R5GG00__BN773_00204
ERR1913021.1664824__1.1664824	46228__B5CTE4__DXD17_12795
ERR1913021.1664806__1.1664806	820__A0A174EV88__HMPREF1072_01427
ERR1913021.1665091__1.1665091	1897011__A0A1Q6RH97__BHW41_01945
ERR1913021.1665110__1.1665110	39488__A0A374N483__ERS852578_01412
ERR1913021.1665276__1.1665276	1897011__A0A1Q6RDY7__BHW41_05255
ERR1913021.1665504__1.1665504	28118__R6F3G8__NCTC10826_00049
ERR1913021.1665757__1.1665757	28111__E5X119__NCTC11155_02426
ERR1913021.1665825__1.1665825	357276__B6W1Y1__BSEG_03960
ERR1913021.1665837__1.1665837	1262886__R6QPP8__BN563_00924
ERR1913021.1665870__1.1665870	46503__R6X5E7__PARMER_00245
ERR1913021.1665903__1.1665903	371601__D0TKK0__HMPREF1074_02427
ERR1913021.1665918__1.1665918	47678__A5ZEX0__DW706_08045
ERR1913021.1665955__1.1665955	820__R9I3Q7__HMPREF1072_01668
ERR1913021.1666040__1.1666040	487174__K0WYI1__DDY40_08675
ERR1913021.1666140__1.1666140	1262889__R7H5X2__BN634_01934
ERR1913021.1666248__1.1666248	1263000__R5EXT3__BN466_02213
ERR1913021.1666299__1.1666299	1262935__R5GU54__BN773_00232
ERR1913021.1666329__1.1666329	357276__B6W1Y5__IY41_11405
ERR1913021.1666466__1.1666466	821__A6L0C7__ERS852556_03520
ERR1913021.1666667__1.1666667	821__A0A3E4HP25__SAMN04487923_102450
ERR1913021.1666817__1.1666817	322505__group_1006
ERR1913021.1666996__1.1666996	291644__I8Y0K6__HMPREF1532_04085
ERR1913021.1667088__1.1667088	823__A0A355XF06__B5F32_11480
ERR1913021.1667107__1.1667107	166486__D4L457__ROSINTL182_07087
ERR1913021.1667508__1.1667508	817__A0A1C0WW19__macB_12
ERR1913021.1667536__1.1667536	214856__I3YPR5__ERS852447_01364
ERR1913021.1667589__1.1667589	357276__B6VVS0__HMPREF1064_03951
ERR1913021.1667731__1.1667731	1263000__R5EXT3__BN466_02213
ERR1913021.1667920__1.1667920	291644__R5JGS8__HMPREF1071_01205
ERR1913021.1668051__1.1668051	46228__B5CR12__HMPREF1202_02400
ERR1913021.1668246__1.1668246	1263011__R6E1I7__BN553_01465
ERR1913021.1668480__1.1668480	371601__C3R2J2__ERS852396_04353
ERR1913021.1668625__1.1668625	357276__I9QBT7__BSEG_03340
ERR1913021.1668874__1.1668874	39492__B0MM84__lgt
ERR1913021.1668939__1.1668939	33039__A0A173V4G5__ERS852577_02906
ERR1913021.1668974__1.1668974	821__A0A3E4XY72__NCTC10583_01067
ERR1913021.1669005__1.1669005	357276__B6VT86__IY41_22515
ERR1913021.1669105__1.1669105	1263000__R5ES99__BN466_01121
ERR1913021.1669130__1.1669130	214856__R6Z186__ERS852447_00718
ERR1913021.1669160__1.1669160	2293125__A0A374BSW4__DW917_13420
ERR1913021.1669314__1.1669314	28117__B0MUX4__ALIPUT_00911
ERR1913021.1669352__1.1669352	1262889__R7HD12__BN634_00607
ERR1913021.1669491__1.1669491	166486__D4KV38__ROSINTL182_06841
ERR1913021.1669543__1.1669543	357276__I9R1V6__DXD47_04125
ERR1913021.1669545__1.1669545	47678__R5U948__ERS852494_02962
ERR1913021.1669588__1.1669588	487174__K0X2A4__DDY40_04095
ERR1913021.1670032__1.1670032	166486__D4L1P5__ERS852572_00758
ERR1913021.1670093__1.1670093	1160721__R6TH82__BHW50_00835
ERR1913021.1670151__1.1670151	1262889__R7HFS7__BN634_01527
ERR1913021.1670159__1.1670159	1262889__R7HA79__BN634_01068
ERR1913021.1670199__1.1670199	357276__I9R4T1__IY41_06800
ERR1913021.1670215__1.1670215	821__A0A174WBC9__ERS852556_03145
ERR1913021.1670242__1.1670242	823__D7IXG8__ERS852560_01232
ERR1913021.1670260__1.1670260	1501391__GCA_000786575.1_00103
ERR1913021.1670346__1.1670346	1262935__R5GIC8__BN773_01423
ERR1913021.1670429__1.1670429	821__A0A396EVC9__DXB90_03525
ERR1913021.1670509__1.1670509	47678__R5UER2__CGC64_00710
ERR1913021.1670588__1.1670588	384638__B7APN3__BACPEC_00639
ERR1913021.1670602__1.1670602	820__A0A139K4W1__M093_0353
ERR1913021.1670720__1.1670720	28111__E5WUU3__HMPREF1016_00520
ERR1913021.1670924__1.1670924	291644__I9T317__ERS852428_03619
ERR1913021.1670960__1.1670960	40520__A0A396FSZ4__DXC87_11975
ERR1913021.1670965__1.1670965	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913021.1671111__1.1671111	1262886__R6Q8T6__BN563_00369
ERR1913021.1671241__1.1671241	28118__R6FY14__NCTC10826_00745
ERR1913021.1671155__1.1671155	39492__D4JVG1__ERS852540_00951
ERR1913021.1671392__1.1671392	1262736__R5YJ29__BN496_01288
ERR1913021.1671406__1.1671406	291644__I8YR49__ERS852428_01188
ERR1913021.1671695__1.1671695	1262888__R6P5A8__BN582_00292
ERR1913021.1671715__1.1671715	487174__K0WZN5__HMPREF9448_01108
ERR1913021.1671925__1.1671925	204516__U6RFV1__HMPREF1534_02560
ERR1913021.1672230__1.1672230	46228__B5CP96__RUMLAC_01287
ERR1913021.1672357__1.1672357	821__A0A078R9Y9__M097_2119
ERR1913021.1672403__1.1672403	820__A0A139K4W5__HMPREF2141_02394
ERR1913021.1672445__1.1672445	1262736__R5Y9J1__BN496_01345
ERR1913021.1672466__1.1672466	1262889__R7H889__BN634_02048
