ERR1913021.161__1.161	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913021.935604__1.935604	1262886__R6RCF6__BN563_00371
ERR1913021.935833__1.935833	291644__I9IAR0__HMPREF1071_00441
ERR1913021.935843__1.935843	28117__B0MUL5__ALIPUT_00722
ERR1913021.935977__1.935977	88431__A0A174GCE2__ERS852423_01397
ERR1913021.936033__1.936033	357276__A0A0M1W657__HMPREF1064_04629
ERR1913021.936334__1.936334	823__A0A395YZ10__NCTC11152_02955
ERR1913021.936458__1.936458	28117__R7JIY2__BHV66_06465
ERR1913021.936484__1.936484	820__A0A3E4VXP2__yesR
ERR1913021.936934__1.936934	1262935__R5GCS7__BN773_00941
ERR1913021.937029__1.937029	821__A0A395UNT8__DXD64_15275
ERR1913021.937248__1.937248	357276__E5UTL1__HMPREF1065_03551
ERR1913021.937280__1.937280	1262825__R5E978__BN724_00307
ERR1913021.937271__1.937271	357276__A0A0K2HFA1__HMPREF1065_02962
ERR1913021.937466__1.937466	28116__A0A1G6G396__DXD69_22115
ERR1913021.937758__1.937758	1262935__R5GTF2__BN773_00142
ERR1913021.937846__1.937846	214856__A0A175A6T5__ERS852447_02658
ERR1913021.937986__1.937986	46506__R6B663__BACSTE_02258
ERR1913021.938077__1.938077	28118__F9Z4Y7__DF785_06945
ERR1913021.938253__1.938253	823__A0A355XKR1__DHP27_04035
ERR1913021.938297__1.938297	39492__D4JRZ7__smc
ERR1913021.938328__1.938328	823__A6LFW2__M095_1860
ERR1913021.938450__1.938450	357276__B6VT86__IY41_22515
ERR1913021.938464__1.938464	165179__A0A174SA26__PREVCOP_05758
ERR1913021.938525__1.938525	39492__R6RT40__prkC_3
ERR1913021.938485__1.938485	1262889__R7H8U0__BN634_00239
ERR1913021.938778__1.938778	853__C7H7F5__DWZ46_01780
ERR1913021.938814__1.938814	821__A0A173WG51__BVU_2549
ERR1913021.939100__1.939100	1547597__A0A0C3RK25__BA92_02335
ERR1913021.939231__1.939231	291644__I9SRU5__HMPREF1532_02538
ERR1913021.939471__1.939471	204516__U6REI9__HMPREF1534_02357
ERR1913021.939478__1.939478	1262911__R6H0U7__BN557_01104
ERR1913021.939666__1.939666	39492__D4MIY5__EUBSIR_00233
ERR1913021.939871__1.939871	291644__I8Y011__HMPREF1071_04228
ERR1913021.939873__1.939873	1262935__R5GEC6__BN773_01664
ERR1913021.939995__1.939995	1262911__R6HIJ8__BN557_01742
ERR1913021.940033__1.940033	46228__V8C8N0__RUMLAC_01038
ERR1913021.940078__1.940078	1262935__R5GEN3__BN773_01757
ERR1913021.940456__1.940456	291644__R5JSX2__HMPREF1071_01120
ERR1913021.940682__1.940682	39492__B0MPL6__EUBSIR_01779
ERR1913021.940741__1.940741	487174__K0WT60__DDY40_05170
ERR1913021.940882__1.940882	47678__R5UXY0__CGC64_03535
ERR1913021.941099__1.941099	46228__V8CBX9__HMPREF1202_00568
ERR1913021.941158__1.941158	357276__A0A0K2HJA6__DXD47_07320
ERR1913021.941208__1.941208	33039__R6P270__sleB_2
ERR1913021.941297__1.941297	28116__A7LYG5__M089_5828
ERR1913021.941340__1.941340	1262889__R7HAY6__BN634_02225
ERR1913021.941344__1.941344	39492__D4JUS6__accD5
ERR1913021.941421__1.941421	291644__R5J8I9__ERS852428_03546
ERR1913021.941514__1.941514	165179__A0A174SA26__PREVCOP_05758
ERR1913021.941740__1.941740	46228__V8CC10__RUMLAC_01472
ERR1913021.941752__1.941752	1262886__R6Q765__BN563_00634
ERR1913021.941913__1.941913	291644__I9HG96__HMPREF1071_03510
ERR1913021.942004__1.942004	410072__A0A173WD04__penA_2
ERR1913021.942018__1.942018	871324__A0A1M6FIH1__SAMN05444350_11249
ERR1913021.942111__1.942111	28118__R6FHQ8__B5F93_15555
ERR1913021.942291__1.942291	357276__I9R994__BACDOR_04044
ERR1913021.942324__1.942324	1263006__R6M2H0__BN515_00628
ERR1913021.942471__1.942471	28111__E5WUX1__HMPREF1016_00548
ERR1913021.942667__1.942667	246787__A0A0P0GV75__HMPREF1062_00095
ERR1913021.942902__1.942902	165179__A0A3E5DWZ6__DXC61_10880
ERR1913021.942914__1.942914	204516__U6RFV1__HMPREF1534_02560
ERR1913021.942925__1.942925	246787__A0A0P0GV75__HMPREF1062_00095
ERR1913021.943038__1.943038	357276__A0A0K2HDP3__IY41_00705
ERR1913021.943062__1.943062	357276__C3R9Y0__HMPREF1064_01889
ERR1913021.943295__1.943295	454155__F3QTI7__HMPREF9442_01505
ERR1913021.943308__1.943308	1263000__R5EQL2__BN466_00892
ERR1913021.943482__1.943482	821__C6Z087__DXB90_00750
ERR1913021.943513__1.943513	40518__R5DQN7__DXD93_03540
ERR1913021.943562__1.943562	291644__I9TDH8__HMPREF1071_01321
ERR1913021.943585__1.943585	357276__A0A076J8M3__ABI39_13695
ERR1913021.943690__1.943690	28118__F9Z408__NCTC10826_01194
ERR1913021.943733__1.943733	357276__A0A076IXE0__HMPREF1064_04364
ERR1913021.943884__1.943884	328814__GCA_004558275.1_00036
ERR1913021.944055__1.944055	357276__A0A0K2HG61__BACDOR_02028
ERR1913021.944075__1.944075	357276__D1K3K9__EL88_23995
ERR1913021.944240__1.944240	28118__F9Z751__DHW44_02965
ERR1913021.944400__1.944400	853__D4KAK8__C4N21_13380
ERR1913021.944560__1.944560	46506__B0NMY5__AA415_00377
ERR1913021.944566__1.944566	357276__I8WEY2__ABI39_04185
ERR1913021.944649__1.944649	39492__A0A174ZHV5__msbA_2
ERR1913021.944774__1.944774	357276__A0A0M1VZP2__IY41_00605
ERR1913021.944787__1.944787	1262825__R5E511__BN724_01711
ERR1913021.944869__1.944869	487174__K0WXI9__HMPREF9448_02340
ERR1913021.944983__1.944983	291644__I8YYM8__HMPREF1532_01562
ERR1913021.945091__1.945091	47678__R5U558__ERS852558_02232
ERR1913021.945070__1.945070	1262777__R5WH00__BN512_00613
ERR1913021.945134__1.945134	1262935__R5GHS7__BN773_01245
ERR1913021.945213__1.945213	487174__K0WZP2__DDY40_04000
ERR1913021.945398__1.945398	28118__R6F9B8__Odosp_3480
ERR1913021.945528__1.945528	204516__U6RFV1__HMPREF1534_02560
ERR1913021.945786__1.945786	28117__B0MST6__BHV66_06090
ERR1913021.945867__1.945867	1262935__R5GH23__BN773_00804
ERR1913021.945872__1.945872	487174__K0WYI1__DDY40_08675
ERR1913021.945932__1.945932	357276__A0A1Y3Z6X3__GV66_07715
ERR1913021.945920__1.945920	1262935__R5GG00__BN773_00204
ERR1913021.946074__1.946074	1262935__R5GSC2__BN773_01435
ERR1913021.946014__1.946014	46228__V8C4T8__RUMLAC_02058
ERR1913021.946306__1.946306	357276__I8WEZ6__BACDOR_02323
ERR1913021.946717__1.946717	1262958__R7GVA1__BN645_00092
ERR1913021.946731__1.946731	487174__K0X3H8__HMPREF9448_02822
ERR1913021.947058__1.947058	28111__R5JN40__HMPREF1016_01803
ERR1913021.947168__1.947168	204516__U6RFV1__HMPREF1534_02560
ERR1913021.947182__1.947182	328814__GCA_004558275.1_00025
ERR1913021.947443__1.947443	360807__A0A1Q6T6D8__yehT_5
ERR1913021.947924__1.947924	204516__U6RFV1__HMPREF1534_02560
ERR1913021.948000__1.948000	291644__I9T2X5__ERS852428_03729
ERR1913021.948057__1.948057	821__A6L0C7__ERS852556_03520
ERR1913021.948065__1.948065	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913021.948119__1.948119	818__C6IJ08__BJP75_000645
ERR1913021.948231__1.948231	28111__E5WVG5__pspE
ERR1913021.948328__1.948328	28111__E5X205__NCTC11155_00661
ERR1913021.948377__1.948377	338188__A0A174ETX3__ERS852397_01955
ERR1913021.948636__1.948636	39491__A0A173SH34__EUR_24920
ERR1913021.948657__1.948657	1262935__R5GHS7__BN773_01245
ERR1913021.948818__1.948818	40518__R5E426__DXD93_04485
ERR1913021.948897__1.948897	357276__A0A0K2HDP3__IY41_00705
ERR1913021.948960__1.948960	357276__B6VXX7__HMPREF1063_02683
ERR1913021.949037__1.949037	301301__A0A395V8T7__ERS852391_01243
ERR1913021.949198__1.949198	1262889__R7HCF6__BN634_01122
ERR1913021.949205__1.949205	166486__D4KNM9__ERS852572_00072
ERR1913021.949281__1.949281	745368__A0A1T4XCE1__SAMN02745178_01686
ERR1913021.949394__1.949394	821__A0A396F598__CUU_3259
ERR1913021.949403__1.949403	1262935__R5GK32__BN773_00174
ERR1913021.949459__1.949459	820__A0A1T4IYF4__mprA_1
ERR1913021.949542__1.949542	28118__F9Z332__NCTC10826_03194
ERR1913021.949718__1.949718	46228__V8CHW6__DXD17_13890
ERR1913021.950040__1.950040	204516__U6RFU0__HMPREF1534_02545
ERR1913021.950340__1.950340	46506__B0NM94__HMPREF1181_03250
ERR1913021.950373__1.950373	1262889__R7H8U5__BN634_02236
ERR1913021.950538__1.950538	28116__C3QVY2__SAMN05444282_12234
ERR1913021.950559__1.950559	821__E5UY21__C800_02204
ERR1913021.950854__1.950854	33043__A0A173WWJ5__ERS852386_00339
ERR1913021.950938__1.950938	33039__D4M6I1__nadB_2
ERR1913021.951221__1.951221	1262889__R7H889__BN634_02048
ERR1913021.951229__1.951229	357276__B6W1Y1__BSEG_03960
ERR1913021.951500__1.951500	28117__B0MUR5__BHV66_03900
ERR1913021.951530__1.951530	46228__V8C5S1__RUMLAC_02063
ERR1913021.951613__1.951613	357276__I8WBQ9__HMPREF1065_03212
ERR1913021.951795__1.951795	820__A0A1Q6IDS8__chtA
ERR1913021.951867__1.951867	853__A0A2A7ATM9__DWZ89_13645
ERR1913021.951843__1.951843	2108523__A0A2P2F3V9__LAWASA_688
ERR1913021.952014__1.952014	487174__K0XA48__DDY40_03955
ERR1913021.952117__1.952117	291644__I8Y0K6__HMPREF1532_04085
ERR1913021.952280__1.952280	418240__A0A174S4S6__adaA_5
ERR1913021.952302__1.952302	165179__A0A3E5DWZ6__DXC61_10880
ERR1913021.952414__1.952414	1262889__R7HD81__BN634_00648
ERR1913021.952550__1.952550	204516__U6R921__HMPREF1534_03932
ERR1913021.952705__1.952705	1262886__R6QSD9__BN563_01679
ERR1913021.952757__1.952757	1262935__R5GEN3__BN773_01757
ERR1913021.953090__1.953090	46228__V8CD18__DXD17_11645
ERR1913021.953143__1.953143	820__A0A3E4IGA7__DXD40_07110
ERR1913021.953492__1.953492	1855299__A0A1I5LWJ8__SAMN05216343_10212
ERR1913021.953527__1.953527	28118__F9Z6J0__DHW44_06845
ERR1913021.953551__1.953551	165179__A0A229I7F5__DXB80_02650
ERR1913021.953597__1.953597	487174__K0WTV8__DIT83_04385
ERR1913021.953604__1.953604	454155__F3QWJ8__HMPREF9442_02580
ERR1913021.953573__1.953573	821__I9R3W6__DXC16_12455
ERR1913021.953939__1.953939	46506__B0NUC8__DXC34_03410
ERR1913021.954115__1.954115	821__A0A174AYT0__DXC02_03530
ERR1913021.954142__1.954142	1550024__A0A0D8IUW2__TQ39_17855
ERR1913021.954348__1.954348	487174__K0XA48__DDY40_03955
ERR1913021.954351__1.954351	454155__F3QUP7__HMPREF9442_01920
ERR1913021.954542__1.954542	1262825__R5DYC4__BN724_00821
ERR1913021.954826__1.954826	47678__R5U9S9__BACCAC_01855
ERR1913021.954934__1.954934	823__D7IV95__DXC05_09565
ERR1913021.955152__1.955152	39492__D4MJF3__EUBSIR_02248
ERR1913021.955260__1.955260	291644__R5IZM2__HMPREF1071_04522
ERR1913021.955302__1.955302	1262935__R5GC23__BN773_00903
ERR1913021.955323__1.955323	28118__F9Z6F1__DER54_08365
ERR1913021.955492__1.955492	357276__B6VYT9__HMPREF1063_05030
ERR1913021.955739__1.955739	39488__A0A285PPV7__DXD91_14610
ERR1913021.955788__1.955788	357276__I9RCD3__IY41_15070
ERR1913021.956009__1.956009	820__A0A173WUD7__DXB48_08055
ERR1913021.956040__1.956040	39492__D4JT75__EUBSIR_01776
ERR1913021.956143__1.956143	357276__A0A0K2HDP3__IY41_00705
ERR1913021.956215__1.956215	246787__A0A3D6ARC7__BACCELL_03328
ERR1913021.956507__1.956507	357276__I9R4T1__IY41_06800
ERR1913021.956536__1.956536	204516__U6R8I1__HMPREF1534_03341
ERR1913021.956557__1.956557	28118__R6FI30__NCTC10826_00479
ERR1913021.956577__1.956577	1263107__GCA_000436995.1_00213
ERR1913021.956729__1.956729	33968__A0A062XP63__BMS81_02920
ERR1913021.956758__1.956758	1262935__R5GFU9__BN773_00394
ERR1913021.956832__1.956832	2108523__A0A2P2F8A7__LAWASA_2275
ERR1913021.957025__1.957025	39492__D4JT75__EUBSIR_01776
ERR1913021.957257__1.957257	1262825__R5EHP5__BN724_01707
ERR1913021.957268__1.957268	1262825__R5ECD0__BN724_02208
ERR1913021.957352__1.957352	357276__I9R994__BACDOR_04044
ERR1913021.957495__1.957495	357276__B6W1J2__BACDOR_03380
ERR1913021.957561__1.957561	291644__I9HRU8__ERS852428_03635
ERR1913021.957583__1.957583	88431__A0A3D0EYV0__DXB16_09650
ERR1913021.957721__1.957721	853__A0A2A7B1Y7__C7K05_11930
ERR1913021.957831__1.957831	1262935__R5GUZ2__BN773_00533
ERR1913021.957866__1.957866	1160721__R6T4W2__RBI_I00237
ERR1913021.957937__1.957937	165179__A0A3E5AER8__DXB80_07075
ERR1913021.957944__1.957944	357276__I9F327__DXD47_22495
ERR1913021.957995__1.957995	821__A0A174T998__DXB82_10860
ERR1913021.958039__1.958039	88431__A0A174IEH2__DXB16_05910
ERR1913021.958064__1.958064	357276__B6VVS0__HMPREF1064_03951
ERR1913021.958288__1.958288	357276__I9QPN0__B5F95_09195
ERR1913021.958312__1.958312	818__A0A0P0EV21__NCTC13706_01181
ERR1913021.958417__1.958417	46506__R6AEZ1__BACSTE_01801
ERR1913021.958458__1.958458	626930__F3PVE2__HMPREF9446_02720
ERR1913021.958535__1.958535	204516__U6R9E6__HMPREF1534_03149
ERR1913021.958640__1.958640	39488__A0A174IFL3__DXD91_00270
ERR1913021.958709__1.958709	28118__R6FGF7__SAMEA44545918_01338
ERR1913021.958677__1.958677	649756__D4MZI8__ERS852387_00933
ERR1913021.958846__1.958846	821__A0A174WBC9__ERS852556_03145
ERR1913021.958860__1.958860	487174__K0X2W8__HMPREF9448_02611
ERR1913021.958953__1.958953	821__A0A3E4HP25__SAMN04487923_102450
ERR1913021.959127__1.959127	28117__B0MYA9__BHV66_07790
ERR1913021.959712__1.959712	357276__A0A076IKP2__HMPREF1063_00218
ERR1913021.959860__1.959860	357276__A0A0M1W657__HMPREF1064_04629
ERR1913021.960419__1.960419	39486__B0G2S4__DXD10_16540
ERR1913021.960525__1.960525	28118__F9Z750__Odosp_3044
ERR1913021.960659__1.960659	357276__B6VYT9__HMPREF1063_05030
ERR1913021.960733__1.960733	1262935__R5GRD8__BN773_01285
ERR1913021.960866__1.960866	28118__R6FHQ8__B5F93_15555
ERR1913021.960888__1.960888	357276__A0A0M1VYB8__HMPREF1063_02104
ERR1913021.961227__1.961227	291645__I8XPK0__HMPREF1068_01554
ERR1913021.961247__1.961247	40518__R5DYP7__envC
ERR1913021.961321__1.961321	1262935__R5GFW3__BN773_00404
ERR1913021.961352__1.961352	165179__D1PHD6__DXC61_03380
ERR1913021.961465__1.961465	301301__A0A395VFD3__ERS852391_02492
ERR1913021.961607__1.961607	291644__R5JG91__HMPREF1532_01961
ERR1913021.961593__1.961593	1297617__A0A0S2W3V6__C7373_102343
ERR1913021.961675__1.961675	821__E5UY21__C800_02204
ERR1913021.961712__1.961712	357276__I9QBT7__BSEG_03340
ERR1913021.962150__1.962150	291644__I8YWR0__HMPREF1071_01375
ERR1913021.962360__1.962360	46228__V8CA96__RUMLAC_01531
ERR1913021.962508__1.962508	820__A0A174Q0F0__DXB48_08080
ERR1913021.962614__1.962614	204516__U6RFV1__HMPREF1534_02560
ERR1913021.962706__1.962706	454154__G5SQM5__HMPREF9441_01665
ERR1913021.962883__1.962883	291644__I8YWL3__HMPREF1532_01571
ERR1913021.962979__1.962979	46228__B5CTE4__DXD17_12795
ERR1913021.963285__1.963285	853__A0A174C5M1__CGS58_04460
ERR1913021.963326__1.963326	487174__K0X2Q8__DDY40_04590
ERR1913021.963379__1.963379	671267__R9IL60__C802_00379
ERR1913021.963553__1.963553	47678__R5U7P3__DXB67_08985
ERR1913021.963608__1.963608	33039__A0A173VTT4__frdB_1
ERR1913021.963752__1.963752	820__A0A3E4W4Y7__B5G17_02055
ERR1913021.963727__1.963727	853__A0A173XRA8__CGS56_09290
ERR1913021.963803__1.963803	1262935__R5GDU9__BN773_01301
ERR1913021.963864__1.963864	820__A0A173WUD7__DXB48_08055
ERR1913021.963959__1.963959	552398__F4XHU2__HMPREF0866_03196
ERR1913021.963967__1.963967	2293125__A0A374BSW4__DW917_13420
ERR1913021.963997__1.963997	28118__R6F1R3__NCTC10826_00739
ERR1913021.964110__1.964110	821__E5UY21__C800_02204
ERR1913021.964243__1.964243	46228__V8C7Q2__RUMLAC_01460
ERR1913021.964523__1.964523	2293125__A0A374BMK9__DW917_16190
ERR1913021.964750__1.964750	821__C6Z087__DXB90_00750
ERR1913021.964686__1.964686	2293125__A0A374C5Y6__DW917_09105
ERR1913021.964958__1.964958	1262746__R5SVF6__BN750_00768
ERR1913021.965237__1.965237	35833__E5Y934__HMPREF0179_02702
ERR1913021.965523__1.965523	204516__U6RFU0__HMPREF1534_02545
ERR1913021.965573__1.965573	384638__B7ASI3__BACPEC_02038
ERR1913021.965581__1.965581	1262889__R7H9H9__BN634_02436
ERR1913021.965682__1.965682	47678__R5UZR6__HMPREF1061_03971
ERR1913021.965924__1.965924	357276__A0A0K2HG61__BACDOR_02028
ERR1913021.965963__1.965963	165179__A0A174SA26__PREVCOP_05758
ERR1913021.966014__1.966014	487174__K0XDI7__DIT83_12065
ERR1913021.966086__1.966086	40518__R5DMC7__blaR1
ERR1913021.966171__1.966171	1262911__R6GKS1__BN557_00184
ERR1913021.966517__1.966517	818__A0A0P0FSA3__ERS852557_00283
ERR1913021.966720__1.966720	1262825__R5E704__BN724_01845
ERR1913021.966820__1.966820	1262888__R6PKL8__BN582_01372
ERR1913021.966823__1.966823	820__A7V470__HMPREF1072_02076
ERR1913021.967179__1.967179	2293125__A0A374C671__DW917_09135
ERR1913021.967596__1.967596	166486__D4L457__ROSINTL182_07087
ERR1913021.967727__1.967727	357276__I9QBT7__BSEG_03340
ERR1913021.968105__1.968105	46228__V8CF50__tig
ERR1913021.968220__1.968220	39492__D4JRZ7__smc
ERR1913021.968419__1.968419	821__A0A174JYD3__ERS852457_02610
ERR1913021.968527__1.968527	823__A0A173V751__DXD05_02690
ERR1913021.968727__1.968727	357276__I9FU68__HMPREF1063_00557
ERR1913021.968741__1.968741	204516__U6RA51__HMPREF1534_03959
ERR1913021.968808__1.968808	214856__I3YMB7__Alfi_1811
ERR1913021.968892__1.968892	853__A0A2A7A4A9__C4N21_14870
ERR1913021.968980__1.968980	28118__R6F2P2__NCTC10826_02131
ERR1913021.969069__1.969069	745368__A0A1T4XUU0__SAMN02745178_02347
ERR1913021.969134__1.969134	46228__V8C989__HMPREF1202_01036
ERR1913021.969162__1.969162	2293125__A0A374BSW4__DW917_13420
ERR1913021.969295__1.969295	1262736__R5YZI4__BN496_01865
ERR1913021.969383__1.969383	821__R6F3Y1__SAMN04487923_104318
ERR1913021.969568__1.969568	2173__A5UJ58__BK798_03985
ERR1913021.969596__1.969596	820__A0A139KH21__DXC80_01780
ERR1913021.969820__1.969820	291644__I9I0P6__HMPREF1532_01982
ERR1913021.969870__1.969870	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913021.970229__1.970229	28117__B0MWP2__ALIPUT_01468
ERR1913021.970355__1.970355	818__A0A0N7IB02__BT_3500
ERR1913021.970737__1.970737	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913021.970752__1.970752	821__A0A174NM17__lacZ_6
ERR1913021.970776__1.970776	823__A0A174XJM9__CEQ22_007230
ERR1913021.970854__1.970854	39491__A0A395V1R3__T1815_08181
ERR1913021.970935__1.970935	47678__R5UPZ8__ERS852494_01752
ERR1913021.971055__1.971055	357276__B6W1J2__BACDOR_03380
ERR1913021.971155__1.971155	28118__F9Z690__SAMEA44545918_01782
ERR1913021.971173__1.971173	487174__K0WZU7__HMPREF9448_01154
ERR1913021.971205__1.971205	357276__I8VQA2__HMPREF1065_04183
ERR1913021.971237__1.971237	1776045__A0A0U5J7K7__BN3456_00132
ERR1913021.971305__1.971305	853__A0A173YYY4__DWZ04_09420
ERR1913021.971336__1.971336	39491__C4Z872__LD38_07250
ERR1913021.971809__1.971809	246787__A0A0P0GET5__AA416_04410
ERR1913021.971872__1.971872	823__A0A173VPM3__DHW69_17170
ERR1913021.971891__1.971891	28118__F9ZCN9__DHW44_07820
ERR1913021.972231__1.972231	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913021.972634__1.972634	1660__A0A1N1Z1A7__ACTODO_00648
ERR1913021.972844__1.972844	291644__I9T317__ERS852428_03619
ERR1913021.972862__1.972862	39492__D4JRL2__ERS852540_01608
ERR1913021.972863__1.972863	1262893__R5GXB9__BN782_00399
ERR1913021.972917__1.972917	357276__D1K3K9__EL88_23995
ERR1913021.972932__1.972932	291644__I9SRU1__ERS852428_04178
ERR1913021.973053__1.973053	487174__K0X835__DIT83_09510
ERR1913021.973155__1.973155	821__D4VD59__BHV80_04260
ERR1913021.973227__1.973227	291644__I8Y011__HMPREF1071_04228
ERR1913021.973299__1.973299	1628085__A0A2U1AVI7__C7386_1354
ERR1913021.973329__1.973329	371601__D6D4G5__DXD80_16235
ERR1913021.973408__1.973408	357276__C3R5A0__B5F00_02960
ERR1913021.973478__1.973478	821__E5UY21__C800_02204
ERR1913021.973443__1.973443	1262935__R5GF26__BN773_01700
ERR1913021.973585__1.973585	1262736__R5YAS8__BN496_01746
ERR1913021.973624__1.973624	40518__R5E6K5__speA
ERR1913021.973931__1.973931	28117__B0MY82__BHV66_04755
ERR1913021.973981__1.973981	820__A0A139K9Q2__DXD40_08795
ERR1913021.974192__1.974192	246787__A0A108TGC9__BACCELL_01371
ERR1913021.974196__1.974196	1547597__A0A318NFE0__DMB45_13720
ERR1913021.974203__1.974203	291644__R5JG66__ERS852428_01236
ERR1913021.974486__1.974486	1099853__U5CL59__NSB1T_06140
ERR1913021.974506__1.974506	357276__B6VVS0__HMPREF1064_03951
ERR1913021.974536__1.974536	1227276__U2K7J0__HMPREF9148_02764
ERR1913021.974756__1.974756	46228__V8C484__HMPREF1202_01707
ERR1913021.974811__1.974811	46228__V8BYC1__RUMLAC_00426
ERR1913021.974862__1.974862	28111__E5X120__NCTC11155_02427
ERR1913021.975078__1.975078	291644__I9TBC1__ERS852428_01240
ERR1913021.975201__1.975201	28118__R6F5T0__Odosp_2509
ERR1913021.975333__1.975333	246787__R6KBH9__HMPREF1062_04676
ERR1913021.975432__1.975432	39492__B0MM84__lgt
ERR1913021.975578__1.975578	357276__A0A076J8M3__ABI39_13695
ERR1913021.975702__1.975702	357276__I9FRW5__B5F95_21685
ERR1913021.975726__1.975726	165179__D1PER3__DXB80_11525
ERR1913021.975953__1.975953	291644__I8YYM8__HMPREF1532_01562
ERR1913021.976008__1.976008	28117__B0MXQ6__ALIPUT_01917
ERR1913021.976188__1.976188	1263044__GCA_000433375.1_03429
ERR1913021.976370__1.976370	820__A0A396EWL3__ERS417307_03868
ERR1913021.976440__1.976440	544644__GCA_001915615.1_01285
ERR1913021.976838__1.976838	357276__I8WAB8__B5F00_08100
ERR1913021.976907__1.976907	1262911__R6H2J2__BN557_01228
ERR1913021.976942__1.976942	40518__R5E1J2__DXD93_04070
ERR1913021.977164__1.977164	454155__F3QX32__HMPREF9442_02766
ERR1913021.977135__1.977135	357276__A0A076IN21__BSEG_03078
ERR1913021.977195__1.977195	246787__A0A3D6AXH7__BACCELL_04262
ERR1913021.977864__1.977864	821__A0A174JYD3__ERS852457_02610
ERR1913021.978003__1.978003	820__R9I2U8__DXC68_09590
ERR1913021.978020__1.978020	291644__I9HGE0__HMPREF1071_03565
ERR1913021.978041__1.978041	821__A0A174NM17__lacZ_6
ERR1913021.978179__1.978179	821__D4VC51__M099_1508
ERR1913021.978278__1.978278	1150298__A0A174E950__ERS852498_02096
ERR1913021.978281__1.978281	40518__R5DUG7__sbcC
ERR1913021.978301__1.978301	821__E5UY21__C800_02204
ERR1913021.978304__1.978304	357276__B6VXX7__HMPREF1063_02683
ERR1913021.978395__1.978395	1262935__R5GSF1__BN773_01646
ERR1913021.978753__1.978753	1262935__R5GUE2__BN773_00325
ERR1913021.978765__1.978765	823__A0A174XJM9__CEQ22_007230
ERR1913021.978808__1.978808	454155__F3QQI8__HMPREF9442_00430
ERR1913021.979137__1.979137	1262988__R7N4K8__BN816_01737
ERR1913021.979362__1.979362	1262889__R7HAA8__BN634_00776
ERR1913021.979407__1.979407	823__A0A174XJM9__CEQ22_007230
ERR1913021.979574__1.979574	39492__D4JRM9__bglB_2
ERR1913021.980103__1.980103	214856__A0A174G9T6__ERS852447_02535
ERR1913021.980167__1.980167	1262889__R7H927__BN634_00660
ERR1913021.980309__1.980309	1262935__R5GG00__BN773_00204
ERR1913021.980340__1.980340	671267__R9ICM6__C802_00589
ERR1913021.980432__1.980432	820__A0A3E4VZT7__DXB48_16145
ERR1913021.980516__1.980516	371601__R6KBI9__SAMN05216250_110102
ERR1913021.980852__1.980852	165179__A0A3E5DWZ6__DXC61_10880
ERR1913021.980922__1.980922	47678__R5U2F6__HMPREF1061_00767
ERR1913021.981036__1.981036	47678__R5U7M7__CGC64_14730
ERR1913021.981073__1.981073	884684__GCA_002892425.1_00913
ERR1913021.981195__1.981195	1897011__A0A1Q6RDE2__BHW41_05525
ERR1913021.981466__1.981466	371601__I9UMY2__DXD03_18740
ERR1913021.981704__1.981704	1262889__R7HD87__BN634_01680
ERR1913021.981929__1.981929	310298__B3JFI7__BACCOP_00636
ERR1913021.982051__1.982051	239935__A0A2N8I791__CXT99_09415
ERR1913021.982119__1.982119	35833__E5Y8N1__HMPREF0179_02549
ERR1913021.982151__1.982151	1941478__A0A316SUN6__DBY16_04785
ERR1913021.982209__1.982209	357276__A6L053__ABI39_04450
ERR1913021.982352__1.982352	357276__A0A076IS26__EL88_15950
ERR1913021.982639__1.982639	454154__G5SVN0__HMPREF9441_03447
ERR1913021.982703__1.982703	1262886__R6QCG3__BN563_00145
ERR1913021.982998__1.982998	28116__A0A1G8P076__AA414_01051
ERR1913021.983065__1.983065	820__A0A139KH21__DXC80_01780
ERR1913021.983088__1.983088	821__C6ZAA5__ERS852556_00403
ERR1913021.983171__1.983171	46228__B5CP97__RUMLAC_01288
ERR1913021.983460__1.983460	1262935__R5GKU2__BN773_00436
ERR1913021.983463__1.983463	1263030__R5CUH1__BN705_00716
ERR1913021.983785__1.983785	1262886__R6RCF6__BN563_00371
ERR1913021.983822__1.983822	46228__V8CC10__RUMLAC_01472
ERR1913021.983871__1.983871	820__A0A396EWL3__ERS417307_03868
ERR1913021.983888__1.983888	1262888__R6QBF6__BN582_00146
ERR1913021.983908__1.983908	357276__A0A076IYG1__B5F95_22465
ERR1913021.984120__1.984120	418240__A0A174NZX7__tagF_1
ERR1913021.984165__1.984165	1262935__R5GV51__BN773_00707
ERR1913021.984422__1.984422	418240__C6JFD7__ERS852523_02475
ERR1913021.984534__1.984534	2293125__A0A374BSW4__DW917_13420
ERR1913021.984747__1.984747	821__A0A174NM17__lacZ_6
ERR1913021.984781__1.984781	384639__GCA_003096855.1_00995
ERR1913021.984785__1.984785	291644__I9SRU1__ERS852428_04178
ERR1913021.984847__1.984847	1262886__R6QSD9__BN563_01679
ERR1913021.984854__1.984854	33039__D4M6R8__bglB_8
ERR1913021.985146__1.985146	204516__U6RFU0__HMPREF1534_02545
