ERR1913062.307__1.307	28118__F9Z6D0__DHW44_12795
ERR1913062.1316447__1.1316447	1150298__A0A174RJU1__gsiA_4
ERR1913062.1316493__1.1316493	166486__D4L458__ROSINTL182_07088
ERR1913062.1316504__1.1316504	357276__A0A0K2HDP3__IY41_00705
ERR1913062.1316715__1.1316715	371601__D6CWZ8__CW3_1356
ERR1913062.1316854__1.1316854	820__R9HVB9__DXC68_17285
ERR1913062.1316918__1.1316918	310298__B3JEE8__BACCOP_00239
ERR1913062.1316958__1.1316958	384638__B7APR1__BACPEC_00667
ERR1913062.1317061__1.1317061	853__C7H7F5__DWZ46_01780
ERR1913062.1317100__1.1317100	310298__B3JQJ5__BACCOP_04231
ERR1913062.1317241__1.1317241	165179__D1PHM6__DXC61_06700
ERR1913062.1317358__1.1317358	853__A0A173YYY4__DWZ04_09420
ERR1913062.1317418__1.1317418	39491__C4Z9K7__EUBREC_0050
ERR1913062.1317477__1.1317477	360807__A0A0M6WXW8__ERS852392_01614
ERR1913062.1317678__1.1317678	2108523__A0A2P2FE85__LAWASA_4404
ERR1913062.1317930__1.1317930	357276__B6W5Q9__HMPREF1063_03125
ERR1913062.1317940__1.1317940	410072__A0A173S1W0__COPCOM_00541
ERR1913062.1317987__1.1317987	2293125__A0A374CCM7__DW917_05375
ERR1913062.1318109__1.1318109	357276__I8WBQ9__HMPREF1065_03212
ERR1913062.1318171__1.1318171	821__A6L0C7__ERS852556_03520
ERR1913062.1318121__1.1318121	310298__B3JQL6__BACCOP_04252
ERR1913062.1318200__1.1318200	853__A0A2A7B9I6__DW855_13690
ERR1913062.1318300__1.1318300	544644__GCA_001915615.1_00725
ERR1913062.1318330__1.1318330	166486__D4KXZ7__ROSINTL182_05052
ERR1913062.1318485__1.1318485	357276__D1JZM4__HMPREF1065_01278
ERR1913062.1318652__1.1318652	2293125__A0A374CMK5__DW917_00330
ERR1913062.1318754__1.1318754	218538__C9LNQ3__GCWU000321_01176
ERR1913062.1318798__1.1318798	1263044__GCA_000433375.1_00023
ERR1913062.1318866__1.1318866	310298__B3JJX9__BACCOP_02203
ERR1913062.1318970__1.1318970	1262739__R6M9P7__BN659_01903
ERR1913062.1318955__1.1318955	853__E2ZJT1__C4N23_03535
ERR1913062.1318960__1.1318960	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913062.1318988__1.1318988	1099853__R7DG25__NSB1T_10155
ERR1913062.1319069__1.1319069	357276__B6W5Q9__HMPREF1063_03125
ERR1913062.1319134__1.1319134	1735__A0A374QW43__EUBIFOR_01295
ERR1913062.1319404__1.1319404	1150298__A0A174LLX0__dhaD
ERR1913062.1319456__1.1319456	165179__A0A174SA26__PREVCOP_05758
ERR1913062.1319460__1.1319460	544644__GCA_001915615.1_01912
ERR1913062.1319524__1.1319524	46503__R6Y0Q3__DCY29_15880
ERR1913062.1319630__1.1319630	820__A0A3E4PYB0__yejM
ERR1913062.1319714__1.1319714	821__A0A174WBC9__ERS852556_03145
ERR1913062.1319935__1.1319935	1735__B7C934__EUBIFOR_00691
ERR1913062.1320025__1.1320025	410072__A0A174LWU8__ERS852481_03155
ERR1913062.1320051__1.1320051	357276__I9RCD3__IY41_15070
ERR1913062.1320207__1.1320207	1262930__R6A2Z0__BN693_02280
ERR1913062.1320231__1.1320231	46506__R6B8Z4__SAMN05444283_11711
ERR1913062.1320249__1.1320249	487174__K0X068__DDY40_07105
ERR1913062.1320269__1.1320269	310298__B3JJG1__BACCOP_02031
ERR1913062.1320346__1.1320346	821__R7P1Q7__M099_2990
ERR1913062.1320307__1.1320307	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913062.1320319__1.1320319	1735__B7C934__EUBIFOR_00691
ERR1913062.1320383__1.1320383	165179__D1PAV8__DXB80_13055
ERR1913062.1320470__1.1320470	2293125__A0A374BUM7__DW917_12980
ERR1913062.1320487__1.1320487	28118__R6FC01__fepE
ERR1913062.1320708__1.1320708	1735__B7CCF2__EUBIFOR_01879
ERR1913062.1320822__1.1320822	310298__B3JI31__BACCOP_01543
ERR1913062.1320885__1.1320885	2293125__A0A374BMK9__DW917_16190
ERR1913062.1321219__1.1321219	818__C6ILT7__BSIG_2708
ERR1913062.1321207__1.1321207	821__A0A395UNT8__DXD64_15275
ERR1913062.1321303__1.1321303	544644__GCA_001915615.1_01170
ERR1913062.1321436__1.1321436	166486__D4L1P3__ERS852572_00760
ERR1913062.1321417__1.1321417	1262930__R6AYG5__BN693_00491
ERR1913062.1321480__1.1321480	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.1321619__1.1321619	165179__D1PGU8__PREVCOP_06463
ERR1913062.1321599__1.1321599	853__A0A173RZ39__C4N22_01650
ERR1913062.1321742__1.1321742	357276__C3R9Y0__HMPREF1064_01889
ERR1913062.1321787__1.1321787	301301__A0A395V9S1__RHOM_03365
ERR1913062.1321953__1.1321953	357276__A0A076IXE0__HMPREF1064_04364
ERR1913062.1322082__1.1322082	360807__A0A1Q6T5F3__ERS852392_00510
ERR1913062.1322219__1.1322219	165179__D1PHC0__PREVCOP_06640
ERR1913062.1322278__1.1322278	853__A0A173RZ39__C4N22_01650
ERR1913062.1322389__1.1322389	310298__B3JLC6__BACCOP_02712
ERR1913062.1322511__1.1322511	46506__A0A108TCU0__etk
ERR1913062.1322529__1.1322529	78257__A0A087CUE0__BSAE_1156
ERR1913062.1322644__1.1322644	1262948__R7ED37__BN671_00777
ERR1913062.1322860__1.1322860	626933__H1DGX0__HMPREF9449_01506
ERR1913062.1322884__1.1322884	1262924__R7HTA4__BN585_00391
ERR1913062.1322895__1.1322895	818__Q8A335__HMPREF2534_01154
ERR1913062.1322923__1.1322923	165179__A0A174SA26__PREVCOP_05758
ERR1913062.1323041__1.1323041	818__A0A174TXD9__C799_03229
ERR1913062.1323101__1.1323101	820__A0A139KHX1__HMPREF2141_00289
ERR1913062.1323306__1.1323306	166486__D4L457__ROSINTL182_07087
ERR1913062.1323337__1.1323337	310298__B3JMG0__BACCOP_03099
ERR1913062.1323433__1.1323433	821__A0A397WGD6__M098_0084
ERR1913062.1323620__1.1323620	1262924__R7HPS8__BN585_00646
ERR1913062.1323686__1.1323686	818__A0A3E5H319__SAMN02910322_03382
ERR1913062.1323784__1.1323784	28117__R7JLP2__ALIPUT_00416
ERR1913062.1323845__1.1323845	33039__D4M6E9__ERS852390_02866
ERR1913062.1323936__1.1323936	39488__A0A173SQY9__minC
ERR1913062.1324037__1.1324037	46503__R6X6Y1__DCY29_15600
ERR1913062.1324085__1.1324085	544645__A0A1Y3VYF4__DXC42_05190
ERR1913062.1324188__1.1324188	357276__A0A0K2HDV9__DXD47_02600
ERR1913062.1324332__1.1324332	310298__B3JQJ5__BACCOP_04231
ERR1913062.1324421__1.1324421	1262924__R7HRE7__BN585_00055
ERR1913062.1324485__1.1324485	166486__C7GAX1__ERS852572_03188
ERR1913062.1324740__1.1324740	1262930__R6ATZ0__BN693_01860
ERR1913062.1324832__1.1324832	1150298__A0A174RCG4__ERS852498_01381
ERR1913062.1324803__1.1324803	820__A0A3E4W7J3__DXC07_00330
ERR1913062.1324855__1.1324855	310298__B3JPY4__BACCOP_04016
ERR1913062.1324929__1.1324929	28118__R6FC74__DHW44_13330
ERR1913062.1325004__1.1325004	204516__U6RAM4__HMPREF1534_03439
ERR1913062.1325029__1.1325029	360807__A0A0M6WZV0__ERS852392_03150
ERR1913062.1325266__1.1325266	33039__D4M0U9__mucD
ERR1913062.1325598__1.1325598	853__A0A173XRA8__CGS56_09290
ERR1913062.1325669__1.1325669	166486__D4KZI1__ERS852572_00422
ERR1913062.1325743__1.1325743	1535__A7VXR8__CH238_10835
ERR1913062.1325901__1.1325901	410072__A0A173S248__ERS852525_02992
ERR1913062.1326034__1.1326034	357276__B6W5Q9__HMPREF1063_03125
ERR1913062.1326238__1.1326238	357276__A0A076IYG1__B5F95_22465
ERR1913062.1326327__1.1326327	28116__A7LS06__HMPREF2532_04668
ERR1913062.1326390__1.1326390	28116__F7LBW8__C5Z02_16055
ERR1913062.1326471__1.1326471	818__A0A3E5H650__C799_01514
ERR1913062.1326545__1.1326545	357276__I9FU68__HMPREF1063_00557
ERR1913062.1326572__1.1326572	1262924__R7HTK4__BN585_00496
ERR1913062.1326622__1.1326622	2293125__A0A374BUM7__DW917_12980
ERR1913062.1326633__1.1326633	821__A0A3E4XY72__NCTC10583_01067
ERR1913062.1326803__1.1326803	310298__B3JGL4__BACCOP_01016
ERR1913062.1326890__1.1326890	310298__B3JFK4__BACCOP_00654
ERR1913062.1327350__1.1327350	821__A0A174V2F3__NCTC10583_01474
ERR1913062.1327498__1.1327498	310298__B3JGJ2__BACCOP_00994
ERR1913062.1327526__1.1327526	853__A0A2A7B9I6__DW855_13690
ERR1913062.1327561__1.1327561	1262930__R6A775__BN693_00822
ERR1913062.1327584__1.1327584	39488__A0A173URJ8__misCB
ERR1913062.1327620__1.1327620	29361__B6FRT6__CLONEX_02860
ERR1913062.1327632__1.1327632	487174__K0WWT0__DIT83_10190
ERR1913062.1327701__1.1327701	165179__D1PCL6__DXB80_13435
ERR1913062.1327891__1.1327891	556259__I0PXW0__BSGG_5187
ERR1913062.1327926__1.1327926	544644__GCA_001915615.1_01953
ERR1913062.1327975__1.1327975	820__A0A374Q854__HMPREF1073_03281
ERR1913062.1327977__1.1327977	818__A0A1H7L4U6__BSIG_3287
ERR1913062.1328038__1.1328038	1262924__R7HU74__BN585_00690
ERR1913062.1328048__1.1328048	310298__B3JQJ5__BACCOP_04231
ERR1913062.1328155__1.1328155	1262930__R6AYA7__BN693_00428
ERR1913062.1328309__1.1328309	39488__A0A285PTA0__EUBHAL_00097
ERR1913062.1328587__1.1328587	820__A0A139KHD8__ERS417307_00569
ERR1913062.1328780__1.1328780	487174__K0WYC5__HMPREF9448_01493
ERR1913062.1328842__1.1328842	2293125__A0A374BY09__DW917_11855
ERR1913062.1328900__1.1328900	46503__R6X0R5__DXB85_12380
ERR1913062.1328917__1.1328917	820__A0A139KA34__B5G17_05520
ERR1913062.1328962__1.1328962	823__A0A355XN73__DXC05_07000
ERR1913062.1329120__1.1329120	820__A0A3E4QZJ7__C801_01798
ERR1913062.1329126__1.1329126	310298__B3JQJ5__BACCOP_04231
ERR1913062.1329132__1.1329132	165179__R6B8D8__DXC61_09245
ERR1913062.1329255__1.1329255	2293125__A0A374BUM7__DW917_12980
ERR1913062.1329460__1.1329460	2293125__A0A374BSW4__DW917_13420
ERR1913062.1329462__1.1329462	2293125__A0A374BUM7__DW917_12980
ERR1913062.1329478__1.1329478	39491__C4ZD70__LD38_03510
ERR1913062.1329572__1.1329572	310298__B3JQJ5__BACCOP_04231
ERR1913062.1329598__1.1329598	1262930__R5ZWP2__BN693_01542
ERR1913062.1329748__1.1329748	310298__B3JJG1__BACCOP_02031
ERR1913062.1329860__1.1329860	166486__D4KXB5__ROSINTL182_05909
ERR1913062.1329914__1.1329914	820__A0A174CK74__DXB48_07060
ERR1913062.1330005__1.1330005	853__E2ZJT1__C4N23_03535
ERR1913062.1330148__1.1330148	310298__B3JFK4__BACCOP_00654
ERR1913062.1330182__1.1330182	28116__A0A1Y4Q112__evgS_13
ERR1913062.1330280__1.1330280	821__A0A0P0M405__DXC02_15075
ERR1913062.1330288__1.1330288	2293125__A0A374BV30__DW917_13395
ERR1913062.1330366__1.1330366	310298__B3JQD7__BACCOP_04095
ERR1913062.1330464__1.1330464	820__A0A139K5A6__DXB48_12175
ERR1913062.1330475__1.1330475	357276__I9FGI3__EL88_12385
ERR1913062.1330492__1.1330492	1150298__A0A174LTU2__recX
ERR1913062.1330526__1.1330526	39488__A0A174KVU1__EUBHAL_00302
ERR1913062.1330552__1.1330552	1262924__R7HQD9__BN585_00129
ERR1913062.1330595__1.1330595	28118__F9ZB50__Odosp_2374
ERR1913062.1330642__1.1330642	820__A0A139K5A6__DXB48_12175
ERR1913062.1330651__1.1330651	310298__B3JQD7__BACCOP_04095
ERR1913062.1330674__1.1330674	1735__B7CEC3__EUBIFOR_02567
ERR1913062.1330702__1.1330702	487174__R5FN40__HMPREF9448_01366
ERR1913062.1330767__1.1330767	46228__V8C4T8__RUMLAC_02058
ERR1913062.1330811__1.1330811	1262743__R5C054__BN727_01980
ERR1913062.1330835__1.1330835	1150298__R7JRK4__ERS852406_01648
ERR1913062.1330955__1.1330955	310298__B3JQJ5__BACCOP_04231
ERR1913062.1331064__1.1331064	821__A0A395UNT8__DXD64_15275
ERR1913062.1331141__1.1331141	39488__A0A174ALY3__ERS852450_00805
ERR1913062.1331225__1.1331225	165179__D1PGU8__PREVCOP_06463
ERR1913062.1331356__1.1331356	2293125__A0A374BUM7__DW917_12980
ERR1913062.1331527__1.1331527	820__A0A139K5A6__DXB48_12175
ERR1913062.1331577__1.1331577	46503__R6X0L4__DXB61_05325
ERR1913062.1331723__1.1331723	39488__A0A374NVK2__DXD91_03585
ERR1913062.1331830__1.1331830	853__A0A3E2U7E6__ERS852582_01640
ERR1913062.1331960__1.1331960	821__A0A0P0LNX8__ERS852509_03015
ERR1913062.1332023__1.1332023	166486__D4KZ45__ROSINTL182_05738
ERR1913062.1332179__1.1332179	1262930__R5ZWP2__BN693_01542
ERR1913062.1332427__1.1332427	39496__A5Z7X8__EUBVEN_01818
ERR1913062.1332453__1.1332453	820__A7VAR9__ERS852421_00197
ERR1913062.1332576__1.1332576	823__A0A355XIK0__CEQ22_011965
ERR1913062.1332622__1.1332622	823__A0A173VS36__M091_4727
ERR1913062.1332731__1.1332731	166486__D4L082__yicI_5
ERR1913062.1332766__1.1332766	46503__R6X5I4__ERS852463_01136
ERR1913062.1332889__1.1332889	1150298__A0A174HB98__ERS852406_02617
ERR1913062.1332967__1.1332967	1262992__R5D719__BN795_01028
ERR1913062.1333190__1.1333190	39488__A0A285PUH7__ERS852450_00520
ERR1913062.1333527__1.1333527	301301__A0A395V714__evgS
ERR1913062.1333570__1.1333570	820__A0A139K4T0__ERS852510_03146
ERR1913062.1333768__1.1333768	1262930__R6AYK2__BN693_00543
ERR1913062.1333895__1.1333895	823__E1YSG0__DHP27_00465
ERR1913062.1333957__1.1333957	310298__B3JQL6__BACCOP_04252
ERR1913062.1333998__1.1333998	357276__A0A076IYG1__B5F95_22465
ERR1913062.1334189__1.1334189	310298__B3JJX9__BACCOP_02203
ERR1913062.1334493__1.1334493	310298__B3JQL6__BACCOP_04252
ERR1913062.1334611__1.1334611	46503__R6WWH2__DXB85_00365
ERR1913062.1334770__1.1334770	357276__I8WBQ9__HMPREF1065_03212
ERR1913062.1334775__1.1334775	410072__A0A174QX27__murE_2
ERR1913062.1334726__1.1334726	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.1334738__1.1334738	165179__D1PHM6__DXC61_06700
ERR1913062.1334802__1.1334802	166486__A0A173T114__ROSINTL182_05085
ERR1913062.1334823__1.1334823	39486__R6S173__DXD84_02630
ERR1913062.1334782__1.1334782	360807__C0FYZ7__ERS852444_03522
ERR1913062.1334787__1.1334787	39491__A0A396FSN2__EUBREC_0707
ERR1913062.1334923__1.1334923	28118__F9ZBZ0__DHW44_07740
ERR1913062.1334905__1.1334905	818__A0A174T624__HMPREF2534_01176
ERR1913062.1335021__1.1335021	821__A0A173XDD3__DXB82_17180
ERR1913062.1335025__1.1335025	165179__A0A3E5DY64__CFT61_10025
ERR1913062.1335026__1.1335026	28118__R6FCW4__DF785_08500
ERR1913062.1334977__1.1334977	1133319__W4US87__JCM10512_2118
ERR1913062.1335064__1.1335064	310298__B3JFK4__BACCOP_00654
ERR1913062.1335163__1.1335163	823__A0A395YQ63__B5F32_15335
ERR1913062.1335209__1.1335209	84030__D6DDV8__B5F06_06445
ERR1913062.1335254__1.1335254	310298__B3JQJ5__BACCOP_04231
ERR1913062.1335618__1.1335618	166486__D4KJ71__ERS852572_03479
ERR1913062.1335637__1.1335637	310298__B3JQJ5__BACCOP_04231
ERR1913062.1335738__1.1335738	46503__R6WWC9__PARMER_03215
ERR1913062.1335793__1.1335793	410072__A0A173YQW3__dtpT_1
ERR1913062.1336166__1.1336166	357276__I8WAB8__B5F00_08100
ERR1913062.1336194__1.1336194	165179__D1PCL6__DXB80_13435
ERR1913062.1336368__1.1336368	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913062.1336404__1.1336404	410072__A0A173S1W0__COPCOM_00541
ERR1913062.1336474__1.1336474	820__A0A173XIP7__B5G17_16050
ERR1913062.1336504__1.1336504	28116__A0A139LD88__CUY_2408
ERR1913062.1336522__1.1336522	165179__D1PGU8__PREVCOP_06463
ERR1913062.1336580__1.1336580	1262746__R5S265__BN750_01952
ERR1913062.1336643__1.1336643	820__A0A139KIL9__DXC68_05945
ERR1913062.1336644__1.1336644	1262930__R6AQF3__BN693_01271
ERR1913062.1336671__1.1336671	562__A0A376L0A6__CQA14_19985
ERR1913062.1336856__1.1336856	1263044__GCA_000433375.1_00346
ERR1913062.1336950__1.1336950	1262930__R5ZZI5__BN693_01682
ERR1913062.1337000__1.1337000	818__D7I7V5__BJP75_001030
ERR1913062.1337007__1.1337007	1550024__A0A3B9WFS7__ASJ35_05525
ERR1913062.1337082__1.1337082	88431__A0A174EJA6__DXB16_03345
ERR1913062.1337114__1.1337114	853__A0A173T751__C4N24_10280
ERR1913062.1337163__1.1337163	39488__A0A174GS53__dnaC_1
ERR1913062.1337248__1.1337248	544645__A0A1U7L9B0__DXC42_03910
ERR1913062.1337369__1.1337369	384638__B7AVU0__BACPEC_02840
ERR1913062.1337668__1.1337668	357276__A0A076IN30__DXD47_09350
ERR1913062.1337919__1.1337919	418240__C6JFI7__ERS852523_01130
ERR1913062.1337982__1.1337982	39486__G1WQ06__DXD84_02875
ERR1913062.1338072__1.1338072	1262930__R5ZWP2__BN693_01542
ERR1913062.1338086__1.1338086	28111__R5K3D9__NCTC11155_02788
ERR1913062.1338284__1.1338284	310298__B3JMG0__BACCOP_03099
ERR1913062.1338327__1.1338327	292800__A0A174J2N2__ERS852518_00415
ERR1913062.1338408__1.1338408	166486__D4L0E1__ypdA_4
ERR1913062.1338424__1.1338424	410072__A0A174JVM9__COPCOM_00443
ERR1913062.1338387__1.1338387	301301__A0A395V9P9__ERS852391_00747
ERR1913062.1338460__1.1338460	165179__A0A3E5AER8__DXB80_07075
ERR1913062.1338622__1.1338622	360807__A0A173YFC9__ROSEINA2194_03541
ERR1913062.1338669__1.1338669	33039__A0A173W0K9__ERS852502_02246
ERR1913062.1338703__1.1338703	821__A0A3E4WAR6__DXD64_10735
ERR1913062.1338809__1.1338809	2293125__A0A374C9I8__DW917_06795
ERR1913062.1338916__1.1338916	544644__GCA_001915615.1_00036
ERR1913062.1338889__1.1338889	820__A0A173WZS4__DXD90_10250
ERR1913062.1338988__1.1338988	1262889__R7HA79__BN634_01068
ERR1913062.1339078__1.1339078	360807__A0A396AIL7__RIL183_26291
ERR1913062.1339108__1.1339108	487174__R5FN40__HMPREF9448_01366
ERR1913062.1339113__1.1339113	2293125__A0A374CMK5__DW917_00330
ERR1913062.1339211__1.1339211	818__A0A139KMC9__C799_02694
ERR1913062.1339307__1.1339307	823__A0A173RD26__B5F32_03910
ERR1913062.1339319__1.1339319	626933__H1DGX0__HMPREF9449_01506
ERR1913062.1339329__1.1339329	410072__A0A173Z452__COPCOM_02514
ERR1913062.1339333__1.1339333	204516__U6RDD8__HMPREF1534_02559
ERR1913062.1339586__1.1339586	371601__I9JEF3__DXD80_17785
ERR1913062.1339636__1.1339636	310298__B3JQJ5__BACCOP_04231
ERR1913062.1339649__1.1339649	74426__infB
ERR1913062.1339697__1.1339697	165179__D1PGU8__PREVCOP_06463
ERR1913062.1339709__1.1339709	33039__D4M4L0__ERS852577_02891
ERR1913062.1339785__1.1339785	310298__B3JHN9__BACCOP_01401
ERR1913062.1339860__1.1339860	671267__R9HYS1__C802_04097
ERR1913062.1339850__1.1339850	2293125__A0A374BUM7__DW917_12980
ERR1913062.1340051__1.1340051	820__A0A396EUU8__luxQ_3
ERR1913062.1340228__1.1340228	165179__D1PHC0__PREVCOP_06640
ERR1913062.1340258__1.1340258	28118__F9Z8Y8__B5F99_07140
ERR1913062.1340290__1.1340290	2293125__A0A374BUM7__DW917_12980
ERR1913062.1340405__1.1340405	1735__B7CDA5__EUBIFOR_02186
ERR1913062.1340409__1.1340409	1262992__R5DGC6__BN795_00540
ERR1913062.1340500__1.1340500	410072__C0BF38__DXD67_15395
ERR1913062.1340585__1.1340585	46503__K5ZAK9__NCTC13052_03308
ERR1913062.1340757__1.1340757	165179__A0A229I3Z6__PREVCOP_03666
ERR1913062.1340777__1.1340777	1323__A0A380LML1__NCTC11087_01805
ERR1913062.1340865__1.1340865	39496__A5ZAD7__licT
ERR1913062.1341005__1.1341005	1262930__R5ZVQ3__BN693_01357
ERR1913062.1341240__1.1341240	218538__C9LQZ7__GCWU000321_01979
ERR1913062.1341308__1.1341308	39492__A0A174ZYY6__EUBSIR_02510
ERR1913062.1341330__1.1341330	165179__A0A3E5E4T9__DXB80_08030
ERR1913062.1341413__1.1341413	33039__D4M4L7__ripA
ERR1913062.1341431__1.1341431	1262924__R7HMB7__BN585_01717
ERR1913062.1341436__1.1341436	371601__G1UK36__HMPREF1074_03496
ERR1913062.1341497__1.1341497	371601__D6D747__CW3_0796
ERR1913062.1341639__1.1341639	165179__D1PHD6__DXC61_03380
ERR1913062.1341669__1.1341669	823__E1YR62__HMPREF1059_02331
ERR1913062.1341776__1.1341776	165179__A0A3E5EAM5__DXC61_07785
ERR1913062.1341963__1.1341963	820__A7VAS1__HMPREF2141_03259
ERR1913062.1342042__1.1342042	310298__B3JFK4__BACCOP_00654
ERR1913062.1342076__1.1342076	165179__D1PGU8__PREVCOP_06463
ERR1913062.1342291__1.1342291	357276__I9QBT7__BSEG_03340
ERR1913062.1342299__1.1342299	74426__rpoC
ERR1913062.1342344__1.1342344	166486__C7GE31__ganB_3
ERR1913062.1342421__1.1342421	2293125__A0A374C9I8__DW917_06795
ERR1913062.1342531__1.1342531	46503__R6Y9P8__evgS_3
ERR1913062.1342740__1.1342740	820__A0A139KHD8__ERS417307_00569
ERR1913062.1342773__1.1342773	310298__B3JI31__BACCOP_01543
ERR1913062.1342892__1.1342892	818__A0A0P0FKT1__C5Z03_19050
ERR1913062.1342926__1.1342926	165179__A0A3E5AER8__DXB80_07075
ERR1913062.1342973__1.1342973	74426__thrZ
ERR1913062.1342948__1.1342948	360807__A0A0M6X184__ERS852392_03203
ERR1913062.1342949__1.1342949	46503__R6X6Y1__DCY29_15600
ERR1913062.1343012__1.1343012	820__A0A374Q1D8__SAMN05444418_112114
ERR1913062.1343105__1.1343105	1263044__GCA_000433375.1_03401
ERR1913062.1343171__1.1343171	626933__H1DGX0__HMPREF9449_01506
ERR1913062.1343178__1.1343178	28118__F9Z750__Odosp_3044
ERR1913062.1343349__1.1343349	2293125__A0A374CCM7__DW917_05375
ERR1913062.1343355__1.1343355	310298__B3JHN9__BACCOP_01401
ERR1913062.1343537__1.1343537	2293125__A0A374BMK9__DW917_16190
ERR1913062.1343672__1.1343672	166486__D4KY48__gmr_5
ERR1913062.1343955__1.1343955	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.1344206__1.1344206	454154__G5SVN0__HMPREF9441_03447
ERR1913062.1344319__1.1344319	2108523__A0A2P2F6R3__LAWASA_1701
ERR1913062.1344373__1.1344373	410072__A0A3E4GMX9__yqgN
ERR1913062.1344627__1.1344627	1735__B7CCS4__EUBIFOR_02002
ERR1913062.1344598__1.1344598	818__A0A0N7I9M6__Btheta7330_00939
ERR1913062.1344643__1.1344643	46503__R6X1R0__ERS852463_00596
ERR1913062.1344678__1.1344678	821__A0A174AYT0__DXC02_03530
ERR1913062.1344928__1.1344928	487174__K0XLV6__DIT83_00940
ERR1913062.1344938__1.1344938	487174__K0XLC3__HMPREF9448_01065
ERR1913062.1345188__1.1345188	39491__A0A395ZDC6__addB
ERR1913062.1345215__1.1345215	853__A0A173YYY4__DWZ04_09420
ERR1913062.1345200__1.1345200	1262930__R6AYG5__BN693_00491
ERR1913062.1345263__1.1345263	28117__B0MT86__BHV66_02450
ERR1913062.1345278__1.1345278	820__A0A139KHX1__HMPREF2141_00289
ERR1913062.1345387__1.1345387	1262924__R7HRW7__BN585_01894
ERR1913062.1345479__1.1345479	853__A0A2A7A4A9__C4N21_14870
ERR1913062.1345508__1.1345508	487174__K0X5B1__DDY40_01695
ERR1913062.1345577__1.1345577	165179__R6XLJ7__CFT61_06250
ERR1913062.1345585__1.1345585	39488__A0A173YJL3__EUBHAL_01681
ERR1913062.1345787__1.1345787	1262930__R6AUX8__BN693_00160
ERR1913062.1345858__1.1345858	371601__I9AGU6__CW1_2721
ERR1913062.1345887__1.1345887	1262930__R6AES4__BN693_02093
ERR1913062.1345941__1.1345941	823__A0A174VHT1__DHP27_04775
ERR1913062.1346013__1.1346013	1735__B7C932__EUBIFOR_00689
ERR1913062.1346071__1.1346071	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.1346187__1.1346187	649756__A0A173SZT9__ptsG_1
ERR1913062.1346412__1.1346412	823__A0A355XN36__DXB14_02385
ERR1913062.1346380__1.1346380	626932__G5HA20__HMPREF9450_01485
ERR1913062.1346488__1.1346488	310298__B3JQJ5__BACCOP_04231
ERR1913062.1346501__1.1346501	1262992__R5D7H2__BN795_00443
ERR1913062.1346529__1.1346529	1150298__A0A174DTK6__ERS852498_00510
ERR1913062.1346579__1.1346579	1150298__A0A174S2H3__spoIIQ
ERR1913062.1346564__1.1346564	371601__A0A139LNM6__BN891_32770
ERR1913062.1346604__1.1346604	46503__R6WTW1__NCTC13052_03440
ERR1913062.1346697__1.1346697	310298__B3JQJ5__BACCOP_04231
ERR1913062.1346769__1.1346769	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913062.1346772__1.1346772	853__C7H1R8__DW905_06675
ERR1913062.1346922__1.1346922	165179__A0A174SA26__PREVCOP_05758
ERR1913062.1346925__1.1346925	1262930__R5ZVQ3__BN693_01357
ERR1913062.1346969__1.1346969	310298__B3JQJ5__BACCOP_04231
ERR1913062.1346946__1.1346946	823__A0A174LWY0__lepB
ERR1913062.1347070__1.1347070	820__A0A139K5A6__DXB48_12175
ERR1913062.1347284__1.1347284	572010__ydhV
ERR1913062.1347652__1.1347652	1735__B7CEC3__EUBIFOR_02567
ERR1913062.1347595__1.1347595	1150298__A0A174L2G3__ERS852498_01371
ERR1913062.1347707__1.1347707	1262930__R6A6G2__BN693_00683
ERR1913062.1347729__1.1347729	1628085__A0A2U1BGI2__C7386_10124
ERR1913062.1347760__1.1347760	853__A0A173RZ39__C4N22_01650
ERR1913062.1347932__1.1347932	166486__A0A173T114__ROSINTL182_05085
ERR1913062.1347943__1.1347943	357276__A0A076J4B1__DXD47_03445
ERR1913062.1347957__1.1347957	39496__A5Z3Y7__EUBVEN_00393
ERR1913062.1348125__1.1348125	204516__U6R9E0__HMPREF1534_03742
ERR1913062.1348178__1.1348178	1262988__R7N3Y4__BN816_00210
ERR1913062.1348184__1.1348184	820__E5VEH7__ERS852459_01300
ERR1913062.1348189__1.1348189	204516__U6R8I1__HMPREF1534_03341
ERR1913062.1348221__1.1348221	166486__D4L1P3__ERS852572_00760
ERR1913062.1348292__1.1348292	165179__A0A3E5DN34__DXC61_07865
ERR1913062.1348312__1.1348312	1262924__R7HQ14__BN585_00419
ERR1913062.1348345__1.1348345	1628085__A0A1C5YAJ9__C7386_10197
ERR1913062.1348398__1.1348398	2293125__A0A374C8A8__DW917_07550
ERR1913062.1348471__1.1348471	166486__D4KXZ4__ROSINTL182_05055
ERR1913062.1348543__1.1348543	46503__A7AB27__DXB85_00430
ERR1913062.1348636__1.1348636	745368__A0A1T4XQZ9__SAMN02745178_02185
