ERR1913257.130__1.130	1550024__A0A0D8IYY8__TQ39_09180
ERR1913257.230481__1.230481	301302__R5UMB9__M72_25011
ERR1913257.230464__1.230464	907__S7IXS8__AZ49_01195
ERR1913257.231078__1.231078	239935__R7DVW2__CXU02_03915
ERR1913257.231153__1.231153	2173__A0A1D2WU48__Msm_1454
ERR1913257.231182__1.231182	357276__A0A076IXE0__HMPREF1064_04364
ERR1913257.231209__1.231209	39491__A0A173TFQ1__rsmF
ERR1913257.231300__1.231300	239935__R6JCH3__CXT95_08205
ERR1913257.231407__1.231407	39491__A0A395ZEN3__DXD95_12655
ERR1913257.231530__1.231530	1897011__A0A1Q6RDG0__BHW41_05600
ERR1913257.231724__1.231724	246787__A0A0P0GMR5__HMPREF1062_04678
ERR1913257.231792__1.231792	39491__A0A173VH71__ERS852497_01827
ERR1913257.231727__1.231727	40520__R7D6T7__DXD81_06600
ERR1913257.231732__1.231732	706562__GCA_900112995.1_01883
ERR1913257.231734__1.231734	1262848__R6V8K7__BN818_00573
ERR1913257.231860__1.231860	1262924__R7HRJ9__BN585_00557
ERR1913257.232301__1.232301	2173__A0A1D2WSY5__METSMIF1_03017
ERR1913257.232350__1.232350	39488__A0A285PT56__ERS852450_02640
ERR1913257.232492__1.232492	1656__F2UYI5__HMPREF0059_01140
ERR1913257.232506__1.232506	357276__I9QBT7__BSEG_03340
ERR1913257.232512__1.232512	239935__A0A2N8IVR0__CXT87_07115
ERR1913257.232668__1.232668	267818__A0A0R1PCI5__FC94_GL001705
ERR1913257.232777__1.232777	823__A0A078SYK6__DXB14_02485
ERR1913257.232954__1.232954	239935__A0A2N8IL82__CXU02_11740
ERR1913257.232972__1.232972	1681__K2I6D7__DD698_01445
ERR1913257.233030__1.233030	239935__A0A2N8HT44__CXT84_11035
ERR1913257.233056__1.233056	1262924__R7HPZ6__BN585_00681
ERR1913257.233071__1.233071	1897011__A0A1Q6REL5__BHW41_03885
ERR1913257.233091__1.233091	239935__R6JWJ7__CXT94_02580
ERR1913257.233205__1.233205	357276__A0A076IN30__DXD47_09350
ERR1913257.233218__1.233218	1263107__GCA_000436995.1_00194
ERR1913257.233231__1.233231	39491__A0A396FNY7__LD38_16155
ERR1913257.233235__1.233235	1263000__R5EXT3__BN466_02213
ERR1913257.233253__1.233253	78343__A0A086ZPF2__BBOU_0532
ERR1913257.233261__1.233261	39491__A0A395V297__EUR_01010
ERR1913257.233327__1.233327	745368__A0A1T4Y9Q7__SAMN02745178_02874
ERR1913257.233339__1.233339	39491__A0A395ZHV7__ykvU
ERR1913257.233359__1.233359	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1913257.233511__1.233511	1150298__A0A174SLE6__mlc_1
ERR1913257.233568__1.233568	39491__A0A174K9A3__DXB69_07785
ERR1913257.233593__1.233593	745368__A0A1T4YBU5__SAMN02745178_02911
ERR1913257.233644__1.233644	1680__A7A4N3__ERS852382_00779
ERR1913257.233657__1.233657	1965537__A0A1Y4WQA6__B5E42_02750
ERR1913257.233779__1.233779	116085__D4J6U8__DW747_08385
ERR1913257.233825__1.233825	1579__Q5FLQ8__NH13_02575
ERR1913257.233954__1.233954	39486__G1WS07__DXC93_09710
ERR1913257.233986__1.233986	39491__A0A396FE96__EUR_00280
ERR1913257.234027__1.234027	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913257.234161__1.234161	39491__D4JMW8__ERS852497_01971
ERR1913257.234214__1.234214	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913257.234307__1.234307	239935__A0A2N8I5A2__DEF40_08455
ERR1913257.234374__1.234374	1235793__R9KSF0__C809_01679
ERR1913257.234464__1.234464	1681__E4VBF7__DD684_05570
ERR1913257.234652__1.234652	216816__A0A374SVM3__BLSL_0492
ERR1913257.234799__1.234799	39485__A0A174Z8V5__fliU_2
ERR1913257.234854__1.234854	544645__A0A1U7L9C2__DXC42_03640
ERR1913257.234870__1.234870	239935__A0A2N8HUU6__CXT90_06150
ERR1913257.234943__1.234943	820__A0A374QGD2__ERS852421_02382
ERR1913257.235101__1.235101	40520__R7DD01__ERS852533_01371
ERR1913257.235134__1.235134	39492__A0A174ZG93__EUBSIR_00254
ERR1913257.235152__1.235152	2292352__A0A374UNS4__DXC23_05055
ERR1913257.235287__1.235287	239935__A0A2N8IVR0__CXT87_07115
ERR1913257.235401__1.235401	1680__A0A173W5Z2__DXC53_01290
ERR1913257.235423__1.235423	2173__A0A1D2WXC5__METSMIALI_01265
ERR1913257.235576__1.235576	29361__B6FLM7__CLONEX_01049
ERR1913257.235516__1.235516	45851__D4RWD3__BHV86_07045
ERR1913257.235589__1.235589	28052__R7N6Q7__rafA
ERR1913257.235794__1.235794	39491__A0A395V1T9__DXD13_03310
ERR1913257.235896__1.235896	1680__A0A0B5BHY4__DXD63_03525
ERR1913257.236081__1.236081	823__D0TJX4__M095_1560
ERR1913257.236137__1.236137	626929__F3PIK9__HMPREF9445_01807
ERR1913257.236171__1.236171	357276__A0A0K2HI42__ABI39_06975
ERR1913257.236241__1.236241	357276__B6VT86__IY41_22515
ERR1913257.236316__1.236316	1150298__A0A174BC67__ERS852498_00837
ERR1913257.236495__1.236495	301301__A0A395VDW7__RHOM_05405
ERR1913257.236608__1.236608	301302__A0A0M6WSS7__ERS852420_02367
ERR1913257.236717__1.236717	239935__A0A2N8I5A2__DEF40_08455
ERR1913257.236749__1.236749	39491__A0A173QT73__alaS_2
ERR1913257.236842__1.236842	239935__A0A2N8I368__CXT95_04550
ERR1913257.236843__1.236843	301301__A0A173YWF6__RHOM_00725
ERR1913257.236871__1.236871	239935__A0A2N8HT68__ADH72_00510
ERR1913257.237048__1.237048	45851__D4S2U9__BHV86_05685
ERR1913257.237071__1.237071	1263000__R5EK63__BN466_02075
ERR1913257.237712__1.237712	907__S7J9N9__SAMN02910401_00144
ERR1913257.237728__1.237728	1262911__R6GXS5__BN557_00160
ERR1913257.237865__1.237865	1263107__GCA_000436995.1_00065
ERR1913257.237963__1.237963	1680__A0A374QDL4__LMG18897_0432
ERR1913257.238230__1.238230	45851__D4RWP4__BHV86_06190
ERR1913257.238308__1.238308	116085__D4J456__DW747_14835
ERR1913257.238430__1.238430	239935__A0A2N8I1R3__CXU05_06075
ERR1913257.238455__1.238455	1262848__R6V8P9__BN818_00594
ERR1913257.238520__1.238520	1262924__R7HU74__BN585_00690
ERR1913257.238572__1.238572	1262911__R6GY22__BN557_00023
ERR1913257.238707__1.238707	357276__A0A0K2HI25__DXD47_04465
ERR1913257.238835__1.238835	40520__A0A396A356__DXB81_07630
ERR1913257.239203__1.239203	216816__A0A0M0VK23__BLGT_09805
ERR1913257.239693__1.239693	1308__F8LWP9__CV714_04615
ERR1913257.239696__1.239696	1680__R5GPK0__B0487_0620
ERR1913257.239784__1.239784	357276__A0A076IYE6__IY41_04275
ERR1913257.239762__1.239762	1739309__A0A1E9A691__HMPREF2805_02050
ERR1913257.239903__1.239903	39491__A0A395UYA6__EUBREC_0408
ERR1913257.240108__1.240108	333367__C0D128__CLOSTASPAR_02965
ERR1913257.240270__1.240270	1308__V8LZ20__amtB
ERR1913257.240606__1.240606	853__A0A2A7AXC8__C4N21_14120
ERR1913257.240693__1.240693	216816__V6XY04__APK78_02285
ERR1913257.240743__1.240743	410072__C0BC38__ERS852574_02017
ERR1913257.241055__1.241055	745368__A0A1T4XQU7__SAMN02745178_02180
ERR1913257.241063__1.241063	1378168__V2YA11__N510_02528
ERR1913257.241092__1.241092	267818__A0A0R1PC76__WANG_1654
ERR1913257.241426__1.241426	147206__GCF_000156215.1_01772
ERR1913257.241522__1.241522	33043__A0A173ZDC4__malL_1
ERR1913257.241590__1.241590	39491__A0A396FVC0__ERE_15900
ERR1913257.241600__1.241600	1235793__R9KSF0__C809_01679
ERR1913257.241670__1.241670	410072__C0BC38__ERS852574_02017
ERR1913257.241893__1.241893	1262954__R7FHG0__BN611_00258
ERR1913257.242042__1.242042	1680__A0A173W5Z2__DXC53_01290
ERR1913257.242220__1.242220	2173__A0A1D2WVA1__Msm_0411
ERR1913257.242252__1.242252	74426__purC
ERR1913257.242261__1.242261	1262911__R6H212__BN557_01031
ERR1913257.242363__1.242363	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913257.242848__1.242848	1150298__R7JTG8__smf
ERR1913257.242893__1.242893	1680__A7A8N9__BBMN23_1271
ERR1913257.243136__1.243136	1150298__R7JUW7__ERS852406_02089
ERR1913257.243234__1.243234	1263109__GCA_000438135.1_01183
ERR1913257.243217__1.243217	820__A0A3E4W4Y7__B5G17_02055
ERR1913257.243196__1.243196	1262848__R6UQ18__BN818_01625
ERR1913257.243197__1.243197	1262848__R6UQ18__BN818_01625
ERR1913257.243279__1.243279	28052__A0A174M4Z9__blaR1
ERR1913257.243288__1.243288	1235793__R9KSF0__C809_01679
ERR1913257.243499__1.243499	39491__C4ZHS4__EUR_24420
ERR1913257.243519__1.243519	544581__F9PI24__HMPREF1979_02875
ERR1913257.243622__1.243622	360807__C0FXX7__ERS852392_02700
ERR1913257.243862__1.243862	1262761__R6RU22__BN606_01110
ERR1913257.243882__1.243882	820__A0A374Q1D8__SAMN05444418_112114
ERR1913257.244197__1.244197	56774__H1PLE3__NCTC12940_01739
ERR1913257.244210__1.244210	1262911__R6H0U7__BN557_01104
ERR1913257.244292__1.244292	214856__R6Y1K2__ERS852447_02306
ERR1913257.244476__1.244476	39491__A0A395UYA6__EUBREC_0408
ERR1913257.244535__1.244535	187327__G4Q4X9__ACDG_00100
ERR1913257.244536__1.244536	33043__A0A173YSY7__tilS
ERR1913257.244834__1.244834	216816__Q8G5T7__HMPREF0175_0394
ERR1913257.244874__1.244874	46503__R6X5W5__HMPREF1078_03156
ERR1913257.244881__1.244881	1150298__A0A174SLE6__mlc_1
ERR1913257.245269__1.245269	239935__A0A139TVJ4__CXT86_02020
ERR1913257.245284__1.245284	39491__A0A173VYV1__DXC13_02710
ERR1913257.245364__1.245364	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913257.245391__1.245391	239935__A0A139TQT9__Amuc_1197
ERR1913257.245425__1.245425	1262924__R7HQS1__BN585_00657
ERR1913257.245428__1.245428	1262924__R7HRJ9__BN585_00557
ERR1913257.245432__1.245432	671230__F5TDE9__HMPREF9126_1365
ERR1913257.245338__1.245338	418240__C6J9W6__ERS852523_00370
ERR1913257.245342__1.245342	88431__A0A173UIQ4__lip2
ERR1913257.245767__1.245767	2173__A0A1D2WU48__Msm_1454
ERR1913257.245799__1.245799	2173__A0A1D2WWE0__METSMIF1_03349
ERR1913257.245864__1.245864	820__A0A374Q351__DXD40_05850
ERR1913257.245911__1.245911	1262911__R6GTZ4__BN557_01440
ERR1913257.246041__1.246041	184870__A0A134BI98__lacI4
ERR1913257.246073__1.246073	28025__A0A315T518__BLA_0169
ERR1913257.246103__1.246103	39488__A0A374NU89__ERS852578_02475
ERR1913257.246330__1.246330	40518__R5E6K4__RB5AMG_02070
ERR1913257.246428__1.246428	1262848__R6UNF9__BN818_01455
ERR1913257.246493__1.246493	1262911__R6HLR5__BN557_00628
ERR1913257.246571__1.246571	1681__U2DMQ1__LMG13200_0318
ERR1913257.246630__1.246630	626940__E8LEB7__DCQ00_02550
ERR1913257.246803__1.246803	239935__A0A2N8I5A2__DEF40_08455
ERR1913257.247150__1.247150	820__A0A139KHX1__HMPREF2141_00289
ERR1913257.247464__1.247464	45851__D4RXA4__BUTYVIB_00455
ERR1913257.247495__1.247495	1262924__R7HNF7__BN585_01769
ERR1913257.247618__1.247618	2173__A0A1D2WTR0__METSMIALI_00480
ERR1913257.247649__1.247649	216816__A0A1D7MV89__EK5BL_04715
ERR1913257.247728__1.247728	239935__A0A2N8INK7__Amuc_0521
ERR1913257.247901__1.247901	820__A0A174KKV6__DXC07_02635
ERR1913257.247937__1.247937	360807__C0FSM3__ROSEINA2194_01739
ERR1913257.247973__1.247973	1550024__G9RQ59__TQ39_14360
ERR1913257.248158__1.248158	301302__A0A0M6WWS5__M72_14631
ERR1913257.248221__1.248221	28117__B0MXX3__BHV66_07695
ERR1913257.248224__1.248224	1965587__A0A1Y4I0C5__B5F35_09340
ERR1913257.248246__1.248246	1680__R5GZJ8__BSTER_1195
ERR1913257.248313__1.248313	40520__R7D9L9__DXC87_14715
ERR1913257.248406__1.248406	1550024__A0A3B9WIW5__TQ39_04755
ERR1913257.248468__1.248468	1263109__GCA_000438135.1_00053
ERR1913257.248543__1.248543	1308__A0A2X3UXQ1__CG712_00985
ERR1913257.248899__1.248899	1685__F9Y281__B31L_1344
ERR1913257.249074__1.249074	39485__A0A174YYW2__benM
ERR1913257.249085__1.249085	1262924__R7HU74__BN585_00690
ERR1913257.249321__1.249321	2173__A0A1D2WXC5__METSMIALI_01265
ERR1913257.249349__1.249349	39492__B0MM84__lgt
ERR1913257.249703__1.249703	40520__A0A395XAI7__DXB81_16005
ERR1913257.249715__1.249715	853__A0A173XRA8__CGS56_09290
ERR1913257.249789__1.249789	1262924__R7HQN1__BN585_00550
ERR1913257.249910__1.249910	239935__A0A2N8ITW6__CXT91_06265
ERR1913257.249930__1.249930	1681__K2HUZ1__B0085_0362
ERR1913257.249963__1.249963	1680__A0A0C2YNK5__BADO_0780
ERR1913257.250286__1.250286	1550024__A0A0D8IY45__ASJ35_05575
ERR1913257.250294__1.250294	39491__A0A396FGM9__fliU_1
ERR1913257.250314__1.250314	239935__A0A2N8I9P4__CXT85_05050
ERR1913257.250587__1.250587	40520__R7DA92__DXC87_13515
ERR1913257.250825__1.250825	39491__A0A395UZL1__DXB76_05950
ERR1913257.250992__1.250992	239935__A0A2N8IV82__CXT99_06735
ERR1913257.251046__1.251046	218139__GCA_002259595.1_01323
ERR1913257.251213__1.251213	1685__A0A3D8UE34__NRBB18_0294
ERR1913257.251364__1.251364	1897011__A0A1Q6RE76__BHW41_04850
ERR1913257.251687__1.251687	410072__A0A174L267__ERS852525_00949
ERR1913257.251791__1.251791	410072__A0A174E1G6__phoR_6
ERR1913257.251932__1.251932	1579__A0A3A9Y4S4__LADSM9126_00667
ERR1913257.252069__1.252069	40520__A0A3E5ENE1__DXB81_01340
ERR1913257.252434__1.252434	39491__A0A395V1R3__T1815_08181
ERR1913257.252528__1.252528	1262736__R5Y3Y0__BN496_01937
ERR1913257.252676__1.252676	1262848__R6UEX2__BN818_00035
ERR1913257.252609__1.252609	39491__A0A395ZJZ1__LD38_01870
ERR1913257.253129__1.253129	853__A0A2A7ATM9__DWZ89_13645
ERR1913257.253334__1.253334	239935__A0A2N8HBM4__CXT85_06270
ERR1913257.253349__1.253349	39491__C4ZEW3__T1815_18241
ERR1913257.253386__1.253386	39491__A0A396FUZ3__phoR_1
ERR1913257.253604__1.253604	74426__group_1871
ERR1913257.253660__1.253660	1308__Q5M5Z8__STACADC2_0257
ERR1913257.253734__1.253734	74426__thrZ
ERR1913257.253953__1.253953	76489__A0A1E8EUC5__CLOACE_23150
ERR1913257.254477__1.254477	1681__U2DMQ1__LMG13200_0318
ERR1913257.254599__1.254599	239935__A0A139TSG7__CXU17_09600
ERR1913257.254918__1.254918	357276__I8WPR6__EL88_06675
ERR1913257.255415__1.255415	301301__A0A395VE27__RHOM_06555
ERR1913257.255501__1.255501	301301__A0A395V8V6__RHOM_04915
ERR1913257.255657__1.255657	39491__C4Z9K0__DXD95_07445
ERR1913257.255785__1.255785	239935__A0A2N8IU45__DEF40_02365
ERR1913257.255818__1.255818	820__A0A173WUD7__DXB48_08055
ERR1913257.255945__1.255945	1262848__R6UNE2__BN818_01447
ERR1913257.256038__1.256038	28025__A0A0L7CXE2__CDD75_01489
ERR1913257.256237__1.256237	239935__A0A2N8HQR1__Amuc_0287
ERR1913257.256422__1.256422	74426__purL
ERR1913257.256493__1.256493	204516__U6R8I1__HMPREF1534_03341
ERR1913257.256739__1.256739	357276__A0A076IN30__DXD47_09350
ERR1913257.257153__1.257153	418240__A0A174B589__ERS852523_01681
ERR1913257.257176__1.257176	1150298__R7JXP3__ERS852535_00653
ERR1913257.257794__1.257794	46503__K5ZX50__dnaG_1
ERR1913257.257883__1.257883	28117__B0MU58__BHV66_05630
ERR1913257.257894__1.257894	239935__A0A2N8J2P6__ADH72_06730
ERR1913257.257949__1.257949	39488__A0A173SK21__EUBHAL_00799
ERR1913257.257997__1.257997	187327__G4Q682__Acin_1672
ERR1913257.258066__1.258066	1262992__R5CX54__BN795_00843
ERR1913257.258336__1.258336	1680__R5GZJ8__BSTER_1195
ERR1913257.258448__1.258448	267818__A0A0R1P9V4__B8W86_03395
ERR1913257.258604__1.258604	28117__B0MWH8__BHV66_01330
ERR1913257.258635__1.258635	239935__A0A139TVJ4__CXT86_02020
ERR1913257.258650__1.258650	1897011__A0A1Q6RGA1__BHW41_02610
ERR1913257.258689__1.258689	40520__A0A174IJ62__DXC87_06795
ERR1913257.259144__1.259144	39488__A0A173T8Z7__hemZ_2
ERR1913257.259137__1.259137	1262911__R6H2J2__BN557_01228
ERR1913257.259225__1.259225	1150298__A0A174QNY9__ERS852498_01028
ERR1913257.259342__1.259342	39488__A0A374MV67__DXD91_15895
ERR1913257.259469__1.259469	1393034__GCA_001552785.1_00510
ERR1913257.259558__1.259558	246787__A0A0P0FTH5__HMPREF1062_06328
ERR1913257.259775__1.259775	35518__W2C1X3__HMPREF0378_0312
ERR1913257.259781__1.259781	28025__D3R3F9__BLC1_0248
ERR1913257.259798__1.259798	40518__R5DY98__mepA_5
ERR1913257.259825__1.259825	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913257.259838__1.259838	2173__A0A1D2WY02__BK798_00680
ERR1913257.259900__1.259900	1262736__R5YX38__BN496_01145
ERR1913257.259965__1.259965	1680__A0A3E4SB79__BAD_1517
ERR1913257.260226__1.260226	1262924__R7HLJ5__BN585_01491
ERR1913257.260513__1.260513	40520__A0A174QAE1__DXB81_16880
ERR1913257.260529__1.260529	40520__R7D6X4__addA
ERR1913257.260700__1.260700	216816__A0A2U0BLP0__tsaB
ERR1913257.260706__1.260706	39485__C4Z434__tilS
ERR1913257.260808__1.260808	1263107__GCA_000436995.1_00208
ERR1913257.260829__1.260829	39492__D4JVZ6__truB
ERR1913257.260873__1.260873	39488__A0A173V5H8__appA
ERR1913257.261012__1.261012	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913257.261014__1.261014	626929__F3PHB7__HMPREF9445_01465
ERR1913257.261089__1.261089	39491__A0A395UXH0__EUBREC_0021
ERR1913257.261232__1.261232	1262848__R6UMZ1__BN818_01403
ERR1913257.261238__1.261238	39491__A0A395ZHW9__DXC13_02590
ERR1913257.261393__1.261393	1263109__GCA_000438135.1_01430
ERR1913257.261512__1.261512	2741__A0A1G6VDZ7__SAMN04489866_1048
ERR1913257.261630__1.261630	216816__D6DBD5__DXC32_04335
ERR1913257.261712__1.261712	239935__A0A2N8IG27__CXT85_07805
ERR1913257.261774__1.261774	1262736__R5YDB1__BN496_00650
ERR1913257.261932__1.261932	39488__R6GBC5__DXD91_06450
ERR1913257.262066__1.262066	184870__A0A134BI98__lacI4
ERR1913257.262159__1.262159	239935__A0A2N8HB50__CXU17_02615
ERR1913257.262317__1.262317	745368__A0A1T4YA51__SAMN02745178_02876
ERR1913257.262401__1.262401	184870__A0A2I1YCC8__Q618_VCMC00002G0009
ERR1913257.262510__1.262510	1262911__R6H174__BN557_01246
ERR1913257.262537__1.262537	649756__A0A173UBD8__ytpA
ERR1913257.262836__1.262836	267818__A0A0R1PKW5__WANG_1682
ERR1913257.262960__1.262960	46228__V8CE24__thiD
ERR1913257.263015__1.263015	239935__A0A3F3K9J9__DEF40_00940
ERR1913257.263103__1.263103	28025__D3R6V5__BLC1_1405
ERR1913257.263277__1.263277	384638__B7AT14__BACPEC_01282
ERR1913257.263422__1.263422	2173__A0A1D2WST6__METSMIALI_00213
ERR1913257.263828__1.263828	820__A0A3E4IGA7__DXD40_07110
ERR1913257.263929__1.263929	45851__R5LL35__BUTYVIB_01928
ERR1913257.264152__1.264152	1262848__R6UNC8__BN818_01440
ERR1913257.264206__1.264206	239935__A0A2N8IU45__DEF40_02365
ERR1913257.264386__1.264386	46228__V8BMA2__DXD17_11785
ERR1913257.264565__1.264565	1262911__R6HHR1__BN557_01622
ERR1913257.264575__1.264575	301301__A0A395V8J8__RHOM_11280
ERR1913257.264754__1.264754	1263107__GCA_000436995.1_00082
ERR1913257.264876__1.264876	1263107__GCA_000436995.1_00004
ERR1913257.264914__1.264914	39485__A0A174ZLN0__EUBELI_00120
ERR1913257.264979__1.264979	45851__D4RYS4__BHV86_05460
ERR1913257.265057__1.265057	301301__G2SZ82__RHOM_00970
ERR1913257.265128__1.265128	1897011__A0A1Q6RHX0__BHW41_00740
ERR1913257.265229__1.265229	239935__A0A2N8I8X8__B5G29_00185
ERR1913257.265420__1.265420	1263107__GCA_000436995.1_00230
ERR1913257.265626__1.265626	46503__R6X0L4__DXB61_05325
ERR1913257.265866__1.265866	1550024__G9RNN4__ASJ35_08335
ERR1913257.265884__1.265884	820__A0A174CG08__DXB62_13215
ERR1913257.265937__1.265937	357276__A0A076INK2__BSEG_04225
ERR1913257.266016__1.266016	357276__I9QWN0__ABI39_00335
ERR1913257.266055__1.266055	45851__D4RX43__BUTYVIB_00394
ERR1913257.266185__1.266185	216816__A0A0A1GS44__BBG7_0558
ERR1913257.266222__1.266222	33043__A8SPT5__yfiN_2
ERR1913257.266233__1.266233	1550024__A0A0D8J1Q0__ASJ35_04495
ERR1913257.266346__1.266346	214856__R5UN64__ERS852447_02669
ERR1913257.266316__1.266316	1550024__G9RZG0__ASJ35_05540
ERR1913257.266431__1.266431	74426__rpoB
ERR1913257.266710__1.266710	1263006__R6LRF6__BN515_00540
ERR1913257.266795__1.266795	1897011__A0A1Q6RCL1__BHW41_06190
ERR1913257.266843__1.266843	1680__A0A087DHN0__AL0462_1532
ERR1913257.267187__1.267187	28117__B0MU76__ALIPUT_00202
ERR1913257.267237__1.267237	1680__A0A173Y6N7__yhaH
ERR1913257.267224__1.267224	649756__A0A173SZT9__ptsG_1
ERR1913257.267267__1.267267	45851__D4RY81__BUTYVIB_00786
ERR1913257.267368__1.267368	39491__A0A396FJV5__ERS852417_00035
ERR1913257.267477__1.267477	1965650__A0A1Y3VA28__B5G16_11230
ERR1913257.267819__1.267819	39491__A0A395ZG74__licR
ERR1913257.268035__1.268035	40518__R5DZC6__mreC
ERR1913257.268051__1.268051	458033__GCA_001482755.1_02203
ERR1913257.268118__1.268118	821__A0A0P0LNX8__ERS852509_03015
ERR1913257.268377__1.268377	1262848__R6U092__BN818_00195
ERR1913257.268392__1.268392	2173__R7PTP8__METSMIF1_02137
ERR1913257.268593__1.268593	239935__A0A2N8HB50__CXU17_02615
ERR1913257.268762__1.268762	45851__D4RWC6__BHV86_07010
ERR1913257.268869__1.268869	1263107__GCA_000436995.1_00065
ERR1913257.268897__1.268897	1263006__R6LPZ5__BN515_02090
ERR1913257.268929__1.268929	384638__B7AT14__BACPEC_01282
ERR1913257.268950__1.268950	239935__A0A2N8HS88__CXU19_12255
ERR1913257.269011__1.269011	39488__A0A173RU01__EUBHAL_00881
ERR1913257.269020__1.269020	2173__A5ULL1__Msm_0884
ERR1913257.269040__1.269040	820__A0A139KG04__ERS852459_01249
ERR1913257.269373__1.269373	1680__A0A076JM61__DXD63_05245
ERR1913257.269629__1.269629	39492__D4JRV7__EUBSIR_01513
ERR1913257.269880__1.269880	39491__A0A395UZ82__EUR_31520
ERR1913257.270022__1.270022	853__A8SB03__C4Q21_07960
ERR1913257.270032__1.270032	46228__V8C7P7__HMPREF1202_01523
ERR1913257.270038__1.270038	28117__B0MVL5__BHV66_01660
ERR1913257.270085__1.270085	328813__A0A1Y3QRL5__B5G41_11625
ERR1913257.270198__1.270198	1150298__A0A174N5I7__ERS852498_01953
ERR1913257.270207__1.270207	39491__A0A396FFW0__ERE_10580
ERR1913257.270223__1.270223	39488__A0A174JE42__ERS852450_02774
ERR1913257.270377__1.270377	1262848__R6VB39__BN818_00852
ERR1913257.270776__1.270776	1680__A0A374QDL4__LMG18897_0432
ERR1913257.270797__1.270797	39488__A0A285PT56__ERS852450_02640
ERR1913257.271015__1.271015	45851__R5LYV2__BHV86_00590
ERR1913257.271058__1.271058	1550024__G9RWP9__TQ39_04320
ERR1913257.271350__1.271350	1680__A7A7Z9__AAX71_05385
ERR1913257.271356__1.271356	39491__A0A395ZBW8__DXC13_08840
ERR1913257.271503__1.271503	1262783__R6D1Z2__BN558_00296
ERR1913257.271972__1.271972	1680__A0A374QDL4__LMG18897_0432
ERR1913257.272046__1.272046	357276__I9FGI3__EL88_12385
ERR1913257.272140__1.272140	40518__R5E6N4__DXD93_01325
ERR1913257.272251__1.272251	818__A0A174RFL1__ERS852511_03380
ERR1913257.272305__1.272305	74426__pflB_2
ERR1913257.272403__1.272403	418240__A0A173XCL4__ERS852523_02725
ERR1913257.272775__1.272775	1262848__R6UA76__BN818_01720
ERR1913257.272893__1.272893	458033__GCA_001482755.1_02203
ERR1913257.272894__1.272894	458033__GCA_001482755.1_02203
ERR1913257.273030__1.273030	301301__A0A395V8E1__RHOM_11160
ERR1913257.273052__1.273052	74426__rpoB
ERR1913257.273077__1.273077	1150298__A0A174KML4__hisK
ERR1913257.273150__1.273150	301301__G2SZL1__ERS852391_00584
ERR1913257.273242__1.273242	1262886__R6RGE0__BN563_00157
ERR1913257.273516__1.273516	626940__E8LFN2__DCQ00_04835
ERR1913257.273611__1.273611	39491__R6TNE7__T1815_09811
ERR1913257.273691__1.273691	116085__D4JAK3__DW747_10755
ERR1913257.273670__1.273670	1262924__R7HTA4__BN585_00391
ERR1913257.273673__1.273673	88431__R7FUI2__ERS852423_02700
ERR1913257.273767__1.273767	820__A0A078S4C2__ERS417307_00828
ERR1913257.273850__1.273850	626929__F3PLU7__HMPREF9445_02842
ERR1913257.273956__1.273956	1897011__A0A1Q6RFA6__BHW41_03080
ERR1913257.274225__1.274225	239935__A0A2N8IHY1__CXU06_00035
ERR1913257.274229__1.274229	820__A0A139K4T0__ERS852510_03146
ERR1913257.274251__1.274251	88431__A6BGH9__ERS852408_02691
ERR1913257.274427__1.274427	820__A0A374Q351__DXD40_05850
ERR1913257.274577__1.274577	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913257.274542__1.274542	216816__A0A133L1E2__ptsP
ERR1913257.274617__1.274617	39491__A0A173U130__ERE_16110
ERR1913257.275120__1.275120	1262848__R6UEX2__BN818_00035
ERR1913257.275148__1.275148	239935__A0A3F3K985__CXT98_05805
ERR1913257.275220__1.275220	45851__D4RXA4__BUTYVIB_00455
ERR1913257.275329__1.275329	1197717__A0A1B2I4N9__BED41_07495
ERR1913257.275445__1.275445	239935__A0A2N8IRW0__A4V05_11620
ERR1913257.275470__1.275470	823__E1YR62__HMPREF1059_02331
ERR1913257.275533__1.275533	2173__A0A1D2WWE0__METSMIF1_03349
ERR1913257.275607__1.275607	820__A0A174TRB5__DXD40_11305
ERR1913257.275727__1.275727	39488__A0A173TAA3__EUBHAL_03220
ERR1913257.275864__1.275864	61171__B9Y5T9__HOLDEFILI_01171
ERR1913257.275874__1.275874	1262736__R5YI45__BN496_00967
ERR1913257.275896__1.275896	216816__D6ZW33__azlC
ERR1913257.275923__1.275923	301302__A0A0M6WI31__znuC_2
ERR1913257.276191__1.276191	1579__A0A3A9XVR7__DBQ07_08950
ERR1913257.276469__1.276469	1262882__R5N4D8__BN519_01497
ERR1913257.276589__1.276589	1262848__R6U2B6__BN818_00428
ERR1913257.276625__1.276625	357276__B6W5Q9__HMPREF1063_03125
ERR1913257.276820__1.276820	853__A0A173YYY4__DWZ04_09420
ERR1913257.276874__1.276874	40518__R5DNY7__RBATCC27255_00367
