ERR1913202.101__1.101	239935__A0A2N8HBP0__CXT94_04450
ERR1913202.225818__1.225818	214856__I3YPP9__Alfi_2707
ERR1913202.225875__1.225875	239935__A0A139TQT9__Amuc_1197
ERR1913202.225931__1.225931	471189__GCA_003340385.1_00024
ERR1913202.225953__1.225953	1501391__GCA_000786575.1_00073
ERR1913202.226238__1.226238	39492__D4JTF2__mutS2
ERR1913202.226303__1.226303	820__A0A1T4IY80__ERS852554_01621
ERR1913202.226399__1.226399	1501391__GCA_000786575.1_00123
ERR1913202.226481__1.226481	328814__GCA_004558275.1_00995
ERR1913202.226580__1.226580	214856__I3YPR6__Alfi_2724
ERR1913202.226547__1.226547	487174__K0WV96__HMPREF9448_01901
ERR1913202.226560__1.226560	214856__I3YPP3__Alfi_2701
ERR1913202.226658__1.226658	214856__I3YPP9__Alfi_2707
ERR1913202.226735__1.226735	1262882__R5MIQ8__BN519_01036
ERR1913202.226696__1.226696	649756__D4MX84__ERS852520_02352
ERR1913202.227138__1.227138	214856__A0A174ZLW6__ERS852559_01424
ERR1913202.227212__1.227212	28118__R6FI57__DF785_14020
ERR1913202.227265__1.227265	214856__I3YMN6__Alfi_1938
ERR1913202.227430__1.227430	239935__A0A2N8HB50__CXU17_02615
ERR1913202.227433__1.227433	33039__A0A173VTT4__frdB_1
ERR1913202.227475__1.227475	214856__A0A174EJT5__mnmA
ERR1913202.227551__1.227551	1150298__A0A174QZ74__ERS852406_01102
ERR1913202.228017__1.228017	239935__A0A2N8I3G2__CXT89_00720
ERR1913202.228098__1.228098	1262882__R5N089__BN519_00546
ERR1913202.228128__1.228128	214856__A0A173YXX1__ERS852559_01651
ERR1913202.228322__1.228322	214856__I3YMN6__Alfi_1938
ERR1913202.228330__1.228330	214856__A0A174AYS4__ERS852447_01192
ERR1913202.228399__1.228399	214856__I3YPR6__Alfi_2724
ERR1913202.228456__1.228456	214856__R6XKT4__ERS852559_01719
ERR1913202.228633__1.228633	214856__A0A174C683__ERS852559_00523
ERR1913202.228578__1.228578	239935__A0A2N8I1R3__CXU05_06075
ERR1913202.228810__1.228810	214856__R5UN64__ERS852447_02669
ERR1913202.228936__1.228936	214856__I3YPQ0__ERS852447_01379
ERR1913202.229087__1.229087	1262882__R5MEM1__BN519_00313
ERR1913202.229126__1.229126	47678__R5UU99__C5Z00_11925
ERR1913202.229203__1.229203	47678__A5ZI88__BACCAC_02617
ERR1913202.229164__1.229164	1262882__R5N3T7__BN519_01188
ERR1913202.229282__1.229282	239935__A0A2N8IRW0__A4V05_11620
ERR1913202.229327__1.229327	1262882__R5N0M6__BN519_00794
ERR1913202.229513__1.229513	1262882__R5MHZ2__BN519_00742
ERR1913202.229523__1.229523	214856__A0A174EQR4__rsmA
ERR1913202.229584__1.229584	214856__I3YPP0__ERS852447_01388
ERR1913202.229592__1.229592	214856__R6Y2Y4__ERS852447_01086
ERR1913202.229643__1.229643	39492__D4JRM9__bglB_2
ERR1913202.229797__1.229797	39491__A0A395ZDC6__addB
ERR1913202.229929__1.229929	214856__R6Y7P0__ERS852447_00307
ERR1913202.230163__1.230163	214856__A0A173YXX1__ERS852559_01651
ERR1913202.230192__1.230192	47678__A5ZL09__BACCAC_03608
ERR1913202.230241__1.230241	1262911__R6H0S8__BN557_01079
ERR1913202.230263__1.230263	1965604__A0A1Y4EXM5__B5F54_15370
ERR1913202.230289__1.230289	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913202.230290__1.230290	214856__R6XKT4__ERS852559_01719
ERR1913202.230358__1.230358	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913202.230336__1.230336	214856__I3YPQ4__Alfi_2712
ERR1913202.230456__1.230456	1501391__GCA_000786575.1_00071
ERR1913202.230501__1.230501	28118__R6F0X5__NCTC10826_02952
ERR1913202.230557__1.230557	214856__R6Z186__ERS852447_00718
ERR1913202.230639__1.230639	214856__R6XS46__ERS852559_00812
ERR1913202.230647__1.230647	1150298__A0A174J629__ERS852498_00833
ERR1913202.230894__1.230894	214856__I3YPI7__pepD_1
ERR1913202.230907__1.230907	1262911__R6GN99__BN557_01784
ERR1913202.231569__1.231569	487174__K0X694__DIT83_09060
ERR1913202.231629__1.231629	239935__R6JFR5__CXT84_04850
ERR1913202.231656__1.231656	487174__R5F3K6__DDY40_04230
ERR1913202.231809__1.231809	1262882__R5MYI1__BN519_00416
ERR1913202.231903__1.231903	328814__GCA_004558275.1_02278
ERR1913202.231935__1.231935	1965604__A0A1Y4EWF0__B5F54_02430
ERR1913202.231988__1.231988	410072__A0A173YNZ0__ERS852481_00766
ERR1913202.232103__1.232103	214856__R6XS46__ERS852559_00812
ERR1913202.232341__1.232341	1262882__R5MYP8__BN519_00439
ERR1913202.232446__1.232446	487174__R5EXS5__HMPREF9448_02541
ERR1913202.232547__1.232547	239935__A0A2N8I8X8__B5G29_00185
ERR1913202.232669__1.232669	1150298__A0A173X9I5__ERS852498_01823
ERR1913202.232694__1.232694	214856__A0A174CRY5__ERS852559_01060
ERR1913202.232790__1.232790	214856__I3YPN3__ERS852447_01395
ERR1913202.232798__1.232798	1262882__R5MEK3__BN519_00296
ERR1913202.232855__1.232855	1501391__GCA_000786575.1_00112
ERR1913202.233055__1.233055	1262882__R5MIW5__BN519_00945
ERR1913202.233032__1.233032	214856__I3YMC8__ERS852447_02666
ERR1913202.233043__1.233043	1262882__R5MIW5__BN519_00945
ERR1913202.233098__1.233098	47678__R5UTU5__CGC64_07175
ERR1913202.233198__1.233198	214856__R6YD52__ERS852447_02171
ERR1913202.233300__1.233300	214856__I3YPP0__ERS852447_01388
ERR1913202.233372__1.233372	291645__I8WZT8__HMPREF1068_04327
ERR1913202.233633__1.233633	239935__A0A2N8HPX2__CXT90_09930
ERR1913202.233677__1.233677	214856__R5UN64__ERS852447_02669
ERR1913202.233681__1.233681	214856__A0A174EJT5__mnmA
ERR1913202.233809__1.233809	214856__I3YPQ4__Alfi_2712
ERR1913202.233978__1.233978	1262746__R5SN04__BN750_02419
ERR1913202.234463__1.234463	214856__R6Y2Y4__ERS852447_01086
ERR1913202.234548__1.234548	1628085__A0A2U1B8P2__C7386_11431
ERR1913202.234826__1.234826	214856__R6Z288__ERS852447_00734
ERR1913202.234892__1.234892	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913202.234952__1.234952	853__A0A2A7B1Y7__C7K05_11930
ERR1913202.235129__1.235129	47678__R5UU99__C5Z00_11925
ERR1913202.235287__1.235287	214856__R6Z590__ERS852447_01059
ERR1913202.235326__1.235326	1262911__R6GZX7__BN557_00838
ERR1913202.235305__1.235305	214856__R6XKW1__ERS852559_01141
ERR1913202.235359__1.235359	214856__R5UN64__ERS852447_02669
ERR1913202.235393__1.235393	1304__J7TUP0__CQA85_00410
ERR1913202.235490__1.235490	328814__GCA_004558275.1_02280
ERR1913202.235551__1.235551	239935__A0A2N8HPX2__CXT90_09930
ERR1913202.235620__1.235620	818__A0A174TXD9__C799_03229
ERR1913202.235976__1.235976	214856__R6XP73__ERS852447_00886
ERR1913202.235938__1.235938	214856__A0A174EJT5__mnmA
ERR1913202.235942__1.235942	1262882__R5MIY9__BN519_01097
ERR1913202.235951__1.235951	39496__A5Z5I2__EUBVEN_00963
ERR1913202.236108__1.236108	1897011__A0A1Q6RC19__BHW41_06415
ERR1913202.236200__1.236200	1262882__R5MY46__BN519_00355
ERR1913202.236212__1.236212	239935__A0A2N8IVR0__CXT87_07115
ERR1913202.236216__1.236216	214856__A0A175A6T5__ERS852447_02658
ERR1913202.236264__1.236264	214856__A0A174AYS4__ERS852447_01192
ERR1913202.236517__1.236517	214856__R6YD52__ERS852447_02171
ERR1913202.236697__1.236697	487174__R5F5Z4__DIT83_00635
ERR1913202.236724__1.236724	28118__R6FJE6__NCTC10826_00111
ERR1913202.236875__1.236875	214856__A0A174FSW2__ERS852447_02420
ERR1913202.236908__1.236908	47678__A5ZEA3__ERS852558_00257
ERR1913202.237152__1.237152	214856__I3YPP9__Alfi_2707
ERR1913202.237177__1.237177	214856__R6XQX8__ERS852559_02550
ERR1913202.237205__1.237205	853__A0A173XRA8__CGS56_09290
ERR1913202.237218__1.237218	1965576__A0A1Y4LDS9__B5F19_10680
ERR1913202.237303__1.237303	552398__F4XAJ9__HMPREF0866_00317
ERR1913202.237347__1.237347	1501391__GCA_000786575.1_00127
ERR1913202.237502__1.237502	214856__A0A174EJT5__mnmA
ERR1913202.237769__1.237769	239935__A0A2N8IL82__CXU02_11740
ERR1913202.237927__1.237927	214856__I3YPP9__Alfi_2707
ERR1913202.237935__1.237935	487174__K0XLH2__HMPREF9448_01152
ERR1913202.238113__1.238113	239935__A0A2N8HT44__CXT84_11035
ERR1913202.238454__1.238454	214856__A0A173W3Y5__ERS852559_02032
ERR1913202.238649__1.238649	214856__A0A175A6T5__ERS852447_02658
ERR1913202.238710__1.238710	1262911__R6H1A6__BN557_01286
ERR1913202.238771__1.238771	214856__I3YPQ3__Alfi_2711
ERR1913202.238798__1.238798	1262882__R5MZ41__BN519_00356
ERR1913202.238858__1.238858	1262911__R6H174__BN557_01246
ERR1913202.238887__1.238887	214856__I3YPP0__ERS852447_01388
ERR1913202.238930__1.238930	487174__K0WX10__DIT83_10030
ERR1913202.239066__1.239066	214856__A0A174ZEW0__ERS852447_00985
ERR1913202.239142__1.239142	418240__A0A174VMW5__ERS852478_01082
ERR1913202.239193__1.239193	487174__K0X3A6__HMPREF9448_02725
ERR1913202.239324__1.239324	1235835__R9LCU2__C814_02677
ERR1913202.239361__1.239361	214856__I3YPQ9__ERS852447_01370
ERR1913202.239592__1.239592	214856__R6XQX8__ERS852559_02550
ERR1913202.239663__1.239663	1262882__R5MHA1__BN519_00763
ERR1913202.239686__1.239686	239935__A0A139TM51__CXT91_12120
ERR1913202.239899__1.239899	216816__E8MVM4__APC1480_1562
ERR1913202.239971__1.239971	1897011__A0A1Q6RGZ3__BHW41_01455
ERR1913202.240058__1.240058	1262882__R5N1R4__BN519_00788
ERR1913202.240088__1.240088	853__A0A174BZY1__xerD_1
ERR1913202.240091__1.240091	214856__A0A174AYS4__ERS852447_01192
ERR1913202.240210__1.240210	1262882__R5MGX3__BN519_00046
ERR1913202.240312__1.240312	301302__R5UNJ6__M72_26701
ERR1913202.240351__1.240351	1235835__R9LCU2__C814_02677
ERR1913202.240419__1.240419	214856__I3YPN0__ERS852447_01398
ERR1913202.240522__1.240522	47678__R5UES3__CGC64_00760
ERR1913202.240621__1.240621	328813__A0A1Y3QQ66__B5G41_14240
ERR1913202.240682__1.240682	487174__K0X4F7__DDY40_08055
ERR1913202.240692__1.240692	239935__A0A2N8IUW6__Amuc_1525
ERR1913202.240743__1.240743	821__A0A0P0LH09__ERS852457_03390
ERR1913202.240775__1.240775	487174__K0XKB7__DDY40_03475
ERR1913202.240911__1.240911	47678__R5U3U1__BACCAC_03593
ERR1913202.241103__1.241103	1262882__R5MKU7__BN519_01276
ERR1913202.241166__1.241166	1262882__R5N4P6__BN519_01346
ERR1913202.241214__1.241214	1262882__R5N004__BN519_00490
ERR1913202.241295__1.241295	214856__A0A174CRY5__ERS852559_01060
ERR1913202.241365__1.241365	1262911__R6HMT5__BN557_00797
ERR1913202.241450__1.241450	214856__A0A175A1F5__ERS852559_01764
ERR1913202.241631__1.241631	214856__R5UN64__ERS852447_02669
ERR1913202.241854__1.241854	1965604__A0A1Y4ERY7__B5F54_09320
ERR1913202.242115__1.242115	649756__L1PXG6__CL2_21620
ERR1913202.242286__1.242286	239935__R7DVL7__CXT93_01180
ERR1913202.242332__1.242332	1262882__R5MYP8__BN519_00439
ERR1913202.242592__1.242592	214856__R6Y7P0__ERS852447_00307
ERR1913202.242845__1.242845	214856__A0A174ZZS1__ERS852559_01484
ERR1913202.242945__1.242945	33025__A0A395J973__C8D73_11010
ERR1913202.242948__1.242948	1897011__A0A1Q6RE67__BHW41_04635
ERR1913202.243006__1.243006	821__A0A395VIK7__BVU_1225
ERR1913202.243014__1.243014	214856__A0A173ZZ16__umuC_2
ERR1913202.243056__1.243056	1160721__R6U5L6__RBI_I01802
ERR1913202.243047__1.243047	47678__R5UXY0__CGC64_03535
ERR1913202.243156__1.243156	1150298__A0A174Q3G7__hyaD_2
ERR1913202.243229__1.243229	39492__D4JQL8__ywpJ
ERR1913202.243293__1.243293	487174__K0XL35__DDY40_11955
ERR1913202.243412__1.243412	487174__K0X3A6__HMPREF9448_02725
ERR1913202.243460__1.243460	214856__A0A174EJT5__mnmA
ERR1913202.243749__1.243749	214856__R6XQX8__ERS852559_02550
ERR1913202.243691__1.243691	214856__A0A173YXX1__ERS852559_01651
ERR1913202.243910__1.243910	487174__R5FN40__HMPREF9448_01366
ERR1913202.244008__1.244008	214856__I3YPP0__ERS852447_01388
ERR1913202.244049__1.244049	1262882__R5MIY9__BN519_01097
ERR1913202.244073__1.244073	214856__R6XQX8__ERS852559_02550
ERR1913202.244295__1.244295	1262882__R5MND9__BN519_00831
ERR1913202.244481__1.244481	1262882__R5MM69__BN519_00075
ERR1913202.244682__1.244682	239935__A0A2N8I368__CXT95_04550
ERR1913202.244690__1.244690	214856__R6XS02__ERS852447_01685
ERR1913202.244956__1.244956	39492__D4JWI6__EUBSIR_01073
ERR1913202.245007__1.245007	328814__GCA_004558275.1_00056
ERR1913202.245035__1.245035	214856__A0A173YDP1__ERS852559_00120
ERR1913202.245203__1.245203	818__A0A174SHK6__ERS852511_01161
ERR1913202.245333__1.245333	214856__I3YPN3__ERS852447_01395
ERR1913202.245582__1.245582	853__A0A173XRA8__CGS56_09290
ERR1913202.245640__1.245640	214856__R6XS46__ERS852559_00812
ERR1913202.245690__1.245690	1262911__R6GLA5__BN557_01456
ERR1913202.245920__1.245920	1501391__GCA_000786575.1_00132
ERR1913202.245965__1.245965	214856__R6YC22__ERS852447_01215
ERR1913202.246026__1.246026	1262882__R5MIW5__BN519_00945
ERR1913202.246109__1.246109	214856__A0A175A6T5__ERS852447_02658
ERR1913202.246196__1.246196	214856__A0A174ZLW6__ERS852559_01424
ERR1913202.246228__1.246228	487174__K0X347__DIT83_07775
ERR1913202.246290__1.246290	214856__R6Y8K1__ERS852447_02509
ERR1913202.246328__1.246328	328813__A0A1Y3QQ66__B5G41_14240
ERR1913202.246495__1.246495	1262882__R5MEW7__BN519_00010
ERR1913202.246462__1.246462	1235835__R9LCU2__C814_02677
ERR1913202.246543__1.246543	1501391__GCA_000786575.1_00082
ERR1913202.246557__1.246557	214856__R5UN64__ERS852447_02669
ERR1913202.246565__1.246565	47678__R5U3V5__DW706_14455
ERR1913202.246588__1.246588	214856__I3YMN6__Alfi_1938
ERR1913202.246600__1.246600	214856__R6Y7P0__ERS852447_00307
ERR1913202.246792__1.246792	214856__R6XTZ7__ERS852447_02314
ERR1913202.246811__1.246811	214856__I3YK71__ERS852559_02472
ERR1913202.246947__1.246947	214856__R5UN64__ERS852447_02669
ERR1913202.247035__1.247035	1262882__R5MJJ3__BN519_01027
ERR1913202.247036__1.247036	214856__I3YPP0__ERS852447_01388
ERR1913202.247182__1.247182	214856__R6YD52__ERS852447_02171
ERR1913202.247272__1.247272	1262911__R6GMS3__BN557_00579
ERR1913202.247276__1.247276	1512__U2C7Q0__HMPREF9475_01692
ERR1913202.247277__1.247277	214856__A0A174EJT5__mnmA
ERR1913202.247511__1.247511	239935__A0A2N8IRW0__A4V05_11620
ERR1913202.247547__1.247547	1501391__GCA_000786575.1_00076
ERR1913202.247576__1.247576	214856__R6XUN2__rcsC_1
ERR1913202.247672__1.247672	1160721__R6SUP4__vanY3
ERR1913202.247722__1.247722	214856__R5UN64__ERS852447_02669
ERR1913202.247773__1.247773	214856__A0A173YXX1__ERS852559_01651
ERR1913202.247870__1.247870	214856__A0A174EJT5__mnmA
ERR1913202.247947__1.247947	1262911__R6GZW9__BN557_00833
ERR1913202.248072__1.248072	239935__A0A2N8IU45__DEF40_02365
ERR1913202.248126__1.248126	214856__R6XNE7__ERS852447_02267
ERR1913202.248131__1.248131	239935__A0A139TSG7__CXU17_09600
ERR1913202.248148__1.248148	1262882__R5N3T7__BN519_01188
ERR1913202.248117__1.248117	301302__A0A173T8V6__ERS852420_01966
ERR1913202.248119__1.248119	214856__R6XP73__ERS852447_00886
ERR1913202.248230__1.248230	214856__I3YPQ4__Alfi_2712
ERR1913202.248699__1.248699	39492__D4JRM9__bglB_2
ERR1913202.248773__1.248773	214856__R6XP73__ERS852447_00886
ERR1913202.249354__1.249354	39488__C0EX25__DXD91_11965
ERR1913202.249448__1.249448	214856__R6XKT4__ERS852559_01719
ERR1913202.249531__1.249531	239935__A0A2N8HEH9__CXU07_11710
ERR1913202.249593__1.249593	214856__I3YPP9__Alfi_2707
ERR1913202.249616__1.249616	214856__R6XNE7__ERS852447_02267
ERR1913202.249727__1.249727	328813__A0A1Y3QZ64__B5G41_14235
ERR1913202.249764__1.249764	214856__I3YMC8__ERS852447_02666
ERR1913202.249776__1.249776	214856__R6YD52__ERS852447_02171
ERR1913202.249783__1.249783	1965576__A0A1Y4L0B7__B5F19_15065
ERR1913202.249822__1.249822	239935__A0A2N8HB50__CXU17_02615
ERR1913202.249828__1.249828	214856__I3YPR6__Alfi_2724
ERR1913202.249910__1.249910	410072__A0A174IE93__DXD67_12120
ERR1913202.249967__1.249967	301302__A0A173UAS4__M72_15061
ERR1913202.249986__1.249986	1501391__GCA_000786575.1_00034
ERR1913202.250055__1.250055	214856__I3YPI7__pepD_1
ERR1913202.250231__1.250231	214856__A0A173YXX1__ERS852559_01651
ERR1913202.250234__1.250234	291645__I8WZT8__HMPREF1068_04327
ERR1913202.250270__1.250270	301302__R5UMB9__M72_25011
ERR1913202.250283__1.250283	1262882__R5N4F5__BN519_01266
ERR1913202.250287__1.250287	1262882__R5N4P6__BN519_01346
ERR1913202.250450__1.250450	1262911__R6GQM3__BN557_01245
ERR1913202.250659__1.250659	214856__D4IMT6__Alfi_1830
ERR1913202.251157__1.251157	47678__R5UER2__CGC64_00710
ERR1913202.251235__1.251235	1150298__A0A173W9F4__ERS852498_02567
ERR1913202.251357__1.251357	328814__GCA_004558275.1_00007
ERR1913202.251661__1.251661	214856__R6Z320__ERS852447_02148
ERR1913202.251677__1.251677	214856__I3YPQ3__Alfi_2711
ERR1913202.252061__1.252061	1501391__GCA_000786575.1_00068
ERR1913202.252071__1.252071	1262911__R6H2B5__BN557_01151
ERR1913202.252129__1.252129	214856__R6XKW1__ERS852559_01141
ERR1913202.252142__1.252142	47678__A5ZG68__ERS852494_02968
ERR1913202.252157__1.252157	1160721__R6T617__truA
ERR1913202.252182__1.252182	1262882__R5N532__BN519_01420
ERR1913202.252327__1.252327	239935__A0A2N8HHY4__DEF40_10850
ERR1913202.252335__1.252335	214856__R6Y2Y4__ERS852447_01086
ERR1913202.252367__1.252367	1262882__R5N4F5__BN519_01266
ERR1913202.252599__1.252599	1262882__R5MLA4__BN519_01536
ERR1913202.252613__1.252613	214856__I3YPP3__Alfi_2701
ERR1913202.252698__1.252698	1262882__R5MYX5__BN519_00333
ERR1913202.252706__1.252706	552398__F4XH38__HMPREF0866_02939
ERR1913202.252761__1.252761	818__Q8A3A6__Btheta7330_00071
ERR1913202.252914__1.252914	1262882__R5MGK3__BN519_00655
ERR1913202.253075__1.253075	487174__K0WUZ1__DIT83_10815
ERR1913202.253156__1.253156	239935__A0A2N8INK7__Amuc_0521
ERR1913202.253251__1.253251	28118__R6FBE6__DHW44_11635
ERR1913202.253336__1.253336	214856__I3YMN6__Alfi_1938
ERR1913202.253354__1.253354	214856__R6Z186__ERS852447_00718
ERR1913202.253391__1.253391	239935__R7DVW2__CXU02_03915
ERR1913202.253417__1.253417	487174__K0XDZ0__HMPREF9448_02863
ERR1913202.253636__1.253636	1262882__R5MF43__BN519_00282
ERR1913202.253781__1.253781	214856__R6Z590__ERS852447_01059
ERR1913202.253886__1.253886	818__Q8A5L9__BJP75_000955
ERR1913202.253998__1.253998	328814__GCA_004558275.1_01621
ERR1913202.254090__1.254090	239935__A0A139TPU7__CXT91_06575
ERR1913202.254184__1.254184	214856__R6Z5D0__resA_4
ERR1913202.254333__1.254333	1387353__GCA_001956985.1_02728
ERR1913202.254471__1.254471	1262882__R5MYS9__BN519_00290
ERR1913202.254451__1.254451	357276__A0A076IYE6__IY41_04275
ERR1913202.254672__1.254672	1965576__A0A1Y4L5L1__B5F19_13760
ERR1913202.254694__1.254694	487174__K0X591__DDY40_01805
ERR1913202.255218__1.255218	214856__I3YPP9__Alfi_2707
ERR1913202.255172__1.255172	301302__A0A0M6W9I4__M72_19871
ERR1913202.255350__1.255350	214856__R6Y2Y4__ERS852447_01086
ERR1913202.255519__1.255519	487174__K0X347__DIT83_07775
ERR1913202.255566__1.255566	47678__R5UT83__DW706_09750
ERR1913202.255612__1.255612	214856__I3YPQ4__Alfi_2712
ERR1913202.255621__1.255621	1501391__GCA_000786575.1_00025
ERR1913202.255758__1.255758	214856__R6YD52__ERS852447_02171
ERR1913202.255714__1.255714	214856__I3YPN0__ERS852447_01398
ERR1913202.255750__1.255750	214856__R5UN64__ERS852447_02669
ERR1913202.256050__1.256050	214856__R6Z5D0__resA_4
ERR1913202.256349__1.256349	214856__R6Z3P8__ERS852559_01737
ERR1913202.256388__1.256388	1204385__GCA_002148365.1_03409
ERR1913202.256425__1.256425	328814__GCA_004558275.1_00078
ERR1913202.256435__1.256435	214856__I3YMB7__Alfi_1811
ERR1913202.256700__1.256700	214856__R6Z288__ERS852447_00734
ERR1913202.256663__1.256663	214856__A0A174ZLW6__ERS852559_01424
ERR1913202.256729__1.256729	487174__K0X7X4__DIT83_09125
ERR1913202.256820__1.256820	214856__R6XNE7__ERS852447_02267
ERR1913202.256825__1.256825	1262882__R5N211__BN519_01033
ERR1913202.256859__1.256859	1262882__R5MLP5__BN519_01602
ERR1913202.257142__1.257142	214856__I3YMN6__Alfi_1938
ERR1913202.257198__1.257198	1262911__R6GKS1__BN557_00184
ERR1913202.257276__1.257276	214856__I3YK71__ERS852559_02472
ERR1913202.257363__1.257363	47678__R5UA23__C5Z00_15610
ERR1913202.257333__1.257333	214856__R6Y6H8__ERS852447_01719
ERR1913202.257463__1.257463	1501391__GCA_000786575.1_00057
ERR1913202.257568__1.257568	214856__R6XKW1__ERS852559_01141
ERR1913202.257635__1.257635	239935__A0A2N8HHY4__DEF40_10850
ERR1913202.257649__1.257649	487174__K0XER9__DDY40_08885
ERR1913202.257584__1.257584	1501391__GCA_000786575.1_00147
ERR1913202.257592__1.257592	1262882__R5MKW1__BN519_00390
ERR1913202.257598__1.257598	47678__A5ZEP4__DXB67_14045
ERR1913202.257696__1.257696	1262882__R5MEI8__BN519_00283
ERR1913202.257823__1.257823	1262882__R5N3H1__BN519_01121
ERR1913202.257965__1.257965	1150298__R7JPI7__cotI
ERR1913202.258191__1.258191	1262882__R5N3H1__BN519_01121
ERR1913202.258242__1.258242	239935__A0A139TPD4__CXT86_06450
ERR1913202.258255__1.258255	39492__D4JVG7__ERS852540_00946
ERR1913202.258308__1.258308	1501391__GCA_000786575.1_00073
ERR1913202.258311__1.258311	328814__GCA_004558275.1_00018
ERR1913202.258353__1.258353	39492__A0A174ZL16__EUBSIR_01269
ERR1913202.258421__1.258421	1262882__R5MKV8__BN519_01281
ERR1913202.258489__1.258489	214856__R6Z590__ERS852447_01059
ERR1913202.258510__1.258510	1262882__R5MRT2__BN519_01494
ERR1913202.258635__1.258635	487174__K0X3H8__HMPREF9448_02822
ERR1913202.258814__1.258814	214856__R6Y2Y4__ERS852447_01086
ERR1913202.258898__1.258898	1501391__GCA_000786575.1_00112
ERR1913202.259044__1.259044	1897011__A0A1Q6RGC4__BHW41_02800
ERR1913202.259201__1.259201	214856__R6XKW1__ERS852559_01141
ERR1913202.259223__1.259223	47678__R5U3A7__ERS852494_02965
ERR1913202.259230__1.259230	214856__R6XTZ7__ERS852447_02314
ERR1913202.259438__1.259438	214856__I3YPQ6__Alfi_2714
ERR1913202.259451__1.259451	1262882__R5MRS7__BN519_01490
ERR1913202.259456__1.259456	1262882__R5N4F5__BN519_01266
ERR1913202.259489__1.259489	214856__R6XP73__ERS852447_00886
ERR1913202.259555__1.259555	47678__R5UU99__C5Z00_11925
ERR1913202.259775__1.259775	214856__R6XUN2__rcsC_1
ERR1913202.259866__1.259866	649756__D4MX84__ERS852520_02352
ERR1913202.259825__1.259825	214856__R6XKW1__ERS852559_01141
ERR1913202.259931__1.259931	214856__R6Y6H8__ERS852447_01719
ERR1913202.260031__1.260031	214856__R6Y2Y4__ERS852447_01086
ERR1913202.260063__1.260063	1262882__R5MQ68__BN519_01178
ERR1913202.260226__1.260226	357276__I9QBT7__BSEG_03340
ERR1913202.260386__1.260386	1262882__R5MLA4__BN519_01536
ERR1913202.260610__1.260610	214856__I3YMN6__Alfi_1938
ERR1913202.260765__1.260765	1262882__R5MM10__BN519_01679
ERR1913202.261052__1.261052	301302__A0A173S3L8__vpr
ERR1913202.261236__1.261236	1262882__R5MM96__BN519_01545
ERR1913202.261269__1.261269	1262882__R5MYX5__BN519_00333
ERR1913202.261273__1.261273	214856__R6Z5D0__resA_4
ERR1913202.261348__1.261348	214856__I3YMC8__ERS852447_02666
ERR1913202.261394__1.261394	1262911__R6H2J2__BN557_01228
ERR1913202.261487__1.261487	214856__R6Z5D0__resA_4
ERR1913202.261615__1.261615	214856__I3YPP9__Alfi_2707
ERR1913202.261657__1.261657	301302__A0A0M6WBZ5__spr
ERR1913202.261754__1.261754	214856__R6Y2Y4__ERS852447_01086
ERR1913202.261800__1.261800	239935__R7E524__CXT91_06180
ERR1913202.261891__1.261891	214856__A0A174CRY5__ERS852559_01060
ERR1913202.262014__1.262014	214856__R6YD52__ERS852447_02171
ERR1913202.262036__1.262036	1262882__R5MEI8__BN519_00283
ERR1913202.262194__1.262194	487174__K0X347__DIT83_07775
ERR1913202.262247__1.262247	487174__R5EUJ8__DDY40_00460
ERR1913202.262286__1.262286	1628085__A0A2U1BH26__C7386_101229
ERR1913202.262417__1.262417	301302__R5UMU6__M72_26821
ERR1913202.262486__1.262486	1262882__R5MKL9__BN519_00353
ERR1913202.262551__1.262551	214856__I3YPP9__Alfi_2707
ERR1913202.262568__1.262568	1262989__R6YDD0__BN815_01114
ERR1913202.262589__1.262589	214856__R6Y9P5__ERS852559_01811
ERR1913202.262617__1.262617	214856__A0A174CRY5__ERS852559_01060
ERR1913202.262653__1.262653	214856__R6XKW1__ERS852559_01141
ERR1913202.262813__1.262813	1262882__R5N587__BN519_01643
ERR1913202.262881__1.262881	216816__C5E9A6__mutT4
ERR1913202.262904__1.262904	214856__I3YPQ0__ERS852447_01379
ERR1913202.262944__1.262944	214856__R5UN64__ERS852447_02669
ERR1913202.263038__1.263038	214856__A0A173YDP1__ERS852559_00120
ERR1913202.263189__1.263189	1262882__R5N3H1__BN519_01121
ERR1913202.263240__1.263240	214856__R6XP73__ERS852447_00886
ERR1913202.263414__1.263414	1501391__GCA_000786575.1_00058
ERR1913202.263600__1.263600	39492__D4JTI2__ERS852540_00694
ERR1913202.263847__1.263847	39492__D4JT87__clpC
ERR1913202.263936__1.263936	47678__A5ZF31__DXB67_11050
ERR1913202.264013__1.264013	28118__R6FC74__DHW44_13330
ERR1913202.264043__1.264043	47678__R5UER2__CGC64_00710
ERR1913202.264183__1.264183	1501391__GCA_000786575.1_00057
ERR1913202.264185__1.264185	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913202.264289__1.264289	1501391__GCA_000786575.1_00052
ERR1913202.264419__1.264419	1965560__A0A1Y4RFR5__B5E82_15700
ERR1913202.264447__1.264447	328814__GCA_004558275.1_01621
ERR1913202.264489__1.264489	39492__D4JWX2__accB
ERR1913202.264582__1.264582	357276__B6W1J2__BACDOR_03380
