ERR1913073.257__1.257	1463165__A0A1D3KJ47__BME69_05190
ERR1913073.1513852__1.1513852	39491__C4Z9K7__EUBREC_0050
ERR1913073.1513895__1.1513895	39491__D6E4H2__DXB99_00485
ERR1913073.1513873__1.1513873	310298__B3JGJ2__BACCOP_00994
ERR1913073.1513920__1.1513920	40518__R5DU52__RB5AMG_02245
ERR1913073.1513998__1.1513998	328813__A0A1Y3QZD2__B5G41_09470
ERR1913073.1514071__1.1514071	28116__E5CHV5__B5F02_08530
ERR1913073.1514121__1.1514121	40518__R5DS17__RBATCC27255_00416
ERR1913073.1514230__1.1514230	905__D2RLV1__SAMN05216495_11033
ERR1913073.1514333__1.1514333	28117__B0MTI4__ALIPUT_00084
ERR1913073.1514366__1.1514366	39491__A0A395UZ89__DXB72_12805
ERR1913073.1514458__1.1514458	884684__GCA_002892425.1_01408
ERR1913073.1514427__1.1514427	853__A0A3E2U7E6__ERS852582_01640
ERR1913073.1514434__1.1514434	310298__B3JNG7__BACCOP_03480
ERR1913073.1514462__1.1514462	28118__F9ZAE1__DF785_04930
ERR1913073.1514515__1.1514515	39491__A0A0M6WWT1__dus_2
ERR1913073.1514842__1.1514842	39491__A0A396FNY7__LD38_16155
ERR1913073.1514907__1.1514907	39491__A0A173VH71__ERS852497_01827
ERR1913073.1514946__1.1514946	1150298__R7JVR8__ERS852498_01126
ERR1913073.1514987__1.1514987	40518__R5DS68__hcpC
ERR1913073.1515103__1.1515103	1263109__GCA_000438135.1_00481
ERR1913073.1515111__1.1515111	329854__R5MDN7__DXK01_06665
ERR1913073.1515202__1.1515202	1262992__R5D4Q1__BN795_00660
ERR1913073.1515204__1.1515204	1150298__A0A174QRU8__ERS852498_00962
ERR1913073.1515255__1.1515255	39491__A0A395ZF49__DXB69_05290
ERR1913073.1515332__1.1515332	552398__F4XCQ4__HMPREF0866_01621
ERR1913073.1515452__1.1515452	40519__U2MCQ8__RUMCAL_00556
ERR1913073.1515462__1.1515462	40518__R5DRG6__ylbJ
ERR1913073.1515482__1.1515482	39491__C4ZCV5__DXB99_11855
ERR1913073.1515499__1.1515499	853__C7H7F5__DWZ46_01780
ERR1913073.1515541__1.1515541	39491__A0A396FRK0__ERS852417_00541
ERR1913073.1515615__1.1515615	1628085__A0A374VTI5__C7386_11237
ERR1913073.1515746__1.1515746	1318__A0A380L8D7__HMPREF9626_0877
ERR1913073.1515848__1.1515848	1317__A0A380JC16__HMPREF9176_0866
ERR1913073.1515913__1.1515913	40518__R5DVL2__penA
ERR1913073.1515919__1.1515919	853__A0A2A7ATM9__DWZ89_13645
ERR1913073.1515946__1.1515946	1150298__A0A174BE63__ERS852406_01048
ERR1913073.1515961__1.1515961	1262783__R6D3E2__BN558_02024
ERR1913073.1516149__1.1516149	176090__A0A0A0DF29__SSIN_1565
ERR1913073.1516318__1.1516318	39491__A0A396FGM9__fliU_1
ERR1913073.1516363__1.1516363	1686__B6XTQ5__B5782_1168
ERR1913073.1516473__1.1516473	39491__C4ZF05__vpr
ERR1913073.1516534__1.1516534	820__A0A396EWL3__ERS417307_03868
ERR1913073.1516554__1.1516554	1150298__R7JV71__ERS852498_00755
ERR1913073.1516692__1.1516692	1263109__GCA_000438135.1_00186
ERR1913073.1516790__1.1516790	1263109__GCA_000438135.1_00186
ERR1913073.1516906__1.1516906	820__A0A139K8N1__ERS852554_00951
ERR1913073.1517002__1.1517002	1262687__R7M2M0__BN701_01519
ERR1913073.1517008__1.1517008	1550024__G9RVU1__TQ39_06560
ERR1913073.1517041__1.1517041	39491__A0A396FEV5__EUR_24750
ERR1913073.1517102__1.1517102	47678__R5U7T0__CGC64_00755
ERR1913073.1517172__1.1517172	310298__B3JLC6__BACCOP_02712
ERR1913073.1517210__1.1517210	39491__A0A173VH71__ERS852497_01827
ERR1913073.1517274__1.1517274	216816__B7GPE8__I118_0062
ERR1913073.1517389__1.1517389	1304__J7SI29__DL08_08910
ERR1913073.1517457__1.1517457	1150298__A0A174AP40__ERS852535_01165
ERR1913073.1517437__1.1517437	40518__R5E2F3__artQ
ERR1913073.1517446__1.1517446	39491__A0A174K265__DXB76_05915
ERR1913073.1517452__1.1517452	1150298__R7JUS5__soxS_1
ERR1913073.1517606__1.1517606	823__A0A174VHT1__DHP27_04775
ERR1913073.1517660__1.1517660	1680__A0A173Y6N7__yhaH
ERR1913073.1517667__1.1517667	39491__A0A396FRE7__EUR_27520
ERR1913073.1517736__1.1517736	487175__R5EIM6__HMPREF9439_00957
ERR1913073.1517726__1.1517726	39491__D6E118__DXB69_05765
ERR1913073.1517764__1.1517764	28118__F9Z751__DHW44_02965
ERR1913073.1517865__1.1517865	39491__A0A396FRK0__ERS852417_00541
ERR1913073.1517889__1.1517889	40518__R5DSI5__fieF
ERR1913073.1518144__1.1518144	39488__A0A173V5H8__appA
ERR1913073.1518151__1.1518151	853__A0A174BZY1__xerD_1
ERR1913073.1518174__1.1518174	39491__A0A396FMF1__EUR_28700
ERR1913073.1518297__1.1518297	100886__E2NNB9__CATMIT_00043
ERR1913073.1518347__1.1518347	1683__C4FFP8__BIFANG_03162
ERR1913073.1518388__1.1518388	1463165__A0A1D3U2A3__B6J19_09080
ERR1913073.1518416__1.1518416	1685__A0A2X0Z9D6__CYJ38_03705
ERR1913073.1518379__1.1518379	820__R9I2U8__DXC68_09590
ERR1913073.1518383__1.1518383	1150298__R7JXH6__mecR1
ERR1913073.1518468__1.1518468	853__C7H1R8__DW905_06675
ERR1913073.1518527__1.1518527	46506__B0NRJ1__DXC41_14065
ERR1913073.1518597__1.1518597	487175__F3QIX2__HMPREF9439_00872
ERR1913073.1518689__1.1518689	853__A0A173XRA8__CGS56_09290
ERR1913073.1518704__1.1518704	1304__T0UNZ5__SSALIVM18_09507
ERR1913073.1518748__1.1518748	1263109__GCA_000438135.1_00521
ERR1913073.1518816__1.1518816	39491__A0A396FSR4__ERS852580_02287
ERR1913073.1518947__1.1518947	1150298__A0A174PHI0__ERS852498_00826
ERR1913073.1519040__1.1519040	39491__A0A395V0E5__ERE_31370
ERR1913073.1519143__1.1519143	1317__A0A2N6PS84__HMPREF9176_0871
ERR1913073.1519271__1.1519271	1263109__GCA_000438135.1_01494
ERR1913073.1519281__1.1519281	671266__GCA_004801615.1_02086
ERR1913073.1519286__1.1519286	33043__D5HHD5__ERS852575_00049
ERR1913073.1519356__1.1519356	1150298__R7JUW7__ERS852406_02089
ERR1913073.1519337__1.1519337	33043__A0A173WU55__ganB_2
ERR1913073.1519409__1.1519409	40518__R5DUU0__DXD93_03985
ERR1913073.1519673__1.1519673	820__A0A174R952__DXB48_02570
ERR1913073.1519704__1.1519704	39491__C4Z9D4__DXD95_00055
ERR1913073.1519839__1.1519839	28116__A0A3D2LWY1__ERS852555_01619
ERR1913073.1519968__1.1519968	1263109__GCA_000438135.1_00605
ERR1913073.1520033__1.1520033	394340__group_3330
ERR1913073.1520005__1.1520005	820__A0A173YYG4__evgS_3
ERR1913073.1520135__1.1520135	1680__A0A087DHN0__AL0462_1532
ERR1913073.1520094__1.1520094	1685__A0A2X0Z9D6__CYJ38_03705
ERR1913073.1520175__1.1520175	39491__D6E4H2__DXB99_00485
ERR1913073.1520191__1.1520191	1263109__GCA_000438135.1_01150
ERR1913073.1520320__1.1520320	40518__R5DXH2__DXD83_10135
ERR1913073.1520475__1.1520475	40518__R5E5I9__yvhJ_2
ERR1913073.1520698__1.1520698	28118__R6FGF7__SAMEA44545918_01338
ERR1913073.1520819__1.1520819	1303__A0A139PEZ6__SOR_0634
ERR1913073.1520861__1.1520861	820__E5VEH7__ERS852459_01300
ERR1913073.1520933__1.1520933	1150298__A0A174L6T3__cobD
ERR1913073.1521031__1.1521031	40518__R5DVX3__RBL263_01584
ERR1913073.1521117__1.1521117	1686__B6XTQ5__B5782_1168
ERR1913073.1521120__1.1521120	39491__A0A396FKI0__DXC13_11560
ERR1913073.1521151__1.1521151	39491__A0A395ZE48__DXB76_02395
ERR1913073.1521205__1.1521205	1262889__R7HB16__BN634_02255
ERR1913073.1521311__1.1521311	310298__B3JH75__BACCOP_01229
ERR1913073.1521286__1.1521286	40519__U2MCQ8__RUMCAL_00556
ERR1913073.1521359__1.1521359	214856__A0A173ZQY0__ERS852559_00007
ERR1913073.1521526__1.1521526	1150298__A0A174RJU1__gsiA_4
ERR1913073.1521585__1.1521585	40518__R5DR39__mreB_2
ERR1913073.1521709__1.1521709	1262911__R6GPM2__BN557_00937
ERR1913073.1521749__1.1521749	1263109__GCA_000438135.1_00036
ERR1913073.1521751__1.1521751	1262911__R6GSH0__BN557_00934
ERR1913073.1521805__1.1521805	823__A0A355XF06__B5F32_11480
ERR1913073.1521859__1.1521859	39491__A0A395V5L2__ERE_28270
ERR1913073.1522180__1.1522180	291644__I9I2F9__HMPREF1532_01625
ERR1913073.1522263__1.1522263	487174__K0X524__DDY40_09270
ERR1913073.1522265__1.1522265	821__A0A396F598__CUU_3259
ERR1913073.1522356__1.1522356	33043__D5HH62__ERS852575_00121
ERR1913073.1522406__1.1522406	853__C7H7F5__DWZ46_01780
ERR1913073.1522496__1.1522496	40518__R5DUU0__DXD93_03985
ERR1913073.1522533__1.1522533	328813__A0A1Y3QRG1__B5G41_12490
ERR1913073.1522564__1.1522564	33043__D5HHD5__ERS852575_00049
ERR1913073.1522711__1.1522711	1304__J7TGU8__Ssal_02017
ERR1913073.1522756__1.1522756	33043__A0A3A6J8T3__yvhJ
ERR1913073.1522760__1.1522760	745368__A0A1T4WSB9__SAMN02745178_00940
ERR1913073.1522843__1.1522843	853__A0A173T6P2__DWZ46_14595
ERR1913073.1522790__1.1522790	246787__A0A0P0GPH1__HMPREF1062_01913
ERR1913073.1522916__1.1522916	820__A0A374Q1D8__SAMN05444418_112114
ERR1913073.1522875__1.1522875	1862668__GCA_001945525.1_00021
ERR1913073.1522979__1.1522979	40518__R5DRG6__ylbJ
ERR1913073.1523015__1.1523015	1780376__A0A143XEY2__BN3659_00222
ERR1913073.1523058__1.1523058	1150298__R7JUV3__yfnB
ERR1913073.1523177__1.1523177	310298__B3JH75__BACCOP_01229
ERR1913073.1523185__1.1523185	1150298__A0A174SZP5__ERS852535_02327
ERR1913073.1523195__1.1523195	487174__K0XA11__DDY40_03585
ERR1913073.1523230__1.1523230	216816__C2GTV6__AS143_01355
ERR1913073.1523417__1.1523417	1150298__A0A174SZP5__ERS852535_02327
ERR1913073.1523427__1.1523427	820__A0A3E5E0T0__ERS852554_00312
ERR1913073.1523546__1.1523546	40518__R5DS23__DXD86_01715
ERR1913073.1523630__1.1523630	310298__B3JFK4__BACCOP_00654
ERR1913073.1523645__1.1523645	39491__A0A396FJJ9__DXB76_11995
ERR1913073.1523716__1.1523716	47678__A5ZHL2__DXB67_12495
ERR1913073.1523761__1.1523761	853__A8S882__C4N23_07600
ERR1913073.1523830__1.1523830	1262911__R6GPM2__BN557_00937
ERR1913073.1523770__1.1523770	1150298__A0A174SZP5__ERS852535_02327
ERR1913073.1523845__1.1523845	1262911__R6GSH8__BN557_00939
ERR1913073.1523921__1.1523921	1262911__R6GSH8__BN557_00939
ERR1913073.1523977__1.1523977	40518__R5E6K4__RB5AMG_02070
ERR1913073.1524044__1.1524044	1263109__GCA_000438135.1_01180
ERR1913073.1524090__1.1524090	1150298__A0A174B7I7__ERS852535_01258
ERR1913073.1524106__1.1524106	216816__Q8G6X1__DD674_00140
ERR1913073.1524163__1.1524163	28117__B0MXG8__ALIPUT_01814
ERR1913073.1524501__1.1524501	821__E5UY21__C800_02204
ERR1913073.1524543__1.1524543	1777878__A0A139NGZ4__STRDD10_00481
ERR1913073.1524630__1.1524630	40518__R5DX93__DXD93_03055
ERR1913073.1524681__1.1524681	487174__K0WY34__DDY40_07435
ERR1913073.1524731__1.1524731	1304__C2LQE5__V471_05915
ERR1913073.1524813__1.1524813	1680__R5GR82__AD0028_0014
ERR1913073.1524822__1.1524822	1318__W1VLP5__HMPREF1195_01494
ERR1913073.1524859__1.1524859	1304__A0A0F3HH70__CKU37_07480
ERR1913073.1524919__1.1524919	1304__A0A110Z5J8__SSALIVM18_06191
ERR1913073.1524979__1.1524979	1304__A0A1W5ZCY0__CKU37_03270
ERR1913073.1524996__1.1524996	1304__A0A0Y1UXU5__NX99_02180
ERR1913073.1525007__1.1525007	39488__C0EVP9__ERS852450_03163
ERR1913073.1525011__1.1525011	310298__B3JGJ2__BACCOP_00994
ERR1913073.1525014__1.1525014	905__D2RNT0__Acfer_0300
ERR1913073.1525066__1.1525066	745368__A0A1T4XUU0__SAMN02745178_02347
ERR1913073.1525120__1.1525120	1150298__R7JPI7__cotI
ERR1913073.1525125__1.1525125	853__A0A2A7A4A9__C4N21_14870
ERR1913073.1525201__1.1525201	1304__T0SPD1__HSISS4_01717
ERR1913073.1525214__1.1525214	39491__A0A395UZ89__DXB72_12805
ERR1913073.1525386__1.1525386	1263109__GCA_000438135.1_01684
ERR1913073.1525489__1.1525489	1263109__GCA_000438135.1_00176
ERR1913073.1525815__1.1525815	40518__R5DY98__mepA_5
ERR1913073.1525994__1.1525994	106588__A6NUL8__BACCAP_01900
ERR1913073.1526018__1.1526018	745368__A0A1T4WAW2__SAMN02745178_00328
ERR1913073.1526045__1.1526045	1263109__GCA_000438135.1_01419
ERR1913073.1526066__1.1526066	1150298__A0A174TF64__ERS852406_00108
ERR1913073.1526284__1.1526284	246787__E2NCX3__HMPREF1062_01637
ERR1913073.1526295__1.1526295	1304__F8LI16__TZ99_00065
ERR1913073.1526455__1.1526455	40518__R5DT93__DXD86_08730
ERR1913073.1526383__1.1526383	544644__GCA_001915615.1_00013
ERR1913073.1526624__1.1526624	1262992__R5CY96__BN795_00067
ERR1913073.1526674__1.1526674	39491__A0A395ZHW3__ERS852417_01359
ERR1913073.1526714__1.1526714	1262743__R5C054__BN727_01980
ERR1913073.1526704__1.1526704	1262911__R6HN81__BN557_00921
ERR1913073.1526921__1.1526921	39491__A0A396FUZ3__phoR_1
ERR1913073.1527022__1.1527022	40518__R5E0F2__RBATCC27255_01890
ERR1913073.1527219__1.1527219	39491__A0A396FBR6__DXC13_08575
ERR1913073.1527256__1.1527256	33043__A0A174GPT0__plsC_2
ERR1913073.1527474__1.1527474	853__A0A174C5M1__CGS58_04460
ERR1913073.1527484__1.1527484	821__A0A174WBC9__ERS852556_03145
ERR1913073.1527531__1.1527531	821__A0A0P0M405__DXC02_15075
ERR1913073.1527575__1.1527575	820__A0A174Q0F0__DXB48_08080
ERR1913073.1527577__1.1527577	818__A0A3E5GYI4__NCTC10582_00013
ERR1913073.1527590__1.1527590	1150298__A0A174I6Y0__ERS852498_00576
ERR1913073.1527692__1.1527692	39491__A0A396FEW6__T1815_18721
ERR1913073.1527683__1.1527683	544644__GCA_001915615.1_00365
ERR1913073.1527712__1.1527712	853__A0A173XRA8__CGS56_09290
ERR1913073.1527715__1.1527715	821__A0A0P0LH09__ERS852457_03390
ERR1913073.1528106__1.1528106	40518__R5E6N4__DXD93_01325
ERR1913073.1528200__1.1528200	310298__B3JPY4__BACCOP_04016
ERR1913073.1528312__1.1528312	1150298__A0A174RJU1__gsiA_4
ERR1913073.1528360__1.1528360	1680__R5GSL8__DXD60_03315
ERR1913073.1528369__1.1528369	1150298__R7JUS7__ytlR
ERR1913073.1528385__1.1528385	218538__C9LNL5__GCWU000321_01138
ERR1913073.1528574__1.1528574	40518__R5DT16__ysdC_2
ERR1913073.1528653__1.1528653	1680__A0A1X3A951__AL0462_1583
ERR1913073.1528628__1.1528628	487174__K0WZU9__HMPREF9448_01159
ERR1913073.1528639__1.1528639	246787__R6KIG0__BcellWH2_02358
ERR1913073.1528669__1.1528669	39491__A0A396FPV7__ERS852580_01177
ERR1913073.1528732__1.1528732	214856__R6XRA1__vatD_3
ERR1913073.1528792__1.1528792	487174__K0X2W8__HMPREF9448_02611
ERR1913073.1528831__1.1528831	33043__D5HF50__ERS852386_02415
ERR1913073.1528860__1.1528860	1150298__R7JUS2__ERS852498_02193
ERR1913073.1528947__1.1528947	1262911__R6GTG0__BN557_01247
ERR1913073.1529203__1.1529203	853__A0A173XRA8__CGS56_09290
ERR1913073.1529237__1.1529237	33043__A0A174H1B6__ERS852575_02702
ERR1913073.1529308__1.1529308	216816__B3DQ11__APC1466_1528
ERR1913073.1529432__1.1529432	1263109__GCA_000438135.1_01460
ERR1913073.1529555__1.1529555	33043__A0A174BPV6__ERS852445_01773
ERR1913073.1529561__1.1529561	39491__A0A0M6WWT1__dus_2
ERR1913073.1529656__1.1529656	820__A0A174Q0F0__DXB48_08080
ERR1913073.1529732__1.1529732	1262992__R5CY03__BN795_01148
ERR1913073.1529756__1.1529756	1680__A0A173YLK6__BAD_0868
ERR1913073.1529808__1.1529808	357276__D1JYA3__BSEG_00395
ERR1913073.1529777__1.1529777	1304__A0A1V0GL68__CGZ74_06870
ERR1913073.1529859__1.1529859	1150298__R7JT48__gsiA_6
ERR1913073.1529974__1.1529974	39491__A0A396FKG5__DXB76_07455
ERR1913073.1529992__1.1529992	40518__R5DXW3__DXD86_07900
ERR1913073.1530017__1.1530017	384638__B7APR1__BACPEC_00667
ERR1913073.1530163__1.1530163	39491__A0A173TFQ1__rsmF
ERR1913073.1530245__1.1530245	1263109__GCA_000438135.1_00036
ERR1913073.1530307__1.1530307	1304__F8LKH9__SSALIVM18_07426
ERR1913073.1530408__1.1530408	40518__R5DSI5__fieF
ERR1913073.1530384__1.1530384	40518__R5DNY7__RBATCC27255_00367
ERR1913073.1530558__1.1530558	871324__A0A1M6HHE1__SAMN05444350_11871
ERR1913073.1530642__1.1530642	1304__W3Y4W5__AWB63_09370
ERR1913073.1530789__1.1530789	357276__B6W1J2__BACDOR_03380
ERR1913073.1530792__1.1530792	1680__A0A1X2ZFB6__AD0028_0856
ERR1913073.1530776__1.1530776	28117__B0MTY2__BHV66_06485
ERR1913073.1530838__1.1530838	40518__R5DUG7__sbcC
ERR1913073.1530869__1.1530869	1263109__GCA_000438135.1_01180
ERR1913073.1530925__1.1530925	1680__A7A7Z9__AAX71_05385
ERR1913073.1530895__1.1530895	218538__C9LQG6__GCWU000321_01798
ERR1913073.1531018__1.1531018	1262911__R6GPL1__BN557_00927
ERR1913073.1531103__1.1531103	39491__D4JMW8__ERS852497_01971
ERR1913073.1531084__1.1531084	39491__A0A173VYV1__DXC13_02710
ERR1913073.1531267__1.1531267	116085__D4JC38__DW747_00355
ERR1913073.1531328__1.1531328	820__A0A173W419__DXC68_17760
ERR1913073.1531375__1.1531375	40518__R5DVR2__RBL236_00303
ERR1913073.1531544__1.1531544	1628085__A0A1C6CK16__C7386_11434
ERR1913073.1531546__1.1531546	821__A0A396ER29__ERS852457_02298
ERR1913073.1531555__1.1531555	28117__B0MT86__BHV66_02450
ERR1913073.1531597__1.1531597	823__A0A069S0G2__DXB14_03195
ERR1913073.1531656__1.1531656	1304__A0A1W5ZCY0__CKU37_03270
ERR1913073.1531672__1.1531672	40518__R5DXH2__DXD83_10135
ERR1913073.1531684__1.1531684	1304__A0A1W5ZCY0__CKU37_03270
ERR1913073.1531891__1.1531891	410072__A0A3E4GP91__COPCOM_03835
ERR1913073.1532085__1.1532085	1550024__A0A0D8J259__TQ39_04100
ERR1913073.1532250__1.1532250	487174__R5G1E8__DIT83_00510
ERR1913073.1532180__1.1532180	39491__A0A395ZHW9__DXC13_02590
ERR1913073.1532195__1.1532195	40518__R5DNI6__RBATCC27255_00844
ERR1913073.1532286__1.1532286	487174__K0X6Z7__DDY40_11525
ERR1913073.1532289__1.1532289	820__A0A139K426__B5G17_09115
ERR1913073.1532298__1.1532298	487174__K0XRA9__HMPREF9448_00572
ERR1913073.1532364__1.1532364	1150298__A0A174E950__ERS852498_02096
ERR1913073.1532419__1.1532419	39491__C4ZAT2__ERE_28440
ERR1913073.1532453__1.1532453	39488__A0A374NPE4__EUBHAL_00845
ERR1913073.1532493__1.1532493	39492__D4JU81__xseA
ERR1913073.1532533__1.1532533	1304__J7SIV6__pspA_3
ERR1913073.1532655__1.1532655	1304__A0A0Y1UXU5__NX99_02180
ERR1913073.1532679__1.1532679	1680__A0A374QDL4__LMG18897_0432
ERR1913073.1532720__1.1532720	820__I9TWZ7__DXC80_10550
ERR1913073.1532773__1.1532773	1304__A0A1V0GHL6__AWB63_08335
ERR1913073.1532754__1.1532754	1317__A0A2N6PS75__HMPREF9176_0867
ERR1913073.1532809__1.1532809	1304__W3Y4W5__AWB63_09370
ERR1913073.1532730__1.1532730	1263109__GCA_000438135.1_01611
ERR1913073.1532882__1.1532882	40518__R5DTH7__DXD83_02405
ERR1913073.1532972__1.1532972	74426__nrdD
ERR1913073.1532973__1.1532973	39491__A0A0M6WWT1__dus_2
ERR1913073.1533002__1.1533002	40518__R5DLU0__fmt
ERR1913073.1533174__1.1533174	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913073.1533181__1.1533181	39485__A0A174Z2K9__ERS852490_02052
ERR1913073.1533196__1.1533196	1263109__GCA_000438135.1_01421
ERR1913073.1533281__1.1533281	1304__A0A1W5ZD60__TZ99_01678
ERR1913073.1533258__1.1533258	1304__A0A1W5ZD60__TZ99_01678
ERR1913073.1533339__1.1533339	1304__A0A1W5ZD60__TZ99_01678
ERR1913073.1533381__1.1533381	853__A0A174C5M1__CGS58_04460
ERR1913073.1533387__1.1533387	1681__A0A3E4TVZ7__DD715_06415
ERR1913073.1533577__1.1533577	310298__B3JED9__BACCOP_00230
ERR1913073.1533593__1.1533593	821__A0A0P0M2J4__DXD46_10295
ERR1913073.1533735__1.1533735	820__A0A374QGD2__ERS852421_02382
ERR1913073.1533799__1.1533799	1685__A0A2X0Z9D6__CYJ38_03705
ERR1913073.1533861__1.1533861	33043__A0A173X520__ERS852575_01617
ERR1913073.1533915__1.1533915	853__A0A3E2U7E6__ERS852582_01640
ERR1913073.1534061__1.1534061	291644__I9HQ59__HMPREF1071_02479
ERR1913073.1534037__1.1534037	1262824__R6S5T1__BN719_00762
ERR1913073.1534073__1.1534073	246618__M4RG38__BPORC_0326
ERR1913073.1534122__1.1534122	214856__A0A174ZLY7__ERS852447_02456
ERR1913073.1534124__1.1534124	291644__I9HQ59__HMPREF1071_02479
ERR1913073.1534139__1.1534139	310298__B3JFK6__BACCOP_00656
ERR1913073.1534165__1.1534165	39491__C4ZCV5__DXB99_11855
ERR1913073.1534204__1.1534204	1304__T0SYC6__TZ98_01429
ERR1913073.1534268__1.1534268	1535__A7VQE3__CH238_12130
ERR1913073.1534273__1.1534273	39485__A0A174YNW2__cph2_3
ERR1913073.1534388__1.1534388	1304__J7TYF2__hk13_3
ERR1913073.1534449__1.1534449	40518__R5DR72__RBL236_02110
ERR1913073.1534486__1.1534486	310298__B3JNG7__BACCOP_03480
ERR1913073.1534489__1.1534489	40518__R5E0G0__RBATCC27255_01787
ERR1913073.1534629__1.1534629	33043__A0A3A6J8T3__yvhJ
ERR1913073.1534610__1.1534610	853__A0A174AML0__FPR_08640
ERR1913073.1534626__1.1534626	1351__E2YWR1__CUM74_10685
ERR1913073.1534801__1.1534801	39491__C4ZGN3__DXB99_14175
ERR1913073.1534886__1.1534886	28118__R6F7H1__DF785_12785
ERR1913073.1535043__1.1535043	216816__D6DBD5__DXC32_04335
ERR1913073.1535067__1.1535067	871324__A0A1M6HHE1__SAMN05444350_11871
ERR1913073.1535256__1.1535256	40518__A0A1C6H8N9__RBATCC27255_01374
ERR1913073.1535284__1.1535284	39491__A0A3E4E7C5__DXB69_03255
ERR1913073.1535367__1.1535367	39491__C4ZHS4__EUR_24420
ERR1913073.1535474__1.1535474	28117__B0MUR5__BHV66_03900
ERR1913073.1535549__1.1535549	1680__A0A173Y6N7__yhaH
ERR1913073.1535625__1.1535625	821__A0A396F9T7__M097_3427
ERR1913073.1535641__1.1535641	1263109__GCA_000438135.1_01435
ERR1913073.1535717__1.1535717	40518__R5DV58__htrA
ERR1913073.1535767__1.1535767	40518__R5DXP6__DXD83_06110
ERR1913073.1535899__1.1535899	649756__A0A1Q2CBF2__ctc
ERR1913073.1536031__1.1536031	884684__GCA_002892425.1_01408
ERR1913073.1536088__1.1536088	853__A0A173T6P2__DWZ46_14595
ERR1913073.1536285__1.1536285	28117__B0MSS1__ALIPUT_00273
ERR1913073.1536434__1.1536434	291644__R5JES5__HMPREF1071_02803
ERR1913073.1536528__1.1536528	328813__A0A1Y3QSV7__B5G41_09435
ERR1913073.1536609__1.1536609	28117__R7JPX7__BHV66_00900
ERR1913073.1536615__1.1536615	39491__A0A396FSN2__EUBREC_0707
ERR1913073.1536712__1.1536712	1150298__A0A174QNY9__ERS852498_01028
ERR1913073.1536722__1.1536722	39491__A0A396FSR4__ERS852580_02287
ERR1913073.1536764__1.1536764	853__A0A173T6P2__DWZ46_14595
ERR1913073.1536770__1.1536770	853__A0A173YYY4__DWZ04_09420
ERR1913073.1536735__1.1536735	371601__A0A174GPX4__BN890_15170
ERR1913073.1536737__1.1536737	40518__R5DS23__DXD86_01715
ERR1913073.1536784__1.1536784	1150298__A0A174HDJ7__ERS852535_00590
ERR1913073.1536788__1.1536788	1262911__R6GPM2__BN557_00937
ERR1913073.1536836__1.1536836	1680__A0A0B5BKZ3__DXD60_01450
ERR1913073.1536886__1.1536886	1150298__A0A174DSD1__dacB_3
ERR1913073.1536997__1.1536997	357276__B6W1J2__BACDOR_03380
ERR1913073.1537046__1.1537046	1263107__GCA_000436995.1_00126
ERR1913073.1537049__1.1537049	1263109__GCA_000438135.1_01668
ERR1913073.1537080__1.1537080	40518__R5E175__RB5AMG_00757
ERR1913073.1537124__1.1537124	820__A0A139K8N1__ERS852554_00951
ERR1913073.1537364__1.1537364	1150298__A0A174PXR1__ERS852406_02747
ERR1913073.1537369__1.1537369	820__R9I2U8__DXC68_09590
ERR1913073.1537400__1.1537400	853__A0A173YYY4__DWZ04_09420
ERR1913073.1537413__1.1537413	214856__A0A174EJT5__mnmA
ERR1913073.1537442__1.1537442	39491__A0A173U130__ERE_16110
ERR1913073.1537522__1.1537522	1680__A1A132__B0703_0684
ERR1913073.1537632__1.1537632	1304__J7TGU8__Ssal_02017
ERR1913073.1537670__1.1537670	33043__A0A173WU55__ganB_2
ERR1913073.1537749__1.1537749	28117__B0MSL1__BHV66_06710
ERR1913073.1537738__1.1537738	39491__A0A0M6WLC7__ERS852497_00640
ERR1913073.1537740__1.1537740	853__A0A174C5M1__CGS58_04460
ERR1913073.1537831__1.1537831	1263109__GCA_000438135.1_00053
ERR1913073.1537838__1.1537838	820__A0A139K8N1__ERS852554_00951
ERR1913073.1537866__1.1537866	216816__D6D9A3__BLNIAS_01911
ERR1913073.1538055__1.1538055	33043__D5HH34__ERS852386_00170
ERR1913073.1538056__1.1538056	33043__D5HH34__ERS852386_00170
ERR1913073.1538024__1.1538024	487174__K0X2Q8__DDY40_04590
ERR1913073.1538040__1.1538040	40518__R5DZU5__RBL263_00458
ERR1913073.1538085__1.1538085	1304__J7TU69__A6J87_07685
ERR1913073.1538225__1.1538225	1304__J7TU69__A6J87_07685
ERR1913073.1538262__1.1538262	39491__C4Z9E9__T1815_12341
ERR1913073.1538317__1.1538317	1343__E8KXH9__HMPREF9192_0530
ERR1913073.1538377__1.1538377	39491__R6TQ09__DXC13_03010
ERR1913073.1538401__1.1538401	33043__A0A173WPI1__ERS852400_02100
ERR1913073.1538504__1.1538504	823__A6LB63__M095_1847
ERR1913073.1538517__1.1538517	1680__A0A087DHN0__AL0462_1532
ERR1913073.1538567__1.1538567	1262911__R6HMT5__BN557_00797
ERR1913073.1538679__1.1538679	1150298__A0A174LYE0__ERS852535_00529
ERR1913073.1538689__1.1538689	1351__X5NW90__CUS83_02190
ERR1913073.1538716__1.1538716	39491__A0A396FUZ3__phoR_1
