ERR1913153.510__1.510	454155__G5SS31__HMPREF9442_03407
ERR1913153.615460__1.615460	301302__R5UJV1__ERS852420_01672
ERR1913153.615599__1.615599	216816__U2TWA1__DD678_00805
ERR1913153.615629__1.615629	394340__purL
ERR1913153.615647__1.615647	853__A0A173XRA8__CGS56_09290
ERR1913153.615694__1.615694	820__A0A3E4FWC8__DXC91_14635
ERR1913153.615720__1.615720	820__A0A174DZ97__SAMN05444418_101240
ERR1913153.615748__1.615748	820__A0A1T4IY71__HMPREF2141_02402
ERR1913153.615864__1.615864	853__A0A174C5M1__CGS58_04460
ERR1913153.615902__1.615902	239935__A0A2N8I390__CXU16_10675
ERR1913153.615987__1.615987	1680__A0A173YLK6__BAD_0868
ERR1913153.616086__1.616086	33043__D5HI05__ERS852400_02760
ERR1913153.616005__1.616005	40518__R5DXW3__DXD86_07900
ERR1913153.616316__1.616316	47678__A5ZL09__BACCAC_03608
ERR1913153.616439__1.616439	47678__R5V127__HMPREF1061_04334
ERR1913153.616460__1.616460	40518__R5DR39__mreB_2
ERR1913153.616480__1.616480	1262743__R5C054__BN727_01980
ERR1913153.616674__1.616674	1150298__R7JTQ3__rne
ERR1913153.616902__1.616902	46503__K6A7H7__DCY29_03460
ERR1913153.617022__1.617022	1897011__A0A1Q6RDI4__BHW41_05605
ERR1913153.617093__1.617093	100886__A0A174KEC0__CATMIT_00757
ERR1913153.617115__1.617115	216816__A0A396FRQ5__DD678_01245
ERR1913153.617061__1.617061	328814__GCA_004558275.1_00076
ERR1913153.617146__1.617146	1262911__R6GKS1__BN557_00184
ERR1913153.617150__1.617150	40518__R5DT16__ysdC_2
ERR1913153.617199__1.617199	418240__A0A173ZAZ4__ERS852478_00637
ERR1913153.617208__1.617208	572010__fusA
ERR1913153.617352__1.617352	40518__R5DX31__DXD86_09775
ERR1913153.617387__1.617387	39485__A0A174YKY3__EUBELI_00877
ERR1913153.617536__1.617536	88431__A0A174UW18__lytR_4
ERR1913153.617574__1.617574	28116__F7LBW8__C5Z02_16055
ERR1913153.617620__1.617620	40518__R5DME2__DXD86_07315
ERR1913153.617586__1.617586	39492__D4JQS6__ykoD
ERR1913153.617609__1.617609	1262911__R6GNY6__BN557_00004
ERR1913153.617654__1.617654	823__A0A173W404__DHP27_04905
ERR1913153.617687__1.617687	47678__A5ZJ14__ERS852494_02225
ERR1913153.617890__1.617890	376805__F0R8H8__Bacsa_0435
ERR1913153.618294__1.618294	1235790__S0J8L6__C805_00148
ERR1913153.618344__1.618344	39491__A0A396FNY7__LD38_16155
ERR1913153.618519__1.618519	328814__GCA_004558275.1_00140
ERR1913153.618524__1.618524	216816__A0A2U0BT35__BL1206_1860
ERR1913153.618473__1.618473	820__A0A174Q0F0__DXB48_08080
ERR1913153.618491__1.618491	88431__A6BDF9__ERS852573_01553
ERR1913153.618712__1.618712	820__A0A139K024__B5G17_02060
ERR1913153.618851__1.618851	40518__R5DY98__mepA_5
ERR1913153.618976__1.618976	1262911__R6H2J2__BN557_01228
ERR1913153.618929__1.618929	40518__A0A2N0UK36__RBATCC27255_01376
ERR1913153.619004__1.619004	40518__R5E2Z2__DXD93_09295
ERR1913153.618980__1.618980	40518__R5E0F2__RBATCC27255_01890
ERR1913153.619034__1.619034	821__A0A174ALF2__BvMPK_3016
ERR1913153.619113__1.619113	745368__A0A1T4XQZ9__SAMN02745178_02185
ERR1913153.619136__1.619136	40518__R5DXH2__DXD83_10135
ERR1913153.619271__1.619271	28117__B0MTS2__ALIPUT_00159
ERR1913153.619302__1.619302	39491__A0A395ZHW9__DXC13_02590
ERR1913153.619488__1.619488	40518__R5DVL2__penA
ERR1913153.619571__1.619571	301302__A0A173RYX5__ERS852420_00973
ERR1913153.619679__1.619679	46228__V8CH54__RUMLAC_00903
ERR1913153.619958__1.619958	823__D7IUM6__M091_1082
ERR1913153.619979__1.619979	823__D7IUM6__M091_1082
ERR1913153.620088__1.620088	1262886__R6Q946__BN563_00499
ERR1913153.620287__1.620287	40518__R5DYP7__envC
ERR1913153.620435__1.620435	1262911__R6H174__BN557_01246
ERR1913153.620548__1.620548	1680__A0A3E4SB79__BAD_1517
ERR1913153.620525__1.620525	1262911__R6GZX7__BN557_00838
ERR1913153.620601__1.620601	116085__D4J5D0__DW747_06710
ERR1913153.620703__1.620703	357276__D1K3K9__EL88_23995
ERR1913153.620706__1.620706	40518__R5E6K4__RB5AMG_02070
ERR1913153.620807__1.620807	28117__B0MWC6__BHV66_00965
ERR1913153.620829__1.620829	40518__R5E500__RBL263_01193
ERR1913153.621021__1.621021	301302__A0A0M6WV71__ERS852420_01279
ERR1913153.621130__1.621130	28111__E5WV85__BACEGG_02306
ERR1913153.621099__1.621099	1262886__R6QBD4__BN563_01170
ERR1913153.621108__1.621108	820__A0A396EXA7__DXB37_15530
ERR1913153.621064__1.621064	820__A0A174DZ97__SAMN05444418_101240
ERR1913153.621203__1.621203	301302__A0A0M6WB53__mcp4_4
ERR1913153.621259__1.621259	671267__R9I7B5__C802_04018
ERR1913153.621340__1.621340	820__A7UYX8__DXD40_11635
ERR1913153.621361__1.621361	39491__C4ZF05__vpr
ERR1913153.621364__1.621364	357276__B6VT86__IY41_22515
ERR1913153.621684__1.621684	1262924__R7HLK0__BN585_01496
ERR1913153.621691__1.621691	1160721__W0U4W5__BHW50_05260
ERR1913153.621692__1.621692	40518__R5DXH2__DXD83_10135
ERR1913153.621843__1.621843	39491__A0A396FF66__DXD95_01810
ERR1913153.621793__1.621793	2173__A0A1D2WRQ8__METSMIALI_00487
ERR1913153.621873__1.621873	410072__A0A174GUX6__COPCOM_03717
ERR1913153.622051__1.622051	28111__R5JTT9__BACEGG_01644
ERR1913153.622066__1.622066	387090__S0F8B2__BACCOPRO_02129
ERR1913153.622210__1.622210	301302__A0A173TWC1__phoR_7
ERR1913153.622217__1.622217	556259__E5C8S0__BSGG_1769
ERR1913153.622549__1.622549	301302__A0A173TEJ2__M72_09031
ERR1913153.622541__1.622541	360807__A0A173V2S2__phoR_7
ERR1913153.622795__1.622795	40518__R5DUG7__sbcC
ERR1913153.622906__1.622906	47678__R5U7M7__CGC64_14730
ERR1913153.622949__1.622949	821__E5UY21__C800_02204
ERR1913153.623021__1.623021	821__A0A174NM17__lacZ_6
ERR1913153.623240__1.623240	39491__D4JMW8__ERS852497_01971
ERR1913153.623430__1.623430	40518__R5DYU1__DXD86_01160
ERR1913153.623516__1.623516	820__A0A3E4WCX3__C801_02709
ERR1913153.623450__1.623450	823__A0A078SYK6__DXB14_02485
ERR1913153.623568__1.623568	410072__A0A174DIZ5__ERS852574_01258
ERR1913153.623615__1.623615	39490__A0A173U8I1__LG34_05080
ERR1913153.623943__1.623943	40518__R5DVL2__penA
ERR1913153.623973__1.623973	46503__A7AG59__ERS852463_00349
ERR1913153.623974__1.623974	36343__GeneID:1261150
ERR1913153.623997__1.623997	88431__A0A174UW18__lytR_4
ERR1913153.624107__1.624107	853__A0A2A7B9I6__DW855_13690
ERR1913153.624116__1.624116	40518__R5DP61__DXD86_06345
ERR1913153.624142__1.624142	40518__R5E6X5__sbcD
ERR1913153.624153__1.624153	301302__A0A0M6WHI7__M72_23941
ERR1913153.624322__1.624322	40520__A0A395X2X5__C4886_03165
ERR1913153.624365__1.624365	28118__F9Z9Z6__DHW44_15190
ERR1913153.624482__1.624482	33043__A0A173YLD4__ERS852575_00535
ERR1913153.624518__1.624518	88431__A0A174IEH2__DXB16_05910
ERR1913153.624552__1.624552	29361__B6FSG5__CLONEX_03090
ERR1913153.624553__1.624553	820__A0A174A6K0__M093_0079
ERR1913153.624561__1.624561	884684__GCA_002892425.1_01408
ERR1913153.624718__1.624718	28116__A0A1Y4Q112__evgS_13
ERR1913153.625230__1.625230	116085__D4J6U8__DW747_08385
ERR1913153.625332__1.625332	46228__V8CDA4__DXD17_12295
ERR1913153.625692__1.625692	1150298__A0A174BC67__ERS852498_00837
ERR1913153.625700__1.625700	40518__R5DQR9__DXD83_00030
ERR1913153.625827__1.625827	410072__A0A174D6E7__ERS852574_01257
ERR1913153.625888__1.625888	338188__K5CB50__BACFIN_05402
ERR1913153.626010__1.626010	823__A0A174WTX5__DD466_11965
ERR1913153.626203__1.626203	2292352__A0A374UKS3__DXC23_09270
ERR1913153.626258__1.626258	239935__A0A2N8HX65__CXU17_02540
ERR1913153.626567__1.626567	47678__R5UAG4__DW706_17045
ERR1913153.626716__1.626716	1262824__R6S1J4__BN719_01997
ERR1913153.626759__1.626759	301302__R5UKF2__M72_19701
ERR1913153.626847__1.626847	88431__A0A3D0EWY9__ERS852423_01238
ERR1913153.626993__1.626993	310298__B3JL94__BACCOP_02749
ERR1913153.626979__1.626979	626932__G5HAR7__HMPREF9450_01732
ERR1913153.627197__1.627197	74426__pflB_2
ERR1913153.627179__1.627179	47678__R5U878__ERS852494_03300
ERR1913153.627254__1.627254	40518__R5E7S2__RBL263_00671
ERR1913153.627257__1.627257	1263044__GCA_000433375.1_01144
ERR1913153.627227__1.627227	47678__R5UER2__CGC64_00710
ERR1913153.627645__1.627645	100886__E2NP92__CATMIT_00376
ERR1913153.627681__1.627681	39491__A0A396FGM9__fliU_1
ERR1913153.627957__1.627957	47678__A5ZEX0__DW706_08045
ERR1913153.627985__1.627985	1262824__R6RRF1__BN719_00389
ERR1913153.628182__1.628182	33043__D5HEF6__ERS852445_00180
ERR1913153.628198__1.628198	239935__A0A139TVG9__CXU13_01700
ERR1913153.628268__1.628268	29361__B6FRT6__CLONEX_02860
ERR1913153.628272__1.628272	1150298__A0A174QNY9__ERS852498_01028
ERR1913153.628292__1.628292	166486__D4KUC4__arcB_1
ERR1913153.628385__1.628385	40518__R5DP91__RBL236_00890
ERR1913153.628449__1.628449	1150298__R7JSE8__coaX_1
ERR1913153.628484__1.628484	649756__D4MXY4__CL2_04010
ERR1913153.628621__1.628621	46228__V8CAX0__DXD17_07315
ERR1913153.628625__1.628625	820__A0A3E4G826__C801_01612
ERR1913153.628773__1.628773	418240__A0A174NZX7__tagF_1
ERR1913153.629118__1.629118	1262886__R6QAM6__BN563_01696
ERR1913153.629244__1.629244	46503__A7AG59__ERS852463_00349
ERR1913153.629263__1.629263	39492__A0A174Z2N0__EUBSIR_01615
ERR1913153.629418__1.629418	47678__R5UU25__DXB67_16190
ERR1913153.629506__1.629506	823__A0A395YRX4__ERS852513_03444
ERR1913153.629833__1.629833	204516__U6RFV1__HMPREF1534_02560
ERR1913153.629971__1.629971	328814__GCA_004558275.1_00076
ERR1913153.629995__1.629995	39491__A0A0M6WPN4__DXB69_06325
ERR1913153.630016__1.630016	310298__B3JQJ5__BACCOP_04231
ERR1913153.630324__1.630324	823__D7IV95__DXC05_09565
ERR1913153.630279__1.630279	28117__B0MUR5__BHV66_03900
ERR1913153.630433__1.630433	40518__R5DU92__DXD93_03170
ERR1913153.630708__1.630708	28117__B0MY41__BHV66_05165
ERR1913153.630749__1.630749	39492__D4JU49__ERS852540_00175
ERR1913153.630800__1.630800	301302__R5VE75__M72_12161
ERR1913153.630933__1.630933	853__C7H7F5__DWZ46_01780
ERR1913153.630949__1.630949	1262911__R6GS70__BN557_00854
ERR1913153.631079__1.631079	169435__A0A174P0X4__B5F55_01545
ERR1913153.631105__1.631105	28116__A0A395VZB9__Bovatus_03205
ERR1913153.631060__1.631060	301302__R5VFU2__xynA1
ERR1913153.631156__1.631156	1150298__A0A174DX06__ERS852498_00491
ERR1913153.631424__1.631424	820__A0A173WUD7__DXB48_08055
ERR1913153.631452__1.631452	820__A0A3E4G3J9__ERS852459_02265
ERR1913153.632196__1.632196	39491__A0A395ZEI6__ERE_07950
ERR1913153.632250__1.632250	1150298__A0A174PC05__ERS852498_00682
ERR1913153.632403__1.632403	216816__R5MZK3__DPC6320_1630
ERR1913153.632470__1.632470	33043__A0A174ADZ1__dcuS_1
ERR1913153.632543__1.632543	28117__B0MZ50__ALIPUT_02424
ERR1913153.632562__1.632562	239935__A0A139TSG7__CXU17_09600
ERR1913153.632686__1.632686	39491__A0A396FMF1__EUR_28700
ERR1913153.632718__1.632718	40518__R5DY98__mepA_5
ERR1913153.632865__1.632865	301302__A0A0M6WRT7__ERS852420_02104
ERR1913153.633091__1.633091	100884__E7GEU8__HMPREF9488_03240
ERR1913153.633155__1.633155	823__A0A395YZ10__NCTC11152_02955
ERR1913153.633210__1.633210	1680__A0A087DLC6__C8077_00815
ERR1913153.633277__1.633277	1160721__R6TB54__RBI_I01327
ERR1913153.633547__1.633547	216816__A0A2U0BLP0__tsaB
ERR1913153.633560__1.633560	100886__A0A174HWV3__CATMIT_01864
ERR1913153.633605__1.633605	1550024__G9RXA8__TQ39_17870
ERR1913153.633649__1.633649	357276__B6VYT9__HMPREF1063_05030
ERR1913153.633680__1.633680	1262886__R6QAC0__BN563_00833
ERR1913153.633847__1.633847	39491__A0A395V297__EUR_01010
ERR1913153.634032__1.634032	39491__D6E118__DXB69_05765
ERR1913153.634066__1.634066	821__A0A395VLM8__BvMPK_3650
ERR1913153.634234__1.634234	387090__S0F8B2__BACCOPRO_02129
ERR1913153.634266__1.634266	40518__R5DPE0__DXD86_06515
ERR1913153.634327__1.634327	46228__V8BPD3__HMPREF1202_02498
ERR1913153.634373__1.634373	1897011__A0A1Q6RET2__BHW41_04000
ERR1913153.634660__1.634660	33025__A0A395JJE3__C8D73_101669
ERR1913153.634744__1.634744	820__A0A174G065__DXB62_08975
ERR1913153.634780__1.634780	88431__A0A174EMW0__thiD_1
ERR1913153.634857__1.634857	820__I9J701__ERS852510_01809
ERR1913153.634929__1.634929	823__C7X996__DD466_12595
ERR1913153.635050__1.635050	40518__R5DR39__mreB_2
ERR1913153.635120__1.635120	820__A0A3E4RTP0__C801_01067
ERR1913153.635147__1.635147	821__A0A395UNT8__DXD64_15275
ERR1913153.635157__1.635157	823__A0A173UDF6__CEQ22_003270
ERR1913153.635249__1.635249	39491__C4ZCH3__EUR_17560
ERR1913153.635415__1.635415	1262753__R5B0X8__BN813_02011
ERR1913153.635504__1.635504	820__A0A174A6K0__M093_0079
ERR1913153.635505__1.635505	1262886__R6RFE5__BN563_01256
ERR1913153.635587__1.635587	1150298__A0A174Q6Q0__ERS852406_00063
ERR1913153.635728__1.635728	28111__E5WYC3__NCTC11155_03517
ERR1913153.635687__1.635687	1262911__R6H2J2__BN557_01228
ERR1913153.636249__1.636249	572010__tufA
ERR1913153.636195__1.636195	39491__A0A0M6WWT1__dus_2
ERR1913153.636199__1.636199	28118__F9Z408__NCTC10826_01194
ERR1913153.636260__1.636260	820__A0A374Q8T2__DXB64_16190
ERR1913153.636268__1.636268	33043__A0A174B6N5__ERS852445_02414
ERR1913153.636216__1.636216	1150298__R7JND0__ERS852498_02814
ERR1913153.636228__1.636228	216816__C2GUV2__APC1478_0430
ERR1913153.636380__1.636380	301302__R5ULM4__M72_25081
ERR1913153.636422__1.636422	40518__R5DMC7__blaR1
ERR1913153.636393__1.636393	301302__A0A0M6X0D2__cpsB_2
ERR1913153.636602__1.636602	357276__A0A0P0M2G3__BACDOR_03913
ERR1913153.636802__1.636802	216816__Q8G6X1__DD674_00140
ERR1913153.636988__1.636988	1262992__R5DC57__BN795_01509
ERR1913153.636998__1.636998	46503__A7AB27__DXB85_00430
ERR1913153.637125__1.637125	301302__A0A173TWC1__phoR_7
ERR1913153.637154__1.637154	1150298__A0A174HXS4__ERS852498_00503
ERR1913153.637183__1.637183	821__A0A173WG51__BVU_2549
ERR1913153.637303__1.637303	823__A0A174DZM1__DDY96_10310
ERR1913153.637406__1.637406	820__I9TWZ7__DXC80_10550
ERR1913153.637364__1.637364	1262886__R6Q953__BN563_01252
ERR1913153.637517__1.637517	40518__R5E426__DXD93_04485
ERR1913153.637600__1.637600	823__A0A073I9P2__CF162_18000
ERR1913153.637749__1.637749	821__I9R3W6__DXC16_12455
ERR1913153.638313__1.638313	820__A0A139K0J1__HMPREF2141_03205
ERR1913153.638408__1.638408	46228__V8BLL4__HMPREF1202_02582
ERR1913153.638419__1.638419	1897011__A0A1Q6RE92__BHW41_04980
ERR1913153.638678__1.638678	338188__A0A173WBJ8__rpoE_1
ERR1913153.638696__1.638696	40518__R5DLJ7__lytR_4
ERR1913153.638965__1.638965	28117__B0MUY3__BHV66_00515
ERR1913153.638972__1.638972	1150298__A0A174KW35__cbbX
ERR1913153.639265__1.639265	40518__R5DXP6__DXD83_06110
ERR1913153.639328__1.639328	626933__H1DGX0__HMPREF9449_01506
ERR1913153.639614__1.639614	1262743__R5C054__BN727_01980
ERR1913153.639683__1.639683	301302__A0A173T1J1__M72_18951
ERR1913153.639785__1.639785	33043__A0A173SS22__yceG
ERR1913153.639819__1.639819	1150298__R7JRK4__ERS852406_01648
ERR1913153.640011__1.640011	544645__A0A3E4T7C6__DXC42_09005
ERR1913153.640266__1.640266	216816__V6XWW6__RY67_1738
ERR1913153.640512__1.640512	301302__R5VFU2__xynA1
ERR1913153.640480__1.640480	100886__A0A174JPG5__CATMIT_00078
ERR1913153.640557__1.640557	338188__K5CB50__BACFIN_05402
ERR1913153.640907__1.640907	328814__GCA_004558275.1_00087
ERR1913153.640909__1.640909	46228__V8BPH7__RUMLAC_01273
ERR1913153.640921__1.640921	33043__A0A173YLD4__ERS852575_00535
ERR1913153.641055__1.641055	823__A0A355XF06__B5F32_11480
ERR1913153.641069__1.641069	1262886__R6QCG3__BN563_00145
ERR1913153.641085__1.641085	39486__B0G1Y1__DXD82_09465
ERR1913153.641098__1.641098	88431__A0A3D0EYE9__rafA
ERR1913153.641223__1.641223	39491__A0A173TFQ1__rsmF
ERR1913153.641237__1.641237	823__A0A174L7J4__CF162_00380
ERR1913153.641283__1.641283	1262924__R7HPZ6__BN585_00681
ERR1913153.641303__1.641303	40518__R5DUG7__sbcC
ERR1913153.641338__1.641338	853__A0A2A7B9I6__DW855_13690
ERR1913153.641512__1.641512	40518__R5DS23__DXD86_01715
ERR1913153.641513__1.641513	310298__B3JEV4__BACCOP_00398
ERR1913153.641788__1.641788	936548__J1BCR8__HMPREF1136_0196
ERR1913153.641818__1.641818	46228__V8CAV6__addA
ERR1913153.641876__1.641876	1262911__R6GMK4__BN557_00535
ERR1913153.641976__1.641976	1160721__W0U5X6__RBI_I01796
ERR1913153.642144__1.642144	823__D7IV95__DXC05_09565
ERR1913153.642716__1.642716	1262886__R6QD45__BN563_01703
ERR1913153.642745__1.642745	820__A0A3E4FZM1__adaA_2
ERR1913153.642832__1.642832	40519__U2MCQ8__RUMCAL_00556
ERR1913153.642888__1.642888	40518__R5E6K5__speA
ERR1913153.642949__1.642949	1150298__A0A174BP05__murAA
ERR1913153.643073__1.643073	46503__A7ADV9__ERS852463_01504
ERR1913153.643141__1.643141	821__D4V4X2__DXC16_18525
ERR1913153.643271__1.643271	1263005__R6FM26__BN497_00689
ERR1913153.643299__1.643299	40518__R5E328__DXD86_08885
ERR1913153.643562__1.643562	40518__R5E6K5__speA
ERR1913153.643600__1.643600	820__A0A3E4W9W8__C801_01069
ERR1913153.643610__1.643610	40518__R5DY98__mepA_5
ERR1913153.643685__1.643685	47678__R5UBT0__CGC64_12195
ERR1913153.643768__1.643768	301302__A0A173T3P5__ERS852420_01836
ERR1913153.643794__1.643794	301302__R5UUM8__ganB_1
ERR1913153.643816__1.643816	410072__A0A174E1G6__phoR_6
ERR1913153.643928__1.643928	1262911__R6GY78__BN557_00532
ERR1913153.644071__1.644071	999425__A0A380L8N8__HMPREF9186_01846
ERR1913153.644080__1.644080	371601__C3QHD1__SAMN05216250_11168
ERR1913153.644138__1.644138	28116__A0A1Y4Q112__evgS_13
ERR1913153.644260__1.644260	410072__C0BBL7__ERS852389_00531
ERR1913153.644525__1.644525	1262924__R7HM72__BN585_01169
ERR1913153.644608__1.644608	301302__R5UKP4__cbiT
ERR1913153.644658__1.644658	357276__B6W1J2__BACDOR_03380
ERR1913153.644765__1.644765	820__A0A174Q0F0__DXB48_08080
ERR1913153.644746__1.644746	166486__D4KWM9__ROSINTL182_06036
ERR1913153.644795__1.644795	39491__D4JMW8__ERS852497_01971
ERR1913153.644955__1.644955	46503__R6X607__HMPREF1060_03545
ERR1913153.644970__1.644970	39491__A0A395ZHW9__DXC13_02590
ERR1913153.645098__1.645098	39491__C4ZD70__LD38_03510
ERR1913153.645125__1.645125	39486__R6SCN1__DXB36_08330
ERR1913153.645225__1.645225	821__A0A396F598__CUU_3259
ERR1913153.645264__1.645264	40518__R5DYU1__DXD86_01160
ERR1913153.645271__1.645271	28111__B0NT39__NCTC11155_02876
ERR1913153.645507__1.645507	357276__B6VT86__IY41_22515
ERR1913153.645462__1.645462	1262911__R6H174__BN557_01246
ERR1913153.645429__1.645429	487174__R5F2W8__HMPREF9448_01730
ERR1913153.645533__1.645533	310298__B3JQJ5__BACCOP_04231
ERR1913153.645671__1.645671	39490__U2RLK4__HMPREF0373_00333
ERR1913153.645738__1.645738	1262882__R5MKX3__BN519_00395
ERR1913153.645874__1.645874	820__A0A139KG04__ERS852459_01249
ERR1913153.646355__1.646355	1150298__A0A174R4D7__tmpC_2
ERR1913153.646375__1.646375	820__A0A139KH21__DXC80_01780
ERR1913153.646467__1.646467	216816__A0A396FRQ5__DD678_01245
ERR1913153.646588__1.646588	84030__D6DJV5__B5F06_00390
ERR1913153.646621__1.646621	821__A0A174MBW9__SAMN04487923_10272
ERR1913153.646757__1.646757	1262886__R6QA85__BN563_00826
ERR1913153.646781__1.646781	360807__A0A0M6WWU2__ERS852392_02262
ERR1913153.646865__1.646865	360807__A0A1Q6T326__appA_1
ERR1913153.647125__1.647125	166486__D4L0G5__ROSINTL182_08176
ERR1913153.647131__1.647131	1680__A0A0C2YNK5__BADO_0780
ERR1913153.647137__1.647137	338188__C9L3B8__HMPREF1057_03388
ERR1913153.647452__1.647452	46503__R6X0P0__DXB61_03855
ERR1913153.647579__1.647579	100886__A0A174M1X1__CATMIT_00960
ERR1913153.647856__1.647856	823__A0A073I1X2__DXD05_18820
ERR1913153.647810__1.647810	301302__R5ULM4__M72_25081
ERR1913153.648033__1.648033	40518__R5DVR2__RBL236_00303
ERR1913153.648088__1.648088	33043__D5HGS9__ERS852445_02226
ERR1913153.648174__1.648174	820__R9I2U8__DXC68_09590
ERR1913153.648103__1.648103	853__A0A3E2U7E6__ERS852582_01640
ERR1913153.648308__1.648308	216816__B3DPC3__CE169_06855
ERR1913153.648412__1.648412	28111__E5WUE7__BACEGG_02087
ERR1913153.648518__1.648518	301302__R5UKP4__cbiT
ERR1913153.648576__1.648576	2173__A0A1D2WXC5__METSMIALI_01265
ERR1913153.648858__1.648858	823__A0A174UR44__M095_2641
ERR1913153.648887__1.648887	46228__V8C7P7__HMPREF1202_01523
ERR1913153.648948__1.648948	328814__GCA_004558275.1_00076
ERR1913153.648967__1.648967	1150298__A0A174SLE6__mlc_1
ERR1913153.649406__1.649406	853__A0A2J4JL53__CRH10_10795
ERR1913153.649529__1.649529	40519__U2MCQ8__RUMCAL_00556
ERR1913153.649551__1.649551	301302__R5UKF2__M72_19701
ERR1913153.649630__1.649630	154046__A0A174DWV4__DXD79_02085
ERR1913153.649820__1.649820	820__A0A174GK47__ERS852421_00200
ERR1913153.649836__1.649836	1150298__A0A173ZYU8__sipT_2
ERR1913153.649894__1.649894	40518__R5DQJ0__DXD93_03790
ERR1913153.649955__1.649955	823__A0A174VHT1__DHP27_04775
ERR1913153.650086__1.650086	33043__D5HJ22__ERS852575_02302
ERR1913153.650155__1.650155	214856__I3YPP9__Alfi_2707
ERR1913153.650162__1.650162	40518__R5DUG7__sbcC
ERR1913153.650351__1.650351	301302__A0A0M6WG68__ERS852420_02421
ERR1913153.650318__1.650318	301302__A0A173T8V6__ERS852420_01966
ERR1913153.650326__1.650326	40518__R5E1X3__clcA
ERR1913153.650374__1.650374	39491__A0A396FMT0__EUBREC_3020
ERR1913153.650381__1.650381	821__A0A395UNT8__DXD64_15275
ERR1913153.650479__1.650479	40518__R5DP61__DXD86_06345
ERR1913153.650515__1.650515	40518__R5DLM5__RB5AMG_00422
ERR1913153.650601__1.650601	387661__K6AIS2__B5F96_14865
ERR1913153.650757__1.650757	47678__A5ZHL2__DXB67_12495
ERR1913153.650830__1.650830	33025__A0A395J947__C8D73_11315
ERR1913153.650881__1.650881	1150298__A0A174LE54__cysA
ERR1913153.650935__1.650935	40518__R5DR72__RBL236_02110
ERR1913153.651031__1.651031	371601__D6CWZ8__CW3_1356
ERR1913153.651085__1.651085	28111__E5X120__NCTC11155_02427
ERR1913153.651088__1.651088	40518__R5DYU1__DXD86_01160
ERR1913153.651118__1.651118	46506__S3YT03__AA415_01895
ERR1913153.651236__1.651236	40518__R5E1X3__clcA
ERR1913153.651251__1.651251	820__A0A173WUD7__DXB48_08055
ERR1913153.651279__1.651279	301302__A0A0M6WWC3__M72_11371
ERR1913153.651392__1.651392	376805__F0R8H8__Bacsa_0435
ERR1913153.651437__1.651437	28117__B0MY36__BHV66_05185
ERR1913153.651439__1.651439	33043__A8SWZ6__ERS852386_02582
ERR1913153.651508__1.651508	40518__R5DXH2__DXD83_10135
ERR1913153.651575__1.651575	46503__R6XDP9__ERS852463_01752
ERR1913153.651753__1.651753	39492__D4JTL0__EUBSIR_01428
ERR1913153.651883__1.651883	823__A6L9D3__ERS852560_03374
ERR1913153.651897__1.651897	1150298__A0A174QS63__ERS852406_03087
ERR1913153.651898__1.651898	301302__A0A0M6WVU2__M72_13551
ERR1913153.652075__1.652075	820__A0A3E4RTP0__C801_01067
ERR1913153.652240__1.652240	46503__R6X0L4__DXB61_05325
ERR1913153.652717__1.652717	1262886__R6QIV0__BN563_00982
ERR1913153.652828__1.652828	216816__B7GQ29__APC1465_1199
ERR1913153.652836__1.652836	39491__A0A395V0H3__ERS852417_01192
ERR1913153.652889__1.652889	1262743__R5C054__BN727_01980
ERR1913153.652900__1.652900	88431__A6BF91__ERS852573_01159
ERR1913153.653008__1.653008	371601__F7LHU5__B5E52_04280
ERR1913153.653107__1.653107	216816__C2GW26__chb
ERR1913153.653212__1.653212	88431__A0A3E5GJ50__DORLON_02273
ERR1913153.653521__1.653521	47678__A5ZHL2__DXB67_12495
ERR1913153.653753__1.653753	338188__A0A174ETX3__ERS852397_01955
ERR1913153.653769__1.653769	371601__D6CW80__CW1_2117
ERR1913153.653786__1.653786	301302__R5V4M3__ERS852420_01171
ERR1913153.654121__1.654121	821__A0A395UNT8__DXD64_15275
ERR1913153.654282__1.654282	1150298__A0A174S2H3__spoIIQ
ERR1913153.654342__1.654342	88431__A0A174EMW0__thiD_1
ERR1913153.654352__1.654352	1262886__R6RCC2__BN563_00326
ERR1913153.654439__1.654439	40518__R5DLU0__fmt
ERR1913153.654487__1.654487	40518__R5DR96__RBATCC27255_01185
ERR1913153.654749__1.654749	39492__D4JSS4__ERS852540_02517
ERR1913153.654812__1.654812	204516__U6RFV1__HMPREF1534_02560
ERR1913153.654821__1.654821	39491__A0A395ZHW9__DXC13_02590
ERR1913153.654950__1.654950	88431__A0A174IEH2__DXB16_05910
ERR1913153.655015__1.655015	33043__A8SPT5__yfiN_2
ERR1913153.655025__1.655025	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913153.655097__1.655097	28118__F9Z7E2__NCTC10826_02531
ERR1913153.655464__1.655464	40518__R5E5W1__RBL263_01034
ERR1913153.655655__1.655655	39492__D4JTF2__mutS2
ERR1913153.655847__1.655847	40520__A0A3E5EE86__DXC87_05035
ERR1913153.655969__1.655969	301302__A0A173RZU9__M72_23561
ERR1913153.656101__1.656101	820__A0A3E4WCC2__lptB_1
ERR1913153.656154__1.656154	40518__R5DU28__DXD86_07960
ERR1913153.656173__1.656173	1150298__R7JND0__ERS852498_02814
ERR1913153.656288__1.656288	47678__R5U2X1__ERS852494_00033
