ERR1913311.69__1.69	410072__A0A3E4GMB7__COPCOM_03357
ERR1913311.576833__1.576833	1262882__R5MZZ3__BN519_00482
ERR1913311.576962__1.576962	1262882__R5MKU2__BN519_01271
ERR1913311.577168__1.577168	39491__D6DXZ8__DXB72_15035
ERR1913311.577197__1.577197	1297617__A0A0S2W0Z8__BIV19_14205
ERR1913311.577222__1.577222	147206__GCF_000156215.1_01777
ERR1913311.577281__1.577281	1262924__R7HQP2__BN585_01509
ERR1913311.577332__1.577332	39492__D4JWP8__EUBSIR_00699
ERR1913311.577384__1.577384	39491__A0A395V0E5__ERE_31370
ERR1913311.577506__1.577506	1262913__R7JJ84__BN646_02214
ERR1913311.577641__1.577641	74426__nifJ
ERR1913311.577715__1.577715	40518__R5DUU2__yvhJ_2
ERR1913311.577734__1.577734	47678__R5UGX6__CGC64_16275
ERR1913311.577735__1.577735	39488__A0A174CH59__DXD91_12625
ERR1913311.577737__1.577737	1262924__R7HT26__BN585_00306
ERR1913311.577771__1.577771	39492__D4JQS7__ERS852540_01645
ERR1913311.577840__1.577840	1262743__R5C054__BN727_01980
ERR1913311.578084__1.578084	1262992__R5CXK6__BN795_00999
ERR1913311.578187__1.578187	214856__R6Z288__ERS852447_00734
ERR1913311.578290__1.578290	626933__H1DGX0__HMPREF9449_01506
ERR1913311.578366__1.578366	292800__G9YSG9__HMPREF0372_02476
ERR1913311.578447__1.578447	544645__A0A373UEZ6__DXC42_11590
ERR1913311.578448__1.578448	39492__D4JSG7__EUBSIR_01006
ERR1913311.578551__1.578551	853__A0A2A7B1Y7__C7K05_11930
ERR1913311.579034__1.579034	357276__A0A0K2HJA6__DXD47_07320
ERR1913311.579146__1.579146	88431__R7FUI2__ERS852423_02700
ERR1913311.579172__1.579172	166486__D4KVZ4__sleB_3
ERR1913311.579206__1.579206	166486__D4L1L1__ROSINTL182_05277
ERR1913311.579217__1.579217	1262986__R5ZZY1__BN492_00394
ERR1913311.579296__1.579296	39492__R6SA81__EUBSIR_00402
ERR1913311.579410__1.579410	39492__D4JR20__trmD
ERR1913311.579502__1.579502	357276__I8WEZ6__BACDOR_02323
ERR1913311.579529__1.579529	853__D4KAK8__C4N21_13380
ERR1913311.579676__1.579676	487175__R5EJB5__HMPREF9439_01621
ERR1913311.579643__1.579643	28116__A0A1Y4PHM7__DXA80_25130
ERR1913311.579708__1.579708	246787__A0A3D6B182__HMPREF1062_00600
ERR1913311.579770__1.579770	39491__D4JMW8__ERS852497_01971
ERR1913311.579780__1.579780	1262913__R7JFH5__BN646_01996
ERR1913311.579823__1.579823	1262882__R5MJM8__BN519_01064
ERR1913311.579988__1.579988	1099853__G9S6S5__NSB1T_01700
ERR1913311.580113__1.580113	820__A7V049__DXB48_04755
ERR1913311.580212__1.580212	39492__D4JTU4__ykfG
ERR1913311.580251__1.580251	40518__R5DLW4__thiN
ERR1913311.580256__1.580256	39492__D4JR20__trmD
ERR1913311.580285__1.580285	301301__A0A395V8W4__RHOM_04130
ERR1913311.580369__1.580369	301301__G2T207__cph2_5
ERR1913311.580558__1.580558	39492__D4JQY4__EUBSIR_01325
ERR1913311.580616__1.580616	1262882__R5MK03__BN519_01277
ERR1913311.580654__1.580654	1262924__R7HQ14__BN585_00419
ERR1913311.580791__1.580791	214856__R6Y8K1__ERS852447_02509
ERR1913311.580792__1.580792	1262882__R5MM96__BN519_01545
ERR1913311.580875__1.580875	1262882__R5MMD8__BN519_01576
ERR1913311.580881__1.580881	357276__A0A0K2HDP3__IY41_00705
ERR1913311.581086__1.581086	39492__D4JQS7__ERS852540_01645
ERR1913311.581169__1.581169	39492__D4JWL2__ERS852540_01201
ERR1913311.581170__1.581170	39491__C4ZF05__vpr
ERR1913311.581202__1.581202	1262882__R5MYP2__BN519_00435
ERR1913311.581386__1.581386	371601__D0TQ02__CW3_2465
ERR1913311.581526__1.581526	371601__A0A174FWT4__SAMN04487924_11134
ERR1913311.581559__1.581559	39492__D4JWB3__EUBSIR_00040
ERR1913311.581563__1.581563	246787__A0A3D6AZ54__BcellWH2_03646
ERR1913311.581618__1.581618	818__A0A3E5HN77__HMPREF2534_00072
ERR1913311.581633__1.581633	74426__sugC
ERR1913311.581647__1.581647	246787__A0A3D6AS39__ina
ERR1913311.581749__1.581749	357276__A0A076IS46__BACDOR_03265
ERR1913311.581806__1.581806	39491__A0A395UYA6__EUBREC_0408
ERR1913311.581915__1.581915	1318__W1VLP5__HMPREF1195_01494
ERR1913311.582023__1.582023	39492__D4JTL0__EUBSIR_01428
ERR1913311.582032__1.582032	46228__V8BLW9__DXD17_14090
ERR1913311.582089__1.582089	1262882__R5N3T7__BN519_01188
ERR1913311.582152__1.582152	357276__B6W1Y1__BSEG_03960
ERR1913311.582204__1.582204	371601__D0TQ02__CW3_2465
ERR1913311.582189__1.582189	360807__A0A396ADY6__RIL183_17001
ERR1913311.582319__1.582319	1262882__R5MND9__BN519_00831
ERR1913311.582379__1.582379	626933__H1DGX0__HMPREF9449_01506
ERR1913311.582421__1.582421	39492__D4MN06__EUBSIR_02672
ERR1913311.582765__1.582765	1150298__A0A174SLE6__mlc_1
ERR1913311.582799__1.582799	1150298__A0A173YHI7__ERS852406_00466
ERR1913311.582874__1.582874	39492__D4JRM9__bglB_2
ERR1913311.582956__1.582956	1262882__R5MHQ8__BN519_00707
ERR1913311.583019__1.583019	1262882__R5MKL9__BN519_00353
ERR1913311.583099__1.583099	301301__A0A395VAM3__yfiN_2
ERR1913311.583273__1.583273	39492__D4JT68__spoIIIE
ERR1913311.583355__1.583355	39485__A0A174ZBK4__ERS852490_01585
ERR1913311.583381__1.583381	821__A0A3E4WAR6__DXD64_10735
ERR1913311.583440__1.583440	357276__B6VW91__BACDOR_01584
ERR1913311.583509__1.583509	818__A0A139JW76__BJP75_002555
ERR1913311.583518__1.583518	1735__B7CC21__EUBIFOR_01746
ERR1913311.583576__1.583576	626933__H1DGX0__HMPREF9449_01506
ERR1913311.583832__1.583832	40518__R5DP21__RBATCC27255_00348
ERR1913311.583833__1.583833	39492__D4JU31__ERS852540_00198
ERR1913311.583947__1.583947	74426__group_4851
ERR1913311.584110__1.584110	410072__A0A173YNZ0__ERS852481_00766
ERR1913311.584275__1.584275	2108523__A0A2P2F6V3__LAWASA_1735
ERR1913311.584277__1.584277	1262882__R5MYP8__BN519_00439
ERR1913311.584351__1.584351	214856__I3YMN6__Alfi_1938
ERR1913311.584418__1.584418	1262992__R5CX23__BN795_00823
ERR1913311.584433__1.584433	39492__D4JQX3__EUBSIR_01310
ERR1913311.584564__1.584564	216816__E8MVM4__APC1480_1562
ERR1913311.584576__1.584576	39492__D4JVZ6__truB
ERR1913311.584608__1.584608	853__A0A2A7B9I6__DW855_13690
ERR1913311.584650__1.584650	46503__R6WTN6__PARMER_00136
ERR1913311.584657__1.584657	46228__V8CGF0__HMPREF1202_00126
ERR1913311.584710__1.584710	166486__D4KYM4__ERS852572_02981
ERR1913311.584761__1.584761	39492__D4JWA3__ERS852540_01332
ERR1913311.584948__1.584948	39491__A0A396FNY7__LD38_16155
ERR1913311.585098__1.585098	1262980__R5BZ40__BN814_00028
ERR1913311.585190__1.585190	1262924__R7HNZ2__BN585_02017
ERR1913311.585253__1.585253	218538__C9LNQ3__GCWU000321_01176
ERR1913311.585307__1.585307	301301__A0A395VBY5__yfiN_1
ERR1913311.585424__1.585424	39492__D4JWR6__dnaN
ERR1913311.585438__1.585438	47678__R5U558__ERS852558_02232
ERR1913311.585486__1.585486	821__A0A174V2F3__NCTC10583_01474
ERR1913311.585495__1.585495	292800__A0A174WEZ4__HMPREF9460_03559
ERR1913311.585582__1.585582	39491__A0A396FBR6__DXC13_08575
ERR1913311.585640__1.585640	418240__A0A174G147__toxA_4
ERR1913311.585668__1.585668	1262882__R5MPL0__BN519_01038
ERR1913311.585718__1.585718	1262882__R5N3H1__BN519_01121
ERR1913311.585747__1.585747	1262924__R7HSB4__BN585_00816
ERR1913311.585788__1.585788	1262882__R5MHZ2__BN519_00742
ERR1913311.585882__1.585882	214856__A0A174CRY5__ERS852559_01060
ERR1913311.585967__1.585967	46228__B5CSE2__HMPREF1202_00716
ERR1913311.586022__1.586022	2108523__A0A2P2F2M4__LAWASA_205
ERR1913311.586115__1.586115	39491__C4Z8B6__ERE_17960
ERR1913311.586176__1.586176	246787__R6LCL3__AA416_03522
ERR1913311.586212__1.586212	39485__C4Z028__ERS852492_00100
ERR1913311.586283__1.586283	1965662__A0A1Y3RKH7__B5G38_15260
ERR1913311.586361__1.586361	214856__A0A174A1J3__ERS852447_01000
ERR1913311.586384__1.586384	39492__D4MM10__EUBSIR_01460
ERR1913311.586387__1.586387	39492__B0MNQ2__EUBSIR_01459
ERR1913311.586463__1.586463	1150298__R7JQR1__sipW
ERR1913311.586501__1.586501	1262882__R5N349__BN519_01037
ERR1913311.586714__1.586714	1680__R5GMB5__AD0028_1137
ERR1913311.586761__1.586761	39492__D4JUR4__ERS852540_01427
ERR1913311.586763__1.586763	1735__B7CCQ4__EUBIFOR_01982
ERR1913311.587154__1.587154	853__A0A2A7B1Y7__C7K05_11930
ERR1913311.587176__1.587176	1263000__R5EXT3__BN466_02213
ERR1913311.587211__1.587211	1262924__R7HM98__BN585_01697
ERR1913311.587380__1.587380	1262913__R7JLM0__BN646_02687
ERR1913311.587494__1.587494	33039__A0A173VTT4__frdB_1
ERR1913311.587752__1.587752	1262924__R7HL71__BN585_01341
ERR1913311.587765__1.587765	39492__D4JT68__spoIIIE
ERR1913311.587840__1.587840	40518__R5E5W1__RBL263_01034
ERR1913311.587896__1.587896	418240__C6J843__ERS852478_02458
ERR1913311.588055__1.588055	1150298__R7JXP3__ERS852535_00653
ERR1913311.588210__1.588210	371601__D0TQ02__CW3_2465
ERR1913311.588273__1.588273	1262882__R5MEK3__BN519_00296
ERR1913311.588354__1.588354	1262913__R7J758__BN646_00842
ERR1913311.588440__1.588440	46228__V8BPD3__HMPREF1202_02498
ERR1913311.588476__1.588476	40520__A0A395X4V2__C4886_02700
ERR1913311.588509__1.588509	39492__D4JVC7__yfgF
ERR1913311.588515__1.588515	46228__V8CDQ4__RUMLAC_02769
ERR1913311.588691__1.588691	1262889__R7HC51__BN634_01378
ERR1913311.588725__1.588725	39491__A0A395V0H6__ERS852580_02570
ERR1913311.588852__1.588852	39491__C4Z9K7__EUBREC_0050
ERR1913311.589092__1.589092	1262882__R5MIY9__BN519_01097
ERR1913311.589116__1.589116	823__A6LEF1__CF162_12695
ERR1913311.589117__1.589117	39492__D4JRR5__ERS852540_02089
ERR1913311.589161__1.589161	39492__D4JRZ7__smc
ERR1913311.589164__1.589164	1965576__A0A1Y4L4P7__B5F19_14170
ERR1913311.589236__1.589236	39491__R6TQ09__DXC13_03010
ERR1913311.589517__1.589517	1262913__R7JL29__BN646_02715
ERR1913311.589551__1.589551	821__A0A0P0M6M0__M097_4734
ERR1913311.589601__1.589601	47678__R5U2F6__HMPREF1061_00767
ERR1913311.589610__1.589610	818__A0A0P0FLN9__NCTC13706_01794
ERR1913311.589613__1.589613	39492__A0A174ZP27__EUBSIR_00033
ERR1913311.589890__1.589890	39492__D4JVX0__udk
ERR1913311.590049__1.590049	166486__A0A173VSA0__ROSINTL182_06124
ERR1913311.590075__1.590075	820__A0A174FUF0__HMPREF1073_03308
ERR1913311.590116__1.590116	39492__R6SPM9__pheT
ERR1913311.590185__1.590185	33039__A0A173VTT4__frdB_1
ERR1913311.590189__1.590189	214856__I3YPN5__Alfi_2693
ERR1913311.590203__1.590203	357276__B6W5Q9__HMPREF1063_03125
ERR1913311.590311__1.590311	820__A0A1Q6IDS8__chtA
ERR1913311.590352__1.590352	28116__A0A1G6G396__DXD69_22115
ERR1913311.590460__1.590460	1262924__R7HQS1__BN585_00657
ERR1913311.590555__1.590555	28116__C3QXZ9__DXA80_15295
ERR1913311.590858__1.590858	39492__B0MNL5__phoR_1
ERR1913311.591261__1.591261	1262913__R7JG60__BN646_02159
ERR1913311.591377__1.591377	1262882__R5N3H1__BN519_01121
ERR1913311.591478__1.591478	1796613__A0A1C7H6N8__ADH74_01350
ERR1913311.591479__1.591479	1262924__R7HRW7__BN585_01894
ERR1913311.591847__1.591847	1099853__U5CFD2__NSB1T_03705
ERR1913311.591861__1.591861	1262889__R7H8M0__BN634_00524
ERR1913311.591881__1.591881	28116__A0A3D2LPA1__CUY_3388
ERR1913311.591885__1.591885	40518__R5E6K4__RB5AMG_02070
ERR1913311.591926__1.591926	1262924__R7HRF6__BN585_01735
ERR1913311.591967__1.591967	39492__D4JRR5__ERS852540_02089
ERR1913311.592011__1.592011	39492__D4JU36__cobC_1
ERR1913311.592113__1.592113	1262824__R6RS08__BN719_00545
ERR1913311.592362__1.592362	2108523__A0A2P2F586__LAWASA_1166
ERR1913311.592408__1.592408	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913311.592428__1.592428	39492__B0MNQ2__EUBSIR_01459
ERR1913311.592439__1.592439	1262882__R5N5D7__BN519_01676
ERR1913311.592451__1.592451	39492__D4JX87__EUBSIR_00361
ERR1913311.592583__1.592583	371601__D6D2M1__CW1_3199
ERR1913311.592734__1.592734	28116__A7M018__M089_5540
ERR1913311.592882__1.592882	46228__V8BLJ0__DXD17_08675
ERR1913311.592931__1.592931	47678__R5U7X5__ERS852558_01354
ERR1913311.592954__1.592954	821__A0A3E4KIM1__M097_3660
ERR1913311.593183__1.593183	39492__D4JTG7__EUBSIR_00572
ERR1913311.593209__1.593209	39492__D4JRV7__EUBSIR_01513
ERR1913311.593250__1.593250	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913311.593517__1.593517	39491__C4Z8S1__DXB76_06750
ERR1913311.593669__1.593669	1262889__R7HBU7__BN634_01579
ERR1913311.594093__1.594093	301301__A0A395VBJ2__ERS852391_02160
ERR1913311.594115__1.594115	39492__D4MIY5__EUBSIR_00233
ERR1913311.594162__1.594162	1105031__J1H3W2__HMPREF1141_2783
ERR1913311.594327__1.594327	39492__R6RT40__prkC_3
ERR1913311.594417__1.594417	39492__D4JSB6__ERS852540_00627
ERR1913311.594466__1.594466	1262992__R5CXK6__BN795_00999
ERR1913311.594580__1.594580	214856__R6XS46__ERS852559_00812
ERR1913311.594888__1.594888	39492__D4JSG7__EUBSIR_01006
ERR1913311.594967__1.594967	418240__A0A174D0Q2__ERS852478_02068
ERR1913311.595114__1.595114	371601__I9ALH7__DXD80_15875
ERR1913311.595308__1.595308	40518__R5E8B6__RB5AMG_00876
ERR1913311.595514__1.595514	387090__S0F3Z9__BACCOPRO_00013
ERR1913311.595575__1.595575	357276__A0A076IXE0__HMPREF1064_04364
ERR1913311.595787__1.595787	214856__A0A174ZLY7__ERS852447_02456
ERR1913311.595850__1.595850	853__A0A173YYY4__DWZ04_09420
ERR1913311.595975__1.595975	39492__D4JSS2__EUBSIR_00553
ERR1913311.596073__1.596073	1262882__R5MMD8__BN519_01576
ERR1913311.596088__1.596088	39492__D4JW25__EUBSIR_02203
ERR1913311.596185__1.596185	410072__A0A173YQW3__dtpT_1
ERR1913311.596193__1.596193	487175__R5EEQ9__HMPREF9439_02786
ERR1913311.596194__1.596194	1262882__R5N3H1__BN519_01121
ERR1913311.596274__1.596274	39486__R6SE83__DXD82_03080
ERR1913311.596349__1.596349	1262913__R7JL29__BN646_02715
ERR1913311.596370__1.596370	371601__C3QPA5__B5E52_17855
ERR1913311.596548__1.596548	204516__U6REI9__HMPREF1534_02357
ERR1913311.596583__1.596583	626933__H1DGX0__HMPREF9449_01506
ERR1913311.596591__1.596591	418240__C6JGZ2__ERS852478_02682
ERR1913311.596603__1.596603	39491__A0A395UUN5__EUBREC_0291
ERR1913311.596660__1.596660	39491__A0A395V297__EUR_01010
ERR1913311.596685__1.596685	39491__C4ZCH3__EUR_17560
ERR1913311.597024__1.597024	328814__GCA_004558275.1_00069
ERR1913311.597091__1.597091	39492__D4JRZ7__smc
ERR1913311.597196__1.597196	626933__H1DGX0__HMPREF9449_01506
ERR1913311.597211__1.597211	39492__D4JRS7__ERS852540_02076
ERR1913311.597284__1.597284	301301__A0A395V407__ERS852391_02230
ERR1913311.597353__1.597353	46228__V8C8S2__RUMLAC_01015
ERR1913311.597354__1.597354	39492__D4JT68__spoIIIE
ERR1913311.597362__1.597362	1680__A0A087DLC6__C8077_00815
ERR1913311.597367__1.597367	1262980__R5BMR8__BN814_00052
ERR1913311.597368__1.597368	39492__D4JT68__spoIIIE
ERR1913311.597520__1.597520	371601__I9ABK9__B5E50_12420
ERR1913311.597642__1.597642	371601__A0A1H4GP73__B5E50_17960
ERR1913311.597791__1.597791	853__A0A173SUU8__CGS54_06840
ERR1913311.598021__1.598021	1262919__R5PFI3__BN465_02148
ERR1913311.598176__1.598176	1897011__A0A1Q6RDN7__BHW41_05650
ERR1913311.598190__1.598190	1262882__R5N5H2__BN519_01493
ERR1913311.598346__1.598346	10680__GeneID:1261100
ERR1913311.598360__1.598360	214856__A0A174FZ29__ERS852559_00600
ERR1913311.598469__1.598469	39485__A0A174ZA08__EUBELI_01019
ERR1913311.598493__1.598493	28116__A7M4E1__NCTC11153_01558
ERR1913311.598576__1.598576	360807__A0A0M6X184__ERS852392_03203
ERR1913311.598647__1.598647	39492__D4JUD7__EUBSIR_01877
ERR1913311.598695__1.598695	39488__C0ET55__tauA
ERR1913311.598742__1.598742	1150298__R7JPI7__cotI
ERR1913311.598890__1.598890	39488__A0A285PVH6__EUBHAL_00530
ERR1913311.599189__1.599189	1262882__R5MEK3__BN519_00296
ERR1913311.599245__1.599245	28116__A0A1Y4VU28__SAMN05444282_1227
ERR1913311.599296__1.599296	218538__C9LQG6__GCWU000321_01798
ERR1913311.599335__1.599335	39492__D4JUD9__EUBSIR_01875
ERR1913311.599412__1.599412	818__R6VB25__BSIG_5053
ERR1913311.599495__1.599495	328814__GCA_004558275.1_01002
ERR1913311.599514__1.599514	166486__D4KZY5__ROSINTL182_07635
ERR1913311.599517__1.599517	40518__R5DSI5__fieF
ERR1913311.599587__1.599587	46503__R6WSB3__DCY29_07745
ERR1913311.599628__1.599628	1099853__U5CNI5__NSB1T_06225
ERR1913311.599638__1.599638	74426__group_4808
ERR1913311.599640__1.599640	39492__D4JUL4__ERS852540_01381
ERR1913311.599783__1.599783	40518__R5DXW3__DXD86_07900
ERR1913311.599815__1.599815	46228__V8CE73__DXD17_11635
ERR1913311.599839__1.599839	39492__A0A174ZG93__EUBSIR_00254
ERR1913311.599867__1.599867	1262882__R5MXW3__BN519_00319
ERR1913311.600064__1.600064	39492__D4JR04__phoU
ERR1913311.600157__1.600157	1262924__R7HM98__BN585_01697
ERR1913311.600233__1.600233	1262913__R7JQ16__BN646_00365
ERR1913311.600295__1.600295	246787__A0A3D6AVT6__BACCELL_02130
ERR1913311.600364__1.600364	487175__R5EH98__HMPREF9439_01623
ERR1913311.600409__1.600409	301301__A0A395VAV8__ERS852391_02437
ERR1913311.600436__1.600436	39492__D4JSU6__dacB_3
ERR1913311.600588__1.600588	418240__A0A174SK46__Int-Tn_1
ERR1913311.600603__1.600603	40518__R5DYU1__DXD86_01160
ERR1913311.600745__1.600745	246787__A0A3D6AYV2__BcellWH2_03647
ERR1913311.600776__1.600776	371601__D6CWZ8__CW3_1356
ERR1913311.600852__1.600852	28116__I9TDA4__BACOV975_03134
ERR1913311.600895__1.600895	39492__D4MMN2__EUBSIR_00964
ERR1913311.600938__1.600938	39491__A0A174K9A3__DXB69_07785
ERR1913311.600957__1.600957	39491__A0A396FKG5__DXB76_07455
ERR1913311.600970__1.600970	371601__A0A1Y4V1T2__DXD80_18495
ERR1913311.601067__1.601067	74426__rpsS
ERR1913311.601121__1.601121	1262882__R5MFK5__BN519_00378
ERR1913311.601319__1.601319	418240__A0A173XCL4__ERS852523_02725
ERR1913311.601293__1.601293	39488__A0A174IFL3__DXD91_00270
ERR1913311.601296__1.601296	39491__A0A2U2EKL1__ERS852580_00911
ERR1913311.601377__1.601377	301301__A0A395VD41__RHOM_11540
ERR1913311.601435__1.601435	39492__R6SPM9__pheT
ERR1913311.601477__1.601477	35833__E5Y8N1__HMPREF0179_02549
ERR1913311.601507__1.601507	853__C7H1R8__DW905_06675
ERR1913311.601592__1.601592	1262882__R5N5J6__BN519_01504
ERR1913311.601653__1.601653	821__A0A0P0LJ37__DXB82_14270
ERR1913311.601757__1.601757	818__A0A174L0X1__NCTC10582_00394
ERR1913311.601788__1.601788	216816__A0A2N0SME6__BLIF_1881
ERR1913311.601848__1.601848	1150298__A0A174N5I7__ERS852498_01953
ERR1913311.601904__1.601904	1263005__R6EZH1__BN497_01614
ERR1913311.601942__1.601942	1263005__R6F312__BN497_01291
ERR1913311.601985__1.601985	39491__A0A174LTW7__DXD13_08720
ERR1913311.601996__1.601996	360807__A0A174D2B1__ROSEINA2194_00224
ERR1913311.602012__1.602012	1263044__GCA_000433375.1_03429
ERR1913311.602110__1.602110	1262989__R6XZS6__BN815_00506
ERR1913311.602114__1.602114	40518__R5DS23__DXD86_01715
ERR1913311.602153__1.602153	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913311.602350__1.602350	853__A0A2A7B1Y7__C7K05_11930
ERR1913311.602397__1.602397	39492__D4JTL0__EUBSIR_01428
ERR1913311.602516__1.602516	1150298__A0A174S4G4__dacB_1
ERR1913311.602572__1.602572	39491__A0A396FJJ9__DXB76_11995
ERR1913311.602639__1.602639	39492__D4JQU2__EUBSIR_01294
ERR1913311.603108__1.603108	1262882__R5MFK5__BN519_00378
ERR1913311.603321__1.603321	1263107__GCA_000436995.1_00213
ERR1913311.603352__1.603352	39491__A0A395ZDC6__addB
ERR1913311.603701__1.603701	1262911__R6H212__BN557_01031
ERR1913311.603734__1.603734	544645__A0A3E4T962__DXC42_08310
ERR1913311.603826__1.603826	39492__D4JTI2__ERS852540_00694
ERR1913311.603889__1.603889	39492__D4JR31__EUBSIR_00106
ERR1913311.604000__1.604000	216816__A0A0M0VK23__BLGT_09805
ERR1913311.604067__1.604067	301301__A0A395V8E1__RHOM_11160
ERR1913311.604109__1.604109	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913311.604238__1.604238	371601__G1UK36__HMPREF1074_03496
ERR1913311.604398__1.604398	1262882__R5N3H1__BN519_01121
ERR1913311.604399__1.604399	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913311.604498__1.604498	166486__D4KZY5__ROSINTL182_07635
ERR1913311.604514__1.604514	39491__D6E4H2__DXB99_00485
ERR1913311.604531__1.604531	33039__D4M149__ERS852390_03118
ERR1913311.604687__1.604687	39485__C4Z2X2__ERS852492_01808
ERR1913311.604827__1.604827	1262924__R7HTK4__BN585_00496
ERR1913311.605038__1.605038	1150298__R7JT48__gsiA_6
ERR1913311.605245__1.605245	1262882__R5MKV8__BN519_01281
ERR1913311.605331__1.605331	39491__A0A2U2EKL1__ERS852580_00911
ERR1913311.605344__1.605344	39492__D4JQL8__ywpJ
ERR1913311.605376__1.605376	1262882__R5N1N6__BN519_00968
ERR1913311.605456__1.605456	28118__F9ZCN2__DF785_09230
ERR1913311.605465__1.605465	1262882__R5N2E1__BN519_01117
ERR1913311.605532__1.605532	39492__D4MIX3__ERS852540_01230
ERR1913311.605642__1.605642	166486__D4KYM4__ERS852572_02981
ERR1913311.605661__1.605661	818__A0A2J6AED2__C5Z03_02940
ERR1913311.605666__1.605666	39492__D4MMN2__EUBSIR_00964
ERR1913311.605678__1.605678	371601__A0A1H4ANE8__SAMN05216250_10552
ERR1913311.605702__1.605702	39492__D4JRM9__bglB_2
ERR1913311.605743__1.605743	39492__D4JSU6__dacB_3
ERR1913311.605809__1.605809	357276__A0A0P0M2G3__BACDOR_03913
ERR1913311.605813__1.605813	28116__A0A396DFW5__C5Z02_07010
ERR1913311.605826__1.605826	216816__A0A2N0SME6__BLIF_1881
ERR1913311.605994__1.605994	1150298__A0A174QNY9__ERS852498_01028
ERR1913311.606423__1.606423	39492__B0MPL6__EUBSIR_01779
ERR1913311.606468__1.606468	39492__D4JUL4__ERS852540_01381
ERR1913311.606474__1.606474	1262913__R7JHX2__BN646_02311
ERR1913311.606516__1.606516	39492__R6SA81__EUBSIR_00402
ERR1913311.606633__1.606633	649756__L1Q8X1__DCR88_03995
ERR1913311.606642__1.606642	28116__A0A1Y4PWN5__M088_3731
ERR1913311.606710__1.606710	1262944__R7IRU9__BN596_01560
ERR1913311.606728__1.606728	28116__A0A1Y4PWN5__M088_3731
ERR1913311.606805__1.606805	39492__D4JV86__spoIIE
ERR1913311.606811__1.606811	1262743__R5C9G8__BN727_01341
ERR1913311.606927__1.606927	39491__A0A395UXH0__EUBREC_0021
ERR1913311.607028__1.607028	487175__R5EIB6__HMPREF9439_01345
ERR1913311.607048__1.607048	1262882__R5MIP9__BN519_01028
ERR1913311.607088__1.607088	39492__D4JUJ6__ssuB_2
ERR1913311.607129__1.607129	39491__A0A395V297__EUR_01010
ERR1913311.607186__1.607186	28116__A0A1Y4PHM7__DXA80_25130
ERR1913311.607228__1.607228	1263005__R6ESE7__BN497_01047
ERR1913311.607393__1.607393	214856__I3YMC8__ERS852447_02666
ERR1913311.607463__1.607463	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913311.607493__1.607493	1262989__R6YGB8__BN815_00667
ERR1913311.607580__1.607580	246787__A0A3D6AQP8__AA416_04153
ERR1913311.607601__1.607601	39485__C4Z434__tilS
ERR1913311.607770__1.607770	1262882__R5MND9__BN519_00831
ERR1913311.607819__1.607819	40518__R5E6X5__sbcD
ERR1913311.608068__1.608068	39491__R6TNE7__T1815_09811
ERR1913311.608270__1.608270	371601__F7LYI1__BN891_45470
ERR1913311.608337__1.608337	1262913__R7JPI3__BN646_00400
ERR1913311.608355__1.608355	338188__A0A1C7H5S1__HMPREF1057_02183
ERR1913311.608595__1.608595	39491__A0A395ZIT8__EUR_13460
ERR1913311.608639__1.608639	1262882__R5MEW7__BN519_00010
ERR1913311.608806__1.608806	246787__A0A3D6AZX0__BACCELL_00122
ERR1913311.608817__1.608817	39485__A0A174YZE2__spoIIE
ERR1913311.608906__1.608906	371601__D6D6P1__DXD03_13270
ERR1913311.608973__1.608973	1262889__R7H9H9__BN634_02436
ERR1913311.608916__1.608916	39492__D4JT68__spoIIIE
ERR1913311.608991__1.608991	357276__A0A076IKP2__HMPREF1063_00218
ERR1913311.609202__1.609202	40518__R5DT93__DXD86_08730
ERR1913311.609254__1.609254	46503__K6A7H7__DCY29_03460
ERR1913311.609353__1.609353	39492__B0MN61__epsF_2
ERR1913311.609337__1.609337	394340__group_3414
ERR1913311.609383__1.609383	39485__A0A174ZJ13__ssuB
ERR1913311.609686__1.609686	1262992__R5D546__BN795_00726
ERR1913311.609704__1.609704	39492__D4JVC7__yfgF
ERR1913311.609779__1.609779	216816__C2GV16__APC1504_1666
ERR1913311.609783__1.609783	39491__A0A395ZE48__DXB76_02395
ERR1913311.609807__1.609807	46228__V8CDM9__HMPREF1202_00303
ERR1913311.610272__1.610272	246787__A0A3D6ART2__HMPREF1062_06211
ERR1913311.610328__1.610328	301302__R5VCB8__M72_07901
ERR1913311.610383__1.610383	39492__B0MPL6__EUBSIR_01779
ERR1913311.610431__1.610431	301301__A0A395V8E1__RHOM_11160
ERR1913311.610395__1.610395	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913311.610472__1.610472	1262924__R7HSB4__BN585_00816
ERR1913311.610492__1.610492	39486__B0GA07__DXD18_03830
ERR1913311.610542__1.610542	74426__infB
ERR1913311.610708__1.610708	39492__D4JRM9__bglB_2
ERR1913311.610826__1.610826	1262924__R7HQD9__BN585_00129
ERR1913311.610921__1.610921	28118__F9Z750__Odosp_3044
ERR1913311.611014__1.611014	246787__R6KIG0__BcellWH2_02358
