ERR1913232.19__1.19	820__A0A139K9Q2__DXD40_08795
ERR1913232.48535__1.48535	69974__A0A090FEL8__MPL3365_630008
ERR1913232.48539__1.48539	1262924__R7HRE7__BN585_00055
ERR1913232.48642__1.48642	310298__B3JQ37__BACCOP_04069
ERR1913232.48680__1.48680	1262924__R7HQX0__BN585_00307
ERR1913232.48687__1.48687	820__A0A139KJR5__M093_4469
ERR1913232.48776__1.48776	165179__D1PGU8__PREVCOP_06463
ERR1913232.48840__1.48840	69974__A0A090FEL8__MPL3365_630008
ERR1913232.49389__1.49389	165179__A0A3E5E8N5__DXC61_13460
ERR1913232.49433__1.49433	165179__A0A3E5ED28__PREVCOP_06655
ERR1913232.49545__1.49545	310298__B3JFS5__BACCOP_00726
ERR1913232.49560__1.49560	853__A0A173TAZ8__DWZ46_14590
ERR1913232.49609__1.49609	69974__A0A090FEL8__MPL3365_630008
ERR1913232.49823__1.49823	310298__B3JFK4__BACCOP_00654
ERR1913232.50042__1.50042	39485__A0A1Q6PH92__cbbX
ERR1913232.50413__1.50413	40518__R5E6N4__DXD93_01325
ERR1913232.50527__1.50527	39491__C4ZHS4__EUR_24420
ERR1913232.50533__1.50533	165179__D1PEQ5__PREVCOP_05711
ERR1913232.50726__1.50726	33039__D4M5D2__ERS852424_00738
ERR1913232.50904__1.50904	360807__A0A1Q6TDQ5__ROSEINA2194_04225
ERR1913232.50911__1.50911	357276__I8WFU9__BACDOR_02006
ERR1913232.50816__1.50816	69974__A0A090FEL8__MPL3365_630008
ERR1913232.50996__1.50996	40518__R5E6Y7__DXD83_08230
ERR1913232.51118__1.51118	165179__D1PHC0__PREVCOP_06640
ERR1913232.51131__1.51131	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913232.51378__1.51378	69974__A0A090FEL8__MPL3365_630008
ERR1913232.51517__1.51517	216816__A0A2U0BT35__BL1206_1860
ERR1913232.51572__1.51572	853__C7H7F8__yccM_1
ERR1913232.51781__1.51781	1680__A0A0C2YPV2__AL0462_1474
ERR1913232.52049__1.52049	40518__R5E6Y7__DXD83_08230
ERR1913232.52094__1.52094	69974__A0A090FEL8__MPL3365_630008
ERR1913232.52139__1.52139	39485__A0A1Q6PGI3__ERS852492_02967
ERR1913232.52229__1.52229	410072__C0BBT6__DXD67_02315
ERR1913232.52276__1.52276	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913232.52344__1.52344	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913232.52577__1.52577	165179__A0A3E5A5E5__DXC61_13965
ERR1913232.52718__1.52718	69974__A0A090FEL8__MPL3365_630008
ERR1913232.52821__1.52821	310298__B3JEE8__BACCOP_00239
ERR1913232.52943__1.52943	116085__D4JBM5__DW747_01240
ERR1913232.53082__1.53082	74426__gap
ERR1913232.53085__1.53085	28117__B0MXX2__ALIPUT_01984
ERR1913232.53179__1.53179	853__A0A174AML0__FPR_08640
ERR1913232.53418__1.53418	39485__C4Z6K2__ERS852490_00407
ERR1913232.53442__1.53442	39492__D4JTF2__mutS2
ERR1913232.53671__1.53671	1262739__R6MK77__BN659_00760
ERR1913232.53673__1.53673	165179__A0A3E5EA83__DXC61_07750
ERR1913232.53702__1.53702	310298__B3JNG7__BACCOP_03480
ERR1913232.53837__1.53837	39491__A0A395ZDC6__addB
ERR1913232.54136__1.54136	820__A0A139KHD8__ERS417307_00569
ERR1913232.54150__1.54150	626933__H1DGX0__HMPREF9449_01506
ERR1913232.54419__1.54419	69974__A0A090FEL8__MPL3365_630008
ERR1913232.54515__1.54515	39491__A0A395V297__EUR_01010
ERR1913232.55030__1.55030	28117__B0MT86__BHV66_02450
ERR1913232.55381__1.55381	1262924__R7HUG0__BN585_00790
ERR1913232.55401__1.55401	853__A0A2A7AXC8__C4N21_14120
ERR1913232.55462__1.55462	216816__A0A087BBV6__BFS26_06210
ERR1913232.55497__1.55497	28117__B0MWP2__ALIPUT_01468
ERR1913232.55525__1.55525	357276__I8WEY2__ABI39_04185
ERR1913232.55633__1.55633	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913232.55790__1.55790	40518__R5E282__DXD86_08940
ERR1913232.55802__1.55802	39485__A0A174YVB5__lyc
ERR1913232.55889__1.55889	1262924__R7HU74__BN585_00690
ERR1913232.55919__1.55919	216816__B7GTR6__BLD_0992
ERR1913232.55979__1.55979	69974__A0A090FEL8__MPL3365_630008
ERR1913232.56047__1.56047	216816__B7GPE8__I118_0062
ERR1913232.56138__1.56138	204516__U6R8I1__HMPREF1534_03341
ERR1913232.56141__1.56141	1262992__R5DBL4__BN795_01435
ERR1913232.56107__1.56107	165179__A0A229I6N7__DXC61_06720
ERR1913232.56375__1.56375	204516__U6RFU0__HMPREF1534_02545
ERR1913232.56420__1.56420	301301__G2T5S1__gsiA_1
ERR1913232.56505__1.56505	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913232.56566__1.56566	310298__B3JFS5__BACCOP_00726
ERR1913232.56780__1.56780	39485__A0A1Q6PH92__cbbX
ERR1913232.56788__1.56788	69974__A0A090FEL8__MPL3365_630008
ERR1913232.56835__1.56835	165179__D1PCL6__DXB80_13435
ERR1913232.56937__1.56937	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913232.57032__1.57032	39485__C4Z6F3__EUBELI_20400
ERR1913232.57577__1.57577	165179__A0A3E5DR10__DXC61_03505
ERR1913232.57631__1.57631	853__A0A2A7B9I6__DW855_13690
ERR1913232.57705__1.57705	28117__B0MWZ3__BHV66_03240
ERR1913232.57715__1.57715	28116__A0A078Q626__HMPREF1070_02735
ERR1913232.57807__1.57807	47678__R5UHH8__HMPREF1061_02584
ERR1913232.57863__1.57863	1323__A0A3E3DUP5__DXC78_11925
ERR1913232.58132__1.58132	1262924__R7HQK6__BN585_00186
ERR1913232.58345__1.58345	165179__A0A3E5EAM5__DXC61_07785
ERR1913232.58416__1.58416	39491__A0A173RA59__EUR_24800
ERR1913232.58451__1.58451	39491__A0A395ZBQ4__cph2_2
ERR1913232.58658__1.58658	69974__A0A090FEL8__MPL3365_630008
ERR1913232.58682__1.58682	820__A0A139K5A6__DXB48_12175
ERR1913232.58737__1.58737	487173__H1D020__HMPREF9453_00958
ERR1913232.58837__1.58837	69974__A0A090FEL8__MPL3365_630008
ERR1913232.58980__1.58980	165179__A0A174UTZ7__DXC61_06705
ERR1913232.59048__1.59048	1262992__R5D0M4__BN795_01613
ERR1913232.59059__1.59059	28116__A0A1Y4PWN5__M088_3731
ERR1913232.59133__1.59133	69974__A0A090FEL8__MPL3365_630008
ERR1913232.59209__1.59209	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913232.59301__1.59301	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913232.59399__1.59399	626933__H1DGX0__HMPREF9449_01506
ERR1913232.59727__1.59727	310298__B3JMG0__BACCOP_03099
ERR1913232.59839__1.59839	165179__A0A3E5EB26__CFT61_02800
ERR1913232.59939__1.59939	626933__H1DGX0__HMPREF9449_01506
ERR1913232.60121__1.60121	39485__R5ZNS8__rsmG
ERR1913232.60321__1.60321	165179__A0A174UTZ7__DXC61_06705
ERR1913232.60368__1.60368	39485__A0A174YYW2__benM
ERR1913232.60446__1.60446	165179__D1PCL6__DXB80_13435
ERR1913232.60520__1.60520	1262924__R7HTA4__BN585_00391
ERR1913232.60865__1.60865	69974__A0A090FEL8__MPL3365_630008
ERR1913232.60874__1.60874	165179__R6PNJ9__PREVCOP_04730
ERR1913232.61313__1.61313	165179__A0A229I6N7__DXC61_06720
ERR1913232.61405__1.61405	39485__C4Z434__tilS
ERR1913232.61442__1.61442	853__A8S882__C4N23_07600
ERR1913232.61606__1.61606	69974__A0A090FEL8__MPL3365_630008
ERR1913232.61637__1.61637	820__A0A139KJ23__celCCA
ERR1913232.61795__1.61795	820__A0A174CK74__DXB48_07060
ERR1913232.61812__1.61812	2293125__A0A374BLR6__DW917_15555
ERR1913232.62105__1.62105	204516__U6RHJ9__HMPREF1534_02071
ERR1913232.62255__1.62255	69974__A0A090FEL8__MPL3365_630008
ERR1913232.62291__1.62291	1262924__R7HPZ6__BN585_00681
ERR1913232.62374__1.62374	371601__D6D2M1__CW1_3199
ERR1913232.62588__1.62588	39491__A0A395V0E5__ERE_31370
ERR1913232.62605__1.62605	853__A8S882__C4N23_07600
ERR1913232.62701__1.62701	204516__U6R9L2__HMPREF1534_03110
ERR1913232.62852__1.62852	1262924__R7HP98__BN585_02065
ERR1913232.62951__1.62951	1262911__R6GT76__BN557_01150
ERR1913232.63037__1.63037	310298__B3JFK4__BACCOP_00654
ERR1913232.63317__1.63317	626933__H1DGX0__HMPREF9449_01506
ERR1913232.63459__1.63459	69974__A0A090FEL8__MPL3365_630008
ERR1913232.63548__1.63548	28117__R7JQW0__ALIPUT_01453
ERR1913232.63724__1.63724	165179__A0A3E5ED28__PREVCOP_06655
ERR1913232.63815__1.63815	1262924__R7HQB7__BN585_02057
ERR1913232.63918__1.63918	1628085__A0A2U1BHD5__C7386_101308
ERR1913232.64218__1.64218	69974__A0A090FEL8__MPL3365_630008
ERR1913232.64327__1.64327	69974__A0A090FEL8__MPL3365_630008
ERR1913232.64591__1.64591	40518__R5E6K4__RB5AMG_02070
ERR1913232.64571__1.64571	626933__H1DGX0__HMPREF9449_01506
ERR1913232.64648__1.64648	165179__A0A3E5AHY4__CFT61_07675
ERR1913232.64667__1.64667	165179__A0A3E5A554__DXB80_13805
ERR1913232.64905__1.64905	165179__W1I4H6__DXB80_13655
ERR1913232.64946__1.64946	310298__B3JH76__BACCOP_01230
ERR1913232.65054__1.65054	69974__A0A090FEL8__MPL3365_630008
ERR1913232.65158__1.65158	69974__A0A090FEL8__MPL3365_630008
ERR1913232.65177__1.65177	853__A0A2A7B1Y7__C7K05_11930
ERR1913232.65258__1.65258	1308__A0A2X3V4X8__Y016_09410
ERR1913232.65397__1.65397	69974__A0A090FEL8__MPL3365_630008
ERR1913232.65486__1.65486	69974__A0A090FEL8__MPL3365_630008
ERR1913232.66109__1.66109	69974__A0A090FEL8__MPL3365_630008
ERR1913232.66290__1.66290	69974__A0A090FEL8__MPL3365_630008
ERR1913232.66341__1.66341	165179__A0A174UTZ7__DXC61_06705
ERR1913232.66645__1.66645	39491__D6E118__DXB69_05765
ERR1913232.66649__1.66649	29363__A0A3A8WUZ4__ERS852472_01588
ERR1913232.66828__1.66828	1262924__R7HTA4__BN585_00391
ERR1913232.66829__1.66829	69974__A0A090FEL8__MPL3365_630008
ERR1913232.67194__1.67194	1262948__R7EC83__BN671_00625
ERR1913232.67152__1.67152	487173__H1CYA6__HMPREF9453_00344
ERR1913232.67342__1.67342	69974__A0A090FEL8__MPL3365_630008
ERR1913232.67661__1.67661	853__D4JY61__C4N21_10560
ERR1913232.67924__1.67924	69974__A0A090FEL8__MPL3365_630008
ERR1913232.67967__1.67967	39491__A0A174EQV2__DXB69_10230
ERR1913232.68040__1.68040	28117__R7JIJ8__BHV66_01635
ERR1913232.68041__1.68041	1160721__W0U3P2__RBI_I00640
ERR1913232.68045__1.68045	310298__B3JFI7__BACCOP_00636
ERR1913232.68051__1.68051	69974__A0A090FEL8__MPL3365_630008
ERR1913232.68251__1.68251	820__A0A174G065__DXB62_08975
ERR1913232.68347__1.68347	853__C7H1R8__DW905_06675
ERR1913232.68369__1.68369	204516__U6RDX3__HMPREF1534_02093
ERR1913232.68421__1.68421	204516__U6RR96__HMPREF1534_00277
ERR1913232.68457__1.68457	165179__A0A3E5AHY4__CFT61_07675
ERR1913232.68488__1.68488	410072__A0A174BWR4__ERS852389_00309
ERR1913232.68519__1.68519	39491__A0A395ZBW8__DXC13_08840
ERR1913232.68629__1.68629	69974__A0A090FEL8__MPL3365_630008
ERR1913232.68641__1.68641	1262924__R7HMW0__BN585_01951
ERR1913232.68758__1.68758	853__E2ZGD9__C7J97_11715
ERR1913232.68883__1.68883	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913232.68986__1.68986	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913232.69022__1.69022	487173__H1D0A3__HMPREF9453_01041
ERR1913232.69161__1.69161	204516__U6RDD8__HMPREF1534_02559
ERR1913232.69185__1.69185	1262924__R7HRJ9__BN585_00557
ERR1913232.69327__1.69327	69974__A0A090FEL8__MPL3365_630008
ERR1913232.69349__1.69349	39485__C4Z2I5__ERS852492_02214
ERR1913232.69395__1.69395	310298__B3JPN8__BACCOP_03837
ERR1913232.69538__1.69538	88431__A0A174G8Q6__ERS852526_02711
ERR1913232.69636__1.69636	1680__A0A087DHN0__AL0462_1532
ERR1913232.69685__1.69685	487173__H1D0E0__HMPREF9453_01078
ERR1913232.69729__1.69729	28116__I9JM49__NCTC11153_01044
ERR1913232.69707__1.69707	69974__A0A090FEL8__MPL3365_630008
ERR1913232.69715__1.69715	40518__R5DUG7__sbcC
ERR1913232.69749__1.69749	40518__R5DZ88__DXD93_06320
ERR1913232.70090__1.70090	310298__B3JMG0__BACCOP_03099
ERR1913232.70134__1.70134	1262924__R7HQS1__BN585_00657
ERR1913232.70233__1.70233	301301__A0A395VFD3__ERS852391_02492
ERR1913232.70240__1.70240	28117__B0MYI9__BHV66_05415
ERR1913232.70480__1.70480	39491__A0A395V297__EUR_01010
ERR1913232.70619__1.70619	310298__B3JNR4__BACCOP_03579
ERR1913232.70667__1.70667	301302__A0A173T0N8__ERS852420_01792
ERR1913232.70861__1.70861	853__C7H7F8__yccM_1
ERR1913232.71077__1.71077	39491__A0A395ZDC6__addB
ERR1913232.71078__1.71078	820__A0A3E4G3J9__ERS852459_02265
ERR1913232.71244__1.71244	371601__I9JDI5__B5E50_12405
ERR1913232.71270__1.71270	39485__A0A174Z551__glnL
ERR1913232.71578__1.71578	69974__A0A090FEL8__MPL3365_630008
ERR1913232.71844__1.71844	310298__B3JEE8__BACCOP_00239
ERR1913232.71915__1.71915	69974__A0A090FEL8__MPL3365_630008
ERR1913232.72030__1.72030	39485__C4Z684__ERS852492_01895
ERR1913232.72379__1.72379	1262924__R7HRJ9__BN585_00557
ERR1913232.72473__1.72473	165179__A0A174SA26__PREVCOP_05758
ERR1913232.72480__1.72480	487173__H1D2L5__HMPREF9453_01853
ERR1913232.72564__1.72564	28117__B0MWZ9__ALIPUT_01735
ERR1913232.72589__1.72589	69974__A0A090FEL8__MPL3365_630008
ERR1913232.72590__1.72590	116085__D4J6V9__DW747_08450
ERR1913232.72625__1.72625	301302__A0A173SJJ1__ERS852420_01411
ERR1913232.72692__1.72692	1262924__R7HLJ5__BN585_01491
ERR1913232.72851__1.72851	39491__R6UMS6__DXD13_07035
ERR1913232.72972__1.72972	39485__A0A174ZA72__glgB_1
ERR1913232.72933__1.72933	820__A0A139JRS5__HMPREF1073_04025
ERR1913232.73032__1.73032	39491__A0A3E4E7C5__DXB69_03255
ERR1913232.73264__1.73264	28117__B0MVL5__BHV66_01660
ERR1913232.73234__1.73234	853__E2ZGD9__C7J97_11715
ERR1913232.73629__1.73629	1262924__R7HRA8__BN585_01680
ERR1913232.73786__1.73786	204516__U6RGN8__HMPREF1534_01465
ERR1913232.73830__1.73830	820__A0A174Q0F0__DXB48_08080
ERR1913232.73925__1.73925	39485__C4Z637__ERS852490_00218
ERR1913232.73896__1.73896	1262924__R7HTA4__BN585_00391
ERR1913232.74037__1.74037	39488__A0A173SSM6__EUBHAL_01799
ERR1913232.74251__1.74251	354276__A0A0T5XQR0__SAMEA2273215_03843
ERR1913232.74853__1.74853	69974__A0A090FEL8__MPL3365_630008
ERR1913232.74916__1.74916	626933__H1DGX0__HMPREF9449_01506
ERR1913232.74999__1.74999	165179__D1PCL6__DXB80_13435
ERR1913232.75148__1.75148	1262924__R7HRJ9__BN585_00557
ERR1913232.75295__1.75295	204516__U6RDX3__HMPREF1534_02093
ERR1913232.75412__1.75412	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913232.75460__1.75460	216816__B3DP82__DVB78_09640
ERR1913232.75638__1.75638	487173__H1D187__HMPREF9453_01375
ERR1913232.75710__1.75710	69974__A0A090FEL8__MPL3365_630008
ERR1913232.75809__1.75809	1150298__R7JNQ8__ERS852406_00857
ERR1913232.75853__1.75853	39485__C4Z6J7__ERS852492_02047
ERR1913232.75908__1.75908	216816__A0A1D7MV89__EK5BL_04715
ERR1913232.75971__1.75971	28117__B0N007__BHV66_10275
ERR1913232.76063__1.76063	165179__D1PGU8__PREVCOP_06463
ERR1913232.76299__1.76299	204516__U6R8Z4__HMPREF1534_03879
ERR1913232.76741__1.76741	410072__A0A174K1D5__hscC
ERR1913232.76799__1.76799	853__A0A2A7B9I6__DW855_13690
ERR1913232.76802__1.76802	1535__A7VPY7__CLOLEP_00614
ERR1913232.76811__1.76811	69974__A0A090FEL8__MPL3365_630008
ERR1913232.76948__1.76948	165179__D1PEQ5__PREVCOP_05711
ERR1913232.76984__1.76984	204516__U6RFB2__HMPREF1534_01733
ERR1913232.77008__1.77008	28117__B0MT73__ALIPUT_00412
ERR1913232.77100__1.77100	1262911__R6H212__BN557_01031
ERR1913232.77110__1.77110	78345__A0A087BK46__SAMN02745589_0061
ERR1913232.77125__1.77125	40518__R5DXW3__DXD86_07900
ERR1913232.77239__1.77239	818__C6ILT7__BSIG_2708
ERR1913232.77401__1.77401	165179__A0A174SA26__PREVCOP_05758
ERR1913232.77426__1.77426	821__A0A396FEL8__C5Z04_06030
ERR1913232.77513__1.77513	1262924__R7HQ14__BN585_00419
ERR1913232.77686__1.77686	487173__H1D020__HMPREF9453_00958
ERR1913232.77737__1.77737	39485__A0A174ZMD4__ERS852492_01969
ERR1913232.77839__1.77839	39485__C4Z6F3__EUBELI_20400
ERR1913232.78049__1.78049	28118__F9ZAE1__DF785_04930
ERR1913232.78169__1.78169	28117__B0MXU0__BHV66_07550
ERR1913232.78670__1.78670	39491__D6E408__EUBREC_1466
ERR1913232.78713__1.78713	69974__A0A090FEL8__MPL3365_630008
ERR1913232.78900__1.78900	28117__B0MUX4__ALIPUT_00911
ERR1913232.78949__1.78949	649756__E5VMQ9__prkC_2
ERR1913232.78956__1.78956	487175__D9Y5Q5__HMPREF9439_00681
ERR1913232.79180__1.79180	1262911__R6H1J5__BN557_00905
ERR1913232.79203__1.79203	626933__H1DGX0__HMPREF9449_01506
ERR1913232.79424__1.79424	69974__A0A090FEL8__MPL3365_630008
ERR1913232.79550__1.79550	39491__C4ZAT2__ERE_28440
ERR1913232.79584__1.79584	204516__U6R9H3__HMPREF1534_03348
ERR1913232.79602__1.79602	1262743__R5C054__BN727_01980
ERR1913232.79638__1.79638	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913232.79684__1.79684	310298__B3JED9__BACCOP_00230
ERR1913232.79685__1.79685	69974__A0A090FEL8__MPL3365_630008
ERR1913232.79711__1.79711	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913232.79719__1.79719	165179__A0A3E4SID1__DXB80_01945
ERR1913232.79803__1.79803	310298__B3JKM0__BACCOP_02451
ERR1913232.79840__1.79840	626933__H1DGX0__HMPREF9449_01506
ERR1913232.80149__1.80149	165179__A0A3E5AAM8__DXB80_10240
ERR1913232.80144__1.80144	1262924__R7HM17__BN585_01318
ERR1913232.80315__1.80315	853__A0A173YYY4__DWZ04_09420
ERR1913232.80360__1.80360	165179__D1PHC0__PREVCOP_06640
ERR1913232.80436__1.80436	69974__A0A090FEL8__MPL3365_630008
ERR1913232.80470__1.80470	165179__D1PEQ5__PREVCOP_05711
ERR1913232.80533__1.80533	165179__D1PES9__DXB80_11585
ERR1913232.80569__1.80569	88431__A0A174MYZ5__ycjP_7
ERR1913232.80659__1.80659	821__A0A173XDD3__DXB82_17180
ERR1913232.80727__1.80727	1262924__R7HU74__BN585_00690
ERR1913232.80761__1.80761	69974__A0A090FEL8__MPL3365_630008
ERR1913232.80827__1.80827	39491__A0A396FI89__DXD95_01300
ERR1913232.80834__1.80834	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913232.80973__1.80973	69974__A0A090FEL8__MPL3365_630008
ERR1913232.80923__1.80923	1183412__A0A1S7MD16__AGR7A_Cc210001
ERR1913232.81259__1.81259	28118__F9Z5M1__NCTC10826_02946
ERR1913232.81422__1.81422	39491__A0A395ZG96__DXB69_15120
ERR1913232.81598__1.81598	165179__A0A174IPI3__CFT61_10940
ERR1913232.81605__1.81605	39485__C4Z6R3__mcp2_1
ERR1913232.81607__1.81607	165179__A0A174UTZ7__DXC61_06705
ERR1913232.81639__1.81639	745368__A0A1T4WPJ1__SAMN02745178_00919
ERR1913232.82150__1.82150	165179__D1PHC0__PREVCOP_06640
ERR1913232.82156__1.82156	69974__A0A090FEL8__MPL3365_630008
ERR1913232.82255__1.82255	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913232.82480__1.82480	28116__A7M0E3__AA414_00536
ERR1913232.82693__1.82693	35833__E5Y305__HMPREF0179_00566
ERR1913232.82732__1.82732	1262924__R7HRT1__BN585_00630
ERR1913232.82908__1.82908	47678__A5ZL09__BACCAC_03608
ERR1913232.82932__1.82932	28117__R7JJM9__ALIPUT_00662
ERR1913232.83027__1.83027	626933__H1DGX0__HMPREF9449_01506
ERR1913232.83095__1.83095	165179__D1PGU8__PREVCOP_06463
ERR1913232.83368__1.83368	69974__A0A090FEL8__MPL3365_630008
ERR1913232.83524__1.83524	69974__A0A090FEL8__MPL3365_630008
ERR1913232.83492__1.83492	853__A0A173T6P2__DWZ46_14595
ERR1913232.83567__1.83567	1262924__R7HQ03__BN585_01295
ERR1913232.83629__1.83629	39491__A0A396FEW6__T1815_18721
ERR1913232.83866__1.83866	40518__R5E8B6__RB5AMG_00876
ERR1913232.83974__1.83974	204516__U6RGK1__HMPREF1534_01924
ERR1913232.84000__1.84000	39491__A0A395ZDC6__addB
ERR1913232.84106__1.84106	28117__R7JH62__BHV66_05735
ERR1913232.84110__1.84110	853__C7H1R8__DW905_06675
ERR1913232.84181__1.84181	28117__B0MXJ1__BHV66_08445
ERR1913232.84819__1.84819	310298__B3JNG7__BACCOP_03480
ERR1913232.84883__1.84883	165179__A0A174IPI3__CFT61_10940
ERR1913232.85034__1.85034	40518__R5DU52__RB5AMG_02245
ERR1913232.85055__1.85055	40518__R5DUU0__DXD93_03985
ERR1913232.85066__1.85066	487173__H1D2V9__HMPREF9453_01947
ERR1913232.85228__1.85228	1262924__R7HU74__BN585_00690
ERR1913232.85549__1.85549	626933__H1DGX0__HMPREF9449_01506
ERR1913232.85627__1.85627	1628085__A0A396Q9R7__C7386_10872
ERR1913232.85630__1.85630	216816__C2GUV2__APC1478_0430
ERR1913232.85670__1.85670	28117__B0MT86__BHV66_02450
ERR1913232.85935__1.85935	40518__R5DLJ7__lytR_4
ERR1913232.85895__1.85895	106588__A6NWC4__BACCAP_02517
ERR1913232.85984__1.85984	310298__B3JKM0__BACCOP_02451
ERR1913232.85991__1.85991	165179__D1PEQ5__PREVCOP_05711
ERR1913232.86291__1.86291	74426__rpoC
ERR1913232.86312__1.86312	820__A0A174CK74__DXB48_07060
ERR1913232.86386__1.86386	357276__A0A0K2HGB7__HMPREF1064_01580
ERR1913232.86517__1.86517	853__A0A173T8T3__DW882_06555
ERR1913232.86542__1.86542	69974__A0A090FEL8__MPL3365_630008
ERR1913232.86721__1.86721	853__A0A173TAZ8__DWZ46_14590
ERR1913232.86796__1.86796	165179__A0A174UTZ7__DXC61_06705
ERR1913232.86976__1.86976	301301__A0A395V9P9__ERS852391_00747
ERR1913232.87004__1.87004	1262935__R5GDX6__BN773_01326
ERR1913232.87665__1.87665	69974__A0A090FEL8__MPL3365_630008
ERR1913232.87802__1.87802	28118__F9Z759__B5F93_05180
ERR1913232.87806__1.87806	165179__A0A3E5EA43__DXC61_07775
ERR1913232.87887__1.87887	165179__A0A3E5DY64__CFT61_10025
ERR1913232.87860__1.87860	214856__I3YPN3__ERS852447_01395
ERR1913232.88064__1.88064	165179__A0A3E4SB95__DXC61_13455
ERR1913232.88102__1.88102	1965569__A0A1Y4NK94__B5F07_19320
ERR1913232.88233__1.88233	39485__R6AKA4__rssA
ERR1913232.88257__1.88257	310298__B3JED9__BACCOP_00230
ERR1913232.88463__1.88463	204516__U6R9L2__HMPREF1534_03110
ERR1913232.88690__1.88690	626933__H1DGX0__HMPREF9449_01506
ERR1913232.88703__1.88703	39491__A0A173RJ81__DXB76_01570
ERR1913232.88904__1.88904	1680__A0A0B5BKZ3__DXD60_01450
ERR1913232.89013__1.89013	204516__U6RDJ3__HMPREF1534_02097
ERR1913232.89035__1.89035	28117__R7JIJ8__BHV66_01635
ERR1913232.89199__1.89199	214856__I3YPN5__Alfi_2693
ERR1913232.89332__1.89332	410072__A0A174IQI6__ERS852574_01030
ERR1913232.89431__1.89431	817__D1JRG3__M076_0507
ERR1913232.89398__1.89398	165179__A0A3E5EAM5__DXC61_07785
ERR1913232.89759__1.89759	69974__A0A090FEL8__MPL3365_630008
ERR1913232.89899__1.89899	310298__B3JH75__BACCOP_01229
ERR1913232.89963__1.89963	69974__A0A090FEL8__MPL3365_630008
ERR1913232.90199__1.90199	626933__H1DGX0__HMPREF9449_01506
ERR1913232.90312__1.90312	204516__U6RPN2__HMPREF1534_00368
ERR1913232.90278__1.90278	69974__A0A090FEL8__MPL3365_630008
ERR1913232.90370__1.90370	69974__A0A090FEL8__MPL3365_630008
ERR1913232.90441__1.90441	69974__A0A090FEL8__MPL3365_630008
ERR1913232.90702__1.90702	69974__A0A090FEL8__MPL3365_630008
ERR1913232.90820__1.90820	671267__R9IB12__C802_00696
ERR1913232.90833__1.90833	310298__B3JMZ2__BACCOP_03297
ERR1913232.90945__1.90945	552398__F4XCR9__HMPREF0866_01636
ERR1913232.91033__1.91033	69974__A0A090FEL8__MPL3365_630008
ERR1913232.91156__1.91156	1262924__R7HQX0__BN585_00307
ERR1913232.91258__1.91258	301301__G2T4K1__RHOM_14310
ERR1913232.91301__1.91301	69974__A0A090FEL8__MPL3365_630008
ERR1913232.91495__1.91495	69974__A0A090FEL8__MPL3365_630008
ERR1913232.91864__1.91864	165179__D1PCT4__DXB80_09470
ERR1913232.92015__1.92015	165179__A0A3E5A5E5__DXC61_13965
ERR1913232.92019__1.92019	1262924__R7HKP8__BN585_01113
ERR1913232.92144__1.92144	1262924__R7HKX0__BN585_01279
ERR1913232.92163__1.92163	626933__H1DGX0__HMPREF9449_01506
ERR1913232.92186__1.92186	820__A0A3E4FZM1__adaA_2
ERR1913232.92253__1.92253	69974__A0A090FEL8__MPL3365_630008
ERR1913232.92460__1.92460	116085__D4J803__DW747_06090
ERR1913232.92574__1.92574	1680__R5GPK0__B0487_0620
ERR1913232.92697__1.92697	1680__R5GRA4__ERS852382_01548
ERR1913232.92702__1.92702	1262924__R7HQD9__BN585_00129
ERR1913232.92778__1.92778	69974__A0A090FEL8__MPL3365_630008
ERR1913232.92888__1.92888	40518__R5E4E8__phoR_4
ERR1913232.92966__1.92966	28117__R7JIJ8__BHV66_01635
ERR1913232.92989__1.92989	216816__C2GTV6__AS143_01355
ERR1913232.93022__1.93022	310298__B3JJG1__BACCOP_02031
ERR1913232.93160__1.93160	106588__A6NXS6__BACCAP_03021
ERR1913232.93393__1.93393	165179__A0A3E5A554__DXB80_13805
ERR1913232.93463__1.93463	39485__C4Z5L8__ERS852490_00665
ERR1913232.93573__1.93573	165179__A0A3E5AGH1__DXB80_05820
ERR1913232.93581__1.93581	165179__A0A3E5A5E5__DXC61_13965
ERR1913232.93484__1.93484	39491__C4ZAT2__ERE_28440
ERR1913232.93586__1.93586	39491__A0A395ZBQ4__cph2_2
ERR1913232.93750__1.93750	28117__B0MXG8__ALIPUT_01814
ERR1913232.94232__1.94232	820__A0A174CG08__DXB62_13215
ERR1913232.94292__1.94292	69974__A0A090FEL8__MPL3365_630008
