ERR1913317.44__1.44	28116__A0A3E5HUC8__DHW41_21025
ERR1913317.295975__1.295975	28117__B0MST6__BHV66_06090
ERR1913317.296113__1.296113	387090__S0FBZ8__BACCOPRO_01470
ERR1913317.296120__1.296120	40518__R5E6K5__speA
ERR1913317.296215__1.296215	823__A0A173VS36__M091_4727
ERR1913317.296221__1.296221	2108523__A0A2P2F677__LAWASA_1497
ERR1913317.296397__1.296397	28117__B0MTH2__ALIPUT_00061
ERR1913317.296649__1.296649	28116__F7L4X5__M089_2857
ERR1913317.296813__1.296813	187327__G4Q2T1__ACDG_01978
ERR1913317.296863__1.296863	820__A7VAS1__HMPREF2141_03259
ERR1913317.296903__1.296903	40518__R5DWB0__DXD86_00925
ERR1913317.296983__1.296983	818__A0A3E5HHE1__Btheta7330_00796
ERR1913317.297060__1.297060	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913317.297167__1.297167	292800__A0A174LPP3__A4U99_17815
ERR1913317.297207__1.297207	820__A0A174QLF0__SAMN05444418_109151
ERR1913317.297306__1.297306	820__A0A139KJ23__celCCA
ERR1913317.297394__1.297394	820__A7VAR9__ERS852421_00197
ERR1913317.297504__1.297504	39491__C4ZHS4__EUR_24420
ERR1913317.297568__1.297568	745368__A0A1T4XK16__SAMN02745178_01970
ERR1913317.297661__1.297661	40518__R5DTP7__DXD83_02415
ERR1913317.297678__1.297678	39492__D4JTF2__mutS2
ERR1913317.297702__1.297702	820__A0A3E4WA06__ERS852554_03404
ERR1913317.297742__1.297742	821__A0A0P0L8F8__ERS852509_03705
ERR1913317.297813__1.297813	1680__R5GRA4__ERS852382_01548
ERR1913317.297818__1.297818	820__A0A078S4C2__ERS417307_00828
ERR1913317.297878__1.297878	820__A0A3E4QZJ7__C801_01798
ERR1913317.297907__1.297907	1550024__A0A0D8IWH3__ASJ35_08185
ERR1913317.297911__1.297911	40518__R5DY98__mepA_5
ERR1913317.297940__1.297940	28117__B0MTD2__ALIPUT_00428
ERR1913317.297996__1.297996	28116__I8YA07__C5Z02_15915
ERR1913317.298028__1.298028	239935__A0A2N8HT44__CXT84_11035
ERR1913317.298228__1.298228	292800__A0A174NZG5__appA_1
ERR1913317.298358__1.298358	1680__R5GR82__AD0028_0014
ERR1913317.298379__1.298379	292800__A0A096DG10__HMPREF9460_01046
ERR1913317.298388__1.298388	28117__B0MZ50__ALIPUT_02424
ERR1913317.298435__1.298435	821__A0A174JYD3__ERS852457_02610
ERR1913317.298437__1.298437	187327__G4Q682__Acin_1672
ERR1913317.298509__1.298509	40518__R5DME2__DXD86_07315
ERR1913317.298557__1.298557	820__A7V470__HMPREF1072_02076
ERR1913317.298612__1.298612	820__A0A174TRB5__DXD40_11305
ERR1913317.298616__1.298616	292800__U2BU47__ERS852544_01880
ERR1913317.298715__1.298715	40518__R5DLJ7__lytR_4
ERR1913317.298770__1.298770	246787__A0A0P0FV02__AA416_03728
ERR1913317.298794__1.298794	28116__I9ST00__M088_5588
ERR1913317.298808__1.298808	818__A0A174RFL1__ERS852511_03380
ERR1913317.298831__1.298831	820__A0A3E4W4Y7__B5G17_02055
ERR1913317.298917__1.298917	28117__B0N028__BHV66_05935
ERR1913317.298965__1.298965	821__A0A396F9T7__M097_3427
ERR1913317.299164__1.299164	47678__A5ZI88__BACCAC_02617
ERR1913317.299170__1.299170	292800__A0A174IVH2__zraR_1
ERR1913317.299177__1.299177	820__A0A174DZ97__SAMN05444418_101240
ERR1913317.299185__1.299185	821__A0A396F598__CUU_3259
ERR1913317.299214__1.299214	28117__R7JJM9__ALIPUT_00662
ERR1913317.299245__1.299245	28116__A0A1Y4Q119__DXD69_10975
ERR1913317.299400__1.299400	28117__B0MXR4__BHV66_08025
ERR1913317.299401__1.299401	821__A0A0P0M2J4__DXD46_10295
ERR1913317.299481__1.299481	187327__G4Q7M1__rnhC
ERR1913317.299564__1.299564	74426__asnS
ERR1913317.299618__1.299618	820__A0A1T4IYF4__mprA_1
ERR1913317.299622__1.299622	821__A0A0P0L8F8__ERS852509_03705
ERR1913317.299642__1.299642	820__A0A374Q854__HMPREF1073_03281
ERR1913317.299738__1.299738	1776081__A0A1B8WSQ5__A0U42_03000
ERR1913317.299804__1.299804	187327__G4Q560__ACDG_01931
ERR1913317.299818__1.299818	823__A0A395YZ10__NCTC11152_02955
ERR1913317.299858__1.299858	39488__A0A174GS53__dnaC_1
ERR1913317.299878__1.299878	371601__W6P7Q9__BN890_32770
ERR1913317.299961__1.299961	1776081__A0A1B8WX36__A0U42_06280
ERR1913317.300096__1.300096	820__R7E9Z4__DXC68_06065
ERR1913317.300390__1.300390	818__A0A3E5HE16__C5Z03_22745
ERR1913317.300426__1.300426	552398__F4XCQ4__HMPREF0866_01621
ERR1913317.300528__1.300528	820__R9I2U8__DXC68_09590
ERR1913317.300543__1.300543	1262869__R7CN01__BN625_01132
ERR1913317.300615__1.300615	292800__A0A174P1E3__HMPREF9460_03416
ERR1913317.300640__1.300640	28116__A7LTW7__BACOV975_02866
ERR1913317.300689__1.300689	1472761__GCA_002159295.1_00731
ERR1913317.300747__1.300747	823__A0A355XKQ8__DHP27_04010
ERR1913317.300867__1.300867	626929__F3PLF4__HMPREF9445_03185
ERR1913317.300874__1.300874	1680__A0A173Y6N7__yhaH
ERR1913317.300877__1.300877	821__C6Z087__DXB90_00750
ERR1913317.301103__1.301103	820__A0A139K8N1__ERS852554_00951
ERR1913317.301221__1.301221	216816__C2GV16__APC1504_1666
ERR1913317.301360__1.301360	556259__E5CGP2__BSGG_4615
ERR1913317.301446__1.301446	1628085__A0A2U1BHS7__C7386_101494
ERR1913317.301681__1.301681	187327__G4Q785__oadA
ERR1913317.301755__1.301755	820__A0A3E4FZM1__adaA_2
ERR1913317.301759__1.301759	328813__A0A1Y3QRL5__B5G41_11625
ERR1913317.302094__1.302094	47678__A5ZF31__DXB67_11050
ERR1913317.302187__1.302187	246787__A0A0P0FS62__HMPREF1062_05447
ERR1913317.302257__1.302257	823__D7IV95__DXC05_09565
ERR1913317.302277__1.302277	47678__R5U3A7__ERS852494_02965
ERR1913317.302282__1.302282	821__D4VC51__M099_1508
ERR1913317.302405__1.302405	39491__A0A395ZHW9__DXC13_02590
ERR1913317.302447__1.302447	1263107__GCA_000436995.1_00208
ERR1913317.302522__1.302522	1776081__A0A1B8WVH9__A0U42_08525
ERR1913317.302537__1.302537	246787__I8V2S2__BACCELL_02524
ERR1913317.302548__1.302548	33038__A0A2N5NXH5__CDL27_14300
ERR1913317.302588__1.302588	147206__GCF_000156215.1_01777
ERR1913317.302657__1.302657	820__A0A139K1Y6__DXB48_02610
ERR1913317.302678__1.302678	187327__G4Q780__ACDG_00637
ERR1913317.302775__1.302775	187327__U2VZ61__Acin_0538
ERR1913317.302797__1.302797	820__R9HXK9__DXB62_08265
ERR1913317.302969__1.302969	487174__R5FJH0__DDY40_07055
ERR1913317.303111__1.303111	820__A0A174QLF0__SAMN05444418_109151
ERR1913317.303213__1.303213	239935__A0A139TVJ4__CXT86_02020
ERR1913317.303291__1.303291	187327__G4Q6P7__ACDG_01266
ERR1913317.303349__1.303349	818__D7I7V5__BJP75_001030
ERR1913317.303408__1.303408	820__A0A174A6K0__M093_0079
ERR1913317.303465__1.303465	818__A0A0P0F2P7__BT_1771
ERR1913317.303512__1.303512	820__I9J701__ERS852510_01809
ERR1913317.303633__1.303633	46506__R6AC22__HMPREF1181_00516
ERR1913317.303738__1.303738	40518__R5DSI5__fieF
ERR1913317.303827__1.303827	28118__R6FGF7__SAMEA44545918_01338
ERR1913317.304131__1.304131	820__A7V9F9__B5G17_14640
ERR1913317.304407__1.304407	1262869__R7CUK0__BN625_00521
ERR1913317.304627__1.304627	28118__R6F6F1__B5F93_10805
ERR1913317.304715__1.304715	216816__B3DR71__CE159_04070
ERR1913317.304764__1.304764	74426__rpoB
ERR1913317.304868__1.304868	820__A0A078S4C2__ERS417307_00828
ERR1913317.304987__1.304987	820__A0A3E4G826__C801_01612
ERR1913317.304963__1.304963	187327__G4Q3P7__Acin_0528
ERR1913317.305085__1.305085	821__A0A396F598__CUU_3259
ERR1913317.305119__1.305119	40518__R5E6U1__yunB
ERR1913317.305154__1.305154	820__A0A173YYG4__evgS_3
ERR1913317.305198__1.305198	39491__A0A395ZDC6__addB
ERR1913317.305201__1.305201	1680__A0A087DLC6__C8077_00815
ERR1913317.305166__1.305166	28116__A0A1Y4VU28__SAMN05444282_1227
ERR1913317.305268__1.305268	487174__K0WWY0__DIT83_10195
ERR1913317.305314__1.305314	820__A0A3E4VZT7__DXB48_16145
ERR1913317.305306__1.305306	820__A7V859__ERS852462_00341
ERR1913317.305344__1.305344	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913317.305429__1.305429	187327__G4Q6N4__Acin_0130
ERR1913317.305639__1.305639	28116__F7LC60__AA414_00422
ERR1913317.305733__1.305733	28116__A0A1Y4Q374__ERS852555_04681
ERR1913317.305767__1.305767	28117__B0MWP2__ALIPUT_01468
ERR1913317.305912__1.305912	28116__F7LEX0__CUY_5042
ERR1913317.306452__1.306452	28116__A7M4E1__NCTC11153_01558
ERR1913317.306488__1.306488	820__A7V8C2__ERS852554_01338
ERR1913317.306585__1.306585	40518__R5DUG7__sbcC
ERR1913317.306628__1.306628	40518__R5DW64__RBL236_01394
ERR1913317.306634__1.306634	1472761__GCA_002159295.1_02001
ERR1913317.306755__1.306755	820__A0A3E4RU03__M093_0563
ERR1913317.306729__1.306729	1680__A0A087DHN0__AL0462_1532
ERR1913317.306802__1.306802	214856__R5UN64__ERS852447_02669
ERR1913317.306849__1.306849	821__A0A174AYT0__DXC02_03530
ERR1913317.307075__1.307075	187327__G4Q682__Acin_1672
ERR1913317.307090__1.307090	216816__Q8G585__APC1473_0508
ERR1913317.307186__1.307186	649756__B0NWY5__DO83_02030
ERR1913317.307377__1.307377	820__A0A139KG60__M094_2679
ERR1913317.307381__1.307381	214856__I3YPQ3__Alfi_2711
ERR1913317.307474__1.307474	820__A0A173YYG4__evgS_3
ERR1913317.307553__1.307553	820__A0A174M9V5__M093_0237
ERR1913317.307627__1.307627	328814__GCA_004558275.1_00067
ERR1913317.307695__1.307695	187327__U2VMS3__ACDG_00972
ERR1913317.307681__1.307681	47678__R5U2B3__ERS852558_04029
ERR1913317.307831__1.307831	187327__G4Q5J0__apbA
ERR1913317.307866__1.307866	28116__E5CEE4__SAMN05444282_12363
ERR1913317.307888__1.307888	821__A0A395VLM8__BvMPK_3650
ERR1913317.307898__1.307898	1297617__A0A0S2W5Y2__C7373_106176
ERR1913317.307972__1.307972	46506__B0NTR7__AA415_02733
ERR1913317.308633__1.308633	187327__G4Q8Y0__Acin_0436
ERR1913317.308642__1.308642	1105031__J1H3W2__HMPREF1141_2783
ERR1913317.308692__1.308692	626929__F3PER7__B5F24_11615
ERR1913317.308780__1.308780	821__A0A396F1N0__M099_1553
ERR1913317.308851__1.308851	820__A0A139JRS5__HMPREF1073_04025
ERR1913317.308863__1.308863	166486__C7GCP5__ROSINTL182_07683
ERR1913317.308978__1.308978	820__A7V092__hldE
ERR1913317.309082__1.309082	821__I9R3W6__DXC16_12455
ERR1913317.309136__1.309136	216816__E8MH24__APS65_02760
ERR1913317.309242__1.309242	187327__G4Q2R6__Acin_2204
ERR1913317.309496__1.309496	1776081__A0A133SJT1__A0U42_02880
ERR1913317.309548__1.309548	39492__D4JT75__EUBSIR_01776
ERR1913317.309504__1.309504	823__A0A355XJ56__DDY96_07685
ERR1913317.309507__1.309507	1680__R5GRA4__ERS852382_01548
ERR1913317.309530__1.309530	1680__A0A173W5Z2__DXC53_01290
ERR1913317.309537__1.309537	47678__R5U8Y1__BACCAC_02615
ERR1913317.309541__1.309541	39491__A0A396FEW6__T1815_18721
ERR1913317.309645__1.309645	820__A0A3E4RUC4__DHU98_02635
ERR1913317.309689__1.309689	820__A7VAS1__HMPREF2141_03259
ERR1913317.309739__1.309739	820__A0A3E4W980__M093_3873
ERR1913317.309910__1.309910	820__A0A173YYG4__evgS_3
ERR1913317.309956__1.309956	1628085__A0A2U1B0U0__C7386_1245
ERR1913317.310023__1.310023	28117__B0N028__BHV66_05935
ERR1913317.310037__1.310037	820__A0A3E4VXP2__yesR
ERR1913317.310060__1.310060	1262954__R7FFN5__BN611_00404
ERR1913317.310234__1.310234	818__A0A0N7I9M6__Btheta7330_00939
ERR1913317.310501__1.310501	39491__C4ZF05__vpr
ERR1913317.310506__1.310506	28116__A0A396DFW5__C5Z02_07010
ERR1913317.310597__1.310597	820__A0A1Y3V743__M093_0235
ERR1913317.310666__1.310666	1263044__GCA_000433375.1_00023
ERR1913317.310766__1.310766	626929__F3PLK1__B5F97_09750
ERR1913317.310899__1.310899	187327__G4Q8J8__crr
ERR1913317.310944__1.310944	40518__A0A2N0UUY0__DXD83_02620
ERR1913317.311091__1.311091	40518__R5DR72__RBL236_02110
ERR1913317.311200__1.311200	1680__A0A1X3A951__AL0462_1583
ERR1913317.311215__1.311215	820__A0A3E4WA06__ERS852554_03404
ERR1913317.311241__1.311241	246787__A0A0P0GUU5__BACCELL_02894
ERR1913317.311297__1.311297	47678__R5UMC3__CGC64_08380
ERR1913317.311588__1.311588	28117__B0MYW7__ALIPUT_02336
ERR1913317.311665__1.311665	556259__I0PYL9__BSGG_5205
ERR1913317.311622__1.311622	187327__G4Q8F0__ACDG_01813
ERR1913317.311831__1.311831	821__A0A396F9T7__M097_3427
ERR1913317.311912__1.311912	820__R9HP61__DXC91_01090
ERR1913317.312023__1.312023	820__A0A3E4RU03__M093_0563
ERR1913317.312036__1.312036	487174__K0WX28__HMPREF9448_02178
ERR1913317.312007__1.312007	821__E5UY21__C800_02204
ERR1913317.312011__1.312011	28117__R7JJM9__ALIPUT_00662
ERR1913317.312012__1.312012	187327__G4Q2R6__Acin_2204
ERR1913317.312056__1.312056	39491__R6TNE7__T1815_09811
ERR1913317.312407__1.312407	357276__A0A076J9V8__BACDOR_01395
ERR1913317.312496__1.312496	821__E5UY21__C800_02204
ERR1913317.312614__1.312614	28116__R6JIR4__DXA80_14190
ERR1913317.312709__1.312709	820__A0A3E4VXP2__yesR
ERR1913317.312877__1.312877	820__A0A174QLF0__SAMN05444418_109151
ERR1913317.312921__1.312921	821__C6ZAA5__ERS852556_00403
ERR1913317.313218__1.313218	39488__A0A174CJ01__DXD91_03830
ERR1913317.313291__1.313291	40518__R5DUG7__sbcC
ERR1913317.313371__1.313371	823__A0A355XLQ9__DXC05_02185
ERR1913317.313482__1.313482	820__A0A174QLF0__SAMN05444418_109151
ERR1913317.313523__1.313523	820__A0A078S4C2__ERS417307_00828
ERR1913317.313610__1.313610	821__A0A174NM17__lacZ_6
ERR1913317.313736__1.313736	820__R9I2U8__DXC68_09590
ERR1913317.313746__1.313746	39485__A0A174YYW2__benM
ERR1913317.314013__1.314013	556259__I0PYM3__BSGG_5385
ERR1913317.314030__1.314030	47678__R5U3U1__BACCAC_03593
ERR1913317.314163__1.314163	357276__I9QBT7__BSEG_03340
ERR1913317.314204__1.314204	187327__G4Q7A0__ACDG_00618
ERR1913317.314390__1.314390	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913317.314516__1.314516	106588__A6NUL8__BACCAP_01900
ERR1913317.314649__1.314649	187327__G4Q2J4__Acin_1428
ERR1913317.314665__1.314665	187327__G4Q720__ACDG_00890
ERR1913317.314683__1.314683	820__A0A1T4IYF4__mprA_1
ERR1913317.314693__1.314693	820__A0A174TRB5__DXD40_11305
ERR1913317.314722__1.314722	820__A0A139KHX1__HMPREF2141_00289
ERR1913317.314810__1.314810	28117__B0MUY3__BHV66_00515
ERR1913317.314867__1.314867	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913317.314868__1.314868	39486__B0G7Q1__HMPREF9457_01488
ERR1913317.314905__1.314905	187327__G4Q2M9__ACDG_01875
ERR1913317.314969__1.314969	28117__B0MXG8__ALIPUT_01814
ERR1913317.315033__1.315033	39491__A0A396FTE5__ERS852417_01346
ERR1913317.315044__1.315044	40518__R5E6U1__yunB
ERR1913317.315125__1.315125	187327__G4Q3J1__ACDG_01977
ERR1913317.315233__1.315233	820__R9I2U8__DXC68_09590
ERR1913317.315341__1.315341	301301__A0A395V8J8__RHOM_11280
ERR1913317.315415__1.315415	187327__G4Q682__Acin_1672
ERR1913317.315441__1.315441	214856__A0A174G1M7__ERS852559_00594
ERR1913317.315615__1.315615	28116__A0A1Y4Q114__DXF98_00470
ERR1913317.315649__1.315649	820__R9I3Q7__HMPREF1072_01668
ERR1913317.315669__1.315669	821__A0A174WBC9__ERS852556_03145
ERR1913317.315817__1.315817	821__A0A174NM17__lacZ_6
ERR1913317.315823__1.315823	28116__I9AKR7__DXA80_22960
ERR1913317.315812__1.315812	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913317.315946__1.315946	1550024__A0A0D8IVV4__ASJ35_03610
ERR1913317.316024__1.316024	39491__A0A396FUZ3__phoR_1
ERR1913317.316028__1.316028	187327__G4Q5A9__Acin_2086
ERR1913317.316126__1.316126	820__A0A139K4W1__M093_0353
ERR1913317.316177__1.316177	820__A0A078S4C2__ERS417307_00828
ERR1913317.316339__1.316339	214856__A0A174A1J3__ERS852447_01000
ERR1913317.316459__1.316459	418240__A0A173YIF6__ypdA_1
ERR1913317.316653__1.316653	820__A0A173YYG4__evgS_3
ERR1913317.316766__1.316766	28117__B0MT84__ALIPUT_00402
ERR1913317.316807__1.316807	821__A0A396F9T7__M097_3427
ERR1913317.316860__1.316860	357276__A0A076ISJ4__B5F95_19420
ERR1913317.316964__1.316964	487174__K0XG81__HMPREF9448_02274
ERR1913317.316977__1.316977	39491__A0A396FQV7__T1815_10751
ERR1913317.317034__1.317034	39491__A0A395ZHW9__DXC13_02590
ERR1913317.317110__1.317110	820__A0A174M9V5__M093_0237
ERR1913317.317129__1.317129	1796613__A0A1C7H6N8__ADH74_01350
ERR1913317.317241__1.317241	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913317.317663__1.317663	40518__R5DUU0__DXD93_03985
ERR1913317.317792__1.317792	820__R9HXK9__DXB62_08265
ERR1913317.317832__1.317832	40518__R5DYP7__envC
ERR1913317.318168__1.318168	301302__R5VE75__M72_12161
ERR1913317.318249__1.318249	39491__A0A395UZ89__DXB72_12805
ERR1913317.318277__1.318277	487174__K0XEB6__DDY40_08400
ERR1913317.318283__1.318283	820__A0A174CK74__DXB48_07060
ERR1913317.318391__1.318391	820__A0A174QLF0__SAMN05444418_109151
ERR1913317.318590__1.318590	218139__GCA_002259595.1_00034
ERR1913317.318720__1.318720	39491__A0A396FNP1__DXD95_06025
ERR1913317.318746__1.318746	818__A0A0P0FI06__BJP75_017205
ERR1913317.319137__1.319137	371601__A0A1H4AKU1__BXY_45200
ERR1913317.319106__1.319106	39492__D4JRM4__tap_5
ERR1913317.319187__1.319187	626929__F3PJN9__B5F24_15155
ERR1913317.319269__1.319269	820__A0A174GK47__ERS852421_00200
ERR1913317.319309__1.319309	301301__G2SX39__ERS852391_02360
ERR1913317.319438__1.319438	823__A0A174EFT7__luxQ_5
ERR1913317.319712__1.319712	28117__B0MUL5__ALIPUT_00722
ERR1913317.319779__1.319779	820__A0A174A6K0__M093_0079
ERR1913317.319789__1.319789	1680__A0A1X3AAI9__BADO_1163
ERR1913317.319944__1.319944	821__A0A0P0M5Z6__BVU_0429
ERR1913317.320032__1.320032	28117__R7JIJ8__BHV66_01635
ERR1913317.320100__1.320100	2108523__A0A2P2F4E1__LAWASA_871
ERR1913317.320154__1.320154	821__A0A3E4HP25__SAMN04487923_102450
ERR1913317.320233__1.320233	39486__B0G912__DXD84_12340
ERR1913317.320202__1.320202	28117__B0MTY2__BHV66_06485
ERR1913317.320179__1.320179	1308__A0A0P6UXB9__str1900
ERR1913317.320297__1.320297	39491__A0A395ZHH5__ERS852497_02076
ERR1913317.320357__1.320357	40518__R5DRY6__RB5AMG_00549
ERR1913317.320518__1.320518	106588__A6NYZ2__BACCAP_03441
ERR1913317.320525__1.320525	820__A0A3E4RU03__M093_0563
ERR1913317.320598__1.320598	187327__G4Q3B5__arcB
ERR1913317.320658__1.320658	28116__A0A139L6N6__HMPREF2532_02529
ERR1913317.320734__1.320734	28116__A0A078Q626__HMPREF1070_02735
ERR1913317.320888__1.320888	28116__A0A1Y4PWN5__M088_3731
ERR1913317.320956__1.320956	1603888__A0A133SIE9__HMPREF3201_01015
ERR1913317.320967__1.320967	820__A0A3E4G826__C801_01612
ERR1913317.320972__1.320972	626929__R6MD51__SAMN05444376_2492
ERR1913317.320996__1.320996	40518__R5E7G3__DXD86_03405
ERR1913317.321128__1.321128	47678__R5UT79__ERS852558_03890
ERR1913317.321191__1.321191	820__A0A1T4IYF4__mprA_1
ERR1913317.321165__1.321165	1262954__R7FGY2__BN611_00813
ERR1913317.321300__1.321300	28116__A0A1Y4Q114__DXF98_00470
ERR1913317.321315__1.321315	301302__R5V7D6__tagA
ERR1913317.321316__1.321316	820__A0A3E4W984__pssA
ERR1913317.321323__1.321323	169435__A0A174NDA9__ANACOL_03940
ERR1913317.321324__1.321324	820__E5VA63__DXC80_01025
ERR1913317.321338__1.321338	1262948__R7E9D8__BN671_02221
ERR1913317.321407__1.321407	820__A0A174F696__macB_13
ERR1913317.321424__1.321424	487174__K0WZP2__DDY40_04000
ERR1913317.321632__1.321632	40518__R5DTP7__DXD83_02415
ERR1913317.321650__1.321650	39488__A0A173RSC6__ERS852450_01530
ERR1913317.321678__1.321678	820__A7V9F9__B5G17_14640
ERR1913317.321682__1.321682	821__I9R3W6__DXC16_12455
ERR1913317.321753__1.321753	187327__G4Q682__Acin_1672
ERR1913317.321762__1.321762	821__A0A0P0M2J4__DXD46_10295
ERR1913317.321828__1.321828	820__A0A3E4IGA7__DXD40_07110
ERR1913317.321859__1.321859	649756__E5VJU7__ERS852425_01321
ERR1913317.321913__1.321913	1680__A0A2R4G1K8__BBMN23_0315
ERR1913317.321969__1.321969	820__A0A139K4W1__M093_0353
ERR1913317.322164__1.322164	820__I9TWZ7__DXC80_10550
ERR1913317.322091__1.322091	1263107__GCA_000436995.1_00140
ERR1913317.322262__1.322262	820__A0A374QGD2__ERS852421_02382
ERR1913317.322730__1.322730	1680__R5GR82__AD0028_0014
ERR1913317.322895__1.322895	820__R9I324__HMPREF2141_02414
ERR1913317.322866__1.322866	1680__A0A1V8QAM8__BIFADO_02272
ERR1913317.322867__1.322867	820__A7V8C2__ERS852554_01338
ERR1913317.322940__1.322940	216816__Q8G585__APC1473_0508
ERR1913317.323034__1.323034	823__D7IV95__DXC05_09565
ERR1913317.323111__1.323111	46506__S3YGB4__DXC41_06355
ERR1913317.323237__1.323237	818__A0A0P0EVZ1__SAMN02910322_03499
ERR1913317.323276__1.323276	1262756__R5XMA6__BN568_01901
ERR1913317.323400__1.323400	1680__A0A1X2ZKM8__B5789_0981
ERR1913317.323459__1.323459	28116__A0A078QF71__HMPREF1070_01231
ERR1913317.323573__1.323573	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913317.323586__1.323586	357276__B6W1J2__BACDOR_03380
ERR1913317.323884__1.323884	487174__K0X7X4__DIT83_09125
ERR1913317.323858__1.323858	47678__R5UAI1__BACCAC_01922
ERR1913317.323917__1.323917	1550024__G9RPK6__TQ39_05330
ERR1913317.323982__1.323982	39488__C0EWC5__EHLA_2843
ERR1913317.324077__1.324077	39491__A0A395UUN5__EUBREC_0291
ERR1913317.324165__1.324165	28117__B0MTW8__ALIPUT_00502
ERR1913317.324367__1.324367	47678__R5UMC3__CGC64_08380
ERR1913317.324520__1.324520	28117__B0MXG8__ALIPUT_01814
ERR1913317.324621__1.324621	187327__U2VKS6__Acin_2226
ERR1913317.324641__1.324641	310298__B3JL94__BACCOP_02749
ERR1913317.324760__1.324760	820__A0A174QLF0__SAMN05444418_109151
ERR1913317.324821__1.324821	556259__I0PXW0__BSGG_5187
ERR1913317.324823__1.324823	40518__R5E550__aroK
ERR1913317.324850__1.324850	1630166__A0A261FKV3__BMYO_1116
ERR1913317.324940__1.324940	649756__B0NZX5__lytC_2
ERR1913317.324960__1.324960	28117__B0MT73__ALIPUT_00412
ERR1913317.325205__1.325205	626929__R6LJ78__B5F97_01745
ERR1913317.325213__1.325213	820__A0A396CMY7__HMPREF1072_03009
ERR1913317.325255__1.325255	47678__R5UWN2__BACCAC_01649
ERR1913317.325488__1.325488	820__A0A139KIL9__DXC68_05945
ERR1913317.325855__1.325855	820__A0A1Q6IDS8__chtA
ERR1913317.325824__1.325824	292800__A0A1C7FQ74__HMPREF9460_03995
ERR1913317.325984__1.325984	823__A0A355XJ56__DDY96_07685
ERR1913317.326016__1.326016	40518__R5E6X1__DXD83_01720
ERR1913317.326028__1.326028	187327__G4Q4X8__ACDG_00099
ERR1913317.326245__1.326245	357276__A0A076IS26__EL88_15950
ERR1913317.326247__1.326247	820__A0A174QT76__B5G17_18060
ERR1913317.326563__1.326563	310298__B3JII2__BACCOP_01694
ERR1913317.326586__1.326586	301302__A0A0M6WK85__M72_28131
ERR1913317.326730__1.326730	40518__R5E8B6__RB5AMG_00876
ERR1913317.326741__1.326741	292800__A0A174VL30__A4U99_16555
ERR1913317.326838__1.326838	39491__C4Z875__T1815_09771
ERR1913317.326921__1.326921	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913317.326932__1.326932	820__A7VAR9__ERS852421_00197
ERR1913317.327089__1.327089	216816__A0A374SVM3__BLSL_0492
ERR1913317.327133__1.327133	823__A0A174WTX5__DD466_11965
ERR1913317.327154__1.327154	820__A0A3E4W084__BACUNI_04042
ERR1913317.327355__1.327355	821__A0A174NM17__lacZ_6
ERR1913317.327364__1.327364	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913317.327392__1.327392	821__A0A0P0M5Z6__BVU_0429
ERR1913317.327476__1.327476	418240__C6JGW8__ERS852523_02296
ERR1913317.327490__1.327490	28116__A0A1Y4VU28__SAMN05444282_1227
ERR1913317.327644__1.327644	820__A0A173XIP7__B5G17_16050
ERR1913317.327921__1.327921	818__Q89ZX6__ERS852511_03600
ERR1913317.328025__1.328025	328813__A0A1Y3QRL5__B5G41_11625
ERR1913317.328161__1.328161	40518__R5DU52__RB5AMG_02245
ERR1913317.328198__1.328198	28117__B0MVL5__BHV66_01660
ERR1913317.328216__1.328216	1680__R5GZF2__DXC60_01925
ERR1913317.328239__1.328239	820__A0A396EUU8__luxQ_3
ERR1913317.328372__1.328372	820__A0A174LJB2__HMPREF1072_04112
ERR1913317.328488__1.328488	187327__G4Q2R6__Acin_2204
ERR1913317.328506__1.328506	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913317.328531__1.328531	818__A0A0P0FI06__BJP75_017205
ERR1913317.328657__1.328657	556259__I0PXW0__BSGG_5187
ERR1913317.328993__1.328993	47678__R5U8P0__DW706_15950
ERR1913317.329012__1.329012	820__A0A3E4VXP2__yesR
ERR1913317.329057__1.329057	1628085__A0A2U1B8S0__C7386_11465
ERR1913317.329069__1.329069	820__A7V470__HMPREF1072_02076
ERR1913317.329072__1.329072	1965604__A0A1Y4F8P6__B5F54_00695
ERR1913317.329137__1.329137	46506__B0NUC3__SAMN05444283_1019
ERR1913317.329222__1.329222	626929__F3PKZ5__B5F24_10670
ERR1913317.329267__1.329267	187327__G4Q909__Acin_0465
ERR1913317.329275__1.329275	46506__S3YS03__DXC34_03445
ERR1913317.329318__1.329318	214856__A0A175A6T5__ERS852447_02658
ERR1913317.329383__1.329383	301302__A0A0M6WU48__M72_10411
ERR1913317.329431__1.329431	820__A0A3E4G8F8__ERS852421_01645
ERR1913317.329544__1.329544	187327__G4Q2V4__Acin_1541
ERR1913317.329628__1.329628	246787__A0A139L268__BcellWH2_03192
