ERR1912976.284__1.284	329854__R5M2W6__DXD57_07830
ERR1912976.906547__1.906547	39492__A0A174Z2N0__EUBSIR_01615
ERR1912976.906589__1.906589	820__E5VEH7__ERS852459_01300
ERR1912976.906738__1.906738	28052__A0A174GZE8__ERS852451_00311
ERR1912976.906746__1.906746	28116__A7LSB9__DXF98_11950
ERR1912976.906893__1.906893	360807__C0FPV5__ERS852444_03160
ERR1912976.907184__1.907184	821__A6L0C7__ERS852556_03520
ERR1912976.907186__1.907186	39485__A0A174Z851__cdaR_1
ERR1912976.907161__1.907161	821__I9R3W6__DXC16_12455
ERR1912976.907376__1.907376	357276__A0A076IS46__BACDOR_03265
ERR1912976.907385__1.907385	556259__I0PYL9__BSGG_5205
ERR1912976.907474__1.907474	820__A0A174NUS8__DXC80_12885
ERR1912976.907739__1.907739	487174__K0XM88__DDY40_02935
ERR1912976.907842__1.907842	46503__R6WRM8__HMPREF1060_03046
ERR1912976.908161__1.908161	39485__C4Z6V1__ERS852492_02640
ERR1912976.908316__1.908316	818__A0A139KY34__ERS852461_03898
ERR1912976.908341__1.908341	33038__A7AZT7__RUMGNA_00811
ERR1912976.908345__1.908345	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.908455__1.908455	301302__R5VC75__ERS852420_02858
ERR1912976.908579__1.908579	1160721__W0U3I6__RBI_I00579
ERR1912976.908631__1.908631	821__E5UY21__C800_02204
ERR1912976.908868__1.908868	487174__K0WTQ3__HMPREF9448_02140
ERR1912976.909135__1.909135	301301__A0A395V5S1__ERS852391_01890
ERR1912976.909329__1.909329	39491__A0A396FFW0__ERE_10580
ERR1912976.909462__1.909462	487174__K0WRZ5__HMPREF9448_02826
ERR1912976.909527__1.909527	239935__R6J776__CXU07_02355
ERR1912976.909663__1.909663	29361__B6FJW8__CLONEX_00410
ERR1912976.909877__1.909877	214856__A0A174FWM7__ERS852559_00590
ERR1912976.909999__1.909999	384639__GCA_003096855.1_01617
ERR1912976.910169__1.910169	165179__A0A3E4SID1__DXB80_01945
ERR1912976.910258__1.910258	39491__C4Z9E9__T1815_12341
ERR1912976.910291__1.910291	821__A6L0C7__ERS852556_03520
ERR1912976.910640__1.910640	33038__A0A396G4S6__CDL21_13680
ERR1912976.910650__1.910650	39492__D4JU67__EUBSIR_00791
ERR1912976.910921__1.910921	33038__F7K1D5__CDL23_09565
ERR1912976.910947__1.910947	33038__F7K1I3__CDL19_03785
ERR1912976.911060__1.911060	1262988__R7N6C8__BN816_02368
ERR1912976.911097__1.911097	33038__A0A2N5Q375__RUMGNA_00645
ERR1912976.911171__1.911171	357276__A0A0K2HFA1__HMPREF1065_02962
ERR1912976.911273__1.911273	33038__A0A2N5NWR8__CDL18_14140
ERR1912976.911321__1.911321	33038__F7JUE7__CDL26_12120
ERR1912976.911609__1.911609	821__A0A396EVC9__DXB90_03525
ERR1912976.911689__1.911689	820__E5VEH7__ERS852459_01300
ERR1912976.911787__1.911787	329854__A0A3E4IIT5__DXK01_21130
ERR1912976.911800__1.911800	214856__A0A174FWM7__ERS852559_00590
ERR1912976.911859__1.911859	1262995__R5R5E9__BN747_02329
ERR1912976.911870__1.911870	821__I9R3W6__DXC16_12455
ERR1912976.911921__1.911921	2292352__A0A374UKZ5__DXC23_11285
ERR1912976.911885__1.911885	39485__C4Z6K2__ERS852490_00407
ERR1912976.912218__1.912218	301301__A0A395V7N0__ERS852391_02330
ERR1912976.912262__1.912262	33038__A7B8N9__CDL21_10000
ERR1912976.912240__1.912240	150055__A0A2X3WGK9__NCTC8738_02023
ERR1912976.912277__1.912277	33038__F7JUE7__CDL26_12120
ERR1912976.912303__1.912303	1160721__R6U304__BHW50_05725
ERR1912976.912356__1.912356	1263000__R5EK86__BN466_02022
ERR1912976.912669__1.912669	384639__GCA_003096855.1_01176
ERR1912976.912744__1.912744	821__A0A0P0L8F8__ERS852509_03705
ERR1912976.912792__1.912792	28052__A0A174YME0__acm_2
ERR1912976.913228__1.913228	394340__group_3267
ERR1912976.913360__1.913360	1965538__A0A1Y4W5L7__B5E43_09895
ERR1912976.913382__1.913382	487174__K0X2A4__DDY40_04095
ERR1912976.913490__1.913490	28052__A0A174HA30__ERS852451_00216
ERR1912976.913537__1.913537	74426__rpoC
ERR1912976.913700__1.913700	28117__B0MUR5__BHV66_03900
ERR1912976.913732__1.913732	820__A0A396EUV1__B5G17_06465
ERR1912976.913762__1.913762	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.913877__1.913877	301301__A0A395V7U1__ycdT
ERR1912976.913902__1.913902	33038__A0A3E4VAW9__CDL19_05110
ERR1912976.914016__1.914016	371601__D7K8P3__SAMN05216250_10395
ERR1912976.914273__1.914273	28052__A0A174I0A5__ERS852499_00618
ERR1912976.914333__1.914333	384639__GCA_003096855.1_01171
ERR1912976.914364__1.914364	329854__R7E733__DXD57_00120
ERR1912976.914493__1.914493	2292352__A0A374UJE7__DXC23_11305
ERR1912976.914524__1.914524	821__A0A174NM17__lacZ_6
ERR1912976.914577__1.914577	301301__A0A395V928__RHOM_04950
ERR1912976.914580__1.914580	329854__A0A3E4KRK8__DXK01_03500
ERR1912976.914655__1.914655	2292352__A0A374UNM1__DXC23_01675
ERR1912976.914651__1.914651	1160721__W0U532__RBI_I00944
ERR1912976.914709__1.914709	39485__A0A174ZA08__EUBELI_01019
ERR1912976.915203__1.915203	39485__A0A174ZPJ9__tig_2
ERR1912976.915209__1.915209	671267__R9IB12__C802_00696
ERR1912976.915219__1.915219	487174__K0WZU9__HMPREF9448_01159
ERR1912976.915346__1.915346	329854__R5M926__BACINT_00302
ERR1912976.915352__1.915352	1263005__R6FL42__BN497_00050
ERR1912976.915727__1.915727	39485__A0A174ZAI7__outO
ERR1912976.915803__1.915803	1160721__A0A1C6CMR2__BHW50_00085
ERR1912976.915917__1.915917	328814__GCA_004558275.1_01745
ERR1912976.916026__1.916026	39492__A0A175A133__cycB_1
ERR1912976.915989__1.915989	1263076__GCA_000437615.1_00021
ERR1912976.916177__1.916177	487174__R5F5Z4__DIT83_00635
ERR1912976.916197__1.916197	649756__L1Q8U4__ERS852571_01677
ERR1912976.916206__1.916206	1776045__A0A0U5J7K7__BN3456_00132
ERR1912976.916345__1.916345	301301__A0A174GNJ2__RHOM_05610
ERR1912976.916365__1.916365	214856__A0A174ZB00__ERS852559_00631
ERR1912976.916513__1.916513	165179__A0A3E5A5E5__DXC61_13965
ERR1912976.917082__1.917082	28118__F9ZCN9__DHW44_07820
ERR1912976.917083__1.917083	821__A0A396F598__CUU_3259
ERR1912976.917121__1.917121	1263006__R6MQA3__BN515_02104
ERR1912976.917161__1.917161	821__A0A395VLM8__BvMPK_3650
ERR1912976.917232__1.917232	329854__R5MLZ7__DXD27_15500
ERR1912976.917343__1.917343	301301__R6NZ24__dapF_2
ERR1912976.917391__1.917391	821__A0A173XDD3__DXB82_17180
ERR1912976.917460__1.917460	84135__rplB
ERR1912976.917623__1.917623	165179__D1PHD6__DXC61_03380
ERR1912976.917741__1.917741	487174__K0X1V7__DIT83_03020
ERR1912976.917785__1.917785	28052__A0A174GAR2__mcp4_3
ERR1912976.917793__1.917793	1862668__GCA_001945525.1_00498
ERR1912976.917796__1.917796	360807__A0A0M6X1Y4__ROSEINA2194_02133
ERR1912976.917900__1.917900	329854__R5MA67__DXD27_19320
ERR1912976.917918__1.917918	33038__A0A2N5NWR8__CDL18_14140
ERR1912976.917920__1.917920	33038__A7B614__CDL24_02540
ERR1912976.917991__1.917991	821__A0A174RA14__M099_1655
ERR1912976.918083__1.918083	33038__A0A2N5NWR8__CDL18_14140
ERR1912976.918106__1.918106	301301__A0A395VA18__RHOM_11700
ERR1912976.918186__1.918186	329854__R5MCJ1__DXD57_00165
ERR1912976.918253__1.918253	487174__R5G1E8__DIT83_00510
ERR1912976.918326__1.918326	821__I9R3W6__DXC16_12455
ERR1912976.918509__1.918509	39485__A0A174Z4K7__dosC_2
ERR1912976.918560__1.918560	33038__A0A2N5NNN0__HMPREF1201_02166
ERR1912976.918752__1.918752	384639__GCA_003096855.1_00972
ERR1912976.918878__1.918878	239935__A0A2N8IKW7__pstA
ERR1912976.918963__1.918963	2292352__A0A374UKZ5__DXC23_11285
ERR1912976.919278__1.919278	2292352__A0A374UKZ5__DXC23_11285
ERR1912976.919343__1.919343	33038__F7JZ41__CCY17_00135
ERR1912976.919444__1.919444	29361__B6FTH3__CLONEX_03450
ERR1912976.919522__1.919522	28117__B0MUB4__BHV66_01895
ERR1912976.919580__1.919580	487174__K0WRI1__DIT83_06780
ERR1912976.919625__1.919625	165179__D1PHC0__PREVCOP_06640
ERR1912976.919648__1.919648	33038__A0A2N5P3M1__DXD36_15590
ERR1912976.919666__1.919666	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.919696__1.919696	33039__A0A173U4W1__ERS852502_00464
ERR1912976.919829__1.919829	88431__A6BIL9__ERS852573_01301
ERR1912976.919831__1.919831	1262743__R5C054__BN727_01980
ERR1912976.920045__1.920045	487174__K0WU53__DDY40_07650
ERR1912976.920133__1.920133	387090__S0F7Y3__BACCOPRO_02028
ERR1912976.920188__1.920188	242750__D1PVH0__HMPREF0645_0955
ERR1912976.920214__1.920214	33038__A7AXY7__CDL27_09020
ERR1912976.920455__1.920455	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.920565__1.920565	204516__U6RAM4__HMPREF1534_03439
ERR1912976.920823__1.920823	239935__A0A2N8IVR0__CXT87_07115
ERR1912976.920881__1.920881	821__A0A397WGD6__M098_0084
ERR1912976.921005__1.921005	1263000__R5EHB0__BN466_01647
ERR1912976.921154__1.921154	671267__R9IB12__C802_00696
ERR1912976.921456__1.921456	28052__A0A174IKM0__ERS852499_00833
ERR1912976.921591__1.921591	329854__R5MRI4__DXK01_11320
ERR1912976.921877__1.921877	329854__R5LZL4__DXK01_21170
ERR1912976.922095__1.922095	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.922285__1.922285	40519__U2MCQ8__RUMCAL_00556
ERR1912976.922300__1.922300	29361__B6FJI2__CLONEX_00272
ERR1912976.922333__1.922333	817__A0A0E2TD90__BWP07_06930
ERR1912976.922429__1.922429	39485__A0A175A2T1__EUBELI_02034
ERR1912976.922438__1.922438	487174__R5EXS5__HMPREF9448_02541
ERR1912976.922498__1.922498	1262945__R6YM76__BN600_01248
ERR1912976.922581__1.922581	239935__R6JAS2__CXU02_10725
ERR1912976.922614__1.922614	821__A0A0P0LFP6__C5Z04_13890
ERR1912976.923017__1.923017	706562__GCA_900112995.1_02104
ERR1912976.923091__1.923091	1262921__R5MG79__BN473_00711
ERR1912976.923843__1.923843	301301__G2SZ66__RHOM_00485
ERR1912976.924022__1.924022	106588__A6NUL8__BACCAP_01900
ERR1912976.924127__1.924127	39485__A0A1Q6PHD7__ERS852492_01801
ERR1912976.924267__1.924267	33038__A0A2N5PGR1__ERS852409_01332
ERR1912976.924274__1.924274	817__A0A015YR67__M130_0551
ERR1912976.924294__1.924294	821__A0A0P0M2J4__DXD46_10295
ERR1912976.924295__1.924295	2292352__A0A374UL63__DXC23_08410
ERR1912976.924427__1.924427	821__I9R3W6__DXC16_12455
ERR1912976.924619__1.924619	33038__A0A2N5NGH4__CCY17_10680
ERR1912976.924671__1.924671	165179__A0A3E5A5E5__DXC61_13965
ERR1912976.924676__1.924676	301302__A0A173UN64__manA_2
ERR1912976.924791__1.924791	487174__K0WR72__HMPREF9448_02610
ERR1912976.925004__1.925004	821__A0A174NSU0__BVU_3144
ERR1912976.925193__1.925193	357276__I8VQA2__HMPREF1065_04183
ERR1912976.925521__1.925521	39485__A0A174Z9M2__yhbU_1
ERR1912976.925586__1.925586	33038__A0A396G729__RUMGNA_01796
ERR1912976.925558__1.925558	357276__A0A0K2HF54__HMPREF1063_03537
ERR1912976.925617__1.925617	28052__A0A174PF05__ERS852451_02043
ERR1912976.925622__1.925622	322505__xre_3
ERR1912976.925648__1.925648	821__A0A0P0LKG6__HMPREF1058_02188
ERR1912976.925682__1.925682	39485__C4Z028__ERS852492_00100
ERR1912976.925822__1.925822	214856__A0A174ZB00__ERS852559_00631
ERR1912976.925929__1.925929	28052__A0A174YMS1__ERS852499_02271
ERR1912976.925938__1.925938	487174__R5F016__DDY40_05675
ERR1912976.926152__1.926152	1150298__R7JTG8__smf
ERR1912976.926278__1.926278	39485__C4Z4X5__ERS852492_02859
ERR1912976.926587__1.926587	1550024__G9RXY7__TQ39_00100
ERR1912976.926627__1.926627	357276__I9QBT7__BSEG_03340
ERR1912976.926740__1.926740	165179__R6XLJ7__CFT61_06250
ERR1912976.926999__1.926999	1262824__R6RH64__BN719_00226
ERR1912976.927133__1.927133	33038__A0A2N5PDA1__C5Y99_06180
ERR1912976.927144__1.927144	821__E5UY21__C800_02204
ERR1912976.927251__1.927251	165179__A0A3E4SID1__DXB80_01945
ERR1912976.927259__1.927259	384639__GCA_003096855.1_02452
ERR1912976.927387__1.927387	28052__A0A174KGM3__ERS852451_01819
ERR1912976.927377__1.927377	360807__C0FVL1__ERS852392_00394
ERR1912976.927555__1.927555	446660__GCA_003428235.1_00881
ERR1912976.927702__1.927702	39485__C4Z028__ERS852492_00100
ERR1912976.927681__1.927681	33038__A7B090__ccpA_4
ERR1912976.927791__1.927791	1262743__R5C054__BN727_01980
ERR1912976.927917__1.927917	39485__C4Z467__ERS852490_01684
ERR1912976.928006__1.928006	820__A0A3E4VZS7__DXC07_14435
ERR1912976.928078__1.928078	821__I9R3W6__DXC16_12455
ERR1912976.928127__1.928127	360807__A0A1Q6T7T2__artP
ERR1912976.928188__1.928188	28116__A0A173ZQ83__BACOV975_02136
ERR1912976.928499__1.928499	1262824__R6RQ68__BN719_02310
ERR1912976.928588__1.928588	39485__A0A174YVB5__lyc
ERR1912976.928532__1.928532	2292352__A0A374UKA6__DXC23_10805
ERR1912976.928614__1.928614	357276__A0A076INK2__BSEG_04225
ERR1912976.928860__1.928860	301302__A0A0M6WCE2__M72_20161
ERR1912976.928881__1.928881	239935__A0A139TT05__CXU09_03335
ERR1912976.928906__1.928906	820__A0A173YYG4__evgS_3
ERR1912976.928947__1.928947	1463165__A6TC48__DP204_07400
ERR1912976.929018__1.929018	706562__GCA_900112995.1_02230
ERR1912976.929024__1.929024	39492__D4JTG7__EUBSIR_00572
ERR1912976.929151__1.929151	487174__K0WS78__HMPREF9448_02825
ERR1912976.929232__1.929232	39492__D4MIK7__EUBSIR_00676
ERR1912976.929287__1.929287	33038__A0A3E4K696__HMPREF1201_01836
ERR1912976.929334__1.929334	39485__A0A174YW66__ERS852490_03040
ERR1912976.929430__1.929430	33038__R5UBY3__lutR_1
ERR1912976.929516__1.929516	39485__A0A174ZUV1__tig_3
ERR1912976.929642__1.929642	28116__A0A078Q1V5__SAMN05444282_12168
ERR1912976.929903__1.929903	821__A0A174NSU0__BVU_3144
ERR1912976.930080__1.930080	1262783__R6CXU2__BN558_01543
ERR1912976.930158__1.930158	239935__A0A2N8HB50__CXU17_02615
ERR1912976.930223__1.930223	28132__D9RV83__HMPREF0660_00835
ERR1912976.930259__1.930259	821__E5UY21__C800_02204
ERR1912976.930623__1.930623	28052__R7N7V7__hemZ_1
ERR1912976.930820__1.930820	40519__U2MCQ8__RUMCAL_00556
ERR1912976.930854__1.930854	1262988__R7N096__BN816_01535
ERR1912976.930863__1.930863	246787__A0A0P0GG22__BACCELL_01899
ERR1912976.930911__1.930911	487174__K0WYC5__HMPREF9448_01493
ERR1912976.931237__1.931237	821__A0A173XDD3__DXB82_17180
ERR1912976.931345__1.931345	649756__L1QBG9__ERS852520_01392
ERR1912976.931346__1.931346	165179__D1PCL6__DXB80_13435
ERR1912976.931414__1.931414	39485__C4Z1Y9__EUBELI_00143
ERR1912976.931500__1.931500	28052__R7NA90__tcyB
ERR1912976.931844__1.931844	821__D4VD59__BHV80_04260
ERR1912976.931903__1.931903	40519__U2MCQ8__RUMCAL_00556
ERR1912976.931884__1.931884	33038__A7B256__CDL19_05130
ERR1912976.931939__1.931939	649756__D4MX84__ERS852520_02352
ERR1912976.931992__1.931992	329854__R5LZL4__DXK01_21170
ERR1912976.931998__1.931998	487174__R5FJH0__DDY40_07055
ERR1912976.932088__1.932088	487174__K0WV19__HMPREF9448_01820
ERR1912976.932252__1.932252	39485__A0A174Z7G5__EUBELI_01168
ERR1912976.932392__1.932392	40519__U2MCQ8__RUMCAL_00556
ERR1912976.932394__1.932394	817__A0A395WHI5__M113_3549
ERR1912976.932802__1.932802	150055__A0A2X3W5Z3__SLUDD06_00635
ERR1912976.932856__1.932856	2173__A0A1D2WSN7__Msm_1465
ERR1912976.933017__1.933017	165179__A0A3E5E3D6__DXC61_05750
ERR1912976.933522__1.933522	33038__A0A2N5NWR8__CDL18_14140
ERR1912976.933532__1.933532	39485__A0A174ZNZ2__ERS852492_02345
ERR1912976.933629__1.933629	821__A0A0P0L8F8__ERS852509_03705
ERR1912976.933638__1.933638	1262986__R6A821__BN492_01136
ERR1912976.933710__1.933710	39485__C4Z355__ERS852490_01971
ERR1912976.933862__1.933862	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.933969__1.933969	562__P77393__PU31_14870
ERR1912976.934032__1.934032	821__A0A174TD86__C800_00949
ERR1912976.934096__1.934096	165179__A0A3E5DN34__DXC61_07865
ERR1912976.934144__1.934144	28117__B0N007__BHV66_10275
ERR1912976.934179__1.934179	28117__B0MY82__BHV66_04755
ERR1912976.934262__1.934262	39485__A0A174YMD0__EUBELI_01093
ERR1912976.934331__1.934331	165179__D1PGU8__PREVCOP_06463
ERR1912976.934351__1.934351	165179__A0A174SA26__PREVCOP_05758
ERR1912976.934354__1.934354	28116__A0A395VZB9__Bovatus_03205
ERR1912976.934636__1.934636	214856__I3YMC8__ERS852447_02666
ERR1912976.934647__1.934647	821__I9R3W6__DXC16_12455
ERR1912976.934724__1.934724	29361__B6FRT6__CLONEX_02860
ERR1912976.934777__1.934777	360807__A0A173UZ94__ssuC_2
ERR1912976.934786__1.934786	239935__A0A2N8HT68__ADH72_00510
ERR1912976.934872__1.934872	33038__A0A3E4KA66__CDL24_01305
ERR1912976.934910__1.934910	239935__B2UPZ6__CXU03_03800
ERR1912976.935034__1.935034	1262921__R5LSI3__BN473_01312
ERR1912976.935198__1.935198	39485__A0A174ZBK4__ERS852490_01585
ERR1912976.935216__1.935216	329854__A0A3D6AT76__DXD57_12190
ERR1912976.935238__1.935238	33038__A0A3E4V548__DXD36_06385
ERR1912976.935391__1.935391	39492__D4JVG7__ERS852540_00946
ERR1912976.935436__1.935436	329854__B3C9R7__DXD57_13140
ERR1912976.935462__1.935462	33038__A0A2N5NWR8__CDL18_14140
ERR1912976.935488__1.935488	39485__A0A175A273__plsX_2
ERR1912976.935515__1.935515	1160721__W0U811__RBI_II00162
ERR1912976.935495__1.935495	33038__F7JZ41__CCY17_00135
ERR1912976.935531__1.935531	1262921__R5LMK9__BN473_01331
ERR1912976.935628__1.935628	204516__U6RAM4__HMPREF1534_03439
ERR1912976.935869__1.935869	165179__A0A3E5A554__DXB80_13805
ERR1912976.935984__1.935984	820__A0A139K426__B5G17_09115
ERR1912976.936022__1.936022	239935__B2URG9__CXU00_11290
ERR1912976.936048__1.936048	1263000__R5EBF6__BN466_00505
ERR1912976.936195__1.936195	562__P0A9K7__AUQ29_19530
ERR1912976.936720__1.936720	28052__A0A174P635__ERS852499_02418
ERR1912976.936751__1.936751	487174__K0X1H0__DDY40_11080
ERR1912976.936856__1.936856	39485__C4Z5L8__ERS852490_00665
ERR1912976.937078__1.937078	39485__A0A174YZE2__spoIIE
ERR1912976.937276__1.937276	242750__D1PVH0__HMPREF0645_0955
ERR1912976.937281__1.937281	1263000__R5EC87__BN466_00713
ERR1912976.937409__1.937409	818__Q8A5L9__BJP75_000955
ERR1912976.937590__1.937590	329854__R5LW55__DXD57_21020
ERR1912976.937569__1.937569	1262873__R6WEP7__BN605_00075
ERR1912976.937734__1.937734	239935__A0A2N8I3G2__CXT89_00720
ERR1912976.937842__1.937842	239935__A0A2N8IVK9__CXU08_03750
ERR1912976.937948__1.937948	671267__R9IB12__C802_00696
ERR1912976.938029__1.938029	544644__GCA_001915615.1_01041
ERR1912976.938193__1.938193	487174__R5F4K8__HMPREF9448_01532
ERR1912976.938248__1.938248	246787__A0A3D6AVT6__BACCELL_02130
ERR1912976.938395__1.938395	28052__R7NAP6__ERS852499_01969
ERR1912976.938431__1.938431	239935__A0A2N8IUK0__CXU01_07370
ERR1912976.938619__1.938619	33038__A0A2N5Q1T9__ERS852409_01319
ERR1912976.938840__1.938840	821__A0A3E4HP25__SAMN04487923_102450
ERR1912976.938955__1.938955	360807__A0A396AK01__RIL183_20461
ERR1912976.939106__1.939106	214856__A0A174A0P3__ERS852447_00994
ERR1912976.939185__1.939185	28117__B0MXD0__ALIPUT_01669
ERR1912976.939294__1.939294	853__A0A173RZ39__C4N22_01650
ERR1912976.939498__1.939498	106588__A6NUL8__BACCAP_01900
ERR1912976.939718__1.939718	33038__A0A2N5PIX3__CDL26_14635
ERR1912976.939832__1.939832	360807__A0A0M6WLX3__RIL183_21751
ERR1912976.939842__1.939842	821__R6F3Y1__SAMN04487923_104318
ERR1912976.940099__1.940099	821__A0A173WG51__BVU_2549
ERR1912976.940118__1.940118	821__A0A397WGD6__M098_0084
ERR1912976.940145__1.940145	33038__A0A2N5NVC1__CDL18_09740
ERR1912976.940227__1.940227	28052__R7NDG4__ERS852499_01797
ERR1912976.940215__1.940215	821__A0A395UNT8__DXD64_15275
ERR1912976.940323__1.940323	1262988__R7N2N8__BN816_01487
ERR1912976.940566__1.940566	28052__A0A174NW82__lytR_1
ERR1912976.940661__1.940661	820__A0A139KJR5__M093_4469
ERR1912976.940779__1.940779	821__A0A395UNT8__DXD64_15275
ERR1912976.940846__1.940846	28052__A0A174IJM6__cph2_4
ERR1912976.941011__1.941011	821__A0A395VMG0__DXC44_18080
ERR1912976.941573__1.941573	360807__A0A1Q6T7T2__artP
ERR1912976.941628__1.941628	1262921__R5M2J9__BN473_00593
ERR1912976.941632__1.941632	39486__B0G6T5__DXD50_07965
ERR1912976.941659__1.941659	821__A0A0P0L952__M097_4235
ERR1912976.941736__1.941736	328814__GCA_004558275.1_00034
ERR1912976.941913__1.941913	1304__J7TU64__CYK22_02490
ERR1912976.941918__1.941918	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.941942__1.941942	544645__A0A1U7LBV3__DXC42_12245
ERR1912976.942070__1.942070	39485__C4Z390__EUBELI_01689
ERR1912976.942284__1.942284	301302__A0A173TNM6__luxQ
ERR1912976.942317__1.942317	33038__A7B057__CDL26_15045
ERR1912976.942381__1.942381	329854__R7E6E5__DXK01_14405
ERR1912976.942405__1.942405	33038__A0A2N5Q375__RUMGNA_00645
ERR1912976.942598__1.942598	1263076__GCA_000437615.1_00129
ERR1912976.942639__1.942639	28052__A0A174MH21__ERS852499_01905
ERR1912976.942711__1.942711	562__P23837__phoQ
ERR1912976.942941__1.942941	329854__A0A3E4ILU6__BACINT_00653
ERR1912976.943073__1.943073	821__A0A396EVC9__DXB90_03525
ERR1912976.943143__1.943143	487174__K0XQM6__HMPREF9448_00330
ERR1912976.943168__1.943168	552398__F4XCR9__HMPREF0866_01636
ERR1912976.943333__1.943333	328814__GCA_004558275.1_00033
ERR1912976.943384__1.943384	1550024__G9RTA6__TQ39_10970
ERR1912976.943473__1.943473	292800__A0A174LIV0__HMPREF0372_01538
ERR1912976.943493__1.943493	239935__A0A2N8I3Z7__CXU05_10555
ERR1912976.943515__1.943515	29361__B6FTW9__CLONEX_03597
ERR1912976.943549__1.943549	821__A0A174T998__DXB82_10860
ERR1912976.943697__1.943697	626933__H1DGX0__HMPREF9449_01506
ERR1912976.943705__1.943705	820__A0A3E4RUC4__DHU98_02635
ERR1912976.943711__1.943711	487174__K0WRH0__DDY40_05725
ERR1912976.943966__1.943966	1262988__R7N6C8__BN816_02368
ERR1912976.943968__1.943968	818__A0A0N7I9H8__ERS852461_00040
ERR1912976.944278__1.944278	487174__K0XG34__HMPREF9448_02234
ERR1912976.944371__1.944371	329854__R5LY77__DXD27_05730
ERR1912976.944462__1.944462	1160721__R6U304__BHW50_05725
ERR1912976.944533__1.944533	853__A0A174CVG7__CGS58_09335
ERR1912976.944537__1.944537	626933__H1DGX0__HMPREF9449_01506
ERR1912976.944568__1.944568	1160721__R6SW95__BHW50_08895
ERR1912976.944917__1.944917	292800__A0A174T145__sigV_6
ERR1912976.945176__1.945176	1263076__GCA_000437615.1_00030
ERR1912976.945237__1.945237	360807__A0A0M6X184__ERS852392_03203
ERR1912976.945239__1.945239	39485__A0A174ZA72__glgB_1
ERR1912976.945460__1.945460	562__P64549__K758_00320
ERR1912976.945589__1.945589	821__A6L0C7__ERS852556_03520
ERR1912976.945760__1.945760	328814__GCA_004558275.1_00079
ERR1912976.945764__1.945764	821__A0A395UNT8__DXD64_15275
ERR1912976.945843__1.945843	329854__R5LW55__DXD57_21020
ERR1912976.945863__1.945863	33038__A0A2N5PVP0__C5Y99_01390
ERR1912976.946066__1.946066	301301__A0A395VDE4__ERS852391_00518
ERR1912976.946413__1.946413	706562__GCA_900112995.1_00569
ERR1912976.946403__1.946403	820__A0A3E4VZY4__ERS852554_01211
ERR1912976.946517__1.946517	39492__R6RT40__prkC_3
ERR1912976.946514__1.946514	1965555__A0A1Y4SCI3__B5E77_06315
ERR1912976.946601__1.946601	1263000__R5ECJ8__BN466_00781
ERR1912976.947046__1.947046	214851__D1PSK7__SUBVAR_07390
ERR1912976.947123__1.947123	40519__U2MCQ8__RUMCAL_00556
ERR1912976.947390__1.947390	33038__A0A396GES8__CDL19_08885
ERR1912976.947409__1.947409	28052__A0A174HUY2__ERS852451_01601
ERR1912976.947574__1.947574	820__A0A174TRB5__DXD40_11305
ERR1912976.947670__1.947670	39485__A0A174ZG70__ERS852492_00929
ERR1912976.947907__1.947907	821__E5UY21__C800_02204
ERR1912976.947977__1.947977	29361__B6FQ81__CLONEX_02300
ERR1912976.947997__1.947997	821__A0A0P0LKG6__HMPREF1058_02188
ERR1912976.948074__1.948074	292800__A0A096CPP2__yfkN_3
ERR1912976.948160__1.948160	1160721__R6T8U0__atpF
ERR1912976.948511__1.948511	418240__C6JEJ0__ERS852478_00752
ERR1912976.948515__1.948515	357276__I8VN48__ABI39_07855
ERR1912976.948645__1.948645	33038__A7AZD2__CDL27_05250
ERR1912976.948764__1.948764	28116__A0A3E5HUC8__DHW41_21025
ERR1912976.948850__1.948850	821__A0A395UNT8__DXD64_15275
ERR1912976.948969__1.948969	328814__GCA_004558275.1_02278
ERR1912976.949326__1.949326	1150298__A0A174R4D7__tmpC_2
ERR1912976.949445__1.949445	33038__A0A2N5NPD5__CCY17_06280
ERR1912976.949467__1.949467	33038__A7AZH0__HMPREF1201_02167
ERR1912976.949503__1.949503	1150298__A0A174HYM9__ERS852406_01664
ERR1912976.949536__1.949536	820__A0A374QGD2__ERS852421_02382
ERR1912976.949590__1.949590	246787__R6LGB3__BcellWH2_02361
ERR1912976.949572__1.949572	821__A0A0P0LH09__ERS852457_03390
ERR1912976.949594__1.949594	820__A0A1Y3V743__M093_0235
ERR1912976.949614__1.949614	239935__A0A2N8I6R6__CXU04_04335
ERR1912976.949630__1.949630	1263000__R5EKR4__BN466_01609
ERR1912976.949659__1.949659	1263076__GCA_000437615.1_00006
ERR1912976.949738__1.949738	457421__C5ERC0__CBFG_04276
ERR1912976.949745__1.949745	33038__A0A396G4S6__CDL21_13680
ERR1912976.949804__1.949804	165179__A0A3E5EA43__DXC61_07775
ERR1912976.949904__1.949904	1318__A0A3E4UBA8__HMPREF1195_00445
ERR1912976.949996__1.949996	39485__A0A174Z1T6__sfp
ERR1912976.950001__1.950001	360807__C0FYL6__ROSEINA2194_03855
