ERR1913297.53__1.53	820__A0A139K5A6__DXB48_12175
ERR1913297.185059__1.185059	39492__D4JWX2__accB
ERR1913297.185098__1.185098	39492__D4JU56__hemZ
ERR1913297.185251__1.185251	39492__A0A174ZYY6__EUBSIR_02510
ERR1913297.185344__1.185344	39491__A0A396FNY7__LD38_16155
ERR1913297.185389__1.185389	649756__B0P3X0__DCR88_11535
ERR1913297.185383__1.185383	166486__D4KW49__ROSINTL182_07746
ERR1913297.185524__1.185524	204516__U6R8I1__HMPREF1534_03341
ERR1913297.185576__1.185576	204516__U6RFU0__HMPREF1534_02545
ERR1913297.185656__1.185656	35833__E5Y3G7__HMPREF0179_00728
ERR1913297.185778__1.185778	823__D0TAX5__HMPREF1075_01064
ERR1913297.185887__1.185887	39492__D4JUD7__EUBSIR_01877
ERR1913297.185901__1.185901	39492__D4JSB6__ERS852540_00627
ERR1913297.185939__1.185939	39492__D4JQM9__EUBSIR_00669
ERR1913297.186131__1.186131	821__I9R3W6__DXC16_12455
ERR1913297.186073__1.186073	357276__A0A0M1VXQ9__BSEG_00942
ERR1913297.186166__1.186166	28052__R7N8Y2__ERS852451_01598
ERR1913297.186193__1.186193	39491__C4ZC33__DXC13_11585
ERR1913297.186252__1.186252	301302__A0A173UAS4__M72_15061
ERR1913297.186266__1.186266	357276__U6R8F9__DXD47_04035
ERR1913297.186288__1.186288	39492__D4JSB6__ERS852540_00627
ERR1913297.186439__1.186439	39492__D4MIK7__EUBSIR_00676
ERR1913297.186489__1.186489	39492__D4JU79__EUBSIR_01975
ERR1913297.186494__1.186494	39492__D4JRV7__EUBSIR_01513
ERR1913297.186548__1.186548	357276__A0A076INK2__BSEG_04225
ERR1913297.186579__1.186579	39492__A0A174ZP27__EUBSIR_00033
ERR1913297.186681__1.186681	820__A0A3E4XM43__DXC91_13960
ERR1913297.186685__1.186685	818__A0A3E5HN77__HMPREF2534_00072
ERR1913297.186705__1.186705	39492__D4JRM9__bglB_2
ERR1913297.186741__1.186741	39492__D4JVW2__EUBSIR_02285
ERR1913297.186750__1.186750	39492__D4JTL0__EUBSIR_01428
ERR1913297.186836__1.186836	39492__D4JS46__EUBSIR_02553
ERR1913297.186993__1.186993	39492__D4JR04__phoU
ERR1913297.187051__1.187051	357276__A0A0K2HKT7__B5F95_21090
ERR1913297.187067__1.187067	1262886__R6QSD5__BN563_01674
ERR1913297.187140__1.187140	328814__GCA_004558275.1_00235
ERR1913297.187239__1.187239	823__A0A073I9P2__CF162_18000
ERR1913297.187249__1.187249	820__A0A174CG08__DXB62_13215
ERR1913297.187487__1.187487	39492__R6RYB8__ERS852540_00322
ERR1913297.187519__1.187519	28052__R7NCE0__ERS852499_00449
ERR1913297.187596__1.187596	39492__B0MNL5__phoR_1
ERR1913297.187602__1.187602	88431__A0A174A952__ugpA_1
ERR1913297.187622__1.187622	1262911__R6GZX7__BN557_00838
ERR1913297.187624__1.187624	39492__A0A175A133__cycB_1
ERR1913297.187666__1.187666	823__C7XA51__BDI_0499
ERR1913297.187732__1.187732	47678__A0A174H7W9__ERS852494_00524
ERR1913297.187767__1.187767	39492__B0MNU1__ERS852540_02349
ERR1913297.187808__1.187808	301302__A0A0M6WTB1__M72_11101
ERR1913297.187833__1.187833	39491__C4ZAT2__ERE_28440
ERR1913297.187857__1.187857	28052__A0A174GLS7__cmpC
ERR1913297.187933__1.187933	39491__A0A3E4YFT8__DXB69_10940
ERR1913297.188003__1.188003	39485__C4Z389__ERS852490_01920
ERR1913297.188068__1.188068	823__A0A395YS82__M091_1569
ERR1913297.188134__1.188134	820__A0A139JRS5__HMPREF1073_04025
ERR1913297.188192__1.188192	39492__D4JRZ7__smc
ERR1913297.188221__1.188221	39491__A0A173VYV1__DXC13_02710
ERR1913297.188483__1.188483	322505__group_105
ERR1913297.188612__1.188612	384638__B7AT21__BACPEC_01289
ERR1913297.188645__1.188645	39492__B0MNL5__phoR_1
ERR1913297.188714__1.188714	28116__I9TDA4__BACOV975_03134
ERR1913297.188770__1.188770	39492__D4JX50__EUBSIR_00410
ERR1913297.188800__1.188800	169435__A0A174S576__DXC40_16550
ERR1913297.188866__1.188866	1099853__G9S3N8__NSB1T_07330
ERR1913297.188894__1.188894	28111__E5WUE7__BACEGG_02087
ERR1913297.188897__1.188897	820__A0A3E4G3J9__ERS852459_02265
ERR1913297.188924__1.188924	301302__A0A0M6WPV4__M72_29701
ERR1913297.188948__1.188948	39485__A0A174ZPH7__ERS852490_01992
ERR1913297.188967__1.188967	360807__C0FN02__ERS852392_01841
ERR1913297.188994__1.188994	820__R9I2U8__DXC68_09590
ERR1913297.189019__1.189019	820__A0A174A6K0__M093_0079
ERR1913297.189027__1.189027	823__D7IUM6__M091_1082
ERR1913297.189106__1.189106	39492__D4JUD7__EUBSIR_01877
ERR1913297.189144__1.189144	820__A0A173W419__DXC68_17760
ERR1913297.189151__1.189151	357276__A0A076IRX7__HMPREF1064_00526
ERR1913297.189182__1.189182	28052__A0A174GQI3__ERS852451_00394
ERR1913297.189298__1.189298	1262911__R6GR13__BN557_00618
ERR1913297.189271__1.189271	357276__I9QBT4__GV66_09000
ERR1913297.189273__1.189273	301302__A0A173RQG1__M72_18491
ERR1913297.189314__1.189314	28111__E5X0X9__HMPREF1016_02597
ERR1913297.189528__1.189528	39491__D4JMW8__ERS852497_01971
ERR1913297.189595__1.189595	39491__A0A396FRE7__EUR_27520
ERR1913297.189689__1.189689	204516__U6RR05__HMPREF1534_00736
ERR1913297.189752__1.189752	357276__I9R994__BACDOR_04044
ERR1913297.189733__1.189733	39492__D4JWM0__atpF
ERR1913297.189887__1.189887	39491__A0A395UVM9__DXB76_04540
ERR1913297.189960__1.189960	39492__D4JQS6__ykoD
ERR1913297.189997__1.189997	706562__GCA_900112995.1_02104
ERR1913297.190051__1.190051	39491__A0A395ZJZ1__LD38_01870
ERR1913297.190284__1.190284	39492__D4JQU6__ERS852540_02194
ERR1913297.190266__1.190266	820__A7V9F9__B5G17_14640
ERR1913297.190305__1.190305	1150298__R7JL35__ERS852498_02809
ERR1913297.190311__1.190311	820__A0A174R952__DXB48_02570
ERR1913297.190391__1.190391	39492__B0MM84__lgt
ERR1913297.190425__1.190425	40518__R5DY98__mepA_5
ERR1913297.190439__1.190439	820__A0A174RFI5__SAMN05444418_12240
ERR1913297.190489__1.190489	820__R9HXK9__DXB62_08265
ERR1913297.190519__1.190519	357276__D1K3K9__EL88_23995
ERR1913297.190565__1.190565	39492__D4JTU4__ykfG
ERR1913297.190582__1.190582	357276__A0A0K2HKT7__B5F95_21090
ERR1913297.190590__1.190590	39492__D4JVG7__ERS852540_00946
ERR1913297.190659__1.190659	384638__B7ASB0__BACPEC_01965
ERR1913297.190709__1.190709	357276__I9FRW5__B5F95_21685
ERR1913297.190711__1.190711	1262915__R6HRC0__BN574_00122
ERR1913297.190814__1.190814	357276__A0A076INK2__BSEG_04225
ERR1913297.190825__1.190825	357276__I8WDF1__B5F00_02455
ERR1913297.190936__1.190936	39492__D4JRZ7__smc
ERR1913297.190955__1.190955	853__C7H7F5__DWZ46_01780
ERR1913297.190997__1.190997	39492__D4JVC7__yfgF
ERR1913297.191006__1.191006	39491__A0A174EQV2__DXB69_10230
ERR1913297.191029__1.191029	39491__A0A395ZHW3__ERS852417_01359
ERR1913297.191030__1.191030	357276__I9QBT7__BSEG_03340
ERR1913297.191076__1.191076	39491__A0A173U0X0__DXB72_05865
ERR1913297.191107__1.191107	39492__D4JRY3__EUBSIR_01473
ERR1913297.191124__1.191124	1297617__A0A0S2W1D1__C7373_11621
ERR1913297.191173__1.191173	820__A0A396EUU8__luxQ_3
ERR1913297.191229__1.191229	301302__A0A173T8V6__ERS852420_01966
ERR1913297.191270__1.191270	1262945__R6YT88__BN600_00074
ERR1913297.191290__1.191290	39492__D4JXA0__ERS852540_02538
ERR1913297.191349__1.191349	166486__D4KVZ2__cbiT
ERR1913297.191425__1.191425	39492__D4JVZ6__truB
ERR1913297.191385__1.191385	853__A0A2A7B1Y7__C7K05_11930
ERR1913297.191399__1.191399	39492__B0MS79__ERS852540_01394
ERR1913297.191445__1.191445	28117__R7JJM9__ALIPUT_00662
ERR1913297.191549__1.191549	39492__D4JWB3__EUBSIR_00040
ERR1913297.191586__1.191586	820__A0A3E4VZY4__ERS852554_01211
ERR1913297.191700__1.191700	39492__D4JSB6__ERS852540_00627
ERR1913297.191769__1.191769	820__A0A174F0C1__nreB
ERR1913297.191949__1.191949	820__A0A374Q351__DXD40_05850
ERR1913297.191951__1.191951	820__A0A139KEW8__DXB64_06405
ERR1913297.192026__1.192026	39492__D4JUD9__EUBSIR_01875
ERR1913297.192115__1.192115	39492__D4JTF2__mutS2
ERR1913297.192119__1.192119	39485__C4Z355__ERS852490_01971
ERR1913297.192280__1.192280	820__A7VAS1__HMPREF2141_03259
ERR1913297.192284__1.192284	39491__A0A396FSR4__ERS852580_02287
ERR1913297.192298__1.192298	357276__I9QBT7__BSEG_03340
ERR1913297.192381__1.192381	39492__D4MM10__EUBSIR_01460
ERR1913297.192383__1.192383	820__A0A374Q8T2__DXB64_16190
ERR1913297.192493__1.192493	820__A0A174F696__macB_13
ERR1913297.192501__1.192501	39491__A0A395UWA3__DXB69_11805
ERR1913297.192575__1.192575	39492__D4JX05__EUBSIR_01678
ERR1913297.192677__1.192677	39488__A0A173T8Z7__hemZ_2
ERR1913297.192648__1.192648	204516__U6R9H3__HMPREF1534_03348
ERR1913297.192732__1.192732	39491__A0A396FNY7__LD38_16155
ERR1913297.192828__1.192828	626929__F3PKG7__SAMN05444376_0720
ERR1913297.192924__1.192924	626929__F3PKG7__SAMN05444376_0720
ERR1913297.192951__1.192951	39492__D4JTW7__EUBSIR_00859
ERR1913297.193236__1.193236	39491__A0A395ZDC6__addB
ERR1913297.193312__1.193312	823__A0A174DZM1__DDY96_10310
ERR1913297.193372__1.193372	40518__R5DP61__DXD86_06345
ERR1913297.193374__1.193374	28052__A0A174HY73__ERS852451_01605
ERR1913297.193639__1.193639	39492__D4JX40__EUBSIR_00020
ERR1913297.193851__1.193851	239935__A0A2N8I1R3__CXU05_06075
ERR1913297.193917__1.193917	39492__D4JS87__EUBSIR_02328
ERR1913297.193952__1.193952	360807__C0FSM3__ROSEINA2194_01739
ERR1913297.193998__1.193998	28052__R7NBF2__ERS852451_02191
ERR1913297.193981__1.193981	357276__D1JY58__BACDOR_04277
ERR1913297.194021__1.194021	28052__R7N9Y1__spoIIE
ERR1913297.194116__1.194116	357276__B6VVS0__HMPREF1064_03951
ERR1913297.194147__1.194147	39491__A0A0M6WWT1__dus_2
ERR1913297.194213__1.194213	301302__R5VFU2__xynA1
ERR1913297.194214__1.194214	39492__D4JUP6__ERS852540_01404
ERR1913297.194345__1.194345	357276__A0A0K2HG61__BACDOR_02028
ERR1913297.194476__1.194476	28111__E5WYC8__BACEGG_00347
ERR1913297.194527__1.194527	1297617__A0A2U1CCU1__IB211_01060
ERR1913297.194538__1.194538	166486__D4L2Y9__ROSINTL182_06221
ERR1913297.194575__1.194575	166486__D4KYB5__mcp3_2
ERR1913297.194930__1.194930	820__A0A3E4QZJ7__C801_01798
ERR1913297.194944__1.194944	357276__B6W5Q7__DXD47_13945
ERR1913297.194921__1.194921	39491__C4ZCV7__ERE_23110
ERR1913297.194976__1.194976	820__A7V470__HMPREF1072_02076
ERR1913297.194978__1.194978	39492__D4JTF2__mutS2
ERR1913297.195017__1.195017	39491__D4JMW8__ERS852497_01971
ERR1913297.195138__1.195138	28052__A0A174GAR2__mcp4_3
ERR1913297.195160__1.195160	820__A0A139KIL9__DXC68_05945
ERR1913297.195162__1.195162	823__K6AMD2__B5F32_04565
ERR1913297.195211__1.195211	239935__A0A139TMZ5__CXU00_03150
ERR1913297.195237__1.195237	936548__J1LQE6__HMPREF1136_1996
ERR1913297.195263__1.195263	1378168__V2YA11__N510_02528
ERR1913297.195325__1.195325	1262743__R5C7B5__BN727_00586
ERR1913297.195342__1.195342	39491__A0A395ZIT8__EUR_13460
ERR1913297.195359__1.195359	301302__A0A173TZN3__M72_00321
ERR1913297.195491__1.195491	820__R7E9Z4__DXC68_06065
ERR1913297.195530__1.195530	39491__A0A174EQV2__DXB69_10230
ERR1913297.195461__1.195461	1262911__R6GYU2__BN557_00621
ERR1913297.195474__1.195474	39492__D4JWI6__EUBSIR_01073
ERR1913297.195629__1.195629	39492__D4JSS9__btuF
ERR1913297.195650__1.195650	166486__D4L1P3__ERS852572_00760
ERR1913297.195664__1.195664	39492__D4JSS2__EUBSIR_00553
ERR1913297.195848__1.195848	1262915__R6HNF6__BN574_00878
ERR1913297.195856__1.195856	39492__D4JU30__EUBSIR_00838
ERR1913297.195874__1.195874	823__A0A355XN73__DXC05_07000
ERR1913297.195961__1.195961	39491__A0A396FM36__DXB99_00820
ERR1913297.196013__1.196013	39492__D4JSS9__btuF
ERR1913297.196096__1.196096	239935__R7DVL7__CXT93_01180
ERR1913297.196152__1.196152	28117__B0MVL5__BHV66_01660
ERR1913297.196172__1.196172	820__A0A174DZ97__SAMN05444418_101240
ERR1913297.196273__1.196273	357276__I8WBQ9__HMPREF1065_03212
ERR1913297.196343__1.196343	28111__R5K5R2__NCTC11155_00605
ERR1913297.196397__1.196397	39492__D4JUD7__EUBSIR_01877
ERR1913297.196448__1.196448	39492__D4MJF6__EUBSIR_02251
ERR1913297.196470__1.196470	820__A0A139K8X8__DXC80_17665
ERR1913297.196495__1.196495	649756__L1Q2A2__CL2_18610
ERR1913297.196573__1.196573	39491__D4JMW8__ERS852497_01971
ERR1913297.196582__1.196582	301302__A0A0M6WPH4__ERS852420_01173
ERR1913297.196762__1.196762	338188__K5BSQ8__HMPREF1057_02842
ERR1913297.196825__1.196825	820__A0A3E5BMG9__DXD40_05130
ERR1913297.196924__1.196924	204516__U6RDD8__HMPREF1534_02559
ERR1913297.196974__1.196974	823__A0A173TL14__M095_0764
ERR1913297.197055__1.197055	88431__A6BF91__ERS852573_01159
ERR1913297.197198__1.197198	39492__D4JVN3__spsA
ERR1913297.197331__1.197331	39492__D4MMZ8__ERS852540_01407
ERR1913297.197400__1.197400	39492__D4JT91__EUBSIR_01750
ERR1913297.197503__1.197503	39492__D4MN06__EUBSIR_02672
ERR1913297.197452__1.197452	39492__D4JTF5__ybeY
ERR1913297.197811__1.197811	820__A0A139K5E7__DXC68_09550
ERR1913297.197815__1.197815	39491__D4JIB6__ERS852417_01685
ERR1913297.197791__1.197791	39492__D4JT68__spoIIIE
ERR1913297.197839__1.197839	39492__R6RYB8__ERS852540_00322
ERR1913297.197921__1.197921	820__A0A3E4VXP2__yesR
ERR1913297.197944__1.197944	39492__D4JVC7__yfgF
ERR1913297.197951__1.197951	166486__D4KZ45__ROSINTL182_05738
ERR1913297.197955__1.197955	39491__A0A395ZGU6__ERS852417_01456
ERR1913297.197985__1.197985	1150298__A0A174FXW8__ERS852535_01851
ERR1913297.198024__1.198024	39492__B0MNL5__phoR_1
ERR1913297.198040__1.198040	39491__C4ZEW3__T1815_18241
ERR1913297.198053__1.198053	189722__E0NQU7__HMPREF0658_0548
ERR1913297.198065__1.198065	28052__R7N8Y9__macB_4
ERR1913297.198106__1.198106	39492__A0A174ZL16__EUBSIR_01269
ERR1913297.198214__1.198214	357276__A0A0M1VXQ9__BSEG_00942
ERR1913297.198249__1.198249	357276__I9R4T1__IY41_06800
ERR1913297.198356__1.198356	1150298__A0A173ZYU8__sipT_2
ERR1913297.198425__1.198425	357276__A0A0K2HNG3__HMPREF1064_03004
ERR1913297.198504__1.198504	28052__A0A174GQI3__ERS852451_00394
ERR1913297.198527__1.198527	39492__D4JV38__EUBSIR_01205
ERR1913297.198630__1.198630	2108523__A0A2P2F4W7__LAWASA_1054
ERR1913297.198639__1.198639	820__A0A3E4W6P0__gmhA
ERR1913297.198821__1.198821	820__A7UYX8__DXD40_11635
ERR1913297.198865__1.198865	39492__D4JWP8__EUBSIR_00699
ERR1913297.198869__1.198869	39491__D6E4H2__DXB99_00485
ERR1913297.198962__1.198962	357276__A0A0M1W657__HMPREF1064_04629
ERR1913297.199113__1.199113	239935__B2UL21__CXT98_03395
ERR1913297.199118__1.199118	1235835__R9LCU2__C814_02677
ERR1913297.199153__1.199153	39491__A0A173QT73__alaS_2
ERR1913297.199278__1.199278	820__A0A174TRB5__DXD40_11305
ERR1913297.199346__1.199346	39492__A0A175A133__cycB_1
ERR1913297.199601__1.199601	357276__I8VQA2__HMPREF1065_04183
ERR1913297.199656__1.199656	166486__C7G7A6__ROSINTL182_05773
ERR1913297.199837__1.199837	301302__R5UQ61__M72_23071
ERR1913297.199851__1.199851	357276__A0A0K2HJA6__DXD47_07320
ERR1913297.199975__1.199975	28111__R5K5V1__NCTC11155_02461
ERR1913297.200015__1.200015	28052__A0A174H9I6__ERS852451_00172
ERR1913297.200043__1.200043	357276__C3R9Y0__HMPREF1064_01889
ERR1913297.200050__1.200050	39492__R6SPM9__pheT
ERR1913297.200098__1.200098	39492__B0MNQ2__EUBSIR_01459
ERR1913297.200115__1.200115	39492__D4JR58__EUBSIR_02090
ERR1913297.200276__1.200276	1150298__R7JPI7__cotI
ERR1913297.200250__1.200250	820__A7V470__HMPREF1072_02076
ERR1913297.200330__1.200330	166486__R6AZI2__ydaF
ERR1913297.200415__1.200415	820__A0A374Q854__HMPREF1073_03281
ERR1913297.200451__1.200451	39492__D4JUJ6__ssuB_2
ERR1913297.200470__1.200470	301302__R5V7G4__ywtF
ERR1913297.200507__1.200507	28052__A0A174K6D6__ERS852451_01708
ERR1913297.200565__1.200565	820__A0A3E4FZM1__adaA_2
ERR1913297.200635__1.200635	1262743__R5C3K9__BN727_00605
ERR1913297.200641__1.200641	1150298__R7JT48__gsiA_6
ERR1913297.200694__1.200694	204516__U6RKS4__HMPREF1534_01431
ERR1913297.200925__1.200925	88431__A0A3D0EYE9__rafA
ERR1913297.200964__1.200964	39492__R6SPM9__pheT
ERR1913297.201023__1.201023	820__A0A139K337__ERS852459_02375
ERR1913297.201046__1.201046	39485__A0A174YMD0__EUBELI_01093
ERR1913297.201241__1.201241	39492__D4JTG7__EUBSIR_00572
ERR1913297.201309__1.201309	301302__A0A173RZU9__M72_23561
ERR1913297.201336__1.201336	39491__A0A174K9A3__DXB69_07785
ERR1913297.201338__1.201338	706562__GCA_900112995.1_01415
ERR1913297.201391__1.201391	1262915__R6HQV2__BN574_01665
ERR1913297.201392__1.201392	39496__A5Z5I2__EUBVEN_00963
ERR1913297.201394__1.201394	39492__D4JXA0__ERS852540_02538
ERR1913297.201416__1.201416	39492__D4JVC7__yfgF
ERR1913297.201522__1.201522	821__A0A174WBC9__ERS852556_03145
ERR1913297.201581__1.201581	166486__D4KX00__ROSINTL182_07577
ERR1913297.201606__1.201606	1262911__R6H1B2__BN557_00840
ERR1913297.201628__1.201628	1262743__R5C7D3__BN727_00606
ERR1913297.201751__1.201751	39491__A0A396FPV7__ERS852580_01177
ERR1913297.201786__1.201786	853__A0A2A7B1Y7__C7K05_11930
ERR1913297.201820__1.201820	39491__A0A173TFQ1__rsmF
ERR1913297.202001__1.202001	39492__D4JQY4__EUBSIR_01325
ERR1913297.202009__1.202009	39491__A0A395ZDC6__addB
ERR1913297.202030__1.202030	1262911__R6H1A6__BN557_01286
ERR1913297.202121__1.202121	357276__D1K3K9__EL88_23995
ERR1913297.202164__1.202164	820__E5VA63__DXC80_01025
ERR1913297.202208__1.202208	292800__H1C6M9__ERS852518_00105
ERR1913297.202231__1.202231	39492__D4JR20__trmD
ERR1913297.202235__1.202235	39492__D4JV38__EUBSIR_01205
ERR1913297.202643__1.202643	39491__A0A396FMT0__EUBREC_3020
ERR1913297.202648__1.202648	291644__I8Y0K6__HMPREF1532_04085
ERR1913297.202858__1.202858	239935__A0A2N8J2P6__ADH72_06730
ERR1913297.202929__1.202929	39492__D4JU81__xseA
ERR1913297.203281__1.203281	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913297.203304__1.203304	394340__thiC
ERR1913297.203415__1.203415	1262743__R5C7B5__BN727_00586
ERR1913297.203362__1.203362	820__A0A078S4C2__ERS417307_00828
ERR1913297.203596__1.203596	820__A0A139K1Y6__DXB48_02610
ERR1913297.203693__1.203693	357276__D1JY58__BACDOR_04277
ERR1913297.203865__1.203865	1099853__U5CNI5__NSB1T_06225
ERR1913297.203880__1.203880	357276__A0A0M1W1I8__ABI39_13620
ERR1913297.203885__1.203885	39491__A0A173TM76__DXB72_10535
ERR1913297.203917__1.203917	39492__D4JVG7__ERS852540_00946
ERR1913297.203968__1.203968	28052__A0A174NHE1__spoIIIE
ERR1913297.204060__1.204060	1262803__R6NL95__BN649_00814
ERR1913297.204137__1.204137	39491__A0A395UVM9__DXB76_04540
ERR1913297.204085__1.204085	820__A0A3E4HWJ4__DXD40_05945
ERR1913297.204196__1.204196	39492__D4MJF6__EUBSIR_02251
ERR1913297.204269__1.204269	357276__A0A076IRX4__ABI39_13585
ERR1913297.204298__1.204298	168384__C6LDD4__BRYFOR_06543
ERR1913297.204311__1.204311	28116__C3QVY2__SAMN05444282_12234
ERR1913297.204393__1.204393	39491__C4Z9K0__DXD95_07445
ERR1913297.204406__1.204406	1297617__A0A0S2W507__C7373_104145
ERR1913297.204440__1.204440	39491__A0A174K9A3__DXB69_07785
ERR1913297.204414__1.204414	39492__D4JT68__spoIIIE
ERR1913297.204429__1.204429	39491__A0A174K265__DXB76_05915
ERR1913297.204467__1.204467	301302__A0A173TNM6__luxQ
ERR1913297.204483__1.204483	39492__D4JQL8__ywpJ
ERR1913297.204547__1.204547	39485__A0A175A023__yhhT
ERR1913297.204585__1.204585	823__A0A078TE44__DD466_14830
ERR1913297.204603__1.204603	40518__R5E1J2__DXD93_04070
ERR1913297.204711__1.204711	28052__A0A174N8X0__ERS852499_02136
ERR1913297.204819__1.204819	39491__A0A395ZHW3__ERS852417_01359
ERR1913297.204865__1.204865	357276__A0A076IRV2__BACDOR_02822
ERR1913297.205073__1.205073	204516__U6R8I1__HMPREF1534_03341
ERR1913297.205087__1.205087	166486__D4KNM9__ERS852572_00072
ERR1913297.205171__1.205171	39492__D4JSB6__ERS852540_00627
ERR1913297.205176__1.205176	40518__R5E4X1__DXD93_05270
ERR1913297.205311__1.205311	853__A0A2A7B9I6__DW855_13690
ERR1913297.205442__1.205442	357276__I9R4T1__IY41_06800
ERR1913297.205533__1.205533	1262911__R6GY78__BN557_00532
ERR1913297.205553__1.205553	166486__D4KZY4__ERS852572_03347
ERR1913297.205572__1.205572	820__A0A3E4WA06__ERS852554_03404
ERR1913297.205607__1.205607	39492__D4JU49__ERS852540_00175
ERR1913297.205710__1.205710	40518__R5DUU0__DXD93_03985
ERR1913297.205844__1.205844	39492__D4JT68__spoIIIE
ERR1913297.205906__1.205906	39492__D4JRV5__acrR_2
ERR1913297.206004__1.206004	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913297.206007__1.206007	39492__D4JSU6__dacB_3
ERR1913297.206207__1.206207	39491__C4Z9K7__EUBREC_0050
ERR1913297.206446__1.206446	39485__C4Z6K2__ERS852490_00407
ERR1913297.206452__1.206452	820__A0A139K426__B5G17_09115
ERR1913297.206466__1.206466	649756__A0A174F5S4__ecfA2
ERR1913297.206476__1.206476	39492__D4JW28__spoVFA
ERR1913297.206614__1.206614	39491__C4ZCV7__ERE_23110
ERR1913297.206656__1.206656	1381__group_451
ERR1913297.206705__1.206705	39491__A0A173QT73__alaS_2
ERR1913297.206727__1.206727	39491__C4ZEW3__T1815_18241
ERR1913297.206775__1.206775	39492__D4JWY5__rpe
ERR1913297.206816__1.206816	357276__I9RD92__BACDOR_04262
ERR1913297.206864__1.206864	823__A0A355XF06__B5F32_11480
ERR1913297.206879__1.206879	39485__A0A174YTF7__ERS852490_01271
ERR1913297.206949__1.206949	28052__A0A174M9U3__ERS852451_02548
ERR1913297.207119__1.207119	39492__D4JRR5__ERS852540_02089
ERR1913297.207156__1.207156	39492__D4JV86__spoIIE
ERR1913297.207114__1.207114	39492__D4JVG7__ERS852540_00946
ERR1913297.207209__1.207209	166486__C7GAX1__ERS852572_03188
ERR1913297.207243__1.207243	820__A7VAR9__ERS852421_00197
ERR1913297.207336__1.207336	39492__R6SA81__EUBSIR_00402
ERR1913297.207441__1.207441	487174__K0XF08__DDY40_09050
ERR1913297.207479__1.207479	39492__D4JW10__pppA
ERR1913297.207541__1.207541	39492__D4JVW2__EUBSIR_02285
ERR1913297.207625__1.207625	820__A0A396EXA7__DXB37_15530
ERR1913297.207644__1.207644	28052__R7N9D0__yhaP
ERR1913297.207844__1.207844	357276__A0A076IS73__GV66_00410
ERR1913297.207859__1.207859	39492__D4JRZ7__smc
ERR1913297.207824__1.207824	418240__C6JH13__ERS852478_02750
ERR1913297.207895__1.207895	371601__E5CE41__ERS852396_04351
ERR1913297.207923__1.207923	39492__D4JU81__xseA
ERR1913297.207986__1.207986	1965604__A0A1Y4EWF0__B5F54_02430
ERR1913297.208014__1.208014	820__A0A139K4T0__ERS852510_03146
ERR1913297.208002__1.208002	357276__I8W1E1__B5F00_10785
ERR1913297.208005__1.208005	39491__A0A396FPV7__ERS852580_01177
ERR1913297.208061__1.208061	166486__D4L334__mcp3_1
ERR1913297.208075__1.208075	1150298__A0A174BP05__murAA
ERR1913297.208140__1.208140	39492__D4MMN2__EUBSIR_00964
ERR1913297.208234__1.208234	357276__I8VN30__HMPREF1065_03051
ERR1913297.208216__1.208216	28111__R5JSC9__HMPREF1016_01677
ERR1913297.208323__1.208323	301302__R5UH47__M72_02301
ERR1913297.208525__1.208525	39492__D4JU56__hemZ
ERR1913297.208647__1.208647	39491__A0A396FMT0__EUBREC_3020
ERR1913297.208660__1.208660	820__A0A3E4IGA7__DXD40_07110
ERR1913297.208790__1.208790	39492__D4JU94__ispE
ERR1913297.208858__1.208858	357276__A6L053__ABI39_04450
ERR1913297.208884__1.208884	1262743__R5C3K0__BN727_00595
ERR1913297.208888__1.208888	28111__E5WYP5__BACEGG_00185
ERR1913297.208907__1.208907	39492__D4JRV7__EUBSIR_01513
ERR1913297.208919__1.208919	820__A0A173XIP7__B5G17_16050
ERR1913297.208921__1.208921	39492__D4JQS6__ykoD
ERR1913297.208942__1.208942	357276__I8WDF1__B5F00_02455
ERR1913297.209009__1.209009	88431__A0A173WD09__zntR_1
ERR1913297.209050__1.209050	39491__A0A396FJV5__ERS852417_00035
ERR1913297.209131__1.209131	39492__D4JU30__EUBSIR_00838
ERR1913297.209219__1.209219	626929__F3PKF4__SAMN05444376_0707
ERR1913297.209239__1.209239	291644__R5JA59__HMPREF1071_02804
ERR1913297.209313__1.209313	820__A0A374Q854__HMPREF1073_03281
ERR1913297.209282__1.209282	357276__I9QBT4__GV66_09000
ERR1913297.209344__1.209344	39492__A0A175A133__cycB_1
ERR1913297.209363__1.209363	39492__D4JU94__ispE
ERR1913297.209437__1.209437	39491__A0A395ZG74__licR
ERR1913297.209504__1.209504	166486__D4KV38__ROSINTL182_06841
ERR1913297.209506__1.209506	88431__A0A174MYZ5__ycjP_7
ERR1913297.209526__1.209526	28052__A0A174MI15__pleD
ERR1913297.209531__1.209531	39492__D4JW10__pppA
ERR1913297.209535__1.209535	28116__E5CCI2__M089_3437
ERR1913297.209590__1.209590	28052__A0A174I4I1__ERS852499_00646
ERR1913297.209607__1.209607	322505__xre_3
ERR1913297.209671__1.209671	39485__C4Z208__ywiB
ERR1913297.209720__1.209720	333367__C0DBP7__CLOSTASPAR_06704
ERR1913297.209741__1.209741	166486__D4KUE6__ROSINTL182_08604
ERR1913297.209923__1.209923	28052__A0A174LZK5__ERS852451_02148
ERR1913297.209976__1.209976	820__A0A3E5BMG9__DXD40_05130
ERR1913297.209988__1.209988	39492__D4MIK7__EUBSIR_00676
