ERR1913043.66__1.66	39491__C4ZF05__vpr
ERR1913043.100231__1.100231	39485__A0A174ZPH7__ERS852490_01992
ERR1913043.100330__1.100330	1262924__R7HRT1__BN585_00630
ERR1913043.100501__1.100501	1262924__R7HUJ5__BN585_00830
ERR1913043.100570__1.100570	1501392__A0A0B2JMG8__PU94_07475
ERR1913043.100586__1.100586	39485__A0A1Q6PGI3__ERS852492_02967
ERR1913043.100667__1.100667	165179__A0A229I7F5__DXB80_02650
ERR1913043.100834__1.100834	39491__A0A395ZE48__DXB76_02395
ERR1913043.101010__1.101010	1262924__R7HMN2__BN585_01573
ERR1913043.101136__1.101136	69974__A0A090FEL8__MPL3365_630008
ERR1913043.101138__1.101138	29363__A0A1B8RP39__ERS852567_03243
ERR1913043.101169__1.101169	40518__R5DVQ2__DXD93_00365
ERR1913043.101187__1.101187	1262924__R7HQ73__BN585_02030
ERR1913043.101249__1.101249	410072__A0A173R660__ERS852389_00536
ERR1913043.101286__1.101286	165179__W1I4H6__DXB80_13655
ERR1913043.101305__1.101305	626933__H1DGX0__HMPREF9449_01506
ERR1913043.101464__1.101464	165179__A0A3E5EA43__DXC61_07775
ERR1913043.101549__1.101549	165179__A0A3E5AFJ9__CFT61_15180
ERR1913043.101617__1.101617	310298__B3JMG0__BACCOP_03099
ERR1913043.101824__1.101824	1262924__R7HQD9__BN585_00129
ERR1913043.101858__1.101858	69974__A0A090FEL8__MPL3365_630008
ERR1913043.101888__1.101888	39485__R5ZPP8__EUBELI_20334
ERR1913043.102025__1.102025	69974__A0A090FEL8__MPL3365_630008
ERR1913043.102044__1.102044	410072__C0B8P8__ERS852525_00683
ERR1913043.102068__1.102068	204516__U6RJY4__HMPREF1534_01494
ERR1913043.102280__1.102280	28117__B0MYI9__BHV66_05415
ERR1913043.102434__1.102434	821__A0A396FEL8__C5Z04_06030
ERR1913043.102488__1.102488	853__A0A2A7B9I6__DW855_13690
ERR1913043.102491__1.102491	28117__B0MSL1__BHV66_06710
ERR1913043.102544__1.102544	39485__A0A1Q6PGI7__pehX_3
ERR1913043.102572__1.102572	69974__A0A090FEL8__MPL3365_630008
ERR1913043.102713__1.102713	1160721__W0U3Z9__RBI_I00543
ERR1913043.102719__1.102719	28118__F9Z4H5__DHW44_02810
ERR1913043.102825__1.102825	69974__A0A090FEL8__MPL3365_630008
ERR1913043.102980__1.102980	39491__A0A396FUZ3__phoR_1
ERR1913043.103072__1.103072	310298__B3JQJ5__BACCOP_04231
ERR1913043.103353__1.103353	626933__H1DGX0__HMPREF9449_01506
ERR1913043.103444__1.103444	301302__A0A173SCU7__M72_12871
ERR1913043.103482__1.103482	69974__A0A090FEL8__MPL3365_630008
ERR1913043.103587__1.103587	69974__A0A090FEL8__MPL3365_630008
ERR1913043.103609__1.103609	40518__R5E8B6__RB5AMG_00876
ERR1913043.103768__1.103768	1735__B7C9S1__EUBIFOR_00931
ERR1913043.103953__1.103953	292800__H1CMV7__B5F52_10350
ERR1913043.103967__1.103967	820__A0A174NUS8__DXC80_12885
ERR1913043.103984__1.103984	69974__A0A090FEL8__MPL3365_630008
ERR1913043.104058__1.104058	68891__A0A0F2DY13__dnaK
ERR1913043.104147__1.104147	1262924__R7HRJ9__BN585_00557
ERR1913043.104457__1.104457	47678__R5UAF6__ERS852494_02966
ERR1913043.104598__1.104598	40518__R5E4X1__DXD93_05270
ERR1913043.104704__1.104704	69974__A0A090FEL8__MPL3365_630008
ERR1913043.104692__1.104692	69974__A0A090FEL8__MPL3365_630008
ERR1913043.104789__1.104789	165179__D1PER3__DXB80_11525
ERR1913043.104801__1.104801	410072__A0A174J5N8__sbcC
ERR1913043.104848__1.104848	1308__A0A2U2M532__Y018_04695
ERR1913043.104870__1.104870	69974__A0A090FEL8__MPL3365_630008
ERR1913043.104908__1.104908	28118__R6FBE6__DHW44_11635
ERR1913043.104911__1.104911	487173__H1D2L5__HMPREF9453_01853
ERR1913043.105027__1.105027	820__A0A396EXA7__DXB37_15530
ERR1913043.105114__1.105114	28118__R6G2E8__DHW44_05790
ERR1913043.105123__1.105123	69974__A0A090FEL8__MPL3365_630008
ERR1913043.105138__1.105138	165179__A0A3E5EAM5__DXC61_07785
ERR1913043.105231__1.105231	820__A0A174B4N2__M093_2531
ERR1913043.105258__1.105258	165179__D1PAV8__DXB80_13055
ERR1913043.105279__1.105279	165179__A0A174UTZ7__DXC61_06705
ERR1913043.105341__1.105341	1735__B7CCF2__EUBIFOR_01879
ERR1913043.105389__1.105389	1235835__R9LCU2__C814_02677
ERR1913043.105416__1.105416	39491__A0A396FP46__cobD_2
ERR1913043.105547__1.105547	69974__A0A090FEL8__MPL3365_630008
ERR1913043.105560__1.105560	69974__A0A090FEL8__MPL3365_630008
ERR1913043.105890__1.105890	39485__A0A175A273__plsX_2
ERR1913043.105912__1.105912	28118__R6FVQ4__DHW44_00725
ERR1913043.105947__1.105947	40518__R5DY98__mepA_5
ERR1913043.105996__1.105996	310298__B3JK49__BACCOP_02273
ERR1913043.105997__1.105997	39485__R5ZT06__EUBELI_20526
ERR1913043.106006__1.106006	165179__A0A3E5DZ45__DXC61_02820
ERR1913043.106007__1.106007	69974__A0A090FEL8__MPL3365_630008
ERR1913043.106027__1.106027	310298__B3JF96__BACCOP_00544
ERR1913043.106067__1.106067	40518__R5DQR9__DXD83_00030
ERR1913043.106086__1.106086	69974__A0A090FEL8__MPL3365_630008
ERR1913043.106130__1.106130	165179__A0A3E5DY64__CFT61_10025
ERR1913043.106162__1.106162	310298__B3JQC6__BACCOP_04084
ERR1913043.106257__1.106257	69974__A0A090FEL8__MPL3365_630008
ERR1913043.106280__1.106280	1262986__R6AC02__BN492_01722
ERR1913043.106374__1.106374	818__R7KVH8__SAMN02910322_00597
ERR1913043.106379__1.106379	817__A0A2M9V699__M065_3452
ERR1913043.106380__1.106380	165179__A0A3E5EB26__CFT61_02800
ERR1913043.106397__1.106397	69974__A0A090FEL8__MPL3365_630008
ERR1913043.106474__1.106474	39485__C4Z6J7__ERS852492_02047
ERR1913043.106632__1.106632	821__A0A0P0LFP6__C5Z04_13890
ERR1913043.106661__1.106661	410072__A0A173XQG6__ERS852574_01620
ERR1913043.106718__1.106718	40518__A0A1C6H8C4__DXD93_02535
ERR1913043.106737__1.106737	165179__A0A3E5AGH1__DXB80_05820
ERR1913043.106891__1.106891	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913043.106901__1.106901	39485__A0A1Q6PGI3__ERS852492_02967
ERR1913043.106905__1.106905	1262924__R7HRJ9__BN585_00557
ERR1913043.106910__1.106910	39485__A0A174ZUV1__tig_3
ERR1913043.106912__1.106912	39485__A0A174ZJ84__EUBELI_00107
ERR1913043.106983__1.106983	88431__A0A173VJL7__ERS852526_01348
ERR1913043.107218__1.107218	384639__GCA_003096855.1_00972
ERR1913043.107227__1.107227	1262924__R7HPC8__BN585_00139
ERR1913043.107268__1.107268	69974__A0A090FEL8__MPL3365_630008
ERR1913043.107337__1.107337	69974__A0A090FEL8__MPL3365_630008
ERR1913043.107399__1.107399	39485__C4Z6I9__ERS852492_02038
ERR1913043.107436__1.107436	33038__A0A2N5NPD5__CCY17_06280
ERR1913043.107520__1.107520	69974__A0A090FEL8__MPL3365_630008
ERR1913043.107632__1.107632	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913043.107676__1.107676	310298__B3JH76__BACCOP_01230
ERR1913043.107703__1.107703	552398__F4XCR9__HMPREF0866_01636
ERR1913043.107660__1.107660	301302__A0A0M6X050__M72_15361
ERR1913043.107736__1.107736	165179__A0A3E5DY64__CFT61_10025
ERR1913043.108109__1.108109	165179__A0A229I6N7__DXC61_06720
ERR1913043.108116__1.108116	39491__A0A395UWZ1__DXC13_02175
ERR1913043.108211__1.108211	1262989__R6XTT9__BN815_00513
ERR1913043.108578__1.108578	28118__F9Z5M1__NCTC10826_02946
ERR1913043.108677__1.108677	39492__D4JVC7__yfgF
ERR1913043.108709__1.108709	69974__A0A090FEL8__MPL3365_630008
ERR1913043.108713__1.108713	410072__A0A174QU55__luxQ
ERR1913043.108833__1.108833	69974__A0A090FEL8__MPL3365_630008
ERR1913043.109161__1.109161	204516__U6RFV1__HMPREF1534_02560
ERR1913043.109182__1.109182	39488__A0A173T8Z7__hemZ_2
ERR1913043.109183__1.109183	552398__T5S086__HMPREF0866_01580
ERR1913043.109316__1.109316	1262911__R6H0U7__BN557_01104
ERR1913043.109293__1.109293	39485__C4Z434__tilS
ERR1913043.109395__1.109395	39488__A0A173UQ83__mutY
ERR1913043.109363__1.109363	1262743__R5C3A8__BN727_00457
ERR1913043.109439__1.109439	165179__A0A3E5EB26__CFT61_02800
ERR1913043.109542__1.109542	626933__H1DGX0__HMPREF9449_01506
ERR1913043.109611__1.109611	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913043.109821__1.109821	69974__A0A090FEL8__MPL3365_630008
ERR1913043.109900__1.109900	310298__B3JJX9__BACCOP_02203
ERR1913043.109933__1.109933	598467__G7LSJ8__BrE312_3931
ERR1913043.109975__1.109975	626933__H1DGX0__HMPREF9449_01506
ERR1913043.110081__1.110081	204516__U6R921__HMPREF1534_03932
ERR1913043.110197__1.110197	1262924__R7HPY0__BN585_01950
ERR1913043.110287__1.110287	2293125__A0A374CIC9__DW917_02045
ERR1913043.110288__1.110288	40518__R5DYU1__DXD86_01160
ERR1913043.110369__1.110369	40518__R5DYP7__envC
ERR1913043.110420__1.110420	358743__G5HHR9__HMPREF9469_02109
ERR1913043.110518__1.110518	39491__A0A173TAZ5__DXB99_09520
ERR1913043.110534__1.110534	39485__A0A174YVL0__xynZ_2
ERR1913043.110561__1.110561	47678__R5U978__ERS852558_01076
ERR1913043.110565__1.110565	69974__A0A090FEL8__MPL3365_630008
ERR1913043.110572__1.110572	154288__A0A173ZKS5__ycgJ_2
ERR1913043.110598__1.110598	410072__A0A174H348__sfp_2
ERR1913043.110638__1.110638	820__A0A174CK74__DXB48_07060
ERR1913043.110640__1.110640	69974__A0A090FEL8__MPL3365_630008
ERR1913043.110697__1.110697	40518__R5DT93__DXD86_08730
ERR1913043.110704__1.110704	69974__A0A090FEL8__MPL3365_630008
ERR1913043.110739__1.110739	69974__A0A090FEL8__MPL3365_630008
ERR1913043.110817__1.110817	820__A0A139K426__B5G17_09115
ERR1913043.110835__1.110835	39485__A0A174ZPJ9__tig_2
ERR1913043.110846__1.110846	39491__D6E408__EUBREC_1466
ERR1913043.110887__1.110887	165179__R6PNJ9__PREVCOP_04730
ERR1913043.110871__1.110871	820__A0A174B4N2__M093_2531
ERR1913043.110919__1.110919	69974__A0A090FEL8__MPL3365_630008
ERR1913043.110946__1.110946	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913043.110960__1.110960	39491__A0A396FGM9__fliU_1
ERR1913043.110967__1.110967	69974__A0A090FEL8__MPL3365_630008
ERR1913043.111058__1.111058	39485__C4Z1S0__ERS852492_00886
ERR1913043.111179__1.111179	820__A7V049__DXB48_04755
ERR1913043.111231__1.111231	28117__B0MXG7__BHV66_08620
ERR1913043.111367__1.111367	853__A0A174BA00__DW905_01145
ERR1913043.111421__1.111421	165179__D1PGU8__PREVCOP_06463
ERR1913043.111463__1.111463	204516__U6RH18__HMPREF1534_01847
ERR1913043.111509__1.111509	310298__B3JMG0__BACCOP_03099
ERR1913043.111567__1.111567	310298__B3JH76__BACCOP_01230
ERR1913043.111621__1.111621	69974__A0A090FEL8__MPL3365_630008
ERR1913043.111638__1.111638	69974__A0A090FEL8__MPL3365_630008
ERR1913043.111714__1.111714	204516__U6R921__HMPREF1534_03932
ERR1913043.111717__1.111717	47678__R5U2B3__ERS852558_04029
ERR1913043.111738__1.111738	39488__A0A285PQE3__DXD91_00180
ERR1913043.111756__1.111756	216816__D6DBD5__DXC32_04335
ERR1913043.111781__1.111781	69974__A0A090FEL8__MPL3365_630008
ERR1913043.111790__1.111790	39485__R5ZHA7__ERS852490_00039
ERR1913043.112070__1.112070	39491__A0A395UZ82__EUR_31520
ERR1913043.112263__1.112263	69974__A0A090FEL8__MPL3365_630008
ERR1913043.112411__1.112411	204516__U6R921__HMPREF1534_03932
ERR1913043.112758__1.112758	853__A0A174BA00__DW905_01145
ERR1913043.112931__1.112931	69974__A0A090FEL8__MPL3365_630008
ERR1913043.113301__1.113301	310298__B3JLC6__BACCOP_02712
ERR1913043.113334__1.113334	853__E2ZJT1__C4N23_03535
ERR1913043.113482__1.113482	821__A0A174JYD3__ERS852457_02610
ERR1913043.113581__1.113581	69974__A0A090FEL8__MPL3365_630008
ERR1913043.113607__1.113607	28117__B0MU58__BHV66_05630
ERR1913043.113669__1.113669	29361__B6FKH5__CLONEX_00621
ERR1913043.113778__1.113778	69974__A0A090FEL8__MPL3365_630008
ERR1913043.113843__1.113843	40518__R5E6G1__DXD83_06815
ERR1913043.113898__1.113898	28117__B0MTI4__ALIPUT_00084
ERR1913043.113942__1.113942	671267__R9IEN1__C802_02405
ERR1913043.113943__1.113943	33038__A0A396G729__RUMGNA_01796
ERR1913043.113972__1.113972	310298__B3JK49__BACCOP_02273
ERR1913043.114107__1.114107	39485__A0A174Z551__glnL
ERR1913043.114089__1.114089	33038__A0A2N5PW99__DXD36_03540
ERR1913043.114122__1.114122	69974__A0A090FEL8__MPL3365_630008
ERR1913043.114278__1.114278	1262913__R7JPE8__BN646_00316
ERR1913043.114335__1.114335	165179__A0A3E5EA43__DXC61_07775
ERR1913043.114505__1.114505	39485__A0A174ZG70__ERS852492_00929
ERR1913043.114529__1.114529	39485__C4Z6J9__ERS852492_02049
ERR1913043.114695__1.114695	39488__A0A374NKN1__ltaS_2
ERR1913043.114706__1.114706	69974__A0A090FEL8__MPL3365_630008
ERR1913043.114874__1.114874	853__A0A2A7A4A9__C4N21_14870
ERR1913043.114890__1.114890	69974__A0A090FEL8__MPL3365_630008
ERR1913043.115107__1.115107	40518__R5DQK2__DXD93_03730
ERR1913043.115295__1.115295	165179__A0A174UTZ7__DXC61_06705
ERR1913043.115313__1.115313	487173__H1CY24__HMPREF9453_00262
ERR1913043.115435__1.115435	165179__A0A3E5A554__DXB80_13805
ERR1913043.115466__1.115466	821__A0A174NM17__lacZ_6
ERR1913043.115471__1.115471	69974__A0A090FEL8__MPL3365_630008
ERR1913043.115481__1.115481	69974__A0A090FEL8__MPL3365_630008
ERR1913043.115622__1.115622	69974__A0A090FEL8__MPL3365_630008
ERR1913043.115601__1.115601	69974__A0A090FEL8__MPL3365_630008
ERR1913043.115663__1.115663	40518__R5DW64__RBL236_01394
ERR1913043.115693__1.115693	487174__K0WYG0__DDY40_00295
ERR1913043.115777__1.115777	1262924__R7HSF6__BN585_00844
ERR1913043.115793__1.115793	69974__A0A090FEL8__MPL3365_630008
ERR1913043.115796__1.115796	1262924__R7HP98__BN585_02065
ERR1913043.116026__1.116026	820__A0A173XIP7__B5G17_16050
ERR1913043.116059__1.116059	204516__U6R8Z4__HMPREF1534_03879
ERR1913043.116176__1.116176	204516__U6R838__HMPREF1534_03867
ERR1913043.116179__1.116179	69974__A0A090FEL8__MPL3365_630008
ERR1913043.116191__1.116191	39491__A0A396FRE7__EUR_27520
ERR1913043.116232__1.116232	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913043.116236__1.116236	165179__A0A3E5EAM5__DXC61_07785
ERR1913043.116436__1.116436	853__D4KAK8__C4N21_13380
ERR1913043.116479__1.116479	39485__C4Z6I9__ERS852492_02038
ERR1913043.116463__1.116463	69974__A0A090FEL8__MPL3365_630008
ERR1913043.116603__1.116603	39485__C4Z058__ERS852492_00130
ERR1913043.116702__1.116702	69974__A0A090FEL8__MPL3365_630008
ERR1913043.116726__1.116726	853__A0A3E2V168__FAEPRAM212_00929
ERR1913043.116884__1.116884	310298__B3JN71__BACCOP_03383
ERR1913043.116984__1.116984	69974__A0A090FEL8__MPL3365_630008
ERR1913043.117073__1.117073	165179__A0A3E5DV57__DXB80_11400
ERR1913043.117033__1.117033	69974__A0A090FEL8__MPL3365_630008
ERR1913043.117058__1.117058	165179__D1PCY7__DXB80_02765
ERR1913043.117107__1.117107	165179__D1PHC0__PREVCOP_06640
ERR1913043.117192__1.117192	39485__A0A174ZLH6__EUBELI_01564
ERR1913043.117224__1.117224	69974__A0A090FEL8__MPL3365_630008
ERR1913043.117300__1.117300	69974__A0A090FEL8__MPL3365_630008
ERR1913043.117348__1.117348	1965662__A0A1Y3S0D4__B5G38_01265
ERR1913043.117441__1.117441	487173__H1D2L5__HMPREF9453_01853
ERR1913043.117445__1.117445	487173__H1D2K8__HMPREF9453_01846
ERR1913043.117573__1.117573	204516__U6RFU0__HMPREF1534_02545
ERR1913043.117666__1.117666	69974__A0A090FEL8__MPL3365_630008
ERR1913043.117689__1.117689	40518__R5E6K4__RB5AMG_02070
ERR1913043.117695__1.117695	33039__A0A173V4G5__ERS852577_02906
ERR1913043.117726__1.117726	165179__A0A3E5A5E5__DXC61_13965
ERR1913043.117753__1.117753	853__D4KAK8__C4N21_13380
ERR1913043.118016__1.118016	310298__B3JPR1__BACCOP_03861
ERR1913043.118181__1.118181	310298__B3JFK6__BACCOP_00656
ERR1913043.118169__1.118169	626933__H1DGX0__HMPREF9449_01506
ERR1913043.118201__1.118201	487175__D9Y8N2__HMPREF9439_01198
ERR1913043.118236__1.118236	1160721__R6UAE5__BHW50_03280
ERR1913043.118264__1.118264	853__A0A2A7A4A9__C4N21_14870
ERR1913043.118274__1.118274	165179__D1PHM6__DXC61_06700
ERR1913043.118395__1.118395	39485__R5ZT20__ERS852490_00975
ERR1913043.118451__1.118451	69974__A0A090FEL8__MPL3365_630008
ERR1913043.118606__1.118606	165179__A0A3E5DN34__DXC61_07865
ERR1913043.118632__1.118632	1735__B7CCF2__EUBIFOR_01879
ERR1913043.118868__1.118868	1735__B7CCF2__EUBIFOR_01879
ERR1913043.119129__1.119129	28116__I8YA52__M088_0798
ERR1913043.119243__1.119243	69974__A0A090FEL8__MPL3365_630008
ERR1913043.119263__1.119263	1262924__R7HUJ5__BN585_00830
ERR1913043.119401__1.119401	39491__A0A396FGM9__fliU_1
ERR1913043.119531__1.119531	165179__A0A3E5EA43__DXC61_07775
ERR1913043.119558__1.119558	1965632__A0A1Y4A6X2__B5F91_11655
ERR1913043.119669__1.119669	328813__A0A1Y3QZ64__B5G41_14235
ERR1913043.119675__1.119675	69974__A0A090FEL8__MPL3365_630008
ERR1913043.120094__1.120094	818__Q8A112__BT_3859
ERR1913043.120096__1.120096	165179__A0A3E5EB26__CFT61_02800
ERR1913043.120159__1.120159	28117__B0MXI8__BHV66_08505
ERR1913043.120175__1.120175	626933__H1DGX0__HMPREF9449_01506
ERR1913043.120216__1.120216	28117__B0MVL5__BHV66_01660
ERR1913043.120270__1.120270	39485__C4Z028__ERS852492_00100
ERR1913043.120292__1.120292	39485__A0A174ZPJ9__tig_2
ERR1913043.120301__1.120301	165179__R6PU83__CFT61_14275
ERR1913043.120319__1.120319	40518__R5DRY6__RB5AMG_00549
ERR1913043.120635__1.120635	820__A0A3E4VXP2__yesR
ERR1913043.120820__1.120820	74426__purC
ERR1913043.120954__1.120954	626933__H1DGX0__HMPREF9449_01506
ERR1913043.120963__1.120963	39491__A0A395UZZ5__htpG_1
ERR1913043.121019__1.121019	853__A0A173XRA8__CGS56_09290
ERR1913043.121124__1.121124	69974__A0A090FEL8__MPL3365_630008
ERR1913043.121126__1.121126	39485__C4Z434__tilS
ERR1913043.121182__1.121182	418240__A0A174QTB3__ERS852478_01801
ERR1913043.121248__1.121248	28117__R7JLL3__ALIPUT_02219
ERR1913043.121296__1.121296	310298__B3JMZ2__BACCOP_03297
ERR1913043.121310__1.121310	40518__R5DVV1__RBATCC27255_00999
ERR1913043.121538__1.121538	47678__R5V127__HMPREF1061_04334
ERR1913043.121649__1.121649	154288__A0A174UFG1__gltB
ERR1913043.121799__1.121799	853__A0A329UEG4__CHR60_00585
ERR1913043.121763__1.121763	28118__F9Z3J9__B5F93_07500
ERR1913043.121854__1.121854	69974__A0A090FEL8__MPL3365_630008
ERR1913043.121919__1.121919	69974__A0A090FEL8__MPL3365_630008
ERR1913043.121975__1.121975	69974__A0A090FEL8__MPL3365_630008
ERR1913043.122096__1.122096	39485__R5ZPP8__EUBELI_20334
ERR1913043.122102__1.122102	39491__A0A2U2EK03__ERE_28780
ERR1913043.122182__1.122182	69974__A0A090FEL8__MPL3365_630008
ERR1913043.122189__1.122189	39491__D6E558__DXB69_00810
ERR1913043.122323__1.122323	165179__D1PGU8__PREVCOP_06463
ERR1913043.122325__1.122325	204516__U6R838__HMPREF1534_03867
ERR1913043.122419__1.122419	165179__A0A3E4SB95__DXC61_13455
ERR1913043.122525__1.122525	310298__B3JMZ2__BACCOP_03297
ERR1913043.122604__1.122604	310298__B3JFQ2__BACCOP_00703
ERR1913043.122613__1.122613	39491__A0A395ZM93__DXD13_03490
ERR1913043.122726__1.122726	821__A0A396F1N0__M099_1553
ERR1913043.122782__1.122782	821__A0A0P0M3U7__DXB90_14325
ERR1913043.122795__1.122795	626933__H1DGX0__HMPREF9449_01506
ERR1913043.122827__1.122827	69974__A0A090FEL8__MPL3365_630008
ERR1913043.122885__1.122885	39483__R7A879__HMPREF0367_01747
ERR1913043.122934__1.122934	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913043.122974__1.122974	2293125__A0A374CIC9__DW917_02045
ERR1913043.123052__1.123052	28117__R7JN92__BHV66_00550
ERR1913043.123033__1.123033	69974__A0A090FEL8__MPL3365_630008
ERR1913043.123118__1.123118	310298__B3JQD7__BACCOP_04095
ERR1913043.123124__1.123124	40518__R5DPE0__DXD86_06515
ERR1913043.123165__1.123165	820__A0A174LJB2__HMPREF1072_04112
ERR1913043.123384__1.123384	1262924__R7HML0__BN585_01508
ERR1913043.123467__1.123467	1262913__R7JPE8__BN646_00316
ERR1913043.123471__1.123471	216816__C5E9C3__CJO32_03030
ERR1913043.123689__1.123689	1262913__R7JG60__BN646_02159
ERR1913043.123865__1.123865	1262992__R5CXL4__BN795_01001
ERR1913043.124057__1.124057	39491__A0A395V5R3__EUBREC_1883
ERR1913043.124063__1.124063	165179__A0A3E5A5E5__DXC61_13965
ERR1913043.124074__1.124074	69974__A0A090FEL8__MPL3365_630008
ERR1913043.124188__1.124188	28117__B0MSS1__ALIPUT_00273
ERR1913043.124252__1.124252	820__A0A173YYG4__evgS_3
ERR1913043.124276__1.124276	310298__B3JQL6__BACCOP_04252
ERR1913043.124359__1.124359	69974__A0A090FEL8__MPL3365_630008
ERR1913043.124382__1.124382	821__A0A396F598__CUU_3259
ERR1913043.124388__1.124388	165179__D1PEQ5__PREVCOP_05711
ERR1913043.124440__1.124440	69974__A0A090FEL8__MPL3365_630008
ERR1913043.124487__1.124487	165179__A0A3E5A5E5__DXC61_13965
ERR1913043.124560__1.124560	165179__A0A3E5DR10__DXC61_03505
ERR1913043.124640__1.124640	28118__F9Z759__B5F93_05180
ERR1913043.124669__1.124669	204516__U6R8Z4__HMPREF1534_03879
ERR1913043.124790__1.124790	28117__B0MXD0__ALIPUT_01669
ERR1913043.124793__1.124793	39491__A0A174A751__DXB69_15525
ERR1913043.124812__1.124812	69974__A0A090FEL8__MPL3365_630008
ERR1913043.124817__1.124817	69974__A0A090FEL8__MPL3365_630008
ERR1913043.124820__1.124820	39485__C4Z0G6__spoIVB
ERR1913043.124860__1.124860	39491__A0A395ZDC6__addB
ERR1913043.125079__1.125079	39491__A0A395V464__EUBREC_1509
ERR1913043.125081__1.125081	165179__A0A3E5AGH1__DXB80_05820
ERR1913043.125112__1.125112	820__A0A173YYG4__evgS_3
ERR1913043.125199__1.125199	47678__R5U8P0__DW706_15950
ERR1913043.125214__1.125214	165179__A0A3E5E4T9__DXB80_08030
ERR1913043.125361__1.125361	626933__H1DGX0__HMPREF9449_01506
ERR1913043.125520__1.125520	28117__B0MSS1__ALIPUT_00273
ERR1913043.125561__1.125561	1262929__R6F6C8__BN691_01344
ERR1913043.125536__1.125536	39485__A0A174ZNW9__luxQ_1
ERR1913043.125638__1.125638	487173__H1D020__HMPREF9453_00958
ERR1913043.125687__1.125687	1965604__A0A1Y4ETM2__B5F54_06560
ERR1913043.125733__1.125733	165179__A0A3E5AGH1__DXB80_05820
ERR1913043.125743__1.125743	40518__R5DP91__RBL236_00890
ERR1913043.125779__1.125779	853__C7H1R8__DW905_06675
ERR1913043.125837__1.125837	261299__W1UPA8__yehU
ERR1913043.125861__1.125861	1262924__R7HPG6__BN585_00099
ERR1913043.126034__1.126034	69974__A0A090FEL8__MPL3365_630008
ERR1913043.126156__1.126156	310298__B3JNH3__BACCOP_03486
ERR1913043.126213__1.126213	165179__A0A3E5AFJ9__CFT61_15180
ERR1913043.126338__1.126338	418240__C6J892__ERS852478_02502
ERR1913043.126363__1.126363	69974__A0A090FEL8__MPL3365_630008
ERR1913043.126375__1.126375	39491__A0A395ZG96__DXB69_15120
ERR1913043.126655__1.126655	1262924__R7HQL9__BN585_00607
ERR1913043.126595__1.126595	204516__U6R9L2__HMPREF1534_03110
ERR1913043.126596__1.126596	39491__A0A174K9A3__DXB69_07785
ERR1913043.126680__1.126680	487173__H1CYA6__HMPREF9453_00344
ERR1913043.126729__1.126729	69974__A0A090FEL8__MPL3365_630008
ERR1913043.126922__1.126922	28116__A0A395VZB9__Bovatus_03205
ERR1913043.126943__1.126943	626933__H1DGX0__HMPREF9449_01506
ERR1913043.126978__1.126978	69974__A0A090FEL8__MPL3365_630008
ERR1913043.127016__1.127016	39491__A0A173QT73__alaS_2
ERR1913043.127043__1.127043	853__C7H1R8__DW905_06675
ERR1913043.127095__1.127095	47678__A5ZH12__DXB67_04890
ERR1913043.127144__1.127144	165179__A0A174UTZ7__DXC61_06705
ERR1913043.127163__1.127163	853__A0A2A7AXC8__C4N21_14120
ERR1913043.127230__1.127230	69974__A0A090FEL8__MPL3365_630008
ERR1913043.127291__1.127291	165179__A0A3E5A554__DXB80_13805
ERR1913043.127474__1.127474	853__A0A173T751__C4N24_10280
ERR1913043.127537__1.127537	1323__A0A380LHB6__DXC78_08130
ERR1913043.127545__1.127545	39491__C4ZAT2__ERE_28440
ERR1913043.127572__1.127572	69974__A0A090FEL8__MPL3365_630008
ERR1913043.127582__1.127582	69974__A0A090FEL8__MPL3365_630008
ERR1913043.127617__1.127617	69974__A0A090FEL8__MPL3365_630008
ERR1913043.127641__1.127641	1262929__R6EYU3__BN691_00676
ERR1913043.127683__1.127683	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913043.127823__1.127823	626933__H1DGX0__HMPREF9449_01506
ERR1913043.127854__1.127854	69974__A0A090FEL8__MPL3365_630008
ERR1913043.127942__1.127942	310298__B3JGJ2__BACCOP_00994
ERR1913043.127963__1.127963	165179__W1I4H6__DXB80_13655
ERR1913043.127958__1.127958	204516__U6RR96__HMPREF1534_00277
ERR1913043.127962__1.127962	1628085__A0A3E2XST6__C7386_11832
ERR1913043.127998__1.127998	39491__A0A395ZE48__DXB76_02395
ERR1913043.128000__1.128000	853__A0A2A7B9I6__DW855_13690
ERR1913043.128127__1.128127	39485__C4Z1W5__ERS852492_01530
ERR1913043.128257__1.128257	823__A0A173W404__DHP27_04905
ERR1913043.128296__1.128296	39491__A0A396FJJ9__DXB76_11995
ERR1913043.128322__1.128322	216816__A0A0M0VK23__BLGT_09805
ERR1913043.128435__1.128435	853__A0A2A7B1Y7__C7K05_11930
ERR1913043.128527__1.128527	410072__A0A3E4GRE0__DXD67_07105
ERR1913043.128587__1.128587	69974__A0A090FEL8__MPL3365_630008
ERR1913043.128691__1.128691	165179__A0A3E5A554__DXB80_13805
ERR1913043.128819__1.128819	39491__A0A396FNY7__LD38_16155
ERR1913043.128939__1.128939	165179__W1I4H6__DXB80_13655
