ERR1913203.14__1.14	239935__A0A2N8IEP3__CXT84_03735
ERR1913203.253604__1.253604	214856__I3YPP3__Alfi_2701
ERR1913203.253613__1.253613	1262882__R5MEK3__BN519_00296
ERR1913203.253768__1.253768	239935__A0A2N8IKW7__pstA
ERR1913203.253896__1.253896	487174__K0WZN5__HMPREF9448_01108
ERR1913203.253917__1.253917	214856__A0A174ZJU0__ERS852559_00619
ERR1913203.254032__1.254032	487174__K0X429__HMPREF9448_00932
ERR1913203.254138__1.254138	301302__A0A173TNM6__luxQ
ERR1913203.254238__1.254238	649756__D4MTX1__DCR88_05080
ERR1913203.254292__1.254292	487174__K0WX70__DDY40_01710
ERR1913203.254482__1.254482	410072__A0A174E1G6__phoR_6
ERR1913203.254556__1.254556	487174__K0WZ94__HMPREF9448_00984
ERR1913203.254633__1.254633	1262882__R5MIQ8__BN519_01036
ERR1913203.254724__1.254724	214856__I3YPN0__ERS852447_01398
ERR1913203.254754__1.254754	1501391__GCA_000786575.1_00006
ERR1913203.254860__1.254860	214856__R5UN64__ERS852447_02669
ERR1913203.254863__1.254863	1262882__R5N048__BN519_00502
ERR1913203.254867__1.254867	214856__R6Z186__ERS852447_00718
ERR1913203.255275__1.255275	214856__R6Z288__ERS852447_00734
ERR1913203.255426__1.255426	649756__E5VJS7__mecR1_3
ERR1913203.255435__1.255435	214856__A0A174EQR4__rsmA
ERR1913203.255488__1.255488	214856__I3YK71__ERS852559_02472
ERR1913203.255562__1.255562	214856__A0A174CRY5__ERS852559_01060
ERR1913203.255854__1.255854	214856__I3YPP0__ERS852447_01388
ERR1913203.255992__1.255992	214856__R6Z288__ERS852447_00734
ERR1913203.256089__1.256089	214856__R6Z7Q9__ERS852447_02172
ERR1913203.256115__1.256115	214856__R6XKT4__ERS852559_01719
ERR1913203.256217__1.256217	1262911__R6GPC5__BN557_00852
ERR1913203.256233__1.256233	214856__A0A175A6T5__ERS852447_02658
ERR1913203.256259__1.256259	1262744__R6FST0__BN744_00381
ERR1913203.256368__1.256368	1262743__R5C054__BN727_01980
ERR1913203.256429__1.256429	239935__A0A2N8IU45__DEF40_02365
ERR1913203.256445__1.256445	214856__R6Y9P5__ERS852559_01811
ERR1913203.256571__1.256571	1262882__R5MXS6__BN519_00286
ERR1913203.256618__1.256618	1897011__A0A1Q6REX8__BHW41_04475
ERR1913203.256658__1.256658	301302__R5UMN4__M72_24341
ERR1913203.256672__1.256672	39492__D4JU30__EUBSIR_00838
ERR1913203.256678__1.256678	214856__I3YPP9__Alfi_2707
ERR1913203.256718__1.256718	239935__A0A2N8J2P6__ADH72_06730
ERR1913203.256788__1.256788	1150298__A0A174AP40__ERS852535_01165
ERR1913203.256880__1.256880	214856__I3YPN9__ERS852447_01389
ERR1913203.256882__1.256882	214856__I3YPQ4__Alfi_2712
ERR1913203.257060__1.257060	214856__R5UN64__ERS852447_02669
ERR1913203.256979__1.256979	1262882__R5MKL9__BN519_00353
ERR1913203.257005__1.257005	1262882__R5MEK3__BN519_00296
ERR1913203.257016__1.257016	214856__I3YPR6__Alfi_2724
ERR1913203.257159__1.257159	214856__A0A174G1M7__ERS852559_00594
ERR1913203.257210__1.257210	214856__R6XS46__ERS852559_00812
ERR1913203.257239__1.257239	1262882__R5N3T7__BN519_01188
ERR1913203.257426__1.257426	214856__R6Z590__ERS852447_01059
ERR1913203.257457__1.257457	214856__R6Z5D0__resA_4
ERR1913203.257458__1.257458	214856__R6YBX3__msbA_2
ERR1913203.257503__1.257503	552398__F4XHK6__HMPREF0866_03110
ERR1913203.257825__1.257825	487174__K0X0F6__HMPREF9448_01444
ERR1913203.258060__1.258060	649756__A0A174Q8Z0__mtlD_4
ERR1913203.258174__1.258174	214856__R6YC22__ERS852447_01215
ERR1913203.258183__1.258183	1262882__R5MZQ5__BN519_00648
ERR1913203.258232__1.258232	818__A0A3E5GY47__SAMN02910322_02002
ERR1913203.258665__1.258665	745368__A0A1T4XXN7__SAMN02745178_02496
ERR1913203.258964__1.258964	328813__A0A1Y3QZ64__B5G41_14235
ERR1913203.259225__1.259225	214856__I3YPR6__Alfi_2724
ERR1913203.259230__1.259230	214856__A0A173YXX1__ERS852559_01651
ERR1913203.259247__1.259247	1262882__R5MEN9__BN519_00201
ERR1913203.259432__1.259432	1262882__R5N4I5__BN519_01288
ERR1913203.259567__1.259567	214856__A0A175A1F5__ERS852559_01764
ERR1913203.259578__1.259578	487174__K0WT65__HMPREF9448_02407
ERR1913203.259585__1.259585	47678__R5UXJ2__DW706_08325
ERR1913203.259650__1.259650	214856__R6XUN2__rcsC_1
ERR1913203.259734__1.259734	1501391__GCA_000786575.1_00110
ERR1913203.259998__1.259998	1262882__R5MFM2__BN519_00460
ERR1913203.260159__1.260159	214856__A0A173YXX1__ERS852559_01651
ERR1913203.260351__1.260351	301302__R5UVR7__ERS852420_00118
ERR1913203.260586__1.260586	239935__A0A2N8HUU6__CXT90_06150
ERR1913203.260711__1.260711	214856__R6XYY8__ERS852447_01722
ERR1913203.260779__1.260779	239935__A0A2N8IVK9__CXU08_03750
ERR1913203.260826__1.260826	328814__GCA_004558275.1_00989
ERR1913203.260871__1.260871	214856__A0A173YXX1__ERS852559_01651
ERR1913203.261102__1.261102	1897011__A0A1Q6RI93__BHW41_01175
ERR1913203.261193__1.261193	214856__I3YPP0__ERS852447_01388
ERR1913203.261199__1.261199	1262882__R5N5H2__BN519_01493
ERR1913203.261325__1.261325	487174__K0WRR5__DDY40_06130
ERR1913203.261408__1.261408	214856__R6XQX8__ERS852559_02550
ERR1913203.261365__1.261365	39488__A0A173V5H8__appA
ERR1913203.261727__1.261727	818__A0A0P0F2P7__BT_1771
ERR1913203.261896__1.261896	214856__R6XS46__ERS852559_00812
ERR1913203.261860__1.261860	239935__A0A2N8I375__menA
ERR1913203.261916__1.261916	214856__I3YMC8__ERS852447_02666
ERR1913203.261944__1.261944	328813__A0A1Y3QZ64__B5G41_14235
ERR1913203.262285__1.262285	301302__A0A173TNM6__luxQ
ERR1913203.262348__1.262348	1262882__R5N3T7__BN519_01188
ERR1913203.262490__1.262490	214856__I3YPQ8__ERS852447_01371
ERR1913203.262575__1.262575	239935__A0A2N8IMD6__CXU03_05585
ERR1913203.262557__1.262557	649756__D4MV03__ERS852425_01248
ERR1913203.262568__1.262568	487174__K0X7X4__DIT83_09125
ERR1913203.262647__1.262647	239935__R6J776__CXU07_02355
ERR1913203.262662__1.262662	214856__R6XQX8__ERS852559_02550
ERR1913203.262696__1.262696	487174__K0WY34__DDY40_07435
ERR1913203.262738__1.262738	39492__D4JTW6__ERS852540_00220
ERR1913203.262798__1.262798	649756__A0A173SZT1__ftsW_3
ERR1913203.262828__1.262828	1262882__R5N5J6__BN519_01504
ERR1913203.262937__1.262937	214856__I3YPP0__ERS852447_01388
ERR1913203.262942__1.262942	820__A0A174A6K0__M093_0079
ERR1913203.262976__1.262976	214856__R6XKT4__ERS852559_01719
ERR1913203.263399__1.263399	410072__A0A173ZG02__ERS852574_01061
ERR1913203.263461__1.263461	239935__A0A2N8IMD6__CXU03_05585
ERR1913203.263541__1.263541	239935__A0A2N8ITX2__CXT86_11265
ERR1913203.263625__1.263625	216816__C5E8I1__yciB
ERR1913203.263609__1.263609	1262911__R6GIB9__BN557_01439
ERR1913203.263682__1.263682	214856__A0A173YXX1__ERS852559_01651
ERR1913203.263768__1.263768	214856__I3YPN0__ERS852447_01398
ERR1913203.263810__1.263810	214856__I3YPR6__Alfi_2724
ERR1913203.264051__1.264051	39492__A0A174Z2N0__EUBSIR_01615
ERR1913203.264054__1.264054	214856__R6Z320__ERS852447_02148
ERR1913203.264073__1.264073	214856__R6Y6H8__ERS852447_01719
ERR1913203.264102__1.264102	47678__R5UXJ2__DW706_08325
ERR1913203.264107__1.264107	214856__R6XKT4__ERS852559_01719
ERR1913203.264158__1.264158	1501391__GCA_000786575.1_00120
ERR1913203.264207__1.264207	214856__I3YPQ8__ERS852447_01371
ERR1913203.264399__1.264399	214856__I3YPP3__Alfi_2701
ERR1913203.264445__1.264445	214856__I3YPP3__Alfi_2701
ERR1913203.264461__1.264461	1262882__R5N526__BN519_01603
ERR1913203.264629__1.264629	487174__K0X455__HMPREF9448_00399
ERR1913203.264611__1.264611	1262882__R5MKV8__BN519_01281
ERR1913203.265120__1.265120	1501391__GCA_000786575.1_00155
ERR1913203.265150__1.265150	214856__I3YPN9__ERS852447_01389
ERR1913203.265362__1.265362	1262882__R5MEI8__BN519_00283
ERR1913203.265369__1.265369	214856__R6Z186__ERS852447_00718
ERR1913203.265475__1.265475	214856__A0A173W3Y5__ERS852559_02032
ERR1913203.265791__1.265791	1897011__A0A1Q6RCY0__BHW41_05945
ERR1913203.265865__1.265865	214856__I3YPN3__ERS852447_01395
ERR1913203.265884__1.265884	1262882__R5MJJ9__BN519_01035
ERR1913203.265931__1.265931	1262882__R5MND9__BN519_00831
ERR1913203.266069__1.266069	214856__A0A173W3Y5__ERS852559_02032
ERR1913203.266194__1.266194	214856__R6Z288__ERS852447_00734
ERR1913203.266218__1.266218	649756__L1Q1Y2__DO83_04045
ERR1913203.266409__1.266409	39492__D4JUL4__ERS852540_01381
ERR1913203.266372__1.266372	1897011__A0A1Q6RGG6__BHW41_02770
ERR1913203.266581__1.266581	818__A0A3E5H319__SAMN02910322_03382
ERR1913203.266677__1.266677	1262882__R5MMD8__BN519_01576
ERR1913203.266937__1.266937	47678__R5UER2__CGC64_00710
ERR1913203.267245__1.267245	328813__A0A1Y3QZ64__B5G41_14235
ERR1913203.267320__1.267320	39492__D4JR58__EUBSIR_02090
ERR1913203.267341__1.267341	1262911__R6GZ01__BN557_00641
ERR1913203.267438__1.267438	357276__A0A076IS26__EL88_15950
ERR1913203.267472__1.267472	214856__I3YPN0__ERS852447_01398
ERR1913203.267548__1.267548	214856__R6XUN2__rcsC_1
ERR1913203.267503__1.267503	1501391__GCA_000786575.1_00149
ERR1913203.267656__1.267656	1262882__R5MND9__BN519_00831
ERR1913203.267744__1.267744	1262882__R5N5S3__BN519_00085
ERR1913203.267983__1.267983	214856__R6XNE7__ERS852447_02267
ERR1913203.268040__1.268040	487174__K0X694__DIT83_09060
ERR1913203.268316__1.268316	239935__A0A2N8HHY4__DEF40_10850
ERR1913203.268353__1.268353	487174__K0X773__DIT83_07170
ERR1913203.268371__1.268371	1262882__R5MYI1__BN519_00416
ERR1913203.268509__1.268509	487174__K0WVG2__DDY40_00285
ERR1913203.268582__1.268582	214856__R6YC22__ERS852447_01215
ERR1913203.268583__1.268583	214856__I3YPN9__ERS852447_01389
ERR1913203.268607__1.268607	328814__GCA_004558275.1_00995
ERR1913203.268744__1.268744	1262882__R5N4D8__BN519_01497
ERR1913203.268937__1.268937	214856__R6Y2Y4__ERS852447_01086
ERR1913203.269310__1.269310	214856__R6XQX8__ERS852559_02550
ERR1913203.269325__1.269325	214856__A0A173Z1B0__ERS852447_00765
ERR1913203.269384__1.269384	214856__R6XS46__ERS852559_00812
ERR1913203.269547__1.269547	1262882__R5MEI8__BN519_00283
ERR1913203.269549__1.269549	821__R7P1Q7__M099_2990
ERR1913203.269727__1.269727	214856__A0A174CRY5__ERS852559_01060
ERR1913203.269742__1.269742	214856__I3YMC8__ERS852447_02666
ERR1913203.269796__1.269796	214856__I3YPQ4__Alfi_2712
ERR1913203.269852__1.269852	214856__R6Y2Y4__ERS852447_01086
ERR1913203.269857__1.269857	214856__I3YK71__ERS852559_02472
ERR1913203.269911__1.269911	39492__D4JUL4__ERS852540_01381
ERR1913203.270137__1.270137	1262992__R5CX54__BN795_00843
ERR1913203.270216__1.270216	487174__K0X2W9__HMPREF9448_00062
ERR1913203.270242__1.270242	239935__A0A139TPU7__CXT91_06575
ERR1913203.270286__1.270286	214856__I3YPN0__ERS852447_01398
ERR1913203.270426__1.270426	239935__A0A139TPG3__CXT86_08810
ERR1913203.270464__1.270464	214856__A0A174CRY5__ERS852559_01060
ERR1913203.270571__1.270571	1501391__GCA_000786575.1_00064
ERR1913203.270590__1.270590	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913203.270670__1.270670	214856__A0A174AYS4__ERS852447_01192
ERR1913203.270678__1.270678	556259__E5CF00__BSGG_3866
ERR1913203.270695__1.270695	214856__A0A173YXX1__ERS852559_01651
ERR1913203.270761__1.270761	214856__R6Y2Y4__ERS852447_01086
ERR1913203.270795__1.270795	214856__R6Z186__ERS852447_00718
ERR1913203.270827__1.270827	33025__A0A395J973__C8D73_11010
ERR1913203.270875__1.270875	239935__A0A139TPU7__CXT91_06575
ERR1913203.270894__1.270894	239935__A0A3F3K985__CXT98_05805
ERR1913203.270988__1.270988	214856__R6Y2Y4__ERS852447_01086
ERR1913203.271003__1.271003	214856__A0A174CRY5__ERS852559_01060
ERR1913203.271112__1.271112	214856__R6Y1K2__ERS852447_02306
ERR1913203.271204__1.271204	47678__R5U2W6__CGC64_03455
ERR1913203.271346__1.271346	39492__D4JUD7__EUBSIR_01877
ERR1913203.271883__1.271883	1501391__GCA_000786575.1_00076
ERR1913203.272056__1.272056	214856__R6XKW1__ERS852559_01141
ERR1913203.272239__1.272239	1501391__GCA_000786575.1_00124
ERR1913203.272325__1.272325	214856__I3YPQ6__Alfi_2714
ERR1913203.272511__1.272511	239935__B2UQP8__CXU15_01110
ERR1913203.272523__1.272523	214856__R6XNE7__ERS852447_02267
ERR1913203.272575__1.272575	214856__A0A174ZD89__ERS852559_00526
ERR1913203.272604__1.272604	626932__G5H9Q9__HMPREF9450_01374
ERR1913203.272711__1.272711	214856__I3YPI7__pepD_1
ERR1913203.272729__1.272729	39486__B0G3R8__DXB12_09875
ERR1913203.272795__1.272795	214856__R6XTZ7__ERS852447_02314
ERR1913203.272989__1.272989	214856__I3YPQ4__Alfi_2712
ERR1913203.273000__1.273000	214856__A0A173Z1B0__ERS852447_00765
ERR1913203.273215__1.273215	214856__R6YD52__ERS852447_02171
ERR1913203.273168__1.273168	214856__R6YC22__ERS852447_01215
ERR1913203.273293__1.273293	214856__I3YMB7__Alfi_1811
ERR1913203.273559__1.273559	214856__R6Y7P0__ERS852447_00307
ERR1913203.274035__1.274035	39488__A0A173RHK8__EUBHAL_01709
ERR1913203.274038__1.274038	214856__I3YPQ6__Alfi_2714
ERR1913203.274131__1.274131	328814__GCA_004558275.1_00391
ERR1913203.274151__1.274151	214856__I3YPN9__ERS852447_01389
ERR1913203.274237__1.274237	214856__I3YPP9__Alfi_2707
ERR1913203.274293__1.274293	1235835__R9LCU2__C814_02677
ERR1913203.274391__1.274391	214856__A0A173YXX1__ERS852559_01651
ERR1913203.274443__1.274443	214856__R6XQX8__ERS852559_02550
ERR1913203.274462__1.274462	214856__I3YPQ4__Alfi_2712
ERR1913203.274522__1.274522	214856__A0A174AYS4__ERS852447_01192
ERR1913203.274530__1.274530	214856__I3YPN9__ERS852447_01389
ERR1913203.274687__1.274687	214856__I3YPR2__Alfi_2720
ERR1913203.274877__1.274877	301302__R5VFQ6__ERS852420_00378
ERR1913203.274934__1.274934	818__A0A1H7TGM1__BJP75_010615
ERR1913203.274943__1.274943	1262882__R5MND9__BN519_00831
ERR1913203.274892__1.274892	1262882__R5MLP5__BN519_01602
ERR1913203.274959__1.274959	214856__A0A174CRY5__ERS852559_01060
ERR1913203.275000__1.275000	214856__A0A174CRY5__ERS852559_01060
ERR1913203.275067__1.275067	214856__A0A175A6T5__ERS852447_02658
ERR1913203.275202__1.275202	818__Q8A3A6__Btheta7330_00071
ERR1913203.275282__1.275282	1262882__R5MJJ9__BN519_01035
ERR1913203.275384__1.275384	328814__GCA_004558275.1_00239
ERR1913203.275387__1.275387	328814__GCA_004558275.1_00036
ERR1913203.275492__1.275492	1262882__R5MIY9__BN519_01097
ERR1913203.275568__1.275568	301302__A0A173RZU9__M72_23561
ERR1913203.275796__1.275796	821__A6L0C7__ERS852556_03520
ERR1913203.275888__1.275888	214856__I3YMC8__ERS852447_02666
ERR1913203.276093__1.276093	239935__A0A2N8I3G2__CXT89_00720
ERR1913203.276308__1.276308	328814__GCA_004558275.1_01846
ERR1913203.276366__1.276366	214856__R6XKW1__ERS852559_01141
ERR1913203.276552__1.276552	214856__I3YMC8__ERS852447_02666
ERR1913203.276656__1.276656	39492__D4JVN3__spsA
ERR1913203.276682__1.276682	214856__R6YC22__ERS852447_01215
ERR1913203.276775__1.276775	214856__R6Z288__ERS852447_00734
ERR1913203.276779__1.276779	214856__R5UN64__ERS852447_02669
ERR1913203.276790__1.276790	214856__R6YD52__ERS852447_02171
ERR1913203.276886__1.276886	1235835__R9LCU2__C814_02677
ERR1913203.276898__1.276898	214856__A0A174CRY5__ERS852559_01060
ERR1913203.277118__1.277118	1262882__R5MFR3__BN519_00473
ERR1913203.277149__1.277149	649756__E5VMQ9__prkC_2
ERR1913203.277152__1.277152	301302__R5UJR5__M72_06371
ERR1913203.277202__1.277202	1262882__R5N0J9__BN519_00773
ERR1913203.277180__1.277180	214856__I3YMN6__Alfi_1938
ERR1913203.277196__1.277196	214856__I3YPP9__Alfi_2707
ERR1913203.277279__1.277279	1262882__R5MYX5__BN519_00333
ERR1913203.277284__1.277284	214856__R6Y1K2__ERS852447_02306
ERR1913203.277386__1.277386	1501391__GCA_000786575.1_00130
ERR1913203.277526__1.277526	328813__A0A1Y3QZ64__B5G41_14235
ERR1913203.277529__1.277529	1550024__G9RXH7__TQ39_11565
ERR1913203.277657__1.277657	328814__GCA_004558275.1_00036
ERR1913203.277765__1.277765	214856__I3YPN5__Alfi_2693
ERR1913203.278165__1.278165	239935__A0A2N8IVK9__CXU08_03750
ERR1913203.278290__1.278290	487174__R5F4K8__HMPREF9448_01532
ERR1913203.278408__1.278408	1262882__R5MZZ3__BN519_00482
ERR1913203.278412__1.278412	214856__A0A174ZLW6__ERS852559_01424
ERR1913203.278531__1.278531	214856__I3YPR6__Alfi_2724
ERR1913203.278535__1.278535	1262882__R5MSQ8__BN519_01647
ERR1913203.278632__1.278632	214856__R5UN64__ERS852447_02669
ERR1913203.278694__1.278694	301302__A0A0M6WTB1__M72_11101
ERR1913203.278755__1.278755	214856__I3YPR6__Alfi_2724
ERR1913203.278902__1.278902	1501391__GCA_000786575.1_00035
ERR1913203.278929__1.278929	214856__R6YBX3__msbA_2
ERR1913203.279071__1.279071	239935__A0A3F3KBB8__CXU16_06755
ERR1913203.279142__1.279142	214856__I3YPQ0__ERS852447_01379
ERR1913203.279108__1.279108	487174__K0X429__HMPREF9448_00932
ERR1913203.279224__1.279224	214856__I3YPN0__ERS852447_01398
ERR1913203.279273__1.279273	239935__A0A2N8HTZ8__CXU09_01270
ERR1913203.279602__1.279602	33039__A0A173VTT4__frdB_1
ERR1913203.279772__1.279772	214856__I3YPR2__Alfi_2720
ERR1913203.279875__1.279875	239935__A0A2N8HBM4__CXT85_06270
ERR1913203.279976__1.279976	1262882__R5N1T9__BN519_00804
ERR1913203.279992__1.279992	214856__I3YMB7__Alfi_1811
ERR1913203.280108__1.280108	1965604__A0A1Y4ERJ3__B5F54_14220
ERR1913203.280227__1.280227	214856__I3YPN0__ERS852447_01398
ERR1913203.280313__1.280313	214856__A0A174CRY5__ERS852559_01060
ERR1913203.280337__1.280337	649756__A0A173RGN8__DO83_04830
ERR1913203.280621__1.280621	1262882__R5N1R4__BN519_00788
ERR1913203.280699__1.280699	214856__R6XUN2__rcsC_1
ERR1913203.280727__1.280727	214856__A0A174ZLX0__ERS852559_00738
ERR1913203.280888__1.280888	214856__R6YC22__ERS852447_01215
ERR1913203.281108__1.281108	239935__A0A2N8IIB9__CXU04_01970
ERR1913203.281120__1.281120	214856__I3YPP3__Alfi_2701
ERR1913203.281235__1.281235	1262882__R5N1R4__BN519_00788
ERR1913203.281195__1.281195	239935__A0A2N8I5A2__DEF40_08455
ERR1913203.281514__1.281514	239935__A0A2N8HB50__CXU17_02615
ERR1913203.281586__1.281586	214856__I3YMN6__Alfi_1938
ERR1913203.281746__1.281746	239935__A0A2N8I694__CXU04_06245
ERR1913203.281757__1.281757	1262882__R5MYI1__BN519_00416
ERR1913203.281967__1.281967	1160721__A0A373ML50__RBI_I01893
ERR1913203.282019__1.282019	1262882__R5MYP8__BN519_00439
ERR1913203.282107__1.282107	1262746__R5SLP4__BN750_01973
ERR1913203.282294__1.282294	239935__A0A2N8HDT1__CXT94_05270
ERR1913203.282300__1.282300	214856__R5UN64__ERS852447_02669
ERR1913203.282403__1.282403	214856__A0A174EQR4__rsmA
ERR1913203.282622__1.282622	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913203.282671__1.282671	39492__D4JR04__phoU
ERR1913203.282781__1.282781	214856__R6Y8K1__ERS852447_02509
ERR1913203.282694__1.282694	1262882__R5MKU2__BN519_01271
ERR1913203.282991__1.282991	1262882__R5MLP5__BN519_01602
ERR1913203.283042__1.283042	214856__R6YC22__ERS852447_01215
ERR1913203.283129__1.283129	214856__R6XUN2__rcsC_1
ERR1913203.283106__1.283106	214856__R6Z288__ERS852447_00734
ERR1913203.283285__1.283285	214856__I3YPR2__Alfi_2720
ERR1913203.283332__1.283332	214856__I3YPP3__Alfi_2701
ERR1913203.283340__1.283340	239935__A0A2N8I8X8__B5G29_00185
ERR1913203.283308__1.283308	214856__I3YPP9__Alfi_2707
ERR1913203.283427__1.283427	214856__I3YPR2__Alfi_2720
ERR1913203.283405__1.283405	216816__A0A083XVP2__HMPREF1315_0108
ERR1913203.283444__1.283444	214856__A0A174EJT5__mnmA
ERR1913203.283528__1.283528	1262882__R5MLA4__BN519_01536
ERR1913203.283710__1.283710	214856__I3YMC8__ERS852447_02666
ERR1913203.283991__1.283991	214856__I3YMN6__Alfi_1938
ERR1913203.283970__1.283970	1262882__R5MEW7__BN519_00010
ERR1913203.284242__1.284242	1262882__R5MIP9__BN519_01028
ERR1913203.284337__1.284337	1262882__R5N678__BN519_01604
ERR1913203.284448__1.284448	1262882__R5MHZ2__BN519_00742
ERR1913203.284468__1.284468	818__A0A174RFL1__ERS852511_03380
ERR1913203.284489__1.284489	328814__GCA_004558275.1_00992
ERR1913203.284627__1.284627	214856__I3YPP3__Alfi_2701
ERR1913203.284706__1.284706	214856__R5UN64__ERS852447_02669
ERR1913203.284749__1.284749	214856__R6Z590__ERS852447_01059
ERR1913203.284968__1.284968	1262882__R5MH81__BN519_00748
ERR1913203.285050__1.285050	214856__R6YC22__ERS852447_01215
ERR1913203.285089__1.285089	47678__A5ZHL2__DXB67_12495
ERR1913203.285205__1.285205	487174__K0WTV8__DIT83_04385
ERR1913203.285216__1.285216	214856__A0A174EJT5__mnmA
ERR1913203.285326__1.285326	214856__R6Z288__ERS852447_00734
ERR1913203.285339__1.285339	214856__R6XKT4__ERS852559_01719
ERR1913203.285505__1.285505	1262882__R5MEK3__BN519_00296
ERR1913203.285510__1.285510	214856__A0A174CRY5__ERS852559_01060
ERR1913203.285547__1.285547	214856__R6Z5D0__resA_4
ERR1913203.285557__1.285557	39491__A0A396FPV7__ERS852580_01177
ERR1913203.285489__1.285489	214856__I3YPI7__pepD_1
ERR1913203.285494__1.285494	214856__I3YMN6__Alfi_1938
ERR1913203.285620__1.285620	1262882__R5MRS7__BN519_01490
ERR1913203.285872__1.285872	552398__F4XHJ6__HMPREF0866_03100
ERR1913203.285929__1.285929	1897011__A0A1Q6RDI3__BHW41_05415
ERR1913203.285966__1.285966	853__A0A173XRA8__CGS56_09290
ERR1913203.285994__1.285994	487174__K0XA48__DDY40_03955
ERR1913203.286161__1.286161	487174__K0WTV8__DIT83_04385
ERR1913203.286169__1.286169	39496__A5Z4A5__EUBVEN_00528
ERR1913203.286215__1.286215	1897011__A0A1Q6RH97__BHW41_01945
ERR1913203.286289__1.286289	39492__D4JRM4__tap_5
ERR1913203.286451__1.286451	1501391__GCA_000786575.1_00038
ERR1913203.286458__1.286458	214856__A0A174AYS4__ERS852447_01192
ERR1913203.286642__1.286642	239935__A0A139TPD8__CXU12_11015
ERR1913203.286668__1.286668	39496__A5Z5I2__EUBVEN_00963
ERR1913203.286692__1.286692	239935__A0A2N8HBM4__CXT85_06270
ERR1913203.286821__1.286821	410072__C0B9G6__ERS852481_03113
ERR1913203.287056__1.287056	1965604__A0A1Y4EWM5__B5F54_02845
ERR1913203.287170__1.287170	239935__A0A3F3K9J9__DEF40_00940
ERR1913203.287450__1.287450	1262882__R5MN65__BN519_00771
ERR1913203.287501__1.287501	487174__K0X393__DDY40_02525
ERR1913203.287670__1.287670	1262882__R5MIQ8__BN519_01036
ERR1913203.287748__1.287748	301302__A0A173UN42__lytR_3
ERR1913203.287941__1.287941	39491__C4ZC33__DXC13_11585
ERR1913203.287962__1.287962	214856__R6Y6H8__ERS852447_01719
ERR1913203.287974__1.287974	214856__I3YPQ0__ERS852447_01379
ERR1913203.287995__1.287995	214856__I3YMN6__Alfi_1938
ERR1913203.288070__1.288070	214856__I3YMC8__ERS852447_02666
ERR1913203.288121__1.288121	821__A0A396ER29__ERS852457_02298
ERR1913203.288254__1.288254	410072__A0A173Y221__spoIIIAE
ERR1913203.288466__1.288466	1501391__GCA_000786575.1_00114
ERR1913203.288517__1.288517	214856__I3YPP9__Alfi_2707
ERR1913203.288591__1.288591	39492__D4JU81__xseA
ERR1913203.288658__1.288658	239935__B2UPZ6__CXU03_03800
ERR1913203.288734__1.288734	821__A0A173WG51__BVU_2549
ERR1913203.288935__1.288935	1965631__A0A1Y4AIV0__B5F90_04660
ERR1913203.288910__1.288910	487174__K0WV13__DIT83_10890
ERR1913203.288943__1.288943	214856__R6XUN2__rcsC_1
ERR1913203.289156__1.289156	487174__R5F5Z4__DIT83_00635
ERR1913203.289275__1.289275	1262882__R5N1L4__BN519_00757
ERR1913203.289455__1.289455	1501391__GCA_000786575.1_00036
ERR1913203.289511__1.289511	328814__GCA_004558275.1_01006
ERR1913203.289593__1.289593	1262882__R5MRS7__BN519_01490
ERR1913203.289651__1.289651	239935__R6J9Y2__CXT85_07000
ERR1913203.289759__1.289759	1501391__GCA_000786575.1_00130
ERR1913203.289899__1.289899	1501391__GCA_000786575.1_00069
ERR1913203.289926__1.289926	214856__I3YPP0__ERS852447_01388
ERR1913203.290202__1.290202	214856__A0A174ZLW6__ERS852559_01424
ERR1913203.290206__1.290206	328814__GCA_004558275.1_01004
ERR1913203.290393__1.290393	1501391__GCA_000786575.1_00006
ERR1913203.290448__1.290448	328814__GCA_004558275.1_01002
ERR1913203.290729__1.290729	47678__A5ZH12__DXB67_04890
ERR1913203.290761__1.290761	1501391__GCA_000786575.1_00122
ERR1913203.290922__1.290922	1501391__GCA_000786575.1_00052
ERR1913203.290931__1.290931	1262882__R5MEK3__BN519_00296
ERR1913203.290991__1.290991	214856__I3YPQ4__Alfi_2712
ERR1913203.291143__1.291143	214856__I3YPQ3__Alfi_2711
ERR1913203.291350__1.291350	1965576__A0A1Y4LPN7__B5F19_02490
ERR1913203.291404__1.291404	214856__A0A174EQR4__rsmA
ERR1913203.291415__1.291415	214856__A0A173W3Y5__ERS852559_02032
ERR1913203.291316__1.291316	214856__R6Y6H8__ERS852447_01719
ERR1913203.291433__1.291433	1262882__R5N4G2__BN519_01273
ERR1913203.291776__1.291776	239935__A0A2N8HEH9__CXU07_11710
ERR1913203.291845__1.291845	1965604__A0A1Y4ERL1__B5F54_16810
ERR1913203.292087__1.292087	88431__A0A3D0EXY5__ERS852526_00139
ERR1913203.292168__1.292168	214856__I3YPQ3__Alfi_2711
ERR1913203.292141__1.292141	214856__R5UN64__ERS852447_02669
ERR1913203.292334__1.292334	487174__K0WYC5__HMPREF9448_01493
ERR1913203.292440__1.292440	1262882__R5MK03__BN519_01277
ERR1913203.292468__1.292468	821__A6L0C7__ERS852556_03520
ERR1913203.292483__1.292483	214856__R6Y6H8__ERS852447_01719
