ERR1913220.32__1.32	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913220.212697__1.212697	820__A0A3E4VXP2__yesR
ERR1913220.212970__1.212970	820__A0A3E4GA19__SAMN05444418_10562
ERR1913220.213279__1.213279	301301__G2SZK8__ERS852391_00581
ERR1913220.213303__1.213303	2173__R7PV46__BK798_00245
ERR1913220.213500__1.213500	1262911__R6H1D2__BN557_00855
ERR1913220.213642__1.213642	1680__A0A174BEE7__BSTER_1311
ERR1913220.213770__1.213770	301302__R5V5K3__M72_10541
ERR1913220.213809__1.213809	820__A0A3E4PYB0__yejM
ERR1913220.213886__1.213886	1263006__R6LT05__BN515_01030
ERR1913220.214242__1.214242	1263006__R6M176__BN515_00274
ERR1913220.214614__1.214614	1099853__U5CMJ0__NSB1T_01275
ERR1913220.214652__1.214652	1263006__R6LZ65__BN515_01602
ERR1913220.214776__1.214776	1624__A0A385XNI5__B6U38_01935
ERR1913220.214760__1.214760	1681__A0A286TCN9__LMG13195_0626
ERR1913220.214993__1.214993	239935__A0A139TMD2__CXU18_02250
ERR1913220.215251__1.215251	1263006__R6M0N6__BN515_00209
ERR1913220.215358__1.215358	820__A0A3E4GA19__SAMN05444418_10562
ERR1913220.215398__1.215398	626930__F3PTZ1__HMPREF9446_02211
ERR1913220.215430__1.215430	39496__A5Z5I2__EUBVEN_00963
ERR1913220.215532__1.215532	1262911__R6GMZ7__BN557_01741
ERR1913220.215690__1.215690	357276__A0A076INR8__EL88_12300
ERR1913220.215755__1.215755	239935__A0A139TQT9__Amuc_1197
ERR1913220.215761__1.215761	414970__GeneID:5204371
ERR1913220.215778__1.215778	1263006__R6MLA8__BN515_00853
ERR1913220.215841__1.215841	301301__A0A395V6H4__ydfH_3
ERR1913220.215843__1.215843	39488__A0A374MV67__DXD91_15895
ERR1913220.215881__1.215881	1263006__R6LHU1__BN515_01203
ERR1913220.215977__1.215977	394340__pheS
ERR1913220.216095__1.216095	1160721__R6SZN5__BHW50_07705
ERR1913220.216099__1.216099	1550024__G9RX78__TQ39_04855
ERR1913220.216145__1.216145	46503__A0A3E4ZQ73__ERS852463_01043
ERR1913220.216286__1.216286	147206__GCF_000156215.1_01774
ERR1913220.216368__1.216368	1263006__R6LN84__BN515_01543
ERR1913220.216466__1.216466	820__A0A139K1Y6__DXB48_02610
ERR1913220.216588__1.216588	239935__A0A2N8IF99__lpdA
ERR1913220.216630__1.216630	239935__R6JAS2__CXU02_10725
ERR1913220.216658__1.216658	1624__A0A385XL34__B6U37_06400
ERR1913220.216684__1.216684	28118__R6F2P9__B5F99_13925
ERR1913220.216737__1.216737	301302__R5ULM4__M72_25081
ERR1913220.216782__1.216782	301301__G2T5V7__RHOM_15795
ERR1913220.216921__1.216921	1262911__R6GSH8__BN557_00939
ERR1913220.216934__1.216934	239935__A0A2N8INZ4__CXU08_03560
ERR1913220.217138__1.217138	239935__A0A2N8HWQ2__CXU13_01775
ERR1913220.217145__1.217145	820__R9I2U8__DXC68_09590
ERR1913220.217193__1.217193	1584__A0A0U5KDN8__LBCNRZ226_03040
ERR1913220.217254__1.217254	820__A7V9F9__B5G17_14640
ERR1913220.217275__1.217275	1304__A0A0Y1VYX0__DL08_03795
ERR1913220.217389__1.217389	1160721__R6U5L6__RBI_I01802
ERR1913220.217403__1.217403	239935__A0A2N8I694__CXU04_06245
ERR1913220.217623__1.217623	100886__E2NRN8__CATMIT_01243
ERR1913220.217694__1.217694	1965586__A0A1Y4HU56__B5F34_03425
ERR1913220.217817__1.217817	239935__A0A2N8ITX2__CXT86_11265
ERR1913220.218015__1.218015	40518__R5DS23__DXD86_01715
ERR1913220.218078__1.218078	1624__A0A089RVW7__A8C42_03740
ERR1913220.218110__1.218110	1680__R5GSL8__DXD60_03315
ERR1913220.218279__1.218279	165179__A0A174W369__PREVCOP_04548
ERR1913220.218351__1.218351	1550024__G9RP69__ASJ35_11625
ERR1913220.218402__1.218402	357276__E5UTL1__HMPREF1065_03551
ERR1913220.218420__1.218420	1624__A0A089QBF7__A8C46_08780
ERR1913220.218468__1.218468	1099853__U5CHR3__NSB1T_13310
ERR1913220.218504__1.218504	820__A7VAR9__ERS852421_00197
ERR1913220.218523__1.218523	357276__I9RAC4__BSEG_00561
ERR1913220.218737__1.218737	1262882__R5N678__BN519_01604
ERR1913220.218718__1.218718	820__A0A174F696__macB_13
ERR1913220.218754__1.218754	151534__GeneID:920236
ERR1913220.218810__1.218810	1304__A0A1W5ZCY0__CKU37_03270
ERR1913220.218850__1.218850	301301__A0A395VA97__RHOM_13930
ERR1913220.218860__1.218860	820__A0A174I980__gldH
ERR1913220.218975__1.218975	1550024__G9RX76__ASJ35_12355
ERR1913220.219094__1.219094	1550024__A0A3B9WJZ9__TQ39_02585
ERR1913220.219117__1.219117	357276__A0A0K2HKT7__B5F95_21090
ERR1913220.219137__1.219137	820__A0A174EV88__HMPREF1072_01427
ERR1913220.219190__1.219190	820__A0A139KJR5__M093_4469
ERR1913220.219206__1.219206	820__A0A3E4PYB0__yejM
ERR1913220.219401__1.219401	239935__A0A2N8I3G2__CXT89_00720
ERR1913220.219547__1.219547	239935__B2URG6__CXU02_00030
ERR1913220.219844__1.219844	1550024__G9RPS1__TQ39_05000
ERR1913220.220003__1.220003	301301__A0A395V9V2__nplT_1
ERR1913220.220306__1.220306	239935__R6JAS2__CXU02_10725
ERR1913220.220341__1.220341	357276__D1JYA3__BSEG_00395
ERR1913220.220439__1.220439	100886__E2NRN8__CATMIT_01243
ERR1913220.220422__1.220422	40518__R5DRY6__RB5AMG_00549
ERR1913220.220620__1.220620	47770__E3R1L1__LCRIS_00044
ERR1913220.220663__1.220663	1262882__R5N0Q5__BN519_00642
ERR1913220.220649__1.220649	46503__R6X5E7__PARMER_00245
ERR1913220.220651__1.220651	1550024__A0A0W7TQU7__TQ39_10940
ERR1913220.220696__1.220696	1680__A0A0B5BL52__ERS852382_00480
ERR1913220.220701__1.220701	1382__Z4WXB9__Apar_0429
ERR1913220.220710__1.220710	1681__E3EQA8__LMG11582_0199
ERR1913220.220785__1.220785	1262882__R5N211__BN519_01033
ERR1913220.220789__1.220789	1681__I3WJE6__A0008_0093
ERR1913220.220800__1.220800	1262911__R6GSH8__BN557_00939
ERR1913220.220841__1.220841	1680__A0A374QDL4__LMG18897_0432
ERR1913220.221333__1.221333	39486__R6S2M6__DXD84_14080
ERR1913220.221468__1.221468	1624__A0A1V9T5S1__SMXD51_03478
ERR1913220.221764__1.221764	1550024__A0A0W7TSP5__ASJ35_06140
ERR1913220.221779__1.221779	1160721__R6T2A6__RBI_I00395
ERR1913220.221858__1.221858	820__A0A3E4IGA7__DXD40_07110
ERR1913220.222052__1.222052	1099853__U5CBZ4__NSB1T_00950
ERR1913220.222289__1.222289	357276__I9FU68__HMPREF1063_00557
ERR1913220.222262__1.222262	820__A7V470__HMPREF1072_02076
ERR1913220.222311__1.222311	1550024__G9RUM6__TQ39_16565
ERR1913220.222445__1.222445	1624__A0A385XNA7__FC55_GL001200
ERR1913220.222483__1.222483	1680__A0A0B5BL52__ERS852382_00480
ERR1913220.222665__1.222665	820__A0A173YYG4__evgS_3
ERR1913220.222618__1.222618	1262911__R6HN81__BN557_00921
ERR1913220.222621__1.222621	1897011__A0A1Q6RIQ1__BHW41_00490
ERR1913220.222924__1.222924	2173__A5UND4__Msm_1507
ERR1913220.222945__1.222945	239935__R7E524__CXT91_06180
ERR1913220.222971__1.222971	301301__A0A395VBD1__bcrC_1
ERR1913220.222972__1.222972	1628085__A0A2U1BGZ9__C7386_101169
ERR1913220.223028__1.223028	1624__A0A2A2WXQ2__B6U40_07920
ERR1913220.223036__1.223036	151539__GeneID:920455
ERR1913220.223133__1.223133	357276__I9FGI3__EL88_12385
ERR1913220.223540__1.223540	1550024__G9RXY7__TQ39_00100
ERR1913220.223628__1.223628	1318__A0A3E4U9G0__HMPREF8577_1391
ERR1913220.223683__1.223683	820__A0A3E4WA06__ERS852554_03404
ERR1913220.223822__1.223822	1624__Q1WRR9__A8C45_02380
ERR1913220.223936__1.223936	1099853__R7DKZ4__NSB1T_03875
ERR1913220.223939__1.223939	1262911__R6H0U7__BN557_01104
ERR1913220.223951__1.223951	301301__A0A395VBY5__yfiN_1
ERR1913220.224060__1.224060	1624__A0A089QHX5__B6U57_03750
ERR1913220.224092__1.224092	1393034__GCA_001552785.1_00510
ERR1913220.224248__1.224248	239935__A0A2N8HT44__CXT84_11035
ERR1913220.224458__1.224458	1681__I3WJE2__DXC50_07465
ERR1913220.224574__1.224574	1263006__R6LZM6__BN515_01762
ERR1913220.224599__1.224599	1262911__R6H212__BN557_01031
ERR1913220.225071__1.225071	1262882__R5N5S3__BN519_00085
ERR1913220.225230__1.225230	97478__A0A1G9WMR4__FC47_GL001894
ERR1913220.225243__1.225243	820__A0A374QGD2__ERS852421_02382
ERR1913220.225202__1.225202	1624__A0A385XLN9__B6U57_06820
ERR1913220.225420__1.225420	1624__C2EH71__B6U57_06835
ERR1913220.225466__1.225466	239935__A0A2N8IQX1__dnaA
ERR1913220.225611__1.225611	158787__A0A087DI26__BBSC_1484
ERR1913220.225836__1.225836	74426__rpoC
ERR1913220.225857__1.225857	1099853__G9S842__NSB1T_03200
ERR1913220.225870__1.225870	823__A0A355XN73__DXC05_07000
ERR1913220.226163__1.226163	820__R9HUV5__HMPREF2141_02582
ERR1913220.226336__1.226336	1263107__GCA_000436995.1_00188
ERR1913220.226341__1.226341	820__R9I3Q7__HMPREF1072_01668
ERR1913220.226485__1.226485	2107999__A0A133PDV8__LJCM1130_18250
ERR1913220.226508__1.226508	301301__G2SZ66__RHOM_00485
ERR1913220.226679__1.226679	1160721__R6T2Y3__RBI_II00189
ERR1913220.226688__1.226688	1262882__R5MZZ3__BN519_00482
ERR1913220.226730__1.226730	2173__A0A1D2WXI2__METSMIF1_02140
ERR1913220.226735__1.226735	1318__A0A3E4U8W0__trpD
ERR1913220.226871__1.226871	1624__A0A1Y0F760__A8C41_09030
ERR1913220.226964__1.226964	820__A0A374Q854__HMPREF1073_03281
ERR1913220.227415__1.227415	33039__A0A173VTT4__frdB_1
ERR1913220.227468__1.227468	40518__R5DUU0__DXD93_03985
ERR1913220.227640__1.227640	301302__A0A0M6WB38__ERS852420_00286
ERR1913220.227600__1.227600	999425__K8MPX7__HMPREF9186_01023
ERR1913220.227788__1.227788	172901__A0A2U1ARD1__C8D82_12318
ERR1913220.227979__1.227979	820__A0A173WUD7__DXB48_08055
ERR1913220.228100__1.228100	1263006__R6LRT3__BN515_00657
ERR1913220.228365__1.228365	239935__A0A2N8HL91__holA
ERR1913220.228482__1.228482	169435__A0A174S576__DXC40_16550
ERR1913220.228501__1.228501	40518__R5DU28__DXD86_07960
ERR1913220.228534__1.228534	357276__A0A076IS26__EL88_15950
ERR1913220.228960__1.228960	1263006__R6LTP2__BN515_01199
ERR1913220.229038__1.229038	357276__A0A076IYG1__B5F95_22465
ERR1913220.228993__1.228993	820__A0A174M9V5__M093_0237
ERR1913220.229003__1.229003	1432052__A0A1E3AEL2__fabR
ERR1913220.229048__1.229048	158787__A0A087DBN9__BBSC_0298
ERR1913220.229055__1.229055	357276__C3R9Y0__HMPREF1064_01889
ERR1913220.229109__1.229109	1680__A0A173W5Z2__DXC53_01290
ERR1913220.229468__1.229468	151536__GeneID:920321
ERR1913220.229492__1.229492	1263006__R6ML98__BN515_00848
ERR1913220.229546__1.229546	1262911__R6H1K1__BN557_00910
ERR1913220.229572__1.229572	820__R9I3N4__M093_0061
ERR1913220.229579__1.229579	1262911__R6GLA5__BN557_01456
ERR1913220.229633__1.229633	158787__A0A087DBN4__BBSC_0303
ERR1913220.229706__1.229706	1262924__R7HRJ9__BN585_00557
ERR1913220.229856__1.229856	820__A0A173WUD7__DXB48_08055
ERR1913220.229888__1.229888	820__A0A3E4G3J9__ERS852459_02265
ERR1913220.229957__1.229957	1262911__R6GSH8__BN557_00939
ERR1913220.230175__1.230175	214856__R6XS46__ERS852559_00812
ERR1913220.230138__1.230138	626933__H1DGX0__HMPREF9449_01506
ERR1913220.230143__1.230143	214856__A0A174CRY5__ERS852559_01060
ERR1913220.230470__1.230470	1550024__G9RP65__ASJ35_11645
ERR1913220.230607__1.230607	1263006__R6LMG0__BN515_01213
ERR1913220.230691__1.230691	1624__A0A385XMR5__A8C41_04885
ERR1913220.230758__1.230758	820__A7VAS1__HMPREF2141_03259
ERR1913220.230779__1.230779	1263000__R5EQI3__BN466_00125
ERR1913220.230871__1.230871	820__A0A3E4GA19__SAMN05444418_10562
ERR1913220.230952__1.230952	357276__A0A0M1VZP2__IY41_00605
ERR1913220.230996__1.230996	1262911__R6GPI7__BN557_00907
ERR1913220.231007__1.231007	239935__A0A2N8HUU6__CXT90_06150
ERR1913220.231035__1.231035	820__A0A174VD39__DXD90_12235
ERR1913220.231053__1.231053	820__A0A139JRS5__HMPREF1073_04025
ERR1913220.231247__1.231247	820__A0A174DZ97__SAMN05444418_101240
ERR1913220.231340__1.231340	40518__R5DZE2__DXD86_07400
ERR1913220.231488__1.231488	1263006__R6LK25__BN515_01963
ERR1913220.231510__1.231510	820__A0A139K8N1__ERS852554_00951
ERR1913220.231545__1.231545	1965576__A0A1Y4LEK6__B5F19_12555
ERR1913220.231597__1.231597	1624__A0A0F7PRZ8__BHF65_02010
ERR1913220.231736__1.231736	745368__A0A1T4YA51__SAMN02745178_02876
ERR1913220.231951__1.231951	1262911__R6GPI7__BN557_00907
ERR1913220.232016__1.232016	820__A0A139KJ23__celCCA
ERR1913220.232122__1.232122	1262911__R6GTZ4__BN557_01440
ERR1913220.232138__1.232138	1263000__R5EKG2__BN466_02040
ERR1913220.232394__1.232394	1263006__R6LT09__BN515_01035
ERR1913220.232440__1.232440	820__A0A139K4W1__M093_0353
ERR1913220.232546__1.232546	820__A0A374MMF0__HMPREF1073_03811
ERR1913220.232671__1.232671	61171__B9Y3G3__HOLDEFILI_00338
ERR1913220.232788__1.232788	39496__A5Z778__EUBVEN_01561
ERR1913220.232803__1.232803	39492__D4MJF3__EUBSIR_02248
ERR1913220.232891__1.232891	46503__R6WWH2__DXB85_00365
ERR1913220.233095__1.233095	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913220.233422__1.233422	239935__A0A2N8INZ4__CXU08_03560
ERR1913220.233648__1.233648	40518__R5DQJ0__DXD93_03790
ERR1913220.233782__1.233782	820__R9I324__HMPREF2141_02414
ERR1913220.234075__1.234075	820__R9HVB9__DXC68_17285
ERR1913220.234268__1.234268	1160721__W0U3K4__RBI_I00339
ERR1913220.234538__1.234538	1262911__R6HHR1__BN557_01622
ERR1913220.234790__1.234790	2047__A0A2A8D8X9__B8W87_08955
ERR1913220.234967__1.234967	78535__A0A380M958__NCTC1080_01999
ERR1913220.235126__1.235126	1550024__G9RNX0__ASJ35_11770
ERR1913220.235216__1.235216	357276__A6L053__ABI39_04450
ERR1913220.235237__1.235237	357276__B6W5Q7__DXD47_13945
ERR1913220.235559__1.235559	820__A0A173W419__DXC68_17760
ERR1913220.235767__1.235767	820__A0A174A6K0__M093_0079
ERR1913220.235850__1.235850	1147152__GeneID:14181982
ERR1913220.235927__1.235927	69974__A0A090FEL8__MPL3365_630008
ERR1913220.236090__1.236090	820__A0A3E4WCX3__C801_02709
ERR1913220.236175__1.236175	820__I9J701__ERS852510_01809
ERR1913220.236259__1.236259	40518__R5DS23__DXD86_01715
ERR1913220.236223__1.236223	39491__A0A396FS17__envC
ERR1913220.236372__1.236372	33043__A0A173WWJ5__ERS852386_00339
ERR1913220.236441__1.236441	820__A0A174EV88__HMPREF1072_01427
ERR1913220.236457__1.236457	357276__A0A0M1VZG8__HMPREF1064_01655
ERR1913220.236773__1.236773	100886__E2NRN8__CATMIT_01243
ERR1913220.237037__1.237037	88431__A6BDR0__DXB16_07995
ERR1913220.237149__1.237149	1262911__R6GPM2__BN557_00937
ERR1913220.237076__1.237076	1681__A0A0H2P0H2__IF232_0799
ERR1913220.237247__1.237247	301301__A0A395VA65__eutA
ERR1913220.237473__1.237473	1680__R5GRA4__ERS852382_01548
ERR1913220.237571__1.237571	823__A0A395YVY3__ERS852513_03204
ERR1913220.237663__1.237663	1263006__R6LMI6__BN515_01248
ERR1913220.237743__1.237743	1262911__R6GHG8__BN557_01301
ERR1913220.237936__1.237936	818__A0A3E5HWN5__BSIG_3066
ERR1913220.238064__1.238064	820__A0A3E4G8F8__ERS852421_01645
ERR1913220.238091__1.238091	301301__G2SZM0__ERS852391_00594
ERR1913220.238167__1.238167	394340__obg
ERR1913220.238275__1.238275	823__C7XBX3__HMPREF1059_03212
ERR1913220.238374__1.238374	357276__A0A076ISD9__EL88_07480
ERR1913220.238335__1.238335	379329__GeneID:4397434
ERR1913220.238346__1.238346	820__A0A078S4C2__ERS417307_00828
ERR1913220.238348__1.238348	1680__A0A374QDL4__LMG18897_0432
ERR1913220.238441__1.238441	239935__R6JAS2__CXU02_10725
ERR1913220.238799__1.238799	301301__G2T5S1__gsiA_1
ERR1913220.238913__1.238913	1263006__R6LL18__BN515_02215
ERR1913220.238985__1.238985	1262882__R5MYX5__BN519_00333
ERR1913220.239026__1.239026	1263000__R5EXT3__BN466_02213
ERR1913220.239118__1.239118	40518__R5DXI4__DXD86_07420
ERR1913220.239179__1.239179	820__A7V470__HMPREF1072_02076
ERR1913220.239280__1.239280	1550024__A0A0W7TT94__TQ39_11150
ERR1913220.239367__1.239367	1263107__GCA_000436995.1_00097
ERR1913220.239455__1.239455	239935__A0A139TPG3__CXT86_08810
ERR1913220.239691__1.239691	1681__E3EQP9__DXD45_08580
ERR1913220.239934__1.239934	1160721__W0U5X6__RBI_I01796
ERR1913220.240143__1.240143	40518__R5DSI5__fieF
ERR1913220.240263__1.240263	1624__A0A385XQT6__B6U46_02745
ERR1913220.240346__1.240346	552398__F4XCR9__HMPREF0866_01636
ERR1913220.240489__1.240489	1550024__G9RWC0__ASJ35_03560
ERR1913220.240870__1.240870	1262911__R6H1D2__BN557_00855
ERR1913220.240906__1.240906	1624__A0A089QAN9__A8C37_09565
ERR1913220.241153__1.241153	820__R9I324__HMPREF2141_02414
ERR1913220.241190__1.241190	239935__A0A2N8IL82__CXU02_11740
ERR1913220.241288__1.241288	1624__A0A385XKA7__A8C38_03140
ERR1913220.241643__1.241643	1160721__R6TBU4__BHW50_04080
ERR1913220.241647__1.241647	357276__I9FTR0__HMPREF1065_02861
ERR1913220.241774__1.241774	239935__B2UQB8__CXT86_01740
ERR1913220.241887__1.241887	40520__A0A3E5ENE1__DXB81_01340
ERR1913220.242004__1.242004	1263006__R6LMV4__BN515_01401
ERR1913220.242012__1.242012	1624__A0A385XRF9__A8C35_05800
ERR1913220.242015__1.242015	1965586__A0A1Y4HU56__B5F34_03425
ERR1913220.242111__1.242111	823__A0A395YZG9__M092_4358
ERR1913220.242193__1.242193	1584__A0A0R1G6S2__B506_02274
ERR1913220.242670__1.242670	227942__H4GL88__FC60_GL001571
ERR1913220.242677__1.242677	2173__A0A1D2WU72__BK798_05485
ERR1913220.242739__1.242739	820__A0A174LJB2__HMPREF1072_04112
ERR1913220.242915__1.242915	1263006__R6LGA5__BN515_00076
ERR1913220.242922__1.242922	227942__H4GIQ1__PS3_5750
ERR1913220.242941__1.242941	40518__R5DT16__ysdC_2
ERR1913220.242988__1.242988	239935__A0A2N8INZ4__CXU08_03560
ERR1913220.243147__1.243147	1550024__G9RW43__TQ39_06925
ERR1913220.243284__1.243284	1550024__G9RWR2__TQ39_04385
ERR1913220.243339__1.243339	357276__D1JYA3__BSEG_00395
ERR1913220.243502__1.243502	1624__A0A2A2WXT9__B6U48_02735
ERR1913220.243525__1.243525	239935__A0A2N8ILG3__CXT93_10135
ERR1913220.243632__1.243632	1681__A0A0H3E8L0__DXD31_03505
ERR1913220.243871__1.243871	1262882__R5N3T7__BN519_01188
ERR1913220.243913__1.243913	1550024__G9RWQ7__ASJ35_03880
ERR1913220.244045__1.244045	1550024__G9RWW8__TQ39_12140
ERR1913220.244303__1.244303	1099853__G9S842__NSB1T_03200
ERR1913220.244563__1.244563	100886__A0A174K8B7__lolD_6
ERR1913220.244603__1.244603	1263006__R6LZ17__BN515_01569
ERR1913220.244610__1.244610	40518__R5DQJ0__DXD93_03790
ERR1913220.244711__1.244711	39486__B0G2A7__DXB12_08805
ERR1913220.244742__1.244742	301301__A0A395V4X8__ERS852391_01546
ERR1913220.244794__1.244794	239935__A0A2N8IF99__lpdA
ERR1913220.244858__1.244858	820__A0A174A6K0__M093_0079
ERR1913220.244913__1.244913	820__A0A374Q8T2__DXB64_16190
ERR1913220.245027__1.245027	853__A0A2A6Z8X1__FPR_03410
ERR1913220.245029__1.245029	301301__A0A395VC27__adaA_5
ERR1913220.245048__1.245048	1550024__G9RP69__ASJ35_11625
ERR1913220.245055__1.245055	1550024__A0A3B9WKW6__TQ39_07780
ERR1913220.245073__1.245073	999425__K8MVH8__HMPREF9186_01073
ERR1913220.245378__1.245378	820__A0A3E4WA06__ERS852554_03404
ERR1913220.245380__1.245380	357276__I9R994__BACDOR_04044
ERR1913220.245546__1.245546	671232__E6J1X6__SanJ4206_1245c
ERR1913220.245485__1.245485	1262911__R6GMS3__BN557_00579
ERR1913220.245495__1.245495	562__P0A9K7__AUQ29_19530
ERR1913220.245561__1.245561	1262882__R5MY46__BN519_00355
ERR1913220.245579__1.245579	1262911__R6GS70__BN557_00854
ERR1913220.245658__1.245658	1432052__A0A1E3AFY7__BEI62_24780
ERR1913220.245710__1.245710	39486__B0G868__DXD84_08295
ERR1913220.245746__1.245746	301302__R5UUM8__ganB_1
ERR1913220.245824__1.245824	1318__T0TTB0__strH_1
ERR1913220.246659__1.246659	78258__E6K0X2__HMPREF0620_0458
ERR1913220.246784__1.246784	239935__A0A2N8HMQ8__pgsA
ERR1913220.246804__1.246804	820__A7VAS1__HMPREF2141_03259
ERR1913220.247075__1.247075	1550024__A0A0D8J0K7__TQ39_06245
ERR1913220.247167__1.247167	357276__I9QBT7__BSEG_03340
ERR1913220.247198__1.247198	1680__A0A087DLC6__C8077_00815
ERR1913220.247317__1.247317	820__A0A173YYG4__evgS_3
ERR1913220.247424__1.247424	1262882__R5MKV8__BN519_01281
ERR1913220.247612__1.247612	562__P0AF07__motB_2
ERR1913220.247582__1.247582	820__A7VAS1__HMPREF2141_03259
ERR1913220.247670__1.247670	1262911__R6H1M1__BN557_00925
ERR1913220.247718__1.247718	1263107__GCA_000436995.1_00126
ERR1913220.247771__1.247771	823__A0A078SYK6__DXB14_02485
ERR1913220.247741__1.247741	1160721__W0U3P2__RBI_I00640
ERR1913220.247755__1.247755	328814__GCA_004558275.1_00035
ERR1913220.247860__1.247860	1689__D2Q5Y0__B5790_0985
ERR1913220.247865__1.247865	1263006__R6LLP6__BN515_01041
ERR1913220.247883__1.247883	1262882__R5MN65__BN519_00771
ERR1913220.248042__1.248042	1262911__R6GT76__BN557_01150
ERR1913220.248206__1.248206	1262911__R6GPG6__BN557_00329
ERR1913220.248383__1.248383	458033__GCA_001482755.1_02203
ERR1913220.248759__1.248759	1681__A0A292G7V3__BBIF_1776
ERR1913220.248842__1.248842	853__A0A2A7B1Y7__C7K05_11930
ERR1913220.248928__1.248928	40518__R5DZ88__DXD93_06320
ERR1913220.248938__1.248938	39488__A0A173SK21__EUBHAL_00799
ERR1913220.249132__1.249132	1680__A0A173YLK6__BAD_0868
ERR1913220.249184__1.249184	1262911__R6GPB1__BN557_00837
ERR1913220.249401__1.249401	239935__A0A2N8IYM5__CXT84_05130
ERR1913220.249433__1.249433	1624__A0A385XQY9__DBP87_04400
ERR1913220.249471__1.249471	301302__R5UK77__M72_08681
ERR1913220.249588__1.249588	820__A0A3E4G3J9__ERS852459_02265
ERR1913220.249524__1.249524	562__P63202__gadW
ERR1913220.249525__1.249525	1624__A0A385XPP5__A8C55_08405
ERR1913220.249630__1.249630	820__A0A3E4G826__C801_01612
ERR1913220.249666__1.249666	1263006__R6LGA5__BN515_00076
ERR1913220.249733__1.249733	820__A0A139KG60__M094_2679
ERR1913220.249922__1.249922	239935__A0A2N8IMD6__CXU03_05585
ERR1913220.250184__1.250184	1262882__R5MIQ8__BN519_01036
ERR1913220.250263__1.250263	1262882__R5N2E1__BN519_01117
ERR1913220.250502__1.250502	1263006__R6MKS5__BN515_00067
ERR1913220.250699__1.250699	745368__A0A1T4Y5S3__SAMN02745178_02736
ERR1913220.250774__1.250774	301301__A0A395V4S5__RHOM_15770
ERR1913220.250812__1.250812	1681__A0A0M4LK35__LMG13200_0631
ERR1913220.251157__1.251157	40518__R5DS23__DXD86_01715
ERR1913220.251173__1.251173	562__P0A9K7__AUQ29_19530
ERR1913220.251249__1.251249	820__A7V9F9__B5G17_14640
ERR1913220.251364__1.251364	820__A0A3E4VZT7__DXB48_16145
ERR1913220.251933__1.251933	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913220.252097__1.252097	1624__A0A1Y0F760__A8C41_09030
ERR1913220.252281__1.252281	301302__R5V7D6__tagA
ERR1913220.252393__1.252393	1550024__A0A0W7TVC5__TQ39_00835
ERR1913220.252577__1.252577	671232__F9P6A4__HMPREF0813_01696
ERR1913220.252613__1.252613	1262911__R6HJT1__BN557_00291
ERR1913220.252957__1.252957	1550024__G9RNX5__ASJ35_11740
ERR1913220.253022__1.253022	1584__F0HWV0__LDBUL1519_00118
ERR1913220.253027__1.253027	820__A7UYX8__DXD40_11635
ERR1913220.253047__1.253047	1624__A0A1V9TK42__DBP89_06320
ERR1913220.253055__1.253055	1263006__R6LS76__BN515_00750
ERR1913220.253099__1.253099	820__R9HP61__DXC91_01090
ERR1913220.253145__1.253145	239935__A0A2N8IVR0__CXT87_07115
ERR1913220.253523__1.253523	39492__A0A174ZYY6__EUBSIR_02510
ERR1913220.253685__1.253685	1262882__R5MPY4__BN519_01128
ERR1913220.253687__1.253687	823__A0A174VHT1__DHP27_04775
ERR1913220.253738__1.253738	1262882__R5N211__BN519_01033
ERR1913220.253980__1.253980	820__A0A396EUV1__B5G17_06465
ERR1913220.254049__1.254049	69974__A0A090FEL8__MPL3365_630008
ERR1913220.254168__1.254168	301301__A0A395VAJ9__RHOM_06125
ERR1913220.254394__1.254394	544580__F9PM19__BKH24_04675
ERR1913220.254441__1.254441	649756__A0A173TB83__HMPREF0369_01758
ERR1913220.254541__1.254541	1628085__A0A2U1B7S9__C7386_11634
ERR1913220.254558__1.254558	1262911__R6HIJ8__BN557_01742
ERR1913220.254711__1.254711	151539__GeneID:920458
ERR1913220.254804__1.254804	46503__R6WVI6__HMPREF1060_03610
ERR1913220.254779__1.254779	357276__A0A076IP73__BACDOR_04237
ERR1913220.254975__1.254975	239935__A0A2N8ILG3__CXT93_10135
ERR1913220.255022__1.255022	239935__A0A2N8IRL2__CXU06_01170
ERR1913220.255023__1.255023	820__A0A3E4VZS7__DXC07_14435
ERR1913220.255268__1.255268	1632__E3C9J5__HMPREF9102_0099
ERR1913220.255469__1.255469	552398__F4XCR9__HMPREF0866_01636
ERR1913220.255611__1.255611	357276__B6W1Y1__BSEG_03960
ERR1913220.255787__1.255787	301302__R5UIY5__M72_17461
ERR1913220.255823__1.255823	239935__A0A2N8IVR0__CXT87_07115
ERR1913220.255856__1.255856	1263006__R6LKA3__BN515_00205
ERR1913220.255867__1.255867	1262911__R6HG37__BN557_01341
ERR1913220.256190__1.256190	1299998__GCA_001494635.1_00302
ERR1913220.256198__1.256198	1681__A0A0H2P0H2__IF232_0799
ERR1913220.256288__1.256288	820__A0A139KJR5__M093_4469
ERR1913220.256430__1.256430	40518__A0A1C6H8C4__DXD93_02535
ERR1913220.256447__1.256447	1263006__R6M176__BN515_00274
ERR1913220.256472__1.256472	40518__R5DV58__htrA
