ERR1913201.51__1.51	39488__A0A174DGL6__EUBHAL_03262
ERR1913201.298043__1.298043	39496__A5Z7B0__EUBVEN_01593
ERR1913201.298112__1.298112	1680__A0A087DHN0__AL0462_1532
ERR1913201.298147__1.298147	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913201.298495__1.298495	820__A0A139KIL9__DXC68_05945
ERR1913201.298518__1.298518	357276__A0A0K2HKT7__B5F95_21090
ERR1913201.298545__1.298545	820__A0A3E5E0T0__ERS852554_00312
ERR1913201.298605__1.298605	357276__A0A076J4B1__DXD47_03445
ERR1913201.298636__1.298636	1262743__R5C054__BN727_01980
ERR1913201.298984__1.298984	216816__A0A3D8U3T8__DXD41_09580
ERR1913201.299043__1.299043	821__A0A174T998__DXB82_10860
ERR1913201.299063__1.299063	1262743__R5C054__BN727_01980
ERR1913201.299231__1.299231	820__A0A3E4WA06__ERS852554_03404
ERR1913201.299329__1.299329	1680__R5GRA4__ERS852382_01548
ERR1913201.299435__1.299435	820__A0A374QGD2__ERS852421_02382
ERR1913201.299440__1.299440	821__D4VD59__BHV80_04260
ERR1913201.299474__1.299474	357276__U6R8F9__DXD47_04035
ERR1913201.299475__1.299475	39491__A0A395ZFH9__ERS852417_01193
ERR1913201.299514__1.299514	1150298__A0A174N5I7__ERS852498_01953
ERR1913201.299644__1.299644	544645__A0A3D2DVR9__DXC42_05855
ERR1913201.299665__1.299665	28116__A0A078Q626__HMPREF1070_02735
ERR1913201.299595__1.299595	821__A0A174NSU0__BVU_3144
ERR1913201.299736__1.299736	301302__R5UTG6__M72_25801
ERR1913201.299924__1.299924	1262920__R5KD76__BN467_01465
ERR1913201.299959__1.299959	166486__D4KZ95__ERS852572_03327
ERR1913201.300254__1.300254	39492__D4JX87__EUBSIR_00361
ERR1913201.300318__1.300318	357276__B6W1Y1__BSEG_03960
ERR1913201.300388__1.300388	216816__B3DP82__DVB78_09640
ERR1913201.300478__1.300478	820__A0A139K2N9__DXB62_12420
ERR1913201.300519__1.300519	301302__A0A0M6WGI7__M72_20931
ERR1913201.300548__1.300548	853__A8S882__C4N23_07600
ERR1913201.300612__1.300612	371601__A0A174G502__SAMN05216250_10758
ERR1913201.300687__1.300687	820__R9I3Q7__HMPREF1072_01668
ERR1913201.300729__1.300729	39492__D4JS46__EUBSIR_02553
ERR1913201.301161__1.301161	301302__A0A173R6H4__M72_21671
ERR1913201.301254__1.301254	821__E5UY21__C800_02204
ERR1913201.301290__1.301290	410072__A0A3E4GPD6__DXD67_10205
ERR1913201.301420__1.301420	88431__A0A174A952__ugpA_1
ERR1913201.301531__1.301531	371601__A0A174GPX4__BN890_15170
ERR1913201.301590__1.301590	301302__A0A0M6WKN8__M72_27741
ERR1913201.301576__1.301576	818__D7I8A4__C799_02600
ERR1913201.301718__1.301718	853__C7H7F8__yccM_1
ERR1913201.301759__1.301759	823__A0A395YZG9__M092_4358
ERR1913201.301822__1.301822	216816__C2GW26__chb
ERR1913201.302008__1.302008	821__A0A0P0LFP6__C5Z04_13890
ERR1913201.302380__1.302380	33039__R6P9Z4__ERS852502_00114
ERR1913201.302543__1.302543	166486__D4KZH8__ERS852572_00419
ERR1913201.302629__1.302629	544644__GCA_001915615.1_02239
ERR1913201.302580__1.302580	28116__I8YA52__M088_0798
ERR1913201.302674__1.302674	820__A0A3E4PYB0__yejM
ERR1913201.302693__1.302693	821__A0A395UNT8__DXD64_15275
ERR1913201.302778__1.302778	649756__A0A173S8W9__DCR88_01065
ERR1913201.302853__1.302853	821__A0A174K302__CUU_3129
ERR1913201.302890__1.302890	28118__F9ZAB2__SAMEA44545918_01079
ERR1913201.302891__1.302891	410072__C0BC88__DXD67_11180
ERR1913201.302895__1.302895	39491__A0A3E4E7C5__DXB69_03255
ERR1913201.303071__1.303071	820__A0A3E4FZM1__adaA_2
ERR1913201.303104__1.303104	820__R9HP61__DXC91_01090
ERR1913201.303113__1.303113	821__A0A174T998__DXB82_10860
ERR1913201.303369__1.303369	360807__A0A396AFY2__ERS852444_00427
ERR1913201.303326__1.303326	166486__D4L457__ROSINTL182_07087
ERR1913201.303413__1.303413	357276__A0A076IS26__EL88_15950
ERR1913201.303478__1.303478	387090__S0F668__BACCOPRO_01215
ERR1913201.303421__1.303421	47678__R5UER2__CGC64_00710
ERR1913201.303456__1.303456	649756__L1Q2A2__CL2_18610
ERR1913201.303461__1.303461	301302__R5UK77__M72_08681
ERR1913201.303588__1.303588	818__Q8A5L9__BJP75_000955
ERR1913201.303627__1.303627	47678__A5ZHP9__bioD1
ERR1913201.303678__1.303678	820__A0A078S4C2__ERS417307_00828
ERR1913201.303956__1.303956	820__A0A3E4VXP2__yesR
ERR1913201.303979__1.303979	39491__A0A173VYV1__DXC13_02710
ERR1913201.304058__1.304058	820__A0A3E4GE89__DXB48_02565
ERR1913201.304034__1.304034	360807__C0FZM4__RIL183_06871
ERR1913201.304175__1.304175	820__A7VAS1__HMPREF2141_03259
ERR1913201.304143__1.304143	357276__U6R8F9__DXD47_04035
ERR1913201.304221__1.304221	166486__D4KUK5__thiM
ERR1913201.304279__1.304279	33039__A0A174XLA4__araR
ERR1913201.304354__1.304354	47678__R5U558__ERS852558_02232
ERR1913201.304619__1.304619	821__A6L0C7__ERS852556_03520
ERR1913201.304600__1.304600	39486__G1WX25__DXD84_13390
ERR1913201.304715__1.304715	47678__R5UG96__C5Z00_12630
ERR1913201.304865__1.304865	820__A0A3E4VXP2__yesR
ERR1913201.304793__1.304793	357276__B6W1Y5__IY41_11405
ERR1913201.304877__1.304877	821__A6L0C7__ERS852556_03520
ERR1913201.304943__1.304943	818__A0A3E5HN77__HMPREF2534_00072
ERR1913201.304968__1.304968	166486__D4L0E1__ypdA_4
ERR1913201.305030__1.305030	166486__D4L1P3__ERS852572_00760
ERR1913201.305033__1.305033	1680__R5GPK0__B0487_0620
ERR1913201.305071__1.305071	39492__D4MMZ8__ERS852540_01407
ERR1913201.305085__1.305085	649756__A0A173SJN7__fgs_1
ERR1913201.305098__1.305098	301302__A0A173TWC1__phoR_7
ERR1913201.305101__1.305101	410072__A0A174J5N8__sbcC
ERR1913201.305160__1.305160	820__A0A174LJB2__HMPREF1072_04112
ERR1913201.305137__1.305137	47678__R5U7X8__C5Z00_18270
ERR1913201.305227__1.305227	301302__R5VFV9__ERS852420_01969
ERR1913201.305267__1.305267	39491__C4Z9K0__DXD95_07445
ERR1913201.305352__1.305352	823__A0A395Z066__M091_0663
ERR1913201.305668__1.305668	216816__R5MZK3__DPC6320_1630
ERR1913201.305847__1.305847	821__A0A396F9T7__M097_3427
ERR1913201.305877__1.305877	1262743__R5C054__BN727_01980
ERR1913201.305909__1.305909	47678__R5USS6__C5Z00_03300
ERR1913201.306020__1.306020	1150298__A0A174SLE6__mlc_1
ERR1913201.306040__1.306040	357276__I9FRW5__B5F95_21685
ERR1913201.306055__1.306055	820__A7V470__HMPREF1072_02076
ERR1913201.306275__1.306275	47678__R5UER2__CGC64_00710
ERR1913201.306308__1.306308	821__A0A395UNT8__DXD64_15275
ERR1913201.306329__1.306329	821__I9R3W6__DXC16_12455
ERR1913201.306350__1.306350	28118__R6F3G8__NCTC10826_00049
ERR1913201.306485__1.306485	487174__K0WWT0__DIT83_10190
ERR1913201.306491__1.306491	357276__I8VLL2__HMPREF1065_03395
ERR1913201.306617__1.306617	357276__C3RDQ5__HMPREF1065_03827
ERR1913201.306601__1.306601	357276__B6VXX7__HMPREF1063_02683
ERR1913201.306703__1.306703	301302__R5VCU3__cbiK_2
ERR1913201.306726__1.306726	357276__B6VYT9__HMPREF1063_05030
ERR1913201.306811__1.306811	820__A0A396EUV1__B5G17_06465
ERR1913201.306765__1.306765	1628085__A0A374VQ14__C7386_10713
ERR1913201.307058__1.307058	329854__A0A3E4IQB9__DXD57_00720
ERR1913201.307156__1.307156	357276__C3R9Y0__HMPREF1064_01889
ERR1913201.307203__1.307203	39486__B0G468__DXB12_12780
ERR1913201.307513__1.307513	820__A0A396EUV1__B5G17_06465
ERR1913201.307537__1.307537	487174__K0WUZ1__DIT83_10815
ERR1913201.307643__1.307643	818__A0A3E5HXH0__NCTC13706_02166
ERR1913201.307706__1.307706	820__A0A3E4RUC4__DHU98_02635
ERR1913201.307825__1.307825	820__A0A139K8X8__DXC80_17665
ERR1913201.307836__1.307836	74426__rpoC
ERR1913201.307939__1.307939	1262743__R5C054__BN727_01980
ERR1913201.308016__1.308016	47678__A5ZGW9__HMPREF1061_01068
ERR1913201.308018__1.308018	301302__R5VFU2__xynA1
ERR1913201.308711__1.308711	47678__R5U7P3__DXB67_08985
ERR1913201.308721__1.308721	821__A0A0P0LH09__ERS852457_03390
ERR1913201.308730__1.308730	821__A0A174WBC9__ERS852556_03145
ERR1913201.308747__1.308747	823__D0TGE9__ERS852429_03294
ERR1913201.308828__1.308828	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913201.308997__1.308997	166486__D4L449__ROSINTL182_08802
ERR1913201.309013__1.309013	821__A0A3E4KIM1__M097_3660
ERR1913201.309032__1.309032	820__A0A3E4G3J9__ERS852459_02265
ERR1913201.309057__1.309057	821__A0A0P0M405__DXC02_15075
ERR1913201.309183__1.309183	823__A6LER2__ERS852513_00365
ERR1913201.309263__1.309263	357276__I9R994__BACDOR_04044
ERR1913201.309302__1.309302	47678__R5U558__ERS852558_02232
ERR1913201.309342__1.309342	820__A0A174QT76__B5G17_18060
ERR1913201.309345__1.309345	47678__R5U8P0__DW706_15950
ERR1913201.309350__1.309350	329854__A0A3E4KPG4__DXD27_21195
ERR1913201.309424__1.309424	47678__R5UMC3__CGC64_08380
ERR1913201.309482__1.309482	166486__D4KY48__gmr_5
ERR1913201.309561__1.309561	387090__S0FAH0__BACCOPRO_02960
ERR1913201.309659__1.309659	216816__F9XZU5__BBL306_1935
ERR1913201.309851__1.309851	820__A0A374Q854__HMPREF1073_03281
ERR1913201.309852__1.309852	821__A0A0P0M4G3__M099_3092
ERR1913201.310157__1.310157	33039__R6P9Z4__ERS852502_00114
ERR1913201.310180__1.310180	216816__D6DCL7__BFS26_02835
ERR1913201.310241__1.310241	853__A0A2A6Z8X1__FPR_03410
ERR1913201.310329__1.310329	216816__A0A2U0BT35__BL1206_1860
ERR1913201.310458__1.310458	216816__E8MW20__DD674_07905
ERR1913201.310494__1.310494	1680__A0A174BEE7__BSTER_1311
ERR1913201.310439__1.310439	310298__B3JQJ5__BACCOP_04231
ERR1913201.310447__1.310447	820__A0A396EUU8__luxQ_3
ERR1913201.310600__1.310600	301302__A0A173TSN3__ERS852420_02365
ERR1913201.310657__1.310657	46503__K5ZBF7__DD461_15285
ERR1913201.310655__1.310655	371601__C3QXN6__ERS852396_01055
ERR1913201.310768__1.310768	47678__A5ZI88__BACCAC_02617
ERR1913201.311073__1.311073	47678__R5U878__ERS852494_03300
ERR1913201.311111__1.311111	745368__A0A1T4Y576__SAMN02745178_02757
ERR1913201.311091__1.311091	28026__A0A396BA17__DXC83_09095
ERR1913201.311192__1.311192	28026__A0A267WLB0__tenA
ERR1913201.311269__1.311269	821__A0A0P0M2J4__DXD46_10295
ERR1913201.311390__1.311390	357276__A0A076J8M3__ABI39_13695
ERR1913201.311484__1.311484	410072__A0A174AQ98__COPCOM_03377
ERR1913201.311485__1.311485	821__A0A174NM17__lacZ_6
ERR1913201.311489__1.311489	166486__C7GAX1__ERS852572_03188
ERR1913201.311529__1.311529	820__A0A174TRB5__DXD40_11305
ERR1913201.311631__1.311631	821__A0A0P0LNX8__ERS852509_03015
ERR1913201.311658__1.311658	39488__C0F0P8__EUBHAL_03272
ERR1913201.311774__1.311774	47678__R5UXJ2__DW706_08325
ERR1913201.311985__1.311985	46228__B5CPY7__DXD17_03515
ERR1913201.311997__1.311997	166486__D4L1P3__ERS852572_00760
ERR1913201.312046__1.312046	1150298__R7JXP3__ERS852535_00653
ERR1913201.312116__1.312116	1735__B7CCH2__EUBIFOR_01900
ERR1913201.312209__1.312209	166486__C7GE31__ganB_3
ERR1913201.312287__1.312287	1680__R5GR82__AD0028_0014
ERR1913201.312357__1.312357	357276__A0A0K2HGB7__HMPREF1064_01580
ERR1913201.312490__1.312490	820__R9I2U8__DXC68_09590
ERR1913201.312533__1.312533	821__I9R3W6__DXC16_12455
ERR1913201.312589__1.312589	1735__B7CCF3__EUBIFOR_01880
ERR1913201.312668__1.312668	33039__D4M1B1__ERS852577_03971
ERR1913201.312737__1.312737	853__A0A174C5M1__CGS58_04460
ERR1913201.312763__1.312763	40520__A0A174IJ62__DXC87_06795
ERR1913201.312767__1.312767	28026__C0BRH8__DXA79_08795
ERR1913201.312881__1.312881	820__A0A174Q0F0__DXB48_08080
ERR1913201.312912__1.312912	47678__R5U9M8__CGC64_07665
ERR1913201.312963__1.312963	74426__nifJ
ERR1913201.313104__1.313104	46503__K5ZW30__HMPREF1060_00319
ERR1913201.313135__1.313135	387090__S0F4F9__BACCOPRO_00490
ERR1913201.313182__1.313182	821__A0A395VIK7__BVU_1225
ERR1913201.313332__1.313332	39491__A0A395V464__EUBREC_1509
ERR1913201.313503__1.313503	301302__A0A173T3P5__ERS852420_01836
ERR1913201.313508__1.313508	46503__R6XDP9__ERS852463_01752
ERR1913201.313540__1.313540	39492__D4JTH4__ERS852540_00702
ERR1913201.313643__1.313643	454155__F3QTG9__HMPREF9442_01487
ERR1913201.313689__1.313689	820__A7V049__DXB48_04755
ERR1913201.313692__1.313692	166486__D4KWL4__ROSINTL182_06052
ERR1913201.313753__1.313753	301302__A0A0M6WYL6__ERS852420_02628
ERR1913201.313825__1.313825	821__A6L0C7__ERS852556_03520
ERR1913201.313838__1.313838	166486__D4KXZ7__ROSINTL182_05052
ERR1913201.313848__1.313848	1262740__R7CXJ5__BN666_02402
ERR1913201.313887__1.313887	360807__C0FU45__ERS852392_01591
ERR1913201.313910__1.313910	820__A0A3E4RU03__M093_0563
ERR1913201.313911__1.313911	821__A6L0C7__ERS852556_03520
ERR1913201.313945__1.313945	820__A0A3E4G826__C801_01612
ERR1913201.313988__1.313988	39491__A0A396FPV7__ERS852580_01177
ERR1913201.314071__1.314071	39496__A5Z5I2__EUBVEN_00963
ERR1913201.314154__1.314154	357276__I9G0T7__BACDOR_04266
ERR1913201.314275__1.314275	357276__I9QBT7__BSEG_03340
ERR1913201.314395__1.314395	821__A0A174RA14__M099_1655
ERR1913201.314428__1.314428	216816__Q8G464__BFS25_05925
ERR1913201.314433__1.314433	820__A0A396EXA7__DXB37_15530
ERR1913201.314460__1.314460	216816__E8MW20__DD674_07905
ERR1913201.314474__1.314474	166486__D4L334__mcp3_1
ERR1913201.314500__1.314500	166486__D4KZ24__ROSINTL182_05766
ERR1913201.314550__1.314550	47678__R5USS6__C5Z00_03300
ERR1913201.314610__1.314610	357276__A0A076J8M3__ABI39_13695
ERR1913201.314811__1.314811	310298__B3JQJ5__BACCOP_04231
ERR1913201.314831__1.314831	821__A0A397WGD6__M098_0084
ERR1913201.314927__1.314927	166486__D4KRN2__ERS852572_01816
ERR1913201.314958__1.314958	853__A0A3E2U7E6__ERS852582_01640
ERR1913201.314963__1.314963	820__A0A139K5A6__DXB48_12175
ERR1913201.314983__1.314983	357276__B6W1Y5__IY41_11405
ERR1913201.314996__1.314996	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913201.315030__1.315030	823__A0A174U5E4__BDI_3390
ERR1913201.315045__1.315045	47678__R5UAF6__ERS852494_02966
ERR1913201.315053__1.315053	823__K6AMD2__B5F32_04565
ERR1913201.315078__1.315078	823__C7XA51__BDI_0499
ERR1913201.315103__1.315103	1472761__GCA_002159295.1_00742
ERR1913201.315164__1.315164	410072__A0A174M202__COPCOM_00641
ERR1913201.315187__1.315187	28026__A0A174CDN1__DXC83_09100
ERR1913201.315205__1.315205	39491__A0A395ZHV7__ykvU
ERR1913201.315252__1.315252	821__A0A174NM17__lacZ_6
ERR1913201.315258__1.315258	820__A0A3E4IGA7__DXD40_07110
ERR1913201.315299__1.315299	1318__A0A3E4U4G4__CYK20_06290
ERR1913201.315338__1.315338	357276__I9FTR0__HMPREF1065_02861
ERR1913201.315450__1.315450	360807__C0FXX7__ERS852392_02700
ERR1913201.315597__1.315597	28026__A0A395ZKQ2__DXC83_07645
ERR1913201.315666__1.315666	28026__A0A174ANJ0__BPS1E_1565
ERR1913201.315783__1.315783	853__A0A173SUU8__CGS54_06840
ERR1913201.315913__1.315913	853__A0A2A7B9I6__DW855_13690
ERR1913201.316120__1.316120	1862668__GCA_001945525.1_00026
ERR1913201.316121__1.316121	454155__F3QQI3__HMPREF9442_00425
ERR1913201.316124__1.316124	821__A0A396F9T7__M097_3427
ERR1913201.316207__1.316207	1628085__A0A2U1BHS7__C7386_101494
ERR1913201.316244__1.316244	1680__A0A173Y6N7__yhaH
ERR1913201.316311__1.316311	818__A0A174V5M6__BT_1963
ERR1913201.316365__1.316365	357276__I8WPR6__EL88_06675
ERR1913201.316370__1.316370	357276__A0A076IIL0__EL88_03065
ERR1913201.316479__1.316479	820__A7V049__DXB48_04755
ERR1913201.316516__1.316516	821__A0A0P0L8F8__ERS852509_03705
ERR1913201.316553__1.316553	630129__A0A395ZPX1__BKAS_0816
ERR1913201.316582__1.316582	39486__B0G7T2__DORFOR_02337
ERR1913201.316781__1.316781	821__A0A3E4WAR6__DXD64_10735
ERR1913201.316787__1.316787	821__A0A0P0M2J4__DXD46_10295
ERR1913201.316883__1.316883	820__A0A174A6K0__M093_0079
ERR1913201.317014__1.317014	820__A0A374Q854__HMPREF1073_03281
ERR1913201.317264__1.317264	1150298__A0A174T452__kfoC_3
ERR1913201.317236__1.317236	322505__group_105
ERR1913201.317237__1.317237	47678__A5ZHJ2__DXB67_12405
ERR1913201.317370__1.317370	820__A0A3E4G3J9__ERS852459_02265
ERR1913201.317445__1.317445	1550024__G9RX51__TQ39_04720
ERR1913201.317840__1.317840	821__I9R3W6__DXC16_12455
ERR1913201.317819__1.317819	1680__A7A7Z9__AAX71_05385
ERR1913201.317850__1.317850	301302__R5UM41__M72_15921
ERR1913201.317895__1.317895	823__D7IV95__DXC05_09565
ERR1913201.317947__1.317947	821__A0A395UNT8__DXD64_15275
ERR1913201.317922__1.317922	28116__C3QMW4__BACOVA_04147
ERR1913201.318008__1.318008	821__A0A0P0LFP6__C5Z04_13890
ERR1913201.317977__1.317977	820__A0A3E4VZY4__ERS852554_01211
ERR1913201.318068__1.318068	649756__L1PU84__ERS852571_01295
ERR1913201.318071__1.318071	357276__D1JY58__BACDOR_04277
ERR1913201.318027__1.318027	821__A0A174JYD3__ERS852457_02610
ERR1913201.318089__1.318089	216816__B7GNA5__BL71B_04625
ERR1913201.318094__1.318094	357276__A0A1Y4PPG2__B5F95_02305
ERR1913201.318107__1.318107	1150298__R7JTG8__smf
ERR1913201.318254__1.318254	47678__R5U8S9__DW706_06260
ERR1913201.318262__1.318262	357276__B6VW91__BACDOR_01584
ERR1913201.318316__1.318316	301302__R5UPN9__M72_25701
ERR1913201.318360__1.318360	28118__F9Z759__B5F93_05180
ERR1913201.318397__1.318397	357276__I9FRW5__B5F95_21685
ERR1913201.318549__1.318549	821__C3RB94__DXC03_15585
ERR1913201.318578__1.318578	853__A0A2A7A4A9__C4N21_14870
ERR1913201.318726__1.318726	39491__R6TQ09__DXC13_03010
ERR1913201.318747__1.318747	360807__A0A173ZAC7__ROSEINA2194_01522
ERR1913201.318866__1.318866	820__A7UYG6__M094_0070
ERR1913201.319061__1.319061	821__A0A3E4KIM1__M097_3660
ERR1913201.319209__1.319209	853__A0A174C5M1__CGS58_04460
ERR1913201.319260__1.319260	43675__D2NR22__DI558_11220
ERR1913201.319288__1.319288	371601__D7K8P3__SAMN05216250_10395
ERR1913201.319347__1.319347	39491__A0A396FUZ3__phoR_1
ERR1913201.319360__1.319360	1150298__R7JPI7__cotI
ERR1913201.319451__1.319451	46503__R6WRM8__HMPREF1060_03046
ERR1913201.319460__1.319460	1680__A0A0B5BIU5__BSTER_0145
ERR1913201.319586__1.319586	357276__A0A076ITU4__EL88_22160
ERR1913201.319641__1.319641	33039__A0A174XW11__RTO_07780
ERR1913201.319826__1.319826	357276__D1JZM4__HMPREF1065_01278
ERR1913201.319744__1.319744	853__C7H1R8__DW905_06675
ERR1913201.319830__1.319830	74426__rpoC
ERR1913201.319846__1.319846	166486__D4L402__ROSINTL182_05182
ERR1913201.319888__1.319888	853__R6QDR1__C4N27_08170
ERR1913201.319943__1.319943	39491__A0A396FNP1__DXD95_06025
ERR1913201.320199__1.320199	360807__A0A173VUT6__RIL183_10071
ERR1913201.320206__1.320206	166486__C7GCP5__ROSINTL182_07683
ERR1913201.320217__1.320217	47678__R5V127__HMPREF1061_04334
ERR1913201.320237__1.320237	39491__C4ZHS4__EUR_24420
ERR1913201.320267__1.320267	46503__R6Y0Q3__DCY29_15880
ERR1913201.320408__1.320408	1680__A0A173W5Z2__DXC53_01290
ERR1913201.320439__1.320439	357276__B6VW91__BACDOR_01584
ERR1913201.320459__1.320459	552398__F4XCQ4__HMPREF0866_01621
ERR1913201.320543__1.320543	166486__D4KUC4__arcB_1
ERR1913201.320637__1.320637	1262743__R5C054__BN727_01980
ERR1913201.320648__1.320648	216816__A0A2I1IYC5__BLNIAS_00571
ERR1913201.320887__1.320887	28118__F9ZAB2__SAMEA44545918_01079
ERR1913201.320967__1.320967	216816__A0A0M0VKE6__BL0626
ERR1913201.321001__1.321001	39491__A0A395UZZ5__htpG_1
ERR1913201.321056__1.321056	74426__infB
ERR1913201.321088__1.321088	1628085__A0A396Q9R7__C7386_10872
ERR1913201.321189__1.321189	166486__D4KMI6__ERS852572_01515
ERR1913201.321166__1.321166	39486__B0G1X2__DXC93_11150
ERR1913201.321269__1.321269	310298__B3JQJ5__BACCOP_04231
ERR1913201.321387__1.321387	745368__A0A1T4WEV8__SAMN02745178_00491
ERR1913201.321442__1.321442	410072__C0B8D2__DXD67_01675
ERR1913201.321690__1.321690	820__A0A139KIL9__DXC68_05945
ERR1913201.321666__1.321666	216816__B3DQ11__APC1466_1528
ERR1913201.321814__1.321814	166486__D4KWN4__ERS852572_01865
ERR1913201.321892__1.321892	821__E5UMZ6__BVU_1450
ERR1913201.321971__1.321971	218538__C9LNE0__GCWU000321_01061
ERR1913201.322123__1.322123	1680__A0A0B5BL52__ERS852382_00480
ERR1913201.322154__1.322154	46503__R6WTP2__HMPREF1078_03512
ERR1913201.322241__1.322241	821__C3RB94__DXC03_15585
ERR1913201.322285__1.322285	47678__R5USR9__HMPREF1061_01404
ERR1913201.322450__1.322450	820__R9HP61__DXC91_01090
ERR1913201.322513__1.322513	387090__S0FCI9__BACCOPRO_03388
ERR1913201.322556__1.322556	74426__group_4851
ERR1913201.322561__1.322561	116085__D4J9P0__DW747_03470
ERR1913201.322714__1.322714	39492__D4MJF3__EUBSIR_02248
ERR1913201.322765__1.322765	1735__B7CEC3__EUBIFOR_02567
ERR1913201.322837__1.322837	74426__group_4808
ERR1913201.322915__1.322915	166486__D4L457__ROSINTL182_07087
ERR1913201.322950__1.322950	310298__B3JQJ5__BACCOP_04231
ERR1913201.323014__1.323014	820__A0A374Q854__HMPREF1073_03281
ERR1913201.322929__1.322929	357276__I9FGI3__EL88_12385
ERR1913201.323025__1.323025	649756__A0A174Q8Z0__mtlD_4
ERR1913201.323106__1.323106	821__A0A0P0LH09__ERS852457_03390
ERR1913201.323124__1.323124	39491__A0A395UYM9__DXC13_07980
ERR1913201.323130__1.323130	301302__R5UM41__M72_15921
ERR1913201.323075__1.323075	1680__A0A0C2YNK5__BADO_0780
ERR1913201.323149__1.323149	39486__B0G8E4__HMPREF9457_00475
ERR1913201.323186__1.323186	487174__K0WV13__DIT83_10890
ERR1913201.323187__1.323187	357276__A0A076IS26__EL88_15950
ERR1913201.323228__1.323228	387661__A7AHF8__PRABACTJOHN_00803
ERR1913201.323234__1.323234	360807__A0A0M6WUG1__ERS852392_00028
ERR1913201.323312__1.323312	821__I9R3W6__DXC16_12455
ERR1913201.323276__1.323276	823__A0A355XGQ3__prmC
ERR1913201.323289__1.323289	820__A0A3E4VXP2__yesR
ERR1913201.323346__1.323346	357276__A0A076INK2__BSEG_04225
ERR1913201.323381__1.323381	301302__A0A0M6WWK6__M72_13961
ERR1913201.323521__1.323521	853__A8S882__C4N23_07600
ERR1913201.323565__1.323565	39488__A0A285PP42__cobQ
ERR1913201.323703__1.323703	166486__D4L3K7__ERS852572_00904
ERR1913201.323761__1.323761	820__A0A3E4WCC2__lptB_1
ERR1913201.323831__1.323831	820__A0A174R952__DXB48_02570
ERR1913201.323900__1.323900	47678__R5UES3__CGC64_00760
ERR1913201.323910__1.323910	820__A7V049__DXB48_04755
ERR1913201.323937__1.323937	39491__C4Z9K7__EUBREC_0050
ERR1913201.323960__1.323960	214856__I3YMC8__ERS852447_02666
ERR1913201.324118__1.324118	33039__A0A174ZHW3__ERS852424_00452
ERR1913201.324305__1.324305	371601__C3R2J2__ERS852396_04353
ERR1913201.324313__1.324313	853__A8SCP3__C4N26_07960
ERR1913201.324465__1.324465	47678__R5UAI1__BACCAC_01922
ERR1913201.324397__1.324397	556259__I0PXW0__BSGG_5187
ERR1913201.324566__1.324566	853__A0A2J4JL53__CRH10_10795
ERR1913201.324751__1.324751	47678__R5UPZ8__ERS852494_01752
ERR1913201.324820__1.324820	821__E5UY21__C800_02204
ERR1913201.324902__1.324902	1262921__R5LNZ2__BN473_01749
ERR1913201.324945__1.324945	33039__D4M0J9__ERS852577_03924
ERR1913201.325030__1.325030	301302__A0A0M6W9I4__M72_19871
ERR1913201.325071__1.325071	387090__S0F587__BACCOPRO_00096
ERR1913201.325306__1.325306	301302__R5UQ67__M72_23121
ERR1913201.325329__1.325329	301302__A0A0M6WKN8__M72_27741
ERR1913201.325367__1.325367	820__A0A174VD39__DXD90_12235
ERR1913201.326056__1.326056	818__A0A139L1D5__BT_2967
ERR1913201.326318__1.326318	39491__A0A173VH71__ERS852497_01827
ERR1913201.326451__1.326451	357276__I9R994__BACDOR_04044
ERR1913201.326827__1.326827	410072__A0A174HCW3__ERS852574_00529
ERR1913201.326857__1.326857	821__A0A078R9Y9__M097_2119
ERR1913201.326895__1.326895	28026__A0A072MUU6__DXD87_08375
ERR1913201.326935__1.326935	357276__I9QPN0__B5F95_09195
ERR1913201.327077__1.327077	820__A7VAS1__HMPREF2141_03259
ERR1913201.327122__1.327122	357276__G5SMD3__BSEG_02959
ERR1913201.327335__1.327335	818__A0A3E5HWN5__BSIG_3066
ERR1913201.327338__1.327338	818__A0A174TT69__SAMN02910322_02680
ERR1913201.327399__1.327399	387090__S0F9K2__BACCOPRO_02271
ERR1913201.327371__1.327371	410072__C0BBS7__ERS852525_00851
ERR1913201.327373__1.327373	216816__A0A1D7MV89__EK5BL_04715
ERR1913201.327490__1.327490	853__A0A173YYY4__DWZ04_09420
ERR1913201.327665__1.327665	46228__V8BQP5__HMPREF1202_02378
ERR1913201.327621__1.327621	820__A0A139K4T0__ERS852510_03146
ERR1913201.327727__1.327727	357276__A0A076IXE0__HMPREF1064_04364
ERR1913201.327778__1.327778	357276__I8WEZ6__BACDOR_02323
ERR1913201.327820__1.327820	823__A0A174PDQ0__DXC05_08200
ERR1913201.327910__1.327910	357276__A0A0K2HI25__DXD47_04465
ERR1913201.327860__1.327860	357276__I9FRW5__B5F95_21685
ERR1913201.327867__1.327867	47678__R5U6B9__BACCAC_01372
ERR1913201.328086__1.328086	33039__D4M1A7__RTO_02350
ERR1913201.328112__1.328112	39492__D4JTG7__EUBSIR_00572
ERR1913201.328118__1.328118	818__Q8A3I3__HMPREF2534_00068
ERR1913201.328227__1.328227	357276__A0A076IRV2__BACDOR_02822
ERR1913201.328625__1.328625	301302__A0A173RJJ7__ERS852420_00620
