ERR1913218.204__1.204	357276__I9FTR0__HMPREF1065_02861
ERR1913218.139156__1.139156	1358__T0VND1__BN927_00201
ERR1913218.139414__1.139414	820__A0A078STJ8__DXC68_04690
ERR1913218.139459__1.139459	446660__GCA_003428235.1_01715
ERR1913218.139469__1.139469	227942__A0A0R1VGH7__FC60_GL001602
ERR1913218.139551__1.139551	1550024__A0A0D8IY45__ASJ35_05575
ERR1913218.139685__1.139685	820__A7VAR9__ERS852421_00197
ERR1913218.139687__1.139687	712124__F9EE69__HMPREF9062_0741
ERR1913218.139764__1.139764	357276__A0A076IKP7__BACDOR_04239
ERR1913218.139785__1.139785	1680__A1A132__B0703_0684
ERR1913218.139797__1.139797	1624__A0A1V9TRY5__A8C48_02280
ERR1913218.139799__1.139799	357276__A0A076IYG1__B5F95_22465
ERR1913218.139955__1.139955	820__A0A1Q6IDS8__chtA
ERR1913218.139996__1.139996	239935__A0A2N8HT44__CXT84_11035
ERR1913218.140150__1.140150	1262882__R5MEN2__BN519_00200
ERR1913218.140170__1.140170	1550024__A0A0D8J3J4__TQ39_01275
ERR1913218.140188__1.140188	1550024__A0A0D8J0Y8__ASJ35_08680
ERR1913218.140352__1.140352	301301__A0A395VGH2__dltB_2
ERR1913218.140431__1.140431	40518__R5DP61__DXD86_06345
ERR1913218.140595__1.140595	1655__J3JK05__HMPREF1129_2465
ERR1913218.140517__1.140517	820__A0A139K4W5__HMPREF2141_02394
ERR1913218.140635__1.140635	39492__D4JUN0__EUBSIR_02705
ERR1913218.140695__1.140695	820__A0A3E4PYB0__yejM
ERR1913218.140969__1.140969	301301__A0A395V8M7__ERS852391_00967
ERR1913218.141035__1.141035	820__A0A139K5E7__DXC68_09550
ERR1913218.141119__1.141119	357276__I9QWD4__DXD47_15075
ERR1913218.141173__1.141173	1262911__R6GTZ0__BN557_01437
ERR1913218.141678__1.141678	116085__D4JAK3__DW747_10755
ERR1913218.141783__1.141783	820__A0A374Q854__HMPREF1073_03281
ERR1913218.141952__1.141952	1263006__R6MLE8__BN515_00891
ERR1913218.141928__1.141928	820__A0A174F0C1__nreB
ERR1913218.141939__1.141939	820__A0A3E4IGA7__DXD40_07110
ERR1913218.141940__1.141940	1624__A0A385XM87__B6U56_08985
ERR1913218.141980__1.141980	301301__A0A395VG51__RHOM_05870
ERR1913218.142216__1.142216	28116__E5CCI1__HMPREF1070_04782
ERR1913218.142334__1.142334	1262882__R5N3H1__BN519_01121
ERR1913218.142858__1.142858	1263006__R6MMN2__BN515_01202
ERR1913218.143038__1.143038	40518__R5DYT8__mscS
ERR1913218.143077__1.143077	1550024__G9RTW4__TQ39_08265
ERR1913218.143083__1.143083	78258__I8J8L8__HMPREF9017_00461
ERR1913218.143211__1.143211	239935__R6JWJ7__CXT94_02580
ERR1913218.143471__1.143471	1262882__R5MM10__BN519_01679
ERR1913218.143586__1.143586	1550024__A0A3B9WIA4__TQ39_14495
ERR1913218.143740__1.143740	1680__A0A173W5Z2__DXC53_01290
ERR1913218.143943__1.143943	1680__A0A173Y6N7__yhaH
ERR1913218.144102__1.144102	357276__I8WML9__DXD47_10570
ERR1913218.144250__1.144250	78258__E6JZJ3__A200_04184
ERR1913218.144378__1.144378	40518__R5DTJ1__DXD86_03635
ERR1913218.144352__1.144352	357276__A0A0K2HDV9__DXD47_02600
ERR1913218.144505__1.144505	175950__GeneID:955698
ERR1913218.144535__1.144535	1550024__A0A3B9WI73__ASJ35_03410
ERR1913218.144557__1.144557	28118__F9Z5N6__SAMEA44545918_01718
ERR1913218.144661__1.144661	40518__R5DYT8__mscS
ERR1913218.144702__1.144702	1550024__G9RTN6__TQ39_08170
ERR1913218.144666__1.144666	357276__B6W1Y1__BSEG_03960
ERR1913218.144689__1.144689	100886__A0A174M1T3__yijE
ERR1913218.144730__1.144730	1262746__R5SS80__BN750_02125
ERR1913218.144996__1.144996	1624__A0A1V9TK42__DBP89_06320
ERR1913218.145144__1.145144	820__A0A174VD39__DXD90_12235
ERR1913218.145164__1.145164	100886__A0A174HS89__CATMIT_02596
ERR1913218.145298__1.145298	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913218.145320__1.145320	39496__A5Z8E2__EUBVEN_01983
ERR1913218.145264__1.145264	40518__R5DME2__DXD86_07315
ERR1913218.145361__1.145361	40518__R5DXI4__DXD86_07420
ERR1913218.145395__1.145395	1263006__R6LYS1__BN515_01485
ERR1913218.145494__1.145494	1550024__A0A3B9WEL2__TQ39_11090
ERR1913218.145550__1.145550	379329__GeneID:4397438
ERR1913218.145806__1.145806	1262911__R6GKW2__BN557_01379
ERR1913218.145883__1.145883	357276__A0A1Y3ZD00__B5F00_16730
ERR1913218.145992__1.145992	1628085__A0A396MQV4__C7386_1213
ERR1913218.146009__1.146009	1550024__A0A3B9WEL2__TQ39_11090
ERR1913218.146073__1.146073	1550024__G9RX78__TQ39_04855
ERR1913218.146290__1.146290	40518__R5DLU0__fmt
ERR1913218.146407__1.146407	1550024__A0A0D8J179__ASJ35_09245
ERR1913218.146529__1.146529	1680__A0A3E4SB79__BAD_1517
ERR1913218.146618__1.146618	1358__T0W0A3__KF146_1148
ERR1913218.146596__1.146596	671232__F9PAV6__C6A33_00320
ERR1913218.146891__1.146891	1263006__R6LND6__BN515_01578
ERR1913218.147130__1.147130	100884__E7GC98__HMPREF9488_02390
ERR1913218.147132__1.147132	1633__C2ESM6__HMPREF0549_0462
ERR1913218.147289__1.147289	158787__A0A087D3N7__BBSC_2510
ERR1913218.147426__1.147426	239935__A0A2N8I8X8__B5G29_00185
ERR1913218.147447__1.147447	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913218.147450__1.147450	671232__A0A0P0NA85__ANG1_1263
ERR1913218.147401__1.147401	552398__T5S086__HMPREF0866_01580
ERR1913218.147682__1.147682	2108523__A0A2P2F7H5__LAWASA_1993
ERR1913218.147772__1.147772	114416__GeneID:951175
ERR1913218.147871__1.147871	820__A0A396EUU8__luxQ_3
ERR1913218.148028__1.148028	357276__A0A076ISD9__EL88_07480
ERR1913218.148036__1.148036	1263006__R6LWN3__BN515_00808
ERR1913218.148120__1.148120	820__R9HXK9__DXB62_08265
ERR1913218.148324__1.148324	357276__D1K3K9__EL88_23995
ERR1913218.148398__1.148398	820__A0A3E4W9W8__C801_01069
ERR1913218.148358__1.148358	820__A0A3E4WCX3__C801_02709
ERR1913218.148369__1.148369	821__I9R3W6__DXC16_12455
ERR1913218.148481__1.148481	40518__R5DU74__RBATCC27255_00707
ERR1913218.148558__1.148558	820__A0A3E5BMG9__DXD40_05130
ERR1913218.148703__1.148703	357276__I9R994__BACDOR_04044
ERR1913218.148736__1.148736	301301__A0A395V5B0__ERS852391_02078
ERR1913218.149081__1.149081	1263006__R6LH13__BN515_01020
ERR1913218.149082__1.149082	1358__H5SWP5__ML8_0138
ERR1913218.149275__1.149275	1263107__GCA_000436995.1_00021
ERR1913218.149714__1.149714	1897011__A0A1Q6RIP3__BHW41_00615
ERR1913218.149915__1.149915	1382__C8W7J7__Apar_1008
ERR1913218.149904__1.149904	1262882__R5N5S3__BN519_00085
ERR1913218.150167__1.150167	820__A0A139KJR5__M093_4469
ERR1913218.150391__1.150391	1624__A0A385XKU0__A8C52_05550
ERR1913218.150535__1.150535	239935__A0A2N8HPS5__Amuc_0950
ERR1913218.150718__1.150718	301301__A0A395VDR8__ERS852391_00554
ERR1913218.150817__1.150817	823__A0A174LWY0__lepB
ERR1913218.151099__1.151099	239935__A0A2N8IIB9__CXU04_01970
ERR1913218.151225__1.151225	820__A0A3E4XDK3__ERS852554_03650
ERR1913218.151251__1.151251	1099853__U5CLG5__NSB1T_01565
ERR1913218.151355__1.151355	2173__A0A1D2WWE0__METSMIF1_03349
ERR1913218.151392__1.151392	39488__A0A174CJ01__DXD91_03830
ERR1913218.151445__1.151445	820__A0A174Q0F0__DXB48_08080
ERR1913218.151586__1.151586	239935__B2URG6__CXU02_00030
ERR1913218.151568__1.151568	1263006__R6LH13__BN515_01020
ERR1913218.151840__1.151840	1263006__R6MLU5__BN515_01014
ERR1913218.151958__1.151958	40518__R5DT16__ysdC_2
ERR1913218.152041__1.152041	1099853__G9S433__NSB1T_07535
ERR1913218.152310__1.152310	1550024__A0A0D8IYM8__ASJ35_18670
ERR1913218.152836__1.152836	1099853__U5CJQ4__NSB1T_11640
ERR1913218.152865__1.152865	246787__A0A0P0FSC0__cytR_2
ERR1913218.152925__1.152925	1680__A7A7Z9__AAX71_05385
ERR1913218.153068__1.153068	239935__A0A2N8I368__CXT95_04550
ERR1913218.153074__1.153074	1262882__R5MFY4__BN519_00529
ERR1913218.153319__1.153319	1550024__A0A0W7TN61__ASJ35_14460
ERR1913218.153342__1.153342	1263030__R5CUH1__BN705_00716
ERR1913218.153509__1.153509	239935__A0A2N8IMC3__CXT96_03840
ERR1913218.153519__1.153519	1680__A0A173XYA2__B0703_0121
ERR1913218.153553__1.153553	1680__A7A7Z9__AAX71_05385
ERR1913218.153649__1.153649	820__A0A139K5A6__DXB48_12175
ERR1913218.153674__1.153674	88431__A0A174EMW0__thiD_1
ERR1913218.153847__1.153847	820__A0A173YYG4__evgS_3
ERR1913218.153980__1.153980	626933__H1DGX0__HMPREF9449_01506
ERR1913218.154083__1.154083	1680__A0A087DHN0__AL0462_1532
ERR1913218.154204__1.154204	823__D7IXG8__ERS852560_01232
ERR1913218.154371__1.154371	28118__F9Z5N6__SAMEA44545918_01718
ERR1913218.154637__1.154637	1624__F7QS04__B6U57_01015
ERR1913218.154983__1.154983	214856__R6XTZ7__ERS852447_02314
ERR1913218.155148__1.155148	357276__A0A076IS26__EL88_15950
ERR1913218.155162__1.155162	1624__A0A1V9QAM4__B6U60_01025
ERR1913218.155112__1.155112	820__A0A1T4IYF4__mprA_1
ERR1913218.155234__1.155234	1624__A0A2A2WYS4__B6U58_00720
ERR1913218.155294__1.155294	239935__A0A2N8IU14__ADH72_05655
ERR1913218.155318__1.155318	820__A0A139JRH8__HMPREF2141_04326
ERR1913218.155516__1.155516	818__A0A139KKJ5__Btheta7330_00072
ERR1913218.155556__1.155556	329854__R7DRH1__DXD27_19880
ERR1913218.155612__1.155612	301301__A0A395VAR4__yieL
ERR1913218.155702__1.155702	39488__C0EXE9__ERS852578_02128
ERR1913218.155971__1.155971	216816__A0A087AWM6__APK78_00765
ERR1913218.156033__1.156033	820__A0A139KIL9__DXC68_05945
ERR1913218.156087__1.156087	301302__R5UM41__M72_15921
ERR1913218.156170__1.156170	1262882__R5MEN2__BN519_00200
ERR1913218.156203__1.156203	1099853__U5CMJ0__NSB1T_01275
ERR1913218.156392__1.156392	158787__A0A087DIL2__BBSC_1000
ERR1913218.156398__1.156398	1596__A0A087QCE9__CCE30_01405
ERR1913218.156516__1.156516	820__A0A139JUD3__DXC91_19380
ERR1913218.156689__1.156689	239935__A0A2N8I9N0__CXT97_09915
ERR1913218.156816__1.156816	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913218.156823__1.156823	357276__I9FU68__HMPREF1063_00557
ERR1913218.156875__1.156875	1262992__R5D3W6__BN795_00533
ERR1913218.156895__1.156895	1681__A0A0E2ZRM9__DXC70_08430
ERR1913218.156911__1.156911	820__A0A374Q854__HMPREF1073_03281
ERR1913218.157112__1.157112	357276__C3R9Y0__HMPREF1064_01889
ERR1913218.157115__1.157115	1263107__GCA_000436995.1_00069
ERR1913218.157196__1.157196	74426__yccM
ERR1913218.157534__1.157534	158787__A0A087DJC7__BSCA_0659
ERR1913218.157660__1.157660	1624__A0A089QIM1__A8C54_08170
ERR1913218.157700__1.157700	1308__A0A2S4DZ34__DID82_04655
ERR1913218.157702__1.157702	88431__A0A3D0EZF7__DXB16_08475
ERR1913218.157926__1.157926	820__A0A139K2N9__DXB62_12420
ERR1913218.158153__1.158153	712121__L1PFU6__HMPREF9061_01551
ERR1913218.158321__1.158321	1262882__R5MT08__BN519_01706
ERR1913218.158463__1.158463	1262992__R5DCG2__BN795_00315
ERR1913218.158521__1.158521	1550024__G9RP65__ASJ35_11645
ERR1913218.158524__1.158524	820__A0A3E4WA06__ERS852554_03404
ERR1913218.158594__1.158594	357276__A0A174L570__GV66_05720
ERR1913218.158761__1.158761	40518__R5DNI6__RBATCC27255_00844
ERR1913218.158856__1.158856	88431__A0A174EMW0__thiD_1
ERR1913218.158889__1.158889	820__A0A3E4W7J3__DXC07_00330
ERR1913218.158920__1.158920	1262911__R6H2J2__BN557_01228
ERR1913218.159031__1.159031	39492__D4JWT3__ERS852540_00301
ERR1913218.159189__1.159189	1262911__R6H0U7__BN557_01104
ERR1913218.159213__1.159213	1550024__G9RQ59__TQ39_14360
ERR1913218.159236__1.159236	1550024__A0A0D8IYB1__TQ39_12130
ERR1913218.159271__1.159271	116085__D4J859__DW747_06365
ERR1913218.159398__1.159398	371601__D0TQQ4__BN891_30250
ERR1913218.159433__1.159433	40518__R5DNV4__RBATCC27255_00359
ERR1913218.159726__1.159726	1739309__A0A1E9A691__HMPREF2805_02050
ERR1913218.159749__1.159749	1535__A7VPV3__CLOLEP_00580
ERR1913218.159885__1.159885	1318__E8K6L0__NCTC12854_01784
ERR1913218.160037__1.160037	40520__A5ZTQ5__ERS852533_02495
ERR1913218.160046__1.160046	1263006__R6LKC6__BN515_02058
ERR1913218.160256__1.160256	1681__A0A0H3E8L0__DXD31_03505
ERR1913218.160440__1.160440	47770__D0DK74__HMPREF0509_00362
ERR1913218.160454__1.160454	823__A6LB62__B5F32_04550
ERR1913218.160509__1.160509	820__A0A139K4T0__ERS852510_03146
ERR1913218.160921__1.160921	1263000__R5EHB0__BN466_01647
ERR1913218.161003__1.161003	1680__A0A087DSA4__B5789_0495
ERR1913218.161174__1.161174	820__A0A3E4XM43__DXC91_13960
ERR1913218.161157__1.161157	357276__C3R5C9__HMPREF1063_00213
ERR1913218.161321__1.161321	158787__A0A087D724__BSCA_2013
ERR1913218.161433__1.161433	1262911__R6GLA5__BN557_01456
ERR1913218.161476__1.161476	1624__A0A2A2XBQ4__A8C54_06390
ERR1913218.161479__1.161479	820__A0A139K5A6__DXB48_12175
ERR1913218.161580__1.161580	216816__D6DCL7__BFS26_02835
ERR1913218.161768__1.161768	158787__A0A087DBL1__BBSC_0329
ERR1913218.161873__1.161873	239935__A0A2N8IYM5__CXT84_05130
ERR1913218.161894__1.161894	820__A0A3E4WA06__ERS852554_03404
ERR1913218.161895__1.161895	357276__A0A0K2HDP3__IY41_00705
ERR1913218.162030__1.162030	544645__A0A3D2DVR9__DXC42_05855
ERR1913218.162053__1.162053	357276__B6VYT9__HMPREF1063_05030
ERR1913218.162068__1.162068	1308__V8LZ20__amtB
ERR1913218.162081__1.162081	74426__rpsS
ERR1913218.162331__1.162331	1262911__R6GPI7__BN557_00907
ERR1913218.162605__1.162605	116085__D4J693__DW747_12735
ERR1913218.162592__1.162592	301301__A0A173Z460__sunS_1
ERR1913218.162746__1.162746	158787__A0A087D7D2__BBSC_0727
ERR1913218.162750__1.162750	1263006__R6M176__BN515_00274
ERR1913218.162774__1.162774	357276__A0A174L570__GV66_05720
ERR1913218.162943__1.162943	1262911__R6GT76__BN557_01150
ERR1913218.163048__1.163048	1262882__R5MJ49__BN519_01124
ERR1913218.163156__1.163156	1550024__G9RT62__ASJ35_10800
ERR1913218.163182__1.163182	1263006__R6LMV4__BN515_01401
ERR1913218.163079__1.163079	712121__L1PMP4__HMPREF9061_00027
ERR1913218.163201__1.163201	1681__A0A0H2PP44__BBTM_02041
ERR1913218.163284__1.163284	820__A0A374Q854__HMPREF1073_03281
ERR1913218.163466__1.163466	39488__A0A173SMQ7__EUBHAL_00819
ERR1913218.163539__1.163539	1262882__R5N1T9__BN519_00804
ERR1913218.163694__1.163694	1160721__W0U2P8__RBI_I00340
ERR1913218.164123__1.164123	40520__R7DD01__ERS852533_01371
ERR1913218.164249__1.164249	167481__A0A0R1QRA6__FD29_GL000703
ERR1913218.164443__1.164443	820__A0A3E4W7J3__DXC07_00330
ERR1913218.164451__1.164451	301302__R5UK77__M72_08681
ERR1913218.164470__1.164470	165179__A0A3E5E3D6__DXC61_05750
ERR1913218.164633__1.164633	1624__A0A385XQT6__B6U46_02745
ERR1913218.164605__1.164605	116085__D4J3T3__DW747_12460
ERR1913218.164679__1.164679	1550024__A0A0D8J0L2__ASJ35_04680
ERR1913218.164738__1.164738	1262882__R5MEW7__BN519_00010
ERR1913218.164864__1.164864	394340__ifcA_18
ERR1913218.165086__1.165086	214856__I3YPR6__Alfi_2724
ERR1913218.165103__1.165103	301301__A0A395VDK3__RHOM_11670
ERR1913218.165265__1.165265	1680__A0A0C2YNK5__BADO_0780
ERR1913218.165375__1.165375	40518__R5DXW3__DXD86_07900
ERR1913218.165488__1.165488	1262911__R6GT76__BN557_01150
ERR1913218.165854__1.165854	1680__A0A0B5BL52__ERS852382_00480
ERR1913218.165886__1.165886	820__I9TWZ7__DXC80_10550
ERR1913218.165902__1.165902	1624__A0A1D7TQN3__B5G14_02985
ERR1913218.165956__1.165956	357276__D1K526__GV66_17250
ERR1913218.165964__1.165964	1624__A0A385XRF9__A8C35_05800
ERR1913218.165972__1.165972	1262924__R7HT26__BN585_00306
ERR1913218.166009__1.166009	1262911__R6GS70__BN557_00854
ERR1913218.166017__1.166017	40518__R5DQL2__RBATCC27255_00937
ERR1913218.166085__1.166085	357276__A0A0K2HJA6__DXD47_07320
ERR1913218.166255__1.166255	1263107__GCA_000436995.1_00134
ERR1913218.166274__1.166274	1624__A0A089RVX1__A8C47_04565
ERR1913218.166354__1.166354	1550024__A0A3B9WG56__TQ39_01145
ERR1913218.166423__1.166423	1624__A0A0F7PUH3__B6U60_00565
ERR1913218.166479__1.166479	1262882__R5MZQ5__BN519_00648
ERR1913218.166493__1.166493	1624__A0A089RVX1__A8C47_04565
ERR1913218.166531__1.166531	1624__A0A255VEN7__CR249_09290
ERR1913218.166600__1.166600	2173__A0A1D2WTV4__Msm_1285
ERR1913218.166893__1.166893	1262882__R5MGK3__BN519_00655
ERR1913218.167222__1.167222	820__A0A3E4G3J9__ERS852459_02265
ERR1913218.167253__1.167253	820__A0A174KKV6__DXC07_02635
ERR1913218.167506__1.167506	820__A7VAS1__HMPREF2141_03259
ERR1913218.167508__1.167508	1262911__R6HN81__BN557_00921
ERR1913218.167736__1.167736	1099853__G9S842__NSB1T_03200
ERR1913218.167915__1.167915	1262911__R6GSH8__BN557_00939
ERR1913218.167960__1.167960	1584__A0A0R2N0Q2__LDS38_04010
ERR1913218.167993__1.167993	301301__A0A395VC27__adaA_5
ERR1913218.168084__1.168084	823__A0A174PAQ4__ERS852429_04218
ERR1913218.168185__1.168185	418240__A0A173XQF2__ERS852523_01592
ERR1913218.168209__1.168209	1262992__R5CY89__BN795_01227
ERR1913218.168214__1.168214	1262882__R5MFY4__BN519_00529
ERR1913218.168221__1.168221	301302__A0A173T3P5__ERS852420_01836
ERR1913218.168225__1.168225	253839__D9VQ27__SSNG_03091
ERR1913218.168666__1.168666	1550024__G9RX78__TQ39_04855
ERR1913218.168675__1.168675	820__A0A174CK74__DXB48_07060
ERR1913218.168745__1.168745	1262911__R6H174__BN557_01246
ERR1913218.168788__1.168788	1550024__G9RTW4__TQ39_08265
ERR1913218.168859__1.168859	1263000__R5EIH8__BN466_01210
ERR1913218.168897__1.168897	1363__K2PIH9__fba
ERR1913218.169155__1.169155	1550024__A0A0D8IWE6__ASJ35_08175
ERR1913218.169134__1.169134	820__A0A174F0C1__nreB
ERR1913218.169147__1.169147	301301__A0A395VG51__RHOM_05870
ERR1913218.169342__1.169342	1262992__R5D4Q0__BN795_01630
ERR1913218.169434__1.169434	239935__R6J9Y2__CXT85_07000
ERR1913218.169548__1.169548	357276__A0A0K2HJA6__DXD47_07320
ERR1913218.169570__1.169570	820__R9I3Q7__HMPREF1072_01668
ERR1913218.169658__1.169658	1680__A0A173Y6N7__yhaH
ERR1913218.169851__1.169851	154046__D3AF04__CLOSTHATH_02188
ERR1913218.170112__1.170112	1263006__R6LMV9__BN515_01406
ERR1913218.170129__1.170129	78258__E6K2M9__HMPREF0620_1268
ERR1913218.170329__1.170329	820__A0A174VD39__DXD90_12235
ERR1913218.170361__1.170361	1680__R5GRA4__ERS852382_01548
ERR1913218.170412__1.170412	43685__GeneID:955501
ERR1913218.170487__1.170487	1550024__G9RXI8__TQ39_11495
ERR1913218.170507__1.170507	820__A0A174Q0F0__DXB48_08080
ERR1913218.170525__1.170525	2173__A5ULD0__BK798_05990
ERR1913218.170597__1.170597	1263006__R6LHU1__BN515_01203
ERR1913218.170656__1.170656	239935__B2UL21__CXT98_03395
ERR1913218.170841__1.170841	1680__R5GKP2__DXD60_06200
ERR1913218.170948__1.170948	239935__A0A2N8IRH4__CXT92_05605
ERR1913218.170949__1.170949	1624__A0A089QH34__B6U42_07040
ERR1913218.171115__1.171115	1263006__R6LR21__BN515_00462
ERR1913218.171138__1.171138	1263000__R5EGY6__BN466_00973
ERR1913218.171270__1.171270	1262882__R5MQ63__BN519_01173
ERR1913218.171238__1.171238	357276__D1JY58__BACDOR_04277
ERR1913218.171350__1.171350	853__A0A173YYY4__DWZ04_09420
ERR1913218.171388__1.171388	1160721__R6SW83__BHW50_08845
ERR1913218.171452__1.171452	69974__A0A090FEL8__MPL3365_630008
ERR1913218.171539__1.171539	1624__A0A385XKA4__A8C55_06075
ERR1913218.171552__1.171552	216816__B3DR71__CE159_04070
ERR1913218.171648__1.171648	1550024__A0A0D8IYB1__TQ39_12130
ERR1913218.171705__1.171705	820__A0A173WZS4__DXD90_10250
ERR1913218.171759__1.171759	239935__A0A139TQT9__Amuc_1197
ERR1913218.171800__1.171800	1304__A0A0A1DX26__SSAL8618_09600
ERR1913218.171902__1.171902	820__A0A374Q854__HMPREF1073_03281
ERR1913218.171953__1.171953	384638__B7APR0__BACPEC_00666
ERR1913218.172066__1.172066	1263006__R6LKC6__BN515_02058
ERR1913218.172090__1.172090	1262911__R6H074__BN557_00923
ERR1913218.172183__1.172183	1624__A0A385XMY0__HN6_01367
ERR1913218.172359__1.172359	158787__A0A087D8L8__BBSC_2095
ERR1913218.172578__1.172578	1680__A0A3E4SB79__BAD_1517
ERR1913218.172632__1.172632	1263006__R6LY93__BN515_00695
ERR1913218.172793__1.172793	1550024__A0A3B9WJX7__ASJ35_07080
ERR1913218.172823__1.172823	301302__A0A173RZU9__M72_23561
ERR1913218.172965__1.172965	820__A0A3E4WA06__ERS852554_03404
ERR1913218.173040__1.173040	820__A0A3E4VZT7__DXB48_16145
ERR1913218.173153__1.173153	28118__F9ZCN2__DF785_09230
ERR1913218.173227__1.173227	100886__E2NPA5__CATMIT_00396
ERR1913218.173348__1.173348	357276__A0A0M1VYB8__HMPREF1063_02104
ERR1913218.173356__1.173356	1263006__R6MLL2__BN515_00946
ERR1913218.173650__1.173650	1262911__R6HN81__BN557_00921
ERR1913218.173750__1.173750	357276__I8WBQ9__HMPREF1065_03212
ERR1913218.173861__1.173861	626933__H1DGX0__HMPREF9449_01506
ERR1913218.173920__1.173920	820__A0A3E4G3J9__ERS852459_02265
ERR1913218.173979__1.173979	820__R9HXK9__DXB62_08265
ERR1913218.174209__1.174209	1263006__R6LZM6__BN515_01762
ERR1913218.174314__1.174314	1262882__R5MHZ2__BN519_00742
ERR1913218.174370__1.174370	360807__A0A174F8N1__ERS852444_00648
ERR1913218.174375__1.174375	28118__F9Z667__NCTC10826_00403
ERR1913218.174459__1.174459	1550024__A0A3B9WFC7__ASJ35_09200
ERR1913218.174558__1.174558	1624__A0A385XKG9__HMPREF9269_0732
ERR1913218.174561__1.174561	1262882__R5MZ58__BN519_00525
ERR1913218.174671__1.174671	1681__K2H7F8__A0008_1255
ERR1913218.174639__1.174639	357276__A0A0K2HKT7__B5F95_21090
ERR1913218.174828__1.174828	1304__A0A0A1DX26__SSAL8618_09600
ERR1913218.174854__1.174854	820__A0A3E4W7J3__DXC07_00330
ERR1913218.174895__1.174895	1680__A0A174BH90__B0487_1759
ERR1913218.174968__1.174968	1262911__R6H054__BN557_00908
ERR1913218.175037__1.175037	301301__A0A395V6S0__dosP
ERR1913218.175572__1.175572	1262924__R7HQB3__BN585_00435
ERR1913218.175645__1.175645	820__A0A139K5E7__DXC68_09550
ERR1913218.175597__1.175597	301302__A0A0M6WJW1__ERS852420_02245
ERR1913218.175711__1.175711	1262911__R6H0S8__BN557_01079
ERR1913218.175830__1.175830	1596__A0A1V3Y1A3__M497_03325
ERR1913218.175862__1.175862	1262911__R6GQM3__BN557_01245
ERR1913218.175908__1.175908	820__A0A3E4G3J9__ERS852459_02265
ERR1913218.175968__1.175968	1681__K2HRF5__B0156_0361
ERR1913218.175990__1.175990	552398__F4XCQ4__HMPREF0866_01621
ERR1913218.176369__1.176369	1680__R5GRA4__ERS852382_01548
ERR1913218.176458__1.176458	2107999__A0A2Z6Q0P3__HMPREF0514_10562
ERR1913218.176630__1.176630	1262911__R6GZX7__BN557_00838
ERR1913218.176701__1.176701	820__A0A374Q4X1__HMPREF2141_02370
ERR1913218.176791__1.176791	1550024__A0A0D8J0K7__TQ39_06245
ERR1913218.176814__1.176814	1262911__R6HHR1__BN557_01622
ERR1913218.176840__1.176840	1681__K2IQE2__uvrD
ERR1913218.177048__1.177048	357276__I8WPR6__EL88_06675
ERR1913218.177158__1.177158	35833__E5Y2U0__HMPREF0179_00454
ERR1913218.177239__1.177239	821__C6Z087__DXB90_00750
ERR1913218.177243__1.177243	216816__C2GTV6__AS143_01355
ERR1913218.177333__1.177333	357276__A0A0K2HKT7__B5F95_21090
ERR1913218.177340__1.177340	357276__B6VXX7__HMPREF1063_02683
ERR1913218.177343__1.177343	78258__E6K0E9__PSDT_0442
ERR1913218.177349__1.177349	1550024__A0A3B9WIW5__TQ39_04755
ERR1913218.177405__1.177405	1262911__R6HN87__BN557_00926
ERR1913218.177453__1.177453	1596__A0A087QA02__B0B48_08900
ERR1913218.177583__1.177583	1262882__R5MQ68__BN519_01178
ERR1913218.177673__1.177673	820__A0A174LJB2__HMPREF1072_04112
ERR1913218.177699__1.177699	1680__R5GRA4__ERS852382_01548
ERR1913218.177830__1.177830	1550024__A0A0D8J0K7__TQ39_06245
ERR1913218.178097__1.178097	1680__A0A087DHN0__AL0462_1532
ERR1913218.178124__1.178124	1099853__G9S842__NSB1T_03200
ERR1913218.178170__1.178170	1550024__A0A0W7TNX6__ASJ35_13710
ERR1913218.178235__1.178235	40518__R5DLU0__fmt
ERR1913218.178360__1.178360	1263006__R6LQB0__BN515_02150
ERR1913218.178442__1.178442	1550024__A0A3B9WIA4__TQ39_14495
ERR1913218.178622__1.178622	1263006__R6LX07__BN515_00935
ERR1913218.178630__1.178630	1680__A7A7Z9__AAX71_05385
ERR1913218.178677__1.178677	820__A0A3E4RTP0__C801_01067
ERR1913218.178939__1.178939	820__A0A139K5A6__DXB48_12175
ERR1913218.179146__1.179146	1632__A0A0R1WCE9__HMPREF9265_1290
ERR1913218.179164__1.179164	1550024__G9RXY7__TQ39_00100
ERR1913218.179166__1.179166	2173__A0A1D2WRI4__BK798_01325
ERR1913218.179267__1.179267	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913218.179241__1.179241	357276__D1K3K9__EL88_23995
ERR1913218.179299__1.179299	562__P0AF07__motB_2
ERR1913218.179489__1.179489	820__A0A3E4WA06__ERS852554_03404
ERR1913218.179582__1.179582	552398__F4XCR9__HMPREF0866_01636
ERR1913218.179645__1.179645	2173__A0A1D2WSD4__METSMIALI_00416
ERR1913218.179842__1.179842	214856__I3YMN6__Alfi_1938
ERR1913218.179878__1.179878	69974__A0A090FEL8__MPL3365_630008
ERR1913218.179960__1.179960	357276__I8WPR6__EL88_06675
ERR1913218.179970__1.179970	357276__D1K526__GV66_17250
