ERR1913226.15__1.15	46228__V8BM45__DXD17_14355
ERR1913226.210557__1.210557	820__A0A374QGD2__ERS852421_02382
ERR1913226.210697__1.210697	820__A0A3E4VZS7__DXC07_14435
ERR1913226.210811__1.210811	1262777__R5VHI5__BN512_00076
ERR1913226.211046__1.211046	165179__A0A3E5DY64__CFT61_10025
ERR1913226.211349__1.211349	28116__F7LC60__AA414_00422
ERR1913226.211320__1.211320	39485__C4Z1Y9__EUBELI_00143
ERR1913226.211486__1.211486	2293125__A0A374BQ34__DW917_14250
ERR1913226.211436__1.211436	820__A0A174QT76__B5G17_18060
ERR1913226.211539__1.211539	39491__A0A395UZZ5__htpG_1
ERR1913226.211545__1.211545	1160721__W0U1Y5__BHW50_01965
ERR1913226.211777__1.211777	239935__A0A139TPD4__CXT86_06450
ERR1913226.211821__1.211821	2293125__A0A374BY09__DW917_11855
ERR1913226.211952__1.211952	2293125__A0A374C4I0__DW917_08630
ERR1913226.212023__1.212023	214856__R6Z186__ERS852447_00718
ERR1913226.212078__1.212078	2293125__A0A374CFT0__DW917_03440
ERR1913226.212103__1.212103	820__R9I2U8__DXC68_09590
ERR1913226.212195__1.212195	820__A0A139K4W1__M093_0353
ERR1913226.212176__1.212176	45851__D4S288__BHV86_04325
ERR1913226.212240__1.212240	47678__R5U7X5__ERS852558_01354
ERR1913226.212627__1.212627	40520__A0A174KAG0__DXB81_01690
ERR1913226.212657__1.212657	853__A0A2A7B9I6__DW855_13690
ERR1913226.212682__1.212682	821__R7P1Q7__M099_2990
ERR1913226.212834__1.212834	1262942__R7QX36__BN520_01383
ERR1913226.213134__1.213134	2293125__A0A374CJ42__DW917_03305
ERR1913226.213313__1.213313	47678__A5ZBD0__ERS852494_02920
ERR1913226.213334__1.213334	1150298__A0A173W9F4__ERS852498_02567
ERR1913226.213529__1.213529	1262777__R5W6L8__BN512_00248
ERR1913226.213614__1.213614	357276__A0A076IS46__BACDOR_03265
ERR1913226.213787__1.213787	1262761__R6QMI9__BN606_00798
ERR1913226.214053__1.214053	39492__D4JX34__ERS852540_00411
ERR1913226.214075__1.214075	2293125__A0A374BNR6__DW917_15660
ERR1913226.214150__1.214150	458033__GCA_001482755.1_02203
ERR1913226.214233__1.214233	1263107__GCA_000436995.1_00192
ERR1913226.214301__1.214301	2293125__A0A374CFZ2__DW917_03445
ERR1913226.214332__1.214332	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913226.214580__1.214580	2293125__A0A374CIX5__DW917_01125
ERR1913226.214781__1.214781	1407493__GeneID:17503237
ERR1913226.214855__1.214855	2293125__A0A374BVX3__DW917_12740
ERR1913226.214929__1.214929	39490__A0A2V1JRB7__fusA
ERR1913226.215100__1.215100	1150298__A0A174PZ15__lytA
ERR1913226.215116__1.215116	301301__A0A395VAJ9__RHOM_06125
ERR1913226.215199__1.215199	820__A0A3E4IGA7__DXD40_07110
ERR1913226.215316__1.215316	28116__A0A139L6N6__HMPREF2532_02529
ERR1913226.215340__1.215340	1262761__R6R1G2__BN606_01397
ERR1913226.215352__1.215352	2293125__A0A374BSW4__DW917_13420
ERR1913226.215403__1.215403	820__A0A078STJ8__DXC68_04690
ERR1913226.215707__1.215707	2293125__A0A374CII6__DW917_03460
ERR1913226.215727__1.215727	1981510__A0A2K9P2N5__B9O19_00925
ERR1913226.216309__1.216309	39492__D4JU81__xseA
ERR1913226.217053__1.217053	820__A0A174G065__DXB62_08975
ERR1913226.217167__1.217167	2293125__A0A374BQ34__DW917_14250
ERR1913226.217382__1.217382	820__A0A174R952__DXB48_02570
ERR1913226.217393__1.217393	46228__B5CPT9__DXD17_07345
ERR1913226.217399__1.217399	2293125__A0A374BSW4__DW917_13420
ERR1913226.217469__1.217469	820__A0A139JRH8__HMPREF2141_04326
ERR1913226.217474__1.217474	820__A0A3E4VXP2__yesR
ERR1913226.217620__1.217620	1735__B7C9Q6__EUBIFOR_00916
ERR1913226.217790__1.217790	218538__C9LNQ3__GCWU000321_01176
ERR1913226.217780__1.217780	28118__F9ZCN2__DF785_09230
ERR1913226.217983__1.217983	1501391__GCA_000786575.1_00035
ERR1913226.218105__1.218105	821__A0A3E4KIM1__M097_3660
ERR1913226.218346__1.218346	1262761__R6RU22__BN606_01110
ERR1913226.218443__1.218443	820__A0A174EV88__HMPREF1072_01427
ERR1913226.218831__1.218831	1501391__GCA_000786575.1_00038
ERR1913226.218843__1.218843	2293125__A0A374CII6__DW917_03460
ERR1913226.219149__1.219149	165179__D1PCL6__DXB80_13435
ERR1913226.219374__1.219374	1263000__R5EXT3__BN466_02213
ERR1913226.219430__1.219430	301301__G2SYD2__RHOM_13880
ERR1913226.219447__1.219447	1262942__R7QXW7__BN520_01310
ERR1913226.219584__1.219584	88431__A0A174JYP5__DORLON_02789
ERR1913226.219705__1.219705	1160721__W0U5X6__RBI_I01796
ERR1913226.220027__1.220027	820__A0A3E4VZT7__DXB48_16145
ERR1913226.220051__1.220051	1262911__R6H2J2__BN557_01228
ERR1913226.220080__1.220080	39492__D4JTG7__EUBSIR_00572
ERR1913226.220226__1.220226	1262911__R6HHR1__BN557_01622
ERR1913226.220606__1.220606	1897011__A0A1Q6REX7__BHW41_04490
ERR1913226.220791__1.220791	1262761__R6QMI9__BN606_00798
ERR1913226.220963__1.220963	46228__V8BPH7__RUMLAC_01273
ERR1913226.221059__1.221059	1262761__R6QND7__BN606_00927
ERR1913226.221653__1.221653	384638__B7AT14__BACPEC_01282
ERR1913226.221711__1.221711	1262761__R6R5E1__BN606_01164
ERR1913226.221853__1.221853	165179__A0A3E5A5E5__DXC61_13965
ERR1913226.221980__1.221980	39491__A0A396FSR4__ERS852580_02287
ERR1913226.222008__1.222008	820__R7E9Z4__DXC68_06065
ERR1913226.222019__1.222019	28116__A0A1Y4PHM7__DXA80_25130
ERR1913226.222157__1.222157	820__A0A396EWL3__ERS417307_03868
ERR1913226.222135__1.222135	2293125__A0A374BSW4__DW917_13420
ERR1913226.222321__1.222321	820__A0A174M9V5__M093_0237
ERR1913226.222423__1.222423	39485__C4Z6J9__ERS852492_02049
ERR1913226.222467__1.222467	458033__GCA_001482755.1_02203
ERR1913226.222892__1.222892	165179__A0A3E5A5E5__DXC61_13965
ERR1913226.223001__1.223001	2293125__A0A374C7Q7__DW917_07770
ERR1913226.223048__1.223048	165179__R6CNX7__DXB80_02200
ERR1913226.223193__1.223193	1160721__R6UA13__BHW50_07285
ERR1913226.223269__1.223269	820__E5VEH7__ERS852459_01300
ERR1913226.223506__1.223506	165179__A0A3E5EBY9__CFT61_01220
ERR1913226.223547__1.223547	2293125__A0A374CFZ2__DW917_03445
ERR1913226.223837__1.223837	165179__A0A3E5AER8__DXB80_07075
ERR1913226.223859__1.223859	1262761__R6QKZ0__BN606_00913
ERR1913226.223872__1.223872	2293125__A0A374BZ50__DW917_11090
ERR1913226.223902__1.223902	1262944__R7IPZ2__BN596_00900
ERR1913226.224383__1.224383	1262783__R6DNL1__BN558_00605
ERR1913226.224430__1.224430	46228__B5CS18__RUMLAC_02269
ERR1913226.224737__1.224737	1150298__A0A174R918__ERS852535_01749
ERR1913226.224827__1.224827	2293125__A0A374BSW4__DW917_13420
ERR1913226.224859__1.224859	39485__A0A174ZQT9__EUBELI_20278
ERR1913226.225102__1.225102	823__A0A174PDQ0__DXC05_08200
ERR1913226.225232__1.225232	2293125__A0A374CLA5__DW917_01130
ERR1913226.225148__1.225148	820__A0A3E4W9D9__B5G17_12400
ERR1913226.225294__1.225294	2293125__A0A374CC93__DW917_06625
ERR1913226.225553__1.225553	47678__A5ZB44__C5Z00_17730
ERR1913226.225561__1.225561	2293125__A0A374C9M9__DW917_08170
ERR1913226.225564__1.225564	1262911__R6GZX7__BN557_00838
ERR1913226.225711__1.225711	820__A0A1Y3V743__M093_0235
ERR1913226.226432__1.226432	28117__B0MXR4__BHV66_08025
ERR1913226.226791__1.226791	28116__A0A395VZB9__Bovatus_03205
ERR1913226.226820__1.226820	1262945__R6YN47__BN600_01557
ERR1913226.226997__1.226997	853__A0A2A7A628__CGS57_13755
ERR1913226.227059__1.227059	821__A0A173WG51__BVU_2549
ERR1913226.227046__1.227046	2293125__A0A374C4I0__DW917_08630
ERR1913226.227369__1.227369	1150298__A0A174HXS4__ERS852498_00503
ERR1913226.227412__1.227412	820__A0A3E4W4W5__ERS852554_02179
ERR1913226.227318__1.227318	418240__A0A174BCX7__ERS852478_02371
ERR1913226.227331__1.227331	2293125__A0A374C4J1__DW917_09855
ERR1913226.227336__1.227336	745368__A0A1T4YBA4__SAMN02745178_02873
ERR1913226.227517__1.227517	2293125__A0A374CJ42__DW917_03305
ERR1913226.227848__1.227848	39491__C4ZHS4__EUR_24420
ERR1913226.228066__1.228066	556261__F0Z291__HMPREF0240_03230
ERR1913226.228156__1.228156	1262761__R6R5Y6__BN606_00217
ERR1913226.228240__1.228240	820__A0A3E4G8F8__ERS852421_01645
ERR1913226.228403__1.228403	1263000__R5EGP9__BN466_01419
ERR1913226.228686__1.228686	1501392__A0A0B2JJR5__PU94_03125
ERR1913226.228738__1.228738	1262761__R6QR72__BN606_01181
ERR1913226.228955__1.228955	1262761__R6QU78__BN606_01972
ERR1913226.228983__1.228983	47678__R5U7T0__CGC64_00755
ERR1913226.229045__1.229045	310298__B3JQJ5__BACCOP_04231
ERR1913226.229284__1.229284	338188__A0A1Q6HLG8__ERS852397_03417
ERR1913226.229569__1.229569	1262911__R6GTF7__BN557_01242
ERR1913226.229661__1.229661	1262889__R7HAQ6__BN634_02130
ERR1913226.229636__1.229636	446660__GCA_003428235.1_00291
ERR1913226.229656__1.229656	39485__A0A174ZQ05__EUBELI_01606
ERR1913226.229832__1.229832	487174__K0X068__DDY40_07105
ERR1913226.229841__1.229841	47678__R5U9Z0__HMPREF1061_03210
ERR1913226.229896__1.229896	39485__C4Z355__ERS852490_01971
ERR1913226.230113__1.230113	47678__R5U8P0__DW706_15950
ERR1913226.230156__1.230156	2293125__A0A374CFZ2__DW917_03445
ERR1913226.230175__1.230175	2293125__A0A374BQ34__DW917_14250
ERR1913226.230254__1.230254	820__A0A396EWL3__ERS417307_03868
ERR1913226.230292__1.230292	823__A0A355XJT5__ERS852429_03504
ERR1913226.230685__1.230685	820__A0A3E4WA06__ERS852554_03404
ERR1913226.230703__1.230703	820__A0A3E4VZY4__ERS852554_01211
ERR1913226.230743__1.230743	218538__C9LL79__GCWU000321_00015
ERR1913226.230771__1.230771	40518__R5DUU0__DXD93_03985
ERR1913226.230891__1.230891	2293125__A0A374CFU2__DW917_03475
ERR1913226.231345__1.231345	820__A0A1T4IY80__ERS852554_01621
ERR1913226.231255__1.231255	1897011__A0A1Q6RJY0__BHW41_00040
ERR1913226.231553__1.231553	1262761__R6QS21__BN606_00301
ERR1913226.231591__1.231591	2293125__A0A374CII0__DW917_03470
ERR1913226.231649__1.231649	2293125__A0A374BVX3__DW917_12740
ERR1913226.231758__1.231758	2293125__A0A374BNR6__DW917_15660
ERR1913226.232908__1.232908	821__A0A395US34__C5Z04_18975
ERR1913226.233104__1.233104	820__A0A174TRB5__DXD40_11305
ERR1913226.233125__1.233125	165179__A0A229I7F5__DXB80_02650
ERR1913226.233216__1.233216	1150298__A0A174BC67__ERS852498_00837
ERR1913226.233357__1.233357	1304__A0A2A5QD73__DDY67_01275
ERR1913226.233402__1.233402	338188__R6RT73__HMPREF1057_02828
ERR1913226.233547__1.233547	820__A0A396EUU8__luxQ_3
ERR1913226.233690__1.233690	1262889__R7HGV8__BN634_01881
ERR1913226.233776__1.233776	1262736__R5Y4S4__BN496_00323
ERR1913226.233971__1.233971	820__A0A174CK74__DXB48_07060
ERR1913226.234248__1.234248	556259__E5C638__BSGG_0201
ERR1913226.234393__1.234393	2293125__A0A374CII6__DW917_03460
ERR1913226.234595__1.234595	1262761__R6RU22__BN606_01110
ERR1913226.234622__1.234622	820__A0A174R952__DXB48_02570
ERR1913226.234626__1.234626	1262911__R6H072__BN557_00615
ERR1913226.235116__1.235116	35833__E5Y5K9__HMPREF0179_01472
ERR1913226.235343__1.235343	1262889__R7HA74__BN634_01063
ERR1913226.235325__1.235325	821__A0A174MBW9__SAMN04487923_10272
ERR1913226.235423__1.235423	820__A0A078STJ8__DXC68_04690
ERR1913226.235557__1.235557	1262942__R7QVG1__BN520_01673
ERR1913226.235843__1.235843	1263109__GCA_000438135.1_00605
ERR1913226.235997__1.235997	820__A0A139K426__B5G17_09115
ERR1913226.236056__1.236056	853__E2ZGD9__C7J97_11715
ERR1913226.236432__1.236432	39491__C4ZEW3__T1815_18241
ERR1913226.236482__1.236482	1262911__R6GZX7__BN557_00838
ERR1913226.236661__1.236661	394340__uvrA_2
ERR1913226.236943__1.236943	239935__A0A139TPU7__CXT91_06575
ERR1913226.237130__1.237130	820__A0A139K426__B5G17_09115
ERR1913226.237137__1.237137	821__A0A0P0M2J4__DXD46_10295
ERR1913226.237220__1.237220	1262761__R6RBJ5__BN606_02022
ERR1913226.237668__1.237668	820__A0A174M9V5__M093_0237
ERR1913226.237842__1.237842	1501391__GCA_000786575.1_00101
ERR1913226.238183__1.238183	1262761__R6RY17__BN606_01538
ERR1913226.238441__1.238441	853__A0A3E2U7E6__ERS852582_01640
ERR1913226.238510__1.238510	394340__clpB_1
ERR1913226.239129__1.239129	487174__K0X2A4__DDY40_04095
ERR1913226.239199__1.239199	552398__F4XCQ4__HMPREF0866_01621
ERR1913226.239765__1.239765	2293125__A0A374CHQ0__DW917_02295
ERR1913226.239766__1.239766	1262889__R7HBV1__BN634_00200
ERR1913226.239772__1.239772	820__A7V9F9__B5G17_14640
ERR1913226.239918__1.239918	1262736__R5Z0U2__BN496_00382
ERR1913226.240072__1.240072	1150298__R7JSS6__ERS852535_01362
ERR1913226.240166__1.240166	820__A0A139K337__ERS852459_02375
ERR1913226.240234__1.240234	2293125__A0A374BZ93__DW917_11205
ERR1913226.240610__1.240610	1262911__R6GR13__BN557_00618
ERR1913226.240772__1.240772	820__A0A374Q8T2__DXB64_16190
ERR1913226.240774__1.240774	357276__I9QBT7__BSEG_03340
ERR1913226.240987__1.240987	820__A0A139K4T0__ERS852510_03146
ERR1913226.241848__1.241848	1262920__R5KD76__BN467_01465
ERR1913226.241960__1.241960	820__A0A3E4W984__pssA
ERR1913226.242242__1.242242	88431__A6BG03__ERS852408_01790
ERR1913226.242348__1.242348	853__A0A173YYY4__DWZ04_09420
ERR1913226.242653__1.242653	239935__A0A2N8I694__CXU04_06245
ERR1913226.242664__1.242664	28118__R6F7E0__SAMEA44545918_02355
ERR1913226.242984__1.242984	39485__A0A175A023__yhhT
ERR1913226.243049__1.243049	2293125__A0A374CFT0__DW917_03440
ERR1913226.243071__1.243071	853__A0A173XRA8__CGS56_09290
ERR1913226.243190__1.243190	218538__C9LNE0__GCWU000321_01061
ERR1913226.243306__1.243306	39485__A0A174ZA72__glgB_1
ERR1913226.243642__1.243642	1262761__R6QU88__BN606_01983
ERR1913226.243647__1.243647	820__A0A174M9V5__M093_0237
ERR1913226.243678__1.243678	820__A0A173YYG4__evgS_3
ERR1913226.243702__1.243702	820__A0A374MXK3__HMPREF1072_00166
ERR1913226.244321__1.244321	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913226.244544__1.244544	853__A0A173XRA8__CGS56_09290
ERR1913226.244553__1.244553	384638__B7AVU0__BACPEC_02840
ERR1913226.244808__1.244808	410072__A0A174QU55__luxQ
ERR1913226.245024__1.245024	301301__R6NZ24__dapF_2
ERR1913226.245131__1.245131	2293125__A0A374CI55__DW917_03455
ERR1913226.245191__1.245191	39491__A0A395V5R3__EUBREC_1883
ERR1913226.245291__1.245291	2293125__A0A374BRB6__DW917_13815
ERR1913226.245372__1.245372	33043__A0A173WWJ5__ERS852386_00339
ERR1913226.245412__1.245412	2293125__A0A374CFT0__DW917_03440
ERR1913226.245821__1.245821	1262944__R7IP73__BN596_01699
ERR1913226.246559__1.246559	1262761__R6QZS1__BN606_01236
ERR1913226.246747__1.246747	165179__D1PDG7__DXB80_11180
ERR1913226.246902__1.246902	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913226.246915__1.246915	1150298__A0A174KDB8__psd
ERR1913226.246946__1.246946	2293125__A0A374CI55__DW917_03455
ERR1913226.247034__1.247034	1124654__GeneID:14005770
ERR1913226.247056__1.247056	218538__C9LL79__GCWU000321_00015
ERR1913226.247099__1.247099	165179__A0A229I7F5__DXB80_02650
ERR1913226.247144__1.247144	626930__F3PVE2__HMPREF9446_02720
ERR1913226.247177__1.247177	487174__K0X694__DIT83_09060
ERR1913226.247335__1.247335	39486__G1WMX5__HMPREF9457_00476
ERR1913226.247353__1.247353	301301__A0A395VFD3__ERS852391_02492
ERR1913226.247527__1.247527	820__A0A3E4IBC1__M094_0628
ERR1913226.247674__1.247674	40518__R5DY98__mepA_5
ERR1913226.248016__1.248016	821__A0A173WG51__BVU_2549
ERR1913226.248215__1.248215	165179__A0A3E5A5E5__DXC61_13965
ERR1913226.248355__1.248355	2293125__A0A374CIC9__DW917_02045
ERR1913226.248445__1.248445	823__A0A073I748__M096_3057
ERR1913226.248669__1.248669	1262736__R5YZ74__BN496_01798
ERR1913226.248637__1.248637	820__A0A396EUU8__luxQ_3
ERR1913226.249079__1.249079	1262911__R6GY78__BN557_00532
ERR1913226.249164__1.249164	1262911__R6GT76__BN557_01150
ERR1913226.249823__1.249823	47678__A5ZG68__ERS852494_02968
ERR1913226.250090__1.250090	357276__A0A076ISJ4__B5F95_19420
ERR1913226.250155__1.250155	823__A0A395YY84__DXC05_19515
ERR1913226.250288__1.250288	1897011__A0A1Q6RDI4__BHW41_05605
ERR1913226.250304__1.250304	1262761__R6QN52__BN606_00884
ERR1913226.250364__1.250364	821__A0A3E4HP25__SAMN04487923_102450
ERR1913226.250715__1.250715	1262911__R6GKS1__BN557_00184
ERR1913226.250813__1.250813	820__A0A3E4HWJ4__DXD40_05945
ERR1913226.251084__1.251084	1501391__GCA_000786575.1_00119
ERR1913226.251426__1.251426	2293125__A0A374CJ42__DW917_03305
ERR1913226.251816__1.251816	1262777__R5VQQ5__BN512_00907
ERR1913226.251829__1.251829	39492__D4JWR6__dnaN
ERR1913226.251912__1.251912	1262761__R6RU22__BN606_01110
ERR1913226.252179__1.252179	2293125__A0A374CHQ0__DW917_02295
ERR1913226.252231__1.252231	2293125__A0A374BTY6__DW917_13780
ERR1913226.252183__1.252183	1262988__R7N7L2__BN816_00087
ERR1913226.252458__1.252458	39485__A0A174ZPJ9__tig_2
ERR1913226.252624__1.252624	1262777__R5W3Q6__BN512_00091
ERR1913226.252878__1.252878	820__A0A3E4QZJ7__C801_01798
ERR1913226.252888__1.252888	39485__A0A174YMP3__ERS852490_01032
ERR1913226.253026__1.253026	821__A6L0C7__ERS852556_03520
ERR1913226.253062__1.253062	218538__C9LNQ3__GCWU000321_01176
ERR1913226.253130__1.253130	853__A0A173YYY4__DWZ04_09420
ERR1913226.253240__1.253240	1262920__R5KD76__BN467_01465
ERR1913226.253360__1.253360	28116__D4WJ30__DHW41_06080
ERR1913226.253438__1.253438	1262761__R6QJJ2__BN606_00358
ERR1913226.253596__1.253596	820__A0A374Q8T2__DXB64_16190
ERR1913226.254109__1.254109	2293125__A0A374CFU2__DW917_03475
ERR1913226.254230__1.254230	1262911__R6GQ41__BN557_00435
ERR1913226.254232__1.254232	820__A0A3E4IGA7__DXD40_07110
ERR1913226.254523__1.254523	820__A0A3E4FZM1__adaA_2
ERR1913226.254718__1.254718	820__A0A174RFI5__SAMN05444418_12240
ERR1913226.254761__1.254761	218538__C9LPF0__GCWU000321_01429
ERR1913226.254765__1.254765	820__I9A4U7__DHU98_12785
ERR1913226.254783__1.254783	1262889__R7HD87__BN634_01680
ERR1913226.254842__1.254842	1262761__R6RMH1__BN606_00005
ERR1913226.254977__1.254977	46228__B5CPT8__RUMLAC_01482
ERR1913226.255046__1.255046	820__A0A174GK47__ERS852421_00200
ERR1913226.255096__1.255096	33043__D5HIV9__pstS_2
ERR1913226.255124__1.255124	1235835__R9LCU2__C814_02677
ERR1913226.255253__1.255253	1262761__R6RU22__BN606_01110
ERR1913226.255345__1.255345	39492__D4JQU2__EUBSIR_01294
ERR1913226.255396__1.255396	820__A7V049__DXB48_04755
ERR1913226.255456__1.255456	853__A0A3E2U7E6__ERS852582_01640
ERR1913226.255539__1.255539	671266__GCA_004801615.1_01294
ERR1913226.255748__1.255748	820__R9HXK9__DXB62_08265
ERR1913226.256099__1.256099	165179__D1PCL6__DXB80_13435
ERR1913226.256395__1.256395	1263006__R6MQA3__BN515_02104
ERR1913226.256408__1.256408	1501391__GCA_000786575.1_00123
ERR1913226.256449__1.256449	487174__K0X393__DDY40_02525
ERR1913226.256451__1.256451	165179__A0A174SA26__PREVCOP_05758
ERR1913226.256472__1.256472	1262761__R6RZ48__BN606_01724
ERR1913226.257088__1.257088	1262761__R6QR25__BN606_01386
ERR1913226.257125__1.257125	165179__A0A174K816__DXB80_12000
ERR1913226.257194__1.257194	418240__C6J8A2__ERS852478_02512
ERR1913226.257211__1.257211	820__A0A174CG08__DXB62_13215
ERR1913226.257303__1.257303	1501391__GCA_000786575.1_00153
ERR1913226.257472__1.257472	1262761__R6RNL8__BN606_00387
ERR1913226.257581__1.257581	2293125__A0A374CJ42__DW917_03305
ERR1913226.257680__1.257680	853__A0A173RZ39__C4N22_01650
ERR1913226.257863__1.257863	39485__A0A174YMI9__cph2_5
ERR1913226.258267__1.258267	853__A0A2A7B9I6__DW855_13690
ERR1913226.258344__1.258344	1160721__W0U3D5__BHW50_00380
ERR1913226.258376__1.258376	39491__A0A395V0H3__ERS852417_01192
ERR1913226.258861__1.258861	1262777__R5WCV5__BN512_01137
ERR1913226.258935__1.258935	820__A0A174CK74__DXB48_07060
ERR1913226.259080__1.259080	246787__A0A3D6AQP8__AA416_04153
ERR1913226.259189__1.259189	820__A0A3E4FZM1__adaA_2
ERR1913226.259334__1.259334	820__A0A173YYG4__evgS_3
ERR1913226.259441__1.259441	2293125__A0A374CI55__DW917_03455
ERR1913226.259870__1.259870	2293125__A0A374CHT4__DW917_03485
ERR1913226.260022__1.260022	1501391__GCA_000786575.1_00060
ERR1913226.260325__1.260325	28116__I9T1P7__BACOV975_02228
ERR1913226.260355__1.260355	820__A0A174TRB5__DXD40_11305
ERR1913226.260444__1.260444	39492__D4JU94__ispE
ERR1913226.260399__1.260399	1262783__R6CW85__BN558_01341
ERR1913226.260407__1.260407	40518__R5DRG6__ylbJ
ERR1913226.260778__1.260778	1501391__GCA_000786575.1_00055
ERR1913226.260947__1.260947	1501391__GCA_000786575.1_00068
ERR1913226.260960__1.260960	1262736__R5Y5M4__BN496_00634
ERR1913226.260885__1.260885	116085__D4JC45__DW747_00315
ERR1913226.261093__1.261093	820__A0A139K9Q2__DXD40_08795
ERR1913226.261127__1.261127	471189__GCA_003340385.1_00410
ERR1913226.261128__1.261128	1262761__R6QR72__BN606_01181
ERR1913226.261329__1.261329	1262783__R6D2X6__BN558_01830
ERR1913226.261344__1.261344	820__A0A1T4IYF4__mprA_1
ERR1913226.261458__1.261458	1262911__R6GPC5__BN557_00852
ERR1913226.261466__1.261466	1262761__R6QMJ7__BN606_00803
ERR1913226.261559__1.261559	39485__A0A174ZAI7__outO
ERR1913226.261596__1.261596	2293125__A0A374C4I0__DW917_08630
ERR1913226.261676__1.261676	1501391__GCA_000786575.1_00124
ERR1913226.261773__1.261773	820__A0A174DZ97__SAMN05444418_101240
ERR1913226.261876__1.261876	165179__R6C330__DXC61_04975
ERR1913226.261995__1.261995	823__A0A355WYX8__CF162_07950
ERR1913226.262131__1.262131	1501391__GCA_000786575.1_00036
ERR1913226.262149__1.262149	853__A0A3E2U7E6__ERS852582_01640
ERR1913226.262286__1.262286	820__A0A174QT76__B5G17_18060
ERR1913226.262248__1.262248	820__A0A374QGD2__ERS852421_02382
ERR1913226.262262__1.262262	1628085__A0A2U1B7S9__C7386_11634
ERR1913226.262505__1.262505	820__A0A139KG04__ERS852459_01249
ERR1913226.262764__1.262764	40520__A0A174L757__DXD81_00835
ERR1913226.262701__1.262701	1262889__R7HA29__BN634_00657
ERR1913226.262718__1.262718	820__A0A139KHD8__ERS417307_00569
ERR1913226.263246__1.263246	165179__A0A229I7F5__DXB80_02650
ERR1913226.263250__1.263250	820__A0A078S4C2__ERS417307_00828
ERR1913226.263277__1.263277	853__A0A2A7B9I6__DW855_13690
ERR1913226.263447__1.263447	39485__A0A174YYW2__benM
ERR1913226.263468__1.263468	1897011__A0A1Q6RIC6__BHW41_01345
ERR1913226.263946__1.263946	1262911__R6H1D2__BN557_00855
ERR1913226.263998__1.263998	458033__GCA_001482755.1_02203
ERR1913226.264076__1.264076	820__A0A174GYA8__DXB64_07370
ERR1913226.264141__1.264141	384638__B7ANG9__BACPEC_00223
ERR1913226.264324__1.264324	410072__A0A3E4GQ67__sigV_1
ERR1913226.264288__1.264288	820__A0A174CK74__DXB48_07060
ERR1913226.264462__1.264462	39491__A0A396FUZ3__phoR_1
ERR1913226.264482__1.264482	1965650__A0A1Y3VKS3__B5G16_06070
ERR1913226.264492__1.264492	1262761__R6QMC1__BN606_00771
ERR1913226.264641__1.264641	820__A0A173XIP7__B5G17_16050
ERR1913226.264727__1.264727	2293125__A0A374BSW4__DW917_13420
ERR1913226.265097__1.265097	556259__I0PXW0__BSGG_5187
ERR1913226.265129__1.265129	820__A0A139K4T0__ERS852510_03146
ERR1913226.265700__1.265700	823__A6LDT7__CEQ22_002595
ERR1913226.265647__1.265647	2293125__A0A374BZ93__DW917_11205
ERR1913226.265666__1.265666	1262777__R5W4D9__BN512_01361
ERR1913226.265904__1.265904	39488__C0EX25__DXD91_11965
ERR1913226.265921__1.265921	820__A0A139JRS5__HMPREF1073_04025
ERR1913226.265926__1.265926	820__A0A3E4QZJ7__C801_01798
ERR1913226.266018__1.266018	1263107__GCA_000436995.1_00142
ERR1913226.266130__1.266130	39485__C4Z1J7__ERS852490_01574
ERR1913226.266134__1.266134	2293125__A0A374BLR6__DW917_15555
ERR1913226.266362__1.266362	39485__A0A174Z7G5__EUBELI_01168
ERR1913226.266372__1.266372	239935__R6JAS2__CXU02_10725
ERR1913226.266848__1.266848	1262761__R6QUS0__BN606_00152
ERR1913226.266939__1.266939	2293125__A0A374C9I8__DW917_06795
ERR1913226.267017__1.267017	626930__F3PVE2__HMPREF9446_02720
ERR1913226.267221__1.267221	562__P69229__G746_02312
ERR1913226.267411__1.267411	1501391__GCA_000786575.1_00018
ERR1913226.267621__1.267621	28116__C3QSX8__SAMN05444282_101331
ERR1913226.267588__1.267588	2293125__A0A374CFZ2__DW917_03445
ERR1913226.267750__1.267750	821__A0A3E4XY72__NCTC10583_01067
ERR1913226.267766__1.267766	2293125__A0A374CMK5__DW917_00330
ERR1913226.267968__1.267968	1501391__GCA_000786575.1_00115
ERR1913226.267970__1.267970	820__A0A139KIL9__DXC68_05945
ERR1913226.268313__1.268313	2293125__A0A374C4C8__DW917_09805
ERR1913226.268490__1.268490	2293125__A0A374C9M9__DW917_08170
ERR1913226.268429__1.268429	745368__A0A1T4XXN7__SAMN02745178_02496
ERR1913226.268578__1.268578	820__A0A3E5E9Y8__DXD90_09110
ERR1913226.268616__1.268616	1262942__R7QZR2__BN520_02035
ERR1913226.269274__1.269274	820__A0A139KG60__M094_2679
ERR1913226.269330__1.269330	821__A0A173XDD3__DXB82_17180
ERR1913226.269561__1.269561	2293125__A0A374BIB7__DW917_16550
ERR1913226.270285__1.270285	28116__A0A1Y4Q374__ERS852555_04681
ERR1913226.270471__1.270471	40518__R5DYU1__DXD86_01160
ERR1913226.270565__1.270565	821__A0A3E4HP25__SAMN04487923_102450
ERR1913226.270611__1.270611	1262911__R6GT76__BN557_01150
