ERR1913286.212__1.212	33043__A0A173WWJ5__ERS852386_00339
ERR1913286.149772__1.149772	626940__E8LCL0__BN587_01660
ERR1913286.149864__1.149864	165179__A0A229I2W6__PREVCOP_04332
ERR1913286.149855__1.149855	39491__D6E118__DXB69_05765
ERR1913286.149930__1.149930	360807__A0A1Q6SWU5__ERS852444_03068
ERR1913286.149969__1.149969	165179__A0A3E5EB26__CFT61_02800
ERR1913286.149989__1.149989	165179__W1I4H6__DXB80_13655
ERR1913286.150074__1.150074	301302__R5VFW5__M72_26781
ERR1913286.150164__1.150164	387090__S0F7Y3__BACCOPRO_02028
ERR1913286.150222__1.150222	1897011__A0A1Q6RGB6__BHW41_02790
ERR1913286.150418__1.150418	39491__A0A395V1R3__T1815_08181
ERR1913286.150535__1.150535	487175__R5E1W1__HMPREF9439_00287
ERR1913286.150625__1.150625	821__A0A174T998__DXB82_10860
ERR1913286.150762__1.150762	39491__R6TQ09__DXC13_03010
ERR1913286.150914__1.150914	165179__A0A174K816__DXB80_12000
ERR1913286.151103__1.151103	40520__R7D9K2__DXC87_04105
ERR1913286.151167__1.151167	33043__D5HGZ8__nnr
ERR1913286.151217__1.151217	33043__A0A173XL07__nadD
ERR1913286.151369__1.151369	28052__A0A174KGM3__ERS852451_01819
ERR1913286.151447__1.151447	40518__A0A373KL92__RBATCC27255_01378
ERR1913286.151451__1.151451	39491__D4JMW8__ERS852497_01971
ERR1913286.151422__1.151422	165179__A0A3E5EBV0__DXB80_01745
ERR1913286.151490__1.151490	1262743__R5CD32__BN727_00852
ERR1913286.151517__1.151517	1262803__R6PRF7__BN649_00517
ERR1913286.151527__1.151527	165179__A0A3E5E920__DXB80_11625
ERR1913286.151537__1.151537	360807__C0FZM4__RIL183_06871
ERR1913286.152036__1.152036	39491__A0A0M6WWT1__dus_2
ERR1913286.152106__1.152106	1262743__R5C1N5__BN727_02492
ERR1913286.152074__1.152074	1262924__R7HUR1__BN585_00057
ERR1913286.152257__1.152257	46228__B5CL07__DXD17_04190
ERR1913286.152593__1.152593	28052__A0A174GWB0__amiC
ERR1913286.152642__1.152642	817__A0A1C0WKU0__BF9343_1228
ERR1913286.152675__1.152675	214856__R6XP73__ERS852447_00886
ERR1913286.152810__1.152810	239935__A0A2N8HT44__CXT84_11035
ERR1913286.152696__1.152696	39492__A0A174ZL16__EUBSIR_01269
ERR1913286.152832__1.152832	165179__A0A229I1J2__DXB80_03950
ERR1913286.152915__1.152915	165179__D1PDT3__PREVCOP_05375
ERR1913286.153002__1.153002	47678__R5USS6__C5Z00_03300
ERR1913286.153067__1.153067	165179__A0A3E5DX15__DXC61_00345
ERR1913286.153194__1.153194	239935__A0A2N8IMC9__CXU09_02095
ERR1913286.153259__1.153259	46503__R6Y837__PARMER_03866
ERR1913286.153332__1.153332	39492__D4JQY4__EUBSIR_01325
ERR1913286.153513__1.153513	39491__A0A174K9A3__DXB69_07785
ERR1913286.153516__1.153516	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913286.153533__1.153533	487174__K0XBH1__DIT83_01445
ERR1913286.153601__1.153601	239935__R6J9Y2__CXT85_07000
ERR1913286.153701__1.153701	1263011__R6DVT7__BN553_00768
ERR1913286.153672__1.153672	33043__A0A174A481__ERS852400_01067
ERR1913286.153834__1.153834	165179__A0A3E5EBM5__DXC61_02170
ERR1913286.153967__1.153967	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913286.154157__1.154157	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913286.154180__1.154180	165179__D1P9T6__PREVCOP_04016
ERR1913286.154572__1.154572	28052__A0A174LZK5__ERS852451_02148
ERR1913286.154584__1.154584	33043__A0A173XM20__ERS852445_01573
ERR1913286.154741__1.154741	239935__A0A2N8IU45__DEF40_02365
ERR1913286.154866__1.154866	1263000__R5EQL2__BN466_00892
ERR1913286.154867__1.154867	410072__A0A173R660__ERS852389_00536
ERR1913286.154874__1.154874	40518__R5DVQ2__DXD93_00365
ERR1913286.154956__1.154956	165179__D1PE06__DXC61_05975
ERR1913286.155147__1.155147	1262743__R5C0T1__BN727_02241
ERR1913286.155295__1.155295	40518__R5E7S2__RBL263_00671
ERR1913286.155410__1.155410	165179__A0A3E5ED28__PREVCOP_06655
ERR1913286.155458__1.155458	821__A0A395UNT8__DXD64_15275
ERR1913286.155531__1.155531	165179__A0A3E5AF88__DXC61_14960
ERR1913286.155613__1.155613	28052__A0A174KKX6__ERS852499_01429
ERR1913286.155677__1.155677	410072__A0A173W715__cynR_4
ERR1913286.155678__1.155678	165179__A0A3E5E920__DXB80_11625
ERR1913286.155837__1.155837	28118__F9ZBV2__NCTC10826_00352
ERR1913286.155841__1.155841	165179__A0A174UTZ7__DXC61_06705
ERR1913286.155855__1.155855	165179__D1P9T6__PREVCOP_04016
ERR1913286.155924__1.155924	853__C7H1R8__DW905_06675
ERR1913286.155965__1.155965	853__E2ZJT1__C4N23_03535
ERR1913286.155966__1.155966	165179__A0A3E5AI09__DXC61_05815
ERR1913286.156039__1.156039	1150298__R7JUX4__ERS852535_02669
ERR1913286.156283__1.156283	33043__A0A173WU55__ganB_2
ERR1913286.156343__1.156343	28052__R7N9Y1__spoIIE
ERR1913286.156447__1.156447	39485__C4Z1S0__ERS852492_00886
ERR1913286.156492__1.156492	818__Q8A7D8__Btheta7330_01478
ERR1913286.156548__1.156548	1263000__R5ES99__BN466_01121
ERR1913286.156556__1.156556	39491__A0A396FRE7__EUR_27520
ERR1913286.156662__1.156662	853__A0A2J4JL53__CRH10_10795
ERR1913286.156690__1.156690	1262924__R7HNL2__BN585_01068
ERR1913286.156726__1.156726	165179__A0A3E4SID1__DXB80_01945
ERR1913286.156745__1.156745	165179__D1PE06__DXC61_05975
ERR1913286.156860__1.156860	165179__D1PAJ7__PREVCOP_04222
ERR1913286.156872__1.156872	1150298__R7JTW4__yvhJ
ERR1913286.156912__1.156912	28117__B0MXG8__ALIPUT_01814
ERR1913286.157127__1.157127	410072__A0A3E4GPD6__DXD67_10205
ERR1913286.157138__1.157138	28052__A0A174HXN2__ERS852499_00609
ERR1913286.157161__1.157161	165179__A0A174UTZ7__DXC61_06705
ERR1913286.157239__1.157239	165179__A0A3E5ED28__PREVCOP_06655
ERR1913286.157302__1.157302	301302__A0A173TWC1__phoR_7
ERR1913286.157415__1.157415	239935__R6JAS2__CXU02_10725
ERR1913286.157433__1.157433	1262989__R6YG99__BN815_01610
ERR1913286.157795__1.157795	46503__B7BG40__ERS852463_01623
ERR1913286.157861__1.157861	28052__R7NA90__tcyB
ERR1913286.157868__1.157868	165179__A0A174MTF2__DXC61_13200
ERR1913286.158029__1.158029	853__A0A3E2U7E6__ERS852582_01640
ERR1913286.158186__1.158186	33043__D5HEE1__ERS852386_01671
ERR1913286.158247__1.158247	165179__A0A3E5E189__PREVCOP_06699
ERR1913286.158251__1.158251	165179__A0A3E5E5H1__DXC61_07220
ERR1913286.158485__1.158485	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913286.158556__1.158556	853__D4JY61__C4N21_10560
ERR1913286.158664__1.158664	823__A6LC27__DXB14_11470
ERR1913286.158724__1.158724	39491__A0A2U2EKL1__ERS852580_00911
ERR1913286.158825__1.158825	165179__R6C3K4__PREVCOP_05795
ERR1913286.158914__1.158914	1262803__R6NER1__BN649_01814
ERR1913286.158956__1.158956	487174__K0XL60__DDY40_11760
ERR1913286.158974__1.158974	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913286.158987__1.158987	853__A0A173XRA8__CGS56_09290
ERR1913286.158993__1.158993	360807__A0A1Q6T5B1__ERS852444_03147
ERR1913286.159110__1.159110	1262803__R6PJV2__BN649_01613
ERR1913286.159168__1.159168	33043__D5HHY4__luxQ_1
ERR1913286.159200__1.159200	39492__D4JWP8__EUBSIR_00699
ERR1913286.159206__1.159206	28117__B0MTH2__ALIPUT_00061
ERR1913286.159316__1.159316	1262911__R6GPL1__BN557_00927
ERR1913286.159349__1.159349	33043__A0A173WU55__ganB_2
ERR1913286.159454__1.159454	39491__A0A395V1Y4__DXB99_08035
ERR1913286.159734__1.159734	165179__A0A3E5AE59__DXC61_12885
ERR1913286.159843__1.159843	1308__F8LTM2__stu1831
ERR1913286.159972__1.159972	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913286.160151__1.160151	1262924__R7HTA4__BN585_00391
ERR1913286.160196__1.160196	39491__A0A396FEV5__EUR_24750
ERR1913286.160362__1.160362	39491__A0A396FFW0__ERE_10580
ERR1913286.160420__1.160420	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913286.160433__1.160433	360807__A0A173V2S2__phoR_7
ERR1913286.160452__1.160452	165179__A0A3E5EDS1__DXC61_03115
ERR1913286.160462__1.160462	47678__R5U2W6__CGC64_03455
ERR1913286.160635__1.160635	28117__B0MWP2__ALIPUT_01468
ERR1913286.160715__1.160715	33043__A0A173X520__ERS852575_01617
ERR1913286.161006__1.161006	165179__A0A229I1J2__DXB80_03950
ERR1913286.161111__1.161111	28117__B0MTV3__BHV66_06405
ERR1913286.161181__1.161181	39491__A0A173TFQ1__rsmF
ERR1913286.161188__1.161188	28052__A0A174YME0__acm_2
ERR1913286.161303__1.161303	487175__R5E441__HMPREF9439_02785
ERR1913286.161579__1.161579	239935__A0A2N8HDT1__CXT94_05270
ERR1913286.161847__1.161847	40518__R5E4V5__RBL263_01242
ERR1913286.161978__1.161978	1855299__A0A1I5U2T9__SAMN05216343_11771
ERR1913286.162029__1.162029	357276__A0A076IXE0__HMPREF1064_04364
ERR1913286.162044__1.162044	165179__A0A3E5EB26__CFT61_02800
ERR1913286.162070__1.162070	28117__B0MXG8__ALIPUT_01814
ERR1913286.162104__1.162104	357276__A0A076J8M3__ABI39_13695
ERR1913286.162171__1.162171	187979__A0A174C5D0__ERS852385_02059
ERR1913286.162251__1.162251	165179__A0A3E5AFJ9__CFT61_15180
ERR1913286.162314__1.162314	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913286.162335__1.162335	649756__E5VJS7__mecR1_3
ERR1913286.162358__1.162358	165179__A0A174W369__PREVCOP_04548
ERR1913286.162410__1.162410	33043__D5HIA8__ERS852575_01867
ERR1913286.162438__1.162438	165179__D1PAV8__DXB80_13055
ERR1913286.162447__1.162447	33043__A0A173WXS1__ERS852445_00262
ERR1913286.162859__1.162859	884684__GCA_002892425.1_01408
ERR1913286.163014__1.163014	821__A0A174T998__DXB82_10860
ERR1913286.163642__1.163642	853__A0A3E2U7E6__ERS852582_01640
ERR1913286.163662__1.163662	39491__D6E4H2__DXB99_00485
ERR1913286.164044__1.164044	1263011__R6DMN6__BN553_01074
ERR1913286.164149__1.164149	357276__I9G0T7__BACDOR_04266
ERR1913286.164237__1.164237	410072__A0A3E4GPS4__tagA
ERR1913286.164252__1.164252	39491__A0A396FRE7__EUR_27520
ERR1913286.164507__1.164507	39491__A0A174EQV2__DXB69_10230
ERR1913286.164519__1.164519	165179__W1I4H6__DXB80_13655
ERR1913286.164593__1.164593	28052__A0A174M8X5__ERS852499_01897
ERR1913286.164647__1.164647	33043__D5HFF6__yihX
ERR1913286.164677__1.164677	165179__A0A3E5EA83__DXC61_07750
ERR1913286.164719__1.164719	165179__D1PAV8__DXB80_13055
ERR1913286.164743__1.164743	165179__A0A3E5E189__PREVCOP_06699
ERR1913286.164747__1.164747	165179__D1PGD2__DXC61_10875
ERR1913286.164760__1.164760	853__C7H7F5__DWZ46_01780
ERR1913286.164780__1.164780	28052__A0A174I2V6__ERS852499_00643
ERR1913286.164828__1.164828	28118__R6FCU5__B5F99_14335
ERR1913286.164886__1.164886	165179__R6CJG8__DXC61_09290
ERR1913286.165025__1.165025	39491__A0A396FVC0__ERE_15900
ERR1913286.165064__1.165064	165179__D1PGU8__PREVCOP_06463
ERR1913286.165122__1.165122	40518__R5DVQ2__DXD93_00365
ERR1913286.165153__1.165153	165179__A0A3E5E2S3__DXB80_03455
ERR1913286.165374__1.165374	39492__D4JUL4__ERS852540_01381
ERR1913286.165616__1.165616	33043__D5HI50__smf
ERR1913286.165966__1.165966	821__A0A397WGD6__M098_0084
ERR1913286.166077__1.166077	165179__A0A3E5AGH1__DXB80_05820
ERR1913286.166265__1.166265	39491__A0A396FUZ3__phoR_1
ERR1913286.166268__1.166268	357276__I9F327__DXD47_22495
ERR1913286.166483__1.166483	239935__A0A2N8HB50__CXU17_02615
ERR1913286.166580__1.166580	165179__A0A3E5EB26__CFT61_02800
ERR1913286.166589__1.166589	1262746__R5SL43__BN750_00182
ERR1913286.166782__1.166782	33043__A8SWL7__ERS852386_02506
ERR1913286.166750__1.166750	853__A0A174C5M1__CGS58_04460
ERR1913286.167087__1.167087	39485__R5ZII6__EUBELI_00986
ERR1913286.167218__1.167218	165179__W1I4H6__DXB80_13655
ERR1913286.167221__1.167221	39491__A0A395V464__EUBREC_1509
ERR1913286.167300__1.167300	165179__A0A3E5A554__DXB80_13805
ERR1913286.167373__1.167373	33043__D5HEE1__ERS852386_01671
ERR1913286.167567__1.167567	47678__R5U9Z0__HMPREF1061_03210
ERR1913286.167703__1.167703	39492__A0A174ZP27__EUBSIR_00033
ERR1913286.167798__1.167798	33043__D5HGZ8__nnr
ERR1913286.167941__1.167941	40520__R7DA92__DXC87_13515
ERR1913286.168162__1.168162	28117__R7JN92__BHV66_00550
ERR1913286.168169__1.168169	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913286.168350__1.168350	33043__A0A173X520__ERS852575_01617
ERR1913286.168354__1.168354	165179__A0A3E5EB26__CFT61_02800
ERR1913286.168381__1.168381	100886__E2NRW8__CATMIT_01324
ERR1913286.168691__1.168691	165179__A0A3E5AE59__DXC61_12885
ERR1913286.168831__1.168831	39491__A0A396FNY7__LD38_16155
ERR1913286.168833__1.168833	28116__W6P631__HMPREF2532_01084
ERR1913286.168847__1.168847	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913286.168980__1.168980	33043__D5HIS6__ERS852575_02019
ERR1913286.169031__1.169031	165179__A0A3E5AE59__DXC61_12885
ERR1913286.169312__1.169312	165179__A0A3E5E2S3__DXB80_03455
ERR1913286.169398__1.169398	33043__D5HHF5__ERS852386_00025
ERR1913286.169454__1.169454	168384__C6LB97__BRYFOR_05892
ERR1913286.169469__1.169469	239935__A0A139TPD4__CXT86_06450
ERR1913286.169499__1.169499	165179__R6BQP4__DXC61_02015
ERR1913286.169596__1.169596	1680__A0A2R4G1K8__BBMN23_0315
ERR1913286.169777__1.169777	39491__A0A395V5L2__ERE_28270
ERR1913286.169800__1.169800	487175__R6A6Q5__HMPREF9439_01787
ERR1913286.169835__1.169835	39491__A0A395V0H3__ERS852417_01192
ERR1913286.169944__1.169944	39486__B0G723__DXC93_09665
ERR1913286.170358__1.170358	2293125__A0A374CA90__DW917_07695
ERR1913286.170586__1.170586	28052__R7NCR8__ERS852499_01142
ERR1913286.170648__1.170648	328814__GCA_004558275.1_01003
ERR1913286.170828__1.170828	39491__A0A396FGM9__fliU_1
ERR1913286.170963__1.170963	165179__D1PE06__DXC61_05975
ERR1913286.170980__1.170980	39485__A0A174YNW2__cph2_3
ERR1913286.171003__1.171003	1680__A0A3E4SB79__BAD_1517
ERR1913286.171235__1.171235	165179__R6CNX7__DXB80_02200
ERR1913286.171282__1.171282	1262803__R6P0X6__BN649_00395
ERR1913286.171297__1.171297	165179__D1PCT4__DXB80_09470
ERR1913286.171514__1.171514	165179__A0A3E4SB95__DXC61_13455
ERR1913286.171686__1.171686	39492__D4JWX2__accB
ERR1913286.171689__1.171689	39488__C0EY66__prkC_1
ERR1913286.171776__1.171776	100886__E2NSF9__rpoB
ERR1913286.171802__1.171802	853__A0A2A7B9I6__DW855_13690
ERR1913286.171813__1.171813	39491__A0A174LTW7__DXD13_08720
ERR1913286.171915__1.171915	360807__C0FR49__ROSEINA2194_01203
ERR1913286.171923__1.171923	165179__A0A3E5AER8__DXB80_07075
ERR1913286.171924__1.171924	360807__A0A1Q6T8A0__mepA_13
ERR1913286.171968__1.171968	745368__A0A1T4YBU5__SAMN02745178_02911
ERR1913286.172006__1.172006	165179__A0A3E5EB26__CFT61_02800
ERR1913286.172169__1.172169	165179__A0A174SR12__DXB80_04410
ERR1913286.172209__1.172209	52226__C9KL82__MITSMUL_03981
ERR1913286.172250__1.172250	74426__infB
ERR1913286.172297__1.172297	301302__A0A173RQG1__M72_18491
ERR1913286.172377__1.172377	47678__R5UAI1__BACCAC_01922
ERR1913286.172422__1.172422	165179__R6XLJ7__CFT61_06250
ERR1913286.172526__1.172526	936548__J0SWQ4__HMPREF1136_1839
ERR1913286.172547__1.172547	28111__E5WXY3__NCTC11155_00116
ERR1913286.172572__1.172572	28052__A0A174I9N3__ERS852499_00684
ERR1913286.172695__1.172695	239935__A0A2N8HZW2__A4V05_11120
ERR1913286.172955__1.172955	165179__A0A3E5E4T9__DXB80_08030
ERR1913286.172961__1.172961	165179__A0A3E5E5M2__PREVCOP_03530
ERR1913286.172985__1.172985	301302__R5UKF2__M72_19701
ERR1913286.173170__1.173170	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913286.173143__1.173143	39491__A0A395UZL1__DXB76_05950
ERR1913286.173180__1.173180	39491__A0A395ZG74__licR
ERR1913286.173739__1.173739	39492__D4JUP6__ERS852540_01404
ERR1913286.173751__1.173751	291645__I8XPK0__HMPREF1068_01554
ERR1913286.173868__1.173868	46228__B5CPY3__DXD17_03535
ERR1913286.174112__1.174112	165179__D1P9T6__PREVCOP_04016
ERR1913286.174195__1.174195	165179__D1PHV2__PREVCOP_06822
ERR1913286.174384__1.174384	165179__D1PE06__DXC61_05975
ERR1913286.174398__1.174398	28052__A0A174KBY5__slyD
ERR1913286.174405__1.174405	165179__A0A229I1J2__DXB80_03950
ERR1913286.174416__1.174416	39491__A0A396FFW0__ERE_10580
ERR1913286.174707__1.174707	165179__A0A174W369__PREVCOP_04548
ERR1913286.174721__1.174721	1262992__R5D637__BN795_00221
ERR1913286.174970__1.174970	165179__A0A174X1C3__DXB80_12745
ERR1913286.175116__1.175116	47678__R5UG30__ERS852558_03525
ERR1913286.175131__1.175131	1796613__A0A1C7H6N8__ADH74_01350
ERR1913286.175240__1.175240	165179__A0A3E5A832__DXC61_13685
ERR1913286.175328__1.175328	165179__A0A3E5AI09__DXC61_05815
ERR1913286.175358__1.175358	165179__A0A3E5DZ85__PREVCOP_04238
ERR1913286.175509__1.175509	1262924__R7HQB7__BN585_02057
ERR1913286.175604__1.175604	357276__A0A0M1W657__HMPREF1064_04629
ERR1913286.175644__1.175644	165179__A0A3E5AER8__DXB80_07075
ERR1913286.175659__1.175659	1263000__R5EB82__BN466_00644
ERR1913286.175882__1.175882	28117__B0MU57__ALIPUT_00175
ERR1913286.176086__1.176086	187979__A0A173ZVI7__ptsG_2
ERR1913286.176177__1.176177	239935__A0A2N8HB50__CXU17_02615
ERR1913286.176361__1.176361	33043__D5HF50__ERS852386_02415
ERR1913286.176293__1.176293	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913286.176412__1.176412	853__A0A173TAZ8__DWZ46_14590
ERR1913286.176416__1.176416	626940__E8LBR4__BHW43_02255
ERR1913286.176444__1.176444	384638__B7APN3__BACPEC_00639
ERR1913286.176543__1.176543	239935__R7E524__CXT91_06180
ERR1913286.176596__1.176596	39492__D4JR58__EUBSIR_02090
ERR1913286.176733__1.176733	239935__A0A2N8ILG3__CXT93_10135
ERR1913286.177201__1.177201	410072__A0A174D889__COPCOM_01759
ERR1913286.177214__1.177214	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913286.177328__1.177328	410072__A0A174QU55__luxQ
ERR1913286.177518__1.177518	33043__A0A174H5E3__ERS852400_02880
ERR1913286.177486__1.177486	1628085__A0A396Q6V9__C7386_102126
ERR1913286.177500__1.177500	165179__A0A3E5EB26__CFT61_02800
ERR1913286.177590__1.177590	1680__A0A0B5BIU5__BSTER_0145
ERR1913286.177621__1.177621	360807__C0G083__ROSEINA2194_04432
ERR1913286.177692__1.177692	357276__I9FTR0__HMPREF1065_02861
ERR1913286.177852__1.177852	165179__A0A229I1J2__DXB80_03950
ERR1913286.177898__1.177898	39492__D4JRZ7__smc
ERR1913286.178005__1.178005	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913286.178077__1.178077	626940__E8LD25__DCQ00_00460
ERR1913286.178170__1.178170	1263011__R6E2T8__BN553_01793
ERR1913286.178200__1.178200	384639__GCA_003096855.1_01177
ERR1913286.178199__1.178199	1150298__A0A174E950__ERS852498_02096
ERR1913286.178294__1.178294	1262911__R6GSH0__BN557_00934
ERR1913286.178346__1.178346	28052__A0A174KGM3__ERS852451_01819
ERR1913286.178493__1.178493	39491__A0A396FKI0__DXC13_11560
ERR1913286.178517__1.178517	165179__D1PGJ6__DXC61_07300
ERR1913286.178578__1.178578	487175__F3QGM6__HMPREF9439_00065
ERR1913286.178596__1.178596	1263011__R6DSV1__BN553_00294
ERR1913286.178605__1.178605	1263107__GCA_000436995.1_00147
ERR1913286.178842__1.178842	823__A0A395YRX4__ERS852513_03444
ERR1913286.178813__1.178813	165179__D1P9T6__PREVCOP_04016
ERR1913286.178956__1.178956	884684__GCA_002892425.1_01408
ERR1913286.178961__1.178961	33043__D5HGR0__rpfC_2
ERR1913286.178939__1.178939	165179__R6C5D6__PREVCOP_04658
ERR1913286.178972__1.178972	357276__I9QBT7__BSEG_03340
ERR1913286.179089__1.179089	165179__A0A3E4SID1__DXB80_01945
ERR1913286.179068__1.179068	165179__A0A3E5E2C8__folA
ERR1913286.179222__1.179222	28052__A0A174M373__speA_2
ERR1913286.179232__1.179232	626940__E8LDT4__rarD
ERR1913286.179425__1.179425	1262743__R5C054__BN727_01980
ERR1913286.179467__1.179467	39491__C4ZF05__vpr
ERR1913286.179582__1.179582	40518__R5DWP7__ansA
ERR1913286.179744__1.179744	165179__A0A174UTZ7__DXC61_06705
ERR1913286.179848__1.179848	165179__A0A174IHQ2__PREVCOP_05478
ERR1913286.179862__1.179862	1262986__R6A9J1__BN492_01353
ERR1913286.179974__1.179974	165179__A0A3E5E7J5__DXC61_10360
ERR1913286.180311__1.180311	239935__A0A2N8HB50__CXU17_02615
ERR1913286.180332__1.180332	1262924__R7HMW0__BN585_01951
ERR1913286.180417__1.180417	165179__A0A174WGF6__PREVCOP_04095
ERR1913286.180422__1.180422	1680__A0A374QDL4__LMG18897_0432
ERR1913286.180549__1.180549	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913286.180696__1.180696	76489__A0A1E8EUC5__CLOACE_23150
ERR1913286.180705__1.180705	2293125__A0A374BMK9__DW917_16190
ERR1913286.180932__1.180932	28052__A0A174GQI3__ERS852451_00394
ERR1913286.180951__1.180951	357276__A0A076IXE0__HMPREF1064_04364
ERR1913286.181076__1.181076	165179__A0A174SR12__DXB80_04410
ERR1913286.181444__1.181444	40518__R5E6K5__speA
ERR1913286.181494__1.181494	1262777__R5WCV5__BN512_01137
ERR1913286.181858__1.181858	165179__A0A3E5E9I4__DXB80_09745
ERR1913286.181930__1.181930	165179__A0A3E5EA83__DXC61_07750
ERR1913286.182041__1.182041	360807__C0FY61__ERS852444_00016
ERR1913286.182022__1.182022	39491__A0A396FNY7__LD38_16155
ERR1913286.182145__1.182145	165179__A0A174XZU8__DXB80_12180
ERR1913286.182382__1.182382	745368__A0A1T4XF62__SAMN02745178_01833
ERR1913286.182533__1.182533	1262924__R7HRF6__BN585_01735
ERR1913286.182553__1.182553	39491__C4ZF05__vpr
ERR1913286.182587__1.182587	853__A0A173T6P2__DWZ46_14595
ERR1913286.182688__1.182688	28117__B0MSL1__BHV66_06710
ERR1913286.182739__1.182739	39491__C4ZCH3__EUR_17560
ERR1913286.182716__1.182716	28052__A0A174I4I1__ERS852499_00646
ERR1913286.183012__1.183012	39492__A0A3D4MN89__nadD
ERR1913286.183047__1.183047	33043__D5HFD3__ybbD
ERR1913286.183126__1.183126	487174__K0X250__DDY40_03675
ERR1913286.183331__1.183331	1263011__R6EIY4__BN553_01183
ERR1913286.183517__1.183517	165179__A0A3E5E2S3__DXB80_03455
ERR1913286.183646__1.183646	357276__I8VN30__HMPREF1065_03051
ERR1913286.184005__1.184005	39491__D4JMW8__ERS852497_01971
ERR1913286.184027__1.184027	28117__B0MWC6__BHV66_00965
ERR1913286.184146__1.184146	165179__A0A3E5DX15__DXC61_00345
ERR1913286.184320__1.184320	165179__A0A3E5E5M2__PREVCOP_03530
ERR1913286.184566__1.184566	28117__B0MY45__ALIPUT_02164
ERR1913286.184648__1.184648	2293125__A0A374BY09__DW917_11855
ERR1913286.184659__1.184659	301301__A0A395VBJ2__ERS852391_02160
ERR1913286.184714__1.184714	33043__D5HH62__ERS852575_00121
ERR1913286.185107__1.185107	40518__R5DZ16__DXD86_01455
ERR1913286.185282__1.185282	360807__A0A1Q6T6N0__RIL183_24191
ERR1913286.185576__1.185576	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913286.185702__1.185702	165179__A0A174IYW3__DXC61_01235
ERR1913286.185644__1.185644	1628085__A0A2U1BCV0__C7386_1063
ERR1913286.185989__1.185989	39491__A0A396FFW0__ERE_10580
ERR1913286.186075__1.186075	33043__A0A174B7D6__ERS852400_01331
ERR1913286.186083__1.186083	165179__D1PDT3__PREVCOP_05375
ERR1913286.186233__1.186233	165179__D1PE06__DXC61_05975
ERR1913286.186361__1.186361	745368__A0A1T4Y7W7__SAMN02745178_02825
ERR1913286.186391__1.186391	28117__B0MYW7__ALIPUT_02336
ERR1913286.186584__1.186584	387090__S0F7Y3__BACCOPRO_02028
ERR1913286.186612__1.186612	165179__R6BQP4__DXC61_02015
ERR1913286.186658__1.186658	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913286.186860__1.186860	165179__A0A3E5DX15__DXC61_00345
ERR1913286.187108__1.187108	39488__A0A285PP79__murD
ERR1913286.187233__1.187233	28052__R7NAP6__ERS852499_01969
ERR1913286.187308__1.187308	28117__B0MXW9__ALIPUT_01981
ERR1913286.187447__1.187447	371601__R6DWQ9__SAMN04487924_11954
ERR1913286.187678__1.187678	1262743__R5BZ85__BN727_01705
ERR1913286.187879__1.187879	165179__D1PAJ7__PREVCOP_04222
ERR1913286.187945__1.187945	33043__D5HEU4__ftsW_3
ERR1913286.188281__1.188281	33043__D5HHE4__ERS852445_02332
ERR1913286.188260__1.188260	745368__A0A1T4XIF3__SAMN02745178_01889
ERR1913286.188402__1.188402	33043__A8SWM2__ERS852575_01910
ERR1913286.188380__1.188380	165179__R6CNX7__DXB80_02200
ERR1913286.188610__1.188610	410072__C0B7P0__DXD67_07205
ERR1913286.188626__1.188626	165179__D1PCT4__DXB80_09470
ERR1913286.188746__1.188746	39491__A0A396FEW6__T1815_18721
ERR1913286.188793__1.188793	165179__A0A229I4J4__proA
ERR1913286.188963__1.188963	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913286.188983__1.188983	46503__R6X5E7__PARMER_00245
ERR1913286.189217__1.189217	338188__R6RWS7__HMPREF1057_00911
ERR1913286.189191__1.189191	823__A0A355XF06__B5F32_11480
ERR1913286.189196__1.189196	487175__R6A6Q5__HMPREF9439_01787
ERR1913286.189253__1.189253	239935__A0A2N8ITG2__Amuc_0335
ERR1913286.189388__1.189388	1628085__A0A396QCK7__C7386_10670
ERR1913286.189465__1.189465	165179__A0A3E5EBM5__DXC61_02170
ERR1913286.189551__1.189551	28052__A0A174K6D6__ERS852451_01708
ERR1913286.189562__1.189562	39491__A0A396FMT0__EUBREC_3020
ERR1913286.189634__1.189634	39491__R6TQ09__DXC13_03010
ERR1913286.189766__1.189766	46503__A7AB27__DXB85_00430
ERR1913286.189793__1.189793	33043__A0A174B5C6__acm_3
ERR1913286.189949__1.189949	47678__R5UXY0__CGC64_03535
