ERR1912966.46__1.46	1161942__argD
ERR1912966.344845__1.344845	239935__A0A2N8IEP3__CXT84_03735
ERR1912966.345106__1.345106	239935__R7DVW2__CXU02_03915
ERR1912966.345118__1.345118	147206__GCF_000156215.1_01816
ERR1912966.345216__1.345216	35833__E5Y3Z3__HMPREF0179_00904
ERR1912966.345411__1.345411	853__A8SCP3__C4N26_07960
ERR1912966.345478__1.345478	239935__A0A2N8IRL2__CXU06_01170
ERR1912966.345546__1.345546	239935__R6JD78__CXU05_09250
ERR1912966.345791__1.345791	820__A0A3E4QZJ7__C801_01798
ERR1912966.345809__1.345809	33043__A0A173ZDC4__malL_1
ERR1912966.345900__1.345900	410072__A0A173YGR9__ERS852389_00952
ERR1912966.345936__1.345936	39496__A5Z5I2__EUBVEN_00963
ERR1912966.346006__1.346006	239935__A0A2N8HUU6__CXT90_06150
ERR1912966.346281__1.346281	384638__B7APN3__BACPEC_00639
ERR1912966.346296__1.346296	172901__A0A2U1BA30__C8D82_102105
ERR1912966.346367__1.346367	33043__A0A173X520__ERS852575_01617
ERR1912966.346415__1.346415	1263000__R5EFY3__BN466_01416
ERR1912966.346497__1.346497	1262761__R6QND7__BN606_00927
ERR1912966.346638__1.346638	239935__A0A3F3K985__CXT98_05805
ERR1912966.346785__1.346785	33043__D5HI36__ERS852400_02168
ERR1912966.347038__1.347038	1263011__R6DV48__BN553_00646
ERR1912966.347189__1.347189	33043__A0A174H1B6__ERS852575_02702
ERR1912966.347236__1.347236	1263000__R5EIH8__BN466_01210
ERR1912966.347237__1.347237	1262915__R6HRT0__BN574_00012
ERR1912966.347219__1.347219	458033__GCA_001482755.1_02203
ERR1912966.347474__1.347474	239935__A0A2N8ITW6__CXT91_06265
ERR1912966.347600__1.347600	239935__A0A2N8HEH9__CXU07_11710
ERR1912966.347644__1.347644	1262761__R6R804__BN606_01411
ERR1912966.347948__1.347948	1262761__R6R1H3__BN606_00786
ERR1912966.347994__1.347994	384638__B7ANZ4__BACPEC_00398
ERR1912966.348047__1.348047	1262761__R6QJJ2__BN606_00358
ERR1912966.348269__1.348269	853__E2ZGD9__C7J97_11715
ERR1912966.348299__1.348299	820__A0A174Q0F0__DXB48_08080
ERR1912966.348363__1.348363	1680__A0A0B5BIU5__BSTER_0145
ERR1912966.348599__1.348599	165179__D1PHV2__PREVCOP_06822
ERR1912966.348742__1.348742	901__B6WVE1__DESPIGER_2036
ERR1912966.348784__1.348784	853__D4JY61__C4N21_10560
ERR1912966.348835__1.348835	901__B6WV59__feoB
ERR1912966.348968__1.348968	239935__R6J776__CXU07_02355
ERR1912966.349042__1.349042	1735__B7CDQ5__EUBIFOR_02338
ERR1912966.349116__1.349116	33043__D5HIA8__ERS852575_01867
ERR1912966.349117__1.349117	1897011__A0A1Q6RI77__BHW41_01180
ERR1912966.349241__1.349241	1262761__R6QZS1__BN606_01236
ERR1912966.349537__1.349537	239935__A0A2N8I6R6__CXU04_04335
ERR1912966.349464__1.349464	239935__A0A2N8HMQ8__pgsA
ERR1912966.349672__1.349672	39492__D4JSS4__ERS852540_02517
ERR1912966.349693__1.349693	40518__R5DZB1__DXD83_08840
ERR1912966.349702__1.349702	572010__nrdD
ERR1912966.349739__1.349739	46503__K5ZAK9__NCTC13052_03308
ERR1912966.349839__1.349839	1262825__R5EGI3__BN724_01623
ERR1912966.349985__1.349985	39485__R5ZRT8__gmr_6
ERR1912966.350023__1.350023	1262911__R6H0U7__BN557_01104
ERR1912966.350123__1.350123	1680__A0A0B5BKZ3__DXD60_01450
ERR1912966.350135__1.350135	74426__group_4808
ERR1912966.350143__1.350143	1262761__R6QXV6__BN606_00004
ERR1912966.350202__1.350202	1680__R5GZF2__DXC60_01925
ERR1912966.350359__1.350359	1235835__R9LCU2__C814_02677
ERR1912966.350442__1.350442	239935__A0A2N8I3G2__CXT89_00720
ERR1912966.350475__1.350475	1735__B7CCQ4__EUBIFOR_01982
ERR1912966.350545__1.350545	239935__R6JFR5__CXT84_04850
ERR1912966.350716__1.350716	1262986__A0A350CXI8__BN492_00074
ERR1912966.350840__1.350840	1262761__R6QTF1__BN606_01445
ERR1912966.351030__1.351030	1520815__A0A1I3PJ68__SAMN02910435_01559
ERR1912966.351257__1.351257	165179__A0A3E5E920__DXB80_11625
ERR1912966.351258__1.351258	1262761__R6R4X3__BN606_01996
ERR1912966.351455__1.351455	1263000__R5EGY6__BN466_00973
ERR1912966.351444__1.351444	239935__A0A2N8IKW7__pstA
ERR1912966.351786__1.351786	165179__A0A3E5DN34__DXC61_07865
ERR1912966.351855__1.351855	1262869__R7CS43__BN625_00206
ERR1912966.351936__1.351936	1263000__R5EET9__BN466_01245
ERR1912966.351938__1.351938	853__A0A2A7A628__CGS57_13755
ERR1912966.351956__1.351956	1897011__A0A1Q6RFG0__BHW41_03665
ERR1912966.351992__1.351992	239935__A0A139TVJ4__CXT86_02020
ERR1912966.352408__1.352408	457421__C5ERC0__CBFG_04276
ERR1912966.353452__1.353452	1680__A0A087DHN0__AL0462_1532
ERR1912966.353795__1.353795	1161942__celA_2
ERR1912966.353946__1.353946	853__A0A2A7B1Y7__C7K05_11930
ERR1912966.353999__1.353999	33043__D5HIS6__ERS852575_02019
ERR1912966.354057__1.354057	1262761__R6QW09__BN606_00873
ERR1912966.354296__1.354296	33043__A8SWM2__ERS852575_01910
ERR1912966.354858__1.354858	901__B6WUG8__DHV46_10540
ERR1912966.355281__1.355281	1262761__R6QT59__BN606_01822
ERR1912966.355329__1.355329	901__B6WVE0__DESPIG_02056
ERR1912966.355409__1.355409	33043__A0A173W9Y8__ERS852575_00062
ERR1912966.355530__1.355530	106588__A6NUL8__BACCAP_01900
ERR1912966.355628__1.355628	1680__A7A7Z9__AAX71_05385
ERR1912966.355714__1.355714	1660__S2ZQ12__APY09_06000
ERR1912966.355813__1.355813	165179__A0A229I4J4__proA
ERR1912966.355795__1.355795	116085__D4J5D0__DW747_06710
ERR1912966.356186__1.356186	33043__D5HDL8__ERS852575_02529
ERR1912966.356202__1.356202	901__B6WWQ9__DESPIG_02528
ERR1912966.356333__1.356333	1262761__R6R8K0__BN606_01521
ERR1912966.356313__1.356313	33043__A0A174CV49__ERS852386_02395
ERR1912966.356404__1.356404	33043__D5HIA8__ERS852575_01867
ERR1912966.356446__1.356446	1262761__R6QUP0__BN606_01674
ERR1912966.356615__1.356615	853__A0A2A7B1Y7__C7K05_11930
ERR1912966.356768__1.356768	1262986__R6A878__BN492_00369
ERR1912966.356782__1.356782	28117__B0MUY3__BHV66_00515
ERR1912966.356864__1.356864	853__A0A2A7B1Y7__C7K05_11930
ERR1912966.357016__1.357016	1263000__R5EWT9__BN466_02076
ERR1912966.357058__1.357058	820__A0A1T4IY80__ERS852554_01621
ERR1912966.357137__1.357137	853__A0A173YYY4__DWZ04_09420
ERR1912966.357160__1.357160	74426__group_4823
ERR1912966.357237__1.357237	1262761__R6QRP2__BN606_00241
ERR1912966.357370__1.357370	1263027__R6ZI16__BN699_01371
ERR1912966.357393__1.357393	884684__GCA_002892425.1_01408
ERR1912966.357505__1.357505	1150298__A0A174HHW8__yhbU_1
ERR1912966.357643__1.357643	1263027__R6ZI16__BN699_01371
ERR1912966.357659__1.357659	419015__A0A2I1M5Y8__HMPREF3214_00998
ERR1912966.357675__1.357675	1897011__A0A1Q6RDV6__BHW41_05295
ERR1912966.357775__1.357775	745368__A0A1T4Y443__SAMN02745178_02724
ERR1912966.358105__1.358105	1161942__araQ_2
ERR1912966.358146__1.358146	33043__A0A173WXS1__ERS852445_00262
ERR1912966.358215__1.358215	239935__A0A2N8HPX2__CXT90_09930
ERR1912966.358266__1.358266	310297__R5VVK0__BACPLE_02007
ERR1912966.358403__1.358403	384638__B7AN18__BACPEC_00070
ERR1912966.358489__1.358489	1263027__R6ZPD8__BN699_00744
ERR1912966.358600__1.358600	33043__A0A174FIJ8__ERS852445_02217
ERR1912966.358735__1.358735	1680__A0A174BEE7__BSTER_1311
ERR1912966.358813__1.358813	1897011__A0A1Q6RH61__BHW41_01970
ERR1912966.358867__1.358867	853__A0A2A7B1Y7__C7K05_11930
ERR1912966.358921__1.358921	28117__B0MXJ1__BHV66_08445
ERR1912966.358952__1.358952	1262961__R6EK01__BN710_00862
ERR1912966.358978__1.358978	216816__D6D9J4__DPC6320_0487
ERR1912966.359212__1.359212	239935__A0A139TPD4__CXT86_06450
ERR1912966.359246__1.359246	33043__A0A374K1H3__ykoD_2
ERR1912966.359322__1.359322	1262761__R6R5Y6__BN606_00217
ERR1912966.359508__1.359508	1262915__R6HBE0__BN574_01103
ERR1912966.359555__1.359555	1681__D4QAP5__CJD48_05740
ERR1912966.359783__1.359783	239935__A0A2N8IFA0__CXT92_02050
ERR1912966.359828__1.359828	239935__A0A2N8IMC3__CXT96_03840
ERR1912966.359991__1.359991	901__B6WTQ4__DESPIGER_1255
ERR1912966.360101__1.360101	39485__A0A174ZPJ9__tig_2
ERR1912966.360107__1.360107	1318__A0A0F3H5H2__HMPREF9626_0677
ERR1912966.360233__1.360233	1262911__R6GPC5__BN557_00852
ERR1912966.360271__1.360271	853__A0A173YYY4__DWZ04_09420
ERR1912966.360317__1.360317	46503__R6WTW1__NCTC13052_03440
ERR1912966.360400__1.360400	74426__rpoC
ERR1912966.360597__1.360597	33043__D5HDB6__sipT_2
ERR1912966.360655__1.360655	116085__D4J5N0__DW747_05045
ERR1912966.360720__1.360720	310297__B5CUD7__BHV76_11070
ERR1912966.360888__1.360888	239935__A0A139TQT9__Amuc_1197
ERR1912966.360863__1.360863	1262869__R7CPN9__BN625_01440
ERR1912966.360915__1.360915	28117__B0MTV5__BHV66_06415
ERR1912966.360973__1.360973	821__A0A395VIK7__BVU_1225
ERR1912966.361014__1.361014	1235835__R9LCU2__C814_02677
ERR1912966.361333__1.361333	1680__A0A087DHN0__AL0462_1532
ERR1912966.361485__1.361485	239935__A0A2N8I1R3__CXU05_06075
ERR1912966.362012__1.362012	1680__A0A1X3A951__AL0462_1583
ERR1912966.362056__1.362056	74426__rpoC
ERR1912966.362083__1.362083	33043__A0A173QXC2__hyaD_1
ERR1912966.362167__1.362167	630129__A0A087B5Z5__BKAS_1297
ERR1912966.362217__1.362217	1161942__bglA
ERR1912966.362280__1.362280	165179__D1PCT4__DXB80_09470
ERR1912966.362455__1.362455	165179__A0A174SA26__PREVCOP_05758
ERR1912966.362517__1.362517	239935__B2UPZ6__CXU03_03800
ERR1912966.362614__1.362614	165179__D1PGU8__PREVCOP_06463
ERR1912966.362673__1.362673	239935__R6J5N6__CXT99_10770
ERR1912966.362830__1.362830	165179__A0A174SR12__DXB80_04410
ERR1912966.362833__1.362833	239935__A0A2N8IMC9__CXU09_02095
ERR1912966.362842__1.362842	1262915__R6HNJ1__BN574_00913
ERR1912966.362862__1.362862	239935__A0A2N8HDT1__CXT94_05270
ERR1912966.362889__1.362889	1262777__R5W767__BN512_00041
ERR1912966.363079__1.363079	165179__R6C3K4__PREVCOP_05795
ERR1912966.363354__1.363354	1161942__capA
ERR1912966.363374__1.363374	165179__A0A3E4SJT2__PREVCOP_04897
ERR1912966.363453__1.363453	239935__A0A2N8I3G2__CXT89_00720
ERR1912966.363471__1.363471	33043__D5HFA1__ERS852400_02183
ERR1912966.363525__1.363525	39485__C4Z6V7__walK
ERR1912966.363807__1.363807	1262761__R6QWS5__BN606_02019
ERR1912966.363999__1.363999	1262992__R5D9T1__BN795_00079
ERR1912966.364061__1.364061	165179__D1PGU8__PREVCOP_06463
ERR1912966.364358__1.364358	214856__I3YPQ4__Alfi_2712
ERR1912966.364468__1.364468	1150298__A0A174B7I7__ERS852535_01258
ERR1912966.364527__1.364527	1263000__R5EXT3__BN466_02213
ERR1912966.364567__1.364567	384638__B7AQF5__BACPEC_00912
ERR1912966.364759__1.364759	165179__D1PDJ4__DXB80_08505
ERR1912966.364931__1.364931	1262992__R5CXL9__BN795_01014
ERR1912966.365006__1.365006	239935__A0A139TPG3__CXT86_08810
ERR1912966.365793__1.365793	674529__A0A174HPT9__SAMN05444400_11358
ERR1912966.365803__1.365803	239935__A0A2N8IHY1__CXU06_00035
ERR1912966.365832__1.365832	239935__A0A2N8HHB6__B5G29_11500
ERR1912966.366118__1.366118	1262915__R6IBT6__BN574_01572
ERR1912966.366322__1.366322	74426__nrdD
ERR1912966.366463__1.366463	1680__A0A0C2YNK5__BADO_0780
ERR1912966.366678__1.366678	39492__D4JQM9__EUBSIR_00669
ERR1912966.366738__1.366738	239935__A0A2N8IU14__ADH72_05655
ERR1912966.366850__1.366850	33043__D5HH72__ERS852445_02265
ERR1912966.366909__1.366909	1262761__R6QWS5__BN606_02019
ERR1912966.366919__1.366919	1263000__R5EC30__BN466_00683
ERR1912966.366922__1.366922	1262761__R6QU88__BN606_01983
ERR1912966.367056__1.367056	33043__D5HDB6__sipT_2
ERR1912966.367299__1.367299	239935__B2UQB8__CXT86_01740
ERR1912966.367340__1.367340	1263027__R6ZDX1__BN699_02052
ERR1912966.367437__1.367437	1680__A0A174BEE7__BSTER_1311
ERR1912966.367563__1.367563	39485__R5ZNG4__yerB
ERR1912966.367593__1.367593	214856__I3YPQ4__Alfi_2712
ERR1912966.367687__1.367687	239935__A0A2N8I9N0__CXT97_09915
ERR1912966.367787__1.367787	239935__A0A2N8I3G2__CXT89_00720
ERR1912966.367824__1.367824	853__D4JY61__C4N21_10560
ERR1912966.367912__1.367912	1262915__R6ID43__BN574_00300
ERR1912966.367991__1.367991	33043__D5HIU3__ERS852386_01914
ERR1912966.368082__1.368082	1680__A0A0B5BIU5__BSTER_0145
ERR1912966.368535__1.368535	165179__A0A3E5AER8__DXB80_07075
ERR1912966.368686__1.368686	1262911__R6GKS1__BN557_00184
ERR1912966.368694__1.368694	239935__A0A2N8I390__CXU16_10675
ERR1912966.368697__1.368697	239935__A0A2N8ILG3__CXT93_10135
ERR1912966.369079__1.369079	853__A0A2A7B1Y7__C7K05_11930
ERR1912966.369090__1.369090	33043__D5HI39__baeS_1
ERR1912966.369576__1.369576	33043__D5HHF5__ERS852386_00025
ERR1912966.369587__1.369587	1262761__R6QV93__BN606_01806
ERR1912966.369753__1.369753	1680__A0A076JM61__DXD63_05245
ERR1912966.369886__1.369886	1262761__R6R8B3__BN606_01478
ERR1912966.370189__1.370189	239935__A0A2N8IEP3__CXT84_03735
ERR1912966.370316__1.370316	1520815__A0A1I3P7S9__SAMN02910435_01479
ERR1912966.370323__1.370323	39496__A5Z3N0__EUBVEN_00276
ERR1912966.370478__1.370478	214856__A0A175A6T5__ERS852447_02658
ERR1912966.370524__1.370524	1680__A0A3E4SB79__BAD_1517
ERR1912966.370582__1.370582	239935__R6JD78__CXU05_09250
ERR1912966.370625__1.370625	1235835__R9LCU2__C814_02677
ERR1912966.370695__1.370695	239935__A0A2N8INZ4__CXU08_03560
ERR1912966.371122__1.371122	239935__A0A139TT05__CXU09_03335
ERR1912966.371314__1.371314	853__A0A173T0Y8__CGS54_07215
ERR1912966.371295__1.371295	410072__A0A174DJM1__DXD67_05275
ERR1912966.371318__1.371318	1263027__R7A6G1__BN699_00047
ERR1912966.371358__1.371358	1262761__R6QND7__BN606_00927
ERR1912966.371514__1.371514	901__B6WXK8__DESPIG_02835
ERR1912966.371575__1.371575	338188__A0A173ZJ94__BACFIN_06122
ERR1912966.371679__1.371679	1262761__R6RU22__BN606_01110
ERR1912966.371878__1.371878	1897011__A0A1Q6RE47__BHW41_04715
ERR1912966.371887__1.371887	1263000__R5ES99__BN466_01121
ERR1912966.372007__1.372007	246787__A0A0N7IFH2__BcellWH2_02957
ERR1912966.372246__1.372246	39485__A0A174YMP3__ERS852490_01032
ERR1912966.372413__1.372413	239935__A0A2N8HHB6__B5G29_11500
ERR1912966.372831__1.372831	410072__A0A173S248__ERS852525_02992
ERR1912966.372960__1.372960	239935__B2UNC5__B5G29_07685
ERR1912966.372912__1.372912	292800__A0A096B9D4__HMPREF0372_02292
ERR1912966.373048__1.373048	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1912966.373254__1.373254	901__B6WTQ4__DESPIGER_1255
ERR1912966.373329__1.373329	33043__A0A173YUV6__ERS852386_00507
ERR1912966.373457__1.373457	33043__A0A174B7D6__ERS852400_01331
ERR1912966.373599__1.373599	745368__A0A1T4Y7W7__SAMN02745178_02825
ERR1912966.373649__1.373649	1263027__R7AVM8__BN699_01088
ERR1912966.374077__1.374077	239935__R7DVW2__CXU02_03915
ERR1912966.374474__1.374474	853__A0A329UEG4__CHR60_00585
ERR1912966.374520__1.374520	239935__R7DVW2__CXU02_03915
ERR1912966.374581__1.374581	1235835__R9LCU2__C814_02677
ERR1912966.374653__1.374653	328814__GCA_004558275.1_00986
ERR1912966.374663__1.374663	1262761__R6QS88__BN606_01626
ERR1912966.374799__1.374799	1034346__A0A3C0DHF1__DES51_105174
ERR1912966.374831__1.374831	853__A0A173YYY4__DWZ04_09420
ERR1912966.375060__1.375060	674529__R6V9C9__DXB21_16435
ERR1912966.375365__1.375365	239935__A0A2N8IU45__DEF40_02365
ERR1912966.375421__1.375421	39492__D4JU94__ispE
ERR1912966.375484__1.375484	1262761__R6QXL2__BN606_02127
ERR1912966.375458__1.375458	821__A0A173XDD3__DXB82_17180
ERR1912966.375895__1.375895	165179__A0A3E5EBM5__DXC61_02170
ERR1912966.375921__1.375921	1897011__A0A1Q6RJV2__BHW41_00030
ERR1912966.376046__1.376046	239935__A0A2N8HPS5__Amuc_0950
ERR1912966.376346__1.376346	33043__A0A173WU55__ganB_2
ERR1912966.376416__1.376416	1855299__A0A1I5MP36__SAMN05216343_10384
ERR1912966.376668__1.376668	1735__B7CDP2__carA
ERR1912966.376591__1.376591	1263000__R5ENX5__BN466_00466
ERR1912966.376602__1.376602	165179__A0A174W369__PREVCOP_04548
ERR1912966.376795__1.376795	239935__A0A3F3K985__CXT98_05805
ERR1912966.376759__1.376759	1263027__R7AVT2__BN699_00071
ERR1912966.376828__1.376828	165179__A0A3E5DX15__DXC61_00345
ERR1912966.377086__1.377086	33043__D5HFA1__ERS852400_02183
ERR1912966.377363__1.377363	328814__GCA_004558275.1_00293
ERR1912966.377405__1.377405	630129__A0A173Z5R6__BKAS_0486
ERR1912966.377820__1.377820	33043__D5HFE3__lacR
ERR1912966.377964__1.377964	78346__A0A087D3Y1__BRUM_1576
ERR1912966.378227__1.378227	1680__A0A087DHN0__AL0462_1532
ERR1912966.378258__1.378258	1680__A0A0B5BME4__DXD63_05015
ERR1912966.378294__1.378294	239935__A0A2N8HDT1__CXT94_05270
ERR1912966.378421__1.378421	33043__A8SWM2__ERS852575_01910
ERR1912966.378541__1.378541	39485__A0A174YZE2__spoIIE
ERR1912966.378592__1.378592	1680__A0A0C2YNK5__BADO_0780
ERR1912966.378651__1.378651	1262915__R6HEI9__BN574_00480
ERR1912966.378672__1.378672	40518__R5DP21__RBATCC27255_00348
ERR1912966.378675__1.378675	216816__C2GTH2__CE159_03580
ERR1912966.378836__1.378836	820__A0A3E4G826__C801_01612
ERR1912966.378857__1.378857	78346__A0A087D3Y1__BRUM_1576
ERR1912966.378916__1.378916	1262761__R6QMJ7__BN606_00803
ERR1912966.379091__1.379091	1161942__colA
ERR1912966.379259__1.379259	820__A0A174CG08__DXB62_13215
ERR1912966.379334__1.379334	33043__A0A173WCG7__ERS852575_01602
ERR1912966.379457__1.379457	821__A0A3E4KIM1__M097_3660
ERR1912966.379473__1.379473	1680__A0A2R4G1K8__BBMN23_0315
ERR1912966.379539__1.379539	853__A0A2A7B1Y7__C7K05_11930
ERR1912966.379557__1.379557	901__B6WVN3__DHV46_02690
ERR1912966.379603__1.379603	33043__D5HF29__eglS_1
ERR1912966.379638__1.379638	1262915__R6ICM3__BN574_00148
ERR1912966.379663__1.379663	165179__D1PGD2__DXC61_10875
ERR1912966.379771__1.379771	39486__B0G2J6__DXB12_13190
ERR1912966.379921__1.379921	853__A0A2A7B9I6__DW855_13690
ERR1912966.379930__1.379930	1897011__A0A1Q6RG48__BHW41_02345
ERR1912966.379949__1.379949	39492__D4JR58__EUBSIR_02090
ERR1912966.379980__1.379980	239935__R6JAS2__CXU02_10725
ERR1912966.380030__1.380030	1897011__A0A1Q6RC54__BHW41_06555
ERR1912966.380184__1.380184	1263000__R5EHB0__BN466_01647
ERR1912966.380426__1.380426	1150298__A0A174BC67__ERS852498_00837
ERR1912966.380485__1.380485	239935__R6J5N6__CXT99_10770
ERR1912966.380741__1.380741	239935__A0A139TT05__CXU09_03335
ERR1912966.380786__1.380786	1739406__A0A1S1EL12__HMPREF2902_01835
ERR1912966.380959__1.380959	216816__C5E9A6__mutT4
ERR1912966.380989__1.380989	1263027__R7AVT2__BN699_00071
ERR1912966.381104__1.381104	106588__A6NUL8__BACCAP_01900
ERR1912966.381177__1.381177	1263000__R5EHB0__BN466_01647
ERR1912966.381205__1.381205	239935__A0A2N8I5H6__CXT92_05565
ERR1912966.381377__1.381377	33043__A0A174DSP1__essC_2
ERR1912966.381759__1.381759	33043__A0A174DSP1__essC_2
ERR1912966.381866__1.381866	33043__A0A173RQ80__ERS852445_02211
ERR1912966.381997__1.381997	33043__A0A173WXS1__ERS852445_00262
ERR1912966.382091__1.382091	88431__A6BGH9__ERS852408_02691
ERR1912966.382574__1.382574	901__B6WX66__BHW59_05845
ERR1912966.382636__1.382636	239935__A0A2N8HT18__CXT93_06135
ERR1912966.382720__1.382720	1263000__R5EWT9__BN466_02076
ERR1912966.382920__1.382920	216816__B3DU85__APC1504_0160
ERR1912966.382934__1.382934	1262761__R6QMJ7__BN606_00803
ERR1912966.382967__1.382967	745368__A0A1T4XQT6__SAMN02745178_02143
ERR1912966.383057__1.383057	1235790__S0J8L6__C805_00148
ERR1912966.383099__1.383099	239935__R6JCH3__CXT95_08205
ERR1912966.383221__1.383221	1235835__R9LCU2__C814_02677
ERR1912966.383285__1.383285	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1912966.383533__1.383533	239935__R7DVL7__CXT93_01180
ERR1912966.383536__1.383536	46503__A7A9H8__DD461_05910
ERR1912966.383619__1.383619	853__A0A173XRA8__CGS56_09290
ERR1912966.383744__1.383744	1262761__R6QZS1__BN606_01236
ERR1912966.384026__1.384026	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1912966.384066__1.384066	165179__A0A174MTF2__DXC61_13200
ERR1912966.384122__1.384122	1262992__R5CXM7__BN795_01016
ERR1912966.384166__1.384166	165179__A0A3E4SEG4__DXC61_11235
ERR1912966.384174__1.384174	46503__R6X8Q3__fepA_2
ERR1912966.384278__1.384278	1161942__addB
ERR1912966.384296__1.384296	28117__B0MT73__ALIPUT_00412
ERR1912966.384299__1.384299	1897011__A0A1Q6RES7__BHW41_04275
ERR1912966.384562__1.384562	1262761__R6RU22__BN606_01110
ERR1912966.384735__1.384735	901__B6WSK7__DESPIGER_0721
ERR1912966.384927__1.384927	239935__A0A139TPG3__CXT86_08810
ERR1912966.384947__1.384947	410072__A0A174BMP0__DXD67_03635
ERR1912966.385290__1.385290	1262915__R6HFW1__BN574_00201
ERR1912966.385393__1.385393	33043__A8SPT5__yfiN_2
ERR1912966.385570__1.385570	88431__A0A3D0EXT6__ERS852423_01007
ERR1912966.385627__1.385627	328814__GCA_004558275.1_00294
ERR1912966.385673__1.385673	239935__A0A3F3K9J9__DEF40_00940
ERR1912966.385813__1.385813	853__A0A3E2U7E6__ERS852582_01640
ERR1912966.385876__1.385876	239935__B2UQP8__CXU15_01110
ERR1912966.385903__1.385903	1263027__R6ZE67__BN699_02172
ERR1912966.385922__1.385922	853__C7H1R8__DW905_06675
ERR1912966.386038__1.386038	1262915__R6HPP4__BN574_00486
ERR1912966.386158__1.386158	33043__A0A173WXS1__ERS852445_00262
ERR1912966.386238__1.386238	1263027__R6ZKG4__BN699_02109
ERR1912966.386446__1.386446	1262761__R6RZ48__BN606_01724
ERR1912966.386580__1.386580	1262761__R6QND7__BN606_00927
ERR1912966.386604__1.386604	1680__A0A2R4G1K8__BBMN23_0315
ERR1912966.386611__1.386611	1680__A0A173YLK6__BAD_0868
ERR1912966.386854__1.386854	46503__R6X8R7__PARMER_00141
ERR1912966.386980__1.386980	165179__A0A3E5E2C8__folA
ERR1912966.387160__1.387160	239935__R6JWJ7__CXT94_02580
ERR1912966.387252__1.387252	853__A0A173XRA8__CGS56_09290
ERR1912966.387494__1.387494	28117__B0MUY3__BHV66_00515
ERR1912966.387683__1.387683	572010__rpsL
ERR1912966.387822__1.387822	165179__A0A3E5DZ45__DXC61_02820
ERR1912966.387846__1.387846	74426__rpoC
ERR1912966.388008__1.388008	1680__A1A0V3__C8077_03025
ERR1912966.388062__1.388062	1897011__A0A1Q6RFG0__BHW41_03665
ERR1912966.388162__1.388162	33043__A0A173WTV6__ERS852400_02153
ERR1912966.388288__1.388288	1161942__atpA_1
ERR1912966.388339__1.388339	1680__A0A087DHN0__AL0462_1532
ERR1912966.388335__1.388335	39492__D4JRZ7__smc
ERR1912966.388359__1.388359	1161942__cshA
ERR1912966.388388__1.388388	33043__A0A173XM20__ERS852445_01573
ERR1912966.388482__1.388482	39485__C4Z2I5__ERS852492_02214
ERR1912966.388653__1.388653	1161942__atpA_1
ERR1912966.388734__1.388734	214856__I3YPI7__pepD_1
ERR1912966.388776__1.388776	33043__D5HIL8__ERS852386_02009
ERR1912966.389184__1.389184	239935__R7E524__CXT91_06180
ERR1912966.389235__1.389235	820__A0A173XIP7__B5G17_16050
ERR1912966.389385__1.389385	33043__D5HEL7__ERS852400_00347
ERR1912966.389357__1.389357	1262961__R6EMW7__BN710_01172
ERR1912966.389366__1.389366	239935__A0A139TVH7__CXU22_00215
ERR1912966.389428__1.389428	1263000__R5EET9__BN466_01245
ERR1912966.389960__1.389960	853__A0A174C5M1__CGS58_04460
ERR1912966.389937__1.389937	552398__F4XCR9__HMPREF0866_01636
ERR1912966.390185__1.390185	165179__A0A3E5EA43__DXC61_07775
ERR1912966.390157__1.390157	1161942__aroF
ERR1912966.390222__1.390222	1262761__R6QU88__BN606_01983
ERR1912966.390307__1.390307	1161942__addA_3
ERR1912966.390752__1.390752	39485__C4Z434__tilS
ERR1912966.390916__1.390916	1263000__R5EHB0__BN466_01647
ERR1912966.391020__1.391020	1235835__R9LCU2__C814_02677
ERR1912966.391038__1.391038	901__B6WWY3__DESPIG_02606
ERR1912966.391118__1.391118	1262915__R6IBE7__BN574_01447
ERR1912966.391235__1.391235	239935__A0A2N8HPS5__Amuc_0950
ERR1912966.391276__1.391276	216816__A0A133LQN7__BL15B_00780
ERR1912966.391324__1.391324	1262825__R5EHM5__BN724_01843
ERR1912966.391415__1.391415	216816__D6DCQ7__HMPREF1312_1623
ERR1912966.391811__1.391811	239935__A0A2N8HUU6__CXT90_06150
ERR1912966.392007__1.392007	310298__B3JQJ5__BACCOP_04231
ERR1912966.392297__1.392297	33043__D5HJ22__ERS852575_02302
ERR1912966.392338__1.392338	239935__A0A2N8I368__CXT95_04550
ERR1912966.392534__1.392534	239935__A0A2N8IKW7__pstA
ERR1912966.392595__1.392595	1263000__R5EFA7__BN466_01197
ERR1912966.392983__1.392983	1262761__R6QJJ2__BN606_00358
ERR1912966.392993__1.392993	1680__A0A174BEE7__BSTER_1311
ERR1912966.393174__1.393174	2108523__A0A2P2F5G5__LAWASA_1244
ERR1912966.393344__1.393344	239935__A0A2N8HH03__CXU09_08875
ERR1912966.393444__1.393444	901__B6WXF1__DESPIGER_1660
ERR1912966.393496__1.393496	1263027__R6ZJI2__BN699_01834
ERR1912966.393681__1.393681	239935__A0A2N8HPS5__Amuc_0950
ERR1912966.394020__1.394020	216816__A0A2N0SME6__BLIF_1881
ERR1912966.394105__1.394105	216816__C2GUV2__APC1478_0430
ERR1912966.394736__1.394736	28118__F9ZB36__B5F99_17235
