ERR1913239.775__1.775	39485__A0A174Z2K9__ERS852490_02052
ERR1913239.318234__1.318234	820__A0A174TRB5__DXD40_11305
ERR1913239.318562__1.318562	360807__C0FVL1__ERS852392_00394
ERR1913239.318632__1.318632	1262927__R7EX56__BN677_00089
ERR1913239.318804__1.318804	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913239.319377__1.319377	820__A0A174F696__macB_13
ERR1913239.319538__1.319538	821__A0A0P0L8F8__ERS852509_03705
ERR1913239.319582__1.319582	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913239.319703__1.319703	74426__purL
ERR1913239.320919__1.320919	28117__B0N007__BHV66_10275
ERR1913239.321005__1.321005	360807__C0FVT5__RIL183_27241
ERR1913239.321240__1.321240	853__A0A3E2U7E6__ERS852582_01640
ERR1913239.321370__1.321370	1263044__GCA_000433375.1_02419
ERR1913239.321799__1.321799	418240__C6JAJ8__ERS852478_03436
ERR1913239.322316__1.322316	28117__B0MY40__BHV66_05170
ERR1913239.322487__1.322487	853__A0A3E2U7E6__ERS852582_01640
ERR1913239.322702__1.322702	214856__R5UN64__ERS852447_02669
ERR1913239.322948__1.322948	1262992__R5D559__BN795_00706
ERR1913239.322970__1.322970	1897011__A0A1Q6RDX0__BHW41_05325
ERR1913239.323444__1.323444	821__A0A395VIK7__BVU_1225
ERR1913239.323480__1.323480	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913239.323732__1.323732	39491__A0A0M6WPN4__DXB69_06325
ERR1913239.323889__1.323889	74426__rpoB
ERR1913239.323973__1.323973	216816__D6D9A3__BLNIAS_01911
ERR1913239.324012__1.324012	1263000__R5EQI3__BN466_00125
ERR1913239.324057__1.324057	1262927__R7EX56__BN677_00089
ERR1913239.324209__1.324209	328814__GCA_004558275.1_01001
ERR1913239.324524__1.324524	1897011__A0A1Q6RHD3__BHW41_02220
ERR1913239.324672__1.324672	28117__B0MTY2__BHV66_06485
ERR1913239.324834__1.324834	1263000__R5EQI3__BN466_00125
ERR1913239.325316__1.325316	1262927__R7EX56__BN677_00089
ERR1913239.325335__1.325335	328814__GCA_004558275.1_00294
ERR1913239.325338__1.325338	1897011__A0A1Q6RJU8__BHW41_00020
ERR1913239.325758__1.325758	39485__A0A174YMI9__cph2_5
ERR1913239.325763__1.325763	901__B6WPS9__DHV46_04165
ERR1913239.326055__1.326055	1897011__A0A1Q6RGE1__BHW41_02880
ERR1913239.326332__1.326332	214856__I3YPN9__ERS852447_01389
ERR1913239.326551__1.326551	901__B6WVR2__DESPIGER_2124
ERR1913239.326585__1.326585	1897011__A0A1Q6RF20__BHW41_02930
ERR1913239.326860__1.326860	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913239.327080__1.327080	1262927__R7EX56__BN677_00089
ERR1913239.327090__1.327090	39491__A0A395ZHV7__ykvU
ERR1913239.327154__1.327154	28117__B0MY82__BHV66_04755
ERR1913239.327190__1.327190	172901__A0A2U1B3W1__C8D82_10959
ERR1913239.327240__1.327240	1550024__A0A0D8IWH3__ASJ35_08185
ERR1913239.327361__1.327361	28117__B0MU76__ALIPUT_00202
ERR1913239.327381__1.327381	853__A0A3E2U7E6__ERS852582_01640
ERR1913239.327383__1.327383	1262911__R6HLR5__BN557_00628
ERR1913239.327467__1.327467	853__A0A3E2V168__FAEPRAM212_00929
ERR1913239.327509__1.327509	1897011__A0A1Q6RDW7__BHW41_05280
ERR1913239.327881__1.327881	572010__pnp
ERR1913239.328461__1.328461	1150298__R7JSE8__coaX_1
ERR1913239.328776__1.328776	853__A0A3E2U7E6__ERS852582_01640
ERR1913239.328867__1.328867	1263006__R6LU28__BN515_01365
ERR1913239.328916__1.328916	1550024__A0A3B9WM87__TQ39_06420
ERR1913239.329265__1.329265	1262927__R7EX56__BN677_00089
ERR1913239.329426__1.329426	1550024__G9RWW8__TQ39_12140
ERR1913239.329557__1.329557	901__B6WXH1__DESPIGER_1644
ERR1913239.329653__1.329653	376805__F0QZX4__Bacsa_0543
ERR1913239.330030__1.330030	147207__adhE_1
ERR1913239.330561__1.330561	671267__R9IB12__C802_00696
ERR1913239.330612__1.330612	745368__A0A1T4XF62__SAMN02745178_01833
ERR1913239.331089__1.331089	204516__U6R838__HMPREF1534_03867
ERR1913239.331291__1.331291	487174__R5EUJ8__DDY40_00460
ERR1913239.331722__1.331722	35833__S2KTD2__HMPREF0179_05242
ERR1913239.331738__1.331738	820__A0A139K8N1__ERS852554_00951
ERR1913239.331869__1.331869	1897011__A0A1Q6RH97__BHW41_01945
ERR1913239.332140__1.332140	853__A0A3E2V168__FAEPRAM212_00929
ERR1913239.332359__1.332359	901__B6WTW8__DESPIGER_1202
ERR1913239.332648__1.332648	214856__A0A174EJT5__mnmA
ERR1913239.333360__1.333360	853__A0A173T0Y8__CGS54_07215
ERR1913239.333419__1.333419	1262927__R7EX56__BN677_00089
ERR1913239.333437__1.333437	884684__GCA_002892425.1_00913
ERR1913239.333912__1.333912	74426__argF
ERR1913239.334582__1.334582	853__A0A173YYY4__DWZ04_09420
ERR1913239.334675__1.334675	33025__A0A395JBA6__C8D73_1039
ERR1913239.334968__1.334968	28117__B0MT73__ALIPUT_00412
ERR1913239.335150__1.335150	901__B6WYA8__DESPIGER_1386
ERR1913239.335096__1.335096	166486__D4KRN9__ERS852572_01822
ERR1913239.335126__1.335126	1501391__GCA_000786575.1_00052
ERR1913239.335173__1.335173	74426__purC
ERR1913239.335352__1.335352	1262927__R7EX56__BN677_00089
ERR1913239.335654__1.335654	1262989__R6Y4S3__BN815_02095
ERR1913239.335802__1.335802	394340__alaS
ERR1913239.335904__1.335904	74426__rpoC
ERR1913239.335990__1.335990	47678__A5ZG68__ERS852494_02968
ERR1913239.336420__1.336420	901__B6WXZ7__BHW59_00765
ERR1913239.336435__1.336435	46228__B5CQI6__RUMLAC_01732
ERR1913239.336515__1.336515	216816__D6D9H5__APC1466_0493
ERR1913239.336888__1.336888	1262911__R6H1A6__BN557_01286
ERR1913239.336891__1.336891	39485__C4Z538__EUBELI_00734
ERR1913239.337017__1.337017	487174__K0XKD7__HMPREF9448_01550
ERR1913239.337077__1.337077	853__A0A173YYY4__DWZ04_09420
ERR1913239.337459__1.337459	1262911__R6GZW9__BN557_00833
ERR1913239.337968__1.337968	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913239.338376__1.338376	901__B6WR60__DESPIGER_0223
ERR1913239.338811__1.338811	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1913239.338906__1.338906	936548__J1LMD1__HMPREF1136_2137
ERR1913239.338891__1.338891	820__A0A139KIL9__DXC68_05945
ERR1913239.339004__1.339004	1262911__R6H2J2__BN557_01228
ERR1913239.339009__1.339009	166486__D4KYB5__mcp3_2
ERR1913239.339019__1.339019	901__B6WQM5__cobM
ERR1913239.339131__1.339131	1263000__R5EXT3__BN466_02213
ERR1913239.339200__1.339200	1099853__U5CHF1__NSB1T_04350
ERR1913239.339282__1.339282	1550024__G9RWG5__TQ39_04290
ERR1913239.339547__1.339547	328814__GCA_004558275.1_01621
ERR1913239.339577__1.339577	471189__GCA_003340385.1_00112
ERR1913239.339634__1.339634	552398__F4XHU2__HMPREF0866_03196
ERR1913239.339707__1.339707	216816__C5E9A6__mutT4
ERR1913239.339811__1.339811	39491__D4JMW8__ERS852497_01971
ERR1913239.340189__1.340189	47678__R5UXJ2__DW706_08325
ERR1913239.340215__1.340215	1263000__R5EFY3__BN466_01416
ERR1913239.340450__1.340450	853__A0A173YYY4__DWZ04_09420
ERR1913239.340457__1.340457	39491__A0A395ZDC6__addB
ERR1913239.340982__1.340982	1897011__A0A1Q6RDI3__BHW41_05415
ERR1913239.341006__1.341006	853__D4JY61__C4N21_10560
ERR1913239.341216__1.341216	204516__U6RGK1__HMPREF1534_01924
ERR1913239.341300__1.341300	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913239.341362__1.341362	328814__GCA_004558275.1_01000
ERR1913239.341485__1.341485	901__B6WPS9__DHV46_04165
ERR1913239.341737__1.341737	357276__B6VVS0__HMPREF1064_03951
ERR1913239.341702__1.341702	28118__R6FC74__DHW44_13330
ERR1913239.341986__1.341986	901__A0A1K1LG50__DESPIG_01817
ERR1913239.342182__1.342182	1262911__R6H2J2__BN557_01228
ERR1913239.342322__1.342322	216816__E8MVM4__APC1480_1562
ERR1913239.342410__1.342410	1263000__R5EU91__BN466_01432
ERR1913239.342533__1.342533	487174__R5F4K8__HMPREF9448_01532
ERR1913239.342549__1.342549	1263044__GCA_000433375.1_00351
ERR1913239.342585__1.342585	88431__A0A3D0F0I7__DORLON_00967
ERR1913239.342761__1.342761	214856__A0A174EQR4__rsmA
ERR1913239.342789__1.342789	1897011__A0A1Q6RJ96__BHW41_00350
ERR1913239.342931__1.342931	328814__GCA_004558275.1_00043
ERR1913239.342995__1.342995	1262927__R7EX56__BN677_00089
ERR1913239.343004__1.343004	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913239.343505__1.343505	166486__D4KX00__ROSINTL182_07577
ERR1913239.343707__1.343707	1780376__A0A143XQT4__BN3659_01658
ERR1913239.343734__1.343734	821__A0A395VLM8__BvMPK_3650
ERR1913239.343892__1.343892	446660__GCA_003428235.1_01532
ERR1913239.344079__1.344079	1897011__A0A1Q6RF44__BHW41_03065
ERR1913239.344171__1.344171	901__B6WQD5__DESPIG_00255
ERR1913239.344239__1.344239	1262927__R7EX56__BN677_00089
ERR1913239.344514__1.344514	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913239.344647__1.344647	487174__R5F016__DDY40_05675
ERR1913239.344682__1.344682	1897011__A0A1Q6RC30__BHW41_06700
ERR1913239.345233__1.345233	1897011__A0A1Q6RDE2__BHW41_05525
ERR1913239.345258__1.345258	74426__rpoC
ERR1913239.345420__1.345420	28117__B0MTV3__BHV66_06405
ERR1913239.345434__1.345434	216816__C2GUV2__APC1478_0430
ERR1913239.345564__1.345564	1150298__A0A174K7D2__ERS852498_01147
ERR1913239.345605__1.345605	1897011__A0A1Q6RIQ1__BHW41_00490
ERR1913239.345610__1.345610	936548__J1LPK8__HMPREF1136_0768
ERR1913239.346123__1.346123	28117__B0N028__BHV66_05935
ERR1913239.346149__1.346149	1262992__R5CY96__BN795_00067
ERR1913239.346422__1.346422	28117__B0MTV3__BHV66_06405
ERR1913239.346466__1.346466	166486__D4L273__ERS852572_01638
ERR1913239.346666__1.346666	1263044__GCA_000433375.1_00654
ERR1913239.346780__1.346780	301301__A0A395VBD1__bcrC_1
ERR1913239.347087__1.347087	1262942__R7QYT9__BN520_01736
ERR1913239.347143__1.347143	28052__R7NEM3__fabD
ERR1913239.347146__1.347146	147206__GCF_000156215.1_01775
ERR1913239.347221__1.347221	446660__GCA_003428235.1_02026
ERR1913239.347403__1.347403	853__A8SCP3__C4N26_07960
ERR1913239.347489__1.347489	214856__R6Z320__ERS852447_02148
ERR1913239.347534__1.347534	39492__A0A174ZHV5__msbA_2
ERR1913239.347573__1.347573	853__A0A3E2U7E6__ERS852582_01640
ERR1913239.347629__1.347629	214856__A0A174FWM7__ERS852559_00590
ERR1913239.347919__1.347919	1550024__G9RT62__ASJ35_10800
ERR1913239.347959__1.347959	74426__rpoB
ERR1913239.348298__1.348298	46503__A7AG53__DD461_14240
ERR1913239.348356__1.348356	214856__I3YMN6__Alfi_1938
ERR1913239.348415__1.348415	147206__GCF_000156215.1_01403
ERR1913239.349024__1.349024	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913239.349040__1.349040	1897011__A0A1Q6RC19__BHW41_06415
ERR1913239.349109__1.349109	446660__GCA_003428235.1_02195
ERR1913239.349143__1.349143	28117__B0MY40__BHV66_05170
ERR1913239.349380__1.349380	901__B6WUH5__DESPIGER_1779
ERR1913239.350204__1.350204	853__A0A2A7B9I6__DW855_13690
ERR1913239.350714__1.350714	821__A0A173WG51__BVU_2549
ERR1913239.350859__1.350859	371601__I9AGU6__CW1_2721
ERR1913239.350940__1.350940	28117__R7JIY2__BHV66_06465
ERR1913239.350943__1.350943	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913239.350961__1.350961	1262911__R6GZX7__BN557_00838
ERR1913239.351113__1.351113	901__B6WVR4__DESPIGER_2125
ERR1913239.351262__1.351262	214856__A0A173W3Y5__ERS852559_02032
ERR1913239.351385__1.351385	487174__K0XES7__HMPREF9448_00566
ERR1913239.351460__1.351460	820__A0A174A6K0__M093_0079
ERR1913239.351637__1.351637	74426__infB
ERR1913239.351787__1.351787	166486__D4KUM5__afr
ERR1913239.352174__1.352174	216816__D6DBD5__DXC32_04335
ERR1913239.352245__1.352245	823__A0A174UR44__M095_2641
ERR1913239.352349__1.352349	1501391__GCA_000786575.1_00092
ERR1913239.352458__1.352458	1897011__A0A1Q6RCY9__BHW41_06000
ERR1913239.352555__1.352555	853__A0A174C5M1__CGS58_04460
ERR1913239.352622__1.352622	166486__D4KX18__ROSINTL182_07596
ERR1913239.352783__1.352783	301301__A0A395V714__evgS
ERR1913239.352949__1.352949	28117__B0MU76__ALIPUT_00202
ERR1913239.353066__1.353066	46228__V8CGF0__HMPREF1202_00126
ERR1913239.353316__1.353316	166486__D4KUE4__ROSINTL182_08606
ERR1913239.353644__1.353644	28117__B0MU76__ALIPUT_00202
ERR1913239.353744__1.353744	821__A0A174MBW9__SAMN04487923_10272
ERR1913239.353907__1.353907	1897011__A0A1Q6RC19__BHW41_06415
ERR1913239.354213__1.354213	821__A0A174MBW9__SAMN04487923_10272
ERR1913239.354342__1.354342	487174__K0X0F6__HMPREF9448_01444
ERR1913239.354437__1.354437	371601__I9AJD5__BN890_44160
ERR1913239.354593__1.354593	1501391__GCA_000786575.1_00115
ERR1913239.355217__1.355217	28117__B0MTH2__ALIPUT_00061
ERR1913239.355475__1.355475	214856__A0A173YXX1__ERS852559_01651
ERR1913239.355573__1.355573	853__E2ZGD9__C7J97_11715
ERR1913239.355866__1.355866	28117__B0MWP2__ALIPUT_01468
ERR1913239.356241__1.356241	853__A0A173YYY4__DWZ04_09420
ERR1913239.356534__1.356534	1897011__A0A1Q6RDY0__BHW41_05385
ERR1913239.356603__1.356603	853__A0A174BA00__DW905_01145
ERR1913239.356702__1.356702	820__A0A139K4T0__ERS852510_03146
ERR1913239.356866__1.356866	28117__B0MU76__ALIPUT_00202
ERR1913239.356953__1.356953	39492__D4JSS9__btuF
ERR1913239.357674__1.357674	1897011__A0A1Q6RDX0__BHW41_05325
ERR1913239.357802__1.357802	1262927__R7EX56__BN677_00089
ERR1913239.357869__1.357869	853__A0A173XRA8__CGS56_09290
ERR1913239.358039__1.358039	39491__A0A396FQV7__T1815_10751
ERR1913239.358299__1.358299	853__A0A3E2U7E6__ERS852582_01640
ERR1913239.358739__1.358739	487174__K0X250__DDY40_03675
ERR1913239.358871__1.358871	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913239.358904__1.358904	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913239.359110__1.359110	1897011__A0A1Q6RIA0__BHW41_01275
ERR1913239.359228__1.359228	674529__R6W6E8__DXB21_01245
ERR1913239.359376__1.359376	1297617__A0A0S2W1D1__C7373_11621
ERR1913239.359700__1.359700	39491__C4ZF05__vpr
ERR1913239.359888__1.359888	116085__D4J7N3__DW747_15125
ERR1913239.359972__1.359972	1262753__R5B0C5__BN813_01872
ERR1913239.359983__1.359983	28117__B0MYP3__BHV66_04995
ERR1913239.360103__1.360103	33025__A0A395JED3__C8D73_101461
ERR1913239.360188__1.360188	1263000__R5EGY7__BN466_01478
ERR1913239.360192__1.360192	360807__C0FZM4__RIL183_06871
ERR1913239.360472__1.360472	328814__GCA_004558275.1_00236
ERR1913239.360681__1.360681	1262911__R6H2J2__BN557_01228
ERR1913239.360773__1.360773	1262927__R7EX56__BN677_00089
ERR1913239.360889__1.360889	394340__carB
ERR1913239.361209__1.361209	1263000__R5ESM1__BN466_01440
ERR1913239.361322__1.361322	147206__GCF_000156215.1_00014
ERR1913239.361618__1.361618	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913239.361743__1.361743	46503__R6XDP9__ERS852463_01752
ERR1913239.362300__1.362300	1235835__R9LCU2__C814_02677
ERR1913239.362574__1.362574	28117__B0MXU6__ALIPUT_01958
ERR1913239.362607__1.362607	1262942__R7QWB3__BN520_01130
ERR1913239.362683__1.362683	360807__A0A173YJ94__ERS852444_03492
ERR1913239.362691__1.362691	39485__A0A174ZTY8__ycfH
ERR1913239.362858__1.362858	74426__nrdD
ERR1913239.363060__1.363060	820__A0A173WUD7__DXB48_08055
ERR1913239.363111__1.363111	1262927__R7EX56__BN677_00089
ERR1913239.363204__1.363204	745368__A0A1T4Y178__SAMN02745178_02628
ERR1913239.363243__1.363243	1262942__R7R0S8__BN520_02387
ERR1913239.363657__1.363657	901__B6WUL1__DESPIG_01755
ERR1913239.363682__1.363682	1262927__R7EX56__BN677_00089
ERR1913239.364051__1.364051	901__B6WTQ4__DESPIGER_1255
ERR1913239.364214__1.364214	1501391__GCA_000786575.1_00151
ERR1913239.364401__1.364401	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913239.364533__1.364533	1263000__R5ETL6__BN466_01607
ERR1913239.364616__1.364616	1262886__R6Q964__BN563_01262
ERR1913239.364816__1.364816	28116__A7LYG5__M089_5828
ERR1913239.365238__1.365238	1262911__R6GR13__BN557_00618
ERR1913239.365700__1.365700	166486__C7GCP5__ROSINTL182_07683
ERR1913239.366009__1.366009	166486__D4KJ71__ERS852572_03479
ERR1913239.366603__1.366603	79604__carB
ERR1913239.366964__1.366964	1262911__R6GW73__BN557_00128
ERR1913239.367106__1.367106	1263000__R5EGY6__BN466_00973
ERR1913239.367499__1.367499	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1913239.367561__1.367561	1150298__R7JTG8__smf
ERR1913239.367901__1.367901	1262927__R7EX56__BN677_00089
ERR1913239.368215__1.368215	901__B6WXD6__DHV46_02215
ERR1913239.368352__1.368352	1263000__R5EFA7__BN466_01197
ERR1913239.368664__1.368664	1263044__GCA_000433375.1_00648
ERR1913239.368891__1.368891	360807__C0FVL1__ERS852392_00394
ERR1913239.369631__1.369631	572010__rpsB
ERR1913239.369725__1.369725	28117__B0MVL5__BHV66_01660
ERR1913239.369915__1.369915	901__B6WTQ4__DESPIGER_1255
ERR1913239.370100__1.370100	214856__I3YMC8__ERS852447_02666
ERR1913239.370528__1.370528	1262992__R5D559__BN795_00706
ERR1913239.370600__1.370600	1262927__R7EX56__BN677_00089
ERR1913239.370786__1.370786	820__A0A174CG08__DXB62_13215
ERR1913239.371157__1.371157	901__B6WXH1__DESPIGER_1644
ERR1913239.371318__1.371318	46228__B5CS18__RUMLAC_02269
ERR1913239.372080__1.372080	1262911__R6H2J2__BN557_01228
ERR1913239.372465__1.372465	853__A8S882__C4N23_07600
ERR1913239.372685__1.372685	552398__T5S086__HMPREF0866_01580
ERR1913239.372727__1.372727	853__A0A2A7B1Y7__C7K05_11930
ERR1913239.373079__1.373079	166486__D4L458__ROSINTL182_07088
ERR1913239.373228__1.373228	39491__C4ZHS4__EUR_24420
ERR1913239.373316__1.373316	1550024__G9RUM6__TQ39_16565
ERR1913239.373318__1.373318	853__D4K7X0__DW905_09540
ERR1913239.373383__1.373383	901__B6WS90__DHV46_08165
ERR1913239.373468__1.373468	214856__R6Y2Y4__ERS852447_01086
ERR1913239.373966__1.373966	1263000__R5EKR4__BN466_01609
ERR1913239.374004__1.374004	1262886__R6Q7L1__BN563_00804
ERR1913239.374356__1.374356	901__B6WUW8__DESPIGER_1921
ERR1913239.374418__1.374418	1262927__R7EX56__BN677_00089
ERR1913239.374880__1.374880	649756__A0A174SER1__HMPREF0369_00070
ERR1913239.375215__1.375215	1897011__A0A1Q6RIF5__BHW41_01365
ERR1913239.375279__1.375279	106588__A6P303__BACCAP_04887
ERR1913239.375420__1.375420	853__C7H7F8__yccM_1
ERR1913239.375476__1.375476	166486__A0A1Q6S852__ERS852572_03466
ERR1913239.375556__1.375556	853__A0A173RZ39__C4N22_01650
ERR1913239.375725__1.375725	1262927__R7EX56__BN677_00089
ERR1913239.376060__1.376060	853__A0A174C5M1__CGS58_04460
ERR1913239.376141__1.376141	853__A0A174C5M1__CGS58_04460
ERR1913239.376179__1.376179	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1913239.376207__1.376207	1235835__R9LCU2__C814_02677
ERR1913239.376354__1.376354	901__B6WUH5__DESPIGER_1779
ERR1913239.376368__1.376368	821__A0A174WBC9__ERS852556_03145
ERR1913239.376700__1.376700	328814__GCA_004558275.1_00292
ERR1913239.376947__1.376947	28117__B0MTY2__BHV66_06485
ERR1913239.377051__1.377051	1897011__A0A1Q6RH29__BHW41_01570
ERR1913239.377052__1.377052	214856__I3YPI7__pepD_1
ERR1913239.377210__1.377210	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913239.377236__1.377236	28117__B0MXG8__ALIPUT_01814
ERR1913239.377635__1.377635	39485__A0A1Q6PHM3__ERS852490_03067
ERR1913239.377742__1.377742	1897011__A0A1Q6RDY7__BHW41_05255
ERR1913239.377807__1.377807	1501391__GCA_000786575.1_00052
ERR1913239.378578__1.378578	901__B6WXF1__DESPIGER_1660
ERR1913239.378631__1.378631	1897011__A0A1Q6RH73__BHW41_01885
ERR1913239.378695__1.378695	936548__J0SK97__HMPREF1136_2080
ERR1913239.378675__1.378675	74426__group_1871
ERR1913239.378680__1.378680	328814__GCA_004558275.1_01822
ERR1913239.378780__1.378780	47678__R5U9Z6__HMPREF1061_03205
ERR1913239.379043__1.379043	1262753__R5B0C5__BN813_01872
ERR1913239.379195__1.379195	821__A0A0P0M5Z6__BVU_0429
ERR1913239.379454__1.379454	552398__F4XCQ4__HMPREF0866_01621
ERR1913239.379472__1.379472	901__B6WR13__DHV46_00815
ERR1913239.379693__1.379693	1262886__R6QGJ5__BN563_00263
ERR1913239.379949__1.379949	853__C7H7F8__yccM_1
ERR1913239.380155__1.380155	901__B6WRK6__DESPIGER_0403
ERR1913239.380392__1.380392	166486__C7GCP5__ROSINTL182_07683
ERR1913239.380470__1.380470	853__A0A3E2V168__FAEPRAM212_00929
ERR1913239.380422__1.380422	853__A0A3E2V168__FAEPRAM212_00929
ERR1913239.380501__1.380501	2108523__A0A2P2FAD2__LAWASA_3010
ERR1913239.380538__1.380538	166486__D4KNM9__ERS852572_00072
ERR1913239.380717__1.380717	901__B6WXH1__DESPIGER_1644
ERR1913239.380847__1.380847	853__E2ZGD9__C7J97_11715
ERR1913239.380939__1.380939	821__A0A174MBW9__SAMN04487923_10272
ERR1913239.381082__1.381082	901__B6WR13__DHV46_00815
ERR1913239.381134__1.381134	820__A0A3E5BMG9__DXD40_05130
ERR1913239.381202__1.381202	1263000__R5EGY6__BN466_00973
ERR1913239.381602__1.381602	28117__B0MTS2__ALIPUT_00159
ERR1913239.381807__1.381807	35833__E5Y6S3__HMPREF0179_01886
ERR1913239.381746__1.381746	1262911__R6GZX7__BN557_00838
ERR1913239.381865__1.381865	460384__A0A1I0AS27__SAMN05216313_101160
ERR1913239.382180__1.382180	74426__nifJ
ERR1913239.382207__1.382207	901__B6WXX4__DESPIGER_1515
ERR1913239.382233__1.382233	853__D4JY61__C4N21_10560
ERR1913239.382278__1.382278	1262992__R5CXL9__BN795_01014
ERR1913239.382549__1.382549	1897011__A0A1Q6RI93__BHW41_01175
ERR1913239.382686__1.382686	821__A0A174NVL6__NCTC10583_01782
ERR1913239.382783__1.382783	172901__A0A2U1B7T8__C8D82_10572
ERR1913239.383007__1.383007	1263000__R5EKR4__BN466_01609
ERR1913239.383044__1.383044	74426__sigA
ERR1913239.383063__1.383063	1393034__GCA_001552785.1_00514
ERR1913239.383172__1.383172	901__B6WW26__DESPIG_02294
ERR1913239.383764__1.383764	74426__pdxS
ERR1913239.383787__1.383787	1262911__R6H2B5__BN557_01151
ERR1913239.383809__1.383809	1262911__R6H2J2__BN557_01228
ERR1913239.384093__1.384093	820__A0A3E4G493__ERS417307_00253
ERR1913239.384221__1.384221	1262927__R7EX56__BN677_00089
ERR1913239.384769__1.384769	853__A0A174BZY1__xerD_1
ERR1913239.384922__1.384922	28117__B0MSR5__BHV66_02095
ERR1913239.385302__1.385302	214856__A0A175A6T5__ERS852447_02658
ERR1913239.385267__1.385267	28117__B0MZ50__ALIPUT_02424
ERR1913239.385312__1.385312	821__A0A173WG51__BVU_2549
ERR1913239.386104__1.386104	1263000__R5EXT3__BN466_02213
ERR1913239.386298__1.386298	853__A0A3E2U7E6__ERS852582_01640
ERR1913239.386466__1.386466	1262927__R7EX56__BN677_00089
ERR1913239.386564__1.386564	1897011__A0A1Q6RGA3__BHW41_02665
ERR1913239.386590__1.386590	1262992__R5D733__BN795_00375
ERR1913239.386673__1.386673	74426__purL
ERR1913239.386684__1.386684	28117__B0MY41__BHV66_05165
ERR1913239.386774__1.386774	1262911__R6GW73__BN557_00128
ERR1913239.386958__1.386958	901__B6WUL1__DESPIG_01755
ERR1913239.386972__1.386972	572010__pnp
ERR1913239.387131__1.387131	487174__K0X6A4__HMPREF9448_00105
ERR1913239.387239__1.387239	2108523__A0A2P2F8A7__LAWASA_2275
ERR1913239.387719__1.387719	1263000__R5EGY6__BN466_00973
ERR1913239.387791__1.387791	1262753__R5B0C5__BN813_01872
ERR1913239.387856__1.387856	166486__A0A1Q6SCR5__ROSINTL182_05686
ERR1913239.388404__1.388404	74426__purL
ERR1913239.388505__1.388505	74426__purL
ERR1913239.388622__1.388622	1262886__R6QIV0__BN563_00982
ERR1913239.388936__1.388936	74426__rpoC
ERR1913239.388951__1.388951	216816__C5E9N8__DD678_02795
ERR1913239.388973__1.388973	1263000__R5EXT3__BN466_02213
ERR1913239.389460__1.389460	820__A7UYX8__DXD40_11635
ERR1913239.389711__1.389711	28117__B0MYI9__BHV66_05415
ERR1913239.389664__1.389664	166486__D4KZH8__ERS852572_00419
ERR1913239.389897__1.389897	39491__A0A395V0X2__EUBREC_3007
ERR1913239.390456__1.390456	1263000__R5EUG9__BN466_01476
ERR1913239.391067__1.391067	853__E2ZGD9__C7J97_11715
ERR1913239.391235__1.391235	74426__groL
ERR1913239.391298__1.391298	376805__F0R8B1__Bacsa_3573
ERR1913239.391456__1.391456	820__A0A3E4WCC2__lptB_1
ERR1913239.391491__1.391491	671267__R9IB12__C802_00696
ERR1913239.392122__1.392122	166486__D4KVZ0__ERS852572_03130
ERR1913239.392265__1.392265	1262911__R6GQM3__BN557_01245
ERR1913239.392409__1.392409	357276__B6W5Q7__DXD47_13945
ERR1913239.392806__1.392806	1263044__GCA_000433375.1_02419
ERR1913239.392886__1.392886	901__B6WVE1__DESPIGER_2036
ERR1913239.392914__1.392914	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913239.392943__1.392943	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913239.393367__1.393367	821__C6Z087__DXB90_00750
ERR1913239.393717__1.393717	1262886__R6REZ5__BN563_01087
ERR1913239.393918__1.393918	39492__D4JRM4__tap_5
ERR1913239.394271__1.394271	471189__GCA_003340385.1_00010
ERR1913239.394584__1.394584	1263000__R5EXT3__BN466_02213
ERR1913239.394590__1.394590	1897011__A0A1Q6RJI3__BHW41_00255
ERR1913239.394872__1.394872	28117__B0MTY2__BHV66_06485
ERR1913239.395009__1.395009	901__B6WY50__DESPIGER_1446
ERR1913239.395178__1.395178	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913239.395500__1.395500	1897011__A0A1Q6REW8__BHW41_04435
ERR1913239.395534__1.395534	487174__K0XJ34__DDY40_06890
ERR1913239.396279__1.396279	1501391__GCA_000786575.1_00150
ERR1913239.396698__1.396698	2108523__A0A2P2F7S5__LAWASA_2095
