ERR1913141.6__1.6	1681__A0A0E2ZCN8__DXD31_01560
ERR1913141.174180__1.174180	1501391__GCA_000786575.1_00147
ERR1913141.174276__1.174276	1263006__R6LYW4__BN515_01529
ERR1913141.174446__1.174446	1262882__R5MM25__BN519_00600
ERR1913141.174531__1.174531	39492__D4JQP0__ypeB
ERR1913141.174643__1.174643	40518__R5DZB1__DXD83_08840
ERR1913141.174682__1.174682	47678__A5ZL09__BACCAC_03608
ERR1913141.174824__1.174824	853__A8SCP3__C4N26_07960
ERR1913141.174971__1.174971	239935__A0A2N8IF99__lpdA
ERR1913141.175434__1.175434	820__A0A139K5E7__DXC68_09550
ERR1913141.175520__1.175520	33039__A0A174ZIS2__RTO_10090
ERR1913141.175611__1.175611	820__A0A139K4W5__HMPREF2141_02394
ERR1913141.175878__1.175878	1263000__R5EMW8__BN466_00256
ERR1913141.175928__1.175928	357276__I8WPR6__EL88_06675
ERR1913141.176095__1.176095	239935__A0A2N8I1R3__CXU05_06075
ERR1913141.176198__1.176198	357276__B6VXX7__HMPREF1063_02683
ERR1913141.176254__1.176254	1262882__R5N4P6__BN519_01346
ERR1913141.176661__1.176661	1263044__GCA_000433375.1_01145
ERR1913141.176916__1.176916	818__R6VB25__BSIG_5053
ERR1913141.176965__1.176965	1262911__R6H0U7__BN557_01104
ERR1913141.177095__1.177095	820__A0A139K5A6__DXB48_12175
ERR1913141.177263__1.177263	1263044__GCA_000433375.1_01145
ERR1913141.177340__1.177340	239935__R7E524__CXT91_06180
ERR1913141.177429__1.177429	239935__A0A2N8I8X8__B5G29_00185
ERR1913141.177526__1.177526	239935__A0A2N8I390__CXU16_10675
ERR1913141.177527__1.177527	1501391__GCA_000786575.1_00103
ERR1913141.177532__1.177532	47678__A5ZEA3__ERS852558_00257
ERR1913141.177713__1.177713	1262882__R5N048__BN519_00502
ERR1913141.177785__1.177785	820__A0A3E4VZT7__DXB48_16145
ERR1913141.178013__1.178013	239935__A0A2N8J2P6__ADH72_06730
ERR1913141.177975__1.177975	1263107__GCA_000436995.1_00133
ERR1913141.178304__1.178304	820__A0A174A6K0__M093_0079
ERR1913141.178489__1.178489	1105031__J1H3W2__HMPREF1141_2783
ERR1913141.178522__1.178522	818__A0A1H7TGM1__BJP75_010615
ERR1913141.178590__1.178590	820__A0A1T4IY80__ERS852554_01621
ERR1913141.178594__1.178594	820__A0A139KHX1__HMPREF2141_00289
ERR1913141.178623__1.178623	1262882__R5MXW0__BN519_00317
ERR1913141.179001__1.179001	1501391__GCA_000786575.1_00087
ERR1913141.179208__1.179208	338188__R6S5J0__HMPREF1057_01983
ERR1913141.179244__1.179244	1262882__R5MMD8__BN519_01576
ERR1913141.179245__1.179245	820__A0A139K4W5__HMPREF2141_02394
ERR1913141.179656__1.179656	823__A6LBY1__ERS852380_00510
ERR1913141.179765__1.179765	214856__A0A174ZED5__ERS852559_00591
ERR1913141.179834__1.179834	239935__A0A2N8IMC9__CXU09_02095
ERR1913141.179837__1.179837	214856__R6Y1K2__ERS852447_02306
ERR1913141.179954__1.179954	2108523__A0A2P2F3V9__LAWASA_688
ERR1913141.180086__1.180086	820__A0A3E4W984__pssA
ERR1913141.180196__1.180196	820__A0A139K5E7__DXC68_09550
ERR1913141.180302__1.180302	47678__R5UXJ2__DW706_08325
ERR1913141.180601__1.180601	46506__A0A108TBL0__BACSTE_01998
ERR1913141.180701__1.180701	1263000__R5EGY7__BN466_01478
ERR1913141.180725__1.180725	239935__A0A2N8IEP3__CXT84_03735
ERR1913141.180772__1.180772	39486__B0G9Q3__HMPREF9457_02610
ERR1913141.180859__1.180859	28118__R6G1Z6__B5F93_09405
ERR1913141.180961__1.180961	1501391__GCA_000786575.1_00137
ERR1913141.180995__1.180995	39491__A0A396FSN2__EUBREC_0707
ERR1913141.181180__1.181180	239935__A0A2N8IHY1__CXU06_00035
ERR1913141.181316__1.181316	357276__A0A174L570__GV66_05720
ERR1913141.181444__1.181444	823__K6AMD2__B5F32_04565
ERR1913141.181450__1.181450	1262882__R5MJ49__BN519_01124
ERR1913141.181616__1.181616	338188__A0A174IGK1__ERS852397_02962
ERR1913141.181791__1.181791	357276__I8WBQ9__HMPREF1065_03212
ERR1913141.181898__1.181898	40520__R7D341__RUMOBE_03081
ERR1913141.182065__1.182065	1965650__A0A1Y3VA28__B5G16_11230
ERR1913141.182135__1.182135	357276__A0A076IS46__BACDOR_03265
ERR1913141.182159__1.182159	239935__R7DVL7__CXT93_01180
ERR1913141.182272__1.182272	820__R9I2U8__DXC68_09590
ERR1913141.182455__1.182455	820__A0A3E4W4Y7__B5G17_02055
ERR1913141.182485__1.182485	820__I9J701__ERS852510_01809
ERR1913141.182496__1.182496	1681__U2DMQ1__LMG13200_0318
ERR1913141.182499__1.182499	1263000__R5EWT9__BN466_02076
ERR1913141.182680__1.182680	357276__D1JYA0__EL88_06560
ERR1913141.182818__1.182818	33039__A0A174XML0__RTO_02290
ERR1913141.182845__1.182845	328814__GCA_004558275.1_00992
ERR1913141.182890__1.182890	823__A0A078SYK6__DXB14_02485
ERR1913141.182894__1.182894	147206__GCF_000156215.1_01777
ERR1913141.183021__1.183021	820__A0A1T4IY80__ERS852554_01621
ERR1913141.183452__1.183452	820__A0A139KIL9__DXC68_05945
ERR1913141.183489__1.183489	239935__A0A2N8IHY1__CXU06_00035
ERR1913141.183687__1.183687	1965650__A0A1Y3VHB1__B5G16_11195
ERR1913141.183951__1.183951	1501391__GCA_000786575.1_00087
ERR1913141.184190__1.184190	818__R7KP04__C5Z03_18665
ERR1913141.184198__1.184198	1432052__A0A1E3AAQ0__BLA28_02175
ERR1913141.184240__1.184240	1262882__R5MKU2__BN519_01271
ERR1913141.184289__1.184289	1160721__W0U532__RBI_I00944
ERR1913141.184382__1.184382	818__D7I7V5__BJP75_001030
ERR1913141.184391__1.184391	214856__A0A174EJT5__mnmA
ERR1913141.184730__1.184730	1263000__R5EAZ0__BN466_00537
ERR1913141.184830__1.184830	1897011__A0A1Q6RIQ1__BHW41_00490
ERR1913141.184938__1.184938	239935__A0A2N8HTZ8__CXU09_01270
ERR1913141.185079__1.185079	1263000__R5EHB0__BN466_01647
ERR1913141.185456__1.185456	371601__G1UK36__HMPREF1074_03496
ERR1913141.185593__1.185593	1981510__A0A2K9P2W7__B9O19_01020
ERR1913141.185754__1.185754	33039__A0A175A099__cynR_1
ERR1913141.185798__1.185798	239935__A0A2N8I791__CXT99_09415
ERR1913141.185828__1.185828	1501391__GCA_000786575.1_00149
ERR1913141.185839__1.185839	239935__A0A2N8IRL2__CXU06_01170
ERR1913141.185913__1.185913	1262882__R5MMP8__BN519_01654
ERR1913141.185946__1.185946	357276__I8VN30__HMPREF1065_03051
ERR1913141.185960__1.185960	40518__R5DQJ0__DXD93_03790
ERR1913141.185966__1.185966	357276__A0A174L570__GV66_05720
ERR1913141.186048__1.186048	33039__R6PZ42__mprA_2
ERR1913141.186076__1.186076	328813__A0A1Y3QZL2__B5G41_02100
ERR1913141.186116__1.186116	239935__A0A2N8I6R6__CXU04_04335
ERR1913141.186122__1.186122	1262882__R5N3H1__BN519_01121
ERR1913141.186424__1.186424	446660__GCA_003428235.1_00198
ERR1913141.186759__1.186759	1550024__G9RPI3__ASJ35_09180
ERR1913141.186849__1.186849	1681__A0A2U0BVI9__DD686_07310
ERR1913141.186848__1.186848	820__A0A173W419__DXC68_17760
ERR1913141.186928__1.186928	239935__A0A2N8IVR0__CXT87_07115
ERR1913141.186933__1.186933	820__A0A1T4IY80__ERS852554_01621
ERR1913141.187031__1.187031	39492__D4JR20__trmD
ERR1913141.187123__1.187123	410072__A0A174IQI6__ERS852574_01030
ERR1913141.187174__1.187174	239935__R6JD78__CXU05_09250
ERR1913141.187606__1.187606	1501391__GCA_000786575.1_00014
ERR1913141.187712__1.187712	820__A0A139K4W5__HMPREF2141_02394
ERR1913141.187842__1.187842	1262882__R5MF51__BN519_00287
ERR1913141.187993__1.187993	418240__A0A174AX68__ERS852478_00844
ERR1913141.188010__1.188010	239935__A0A2N8J2P6__ADH72_06730
ERR1913141.188107__1.188107	239935__A0A3F3K9J9__DEF40_00940
ERR1913141.188308__1.188308	1262882__R5MDR8__BN519_00124
ERR1913141.188328__1.188328	1263000__R5EQI3__BN466_00125
ERR1913141.188468__1.188468	28116__A0A1G8P076__AA414_01051
ERR1913141.188427__1.188427	40520__R7D3V1__RUMOBE_00518
ERR1913141.188538__1.188538	1262882__R5MND9__BN519_00831
ERR1913141.188583__1.188583	239935__R6JD78__CXU05_09250
ERR1913141.188595__1.188595	818__A0A139KMR0__Btheta7330_03958
ERR1913141.188741__1.188741	1501391__GCA_000786575.1_00156
ERR1913141.188789__1.188789	239935__A0A2N8HEH9__CXU07_11710
ERR1913141.188859__1.188859	1628085__A0A396MQV4__C7386_1213
ERR1913141.188891__1.188891	239935__R7DVW2__CXU02_03915
ERR1913141.189076__1.189076	394340__group_1007
ERR1913141.189329__1.189329	820__A0A174I980__gldH
ERR1913141.189446__1.189446	47678__R5U7X8__C5Z00_18270
ERR1913141.189543__1.189543	239935__A0A3F3K9J9__DEF40_00940
ERR1913141.189552__1.189552	1262882__R5MKU2__BN519_01271
ERR1913141.189727__1.189727	418240__A0A174SK46__Int-Tn_1
ERR1913141.189867__1.189867	239935__A0A2N8IVR0__CXT87_07115
ERR1913141.190017__1.190017	39492__D4JWI6__EUBSIR_01073
ERR1913141.190160__1.190160	239935__A0A139TQT9__Amuc_1197
ERR1913141.190554__1.190554	239935__A0A2N8I3G2__CXT89_00720
ERR1913141.190735__1.190735	239935__A0A2N8IQX1__dnaA
ERR1913141.190936__1.190936	820__A0A1T4IY80__ERS852554_01621
ERR1913141.190991__1.190991	239935__R6J776__CXU07_02355
ERR1913141.191326__1.191326	1262882__R5MF58__BN519_00393
ERR1913141.191402__1.191402	328814__GCA_004558275.1_00293
ERR1913141.191404__1.191404	853__A0A3E2V168__FAEPRAM212_00929
ERR1913141.191678__1.191678	47678__R5UMC3__CGC64_08380
ERR1913141.191687__1.191687	239935__A0A2N8HB50__CXU17_02615
ERR1913141.191948__1.191948	446660__GCA_003428235.1_00881
ERR1913141.191957__1.191957	1550024__A0A0D8J3F2__ASJ35_12800
ERR1913141.192267__1.192267	40518__R5E282__DXD86_08940
ERR1913141.192491__1.192491	745368__A0A1T4YBA4__SAMN02745178_02873
ERR1913141.192516__1.192516	1262882__R5N1R4__BN519_00788
ERR1913141.192551__1.192551	357276__A0A0K2HJA6__DXD47_07320
ERR1913141.192577__1.192577	1501391__GCA_000786575.1_00006
ERR1913141.192682__1.192682	1501391__GCA_000786575.1_00071
ERR1913141.192740__1.192740	47678__R5UXJ2__DW706_08325
ERR1913141.192828__1.192828	1160721__W0U3K4__RBI_I00339
ERR1913141.192849__1.192849	47678__R5U2H9__DXB67_10685
ERR1913141.193060__1.193060	239935__A0A2N8I7W6__CXT90_04245
ERR1913141.193292__1.193292	1263000__R5ES99__BN466_01121
ERR1913141.193349__1.193349	394340__group_3034
ERR1913141.193476__1.193476	820__A0A139KHX1__HMPREF2141_00289
ERR1913141.193574__1.193574	820__A0A139KHX1__HMPREF2141_00289
ERR1913141.193665__1.193665	239935__A0A2N8IRW0__A4V05_11620
ERR1913141.193743__1.193743	40518__R5E6X5__sbcD
ERR1913141.193749__1.193749	1501391__GCA_000786575.1_00149
ERR1913141.193806__1.193806	1262882__R5MGX3__BN519_00046
ERR1913141.193850__1.193850	1681__I3WKG9__BBJK_01327
ERR1913141.193858__1.193858	357276__A0A076IRV2__BACDOR_02822
ERR1913141.193891__1.193891	820__A0A139KHD8__ERS417307_00569
ERR1913141.194341__1.194341	40520__R7DA92__DXC87_13515
ERR1913141.194333__1.194333	39496__A5Z8R4__EUBVEN_02106
ERR1913141.194533__1.194533	39492__D4JR58__EUBSIR_02090
ERR1913141.194699__1.194699	820__A0A174CK74__DXB48_07060
ERR1913141.194612__1.194612	239935__A0A2N8HT44__CXT84_11035
ERR1913141.194834__1.194834	1262882__R5N3H1__BN519_01121
ERR1913141.194825__1.194825	1501391__GCA_000786575.1_00129
ERR1913141.194909__1.194909	357276__I9QWD4__DXD47_15075
ERR1913141.194979__1.194979	1501391__GCA_000786575.1_00063
ERR1913141.195145__1.195145	39492__D4JUT9__ERS852540_01449
ERR1913141.195477__1.195477	239935__A0A2N8IKW7__pstA
ERR1913141.195455__1.195455	239935__A0A139TPU7__CXT91_06575
ERR1913141.196012__1.196012	357276__G5SMD3__BSEG_02959
ERR1913141.196377__1.196377	1263000__R5EXF8__BN466_01942
ERR1913141.196411__1.196411	1550024__G9RTA6__TQ39_10970
ERR1913141.196764__1.196764	1501391__GCA_000786575.1_00057
ERR1913141.197020__1.197020	820__R9HP61__DXC91_01090
ERR1913141.197117__1.197117	1262882__A0A356PSJ4__BN519_01180
ERR1913141.197344__1.197344	1262882__R5N0M6__BN519_00794
ERR1913141.197374__1.197374	1262882__R5MFN3__BN519_00392
ERR1913141.197381__1.197381	46503__R5DM05__DD461_09230
ERR1913141.197430__1.197430	239935__A0A2N8ITX2__CXT86_11265
ERR1913141.197690__1.197690	1550024__A0A3B9WKW6__TQ39_07780
ERR1913141.197876__1.197876	357276__I9R994__BACDOR_04044
ERR1913141.198347__1.198347	820__A0A396EWL3__ERS417307_03868
ERR1913141.198399__1.198399	1501391__GCA_000786575.1_00055
ERR1913141.198628__1.198628	1235835__R9LCU2__C814_02677
ERR1913141.198688__1.198688	239935__A0A139TMY7__CXU13_02020
ERR1913141.198697__1.198697	357276__C3RA36__HMPREF1065_03270
ERR1913141.198781__1.198781	47678__R5UPG7__C5Z00_18695
ERR1913141.198892__1.198892	47678__R5U3U1__BACCAC_03593
ERR1913141.198900__1.198900	820__A0A139K9Q2__DXD40_08795
ERR1913141.199075__1.199075	820__A0A174A6K0__M093_0079
ERR1913141.199110__1.199110	46506__R6A5T2__DXC41_10795
ERR1913141.199038__1.199038	338188__R6SW63__BACFIN_05400
ERR1913141.199236__1.199236	357276__A0A076IRX4__ABI39_13585
ERR1913141.199432__1.199432	47678__A0A3E5BQM1__DXB67_08970
ERR1913141.199536__1.199536	820__A0A396EUU8__luxQ_3
ERR1913141.199546__1.199546	820__A0A3E4RU03__M093_0563
ERR1913141.199912__1.199912	239935__R7DVL7__CXT93_01180
ERR1913141.199983__1.199983	214856__A0A173YE57__ERS852559_00126
ERR1913141.200089__1.200089	1550024__G9RPS1__TQ39_05000
ERR1913141.200115__1.200115	239935__A0A2N8I3G2__CXT89_00720
ERR1913141.200317__1.200317	2137880__A0A316NSS7__DBY21_05505
ERR1913141.200457__1.200457	820__A0A174Q0F0__DXB48_08080
ERR1913141.200449__1.200449	1501391__GCA_000786575.1_00036
ERR1913141.200577__1.200577	1501391__GCA_000786575.1_00106
ERR1913141.200747__1.200747	1501391__GCA_000786575.1_00158
ERR1913141.200939__1.200939	1681__A0A0E2ZRM9__DXC70_08430
ERR1913141.200970__1.200970	1550024__G9RXI8__TQ39_11495
ERR1913141.201126__1.201126	1501391__GCA_000786575.1_00081
ERR1913141.201406__1.201406	371601__A0A174FW12__HMPREF1074_03447
ERR1913141.201536__1.201536	239935__A0A2N8I9P4__CXT85_05050
ERR1913141.202027__1.202027	1550024__A0A0D8IZ03__ASJ35_10695
ERR1913141.202001__1.202001	820__A0A173WZS4__DXD90_10250
ERR1913141.202015__1.202015	1550024__G9RZ52__TQ39_02420
ERR1913141.202170__1.202170	1262911__R6HGD7__BN557_00108
ERR1913141.202211__1.202211	1262882__R5N211__BN519_01033
ERR1913141.202401__1.202401	1262882__R5N2A9__BN519_00921
ERR1913141.202849__1.202849	214856__R6XNE7__ERS852447_02267
ERR1913141.202854__1.202854	239935__A0A2N8I7W6__CXT90_04245
ERR1913141.202920__1.202920	239935__A0A2N8HT44__CXT84_11035
ERR1913141.202967__1.202967	116085__D4JBQ3__DW747_01095
ERR1913141.203198__1.203198	1263000__R5EHB0__BN466_01647
ERR1913141.203286__1.203286	820__A0A174TRB5__DXD40_11305
ERR1913141.203581__1.203581	1262882__R5MF51__BN519_00287
ERR1913141.203727__1.203727	820__A0A374MMF0__HMPREF1073_03811
ERR1913141.203948__1.203948	1550024__G9RT86__ASJ35_16935
ERR1913141.204131__1.204131	357276__C3RA36__HMPREF1065_03270
ERR1913141.204921__1.204921	820__A0A174LIN6__HMPREF1072_03144
ERR1913141.204927__1.204927	820__A0A174LJB2__HMPREF1072_04112
ERR1913141.204935__1.204935	239935__A0A2N8I3G2__CXT89_00720
ERR1913141.205033__1.205033	820__A0A139K4W5__HMPREF2141_02394
ERR1913141.205388__1.205388	1501391__GCA_000786575.1_00081
ERR1913141.205417__1.205417	239935__A0A2N8I6R6__CXU04_04335
ERR1913141.205535__1.205535	357276__A0A0K2HFA1__HMPREF1065_02962
ERR1913141.205737__1.205737	214856__I3YMN6__Alfi_1938
ERR1913141.205785__1.205785	1160721__W0U3P8__RBI_I00386
ERR1913141.206028__1.206028	1262882__R5N5J6__BN519_01504
ERR1913141.205948__1.205948	239935__A0A2N8HT44__CXT84_11035
ERR1913141.205951__1.205951	1501391__GCA_000786575.1_00021
ERR1913141.206054__1.206054	239935__A0A2N8I694__CXU04_06245
ERR1913141.206131__1.206131	820__E5VA63__DXC80_01025
ERR1913141.206249__1.206249	47678__A5ZF31__DXB67_11050
ERR1913141.206460__1.206460	820__A0A3E4RU03__M093_0563
ERR1913141.206813__1.206813	820__A0A139K5A6__DXB48_12175
ERR1913141.206774__1.206774	1262889__R7HEJ5__BN634_01091
ERR1913141.206781__1.206781	1263000__R5ES99__BN466_01121
ERR1913141.206926__1.206926	338188__R6RPM5__bglX_6
ERR1913141.207209__1.207209	357276__A0A076IN21__BSEG_03078
ERR1913141.207198__1.207198	1262911__R6H2B5__BN557_01151
ERR1913141.207256__1.207256	239935__A0A2N8HT44__CXT84_11035
ERR1913141.207742__1.207742	1263000__R5EQI3__BN466_00125
ERR1913141.207922__1.207922	154046__A0A3E3DUE6__DXD79_11040
ERR1913141.208144__1.208144	820__A0A3E4RU03__M093_0563
ERR1913141.208249__1.208249	239935__A0A2N8IRL2__CXU06_01170
ERR1913141.208379__1.208379	357276__I9FTR0__HMPREF1065_02861
ERR1913141.208388__1.208388	47678__A5ZEX0__DW706_08045
ERR1913141.208401__1.208401	39492__D4MMN2__EUBSIR_00964
ERR1913141.208486__1.208486	1262882__R5MF58__BN519_00393
ERR1913141.208518__1.208518	820__A0A139KJR5__M093_4469
ERR1913141.208615__1.208615	745368__A0A1T4YA51__SAMN02745178_02876
ERR1913141.208728__1.208728	239935__R6JAS2__CXU02_10725
ERR1913141.208907__1.208907	1550024__A0A0D8IYB1__TQ39_12130
ERR1913141.209193__1.209193	820__A0A3E4G826__C801_01612
ERR1913141.209275__1.209275	853__A0A173YYY4__DWZ04_09420
ERR1913141.209289__1.209289	239935__R6JAS2__CXU02_10725
ERR1913141.209220__1.209220	39491__A0A396FUZ3__phoR_1
ERR1913141.209221__1.209221	239935__A0A2N8J2P6__ADH72_06730
ERR1913141.209454__1.209454	820__I9J701__ERS852510_01809
ERR1913141.209712__1.209712	1262882__R5MEN9__BN519_00201
ERR1913141.209846__1.209846	357276__A0A076IRX7__HMPREF1064_00526
ERR1913141.209935__1.209935	1501391__GCA_000786575.1_00115
ERR1913141.210278__1.210278	239935__A0A139TMD2__CXU18_02250
ERR1913141.210326__1.210326	239935__A0A2N8IXN0__CXT95_01765
ERR1913141.210332__1.210332	360807__A0A1Q6TAV1__ROSEINA2194_00431
ERR1913141.210371__1.210371	214856__I3YPI7__pepD_1
ERR1913141.210412__1.210412	1501391__GCA_000786575.1_00108
ERR1913141.210415__1.210415	818__A0A139K9H8__C5Z03_23905
ERR1913141.210794__1.210794	239935__A0A2N8I390__CXU16_10675
ERR1913141.210850__1.210850	239935__A0A2N8IVR0__CXT87_07115
ERR1913141.211052__1.211052	820__A0A3E4WCC2__lptB_1
ERR1913141.211156__1.211156	820__A0A396EXA7__DXB37_15530
ERR1913141.211217__1.211217	116085__D4J7N3__DW747_15125
ERR1913141.211234__1.211234	853__E2ZGD9__C7J97_11715
ERR1913141.211497__1.211497	239935__A0A2N8IYM5__CXT84_05130
ERR1913141.211711__1.211711	1501391__GCA_000786575.1_00091
ERR1913141.211725__1.211725	239935__A0A2N8I368__CXT95_04550
ERR1913141.211930__1.211930	1262889__R7H9Z3__BN634_00978
ERR1913141.212001__1.212001	1262882__R5MYS9__BN519_00290
ERR1913141.212078__1.212078	1263000__R5F0H8__BN466_00254
ERR1913141.212393__1.212393	40518__R5DR96__RBATCC27255_01185
ERR1913141.212363__1.212363	39492__D4JS87__EUBSIR_02328
ERR1913141.212463__1.212463	214856__I3YMC8__ERS852447_02666
ERR1913141.212851__1.212851	239935__A0A2N8HAQ1__DEF40_05290
ERR1913141.212932__1.212932	1501391__GCA_000786575.1_00065
ERR1913141.212978__1.212978	47678__R5UAY9__DW706_07200
ERR1913141.213210__1.213210	1501391__GCA_000786575.1_00142
ERR1913141.213214__1.213214	1550024__G9RPG8__TQ39_05515
ERR1913141.213081__1.213081	239935__A0A2N8I9P4__CXT85_05050
ERR1913141.213323__1.213323	371601__A0A139LNL6__ERS852396_04350
ERR1913141.213295__1.213295	818__Q8A0V7__BSIG_2755
ERR1913141.213436__1.213436	1262882__R5N4P6__BN519_01346
ERR1913141.213629__1.213629	239935__A0A2N8IVR0__CXT87_07115
ERR1913141.214095__1.214095	61171__B9Y5T9__HOLDEFILI_01171
ERR1913141.214199__1.214199	47678__R5U2H9__DXB67_10685
ERR1913141.214175__1.214175	360807__C0FSM3__ROSEINA2194_01739
ERR1913141.214412__1.214412	239935__A0A2N8HBM4__CXT85_06270
ERR1913141.214421__1.214421	820__A0A173WUD7__DXB48_08055
ERR1913141.214725__1.214725	1262911__R6H2J2__BN557_01228
ERR1913141.214748__1.214748	1262882__R5MEI8__BN519_00283
ERR1913141.214762__1.214762	1262882__R5N1N6__BN519_00968
ERR1913141.214767__1.214767	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913141.214798__1.214798	1501391__GCA_000786575.1_00146
ERR1913141.214830__1.214830	239935__A0A2N8IG27__CXT85_07805
ERR1913141.214865__1.214865	1262882__R5N048__BN519_00502
ERR1913141.214878__1.214878	239935__A0A139TMG9__CXU07_10650
ERR1913141.214941__1.214941	239935__A0A2N8ITW6__CXT91_06265
ERR1913141.215027__1.215027	239935__A0A139TPU7__CXT91_06575
ERR1913141.215060__1.215060	39492__A0A174ZG93__EUBSIR_00254
ERR1913141.215361__1.215361	820__A0A174F696__macB_13
ERR1913141.215363__1.215363	239935__A0A2N8IUK0__CXU01_07370
ERR1913141.215380__1.215380	357276__C3R9Y0__HMPREF1064_01889
ERR1913141.215782__1.215782	1550024__G9RQ59__TQ39_14360
ERR1913141.216179__1.216179	1550024__G9RNN4__ASJ35_08335
ERR1913141.216332__1.216332	357276__A0A076J8D4__HMPREF1064_00553
ERR1913141.216255__1.216255	1501391__GCA_000786575.1_00108
ERR1913141.216627__1.216627	214856__I3YPI7__pepD_1
ERR1913141.216959__1.216959	820__A0A139K5E7__DXC68_09550
ERR1913141.217090__1.217090	357276__B6VUQ5__B5F00_10940
ERR1913141.217158__1.217158	820__A0A374QGD2__ERS852421_02382
ERR1913141.217274__1.217274	1897011__A0A1Q6RIQ9__BHW41_00470
ERR1913141.217292__1.217292	357276__D1JYA0__EL88_06560
ERR1913141.217582__1.217582	1262882__R5N2A9__BN519_00921
ERR1913141.217644__1.217644	820__A0A3E4G3J9__ERS852459_02265
ERR1913141.217784__1.217784	1263006__R6LYW4__BN515_01529
ERR1913141.217872__1.217872	239935__A0A139TVJ4__CXT86_02020
ERR1913141.217817__1.217817	820__R9I324__HMPREF2141_02414
ERR1913141.218229__1.218229	820__A0A396EUU8__luxQ_3
ERR1913141.218375__1.218375	239935__A0A2N8HEH9__CXU07_11710
ERR1913141.218412__1.218412	1501391__GCA_000786575.1_00096
ERR1913141.218504__1.218504	239935__A0A2N8J1K0__CXT97_05765
ERR1913141.218505__1.218505	239935__A0A2N8ITG2__Amuc_0335
ERR1913141.218629__1.218629	853__A0A3E2V168__FAEPRAM212_00929
ERR1913141.218697__1.218697	40518__R5E4E8__phoR_4
ERR1913141.218723__1.218723	818__R6VB25__BSIG_5053
ERR1913141.218800__1.218800	239935__A0A2N8I3Z7__CXU05_10555
ERR1913141.218899__1.218899	357276__A0A076IXE0__HMPREF1064_04364
ERR1913141.218921__1.218921	1897011__A0A1Q6RHZ2__BHW41_00730
ERR1913141.219331__1.219331	239935__A0A2N8HPX2__CXT90_09930
ERR1913141.219364__1.219364	1262882__R5MT08__BN519_01706
ERR1913141.219455__1.219455	47678__R5U9X5__BACCAC_01339
ERR1913141.219566__1.219566	239935__A0A139TQT9__Amuc_1197
ERR1913141.219604__1.219604	116085__D4J678__DW747_12620
ERR1913141.219711__1.219711	820__A0A139KHX1__HMPREF2141_00289
ERR1913141.219725__1.219725	40520__A0A174M3Q7__DXD81_08640
ERR1913141.219861__1.219861	357276__I9F327__DXD47_22495
ERR1913141.220041__1.220041	239935__A0A139TPG3__CXT86_08810
ERR1913141.220217__1.220217	818__A0A3E5H5M0__SAMN05216253_12081
ERR1913141.220542__1.220542	39492__A0A174ZG93__EUBSIR_00254
ERR1913141.220808__1.220808	46503__R6Y9P8__evgS_3
ERR1913141.220819__1.220819	820__A0A173W419__DXC68_17760
ERR1913141.220869__1.220869	1263107__GCA_000436995.1_00211
ERR1913141.220872__1.220872	310298__B3JH49__BACCOP_01205
ERR1913141.220968__1.220968	1263107__GCA_000436995.1_00213
ERR1913141.220989__1.220989	239935__A0A139TQT9__Amuc_1197
ERR1913141.221086__1.221086	239935__B2UQB8__CXT86_01740
ERR1913141.221096__1.221096	328814__GCA_004558275.1_02279
ERR1913141.221227__1.221227	106588__A6NXS6__BACCAP_03021
ERR1913141.221251__1.221251	394340__guaA_1
ERR1913141.221365__1.221365	239935__R7E524__CXT91_06180
ERR1913141.221329__1.221329	1263000__R5EQI3__BN466_00125
ERR1913141.221529__1.221529	40518__R5DXP6__DXD83_06110
ERR1913141.221724__1.221724	328813__A0A1Y3QQL4__B5G41_13930
ERR1913141.221736__1.221736	1501391__GCA_000786575.1_00131
ERR1913141.221810__1.221810	239935__A0A2N8HUU6__CXT90_06150
ERR1913141.221887__1.221887	853__A0A174BA00__DW905_01145
ERR1913141.222058__1.222058	820__A7V470__HMPREF1072_02076
ERR1913141.222517__1.222517	1262882__R5MMD8__BN519_01576
ERR1913141.222628__1.222628	820__A0A3E4VXP2__yesR
ERR1913141.222649__1.222649	239935__A0A2N8HT68__ADH72_00510
ERR1913141.222750__1.222750	1262882__R5MHZ2__BN519_00742
ERR1913141.222890__1.222890	1501391__GCA_000786575.1_00146
ERR1913141.222949__1.222949	1550024__G9RWE0__TQ39_04155
ERR1913141.222999__1.222999	239935__R7DVL7__CXT93_01180
ERR1913141.223068__1.223068	820__R9HP61__DXC91_01090
ERR1913141.223074__1.223074	357276__A0A076IP73__BACDOR_04237
ERR1913141.223198__1.223198	820__A0A3E4VZT7__DXB48_16145
ERR1913141.223217__1.223217	46503__R6WNB1__PARMER_00135
ERR1913141.223436__1.223436	338188__R6RWS7__HMPREF1057_00911
ERR1913141.223446__1.223446	39491__A0A396FIZ8__ERE_20410
ERR1913141.223528__1.223528	239935__R6IZT7__CXU18_11710
ERR1913141.223717__1.223717	1501391__GCA_000786575.1_00092
ERR1913141.223956__1.223956	1262882__R5MRS7__BN519_01490
ERR1913141.223994__1.223994	1501391__GCA_000786575.1_00068
ERR1913141.224015__1.224015	100884__E7GBE5__HMPREF9488_02086
ERR1913141.224464__1.224464	1262882__R5MIP9__BN519_01028
