ERR1913223.13__1.13	28111__E5WZR2__HMPREF1016_02168
ERR1913223.977926__1.977926	45851__D4S1P9__BUTYVIB_02021
ERR1913223.977951__1.977951	45851__R5LL35__BUTYVIB_01928
ERR1913223.977979__1.977979	39485__R5ZSH7__EUBELI_00953
ERR1913223.977988__1.977988	165179__A0A174SA26__PREVCOP_05758
ERR1913223.978016__1.978016	39491__A0A173QT73__alaS_2
ERR1913223.978377__1.978377	1262911__R6H1B2__BN557_00840
ERR1913223.978407__1.978407	39485__R6AET9__EUBELI_01205
ERR1913223.978501__1.978501	45851__D4RYS4__BHV86_05460
ERR1913223.978534__1.978534	33043__D5HFA0__glfT2
ERR1913223.978695__1.978695	853__A0A173XRA8__CGS56_09290
ERR1913223.978767__1.978767	33039__D4M0U9__mucD
ERR1913223.978786__1.978786	45851__D4S1P1__BHV86_08290
ERR1913223.978877__1.978877	1262825__R5EL39__BN724_00543
ERR1913223.978843__1.978843	487174__K0WV96__HMPREF9448_01901
ERR1913223.979067__1.979067	1262882__R5MMD8__BN519_01576
ERR1913223.979109__1.979109	39485__R5ZQJ7__yniC
ERR1913223.979281__1.979281	45851__D4RW33__ylbJ
ERR1913223.979782__1.979782	45851__D4RXL7__BUTYVIB_00568
ERR1913223.979810__1.979810	88431__A0A3D0EZN6__DORLON_02944
ERR1913223.979997__1.979997	45851__D4RYA4__BHV86_02030
ERR1913223.980116__1.980116	165179__D1PGU8__PREVCOP_06463
ERR1913223.980191__1.980191	39485__C4Z6K2__ERS852490_00407
ERR1913223.980269__1.980269	165179__A0A3E5A554__DXB80_13805
ERR1913223.980401__1.980401	387090__S0F8B2__BACCOPRO_02129
ERR1913223.980454__1.980454	626940__E8LG67__DCQ00_09020
ERR1913223.980684__1.980684	1262825__R5EER7__BN724_00148
ERR1913223.980826__1.980826	33043__A0A173QUA9__ERS852400_01795
ERR1913223.981038__1.981038	33043__A0A173WXS1__ERS852445_00262
ERR1913223.981143__1.981143	165179__A0A229I6N7__DXC61_06720
ERR1913223.981235__1.981235	328814__GCA_004558275.1_00999
ERR1913223.981316__1.981316	1262825__R5ECD0__BN724_02208
ERR1913223.981389__1.981389	39485__A0A174ZTY8__ycfH
ERR1913223.981702__1.981702	45851__D4RX43__BUTYVIB_00394
ERR1913223.981950__1.981950	39485__C4Z6J7__ERS852492_02047
ERR1913223.982032__1.982032	45851__D4RYZ4__BHV86_03155
ERR1913223.982245__1.982245	1263006__R6LU28__BN515_01365
ERR1913223.982280__1.982280	39492__D4JW10__pppA
ERR1913223.982469__1.982469	209880__A0A1G5WLL1__SAMN02910343_01460
ERR1913223.982507__1.982507	1262825__R5E3J9__BN724_01601
ERR1913223.982743__1.982743	1262760__R5LCT5__BN758_01920
ERR1913223.982828__1.982828	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913223.983058__1.983058	1262961__R6EK01__BN710_00862
ERR1913223.983018__1.983018	39485__A0A1Q6PGI3__ERS852492_02967
ERR1913223.983029__1.983029	45851__D4S069__spoIVA
ERR1913223.983345__1.983345	39485__C4Z0F4__ERS852490_00945
ERR1913223.983416__1.983416	39488__A0A173SK21__EUBHAL_00799
ERR1913223.983575__1.983575	39485__C4Z069__EUBELI_00981
ERR1913223.983590__1.983590	1628085__A0A2U1BAW1__C7386_11048
ERR1913223.983730__1.983730	1262911__R6HMT5__BN557_00797
ERR1913223.983831__1.983831	39485__A0A174YR79__EUBELI_20418
ERR1913223.983952__1.983952	45851__D4RWY2__BHV86_07415
ERR1913223.984053__1.984053	33043__A0A173WWJ5__ERS852386_00339
ERR1913223.984090__1.984090	39485__A0A174Z4K7__dosC_2
ERR1913223.984384__1.984384	2173__A0A1D2WVA1__Msm_0411
ERR1913223.984583__1.984583	45851__D4RYB8__BHV86_01965
ERR1913223.984587__1.984587	1262961__R6DSH9__BN710_01201
ERR1913223.984793__1.984793	1262760__R5LR70__BN758_01365
ERR1913223.985027__1.985027	39491__A0A395ZG74__licR
ERR1913223.985053__1.985053	45851__D4RYQ1__BHV86_00310
ERR1913223.985110__1.985110	1262882__R5MZZ3__BN519_00482
ERR1913223.985226__1.985226	1262924__R7HPZ6__BN585_00681
ERR1913223.985244__1.985244	1262760__R5LWF0__BN758_02075
ERR1913223.985364__1.985364	410072__A0A173XQG6__ERS852574_01620
ERR1913223.985365__1.985365	45851__R5LYV2__BHV86_00590
ERR1913223.985447__1.985447	1262761__R6QYZ5__BN606_00402
ERR1913223.985580__1.985580	1262886__R6QRM1__BN563_01480
ERR1913223.985666__1.985666	39485__A0A174YZE2__spoIIE
ERR1913223.985677__1.985677	1262959__R5YSA1__BN680_00535
ERR1913223.985741__1.985741	39485__R5ZNG4__yerB
ERR1913223.985828__1.985828	1262761__R6R5Y6__BN606_00217
ERR1913223.985848__1.985848	45851__D4RWC5__BHV86_07005
ERR1913223.985889__1.985889	39485__C4Z355__ERS852490_01971
ERR1913223.986009__1.986009	100886__E2NUS9__ghrA
ERR1913223.986049__1.986049	45851__D4RYC5__BHV86_01930
ERR1913223.986190__1.986190	1262886__R6QNV6__BN563_00627
ERR1913223.986228__1.986228	45851__D4RWC1__BHV86_06985
ERR1913223.986275__1.986275	165179__D1PCL6__DXB80_13435
ERR1913223.986498__1.986498	1262886__R6QKT6__BN563_01582
ERR1913223.986615__1.986615	45851__D4RWC1__BHV86_06985
ERR1913223.986623__1.986623	39485__A0A174Z4K7__dosC_2
ERR1913223.986636__1.986636	1262882__R5N3T7__BN519_01188
ERR1913223.986759__1.986759	45851__D4S0D7__BUTYVIB_01556
ERR1913223.986803__1.986803	39485__C4Z6R3__mcp2_1
ERR1913223.986819__1.986819	384638__B7AT21__BACPEC_01289
ERR1913223.986924__1.986924	28125__I4Z7T6__PrebiDRAFT_0525
ERR1913223.986941__1.986941	1262825__R5E511__BN724_01711
ERR1913223.987046__1.987046	39491__A0A396FVC0__ERE_15900
ERR1913223.987081__1.987081	165179__A0A3E5EBQ2__DXC61_01930
ERR1913223.987117__1.987117	39491__A0A395UZL1__DXB76_05950
ERR1913223.987292__1.987292	39491__A0A173TAZ5__DXB99_09520
ERR1913223.987410__1.987410	1262945__R6ZYK7__BN600_01801
ERR1913223.987542__1.987542	2173__A5UNC4__METSMIALI_00562
ERR1913223.987935__1.987935	2173__A0A1D2WTF2__METSMIALI_00289
ERR1913223.988268__1.988268	165179__D1P8K1__DXB80_06045
ERR1913223.988272__1.988272	1262825__R5E8Y7__BN724_02314
ERR1913223.988274__1.988274	821__E5UMZ6__BVU_1450
ERR1913223.988278__1.988278	1262961__R6E1C5__BN710_01058
ERR1913223.988500__1.988500	1263030__R5CXA0__BN705_00395
ERR1913223.988551__1.988551	45851__D4S1P9__BUTYVIB_02021
ERR1913223.988591__1.988591	2173__A5ULL1__Msm_0884
ERR1913223.988609__1.988609	1262760__R5LN70__BN758_00719
ERR1913223.988707__1.988707	45851__D4S2U9__BHV86_05685
ERR1913223.988719__1.988719	2292352__A0A374UKE7__DXC23_09500
ERR1913223.988739__1.988739	1263006__R6LYR2__BN515_01475
ERR1913223.988806__1.988806	384638__B7AT21__BACPEC_01289
ERR1913223.988913__1.988913	1262825__R5EIY5__BN724_01999
ERR1913223.989087__1.989087	39485__A0A174YTX0__mro
ERR1913223.989347__1.989347	165179__D1PAJ7__PREVCOP_04222
ERR1913223.989615__1.989615	823__A6LHU5__M092_0203
ERR1913223.989684__1.989684	371601__A0A1C7H1B8__BN890_22320
ERR1913223.989777__1.989777	1262825__R5EHP5__BN724_01707
ERR1913223.989827__1.989827	1262825__R5E090__BN724_01145
ERR1913223.990170__1.990170	357276__I9QBT7__BSEG_03340
ERR1913223.990201__1.990201	39485__C4Z208__ywiB
ERR1913223.990340__1.990340	165179__R6CNX7__DXB80_02200
ERR1913223.990359__1.990359	45851__D4S1R7__BUTYVIB_02039
ERR1913223.990558__1.990558	45851__D4RYQ2__BUTYVIB_00960
ERR1913223.990549__1.990549	2022527__A0A264YCL2__CHL74_00145
ERR1913223.990611__1.990611	100886__A0A174IUT3__CATMIT_01308
ERR1913223.990789__1.990789	165179__A0A3E5A5E5__DXC61_13965
ERR1913223.990788__1.990788	45851__D4S013__BHV86_10590
ERR1913223.990844__1.990844	1263006__R6LL18__BN515_02215
ERR1913223.990879__1.990879	100886__E2NQ08__ERS852383_05630
ERR1913223.990893__1.990893	1262911__R6GPB5__BN557_00842
ERR1913223.990977__1.990977	823__A0A078SLK0__ERS852513_02755
ERR1913223.991295__1.991295	165179__A0A3E5AI09__DXC61_05815
ERR1913223.991302__1.991302	1262825__R5EAS0__BN724_00642
ERR1913223.991513__1.991513	1262760__R5LMK7__BN758_00632
ERR1913223.991514__1.991514	1547597__A0A0C3MLB2__BA92_00380
ERR1913223.991787__1.991787	45851__D4S1E0__BUTYVIB_01910
ERR1913223.992200__1.992200	1262886__R6RCG0__BN563_00376
ERR1913223.992292__1.992292	39485__R5ZSI4__ERS852492_00875
ERR1913223.992469__1.992469	45851__D4RZK8__BUTYVIB_01274
ERR1913223.992473__1.992473	1262761__R6QMC1__BN606_00771
ERR1913223.992648__1.992648	165179__A0A229I740__DXC61_10430
ERR1913223.992719__1.992719	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913223.992720__1.992720	45851__D4RXC9__BUTYVIB_00480
ERR1913223.993062__1.993062	28117__B0MY41__BHV66_05165
ERR1913223.993224__1.993224	45851__D4S1I1__BHV86_08605
ERR1913223.993343__1.993343	45851__D4RZ84__BUTYVIB_01149
ERR1913223.993435__1.993435	1263000__R5EXT3__BN466_02213
ERR1913223.993538__1.993538	165179__D1PAN5__PREVCOP_04260
ERR1913223.993502__1.993502	1262886__R6QJJ7__BN563_01219
ERR1913223.993601__1.993601	165179__D1P9T6__PREVCOP_04016
ERR1913223.993637__1.993637	45851__D4RWC3__BUTYVIB_00254
ERR1913223.993630__1.993630	165179__R6XIF8__DXC61_07265
ERR1913223.993945__1.993945	1262825__R5E9U6__BN724_00394
ERR1913223.994073__1.994073	1262882__R5N1V0__BN519_00816
ERR1913223.994163__1.994163	1262760__R5LAY9__BN758_01679
ERR1913223.994316__1.994316	39485__C4Z6U7__EUBELI_20545
ERR1913223.994343__1.994343	45851__D4RZD5__BUTYVIB_01201
ERR1913223.994320__1.994320	165179__A0A174WGF6__PREVCOP_04095
ERR1913223.994402__1.994402	45851__D4RYZ4__BHV86_03155
ERR1913223.994482__1.994482	39490__U2PE24__LG34_10000
ERR1913223.994538__1.994538	1262961__R6EMW7__BN710_01172
ERR1913223.994625__1.994625	172901__A0A2U1AYH6__C8D82_11494
ERR1913223.994912__1.994912	45851__D4RX09__BUTYVIB_00360
ERR1913223.994897__1.994897	165179__D1PGJ6__DXC61_07300
ERR1913223.995468__1.995468	572010__srrA
ERR1913223.995726__1.995726	165179__D1PHD6__DXC61_03380
ERR1913223.995713__1.995713	1262761__R6QJJ2__BN606_00358
ERR1913223.995771__1.995771	1262959__R5YSA1__BN680_00535
ERR1913223.995906__1.995906	1550024__A0A0W7TQU7__TQ39_10940
ERR1913223.995929__1.995929	2022527__A0A264Y5L2__CHL74_10875
ERR1913223.996060__1.996060	45851__D4S0P6__BUTYVIB_01665
ERR1913223.996141__1.996141	39491__C4ZHS4__EUR_24420
ERR1913223.996145__1.996145	39485__A0A174YKY3__EUBELI_00877
ERR1913223.996193__1.996193	1262911__R6H1D2__BN557_00855
ERR1913223.996195__1.996195	1262882__R5MFY4__BN519_00529
ERR1913223.996222__1.996222	1262882__R5MFA5__BN519_00331
ERR1913223.996329__1.996329	1262886__R6QD55__BN563_01713
ERR1913223.996405__1.996405	853__A0A3E2U7E6__ERS852582_01640
ERR1913223.996702__1.996702	1262760__R5LN70__BN758_00719
ERR1913223.996855__1.996855	45851__D4RYD2__BUTYVIB_00837
ERR1913223.997014__1.997014	1262825__R5EGM6__BN724_01636
ERR1913223.997120__1.997120	853__E2ZJT1__C4N23_03535
ERR1913223.997322__1.997322	45851__D4RWJ0__BHV86_05915
ERR1913223.997333__1.997333	45851__D4RZ40__BHV86_03390
ERR1913223.997404__1.997404	820__A0A3E4FZM1__adaA_2
ERR1913223.997601__1.997601	1262825__R5EN22__BN724_00572
ERR1913223.997558__1.997558	39485__C4Z0S8__hisK
ERR1913223.997636__1.997636	328814__GCA_004558275.1_00018
ERR1913223.997642__1.997642	45851__D4RWC3__BUTYVIB_00254
ERR1913223.997683__1.997683	1262911__R6H0U7__BN557_01104
ERR1913223.997781__1.997781	1680__A0A087DHN0__AL0462_1532
ERR1913223.997790__1.997790	45851__D4RXA4__BUTYVIB_00455
ERR1913223.997926__1.997926	39491__A0A395UXH0__EUBREC_0021
ERR1913223.998271__1.998271	1262760__R5LHL3__BN758_01935
ERR1913223.998295__1.998295	1262988__R7N397__BN816_01278
ERR1913223.998747__1.998747	1262760__R5LR70__BN758_01365
ERR1913223.998761__1.998761	1262882__R5N3H1__BN519_01121
ERR1913223.998876__1.998876	39485__A0A175A403__EUBELI_20577
ERR1913223.998879__1.998879	1897011__A0A1Q6RGZ3__BHW41_01455
ERR1913223.998849__1.998849	1262882__R5MEK3__BN519_00296
ERR1913223.998999__1.998999	39491__A0A2U2EED4__ERS852580_01584
ERR1913223.999096__1.999096	39485__C4Z1Y9__EUBELI_00143
ERR1913223.999251__1.999251	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913223.999370__1.999370	2173__A0A1D2WUJ0__Msm_1370
ERR1913223.999436__1.999436	820__A7V092__hldE
ERR1913223.999547__1.999547	61171__B9Y5T9__HOLDEFILI_01171
ERR1913223.999995__1.999995	328814__GCA_004558275.1_00991
ERR1913223.1000062__1.1000062	147206__GCF_000156215.1_01776
ERR1913223.1000241__1.1000241	39485__A0A175A273__plsX_2
ERR1913223.1000374__1.1000374	1262760__R5M0D2__BN758_00446
ERR1913223.1000516__1.1000516	1177632__GeneID:13827206
ERR1913223.1000618__1.1000618	165179__A0A3E5E189__PREVCOP_06699
ERR1913223.1000624__1.1000624	884684__GCA_002892425.1_01416
ERR1913223.1000789__1.1000789	357276__I9QPN0__B5F95_09195
ERR1913223.1000942__1.1000942	820__A0A139K426__B5G17_09115
ERR1913223.1000950__1.1000950	165179__R6C5D6__PREVCOP_04658
ERR1913223.1001042__1.1001042	100886__A0A174K7J5__ybbH_3
ERR1913223.1001026__1.1001026	45851__D4S0P6__BUTYVIB_01665
ERR1913223.1001155__1.1001155	39485__A0A174ZBJ8__speA_2
ERR1913223.1001302__1.1001302	39485__C4Z6Z5__EUBELI_20593
ERR1913223.1001432__1.1001432	33043__D5HHT0__ERS852445_02798
ERR1913223.1001456__1.1001456	39491__A0A395ZDC6__addB
ERR1913223.1001486__1.1001486	39491__A0A395ZDC6__addB
ERR1913223.1001570__1.1001570	1262825__R5DZG9__BN724_01005
ERR1913223.1001597__1.1001597	418240__C6JFJ7__ERS852523_01165
ERR1913223.1001679__1.1001679	1262992__R5DB53__BN795_01346
ERR1913223.1001759__1.1001759	1735__A0A374QY76__EUBIFOR_00627
ERR1913223.1001831__1.1001831	45851__D4S0C7__BHV86_10030
ERR1913223.1001902__1.1001902	1262825__R5EGD8__BN724_01599
ERR1913223.1001950__1.1001950	1262992__R5D3T4__BN795_00483
ERR1913223.1002206__1.1002206	28111__E5WXQ8__NCTC11155_03183
ERR1913223.1002264__1.1002264	1262825__R5E3B8__BN724_00171
ERR1913223.1002448__1.1002448	45851__D4RZ82__BHV86_03550
ERR1913223.1002522__1.1002522	165179__A0A174IPI3__CFT61_10940
ERR1913223.1002655__1.1002655	165179__A0A3E5DN34__DXC61_07865
ERR1913223.1002694__1.1002694	39488__C0ESJ6__EUBHAL_00369
ERR1913223.1002794__1.1002794	2173__A0A1D2WT15__BK798_04490
ERR1913223.1002909__1.1002909	45851__D4RY81__BUTYVIB_00786
ERR1913223.1003127__1.1003127	853__A0A2A7ATM9__DWZ89_13645
ERR1913223.1003146__1.1003146	1262961__R6EK01__BN710_00862
ERR1913223.1003213__1.1003213	154046__A0A174KKN9__DXC39_25930
ERR1913223.1003301__1.1003301	45851__D4RXC9__BUTYVIB_00480
ERR1913223.1003351__1.1003351	45851__D4RYC5__BHV86_01930
ERR1913223.1003400__1.1003400	45851__D4RYQ1__BHV86_00310
ERR1913223.1003408__1.1003408	88431__A0A174EJA6__DXB16_03345
ERR1913223.1003429__1.1003429	39491__A0A396FFW0__ERE_10580
ERR1913223.1003531__1.1003531	33043__A0A173YLD4__ERS852575_00535
ERR1913223.1003627__1.1003627	165179__R6B8D8__DXC61_09245
ERR1913223.1003829__1.1003829	2173__A0A1D2WT64__METSMIALI_01143
ERR1913223.1003833__1.1003833	131111__A0A0E9EVE2__HMPREF9241_00349
ERR1913223.1003843__1.1003843	33043__A0A174B5C6__acm_3
ERR1913223.1003858__1.1003858	131111__A0A0E9EVE2__HMPREF9241_00349
ERR1913223.1003870__1.1003870	39485__A0A174Z8V5__fliU_2
ERR1913223.1003939__1.1003939	1262825__R5ECD5__BN724_02213
ERR1913223.1003908__1.1003908	40518__R5DR96__RBATCC27255_01185
ERR1913223.1003910__1.1003910	39492__D4JR58__EUBSIR_02090
ERR1913223.1003919__1.1003919	45851__D4RWC6__BHV86_07010
ERR1913223.1003994__1.1003994	88431__A0A174G8Q6__ERS852526_02711
ERR1913223.1004024__1.1004024	1263000__R5EMW8__BN466_00256
ERR1913223.1004233__1.1004233	165179__A0A3E5E189__PREVCOP_06699
ERR1913223.1004682__1.1004682	45851__D4RWZ9__murF
ERR1913223.1004708__1.1004708	165179__D1PFV4__PREVCOP_06112
ERR1913223.1004811__1.1004811	45851__D4RZ27__BHV86_03325
ERR1913223.1004845__1.1004845	1262961__R6E511__BN710_01614
ERR1913223.1004904__1.1004904	1262911__R6H2J2__BN557_01228
ERR1913223.1005147__1.1005147	1262911__R6H1B2__BN557_00840
ERR1913223.1005308__1.1005308	1262886__R6RCF6__BN563_00371
ERR1913223.1005585__1.1005585	45851__D4RYC7__BUTYVIB_00832
ERR1913223.1005643__1.1005643	2173__A5ULV3__Msm_0976
ERR1913223.1005757__1.1005757	45851__D4RW33__ylbJ
ERR1913223.1005816__1.1005816	33043__A0A174CV49__ERS852386_02395
ERR1913223.1005852__1.1005852	1262816__R6C3X7__BN687_02202
ERR1913223.1005972__1.1005972	384639__GCA_003096855.1_00972
ERR1913223.1006015__1.1006015	410072__C0BC38__ERS852574_02017
ERR1913223.1006205__1.1006205	45851__D4S013__BHV86_10590
ERR1913223.1006299__1.1006299	1262825__R5E978__BN724_00307
ERR1913223.1006232__1.1006232	1262961__R6E0C8__BN710_00049
ERR1913223.1006237__1.1006237	39485__A0A174ZNZ2__ERS852492_02345
ERR1913223.1006635__1.1006635	45851__D4RWP4__BHV86_06190
ERR1913223.1006932__1.1006932	39485__A0A174YSS6__trxB_2
ERR1913223.1006940__1.1006940	28117__B0MXL6__ALIPUT_01851
ERR1913223.1006959__1.1006959	100886__E2NR09__CATMIT_01012
ERR1913223.1007003__1.1007003	2173__R7PYR7__BK798_01375
ERR1913223.1006965__1.1006965	165179__A0A3E5AGH1__DXB80_05820
ERR1913223.1007259__1.1007259	165179__A0A3E5DY64__CFT61_10025
ERR1913223.1007237__1.1007237	2173__A0A1D2WVA1__Msm_0411
ERR1913223.1007279__1.1007279	45851__D4S013__BHV86_10590
ERR1913223.1007334__1.1007334	39485__A0A1Q6PGI3__ERS852492_02967
ERR1913223.1007387__1.1007387	45851__D4S184__BUTYVIB_01854
ERR1913223.1007437__1.1007437	165179__D1PCT4__DXB80_09470
ERR1913223.1007449__1.1007449	165179__D1PB89__DXC61_08425
ERR1913223.1007537__1.1007537	165179__A0A3E5A554__DXB80_13805
ERR1913223.1007601__1.1007601	1263044__GCA_000433375.1_01147
ERR1913223.1007676__1.1007676	45851__D4RWC6__BHV86_07010
ERR1913223.1007758__1.1007758	39485__A0A174ZNW9__luxQ_1
ERR1913223.1007734__1.1007734	45851__D4RXN5__BUTYVIB_00586
ERR1913223.1008074__1.1008074	39485__C4Z6I9__ERS852492_02038
ERR1913223.1008260__1.1008260	1262930__R5ZWP2__BN693_01542
ERR1913223.1008424__1.1008424	45851__D4RYC7__BUTYVIB_00832
ERR1913223.1008645__1.1008645	1262886__R6RFP6__BN563_01341
ERR1913223.1009136__1.1009136	2173__A0A1D2WXC5__METSMIALI_01265
ERR1913223.1009198__1.1009198	301302__A0A173T3P5__ERS852420_01836
ERR1913223.1009231__1.1009231	45851__D4RWI2__BHV86_07325
ERR1913223.1009294__1.1009294	1262760__R5L6U4__BN758_00921
ERR1913223.1009242__1.1009242	100886__E2NNL4__yihX_2
ERR1913223.1009351__1.1009351	1262886__R6Q7C7__BN563_00709
ERR1913223.1009437__1.1009437	458033__GCA_001482755.1_02203
ERR1913223.1009689__1.1009689	39486__B0G542__DXB36_08545
ERR1913223.1009727__1.1009727	1262911__R6GKS1__BN557_00184
ERR1913223.1009927__1.1009927	39486__B0G768__DXD10_08260
ERR1913223.1010036__1.1010036	2173__A0A1D2WTP5__BK798_02785
ERR1913223.1010361__1.1010361	165179__R6BPK1__DXB80_04445
ERR1913223.1010518__1.1010518	45851__D4S0Q4__lepB
ERR1913223.1010729__1.1010729	39485__R5ZT06__EUBELI_20526
ERR1913223.1010761__1.1010761	745368__A0A1T4Y6I3__SAMN02745178_02753
ERR1913223.1010809__1.1010809	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913223.1010902__1.1010902	165179__A0A3E5DZA5__DXB80_12550
ERR1913223.1010998__1.1010998	45851__D4RWR5__BHV86_06295
ERR1913223.1011003__1.1011003	33043__D5HGR0__rpfC_2
ERR1913223.1011049__1.1011049	745368__A0A1T4X373__SAMN02745178_01365
ERR1913223.1011102__1.1011102	1262980__R5BT50__BN814_00103
ERR1913223.1011311__1.1011311	1262961__R6DVU6__BN710_01353
ERR1913223.1011503__1.1011503	45851__D4RYR7__BHV86_05495
ERR1913223.1011489__1.1011489	1262961__R6E1C5__BN710_01058
ERR1913223.1011469__1.1011469	357276__B6W1J2__BACDOR_03380
ERR1913223.1011475__1.1011475	43675__D2NQ42__HMPREF0737_01751
ERR1913223.1011755__1.1011755	45851__D4RWC3__BUTYVIB_00254
ERR1913223.1011766__1.1011766	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913223.1011889__1.1011889	33043__A0A174A481__ERS852400_01067
ERR1913223.1011859__1.1011859	45851__D4RWI9__BHV86_05910
ERR1913223.1012081__1.1012081	39491__A0A396FMF1__EUR_28700
ERR1913223.1012083__1.1012083	45851__D4S200__BHV86_07815
ERR1913223.1012152__1.1012152	1284775__A0A095ZFS6__HMPREF1640_07045
ERR1913223.1012249__1.1012249	1262825__R5EK39__BN724_02341
ERR1913223.1012396__1.1012396	1262825__R5E8R7__BN724_02167
ERR1913223.1012529__1.1012529	357276__I8WEY2__ABI39_04185
ERR1913223.1012637__1.1012637	1263107__GCA_000436995.1_00004
ERR1913223.1012675__1.1012675	45851__D4S2F3__BUTYVIB_02275
ERR1913223.1012831__1.1012831	1262961__R6E698__BN710_01517
ERR1913223.1012834__1.1012834	39485__R5ZT06__EUBELI_20526
ERR1913223.1012839__1.1012839	1262961__R6DV64__BN710_01224
ERR1913223.1012941__1.1012941	45851__D4S069__spoIVA
ERR1913223.1013343__1.1013343	2173__A0A1D2WSY5__METSMIF1_03017
ERR1913223.1013424__1.1013424	1262911__R6GTA5__BN557_01337
ERR1913223.1013496__1.1013496	47678__R5UUQ0__C5Z00_15605
ERR1913223.1013517__1.1013517	458033__GCA_001482755.1_02203
ERR1913223.1013643__1.1013643	853__A0A2A7B1Y7__C7K05_11930
ERR1913223.1013813__1.1013813	2173__A0A1D2WX16__METSMIALI_00508
ERR1913223.1013856__1.1013856	100886__A0A174MFT0__CATMIT_01349
ERR1913223.1013859__1.1013859	165179__R6CJG8__DXC61_09290
ERR1913223.1014107__1.1014107	853__A0A174C5M1__CGS58_04460
ERR1913223.1014170__1.1014170	39485__C4Z2S3__EUBELI_00292
ERR1913223.1014391__1.1014391	39485__A0A174ZNW9__luxQ_1
ERR1913223.1014536__1.1014536	45851__D4S1P1__BHV86_08290
ERR1913223.1014704__1.1014704	45851__D4RZC9__BUTYVIB_01195
ERR1913223.1014818__1.1014818	214856__A0A174AYS4__ERS852447_01192
ERR1913223.1014981__1.1014981	1262760__R5LCT5__BN758_01920
ERR1913223.1015225__1.1015225	384639__GCA_003096855.1_00975
ERR1913223.1015226__1.1015226	1262743__R5C054__BN727_01980
ERR1913223.1015451__1.1015451	1262825__R5E9U6__BN724_00394
ERR1913223.1015467__1.1015467	1550024__A0A3B9WIA4__TQ39_14495
ERR1913223.1015571__1.1015571	1262825__R5EA04__BN724_00076
ERR1913223.1015585__1.1015585	301302__A0A0M6WH46__M72_23101
ERR1913223.1015645__1.1015645	39485__C4Z2X2__ERS852492_01808
ERR1913223.1015801__1.1015801	45851__D4S031__BHV86_10500
ERR1913223.1015865__1.1015865	1262882__R5MSQ8__BN519_01647
ERR1913223.1016202__1.1016202	28052__R5HJU0__ERS852451_00148
ERR1913223.1016289__1.1016289	39491__A0A3E4YFT8__DXB69_10940
ERR1913223.1016335__1.1016335	88431__A0A3D0F1X8__ERS852408_00673
ERR1913223.1016431__1.1016431	1262988__R7N4U5__BN816_00495
ERR1913223.1016625__1.1016625	39485__A0A174Z8V5__fliU_2
ERR1913223.1017026__1.1017026	39485__A0A174YMC1__recN
ERR1913223.1017103__1.1017103	1262992__R5D1K9__BN795_01025
ERR1913223.1017290__1.1017290	2173__A0A1D2WVA1__Msm_0411
ERR1913223.1017528__1.1017528	45851__D4RWS6__BHV86_06350
ERR1913223.1017561__1.1017561	1150298__A0A174QSP7__ERS852406_03088
ERR1913223.1017799__1.1017799	165179__R6XIF8__DXC61_07265
ERR1913223.1017814__1.1017814	39485__A0A174YKY3__EUBELI_00877
ERR1913223.1018020__1.1018020	28117__B0MTS2__ALIPUT_00159
ERR1913223.1018047__1.1018047	821__I9R3W6__DXC16_12455
ERR1913223.1018086__1.1018086	39485__C4Z069__EUBELI_00981
ERR1913223.1018169__1.1018169	1262988__R7N1E2__BN816_00832
ERR1913223.1018448__1.1018448	301302__R5VE75__M72_12161
ERR1913223.1018498__1.1018498	45851__R5LRP4__BUTYVIB_00447
ERR1913223.1018597__1.1018597	1150298__A0A174BC67__ERS852498_00837
ERR1913223.1018617__1.1018617	147207__dmdA
ERR1913223.1018734__1.1018734	2292352__A0A374UKE7__DXC23_09500
ERR1913223.1018980__1.1018980	239935__A0A2N8I9N0__CXT97_09915
ERR1913223.1019030__1.1019030	45851__D4RX43__BUTYVIB_00394
ERR1913223.1018966__1.1018966	1262760__R5L6L4__BN758_00893
ERR1913223.1019329__1.1019329	39486__R6SMK6__DXD82_09730
ERR1913223.1019492__1.1019492	131111__A0A0E9DRU1__HMPREF9241_01578
ERR1913223.1019532__1.1019532	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913223.1019557__1.1019557	1735__B7CBR4__EUBIFOR_01639
ERR1913223.1019966__1.1019966	821__A0A3E4WAR6__DXD64_10735
ERR1913223.1020128__1.1020128	1262882__R5MM69__BN519_00075
ERR1913223.1020440__1.1020440	1262825__R5EK39__BN724_02341
ERR1913223.1020798__1.1020798	1262825__R5DZG9__BN724_01005
ERR1913223.1020789__1.1020789	39485__C4Z637__ERS852490_00218
ERR1913223.1020903__1.1020903	39485__A0A174YSS6__trxB_2
ERR1913223.1020969__1.1020969	821__U6RDC2__DXD46_15675
ERR1913223.1021091__1.1021091	853__A0A173YYY4__DWZ04_09420
ERR1913223.1021176__1.1021176	1262911__R6GKS1__BN557_00184
ERR1913223.1021273__1.1021273	239935__A0A2N8IZ16__CXT84_05850
ERR1913223.1021764__1.1021764	1297617__A0A0S2W165__IB211_00694c
