ERR1913299.35__1.35	28052__A0A174HF53__ERS852499_00436
ERR1913299.165799__1.165799	39492__D4JWA3__ERS852540_01332
ERR1913299.165867__1.165867	204516__U6RR05__HMPREF1534_00736
ERR1913299.165913__1.165913	823__K6ACX1__ERS852513_00266
ERR1913299.166024__1.166024	384639__GCA_003096855.1_00253
ERR1913299.166072__1.166072	39492__D4JW10__pppA
ERR1913299.166192__1.166192	1235793__R9KSF0__C809_01679
ERR1913299.166231__1.166231	28111__R5K5R2__NCTC11155_00605
ERR1913299.166238__1.166238	39492__B0MM84__lgt
ERR1913299.166273__1.166273	291644__I8Y7I4__HMPREF1071_03636
ERR1913299.166362__1.166362	39492__D4JUD9__EUBSIR_01875
ERR1913299.166342__1.166342	39492__B0MNL5__phoR_1
ERR1913299.166427__1.166427	39491__A0A2U2EI54__DXD95_12010
ERR1913299.166491__1.166491	39492__D4JTW7__EUBSIR_00859
ERR1913299.166450__1.166450	820__A0A174TRB5__DXD40_11305
ERR1913299.166468__1.166468	39491__A0A173TFQ1__rsmF
ERR1913299.166505__1.166505	823__K6AMD2__B5F32_04565
ERR1913299.166665__1.166665	39491__A0A173SH34__EUR_24920
ERR1913299.166694__1.166694	239935__R7DVL7__CXT93_01180
ERR1913299.166725__1.166725	39492__D4JWX2__accB
ERR1913299.166929__1.166929	1150298__A0A174BP05__murAA
ERR1913299.166907__1.166907	357276__B6W5Q7__DXD47_13945
ERR1913299.166920__1.166920	384638__B7APR0__BACPEC_00666
ERR1913299.167053__1.167053	1262886__R6RCJ1__BN563_00406
ERR1913299.167036__1.167036	357276__I8WEY2__ABI39_04185
ERR1913299.167138__1.167138	39492__A0A174ZP27__EUBSIR_00033
ERR1913299.167171__1.167171	626929__F3PKF4__SAMN05444376_0707
ERR1913299.167422__1.167422	39492__A0A174ZP27__EUBSIR_00033
ERR1913299.167465__1.167465	820__A0A174M9V5__M093_0237
ERR1913299.167498__1.167498	40518__R5DRG6__ylbJ
ERR1913299.167536__1.167536	357276__I9QPN0__B5F95_09195
ERR1913299.167555__1.167555	1262915__R6HP14__BN574_00277
ERR1913299.167572__1.167572	360807__C0FVL6__ERS852444_00333
ERR1913299.167608__1.167608	39492__D4JSG7__EUBSIR_01006
ERR1913299.167666__1.167666	1150298__A0A174EA00__ERS852406_01720
ERR1913299.167795__1.167795	458033__GCA_001482755.1_02203
ERR1913299.167861__1.167861	39491__A0A395ZDC6__addB
ERR1913299.167950__1.167950	40518__R5E6K4__RB5AMG_02070
ERR1913299.168071__1.168071	418240__C6JDJ1__ERS852478_02876
ERR1913299.168121__1.168121	1262743__R5C054__BN727_01980
ERR1913299.168150__1.168150	39492__D4JX34__ERS852540_00411
ERR1913299.168151__1.168151	39492__D4JV86__spoIIE
ERR1913299.168084__1.168084	823__A0A174PDQ0__DXC05_08200
ERR1913299.168225__1.168225	818__A0A0N7I9H8__ERS852461_00040
ERR1913299.168397__1.168397	39491__A0A396FS17__envC
ERR1913299.168460__1.168460	820__A0A374QGD2__ERS852421_02382
ERR1913299.168439__1.168439	28117__B0MYM2__BHV66_04910
ERR1913299.168649__1.168649	39491__A0A173U130__ERE_16110
ERR1913299.168603__1.168603	39492__D4JUD7__EUBSIR_01877
ERR1913299.168770__1.168770	384639__GCA_003096855.1_01187
ERR1913299.168780__1.168780	39491__A0A396FUZ3__phoR_1
ERR1913299.168886__1.168886	357276__I9R201__B5F00_01910
ERR1913299.168895__1.168895	649756__A0A174RGG7__senX3_2
ERR1913299.168908__1.168908	357276__A0A076J8M3__ABI39_13695
ERR1913299.168925__1.168925	166486__C7GCP5__ROSINTL182_07683
ERR1913299.169004__1.169004	818__A0A174TT69__SAMN02910322_02680
ERR1913299.169012__1.169012	39492__D4MJF3__EUBSIR_02248
ERR1913299.169070__1.169070	1262743__R5C7C5__BN727_00596
ERR1913299.169117__1.169117	301302__A0A173SCU7__M72_12871
ERR1913299.169287__1.169287	39492__D4JT75__EUBSIR_01776
ERR1913299.169305__1.169305	39492__D4JQP0__ypeB
ERR1913299.169336__1.169336	823__A0A173TL14__M095_0764
ERR1913299.169388__1.169388	853__A0A173T6P2__DWZ46_14595
ERR1913299.169443__1.169443	39491__A0A395ZHH5__ERS852497_02076
ERR1913299.169456__1.169456	820__A0A174CG08__DXB62_13215
ERR1913299.169569__1.169569	39492__D4JWY0__EUBSIR_01648
ERR1913299.169572__1.169572	40518__R5DV58__htrA
ERR1913299.169686__1.169686	39492__D4JQL8__ywpJ
ERR1913299.169811__1.169811	1262743__R5C7D3__BN727_00606
ERR1913299.169774__1.169774	39492__D4JS87__EUBSIR_02328
ERR1913299.169786__1.169786	820__A0A139K024__B5G17_02060
ERR1913299.169960__1.169960	39492__D4JR58__EUBSIR_02090
ERR1913299.170052__1.170052	39492__R6SPM9__pheT
ERR1913299.170123__1.170123	1263107__GCA_000436995.1_00213
ERR1913299.170190__1.170190	39491__A0A395ZHH5__ERS852497_02076
ERR1913299.170224__1.170224	40518__R5E2X9__RBATCC27255_01546
ERR1913299.170594__1.170594	820__A0A3E4G3J9__ERS852459_02265
ERR1913299.170714__1.170714	45851__D4S1E0__BUTYVIB_01910
ERR1913299.170986__1.170986	39491__A0A174M1X5__DXB99_18695
ERR1913299.171057__1.171057	823__A0A395YZ10__NCTC11152_02955
ERR1913299.171051__1.171051	28052__A0A174I4I1__ERS852499_00646
ERR1913299.171223__1.171223	357276__A0A076IXE0__HMPREF1064_04364
ERR1913299.171238__1.171238	204516__U6RFU0__HMPREF1534_02545
ERR1913299.171315__1.171315	39491__D4JMW8__ERS852497_01971
ERR1913299.171334__1.171334	39491__A0A395ZG74__licR
ERR1913299.171393__1.171393	310298__B3JFI7__BACCOP_00636
ERR1913299.171414__1.171414	360807__C0FNY7__ERS852392_01257
ERR1913299.171453__1.171453	823__A0A073I1X2__DXD05_18820
ERR1913299.171515__1.171515	853__A0A2A7A628__CGS57_13755
ERR1913299.171613__1.171613	1150298__R7JUW7__ERS852406_02089
ERR1913299.171923__1.171923	820__A0A396EUU8__luxQ_3
ERR1913299.172078__1.172078	39492__A0A174Z2N0__EUBSIR_01615
ERR1913299.172079__1.172079	39492__D4JUR4__ERS852540_01427
ERR1913299.172048__1.172048	1262743__R5C7D3__BN727_00606
ERR1913299.172171__1.172171	820__A0A173YYG4__evgS_3
ERR1913299.172249__1.172249	301302__A0A173SCU7__M72_12871
ERR1913299.172371__1.172371	39492__R6RYB8__ERS852540_00322
ERR1913299.172396__1.172396	823__A0A355XN73__DXC05_07000
ERR1913299.172473__1.172473	357276__A0A076J0Y3__IY41_06810
ERR1913299.172482__1.172482	39491__A0A396FNY7__LD38_16155
ERR1913299.172681__1.172681	410072__A0A174ND44__ERS852389_01731
ERR1913299.172734__1.172734	357276__A0A076IYG1__B5F95_22465
ERR1913299.172693__1.172693	820__A7V859__ERS852462_00341
ERR1913299.172810__1.172810	39492__D4JRS7__ERS852540_02076
ERR1913299.172888__1.172888	28111__E5WUH3__BACEGG_02112
ERR1913299.172919__1.172919	39492__D4JT56__lepB
ERR1913299.173006__1.173006	1625__G2KW49__BGL41_00230
ERR1913299.172989__1.172989	820__I9TWZ7__DXC80_10550
ERR1913299.172992__1.172992	1897011__A0A1Q6RI94__BHW41_01260
ERR1913299.173015__1.173015	39492__D4JTF2__mutS2
ERR1913299.173148__1.173148	166486__C7GAX1__ERS852572_03188
ERR1913299.173194__1.173194	301302__R5ULQ3__ERS852420_02626
ERR1913299.173392__1.173392	40518__R5E0F2__RBATCC27255_01890
ERR1913299.173412__1.173412	39492__D4JT68__spoIIIE
ERR1913299.173347__1.173347	292800__A0A1C7FI72__ERS852504_01815
ERR1913299.173351__1.173351	1150298__R7JU97__ERS852498_02579
ERR1913299.173446__1.173446	39492__D4JU30__EUBSIR_00838
ERR1913299.173448__1.173448	39492__D4JRZ7__smc
ERR1913299.173492__1.173492	39492__D4JRZ7__smc
ERR1913299.173562__1.173562	1262915__R6HEI9__BN574_00480
ERR1913299.173523__1.173523	28111__R5JN40__HMPREF1016_01803
ERR1913299.173645__1.173645	1263107__GCA_000436995.1_00142
ERR1913299.173576__1.173576	458033__GCA_001482755.1_02203
ERR1913299.173583__1.173583	1150298__A0A174Q6Q0__ERS852406_00063
ERR1913299.173768__1.173768	39492__D4MMN2__EUBSIR_00964
ERR1913299.173820__1.173820	28117__B0N007__BHV66_10275
ERR1913299.173871__1.173871	39491__A0A395UZL1__DXB76_05950
ERR1913299.173872__1.173872	39492__D4JVG7__ERS852540_00946
ERR1913299.173973__1.173973	328814__GCA_004558275.1_01620
ERR1913299.173946__1.173946	39492__D4JUN0__EUBSIR_02705
ERR1913299.173997__1.173997	166486__D4L458__ROSINTL182_07088
ERR1913299.174207__1.174207	39491__A0A396FF17__EUR_31400
ERR1913299.174400__1.174400	39491__R6TQ09__DXC13_03010
ERR1913299.174410__1.174410	820__A0A374Q8T2__DXB64_16190
ERR1913299.174444__1.174444	820__A0A174DZ97__SAMN05444418_101240
ERR1913299.174623__1.174623	291644__R5J8I9__ERS852428_03546
ERR1913299.174727__1.174727	1520815__A0A1I3PY51__SAMN02910435_01644
ERR1913299.174773__1.174773	39492__D4JTW6__ERS852540_00220
ERR1913299.174832__1.174832	357276__I8WPR6__EL88_06675
ERR1913299.174839__1.174839	39491__A0A0M6WNS5__DXC13_02015
ERR1913299.174842__1.174842	357276__D1K3K9__EL88_23995
ERR1913299.174815__1.174815	189722__E0NQU7__HMPREF0658_0548
ERR1913299.174875__1.174875	39492__D4MIX3__ERS852540_01230
ERR1913299.174905__1.174905	1150298__A0A174SLE6__mlc_1
ERR1913299.174943__1.174943	39492__D4JVX0__udk
ERR1913299.174971__1.174971	39492__D4JTB5__EUBSIR_01720
ERR1913299.174986__1.174986	820__A0A174B4N2__M093_2531
ERR1913299.175027__1.175027	39492__D4JSU6__dacB_3
ERR1913299.175181__1.175181	357276__I9QDB8__B5F95_08105
ERR1913299.175163__1.175163	166486__D4KWN4__ERS852572_01865
ERR1913299.175122__1.175122	39491__A0A396FF17__EUR_31400
ERR1913299.175212__1.175212	39492__D4JSB6__ERS852540_00627
ERR1913299.175340__1.175340	1235835__R9LCU2__C814_02677
ERR1913299.175421__1.175421	820__A0A173W419__DXC68_17760
ERR1913299.175482__1.175482	39485__A0A174ZI57__ERS852490_00285
ERR1913299.175522__1.175522	292800__A0A174X5U4__B5F52_18190
ERR1913299.175561__1.175561	28052__A0A174NY34__ERS852499_02326
ERR1913299.175680__1.175680	39491__A0A395ZHV7__ykvU
ERR1913299.175693__1.175693	1150298__A0A174SLE6__mlc_1
ERR1913299.176012__1.176012	39492__D4JQU2__EUBSIR_01294
ERR1913299.176136__1.176136	39491__A0A173TFQ1__rsmF
ERR1913299.176111__1.176111	39491__A0A396FUZ3__phoR_1
ERR1913299.176322__1.176322	1263044__GCA_000433375.1_01152
ERR1913299.176465__1.176465	1150298__A0A174MLY5__ERS852498_01797
ERR1913299.176443__1.176443	28052__R7N7V7__hemZ_1
ERR1913299.176520__1.176520	820__A0A3E4G2R7__DXC07_00510
ERR1913299.176690__1.176690	1099853__G9S750__NSB1T_10615
ERR1913299.176714__1.176714	39492__D4JU30__EUBSIR_00838
ERR1913299.176746__1.176746	39492__D4JUR4__ERS852540_01427
ERR1913299.176773__1.176773	1150298__A0A174CCD5__ERS852406_01310
ERR1913299.177018__1.177018	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913299.177028__1.177028	820__A0A139K8N1__ERS852554_00951
ERR1913299.177083__1.177083	820__A0A3E4VZS7__DXC07_14435
ERR1913299.177084__1.177084	39492__D4MMN2__EUBSIR_00964
ERR1913299.177095__1.177095	301302__A0A173R6H4__M72_21671
ERR1913299.177103__1.177103	39491__A0A174K9A3__DXB69_07785
ERR1913299.177126__1.177126	39492__D4JQS7__ERS852540_01645
ERR1913299.177175__1.177175	39491__C4Z9D4__DXD95_00055
ERR1913299.177186__1.177186	40518__R5DS23__DXD86_01715
ERR1913299.177162__1.177162	39491__A0A173QT73__alaS_2
ERR1913299.177263__1.177263	39492__D4MIX3__ERS852540_01230
ERR1913299.177238__1.177238	28052__A0A174KGM3__ERS852451_01819
ERR1913299.177285__1.177285	28052__R6K5E4__sepF
ERR1913299.177420__1.177420	47678__A5ZF31__DXB67_11050
ERR1913299.177422__1.177422	1150298__R7JL35__ERS852498_02809
ERR1913299.177513__1.177513	28111__E5WYC8__BACEGG_00347
ERR1913299.177477__1.177477	357276__B6VW91__BACDOR_01584
ERR1913299.177491__1.177491	820__A0A3E4G2R7__DXC07_00510
ERR1913299.177530__1.177530	820__A0A174CG08__DXB62_13215
ERR1913299.177567__1.177567	39492__D4JU30__EUBSIR_00838
ERR1913299.177646__1.177646	39491__D4JMW8__ERS852497_01971
ERR1913299.177722__1.177722	1150298__R7JRJ7__ERS852406_01438
ERR1913299.177879__1.177879	1099853__U5CD68__NSB1T_05535
ERR1913299.178264__1.178264	239935__A0A2N8HW65__CXU09_08515
ERR1913299.178490__1.178490	821__C6ZAA5__ERS852556_00403
ERR1913299.178552__1.178552	1150298__R7JSS6__ERS852535_01362
ERR1913299.178556__1.178556	39492__D4JUS6__accD5
ERR1913299.178736__1.178736	39492__D4JUL4__ERS852540_01381
ERR1913299.178741__1.178741	1150298__A0A174PA84__sigM
ERR1913299.178778__1.178778	166486__D4L082__yicI_5
ERR1913299.178906__1.178906	39492__D4JWG3__EUBSIR_00308
ERR1913299.178926__1.178926	214856__A0A174A257__ERS852447_01007
ERR1913299.178934__1.178934	39491__A0A395V1Y4__DXB99_08035
ERR1913299.178940__1.178940	28052__A0A174KY39__ERS852451_01894
ERR1913299.178942__1.178942	853__A0A2A7B1Y7__C7K05_11930
ERR1913299.178976__1.178976	39492__D4JTJ1__EUBSIR_01453
ERR1913299.179054__1.179054	39492__D4JTB5__EUBSIR_01720
ERR1913299.179262__1.179262	39491__A0A396FBR6__DXC13_08575
ERR1913299.179240__1.179240	301302__A0A173SJJ1__ERS852420_01411
ERR1913299.179329__1.179329	28111__E5X0X9__HMPREF1016_02597
ERR1913299.179411__1.179411	39491__A0A395ZHV7__ykvU
ERR1913299.179395__1.179395	28111__R5K5Y3__BACEGG_03205
ERR1913299.179437__1.179437	39491__A0A173TAZ5__DXB99_09520
ERR1913299.179535__1.179535	39491__A0A395ZG74__licR
ERR1913299.179698__1.179698	39491__C4ZAT2__ERE_28440
ERR1913299.179750__1.179750	39492__D4JRM9__bglB_2
ERR1913299.179893__1.179893	853__A0A2A7B1Y7__C7K05_11930
ERR1913299.180034__1.180034	292800__A0A096CPP2__yfkN_3
ERR1913299.180036__1.180036	239935__A0A2N8IMC3__CXT96_03840
ERR1913299.180075__1.180075	820__A7V092__hldE
ERR1913299.180283__1.180283	39492__D4JSU6__dacB_3
ERR1913299.180294__1.180294	820__A0A374Q854__HMPREF1073_03281
ERR1913299.180297__1.180297	39492__D4JUJ6__ssuB_2
ERR1913299.180427__1.180427	39491__A0A395ZL98__DXB99_00620
ERR1913299.180452__1.180452	823__A6LB63__M095_1847
ERR1913299.180454__1.180454	166486__D4KUE4__ROSINTL182_08606
ERR1913299.180360__1.180360	39492__A0A174ZG93__EUBSIR_00254
ERR1913299.180541__1.180541	820__A0A139JRS5__HMPREF1073_04025
ERR1913299.180542__1.180542	39492__D4JXA0__ERS852540_02538
ERR1913299.180468__1.180468	39485__A0A174ZNW9__luxQ_1
ERR1913299.180497__1.180497	820__A0A139KA34__B5G17_05520
ERR1913299.180649__1.180649	39492__D4JS87__EUBSIR_02328
ERR1913299.180650__1.180650	40518__R5E175__RB5AMG_00757
ERR1913299.180669__1.180669	39492__B0MPL6__EUBSIR_01779
ERR1913299.180790__1.180790	39492__D4JTW7__EUBSIR_00859
ERR1913299.180881__1.180881	47678__A5ZH12__DXB67_04890
ERR1913299.180917__1.180917	823__A6LBY1__ERS852380_00510
ERR1913299.180922__1.180922	706562__GCA_900112995.1_01638
ERR1913299.180984__1.180984	214856__A0A174ZLY7__ERS852447_02456
ERR1913299.181011__1.181011	39491__A0A395ZHW3__ERS852417_01359
ERR1913299.181091__1.181091	39492__D4JRM9__bglB_2
ERR1913299.181094__1.181094	28052__R7NEJ4__ERS852451_01746
ERR1913299.181235__1.181235	823__A0A395YVY3__ERS852513_03204
ERR1913299.181257__1.181257	820__A0A3E4WA06__ERS852554_03404
ERR1913299.181334__1.181334	39492__D4JSS9__btuF
ERR1913299.181402__1.181402	39491__R6TQ09__DXC13_03010
ERR1913299.181483__1.181483	39491__C4Z9E9__T1815_12341
ERR1913299.181542__1.181542	39492__A0A174ZHV5__msbA_2
ERR1913299.181523__1.181523	39492__D4MIY5__EUBSIR_00233
ERR1913299.181585__1.181585	39491__A0A395ZHW9__DXC13_02590
ERR1913299.181649__1.181649	649756__A0A173RRC5__DO83_12885
ERR1913299.181624__1.181624	820__A0A374Q351__DXD40_05850
ERR1913299.181768__1.181768	39492__D4JTJ1__EUBSIR_01453
ERR1913299.181819__1.181819	1150298__A0A174DX06__ERS852498_00491
ERR1913299.181882__1.181882	357276__A0A076IP73__BACDOR_04237
ERR1913299.181833__1.181833	820__A0A174GYA8__DXB64_07370
ERR1913299.181835__1.181835	39492__D4JWG3__EUBSIR_00308
ERR1913299.181845__1.181845	1263064__GCA_000431175.1_01938
ERR1913299.181928__1.181928	360807__A0A1Q6T6N0__RIL183_24191
ERR1913299.182067__1.182067	166486__D4KRN2__ERS852572_01816
ERR1913299.182112__1.182112	39492__D4MMN2__EUBSIR_00964
ERR1913299.182119__1.182119	1262915__R6HPJ0__BN574_00421
ERR1913299.182163__1.182163	384638__B7APR0__BACPEC_00666
ERR1913299.182283__1.182283	357276__A0A0M1VZP2__IY41_00605
ERR1913299.182355__1.182355	28111__R5K5Y3__BACEGG_03205
ERR1913299.182475__1.182475	39492__D4JUD7__EUBSIR_01877
ERR1913299.182544__1.182544	357276__B6VT86__IY41_22515
ERR1913299.182709__1.182709	39492__D4JV38__EUBSIR_01205
ERR1913299.182674__1.182674	239935__R6JAS2__CXU02_10725
ERR1913299.182745__1.182745	39492__D4JX87__EUBSIR_00361
ERR1913299.182758__1.182758	39492__D4JT68__spoIIIE
ERR1913299.182762__1.182762	39485__C4Z028__ERS852492_00100
ERR1913299.182811__1.182811	39492__R6SPM9__pheT
ERR1913299.182860__1.182860	1897011__A0A1Q6RH58__BHW41_01950
ERR1913299.182906__1.182906	820__A0A174M9V5__M093_0237
ERR1913299.183039__1.183039	357276__A0A076IXE0__HMPREF1064_04364
ERR1913299.183183__1.183183	39492__D4JWG3__EUBSIR_00308
ERR1913299.183297__1.183297	39485__C4Z6Z5__EUBELI_20593
ERR1913299.183379__1.183379	39485__A0A174YMC1__recN
ERR1913299.183573__1.183573	853__A0A173YYY4__DWZ04_09420
ERR1913299.183589__1.183589	357276__B6VT86__IY41_22515
ERR1913299.183667__1.183667	239935__A0A2N8HB50__CXU17_02615
ERR1913299.183728__1.183728	357276__I8WPR6__EL88_06675
ERR1913299.183779__1.183779	39492__D4JQS6__ykoD
ERR1913299.183838__1.183838	39491__A0A396FUZ3__phoR_1
ERR1913299.184124__1.184124	39491__C4ZD70__LD38_03510
ERR1913299.184090__1.184090	39492__D4JTG7__EUBSIR_00572
ERR1913299.184189__1.184189	39492__D4JVG7__ERS852540_00946
ERR1913299.184321__1.184321	39492__D4JVC7__yfgF
ERR1913299.184493__1.184493	1150298__A0A174QSN4__rpoD
ERR1913299.184500__1.184500	168384__C6LDD4__BRYFOR_06543
ERR1913299.184501__1.184501	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913299.184515__1.184515	357276__I9FTR0__HMPREF1065_02861
ERR1913299.184572__1.184572	823__A6LER2__ERS852513_00365
ERR1913299.184632__1.184632	40518__R5DPI9__DXD83_07375
ERR1913299.184677__1.184677	357276__A0A076INK2__BSEG_04225
ERR1913299.184707__1.184707	39492__D4JRX7__EUBSIR_01480
ERR1913299.184710__1.184710	28052__R7NBF2__ERS852451_02191
ERR1913299.184749__1.184749	166486__A0A1Q6SG96__ROSINTL182_05330
ERR1913299.184796__1.184796	823__A0A174VHT1__DHP27_04775
ERR1913299.184852__1.184852	39492__D4JTU4__ykfG
ERR1913299.184943__1.184943	39492__D4JSU6__dacB_3
ERR1913299.185044__1.185044	706562__GCA_900112995.1_00664
ERR1913299.185136__1.185136	39492__D4JR58__EUBSIR_02090
ERR1913299.185454__1.185454	204516__U6R9H3__HMPREF1534_03348
ERR1913299.185512__1.185512	853__A0A2A7AXC8__C4N21_14120
ERR1913299.185563__1.185563	39492__D4JU56__hemZ
ERR1913299.185583__1.185583	1262911__R6GY78__BN557_00532
ERR1913299.185806__1.185806	39492__D4JU31__ERS852540_00198
ERR1913299.185823__1.185823	384639__GCA_003096855.1_00980
ERR1913299.185781__1.185781	820__A0A396EUU8__luxQ_3
ERR1913299.186027__1.186027	204516__U6RFU0__HMPREF1534_02545
ERR1913299.186119__1.186119	1262886__R6QMR0__BN563_00320
ERR1913299.186169__1.186169	40520__A0A174JSI5__ERS852394_00345
ERR1913299.186247__1.186247	39492__B0MPL6__EUBSIR_01779
ERR1913299.186267__1.186267	823__A6L930__DDY96_14995
ERR1913299.186280__1.186280	823__A0A174VHT1__DHP27_04775
ERR1913299.186322__1.186322	39492__D4JWY5__rpe
ERR1913299.186291__1.186291	239935__A0A2N8IYM5__CXT84_05130
ERR1913299.186297__1.186297	239935__A0A139TMZ5__CXU00_03150
ERR1913299.186301__1.186301	28118__F9Z750__Odosp_3044
ERR1913299.186370__1.186370	487174__R5FJH0__DDY40_07055
ERR1913299.186430__1.186430	1263005__R6ET55__BN497_00642
ERR1913299.186431__1.186431	40518__R5DR96__RBATCC27255_01185
ERR1913299.186445__1.186445	39492__D4JRX7__EUBSIR_01480
ERR1913299.186457__1.186457	820__A0A174VD39__DXD90_12235
ERR1913299.186522__1.186522	40518__R5DVL2__penA
ERR1913299.186612__1.186612	820__R9HP61__DXC91_01090
ERR1913299.186740__1.186740	39492__D4JWB3__EUBSIR_00040
ERR1913299.186753__1.186753	39492__D4MIK7__EUBSIR_00676
ERR1913299.186806__1.186806	39492__D4JSU6__dacB_3
ERR1913299.186877__1.186877	357276__A0A0K2HI25__DXD47_04465
ERR1913299.187022__1.187022	39492__D4JU81__xseA
ERR1913299.187079__1.187079	39491__C4Z9K0__DXD95_07445
ERR1913299.187085__1.187085	820__A0A173W419__DXC68_17760
ERR1913299.187135__1.187135	39492__D4JWD3__EUBSIR_00151
ERR1913299.187152__1.187152	820__A0A374Q854__HMPREF1073_03281
ERR1913299.187259__1.187259	28111__E5X120__NCTC11155_02427
ERR1913299.187305__1.187305	39491__A0A395ZG74__licR
ERR1913299.187338__1.187338	39488__A0A173SXL5__DXD91_06505
ERR1913299.187354__1.187354	357276__B6W1Y5__IY41_11405
ERR1913299.187473__1.187473	39492__D4JT68__spoIIIE
ERR1913299.187486__1.187486	820__A0A174B4N2__M093_2531
ERR1913299.187500__1.187500	1262915__R6HQV2__BN574_01665
ERR1913299.187543__1.187543	853__C7H1R8__DW905_06675
ERR1913299.187548__1.187548	291644__I8Y0K6__HMPREF1532_04085
ERR1913299.187699__1.187699	39492__D4JT67__EUBSIR_01784
ERR1913299.187740__1.187740	301302__R5UQW7__ERS852420_02102
ERR1913299.187782__1.187782	1263000__R5EXT3__BN466_02213
ERR1913299.187845__1.187845	1263107__GCA_000436995.1_00174
ERR1913299.187919__1.187919	39491__A0A174K9A3__DXB69_07785
ERR1913299.187954__1.187954	820__A0A374Q4X1__HMPREF2141_02370
ERR1913299.187959__1.187959	820__A0A173YYG4__evgS_3
ERR1913299.188009__1.188009	357276__I9R4T1__IY41_06800
ERR1913299.188065__1.188065	820__A0A174F0C1__nreB
ERR1913299.188078__1.188078	28111__E5WYY8__HMPREF1016_01893
ERR1913299.188115__1.188115	1263005__R6ES59__BN497_00143
ERR1913299.188214__1.188214	820__A0A3E4WCX3__C801_02709
ERR1913299.188139__1.188139	39492__D4JTG7__EUBSIR_00572
ERR1913299.188283__1.188283	820__A0A3E4G493__ERS417307_00253
ERR1913299.188285__1.188285	39492__D4JRS7__ERS852540_02076
ERR1913299.188417__1.188417	291644__R5JS80__HMPREF1532_00848
ERR1913299.188435__1.188435	39492__D4JVX0__udk
ERR1913299.188692__1.188692	39491__A0A395ZDC6__addB
ERR1913299.188696__1.188696	357276__A0A076INK2__BSEG_04225
ERR1913299.188699__1.188699	357276__I9QBT4__GV66_09000
ERR1913299.189001__1.189001	39491__C4ZEW3__T1815_18241
ERR1913299.189057__1.189057	39491__A0A396FNY7__LD38_16155
ERR1913299.189143__1.189143	823__A0A355XLT7__HMPREF1075_03402
ERR1913299.189215__1.189215	28116__A0A1Y4PUF8__DXF98_07610
ERR1913299.189226__1.189226	39491__A0A2U2EKL1__ERS852580_00911
ERR1913299.189266__1.189266	166486__D4KZY5__ROSINTL182_07635
ERR1913299.189386__1.189386	1297617__A0A0S2W5G6__C7373_10958
ERR1913299.189431__1.189431	39492__R6SA81__EUBSIR_00402
ERR1913299.189408__1.189408	823__A0A355XN73__DXC05_07000
ERR1913299.189413__1.189413	239935__A0A2N8INZ4__CXU08_03560
ERR1913299.189465__1.189465	357276__I8WBQ9__HMPREF1065_03212
ERR1913299.189445__1.189445	301302__R5UV35__M72_02721
ERR1913299.189458__1.189458	28052__A0A174YX76__mcp4_5
ERR1913299.189545__1.189545	1150298__A0A174BE63__ERS852406_01048
ERR1913299.189815__1.189815	40518__R5DYT8__mscS
ERR1913299.189749__1.189749	204516__U6RAL8__HMPREF1534_03434
ERR1913299.189819__1.189819	39492__R6SA81__EUBSIR_00402
ERR1913299.189859__1.189859	39492__D4JX87__EUBSIR_00361
ERR1913299.189865__1.189865	28052__A0A174KKX6__ERS852499_01429
ERR1913299.189897__1.189897	106588__A6NVP7__BACCAP_02290
ERR1913299.189913__1.189913	39492__D4JWM0__atpF
ERR1913299.190050__1.190050	39492__B0MNQ2__EUBSIR_01459
ERR1913299.190096__1.190096	39492__A0A175A133__cycB_1
ERR1913299.190143__1.190143	28118__F9ZAE2__NCTC10826_03559
ERR1913299.190220__1.190220	39492__D4JR58__EUBSIR_02090
ERR1913299.190223__1.190223	328814__GCA_004558275.1_00018
ERR1913299.190206__1.190206	1150298__R7JTQ3__rne
ERR1913299.190184__1.190184	28052__R7N6Q7__rafA
ERR1913299.190259__1.190259	818__A0A139JW76__BJP75_002555
ERR1913299.190343__1.190343	39492__D4JUP6__ERS852540_01404
ERR1913299.190439__1.190439	39492__D4JWI6__EUBSIR_01073
ERR1913299.190494__1.190494	39492__D4JQS7__ERS852540_01645
ERR1913299.190500__1.190500	1378168__V2YA11__N510_02528
ERR1913299.190515__1.190515	39492__D4JW10__pppA
ERR1913299.190584__1.190584	39492__D4JWY5__rpe
ERR1913299.190692__1.190692	357276__B6W5Q9__HMPREF1063_03125
ERR1913299.190685__1.190685	1262915__R6IAV2__BN574_01227
ERR1913299.190886__1.190886	820__A0A3E4VXP2__yesR
ERR1913299.190893__1.190893	1263044__GCA_000433375.1_01151
ERR1913299.190973__1.190973	28111__E5X121__BACEGG_03113
ERR1913299.191025__1.191025	39491__D4JM76__DXC13_02150
ERR1913299.191140__1.191140	166486__D4L402__ROSINTL182_05182
ERR1913299.191166__1.191166	168384__C6LDD4__BRYFOR_06543
ERR1913299.191284__1.191284	820__A0A3E4PYB0__yejM
ERR1913299.191392__1.191392	2173__A0A1D2WTR8__METSMIALI_00113
ERR1913299.191483__1.191483	39492__D4JRX7__EUBSIR_01480
ERR1913299.191544__1.191544	301302__R5VFU2__xynA1
ERR1913299.191584__1.191584	39492__D4JWI6__EUBSIR_01073
ERR1913299.191704__1.191704	39492__D4JW10__pppA
ERR1913299.191764__1.191764	39492__D4JRM9__bglB_2
