ERR1913204.80__1.80	1262882__R5ML49__BN519_01361
ERR1913204.126385__1.126385	214856__R5UN64__ERS852447_02669
ERR1913204.126551__1.126551	1262882__R5MT42__BN519_01729
ERR1913204.126606__1.126606	1262882__R5N0H9__BN519_00764
ERR1913204.126619__1.126619	1262882__R5MYX5__BN519_00333
ERR1913204.126948__1.126948	487174__K0X7X4__DIT83_09125
ERR1913204.126967__1.126967	1262882__R5N4D8__BN519_01497
ERR1913204.127103__1.127103	818__Q8AAE0__Btheta7330_02023
ERR1913204.127205__1.127205	214856__R6Z7Q9__ERS852447_02172
ERR1913204.127163__1.127163	39492__D4JT68__spoIIIE
ERR1913204.127680__1.127680	214856__R6YC22__ERS852447_01215
ERR1913204.127683__1.127683	239935__A0A2N8I5A2__DEF40_08455
ERR1913204.127705__1.127705	1262882__R5MM96__BN519_01545
ERR1913204.127863__1.127863	214856__R6Y7P0__ERS852447_00307
ERR1913204.128095__1.128095	239935__A0A2N8HL50__CXT98_09135
ERR1913204.128054__1.128054	487174__K0WXG8__DIT83_09300
ERR1913204.128259__1.128259	47678__R5U9Z0__HMPREF1061_03210
ERR1913204.128295__1.128295	214856__R6XTZ7__ERS852447_02314
ERR1913204.128659__1.128659	47678__R5U3A7__ERS852494_02965
ERR1913204.128740__1.128740	214856__A0A174CRY5__ERS852559_01060
ERR1913204.128992__1.128992	47678__R5U7X8__C5Z00_18270
ERR1913204.129071__1.129071	487174__K0XA48__DDY40_03955
ERR1913204.129110__1.129110	29361__B6FT60__CLONEX_03337
ERR1913204.129287__1.129287	47678__R5U9Z0__HMPREF1061_03210
ERR1913204.129550__1.129550	214856__R6XYY8__ERS852447_01722
ERR1913204.129597__1.129597	487174__K0WRZ5__HMPREF9448_02826
ERR1913204.129627__1.129627	39492__D4JQS6__ykoD
ERR1913204.129737__1.129737	1150298__A0A174CCD5__ERS852406_01310
ERR1913204.129782__1.129782	1262882__R5N5J6__BN519_01504
ERR1913204.129924__1.129924	239935__B2URG9__CXU00_11290
ERR1913204.130403__1.130403	239935__R6JWJ7__CXT94_02580
ERR1913204.130675__1.130675	1965555__A0A1Y4S5G6__B5E77_14475
ERR1913204.130764__1.130764	301302__R5UUM8__ganB_1
ERR1913204.130920__1.130920	214856__D4IMT6__Alfi_1830
ERR1913204.130948__1.130948	47678__R5U7X8__C5Z00_18270
ERR1913204.131271__1.131271	239935__A0A2N8IHY1__CXU06_00035
ERR1913204.131347__1.131347	214856__R6Z4Q8__ERS852447_00885
ERR1913204.131644__1.131644	214856__R6Z186__ERS852447_00718
ERR1913204.131719__1.131719	214856__I3YMB7__Alfi_1811
ERR1913204.131853__1.131853	1501391__GCA_000786575.1_00113
ERR1913204.131981__1.131981	487174__K0XER9__DDY40_08885
ERR1913204.132016__1.132016	214856__R6YD52__ERS852447_02171
ERR1913204.132021__1.132021	1897011__A0A1Q6RH97__BHW41_01945
ERR1913204.132135__1.132135	1262882__R5MJZ7__BN519_01272
ERR1913204.132279__1.132279	338188__R6RT73__HMPREF1057_02828
ERR1913204.132368__1.132368	626932__G5H6N6__HMPREF9450_00596
ERR1913204.132288__1.132288	1160721__W0U3Q4__BHW50_08110
ERR1913204.132399__1.132399	214856__A0A174EJT5__mnmA
ERR1913204.132460__1.132460	1262882__R5N345__BN519_01034
ERR1913204.132623__1.132623	214856__A0A174CRY5__ERS852559_01060
ERR1913204.132808__1.132808	39492__D4JWY0__EUBSIR_01648
ERR1913204.132835__1.132835	1550024__A0A3B9WKW6__TQ39_07780
ERR1913204.132974__1.132974	301302__R5UQ67__M72_23121
ERR1913204.132989__1.132989	1150298__A0A174S4G4__dacB_1
ERR1913204.133215__1.133215	214856__R5UN64__ERS852447_02669
ERR1913204.133291__1.133291	214856__A0A174CRY5__ERS852559_01060
ERR1913204.133341__1.133341	1262882__R5MGJ7__BN519_00652
ERR1913204.133378__1.133378	214856__I3YPQ0__ERS852447_01379
ERR1913204.133443__1.133443	487174__R5F4K8__HMPREF9448_01532
ERR1913204.133515__1.133515	214856__R6XQX8__ERS852559_02550
ERR1913204.134100__1.134100	28116__A0A1Y4PHM7__DXA80_25130
ERR1913204.134102__1.134102	239935__A0A2N8IKW7__pstA
ERR1913204.134276__1.134276	214856__A0A173YXX1__ERS852559_01651
ERR1913204.134339__1.134339	1262882__R5MKU2__BN519_01271
ERR1913204.134421__1.134421	820__A0A374Q8T2__DXB64_16190
ERR1913204.134490__1.134490	214856__R6Z288__ERS852447_00734
ERR1913204.134663__1.134663	1501391__GCA_000786575.1_00051
ERR1913204.134718__1.134718	239935__A0A2N8IUW6__Amuc_1525
ERR1913204.134904__1.134904	418240__A0A174AX68__ERS852478_00844
ERR1913204.135061__1.135061	1262882__R5MSX6__BN519_01697
ERR1913204.135160__1.135160	1160721__R6T2Y3__RBI_II00189
ERR1913204.135292__1.135292	487174__K0WYI1__DDY40_08675
ERR1913204.135353__1.135353	28116__A7M344__BACOV975_04644
ERR1913204.135440__1.135440	214856__R6XTZ7__ERS852447_02314
ERR1913204.135455__1.135455	1262882__R5MHQ8__BN519_00707
ERR1913204.135490__1.135490	651822__GCA_000210715.1_00753
ERR1913204.135500__1.135500	239935__A0A2N8IEP3__CXT84_03735
ERR1913204.135532__1.135532	33025__A0A395J973__C8D73_11010
ERR1913204.135592__1.135592	1262882__R5MIY9__BN519_01097
ERR1913204.135641__1.135641	214856__R6XRA1__vatD_3
ERR1913204.135780__1.135780	1262882__R5MHZ2__BN519_00742
ERR1913204.135839__1.135839	214856__I3YPN5__Alfi_2693
ERR1913204.135858__1.135858	371601__A7LVG2__CW3_3769
ERR1913204.135861__1.135861	1262882__R5MKF5__BN519_00316
ERR1913204.135909__1.135909	214856__R6XYY8__ERS852447_01722
ERR1913204.136082__1.136082	214856__R6XKW1__ERS852559_01141
ERR1913204.136223__1.136223	818__A0A396EA53__ERS852557_04332
ERR1913204.136278__1.136278	1262882__R5MNC1__BN519_00818
ERR1913204.136409__1.136409	214856__R6Z7Q9__ERS852447_02172
ERR1913204.136410__1.136410	821__R7P1Q7__M099_2990
ERR1913204.136437__1.136437	1262882__R5MKV8__BN519_01281
ERR1913204.136684__1.136684	487174__K0X2W9__HMPREF9448_00062
ERR1913204.136731__1.136731	214856__R5UN64__ERS852447_02669
ERR1913204.136926__1.136926	1262882__R5MT08__BN519_01706
ERR1913204.137339__1.137339	214856__R6XP73__ERS852447_00886
ERR1913204.137655__1.137655	214856__A0A174CRY5__ERS852559_01060
ERR1913204.137657__1.137657	1535__A7VQE3__CH238_12130
ERR1913204.137719__1.137719	29361__B6FKH5__CLONEX_00621
ERR1913204.137748__1.137748	189722__E0NQU7__HMPREF0658_0548
ERR1913204.138134__1.138134	214856__R6Z7Q9__ERS852447_02172
ERR1913204.138235__1.138235	487174__K0X250__DDY40_03675
ERR1913204.138409__1.138409	47678__A5ZG68__ERS852494_02968
ERR1913204.138448__1.138448	1262882__R5MT08__BN519_01706
ERR1913204.138837__1.138837	214856__A0A174CRY5__ERS852559_01060
ERR1913204.138966__1.138966	214856__R6Y6H8__ERS852447_01719
ERR1913204.138983__1.138983	328814__GCA_004558275.1_00035
ERR1913204.139100__1.139100	39492__D4JV48__ERS852540_00852
ERR1913204.139216__1.139216	214856__I3YPR6__Alfi_2724
ERR1913204.139222__1.139222	214856__R6XS02__ERS852447_01685
ERR1913204.139300__1.139300	1262882__R5N3T7__BN519_01188
ERR1913204.139583__1.139583	214856__I3YMC8__ERS852447_02666
ERR1913204.139893__1.139893	487175__R5E7M6__HMPREF9439_02807
ERR1913204.139985__1.139985	214856__A0A173W3Y5__ERS852559_02032
ERR1913204.140020__1.140020	1262882__R5MYX5__BN519_00333
ERR1913204.140207__1.140207	214856__I3YPN9__ERS852447_01389
ERR1913204.140437__1.140437	214856__A0A174CRY5__ERS852559_01060
ERR1913204.140366__1.140366	649756__B0P0D0__ERS852571_02742
ERR1913204.140474__1.140474	214856__A0A174ZLW6__ERS852559_01424
ERR1913204.140621__1.140621	214856__R6XKT4__ERS852559_01719
ERR1913204.140722__1.140722	1262882__R5MJ49__BN519_01124
ERR1913204.140733__1.140733	214856__I3YPQ8__ERS852447_01371
ERR1913204.140986__1.140986	28118__F9Z408__NCTC10826_01194
ERR1913204.140995__1.140995	214856__R6YD52__ERS852447_02171
ERR1913204.141368__1.141368	214856__A0A174EJT5__mnmA
ERR1913204.141477__1.141477	214856__I3YPI7__pepD_1
ERR1913204.141566__1.141566	47678__A5ZI88__BACCAC_02617
ERR1913204.141586__1.141586	214856__A0A174CRY5__ERS852559_01060
ERR1913204.141609__1.141609	214856__A0A174AYS4__ERS852447_01192
ERR1913204.141619__1.141619	239935__A0A2N8HH03__CXU09_08875
ERR1913204.141711__1.141711	214856__A0A174ZD89__ERS852559_00526
ERR1913204.141765__1.141765	821__A0A078R9Y9__M097_2119
ERR1913204.141881__1.141881	214856__I3YPP9__Alfi_2707
ERR1913204.142007__1.142007	214856__I3YPP0__ERS852447_01388
ERR1913204.142174__1.142174	1262882__R5MKX3__BN519_00395
ERR1913204.142218__1.142218	214856__A0A174EJT5__mnmA
ERR1913204.142276__1.142276	28118__R6FYK4__folK
ERR1913204.142291__1.142291	1262882__R5N2A9__BN519_00921
ERR1913204.142292__1.142292	1262882__R5N2A9__BN519_00921
ERR1913204.142414__1.142414	214856__R5UN64__ERS852447_02669
ERR1913204.142503__1.142503	1262882__R5N0M6__BN519_00794
ERR1913204.142898__1.142898	1262882__R5N5D7__BN519_01676
ERR1913204.143043__1.143043	818__Q8A2L4__Btheta7330_05011
ERR1913204.143045__1.143045	214856__I3YPP0__ERS852447_01388
ERR1913204.143584__1.143584	214856__I3YPI7__pepD_1
ERR1913204.143665__1.143665	1262743__R5C054__BN727_01980
ERR1913204.143715__1.143715	1262882__R5N089__BN519_00546
ERR1913204.143741__1.143741	214856__I3YPR2__Alfi_2720
ERR1913204.143763__1.143763	39492__R6RKK9__EUBSIR_02022
ERR1913204.143779__1.143779	214856__I3YPN0__ERS852447_01398
ERR1913204.143922__1.143922	33025__A0A395JBU5__C8D73_10423
ERR1913204.144279__1.144279	1262882__R5MFT7__BN519_00494
ERR1913204.144354__1.144354	214856__R6Z288__ERS852447_00734
ERR1913204.144454__1.144454	1262882__R5MGX3__BN519_00046
ERR1913204.144492__1.144492	1262882__R5MZ58__BN519_00525
ERR1913204.144521__1.144521	1501391__GCA_000786575.1_00006
ERR1913204.144862__1.144862	651822__GCA_000210715.1_02028
ERR1913204.144942__1.144942	292800__A0A096B9D4__HMPREF0372_02292
ERR1913204.144963__1.144963	1262882__R5MND9__BN519_00831
ERR1913204.145087__1.145087	487174__K0X429__HMPREF9448_00932
ERR1913204.145343__1.145343	214856__I3YMN6__Alfi_1938
ERR1913204.145433__1.145433	189722__E0NQU7__HMPREF0658_0548
ERR1913204.145393__1.145393	106588__A6NUL8__BACCAP_01900
ERR1913204.145500__1.145500	239935__A0A2N8IU14__ADH72_05655
ERR1913204.145591__1.145591	28118__F9Z9B0__SAMEA44545918_02179
ERR1913204.145640__1.145640	214856__I3YPI7__pepD_1
ERR1913204.145625__1.145625	214856__A0A173YXX1__ERS852559_01651
ERR1913204.145808__1.145808	239935__A0A2N8HT44__CXT84_11035
ERR1913204.145846__1.145846	853__A0A2A7B1Y7__C7K05_11930
ERR1913204.146056__1.146056	239935__A0A2N8HL14__CXT98_09285
ERR1913204.146078__1.146078	214856__R6Z5D0__resA_4
ERR1913204.146244__1.146244	214856__I3YPN5__Alfi_2693
ERR1913204.146273__1.146273	28118__F9Z6D0__DHW44_12795
ERR1913204.146364__1.146364	1262882__R5MFT7__BN519_00494
ERR1913204.146378__1.146378	1262992__R5CXM7__BN795_01016
ERR1913204.146392__1.146392	1262882__R5MJZ4__BN519_01269
ERR1913204.147180__1.147180	214856__I3YPQ3__Alfi_2711
ERR1913204.147315__1.147315	1897011__A0A1Q6RFG1__BHW41_03725
ERR1913204.147419__1.147419	487174__K0WRZ5__HMPREF9448_02826
ERR1913204.147473__1.147473	214856__R6Y6H8__ERS852447_01719
ERR1913204.147496__1.147496	214856__R6XNE7__ERS852447_02267
ERR1913204.147529__1.147529	649756__E5VJ94__CL2_21810
ERR1913204.147616__1.147616	821__A0A396F9T7__M097_3427
ERR1913204.147730__1.147730	1262882__R5MYI1__BN519_00416
ERR1913204.147806__1.147806	1262882__R5N4I8__BN519_01293
ERR1913204.147893__1.147893	1262911__R6GKS1__BN557_00184
ERR1913204.147936__1.147936	328813__A0A1Y3QZ64__B5G41_14235
ERR1913204.148064__1.148064	214856__R6XS46__ERS852559_00812
ERR1913204.148090__1.148090	487174__K0WY34__DDY40_07435
ERR1913204.148256__1.148256	214856__R6Z590__ERS852447_01059
ERR1913204.148324__1.148324	28116__A0A078Q626__HMPREF1070_02735
ERR1913204.148371__1.148371	239935__A0A2N8I3G2__CXT89_00720
ERR1913204.148479__1.148479	214856__R6XQX8__ERS852559_02550
ERR1913204.148485__1.148485	1262911__R6H174__BN557_01246
ERR1913204.148523__1.148523	239935__A0A139TPD8__CXU12_11015
ERR1913204.148645__1.148645	74426__purC
ERR1913204.148657__1.148657	239935__A0A3F3K9J9__DEF40_00940
ERR1913204.148695__1.148695	39492__D4JUD7__EUBSIR_01877
ERR1913204.148670__1.148670	214856__R6Y7P0__ERS852447_00307
ERR1913204.148816__1.148816	818__A0A3E5HDU6__C799_04515
ERR1913204.149254__1.149254	1262882__R5MM10__BN519_01679
ERR1913204.149343__1.149343	154046__A0A3E4UCG4__DXD79_19605
ERR1913204.149414__1.149414	239935__A0A3F3K9J9__DEF40_00940
ERR1913204.149566__1.149566	214856__R5UN64__ERS852447_02669
ERR1913204.149608__1.149608	214856__I3YMB7__Alfi_1811
ERR1913204.149777__1.149777	214856__R6Y2Y4__ERS852447_01086
ERR1913204.150008__1.150008	214856__I3YPN9__ERS852447_01389
ERR1913204.150237__1.150237	214856__I3YPQ3__Alfi_2711
ERR1913204.150298__1.150298	1262882__R5MIW5__BN519_00945
ERR1913204.150428__1.150428	1262882__R5MMY3__BN519_00724
ERR1913204.150658__1.150658	214856__R5UN64__ERS852447_02669
ERR1913204.150812__1.150812	1262882__R5MHQ8__BN519_00707
ERR1913204.150881__1.150881	1262882__R5MND9__BN519_00831
ERR1913204.150916__1.150916	1262882__R5N1M9__BN519_00768
ERR1913204.150991__1.150991	1262882__R5N345__BN519_01034
ERR1913204.151199__1.151199	1262882__R5MMD8__BN519_01576
ERR1913204.151138__1.151138	214856__R6Z320__ERS852447_02148
ERR1913204.151251__1.151251	818__A0A174LFW3__C5Z03_04710
ERR1913204.151321__1.151321	1262882__R5N0C3__BN519_00731
ERR1913204.151345__1.151345	214856__R6Y2Y4__ERS852447_01086
ERR1913204.151413__1.151413	1262882__R5MSI7__BN519_01601
ERR1913204.151420__1.151420	1262882__R5MJZ4__BN519_01269
ERR1913204.151467__1.151467	47678__R5U3L4__C5Z00_12600
ERR1913204.151544__1.151544	1262882__R5MIQ8__BN519_01036
ERR1913204.151631__1.151631	239935__A0A2N8HB50__CXU17_02615
ERR1913204.151706__1.151706	214856__I3YMC8__ERS852447_02666
ERR1913204.152412__1.152412	214856__A0A175A6T5__ERS852447_02658
ERR1913204.152521__1.152521	239935__A0A2N8HH03__CXU09_08875
ERR1913204.152608__1.152608	214856__R5UN64__ERS852447_02669
ERR1913204.152812__1.152812	214856__I3YPP2__Alfi_2700
ERR1913204.152792__1.152792	47678__R5UPZ8__ERS852494_01752
ERR1913204.152903__1.152903	214856__R6YD52__ERS852447_02171
ERR1913204.153037__1.153037	328814__GCA_004558275.1_00391
ERR1913204.153173__1.153173	487174__K0X429__HMPREF9448_00932
ERR1913204.153271__1.153271	214856__I3YPP3__Alfi_2701
ERR1913204.153382__1.153382	214856__R6XKW1__ERS852559_01141
ERR1913204.153724__1.153724	214856__R6Y6H8__ERS852447_01719
ERR1913204.153794__1.153794	214856__A0A174ZLX0__ERS852559_00738
ERR1913204.153948__1.153948	214856__A0A174ZLX0__ERS852559_00738
ERR1913204.153973__1.153973	47678__A5ZEA3__ERS852558_00257
ERR1913204.153985__1.153985	1501391__GCA_000786575.1_00006
ERR1913204.154150__1.154150	301302__R5VC75__ERS852420_02858
ERR1913204.154277__1.154277	1262882__R5N1T9__BN519_00804
ERR1913204.154383__1.154383	216816__A0A395XZB7__DXD37_04075
ERR1913204.154539__1.154539	301302__R5VFU2__xynA1
ERR1913204.154540__1.154540	487174__K0WR72__HMPREF9448_02610
ERR1913204.154572__1.154572	214856__R6Y6H8__ERS852447_01719
ERR1913204.154666__1.154666	214856__R6YD52__ERS852447_02171
ERR1913204.154963__1.154963	818__C6IIW4__dapH_1
ERR1913204.155030__1.155030	1501391__GCA_000786575.1_00091
ERR1913204.155077__1.155077	214856__I3YPN0__ERS852447_01398
ERR1913204.155157__1.155157	214856__R6Y1K2__ERS852447_02306
ERR1913204.155537__1.155537	39492__D4JSG7__EUBSIR_01006
ERR1913204.155455__1.155455	214856__I3YPQ0__ERS852447_01379
ERR1913204.155464__1.155464	214856__I3YPN9__ERS852447_01389
ERR1913204.155479__1.155479	1965604__A0A1Y4ETL4__B5F54_06395
ERR1913204.155607__1.155607	2292352__A0A374UNS4__DXC23_05055
ERR1913204.155586__1.155586	1501391__GCA_000786575.1_00128
ERR1913204.155642__1.155642	1501391__GCA_000786575.1_00072
ERR1913204.155795__1.155795	239935__A0A2N8IRL2__CXU06_01170
ERR1913204.155884__1.155884	214856__I3YPQ4__Alfi_2712
ERR1913204.155896__1.155896	1262882__R5MHX6__BN519_00733
ERR1913204.155900__1.155900	214856__R6XS46__ERS852559_00812
ERR1913204.156019__1.156019	239935__A0A2N8ITG2__Amuc_0335
ERR1913204.156024__1.156024	214856__R6XUN2__rcsC_1
ERR1913204.156090__1.156090	214856__R6YD52__ERS852447_02171
ERR1913204.156120__1.156120	487174__K0X3H8__HMPREF9448_02822
ERR1913204.156142__1.156142	214856__R6XUN2__rcsC_1
ERR1913204.156161__1.156161	214856__R6XKT4__ERS852559_01719
ERR1913204.156320__1.156320	214856__D4IMT6__Alfi_1830
ERR1913204.156407__1.156407	214856__A0A174AYS4__ERS852447_01192
ERR1913204.156401__1.156401	649756__B0NZY6__CL2_25770
ERR1913204.156509__1.156509	328814__GCA_004558275.1_00990
ERR1913204.156591__1.156591	239935__A0A2N8IVT6__CXU13_08520
ERR1913204.156680__1.156680	214856__R6Y2Y4__ERS852447_01086
ERR1913204.156757__1.156757	214856__I3YPI7__pepD_1
ERR1913204.156988__1.156988	47678__R5UER2__CGC64_00710
ERR1913204.156972__1.156972	214856__I3YPQ3__Alfi_2711
ERR1913204.157457__1.157457	1262911__R6HI44__BN557_01691
ERR1913204.157739__1.157739	47678__R5UAF6__ERS852494_02966
ERR1913204.157778__1.157778	204516__U6R8I1__HMPREF1534_03341
ERR1913204.157792__1.157792	189722__E0NQU7__HMPREF0658_0548
ERR1913204.157801__1.157801	649756__B0P4Q3__ERS852425_01640
ERR1913204.157803__1.157803	239935__B2URG6__CXU02_00030
ERR1913204.157855__1.157855	214856__R6XNE7__ERS852447_02267
ERR1913204.157930__1.157930	1262911__R6H2J2__BN557_01228
ERR1913204.158433__1.158433	1262911__R6H2B5__BN557_01151
ERR1913204.158457__1.158457	487174__K0X028__DIT83_00950
ERR1913204.158479__1.158479	214856__A0A173YXX1__ERS852559_01651
ERR1913204.158716__1.158716	1262882__R5MS31__BN519_01529
ERR1913204.158971__1.158971	1262882__R5N0C3__BN519_00731
ERR1913204.159114__1.159114	214856__R6Z288__ERS852447_00734
ERR1913204.159115__1.159115	214856__I3YPQ0__ERS852447_01379
ERR1913204.159492__1.159492	1501391__GCA_000786575.1_00031
ERR1913204.159441__1.159441	214856__I3YPQ3__Alfi_2711
ERR1913204.159530__1.159530	487174__R5FN40__HMPREF9448_01366
ERR1913204.159556__1.159556	214856__I3YPP9__Alfi_2707
ERR1913204.159598__1.159598	214856__I3YPQ9__ERS852447_01370
ERR1913204.159764__1.159764	214856__R6XUN2__rcsC_1
ERR1913204.160091__1.160091	1262882__R5N5S3__BN519_00085
ERR1913204.160463__1.160463	214856__I3YPN0__ERS852447_01398
ERR1913204.160476__1.160476	214856__I3YPP1__Alfi_2699
ERR1913204.160614__1.160614	1262882__R5MMD8__BN519_01576
ERR1913204.161012__1.161012	487174__K0X665__DIT83_12000
ERR1913204.161116__1.161116	214856__R5UN64__ERS852447_02669
ERR1913204.161295__1.161295	410072__A0A173ZG02__ERS852574_01061
ERR1913204.161436__1.161436	214856__I3YPN0__ERS852447_01398
ERR1913204.161521__1.161521	214856__R5UN64__ERS852447_02669
ERR1913204.161655__1.161655	301302__A0A173T3P5__ERS852420_01836
ERR1913204.161823__1.161823	214856__R5UN64__ERS852447_02669
ERR1913204.161912__1.161912	214856__R6Z7Q9__ERS852447_02172
ERR1913204.162059__1.162059	39492__D4JX87__EUBSIR_00361
ERR1913204.162084__1.162084	1262882__R5MJ49__BN519_01124
ERR1913204.162113__1.162113	239935__A0A2N8IMC9__CXU09_02095
ERR1913204.162384__1.162384	214856__I3YMC8__ERS852447_02666
ERR1913204.162518__1.162518	214856__R6XP73__ERS852447_00886
ERR1913204.162627__1.162627	487174__R5F016__DDY40_05675
ERR1913204.162765__1.162765	214856__R6Y2Y4__ERS852447_01086
ERR1913204.162778__1.162778	821__R7P1Q7__M099_2990
ERR1913204.162951__1.162951	1897011__A0A1Q6RDI4__BHW41_05605
ERR1913204.163306__1.163306	328814__GCA_004558275.1_00998
ERR1913204.163374__1.163374	239935__A0A2N8HAQ1__DEF40_05290
ERR1913204.163468__1.163468	1262882__R5MLP0__BN519_01597
ERR1913204.163568__1.163568	1262882__R5N587__BN519_01643
ERR1913204.163627__1.163627	1501391__GCA_000786575.1_00068
ERR1913204.163748__1.163748	214856__R5UN64__ERS852447_02669
ERR1913204.163929__1.163929	214856__I3YPP0__ERS852447_01388
ERR1913204.164197__1.164197	239935__A0A2N8I1R3__CXU05_06075
ERR1913204.164222__1.164222	239935__A0A2N8ITX2__CXT86_11265
ERR1913204.164368__1.164368	1262882__R5MIQ8__BN519_01036
ERR1913204.164343__1.164343	1501391__GCA_000786575.1_00141
ERR1913204.164635__1.164635	214856__R6Y6H8__ERS852447_01719
ERR1913204.164649__1.164649	1262882__R5N3H1__BN519_01121
ERR1913204.164650__1.164650	328813__A0A1Y3QZ64__B5G41_14235
ERR1913204.164755__1.164755	214856__R6XUN2__rcsC_1
ERR1913204.164984__1.164984	1235835__R9LCU2__C814_02677
ERR1913204.164990__1.164990	47678__R5UES3__CGC64_00760
ERR1913204.165107__1.165107	189722__E0NQU7__HMPREF0658_0548
ERR1913204.165225__1.165225	301302__R5V631__ERS852420_03369
ERR1913204.165265__1.165265	214856__I3YPN0__ERS852447_01398
ERR1913204.165243__1.165243	214856__R6YBX3__msbA_2
ERR1913204.165466__1.165466	1262882__R5MFN3__BN519_00392
ERR1913204.165485__1.165485	39496__A5Z5I2__EUBVEN_00963
ERR1913204.165518__1.165518	239935__A0A2N8J2P6__ADH72_06730
ERR1913204.165530__1.165530	239935__A0A2N8IIB9__CXU04_01970
ERR1913204.165782__1.165782	821__R7P1Q7__M099_2990
ERR1913204.165909__1.165909	214856__R6XKW1__ERS852559_01141
ERR1913204.166004__1.166004	1550024__G9RWE3__TQ39_04170
ERR1913204.166119__1.166119	487174__K0WUZ1__DIT83_10815
ERR1913204.166190__1.166190	1262882__R5MFK5__BN519_00378
ERR1913204.166207__1.166207	818__A0A174TT69__SAMN02910322_02680
ERR1913204.166233__1.166233	471189__GCA_003340385.1_00219
ERR1913204.166281__1.166281	214856__R6Z186__ERS852447_00718
ERR1913204.166461__1.166461	1897011__A0A1Q6RIA0__BHW41_01275
ERR1913204.166464__1.166464	39492__B0MM84__lgt
ERR1913204.166626__1.166626	1262882__R5MIY9__BN519_01097
ERR1913204.166680__1.166680	39492__D4JW10__pppA
ERR1913204.166688__1.166688	818__E5C5U7__SAMN05216253_101163
ERR1913204.166661__1.166661	39485__A0A174Z8V5__fliU_2
ERR1913204.167055__1.167055	1965542__A0A1Y4V077__B5E53_15785
ERR1913204.167203__1.167203	33039__A0A173VTT4__frdB_1
ERR1913204.167219__1.167219	1262882__R5MFA5__BN519_00331
ERR1913204.167467__1.167467	47678__R5U2W6__CGC64_03455
ERR1913204.167849__1.167849	487174__K0X455__HMPREF9448_00399
ERR1913204.167942__1.167942	1262882__R5MMP8__BN519_01654
ERR1913204.167971__1.167971	818__A0A139KQP8__BJP75_006755
ERR1913204.168021__1.168021	1262911__R6H212__BN557_01031
ERR1913204.168092__1.168092	214856__I3YPQ4__Alfi_2712
ERR1913204.168171__1.168171	328814__GCA_004558275.1_00034
ERR1913204.168183__1.168183	214856__R5UN64__ERS852447_02669
ERR1913204.168235__1.168235	214856__I3YPN9__ERS852447_01389
ERR1913204.168289__1.168289	39492__D4JSS9__btuF
ERR1913204.168299__1.168299	214856__I3YPR2__Alfi_2720
ERR1913204.168330__1.168330	214856__A0A174ZZS1__ERS852559_01484
ERR1913204.168342__1.168342	1262882__R5MSS9__BN519_01662
ERR1913204.168383__1.168383	1262882__R5MRT2__BN519_01494
ERR1913204.168443__1.168443	214856__I3YPP0__ERS852447_01388
ERR1913204.168616__1.168616	214856__I3YPN3__ERS852447_01395
ERR1913204.168774__1.168774	214856__I3YPN9__ERS852447_01389
ERR1913204.168895__1.168895	1501391__GCA_000786575.1_00036
ERR1913204.169136__1.169136	214856__R6XP73__ERS852447_00886
ERR1913204.169268__1.169268	487174__K0X429__HMPREF9448_00932
ERR1913204.169274__1.169274	487174__K0WV13__DIT83_10890
ERR1913204.169371__1.169371	1965604__A0A1Y4EWI5__B5F54_03565
ERR1913204.169557__1.169557	214856__A0A174CRY5__ERS852559_01060
ERR1913204.169665__1.169665	47678__R5UER2__CGC64_00710
ERR1913204.169669__1.169669	1501391__GCA_000786575.1_00103
ERR1913204.169804__1.169804	214856__I3YPP9__Alfi_2707
ERR1913204.169816__1.169816	214856__A0A174ZLW6__ERS852559_01424
ERR1913204.169820__1.169820	214856__I3YMB7__Alfi_1811
ERR1913204.169996__1.169996	39492__D4JU56__hemZ
ERR1913204.170245__1.170245	214856__R6XS46__ERS852559_00812
ERR1913204.170395__1.170395	487174__K0XKD7__HMPREF9448_01550
ERR1913204.170562__1.170562	1262882__R5MND9__BN519_00831
ERR1913204.170686__1.170686	39492__A0A174Z2N0__EUBSIR_01615
ERR1913204.170801__1.170801	1262882__R5MF43__BN519_00282
ERR1913204.170897__1.170897	487174__K0XG81__HMPREF9448_02274
ERR1913204.170958__1.170958	214856__R6YD52__ERS852447_02171
ERR1913204.171210__1.171210	214856__R6XNE7__ERS852447_02267
ERR1913204.171178__1.171178	328813__A0A1Y3QQ66__B5G41_14240
ERR1913204.171317__1.171317	214856__I3YPQ3__Alfi_2711
ERR1913204.171432__1.171432	1262882__R5MMY3__BN519_00724
ERR1913204.171460__1.171460	301302__R5VFQ6__ERS852420_00378
ERR1913204.171469__1.171469	214856__A0A173ZR84__ERS852559_00013
ERR1913204.171594__1.171594	214856__R6Z288__ERS852447_00734
ERR1913204.171704__1.171704	214856__I3YPI7__pepD_1
ERR1913204.171769__1.171769	649756__L1Q4N9__CL2_26970
ERR1913204.172403__1.172403	239935__B2UQP8__CXU15_01110
ERR1913204.172509__1.172509	1501391__GCA_000786575.1_00135
ERR1913204.172562__1.172562	1262743__R5C054__BN727_01980
ERR1913204.172903__1.172903	88431__A6BJD4__DXB16_02900
ERR1913204.173176__1.173176	1262882__R5MGJ7__BN519_00652
ERR1913204.173300__1.173300	214856__I3YMC8__ERS852447_02666
ERR1913204.173306__1.173306	239935__A0A2N8IMC3__CXT96_03840
